wavelength,Back_RamCosf,Belly_RamCosf,Breast_RamCosf,Crissum_RamCosf,Crown_RamCosf,DorTail_RamCosf,Rump_RamCosf,Throat_RamCosf,WingTip_RamCosf
377.63,4.55925,8.44641666667,4.38108333333,6.30883333333,4.01041666666,4.08583333333,4.04375,13.6304166667,3.87433333333
377.99,4.56816666667,8.47741666667,4.37325,6.308,4.01991666667,4.08116666667,4.05916666667,13.6535833333,3.86925
378.35,4.53108333334,8.42166666667,4.33891666667,6.25158333333,3.98391666667,4.04191666667,4.02233333333,13.6300833334,3.82016666667
378.71,4.4635,8.32991666667,4.25883333333,6.17275,3.92441666667,3.96925,3.9445,13.59,3.73733333333
379.07,4.42733333333,8.29358333334,4.20641666667,6.10925,3.8975,3.96633333333,3.90475,13.5918333333,3.70475
379.44,4.40325,8.23383333333,4.15041666667,6.05508333334,3.874,3.95775,3.86608333334,13.53925,3.664
379.80,4.47708333333,8.27308333334,4.17091666667,6.08108333334,3.94016666667,3.99825,3.89683333333,13.6124166667,3.76825
380.16,4.49133333333,8.21016666667,4.14133333333,6.05683333333,3.92958333333,3.99791666667,3.8585,13.6071666667,3.76191666667
380.52,4.51758333333,8.18358333333,4.17966666667,6.07216666667,3.98983333333,4.02875,3.86708333334,13.6214166666,3.78191666666
380.88,4.53166666667,8.21766666667,4.18033333333,6.09083333333,4.04683333333,4.05308333333,3.89916666666,13.6800833333,3.80683333333
381.24,4.46625,8.11233333333,4.10925,6.01391666667,4.01458333333,3.98516666667,3.85141666667,13.6445,3.75791666667
381.61,4.5055,8.13533333333,4.13575,6.02508333333,4.086,4.01766666666,3.85491666666,13.72725,3.81033333334
381.97,4.48791666667,8.07466666667,4.09008333334,5.98058333333,4.06158333333,4.01025,3.79033333333,13.66975,3.78883333333
382.33,4.542,8.08208333333,4.11258333333,5.99366666667,4.10991666667,4.05766666667,3.83366666667,13.70975,3.77191666667
382.69,4.58683333333,8.12075,4.15466666667,6.01666666667,4.14783333333,4.109,3.8605,13.7359166667,3.81275
383.05,4.62975,8.13733333334,4.2,6.04216666667,4.19166666667,4.13266666667,3.8745,13.7425,3.85883333334
383.41,4.62358333333,8.13966666667,4.19433333333,6.02933333333,4.20241666667,4.12458333333,3.88116666667,13.7509166667,3.8745
383.77,4.53633333333,8.06858333333,4.13975,5.97541666666,4.1555,4.06216666667,3.83216666667,13.7103333333,3.79341666667
384.14,4.4405,8.00725,4.0555,5.90175,4.099,3.993,3.76758333333,13.63525,3.70808333333
384.50,4.3835,7.936,3.969,5.82808333333,4.03408333334,3.92958333333,3.7205,13.6069166667,3.66183333333
384.86,4.32,7.84033333333,3.9165,5.74616666667,3.96258333333,3.85183333333,3.66058333333,13.53675,3.58308333333
385.22,4.32866666667,7.86875,3.95825,5.7575,3.96066666667,3.87175,3.64516666667,13.5820833333,3.57608333334
385.58,4.31575,7.88008333333,3.94375,5.74733333333,3.947,3.87625,3.61816666667,13.5714166667,3.54283333333
385.94,4.35358333333,7.90733333333,3.99141666667,5.777,3.97933333334,3.89475,3.65016666667,13.6305,3.55041666666
386.30,4.28716666666,7.89625,3.94125,5.77325,3.93616666667,3.85758333334,3.60316666667,13.6306666667,3.538
386.66,4.29741666667,7.91341666667,3.94383333334,5.78408333333,3.95308333333,3.82958333333,3.61566666667,13.6934166667,3.57216666667
387.03,4.32383333334,7.96125,3.96866666666,5.81366666667,3.98416666667,3.83758333333,3.66308333333,13.7486666666,3.59033333333
387.39,4.37058333333,8.01425,4.00075,5.87441666667,4.025,3.88358333334,3.70275,13.8294166667,3.63016666667
387.75,4.41716666667,8.07,4.05558333333,5.92041666667,4.072,3.92291666667,3.71858333333,13.90625,3.67966666667
388.11,4.48908333333,8.10591666667,4.09758333333,5.9685,4.08866666667,3.96716666667,3.75075,14.0131666667,3.73175
388.47,4.55725,8.17691666667,4.16875,6.05658333333,4.15008333333,4.04083333333,3.80908333333,14.0995,3.7805
388.83,4.56016666667,8.2015,4.16975,6.05925,4.16125,4.06491666667,3.79216666667,14.1139166667,3.78583333333
