wavelength,Back_AniIgnf,Belly_AniIgnf,Breast_AniIgnf,Crissum_AniIgnf,Crown_AniIgnf,DorTail_AniIgnf,Patch10_AniIgnf,Patch11_AniIgnf,Rump_AniIgnf,Throat_AniIgnf,WingTip_AniIgnf
195.89,52.4390666667,52.1849624999,48.0450818182,26.5854,44.6341666667,64.1461999999,31.7887333333,5.2845,37.4798,48.9025666666,40.8942333333
196.27,54.7186666667,51.3365999999,47.8985333332,22.5973333334,44.6753666665,63.8094666666,28.1385333333,1.7749333334,38.5279999999,49.4372999999,43.6796666667
196.65,50.1753333334,46.8694249999,38.1259727271,17.6316,43.5524666667,57.8946666667,24.4737999999,-5.6141,36.3157333333,43.2895333333,44.1228333334
197.03,51.4156666667,44.8116999999,36.3511909091,18.1734666667,47.3516333334,58.7214666666,25.8446666667,-6.5297,37.8082000001,39.6805000001,43.8355666667
197.40,59.5897333333,39.2947041668,32.2797848484,8.8204666666,46.3591333334,51.8972666667,19.0768666666,-19.7435,35.8973333334,37.9487666667,41.4358333332
197.78,56.3380000001,33.5798208335,24.8825878789,-0.75133333346,42.9577666667,41.0328666667,22.8169333333,-20.3286666666,27.8873333333,36.6666333333,32.2533666667
198.16,61.9354666669,33.7298499999,22.9619181817,-9.785,41.0215333332,40.9675999998,21.1827333333,-32.4192333332,23.7635333335,41.6129333333,27.1506
198.54,80.2984000002,56.5423083335,43.0393000001,11.8408666665,57.7115666665,58.3084666669,40.8955333333,-10.4478000002,41.2934,55.4228333333,45.0746333334
198.92,72.6315333333,48.3004375001,35.6020424243,9.47353333326,51.5790333333,49.2105999998,33.5964666666,-11.8419999999,36.228,46.2718666666,38.0702
199.30,68.5833333334,42.234375,30.3484848485,4.50000000008,46.0,38.4999999999,23.2499999999,-12.6666666667,27.25,40.8333333333,29.9166666667
199.68,58.8278666667,38.3654041667,25.5609969697,4.6154666666,40.6227333333,29.9633333333,19.4139333333,-10.8059666667,24.3955333333,36.1904333333,22.2711333333
200.06,63.8888666666,44.3489666667,28.323730303,14.3749333334,49.6528000001,35.7638,26.4583333332,-2.56950000006,30.4860666666,40.4165666667,24.6528666667
200.44,61.5093333334,45.4363791666,26.1291606061,17.0440666668,50.1573333333,37.2327333333,27.6100666667,1.2893666668,30.6919333334,37.6100666667,21.6037
200.82,64.9524000001,50.6904500001,30.1644030304,22.6032,50.8571333333,39.6826000001,30.6032666667,6.0634666666,37.5238666667,42.1904333333,22.2858333333
201.19,61.0811999999,51.5464041667,29.4157515152,22.5225999999,47.8378333333,36.9368666666,26.6667333333,6.21619999994,35.0751333333,41.1711333334,23.6035333333
201.57,55.1852000001,46.8095875,25.934330303,20.7407333334,43.4259333333,32.8396,20.8642666667,1.48146666674,27.9629333333,38.0247000001,16.4817333333
201.95,57.1865333334,49.3960125,27.906609091,26.4831333333,41.5596666666,36.3914,20.0,7.1559666666,34.0672666667,40.2141666666,19.6635333333
202.33,50.5810666667,43.5283916667,19.9250121213,17.6145333333,36.2385333333,29.1131333333,10.0916666667,3.48636666666,27.5840000001,31.3149999999,14.2507666667
202.71,40.5555333333,31.867325,8.16775151514,8.58033333334,24.8456333333,16.6048666667,-1.60486666667,-7.3456666666,18.8271333333,22.0061666666,4.35186666667
203.09,43.9887333333,36.8625125,16.9359666667,12.9915333334,27.9772333333,21.7664,4.2166,-0.74063333326,23.02,25.1281666666,12.6779666667
203.47,42.7450666667,36.2991375,14.7683030303,10.9149999999,24.4771999999,20.0,0.326800000006,-7.81040000008,24.4443999999,23.1699999999,11.0131
203.85,44.0778000001,39.7936333333,14.274760606,13.5275999999,26.3753,20.453,-1.10033333332,-6.66663333326,23.9482666666,24.5632333333,13.3979666666
204.22,46.1817333334,42.8333875,22.3250515152,20.2424666667,28.1515000001,20.4244,2.60606666667,-2.99996666672,27.1515333333,29.7575000001,18.5454666667
204.60,52.7914666666,47.7370458334,33.4122333333,31.3822,36.0705333333,25.7995333333,13.8211333334,7.66926666666,36.6937333334,40.8129666666,27.2630333333
204.98,52.3199999999,43.45,32.9551515152,29.5999999999,37.1733333333,24.5866666667,10.56,6.29333333334,34.3466666668,37.6533333333,27.84
205.36,50.0000666667,37.3957708333,29.0884,25.4023333333,33.2758000001,19.4828,2.35626666667,-0.74713333334,31.8966,33.4482,21.9253333333
205.74,48.2281333333,36.9557791667,27.4718484849,26.4264666668,35.4654999999,17.3574000001,1.02100000001,2.0721,32.7927333333,31.7718666666,21.6815999999
206.12,45.2666666667,33.375,18.9151515152,24.9333333334,35.8999999999,7.2,-7.00000000002,-3.46666666674,28.8666666667,23.7666666667,16.6666666667
206.50,51.6847333334,38.4542333333,23.8350454546,35.0538,40.4300666666,10.8244666667,-1.36199999999,-1.75640000006,37.9211333333,27.6343333333,21.8638666667
206.87,49.3505333333,35.4924708333,13.1838606061,26.3204000001,36.3636333333,1.21226666654,-15.7576666667,-6.49353333346,30.5628,21.0823000001,12.1212
207.25,47.4315999999,25.5941458333,-2.16599999986,18.5792000001,28.9072,-13.6612000001,-31.4753999999,-21.5300333333,26.1202666667,11.8034000001,-1.25683333327
207.63,59.5479999999,30.4519708333,-0.07700909094,28.2485333334,38.1920333335,-12.5423333335,-29.3785999999,-15.3108333332,30.9604666668,14.4632333333,-1.92090000006
208.01,70.6122666666,27.6955416667,2.8322636366,34.4216666666,49.3197666666,-17.687,-31.5646666667,-11.2924666666,43.1293333333,15.4421000001,-11.2924666667
208.39,64.2028666668,11.05975,-18.0105151515,22.8986000001,34.5652333332,-34.3477999999,-45.0724666665,-19.2028666668,39.1304,-1.59433333326,-19.4927666666
208.77,58.3839999997,-13.3839249999,-66.0882060606,13.7373333334,21.0102666666,-83.2323333334,-92.5251333331,-46.5657333334,28.0807999998,-37.0705666668,-52.6261666667
209.14,67.3334,0.45827499986,-55.0101848485,29.1109999998,30.7777999999,-93.9999333331,-85.3333999999,-29.4443666668,48.8887333332,-22.5556333333,-56.0001000001
209.52,64.7619999999,24.8129875,-17.1796969698,39.7279333335,45.3060666667,-44.0816666667,-28.1632666667,7.2789333332,53.7414000001,2.38103333328,-18.8435333332
209.90,63.6665999999,28.8402708333,-5.53025454534,34.8889999999,42.7777666667,-31.1110666667,-13.5555333333,7.88903333334,53.6667333333,0.83336666666,-12.8890000001
210.28,71.7239333334,37.7658416667,5.70515454554,37.1264666668,48.1609000001,-24.4827333333,-9.6550666666,9.08046666666,56.7815333334,2.75860000006,-9.4827333334
210.66,67.6923999999,33.9342541667,-7.5000121212,28.0769333333,45.4487666667,-36.0258000001,-27.6924666667,-0.12806666654,48.7179333333,-7.5641333334,-27.8204333333
211.03,65.6210000001,25.563725,-11.0694030305,25.4902666667,45.9478,-46.2744666667,-29.4116666666,-9.34640000014,50.8496666667,-20.1307999999,-36.1437666668
211.41,68.4967999999,35.0326000001,-7.80165454532,35.6863333334,51.9607333332,-42.0915333332,-24.7058,-2.8105666666,58.1700000001,-17.9739666667,-35.8169666666
211.79,59.9999333333,28.6371208332,-20.8270666666,33.3332666667,41.0416333333,-51.9445333332,-38.4722,-10.9028333333,49.9999999998,-32.2917666667,-46.3193333334
212.17,55.4166000001,33.5677666667,-26.3573484849,35.6944666667,40.9027666667,-45.1389333332,-39.4445333335,-12.5000666667,50.4166,-30.9027666667,-35.0694666666
212.55,49.8412666667,31.9840666666,-46.8037242423,24.6031333335,34.2857666667,-55.3968666665,-59.6825333333,-21.3491666667,38.4126666667,-42.5397333332,-53.6508333333
212.92,52.3076666666,34.2948458334,-48.0029939394,17.4358666664,27.9485999999,-59.3163333333,-71.9656666667,-30.0000666667,32.9913333335,-56.9231000001,-59.8289333333
213.30,-320.0,-1261.66666667,-4866.06060605,-2073.33333334,-1810.0,-4753.33333334,-5300.0,-3716.66666666,-1653.33333333,-5086.66666667,-4943.33333333
213.68,45.6412,78.0663249999,161.561730303,93.8460666665,96.8376333333,155.897533333,172.649533333,130.6836,91.7949333334,168.8889,172.051333333
214.06,48.8049999999,75.9826583333,134.854184848,85.4087999998,90.9434333335,127.547066667,141.635333333,105.848966667,79.8741333333,133.8993,139.434
214.44,57.4815333335,112.3149125,164.518460606,105.629733333,121.259233333,156.444333333,170.370466667,126.8147,94.2221999999,154.888833333,167.777766667
214.81,83.7608666667,159.059895833,214.794051515,139.3162,165.0426,208.376,214.7008,169.9145,129.914466667,196.5811,220.256566667
215.19,79.2908666668,143.5993375,184.816112121,123.687933333,154.893633333,186.099333333,195.035466667,152.127766667,126.524733333,171.276466667,198.652533333
215.57,84.7918,140.963604167,158.967784848,121.458466667,139.427166667,165.937666667,174.7918,138.229333333,124.791733333,152.0314,174.6877
215.95,85.1351333334,134.3525625,149.905969697,122.342266667,130.900933333,155.135266667,157.207133333,128.603533333,122.072066667,140.360366667,164.009066667
216.32,83.2234666667,131.053125,140.196439394,122.0512,126.776633333,148.058533333,147.619066667,122.564166667,122.710733333,136.373633333,153.589633333
216.70,82.4372000001,131.913029167,136.223475758,119.2832,124.3011,147.885333333,145.949866667,121.684633333,121.2904,136.559033333,154.659533333
217.08,86.3918000001,137.1649,134.323557576,121.924533333,125.704433333,148.2474,143.230333333,119.931333333,118.350533333,132.783366667,156.495
217.46,111.441466667,176.5427625,169.283363636,156.036066667,158.4684,192.1622,188.919,151.216366667,146.576533333,168.6487,204.369333333
217.83,141.2022,216.571045833,206.249354546,193.224066667,191.857866667,238.2514,229.726733333,185.245833333,179.4534,206.5573,244.918233333
218.21,126.25,201.555766667,193.986490909,177.8124,174.5832,220.312266667,215.937266667,172.395533333,168.749866667,188.437233333,224.895566667
218.59,107.0886,157.19405,159.409378788,146.582266667,139.324966667,182.109666667,177.805933333,139.029433333,138.3966,152.658133333,187.763766667
218.97,91.2450666668,137.710825,139.163933333,131.9678,119.8795,163.6146,158.554333333,120.160633333,123.373466667,134.2167,167.8313
219.34,92.0307333334,136.714570833,138.944618182,132.0308,116.896433333,158.8506,156.2452,117.432933333,118.543866667,129.808466667,163.180166667
219.72,83.6169333333,123.975991667,134.116766667,120.9928,108.510666667,147.446733333,144.539,106.950266667,110.212666667,118.3333,151.489433333
220.10,87.5421333332,126.140475,128.45119697,120.4714,110.1347,149.023666667,149.158333333,108.585733333,107.878866667,119.562233333,149.730533333
220.47,90.0989999999,125.676404167,126.051645455,114.0596,106.732633333,144.158466667,147.7228,104.851433333,102.6402,119.174933333,149.8351
220.85,87.1428666667,117.183729167,117.865287879,107.619,100.446466667,133.452466667,138.2738,101.2799,98.2142,113.9881,140.7142
221.23,91.1314666668,118.753791667,123.144157576,107.033466667,101.529066667,133.945066667,144.403733333,105.473933333,103.241533333,120.305833333,145.3211
221.61,84.9557999999,111.755070833,117.551681818,100.767133333,95.7816666666,126.135666667,134.9852,100.235966667,100.943933333,113.215266667,137.6402
221.98,84.3275333333,112.865495833,116.669306061,100.058533333,97.1930666665,124.912266667,135.146133333,101.520666667,101.5204,113.216533333,137.777766667
222.36,88.8722000001,111.18105,112.93919697,99.1980000002,97.1179333333,122.757,130.2256,102.155533333,101.1028,112.080366667,134.2606
222.74,93.1991333335,114.795933333,114.274990909,100.8502,102.214733333,122.639866667,129.485466666,106.0626,105.771933333,116.5548,131.208233333
223.11,93.8240000002,112.561233333,111.174984848,99.5910666668,102.085933333,118.364,124.785333333,105.153366667,104.090066667,115.296466667,124.908066667
223.49,88.7861333333,105.570808333,104.053266667,93.7572666666,96.1848333334,109.788,115.838266667,100.308333333,98.3816666666,109.344866667,118.304433333
223.87,93.2209999999,107.511691667,103.624469697,96.7415999999,98.5018999999,112.2846,117.453066667,105.655433333,100.749066667,111.928933333,121.4607
224.24,92.1612666666,105.856208333,103.63129697,95.4579333333,95.8791666667,109.6336,115.4212,103.608033333,99.3773999999,109.6886,118.681366667
224.62,88.4247333334,100.3211375,98.9129303029,92.6036666667,91.7412666666,104.477533333,109.088,98.8058666667,93.9303333333,103.98,110.613566667
225.00,86.8847333333,97.9148333335,96.3537969696,90.3114,88.2554333332,101.277133333,105.233666667,95.0934999999,90.1246666666,99.2834333333,104.9221
225.38,81.2499999999,93.5639666667,90.0474030303,87.2023333333,82.4107666667,96.9047333333,98.1547333333,88.9583666667,85.3868666667,92.6042333333,98.7648333333
225.75,79.9417333333,92.4034916666,86.1427242425,84.6288000001,79.7089666666,92.4308666667,95.3712,86.8704333333,82.3871333333,89.4905,95.6623666666
226.13,76.6393333333,87.3735499999,81.2358242424,80.5464,74.4399333333,85.8197333333,90.3551333335,81.3114333333,77.1857333333,82.8961,91.7077
226.51,72.6172,84.9587083333,78.3183303029,79.4216,72.0524333333,83.3884666667,87.6860000001,77.8098000001,73.1405333333,79.4214333333,89.0357333333
226.88,63.8709333333,74.4741500001,68.1071484849,69.9192666667,61.3441,73.3333333333,78.4945333333,69.5296,62.957,68.4543666667,79.8656
227.26,55.3664666667,65.2481833333,58.6470181818,61.182,53.0851,65.0826666667,69.6452666667,61.2173666667,55.1064,58.7707,71.4539333333
227.64,48.6561333333,57.7617958333,51.3689121212,54.1588666666,46.3598666667,58.3702666667,62.963,53.6084,49.2275333333,51.5132666667,63.1112333333
228.01,40.6566666667,49.8307375,44.171169697,46.6865333333,38.9551666667,50.1094666667,54.7662,44.7164666667,42.1094,43.0946333333,53.5621666666
228.39,36.3001333333,44.0934583333,40.0754484848,42.6701333333,35.1308333333,45.0261333333,48.569,40.4537333333,37.8536666667,38.6560333333,48.1066333333
228.76,32.5142,39.9868416667,35.7087212121,39.0521333333,32.3052333333,41.4297333333,44.3212,38.0241,35.3894666667,34.9075333333,44.6585
229.14,27.7419333333,35.2679291667,31.0668484849,34.2090666667,28.3256333333,36.2672666667,39.6004666667,33.7403666667,31.0752666667,30.1613333333,40.6299333333
229.52,25.7549333333,32.7778166667,29.6614878788,32.1224,27.5071333333,34.0456666667,37.9202666667,32.2222,29.9428666667,28.9957,38.1267666667
229.89,24.53,30.9264541667,29.1534545454,31.3590666667,26.7005333333,33.2928,37.2414666667,31.0887333333,29.236,28.3638,36.9034
230.27,23.3203333333,29.8561833333,28.929130303,30.7450666667,25.7582,32.5489333333,36.6274666667,30.4247333333,28.6928666667,27.8693333333,35.4444666667
230.65,22.4575333333,28.2638458333,28.2383212121,28.9672666667,24.1960333333,30.5881333333,35.8431333333,28.9869333333,28.6014,27.1046333333,33.9607333333
231.02,23.135,29.8913833333,30.0977848485,30.7614,25.5598,31.8362,36.6858666667,29.7569666667,30.2878,28.2022333333,35.1758666667
231.40,22.7960666667,29.2596416667,29.7174757576,30.1746666667,24.8802666667,30.3431333333,36.3623333333,29.5017666667,29.5016,27.9483,34.4919333333
231.78,24.9137333334,31.3056208333,31.4077606061,32.0054,26.7595333333,32.1381333333,38.2204666666,32.1978666667,31.3811333333,30.5379666667,36.4742333333
232.15,28.0867333333,33.4377375,33.6967969697,34.2537333333,28.9611666667,33.7936,40.4734666667,34.4576,33.2939333333,33.2216,38.6589
232.53,29.2349333333,34.4167416667,33.8499424242,35.0137333333,29.3715666667,34.2212666667,41.7487333333,35.4918333333,35.1775333333,34.1463666667,40.1572333334
232.90,27.8250666667,33.1489125,32.8831878788,34.0395333333,28.0579666667,32.5424,41.2005333333,34.5762666667,34.5761333333,33.0367666667,39.428
233.28,29.3086666667,34.9410666667,34.5901727273,35.5237333333,29.4455666667,34.045,42.902,36.1943333333,36.4681333333,34.9350333333,41.0061333333
233.66,29.925,35.4472583334,35.1254121212,35.5145333333,29.9180666667,33.6741333333,43.2856,36.8983333333,36.6326,34.8534666667,41.5406333333
234.03,29.832,35.4143458333,34.7109727273,34.664,29.6059,32.6484666667,41.9766666667,36.46,35.9172666667,33.7016666667,40.1551
234.41,29.8974666667,34.9206125,33.6702272727,33.9104,30.0256333333,32.2691333333,41.4872,36.436,35.9232,33.6602333333,40.2564333333
234.78,27.7192666667,32.6324,30.4670878788,31.1028,28.6779333333,29.7744666666,38.396,35.1943333333,33.4962,31.2718666667,37.5188333333
235.16,26.1121333333,30.4883541667,28.1739121212,28.6014,27.3196,27.9358666667,37.1534,33.5182,31.3493333333,29.6302666667,35.8904
235.54,25.3186666667,29.6997875,28.1405787879,27.4387333333,27.4816666667,27.5,37.0956,32.6716666667,31.1274,29.1913,35.0981666667
235.91,22.4893333334,26.2895166667,25.4804272727,24.323,24.7785,24.4563333333,34.2682666667,29.3685,28.476,25.9927,31.6272333333
236.29,19.9393333333,23.9584041667,23.6166424243,21.8304,23.0788666667,22.5818,32.7272,27.7332333333,26.9332666667,24.1272666667,29.4789333333
236.66,17.7325333333,22.0579625,22.0798121212,19.9136666667,22.0824333334,20.727,31.4604,26.3585,24.8552666667,22.0887,27.0918
237.04,18.7791333334,22.7783208334,22.5964242424,20.0,22.7228,20.989,31.8071333333,26.8498333333,25.0672666667,22.0512666667,26.5262
237.41,17.6462666667,21.3078208333,20.8604242424,18.9034,21.8914666667,19.4454,30.6963333333,25.5700333333,23.5612666667,20.4003333333,24.0111333333
237.79,17.2989333333,20.5416458333,19.9390030303,18.6371333333,20.9946333333,19.3984,30.1167333333,24.7821,22.6518666667,20.4419,22.5293
238.17,14.6095333333,17.0771416667,16.8277484848,15.4028,17.6826666667,17.0630666667,27.9057333333,21.9020666667,20.2230666667,17.9428333333,19.8141
238.54,12.9862,15.6472291667,15.7564242424,14.0873333333,15.6373,15.7749333333,26.4991333333,20.2694333333,18.4200666667,16.1699333333,18.2526333333
238.92,12.6735333333,15.3653041667,15.6232181818,13.7998666667,14.3003666667,15.8248,26.7804,18.9819333333,18.2480666667,15.3129666667,18.1058
239.29,10.5684666667,13.2859666667,13.1342090909,11.8616,11.7669333333,13.9798,24.8718,16.6944666667,16.2652666667,13.0937333333,15.7303666667
239.67,8.6844,10.9970958333,10.5724787879,10.0466666667,9.55800000001,12.2412,22.6416666667,14.4981,14.363,10.7904666667,13.5412
240.04,7.92186666667,10.2446875,9.56546666667,9.09346666665,8.82390000001,11.6411333333,21.5713333333,13.4821333333,13.6494,9.43749999999,12.8405666667
240.42,5.92866666667,8.24221250001,7.26416363636,6.64999999999,6.95606666666,9.39200000001,19.6142666667,11.0229666667,11.5723333334,7.1322,10.8468666667
240.79,4.8944,7.34198333333,5.91128484849,5.2502,5.83249999999,8.43913333333,18.6726666667,9.56253333333,10.4412,5.7174,10.0408666667
241.17,3.50426666667,5.713825,4.58378181818,3.79346666667,4.29000000001,7.38979999999,17.3569333333,7.48520000001,9.25053333334,4.34899999999,8.89873333333
241.54,3.69773333333,5.70980833333,4.5696090909,3.79193333333,4.27983333334,7.61319999999,17.2486,7.43096666667,9.82946666667,4.26213333333,9.42103333333
241.92,3.73446666667,5.568175,4.51016666667,3.83533333334,4.60289999999,7.33073333333,17.1952666667,7.2483,9.99206666667,3.94156666667,9.98929999999
242.29,3.51119999999,5.69385833334,4.36672424242,3.99699999999,4.75333333333,7.17253333333,17.4857333334,7.13,10.3531333333,3.86433333333,10.2504666667
242.67,3.23733333333,5.21159166667,3.82085151515,3.49653333333,4.57256666667,6.63313333334,17.4446666667,6.66423333334,10.1392,3.48206666667,9.7118
243.05,3.1402,4.84241666667,3.75341818182,3.29566666666,4.66096666667,6.49246666666,17.5942,6.65973333334,9.94339999999,3.3499,9.67516666666
243.42,3.52273333333,5.11822083333,4.33666969697,3.68893333333,5.15943333333,6.7452,18.1209333334,6.99899999999,10.3694,3.871,10.0232
243.80,3.79133333333,5.34670833334,4.53208181818,4.1722,5.40146666667,6.79366666667,18.2539333333,7.18586666666,10.7212,4.2109,10.3583666667
244.17,3.46733333333,4.92052083333,4.19568181818,3.80353333334,5.07616666667,6.35759999999,18.3504,6.79383333333,10.4702666667,3.94453333333,10.0250666667
244.55,3.61146666667,4.85368333333,4.32131212121,4.29793333333,4.99096666667,6.54566666667,18.8514666667,6.74506666667,10.7536,3.9838,10.3634333333
244.92,3.7198,4.6477875,4.36492727273,4.17693333332,4.937,6.50013333334,18.9536666667,6.70726666667,10.7836666667,4.1363,10.4782
245.30,3.37573333333,3.99220416667,3.64015757576,3.78653333333,4.57596666667,5.84886666666,18.8720666667,6.20549999999,10.3162,3.41373333333,9.79256666667
245.67,2.7992,3.11327916667,3.01927878788,3.13293333333,3.8748,5.44486666667,18.4897333333,5.2163,9.85579999999,2.95853333333,9.0181
246.05,2.49613333333,2.74755416667,2.72928484849,2.65493333333,3.18486666667,5.25466666667,18.3946,4.57096666667,9.75300000001,2.73433333333,8.32386666667
246.42,2.6768,2.6203,2.77252424243,2.59486666667,3.04126666667,5.22726666667,18.4342666667,4.27393333333,9.77906666667,2.86306666667,8.00036666667
246.79,3.0388,2.83817916667,2.98116666667,2.71793333333,3.1307,5.53513333333,18.6410666667,4.26366666667,10.1722,3.0709,8.03736666667
247.17,3.35093333333,3.13075416667,3.15220909091,2.9952,3.21113333333,5.72706666666,18.8296,4.23356666667,10.52,3.36303333333,8.08826666667
