wavelength,Back_PooOrnf,Belly_PooOrnf,Breast_PooOrnf,Crissum_PooOrnf,Crown_PooOrnf,DorTail_PooOrnf,Patch10_PooOrnf,Patch11_PooOrnf,Patch12_PooOrnf,Rump_PooOrnf,Throat_PooOrnf,WingTip_PooOrnf
196.27,94.253,17.2413333333,46.5513333333,103.448333333,10.9196666667,106.897,30.4596666667,36.7813333333,79.3103333333,64.9426666667,-20.6896666667,83.908
196.65,101.481666667,-5.926,22.222,97.7776666667,14.0743333333,97.778,5.926,22.222,51.852,61.4813333333,-65.1853333333,62.9626666667
197.03,107.971,-18.8406666667,35.5073333333,91.3043333333,11.5946666667,71.739,6.522,7.24633333333,59.4203333333,65.2173333333,-74.6376666667,58.6956666667
197.40,93.21,-23.4566666667,50.6173333333,82.099,3.08633333333,81.481,21.6046666667,22.2223333333,51.235,84.568,-51.235,66.0496666667
197.78,92.655,-2.26,73.4463333333,97.1753333333,29.3783333333,98.305,44.0676666667,51.4123333333,63.8416666667,106.779666667,-15.2543333333,98.8696666667
198.16,87.3016666667,0.529,68.254,81.4816666667,29.1003333333,114.286,41.27,58.73,53.9683333333,97.3543333333,-7.93633333333,98.4126666667
198.54,77.0113333333,-2.87366666667,64.368,63.793,5.17233333333,120.69,30.4596666667,64.368,43.678,79.885,-17.2413333333,110.919666667
198.92,84.6666666667,-26.0,72.0,56.0,-7.33333333333,118.0,33.3333333333,76.6666666667,33.3333333333,99.3333333333,-38.6666666667,132.666666667
199.30,86.154,-7.17966666667,73.3333333333,57.4356666667,8.718,90.769,21.0256666667,71.795,45.641,75.3843333333,-15.3846666667,115.897333333
199.68,88.0596666667,-14.428,65.1743333333,53.2336666667,7.96033333333,64.179,29.353,67.1643333333,45.2736666667,68.1593333333,-17.9103333333,119.403333333
200.06,66.6666666667,-15.7896666667,50.8773333333,46.491,-13.1576666667,69.737,21.4913333333,51.7543333333,46.0526666667,59.2103333333,-28.07,91.228
200.44,65.0203333333,-12.3456666667,45.2676666667,55.1443333333,-13.992,70.37,18.107,51.0286666667,46.9133333333,64.1976666667,-23.8683333333,89.712
200.82,77.3333333333,-8.00033333333,63.111,66.6666666667,-18.6666666667,80.0,25.7776666667,56.0,77.7776666667,91.111,-20.889,100.444333333
201.19,66.1766666667,-16.1763333333,59.804,60.7843333333,-34.314,82.353,11.2743333333,58.8233333333,67.1566666667,85.7843333333,-30.8823333333,100.980333333
201.57,135.238,-45.714,103.809666667,100.0,-71.4283333333,117.143,-3.80933333333,90.4763333333,114.285666667,132.380666667,-101.904666667,179.047666667
201.95,201.282333333,-66.6666666667,133.333333333,110.256333333,-111.538333333,165.385,-21.795,114.102333333,146.154,179.487333333,-179.487,228.205333333
202.33,655.555666667,-572.222333333,361.111,227.777666667,-738.889,183.333,-461.111,155.555666667,366.667,466.666666667,-1044.44433333,666.666666667
202.71,-1583.33333333,2316.66666667,-700.0,-233.333333333,2416.66666667,400.0,1916.66666667,-100.0,-600.0,-733.333333333,3800.0,-1000.0
203.09,-414.285666667,700.0,-157.143,9.52366666667,747.619333333,114.286,633.333,38.0953333333,-114.285666667,-95.2383333333,1076.19066667,-142.857333333
203.47,-43.3333333333,328.333333333,71.6666666667,155.0,356.666666667,95.0,306.666666667,101.666666667,53.3333333333,48.3333333333,535.0,70.0
203.85,13.3333333333,325.0,83.3333333333,165.0,368.333333333,-5.0,356.666666667,123.333333333,70.0,86.6666666667,575.0,131.666666667
204.22,22.9166666667,196.875,53.125,136.458333333,230.208333333,34.375,275.0,80.2083333333,80.2083333333,82.2916666667,380.208333333,84.375
204.60,46.0316666667,137.566333333,51.3226666667,111.64,142.328,55.556,177.248666667,84.656,76.1903333333,86.7723333333,231.746,79.365
204.98,75.622,149.751333333,80.0993333333,131.840666667,147.263666667,71.642,178.109666667,98.01,109.452666667,102.985333333,252.239,96.02
205.36,70.202,151.515,81.818,134.848333333,144.444666667,63.636,175.252333333,95.4543333333,109.091,92.4243333333,257.575666667,85.8586666667
205.74,111.494333333,178.160666667,109.195333333,173.563,168.965666667,79.31,213.793,114.367666667,145.402,108.620666667,301.149,114.368
206.12,172.868,256.589,165.891333333,258.914666667,231.783,148.837,307.752,178.294666667,216.279,146.512,417.829333333,178.294666667
206.50,241.176333333,299.999666667,214.705666667,320.588,282.353,152.941,370.588333333,200.980333333,272.549333333,145.098,529.411666667,211.764666667
206.87,225.0,258.333333333,180.0,280.833333333,251.666666667,137.5,329.166666667,185.833333333,239.166666667,110.0,470.833333333,183.333333333
207.25,181.212333333,190.303,141.212,212.121,195.757666667,136.364,261.212333333,149.091,180.0,82.4243333333,353.939666667,136.969333333
207.63,165.0,163.333333333,116.111333333,184.444666667,188.333333333,130.0,223.889,131.666666667,158.888666667,53.889,296.666333333,108.333333333
208.01,158.201333333,162.963,105.291,184.656333333,187.830666667,133.333,207.407666667,124.338666667,152.910333333,43.3863333333,286.772333333,101.587
208.39,174.853666667,191.228,114.619666667,215.204666667,219.298333333,157.895,216.959,132.748333333,174.269,46.7836666667,312.281,112.280666667
208.77,211.666666667,220.833333333,133.333333333,253.333333333,275.0,160.0,250.0,124.166666667,203.333333333,17.5,399.166666667,110.0
209.14,170.921666667,197.163,112.056666667,226.241333333,263.83,163.83,226.241,117.021333333,168.794333333,29.7873333333,325.532,104.255333333
209.52,121.212333333,131.060666667,90.909,148.485,168.939333333,113.636,151.894,87.879,117.045333333,45.4546666667,192.803333333,89.015
209.90,107.490666667,125.093666667,86.517,142.696666667,168.539333333,104.494,143.071,80.5243333333,108.988666667,45.6926666667,181.647666667,83.5203333333
210.28,93.6666666667,112.0,84.3333333333,131.0,166.666666667,84.0,134.666666667,69.3333333333,100.0,52.6666666667,167.0,82.3333333333
210.66,81.5473333333,108.333333333,79.4643333333,122.619,156.250333333,82.143,121.726,63.9883333333,91.369,62.5,155.059666667,80.9526666667
211.03,80.392,105.882333333,88.2353333333,125.770333333,157.423,75.63,114.845666667,66.1066666667,91.597,68.6273333333,141.456666667,84.3136666667
211.41,80.9523333333,107.002666667,95.5183333333,122.969,146.218333333,68.067,106.722666667,63.025,89.3556666667,72.269,132.493,85.154
211.79,79.3386666667,110.193,103.030333333,125.068666667,136.088333333,71.074,111.845666667,64.738,94.7656666667,78.7876666667,134.711,88.154
212.17,72.3576666667,101.897,103.252,124.932,131.165333333,60.976,104.877666667,59.3493333333,92.412,76.4226666667,124.119333333,84.824
212.55,65.3746666667,90.4393333333,96.8993333333,111.369666667,119.897,54.264,93.7986666667,52.1966666667,85.5296666667,71.8343333333,114.987,79.3283333333
212.92,67.3863333333,90.168,97.602,115.347666667,119.184666667,65.468,100.959333333,58.9926666667,86.8106666667,79.3763333333,111.990333333,88.0096666667
213.30,72.7053333333,92.2706666667,104.106,113.526666667,115.459,58.696,106.763666667,63.2853333333,91.0626666667,85.5073333333,117.391666667,88.6473333333
213.68,80.226,103.672333333,113.276666667,134.463333333,134.745666667,60.169,117.231333333,73.7286666667,100.282666667,96.0453333333,133.050666667,100.565
214.06,83.0686666667,103.703666667,110.317333333,134.656,131.217,55.556,116.666666667,80.6876666667,98.6773333333,94.9736666667,128.571333333,103.439333333
214.44,84.314,98.2843333333,100.245,128.921666667,118.872333333,52.941,105.392,80.8823333333,97.059,94.6076666667,122.549,102.205666667
214.81,89.0476666667,101.428666667,101.428333333,135.476333333,120.952333333,65.714,112.381,87.6186666667,100.238,93.0953333333,128.095333333,108.571333333
215.19,82.5523333333,99.2186666667,101.823,128.906,113.542,61.719,111.719,85.9373333333,94.7916666667,88.2813333333,131.770666667,105.729
215.57,83.3333333333,97.7273333333,95.7066666667,129.798,118.939333333,64.394,112.121333333,89.3936666667,101.263,84.091,139.899,108.333666667
215.95,84.87,95.0353333333,95.272,129.550666667,118.676333333,65.957,109.22,93.144,98.3453333333,81.3236666667,138.298,106.383
216.32,87.3333333333,92.0,92.0,125.111333333,118.444333333,68.0,110.889,94.4443333333,99.3333333333,81.111,138.0,107.333333333
216.70,93.9596666667,97.3153333333,100.671,132.662,121.029,62.416,119.686666667,99.5526666667,101.566,81.6553333333,136.465333333,112.527666667
217.08,104.047666667,104.047666667,105.714333333,141.904666667,129.762,59.286,125.0,106.904666667,107.619,77.619,149.047666667,119.285666667
217.46,105.882333333,109.558666667,102.451,144.607666667,132.598,54.412,121.813666667,104.902,102.941333333,77.9413333333,152.206,118.872333333
217.83,106.084666667,105.555666667,100.0,139.153333333,133.333333333,42.857,117.460333333,103.174666667,101.852,75.397,153.439,114.55
218.21,120.462,113.531,117.491666667,148.844666667,156.765666667,44.554,128.713,111.551,111.551333333,84.8183333333,174.917666667,129.372666667
218.59,122.695,112.057,118.085333333,148.226666667,161.702333333,39.362,126.950333333,109.574666667,106.737666667,82.2696666667,171.985666667,133.333333333
218.97,128.514,114.056333333,125.703,151.807,174.698666667,21.687,120.883666667,114.458,107.630333333,89.1566666667,173.494,142.972
219.34,129.268333333,110.975333333,113.414666667,147.560666667,169.105666667,20.732,111.788666667,109.756,107.317333333,94.3093333333,162.195,137.804666667
219.72,132.308,114.359,116.41,168.718,194.358666667,-4.615,122.564,118.974333333,109.743666667,107.179666667,175.897666667,146.666666667
220.10,128.301666667,127.673,109.433666667,167.295666667,201.886666667,-54.717,124.528,114.465666667,113.836333333,122.641333333,184.905666667,150.943333333
220.47,149.122666667,150.0,129.824666667,182.456,221.052333333,-68.421,143.859333333,107.894666667,103.508666667,124.561333333,208.772333333,160.526666667
220.85,175.268666667,195.698666667,145.161333333,194.623333333,255.914,-54.839,152.688333333,123.656,101.075333333,149.462333333,245.161666667,177.419333333
221.23,145.0,142.5,136.666666667,152.5,194.166666667,-32.5,117.5,89.1666666667,95.8333333333,157.5,185.0,135.0
221.61,144.444666667,121.212,160.606,170.707,214.141333333,-36.364,122.222,94.9493333333,125.252666667,187.879,188.889,154.545333333
221.98,137.634333333,108.602333333,159.139666667,180.645,233.333666667,19.355,125.806666667,86.0213333333,122.580666667,211.827666667,196.774333333,177.419666667
222.36,104.081666667,92.517,104.762,146.939,176.190333333,40.816,96.5986666667,70.068,108.843333333,142.177,146.938666667,131.292333333
222.74,124.074333333,123.148,140.740666667,188.889,245.370333333,72.222,120.370666667,100.0,141.667,178.703666667,208.333,143.518333333
223.11,84.6153333333,70.9403333333,104.273333333,134.188,178.632333333,71.795,81.197,56.4103333333,101.709333333,116.239333333,147.008333333,68.376
223.49,90.476,72.222,99.2063333333,128.571333333,189.682666667,59.524,87.3016666667,63.492,95.238,95.238,148.412666667,80.9523333333
223.87,133.333333333,128.571333333,145.238,165.476333333,265.476333333,75.0,96.4286666667,77.3806666667,119.047333333,132.143,180.952333333,127.381
224.24,188.889,141.269666667,147.619,187.301666667,376.190333333,114.286,141.269666667,90.476,155.555666667,139.682666667,241.27,188.888666667
224.62,156.41,142.307666667,125.641333333,151.282,329.487,80.769,120.513,115.384666667,152.564333333,137.179333333,215.384333333,151.282333333
225.00,170.175333333,107.017333333,117.544,157.895,407.017333333,78.947,115.789333333,135.087666667,192.982333333,175.438666667,289.473666667,173.684333333
225.38,-273.333333333,-93.3333333333,26.6666666667,-173.333333333,-1080.0,-100.0,-86.6666666667,-133.333333333,-373.333333333,-160.0,-686.666666667,-373.333333333
225.75,-866.666666667,-433.333333333,333.333333333,-700.0,-5233.33333333,400.0,-966.666666667,-900.0,-1000.0,0.0,-2766.66666667,-1600.0
226.13,27.778,88.8886666667,105.555333333,33.3333333333,-700.0,166.667,-94.4443333333,-27.7776666667,-50.0,122.222333333,-438.889,-11.1113333333
226.51,44.0,81.3333333333,64.0,42.6666666667,-80.0,108.0,10.6666666667,20.0,61.3333333333,61.3333333333,-53.3333333333,80.0
226.88,5.79733333333,72.4636666667,52.174,42.0286666667,-73.913,104.348,-36.232,34.7826666667,50.725,43.4783333333,-95.6523333333,73.9133333333
227.26,-55.1726666667,-4.59766666667,16.0916666667,-10.345,-83.9083333333,100.0,-90.8046666667,-11.4943333333,-13.793,-10.3446666667,-98.8506666667,11.494
227.64,-16.26,-5.691,10.569,-15.4473333333,-35.7726666667,75.61,-73.9833333333,8.13,8.13033333333,-7.317,-73.9836666667,25.2036666667
228.01,-6.86266666667,22.549,9.80366666667,-9.804,-25.4903333333,64.706,-88.2353333333,24.51,37.255,-2.94133333333,-109.804,50.9803333333
228.39,24.8063333333,36.434,17.054,-3.87633333333,10.8526666667,88.372,-38.7596666667,53.4883333333,55.039,20.155,-62.0153333333,71.3176666667
228.76,-1.25766666667,23.2706666667,3.14466666667,-23.2703333333,-19.4966666667,62.264,-54.7173333333,42.7673333333,26.4153333333,-5.66033333333,-72.327,35.2203333333
229.14,0.595,17.8573333333,-1.19033333333,-30.357,-23.2143333333,60.714,-61.9046666667,40.4763333333,29.1666666667,-10.119,-59.5236666667,25.595
229.52,4.66666666667,7.33333333333,-17.3333333333,-44.0,-40.0,80.0,-76.6666666667,32.0,30.0,-26.0,-64.0,27.3333333333
229.89,-8.176,18.239,-14.465,-55.9746666667,-44.025,49.057,-67.2953333333,46.541,6.28933333333,-35.849,-62.264,22.0123333333
230.27,-19.126,-22.4043333333,-16.3933333333,-51.366,-43.1693333333,22.951,-65.574,28.4153333333,-2.73233333333,-32.787,-55.1913333333,0.546666666667
230.65,-9.836,-22.4046666667,-17.4863333333,-25.683,-33.88,19.672,-62.8416666667,30.0546666667,3.825,-27.8686666667,-58.47,-4.37166666667
231.02,-16.3523333333,-32.0756666667,-15.7233333333,-34.5913333333,-37.736,45.283,-64.78,23.8993333333,19.4966666667,-42.1383333333,-43.3963333333,-3.77366666667
231.40,-0.476333333333,-23.3333333333,-1.42866666667,-20.9523333333,-26.667,31.429,-44.2853333333,21.4286666667,32.381,-29.5236666667,-43.3333333333,-4.28566666667
231.78,-1.05833333333,-21.164,4.76166666667,-16.4023333333,-37.037,33.333,-52.381,8.995,34.3916666667,-34.3913333333,-40.2116666667,-5.82
232.15,-3.448,-41.954,-1.14966666667,-29.3103333333,-49.4253333333,37.931,-70.115,-14.3676666667,25.8623333333,-45.402,-49.4253333333,-12.0686666667
232.53,-48.062,-90.6976666667,-40.3103333333,-79.845,-96.8993333333,-11.628,-139.535,-67.442,11.628,-88.3723333333,-104.651333333,-40.31
232.90,-38.5966666667,-75.4386666667,-42.1053333333,-91.228,-92.1053333333,-18.421,-137.719333333,-76.316,14.035,-82.456,-100.000333333,-22.807
233.28,-61.111,-120.0,-70.0,-145.555666667,-142.222333333,-30.0,-200.0,-128.889,-18.889,-100.0,-138.889,-29.9996666667
233.66,-30.1586666667,-89.6823333333,-54.762,-114.285666667,-111.111,-45.238,-146.032,-90.4763333333,-2.381,-79.365,-122.222333333,-26.1906666667
234.03,-3.268,-81.6993333333,-36.601,-81.046,-81.6993333333,-7.843,-101.307,-69.2813333333,28.7583333333,-50.9803333333,-98.693,-11.7646666667
234.41,-28.2606666667,-84.7826666667,-70.2896666667,-119.565333333,-104.347666667,-6.522,-126.811666667,-94.9273333333,15.9423333333,-71.739,-135.507333333,-22.4636666667
234.78,-21.3113333333,-55.1913333333,-39.344,-90.7106666667,-72.131,-1.639,-74.8633333333,-61.2023333333,9.28966666667,-39.8906666667,-82.5136666667,-7.65033333333
235.16,2.66666666667,-29.3333333333,-25.3333333333,-62.2223333333,-44.4446666667,-8.0,-46.6666666667,-34.6666666667,15.1113333333,-6.22233333333,-56.4443333333,-0.889
235.54,7.576,-20.202,-36.8686666667,-67.6766666667,-52.525,-4.545,-57.0706666667,-46.9696666667,15.6566666667,-4.54533333333,-58.586,0.0
235.91,-7.10366666667,-35.519,-62.8413333333,-86.3386666667,-66.12,-27.869,-74.3166666667,-63.3876666667,3.82533333333,-7.65033333333,-78.6883333333,-15.8466666667
236.29,-19.9006666667,-17.413,-52.7363333333,-82.587,-66.169,-28.358,-66.1693333333,-50.746,-5.473,-8.45766666667,-66.6666666667,-25.8703333333
236.66,-12.0833333333,-0.416666666667,-40.0,-52.0833333333,-46.25,-6.25,-43.75,-33.3333333333,0.416666666667,0.416666666667,-49.5833333333,-21.25
237.04,-9.47,-9.84833333333,-37.879,-37.1213333333,-32.9543333333,0.0,-33.712,-32.9543333333,8.33333333333,-3.40933333333,-43.9396666667,-26.515
237.41,-4.575,-1.634,-25.817,-17.647,-14.379,7.843,-18.9543333333,-23.8563333333,16.9933333333,-3.59466666667,-28.7583333333,-16.3396666667
237.79,-3.56,7.11966666667,-11.9743333333,-3.55966666667,-3.56033333333,26.214,-4.85433333333,-19.094,24.919,13.269,-16.505,-7.76733333333
238.17,-13.8886666667,7.29166666667,-14.5833333333,-6.94433333333,-14.583,19.792,-14.5833333333,-27.0833333333,20.139,6.59733333333,-18.0556666667,-12.5
238.54,5.95266666667,20.536,6.54733333333,6.84533333333,-2.67833333333,35.714,-0.297666666667,-7.73833333333,33.631,19.3453333333,-5.05933333333,3.27366666667
238.92,-1.50166666667,15.3153333333,4.50466666667,-4.50433333333,-8.709,37.838,-16.8166666667,-18.919,33.3336666667,6.60633333333,-16.2163333333,-10.2103333333
239.29,-1.31233333333,13.6483333333,7.08666666667,-1.04966666667,-7.874,40.157,-12.5986666667,-17.0603333333,35.6953333333,4.19966666667,-7.34933333333,-6.037
239.67,0.860333333333,12.6883333333,8.602,2.36533333333,-7.312,36.774,1.07533333333,-10.5373333333,30.7526666667,7.95666666667,-2.58066666667,4.30133333333
240.04,8.04,16.4156666667,11.8926666667,7.37,-2.51266666667,32.161,6.7,0.837666666667,29.9833333333,9.883,3.18266666667,10.8876666667
240.42,11.3473333333,14.0423333333,12.624,11.0636666667,-0.993,33.191,7.234,5.10633333333,30.7803333333,12.1986666667,4.539,13.617
240.79,13.5233333333,11.981,14.7093333333,13.879,2.96566666667,28.47,11.3876666667,7.71066666667,30.8423333333,14.3536666667,9.48966666667,12.4556666667
241.17,13.374,10.841,13.171,10.7396666667,1.621,25.228,10.7393333333,8.612,29.0783333333,15.1976666667,9.625,13.9816666667
241.54,11.3636666667,6.43933333333,10.322,9.09066666667,-1.326,21.307,9.18533333333,9.091,26.799,14.5833333333,5.68166666667,10.7006666667
241.92,10.591,6.07566666667,10.0166666667,9.11333333333,-0.164333333333,19.212,9.35933333333,11.0016666667,24.4663333333,12.89,6.568,11.4943333333
242.29,11.209,7.106,10.3296666667,10.9156666667,2.71033333333,19.121,11.8683333333,12.2343333333,23.5166666667,13.6996666667,7.54566666667,12.894
242.67,9.824,6.57166666667,8.60466666667,11.3143333333,2.57466666667,15.447,11.45,13.3466666667,23.0353333333,13.4826666667,10.1626666667,12.8726666667
243.05,10.9163333333,5.978,8.382,11.501,2.664,13.255,12.5403333333,15.2046666667,22.612,13.7103333333,11.566,13.3203333333
243.42,11.3866666667,6.48866666667,7.63333333333,11.4503333333,3.05366666667,11.26,12.4043333333,16.4756666667,20.674,12.2773333333,9.669,12.532
243.80,10.51,5.78366666667,7.152,10.51,4.913,8.955,11.567,16.418,20.087,11.9403333333,9.01733333333,10.8833333333
244.17,8.14566666667,3.634,6.767,9.58666666667,4.13533333333,9.398,11.0276666667,14.6616666667,19.2983333333,10.5266666667,8.45866666667,10.4636666667
244.55,5.451,1.06533333333,3.57166666667,6.26566666667,1.629,4.511,9.77433333333,12.0926666667,17.0426666667,7.76933333333,6.57866666667,6.76666666667
244.92,6.378,2.40666666667,3.851,6.55833333333,0.662,6.318,10.349,11.8533333333,17.81,7.34066666667,6.07733333333,8.48366666667
245.30,7.352,4.754,5.307,8.126,2.32166666667,6.965,11.443,12.88,17.1916666667,6.19133333333,6.19133333333,8.73433333333
245.67,8.986,7.731,6.225,8.78533333333,4.468,8.434,13.052,14.508,18.5743333333,6.727,7.22866666667,10.5923333333
246.05,6.10333333333,6.385,4.03766666667,6.338,2.01866666667,6.338,10.7513333333,12.4416666667,16.1973333333,3.89666666667,4.46033333333,9.15466666667
246.42,4.92866666667,5.87966666667,3.329,6.18233333333,2.33466666667,5.577,8.863,11.5,15.1753333333,3.11266666667,3.459,8.08466666667
246.79,5.07833333333,6.489,3.305,5.56233333333,3.144,6.892,8.10166666667,9.79433333333,14.2683333333,1.975,2.41833333333,7.215
247.17,5.01666666667,7.09766666667,3.38133333333,5.94566666667,3.67866666667,8.361,8.65833333333,9.99633333333,14.53,3.34433333333,2.26666666667,8.51
247.54,4.77666666667,6.86866666667,2.99866666667,5.544,3.068,8.577,7.81033333333,9.41433333333,14.5396666667,3.48666666667,1.95266666667,8.82166666667
247.92,4.32533333333,7.003,2.88366666667,5.28666666667,2.266,9.269,6.65966666667,9.30333333333,14.2463333333,2.43733333333,2.06,8.754
248.29,5.04933333333,7.789,2.838,4.65333333333,2.80533333333,8.911,6.40266666667,9.274,14.4553333333,2.60733333333,2.607,8.845
