wavelength,Back_HemVerf,Belly_HemVerf,Breast_HemVerf,Crissum_HemVerf,Crown_HemVerf,DorTail_HemVerf,Rump_HemVerf,Throat_HemVerf,WingTip_HemVerf
360.20,8.46975,22.7850833333,15.35525,11.5205833333,7.84,7.20825,9.34145000001,5.91541666667,8.06583333333
360.57,8.4195,22.84075,15.2901666667,11.4350833333,7.77741666667,7.07258333333,9.23345833334,5.75616666667,7.9905
360.93,8.41741666667,22.8915833333,15.319,11.433,7.83433333333,7.04316666667,9.22533333333,5.72683333333,7.95125
361.29,8.48100000001,23.0600833333,15.3675833333,11.5565833333,7.88666666666,7.11208333334,9.302975,5.7945,8.01591666666
361.66,8.45716666666,23.0898333333,15.3719166667,11.5411666667,7.88266666667,7.11391666667,9.32720833333,5.7685,7.99033333334
362.02,8.42858333334,23.1278333333,15.3985,11.5595833333,7.853,7.06308333333,9.28564166667,5.72991666666,7.95116666667
362.39,8.50016666666,23.2505,15.55075,11.6701666666,7.895,7.132,9.37048333334,5.809,8.07191666667
362.75,8.52050000001,23.2876666667,15.5884166666,11.6550833333,7.93408333333,7.15691666667,9.41290000001,5.8355,8.05466666666
363.11,8.55416666666,23.3548333334,15.6860833333,11.6584166667,7.95358333333,7.12825,9.45055000001,5.8525,8.09266666667
363.48,8.47725000001,23.3078333333,15.6109166667,11.6080833333,7.8245,7.00408333333,9.30874166666,5.71416666666,7.99516666666
363.84,8.49866666667,23.3360833333,15.67575,11.5889166667,7.84708333333,6.97866666667,9.29329166666,5.68408333333,7.95633333333
364.20,8.36575000001,23.289,15.6051666667,11.4753333333,7.71516666667,6.82533333334,9.11459166668,5.51158333334,7.75
364.57,8.30241666668,23.2359166666,15.57875,11.426,7.667,6.74841666667,9.052525,5.461,7.63025
364.93,8.27041666667,23.2575,15.6129166666,11.3684166666,7.65083333333,6.72416666667,8.99946666667,5.47116666667,7.62741666666
365.29,8.25816666668,23.3399166667,15.7000833333,11.3805833333,7.68425,6.699,9.01642499999,5.4935,7.62241666667
365.66,8.32408333334,23.4944166667,15.804,11.5006666667,7.80166666667,6.74541666667,9.08099166666,5.55733333334,7.69975
