wavelength,Back_HemMelf,Belly_HemMelf,Breast_HemMelf,Crissum_HemMelf,Crown_HemMelf,DorTail_HemMelf,Patch10_HemMelf,Patch11_HemMelf,Rump_HemMelf,Throat_HemMelf,WingTip_HemMelf
752.85,16.066,46.3955833333,41.67725,36.8015,14.627,23.1978333333,8.10641666668,28.5695833333,16.3696666666,40.1230833333,20.3548333334
753.16,16.1886666667,46.4281666667,41.747,36.7343333333,14.497,23.0569166667,8.31949999998,28.3835,16.468,40.28175,20.2769166667
753.47,16.1564166666,46.23525,41.5024166667,36.8428333334,14.28975,22.8781666667,8.30191666665,28.1494166666,16.2645833334,40.2159166667,20.1098333334
753.79,16.1110833333,46.0266666667,41.1356666667,36.6490833333,14.121,22.9219166667,8.2595,27.915,16.0865,40.18275,20.03525
754.10,15.66975,46.1668333333,40.971,36.3991666667,13.5040833333,22.4755833333,7.65924999999,27.4346666667,15.5766666667,40.14975,19.6284166667
754.42,15.2575,45.6710833333,40.423,35.79875,13.00825,21.9075833333,7.21591666666,26.759,14.8535833333,39.5184166667,19.2223333333
754.73,15.3290833333,45.75875,40.50375,35.90275,13.10875,22.1470833333,7.33408333334,27.03525,14.98025,39.70775,19.5305833334
755.05,15.6656666667,46.11,40.8600833333,36.1709166667,13.2424166667,22.3749166667,7.50850000002,27.5186666667,15.3285833334,40.1085833333,19.8196666667
755.36,15.6028333334,45.8001666667,40.5548333333,35.9484166667,13.0540833334,22.29975,7.18449999999,27.3898333334,15.1228333334,39.9344166667,19.6881666667
755.67,15.2273333333,45.4125833333,40.3694166667,35.8306666667,12.6514166667,21.79225,6.58391666666,27.0076666666,14.67025,39.4384166666,19.23875
755.99,15.1578333333,45.7158333333,40.404,36.1313333333,12.7313333333,21.77725,6.40366666667,27.2104166667,14.62325,39.4678333333,19.2789166666
756.30,15.3405833333,46.1830833333,40.9171666667,36.7005833333,13.0688333333,22.1594166667,6.67266666666,27.74075,14.9906666667,39.8100833333,19.7226666666
756.62,15.18775,46.1693333333,40.8131666667,36.8668333333,13.3030833333,22.3239166666,6.63808333334,27.7531666667,14.99075,39.67025,19.7714166667
756.93,15.4188333333,46.5136666666,41.1129166667,36.9910833333,13.5978333333,22.4808333333,6.76191666667,28.0218333333,15.1185,39.8339166666,20.0670833333
757.24,15.1448333333,46.1195,40.88425,36.7935833333,13.436,22.06525,6.46116666667,27.8180833333,15.0396666667,39.40925,19.7298333333
757.56,15.071,45.58675,40.4215833334,36.5596666667,13.4596666666,22.0398333333,6.49858333332,27.6943333333,15.0670833333,39.0765833334,19.7079166667
757.87,15.694,46.26375,41.0609166667,37.0696666667,14.0650833333,22.80775,7.02875,28.3155833333,15.6245,39.7754166667,20.27175
758.18,15.89975,46.7495,41.3295833333,37.161,14.1445,22.9390833333,6.98899999999,28.3705833333,15.6166666667,40.0435,20.2309166666
758.50,15.7611666667,46.731,41.27025,37.21625,13.9458333333,22.81175,6.73975,28.04725,15.357,40.1159166667,20.1765
758.81,15.7645833333,46.963,41.8300833334,37.5369166667,13.90575,22.9973333333,6.92958333332,28.0954166667,15.49225,40.5584166667,20.2754166667
759.13,16.2376666667,47.91775,42.5635833333,38.2856666667,14.483,23.6195833333,7.58850000001,28.8644166667,16.04275,41.499,20.9250833333
759.44,15.9681666666,47.7488333333,42.5561666667,38.1515,14.3255833333,23.334,7.49058333333,28.5736666666,15.6834166667,41.4676666666,20.7514166667
759.75,15.8544166667,47.4596666667,42.3478333333,37.99075,14.288,23.1985833333,7.37091666668,28.3525,15.5080833333,40.9739166666,20.5775
760.07,16.2625833333,47.8338333333,42.8209166667,38.2540833333,14.6545,23.5763333334,7.67541666667,28.7049166667,15.6664166666,41.4126666667,21.0719166667
760.38,16.0905,47.6075833334,42.5955833333,37.9550833333,14.5245833333,23.5365833333,7.7685,28.5563333333,15.6771666667,41.189,20.9699166667
760.69,16.1169166666,47.8754166667,42.59425,37.9413333333,14.3290833333,23.6385833333,7.73491666667,28.7365,15.5895,41.32625,21.0653333334
761.01,16.3256666667,48.2951666667,43.0120833333,38.24975,14.4923333333,23.9184166667,7.79441666667,28.9228333333,15.6730833334,41.6961666667,21.1799166667
761.32,16.38375,48.4508333333,43.1875,38.56475,14.6963333334,23.907,8.13533333333,28.997,15.8600833333,41.9885833333,21.24725
761.63,16.4644166667,48.19975,43.14325,38.7675,14.7384166667,23.9885833333,8.56608333333,29.0215,16.1678333333,41.8015,21.3760833333
761.94,16.80425,48.3014166667,43.2469166667,38.9411666667,15.0030833333,24.3410833333,9.13316666668,29.101,16.6345833333,41.6603333333,21.6699166666
762.26,17.1093333334,48.4834166667,43.2625,39.1095833333,15.3484166666,24.6185,9.48066666668,29.269,16.91075,41.7093333334,22.0950833333
762.57,17.3453333333,48.5343333333,43.344,39.3225833333,15.4094166666,24.8676666667,9.90491666667,29.506,17.0925833333,41.746,22.3475
762.88,17.5128333333,48.5745833333,43.4695833334,39.3754166667,15.5279166667,25.1505,10.2414166667,29.60825,17.3595,41.7121666666,22.5553333333
763.20,17.75125,48.776,43.6741666667,39.5561666667,15.7855,25.3375,10.5440833333,29.89875,17.59225,42.00125,22.7500833333
763.51,17.7895833333,49.0928333333,43.8185,39.9905,15.7153333333,25.38725,10.6898333333,30.1361666667,17.7148333334,42.2281666666,22.8455
763.82,17.8618333333,49.1726666667,44.0101666667,40.13675,15.6375,25.4675,10.5935833333,30.3674166667,17.7124166667,42.4163333333,22.8779166666
764.14,18.1433333333,49.6114166667,44.4883333333,40.48375,15.8753333333,25.71025,10.7913333333,30.5371666667,17.964,42.7545,23.146
764.45,18.13475,49.24475,44.3795,40.2663333333,15.7983333333,25.6591666667,10.8311666667,30.4395833333,17.9933333333,42.6285,23.0964166667
764.76,17.868,48.8130833333,44.0866666667,39.86775,15.4623333333,25.3439166667,10.2985833333,30.021,17.7045833333,42.1331666666,22.8540833333
765.07,17.5709166667,48.6541666667,43.8435833333,39.6084166667,15.3148333333,25.1005,9.93475000001,29.89575,17.3334166667,41.9436666667,22.7988333333
765.39,16.8785833333,48.0018333333,43.1926666667,39.0645,14.5785,24.2835833333,9.02725,29.37875,16.41275,41.48675,22.1924166667
765.70,16.4466666666,47.761,42.8325,38.8465,13.9840833334,23.7825833333,8.41241666667,29.09275,15.8790833333,41.3263333333,21.5710833333
766.01,16.0641666667,47.6553333333,42.57575,38.5188333333,13.559,23.3091666667,7.76366666665,28.6043333333,15.4908333333,41.0385833334,21.0561666667
766.32,16.1861666667,47.6669166667,42.41625,38.3994166667,13.5340833333,23.08575,7.58766666667,28.6745833333,15.4558333334,40.9363333333,20.93325
766.64,15.8663333334,47.4620833334,42.1234166667,38.1183333333,13.25175,22.8215833333,7.11291666667,28.3868333333,15.2764166667,40.7290833333,20.6475
766.95,15.6664166666,46.8985833333,41.8935833333,37.5568333333,13.0399166667,22.6929166667,6.78691666666,27.9038333333,15.1160833333,40.30075,20.2848333334
767.26,15.6749166667,46.7385833334,41.7014166666,37.56925,13.3100833334,22.7694166667,7.19424999999,27.6376666667,15.4800833333,40.207,20.24425
767.57,15.7565,45.9776666667,41.3203333333,37.5598333333,13.5988333333,22.7979166667,7.37441666667,27.6283333333,15.6011666667,40.0329166666,20.2229166667
767.88,16.1120833334,46.3878333333,41.5520833333,37.92625,14.1638333333,23.07475,7.72816666668,27.8739166667,16.1075,40.3280833333,20.728
768.20,16.4644166667,46.4231666667,41.5585833333,38.0381666666,14.4480833334,23.5524166667,8.13591666667,28.0785833333,16.5914166667,40.5998333333,20.8216666667
768.51,16.252,46.0889166667,41.3436666667,37.5770833333,14.1010833333,23.3459166667,7.76908333334,27.7344166667,16.3290833333,40.2970833333,20.3124166667
768.82,16.69625,46.1219166667,41.8441666666,37.96125,14.7868333333,23.8206666667,8.55041666667,28.1824166666,16.948,40.8130833334,20.65825
769.13,16.8355833333,46.1438333333,41.8505833334,37.85525,15.176,23.7974166667,8.9345,28.3493333333,17.1586666666,40.8816666667,20.8905
769.44,17.0526666667,46.1556666667,41.758,37.7005,15.3463333333,23.8625833333,8.79549999999,28.26025,17.1034166667,40.839,20.9069166667
769.76,17.01925,45.7840833333,41.4436666667,37.5388333333,15.2458333333,23.67775,8.59791666668,27.9299166667,16.9155833333,40.9769166666,20.7114166667
770.07,17.2875,45.6334166667,41.267,37.5473333333,15.0463333333,23.5005,8.62266666666,27.96725,16.9770833333,40.9934166666,20.69675
770.38,16.97625,45.2594166667,40.6950833333,37.15025,14.7503333333,22.82725,8.18916666666,27.5731666666,16.5866666667,40.75375,20.27525
770.69,16.936,45.028,40.363,36.8024166667,14.7435833333,22.3228333333,7.81624999998,27.3164166667,16.268,40.37925,20.1519166666
771.00,17.14975,45.4545833333,40.706,36.7863333333,14.8550833333,22.365,7.84475000002,27.4264166667,16.4965,40.48625,20.09775
771.32,16.5603333333,45.23725,39.9653333333,36.3331666667,14.372,21.65325,7.40424999999,27.0204166667,15.8271666667,40.0548333333,19.3585833334
771.63,15.9049166667,45.2404166667,39.57625,35.9623333333,13.8315,20.8705833333,6.89566666668,26.7698333334,15.05175,39.731,18.8374166667
771.94,16.5149166666,46.0523333333,40.2416666667,36.802,14.5175833333,21.3560833333,7.93608333335,27.1141666667,15.9483333333,40.8199166667,19.4580833334
772.25,16.7551666667,46.4385833333,40.30825,36.79425,14.8180833333,21.6926666667,8.23883333335,26.9135,16.2945,40.72175,19.3479166667
772.56,17.3046666667,46.5919166667,40.89,36.97025,15.1553333333,22.2181666667,8.52008333334,27.2818333333,16.7871666667,40.8719166667,19.8156666667
772.87,16.6545,45.75175,40.3835,36.5470833333,14.712,21.5324166667,8.12758333332,26.7430833333,16.2673333333,40.3473333333,19.3416666666
773.18,15.8055833333,45.369,40.3443333334,36.3778333333,14.1450833333,20.8795,7.55225,26.2733333333,15.6519166666,39.8645833333,18.8684166667
773.50,15.4905833333,45.3774166667,40.2955833334,35.9498333333,14.0251666667,20.5850833333,7.37108333334,25.7610833334,15.13825,39.6036666667,18.2641666666
773.81,16.1203333334,45.47225,40.1593333333,36.021,14.475,20.7799166666,7.90633333333,25.6656666667,15.3668333333,39.45625,18.5945833333
774.12,16.1149166667,45.364,39.8593333333,35.794,14.43425,20.7066666667,7.65475,25.5833333333,14.9036666667,39.4026666667,18.4930833333
774.43,15.8945,45.3346666667,39.3179166666,35.45675,14.0219166667,20.2124166667,7.22016666668,25.4440833334,14.1956666667,39.0733333333,18.2046666667
774.74,15.5446666666,45.0261666667,39.17325,35.1313333333,13.34,19.8361666667,6.64041666667,25.30175,13.6941666667,38.6744166667,17.58525
775.05,15.6085833333,44.3808333333,39.0576666667,35.0815833333,13.4136666667,20.0578333333,6.70350000002,25.4075,13.7684166667,38.21625,17.7051666667
775.36,15.7443333333,43.91025,38.854,34.81825,13.5009166667,19.9698333333,6.25983333333,25.7521666667,13.6709166667,37.644,17.7263333333
775.67,15.6000833333,43.6938333333,38.6923333333,34.7111666667,13.381,19.6210833333,5.58416666665,26.2055833333,13.2285833333,37.3609166667,17.5675833333
775.98,15.01325,43.3199166667,38.0279166667,34.17,13.0145,19.1898333333,4.98683333335,25.5444166667,12.2245833333,36.68675,16.733
776.30,15.04,43.42,38.0666666667,34.2533333333,13.1466666667,19.44,5.08666666665,25.58,12.2933333333,36.6733333333,16.8
776.61,15.1419166667,43.332,37.393,33.982,13.25575,19.65625,4.74183333334,25.5551666667,12.393,36.3630833333,16.5930833333
776.92,15.01225,43.4224166667,37.6014166666,34.0761666667,13.5061666666,19.7528333333,4.40308333333,25.64825,12.3244166667,36.66275,16.7611666667
777.23,14.616,43.1824166667,37.66125,33.8135,13.21,19.712,3.92325000001,26.0835833333,11.9685,36.9134166667,16.3991666667
777.54,14.0091666666,42.7560833334,37.3995833333,33.368,12.1911666667,19.2964166667,3.33058333334,25.47875,11.2545,36.2405833333,15.6605833333
777.85,13.7650833333,42.2064166667,37.4335,33.1651666667,11.8586666667,19.0989166667,3.18191666666,25.4554166667,11.1649166667,36.2770833333,15.3981666667
778.16,14.5954166667,42.68825,38.1428333333,34.18825,13.0245833333,19.8569166667,4.23266666667,26.5775833333,12.156,37.281,16.5416666667
778.47,15.2101666667,43.7324166667,38.8865,34.9298333333,13.7395,20.3360833334,4.83199999999,26.8209166666,12.94125,38.5085,17.2758333333
778.78,14.7345,43.44425,38.3570833333,34.7103333334,13.5750833334,19.8356666666,4.84091666667,26.1663333333,12.56325,37.99175,16.7158333333
779.09,14.5744166667,43.7799166667,38.25975,34.7115,13.3091666667,19.7626666667,4.78508333334,25.7845,12.7156666667,38.0549166667,16.84325
779.40,14.4840833334,43.9415,38.50625,35.1048333334,13.6195833333,19.898,4.99566666667,25.9495833333,13.5061666667,38.37875,16.97125
779.71,14.92175,44.174,39.05275,35.2350833333,14.1525,20.07125,5.60533333333,26.6096666666,14.1309166667,38.6895833333,17.0798333333
780.02,16.1049166666,45.0590833334,40.3991666667,36.1711666667,15.19025,20.7649166667,6.97908333333,27.6433333333,15.29825,39.6859166667,18.1145
780.33,16.4295833333,44.7009166667,40.2573333333,36.159,15.2070833334,20.765,7.57833333334,27.6674166667,15.6959166667,39.6965833333,18.19825
