wavelength,Back_EmbDuif,Belly_EmbDuif,Breast_EmbDuif,Crissum_EmbDuif,Crown_EmbDuif,DorTail_EmbDuif,Patch10_EmbDuif,Patch11_EmbDuif,Rump_EmbDuif,Throat_EmbDuif,WingTip_EmbDuif
187.15,127.928333333,28.829,110.810666667,56.757,35.1353333333,111.711666667,36.937,113.964,82.4325333333,147.297333333,45.4953333333
187.53,124.796666667,24.3903333333,112.195,69.106,36.9916666667,109.349666667,38.2113333333,110.975666667,77.0731333333,126.829666667,41.057
187.91,120.618666667,36.0826666667,120.274666667,79.3813333333,56.0136666667,108.591,44.6733333333,100.687333333,80.1374,119.244,46.735
188.29,103.809333333,35.5556666667,119.047666667,85.7143333333,59.048,111.746,42.5396666667,90.7936666667,72.4443333333,115.238,50.4763333333
188.67,107.222333333,44.1666666667,118.055666667,89.7223333333,68.611,108.333666667,46.389,84.7223333333,75.5554666667,118.611333333,48.889
189.05,110.724666667,53.913,126.956333333,102.609,74.4926666667,114.492666667,58.8406666667,88.116,79.942,128.116,56.522
189.43,118.446333333,60.1943333333,136.893333333,112.945,82.5243333333,118.446666667,62.783,89.9676666667,83.1067333333,131.715333333,63.754
189.81,104.57,66.9353333333,126.344,99.7313333333,78.4946666667,107.527,66.6666666667,83.871,79.8925333333,127.688333333,66.6666666667
190.19,94.18,66.1373333333,120.106,87.5663333333,76.1903333333,103.703666667,56.0846666667,80.9526666667,75.6087333333,121.693333333,55.5556666667
190.57,90.2563333333,65.641,115.384666667,85.8973333333,73.5896666667,102.820666667,54.8716666667,80.0,74.1025333333,108.718,48.718
190.95,84.8956666667,65.3643333333,117.448,84.1143333333,71.8746666667,103.385333333,52.0833333333,77.604,70.1038666667,101.302,42.1873333333
191.33,99.7023333333,83.929,136.309333333,94.0476666667,87.2023333333,133.035666667,64.881,87.5003333333,78.2142666667,119.345333333,49.7023333333
191.71,93.6783333333,85.0576666667,131.609333333,95.4023333333,84.1953333333,124.712666667,62.931,81.322,74.9428,123.850333333,56.3216666667
192.09,121.276666667,106.383,151.064,113.83,102.482,152.127666667,78.0143333333,102.836666667,91.9856666667,151.063666667,72.3403333333
192.47,120.44,108.490666667,144.339666667,102.830333333,92.4526666667,139.937,79.2456666667,105.346,86.6039333333,136.478,75.7863333333
192.85,115.151333333,106.363666667,143.939,102.121333333,95.4546666667,136.666666667,82.4243333333,111.818,84.1210666667,128.484666667,82.727
193.23,132.291666667,118.75,157.638666667,109.375333333,107.291666667,148.263666667,88.1943333333,131.944333333,91.3192,139.236,96.5276666667
193.61,121.93,100.877333333,138.889,97.3683333333,97.6606666667,129.824333333,80.994,125.438666667,81.7546666667,129.532,87.1346666667
193.99,118.879333333,91.7403333333,141.002666667,99.705,95.5753333333,131.563333333,78.1713333333,132.153666667,77.2272666667,120.354,81.711
194.37,139.937,112.578333333,170.755,122.956,117.295666667,157.232666667,102.201333333,160.692,92.4526666667,141.509333333,106.289666667
194.75,146.735333333,120.274666667,186.598,135.738666667,124.398666667,164.261,109.965333333,182.130333333,95.3949333333,160.824666667,129.896666667
195.13,151.736333333,117.708,188.541666667,142.708333333,136.805666667,167.708666667,106.25,190.972333333,94.3058,164.236,136.458333333
195.51,145.214666667,113.201333333,187.128666667,140.924,133.003666667,152.145333333,102.64,193.729333333,89.5710666667,151.815333333,132.013
195.89,183.333333333,146.491333333,240.789333333,171.93,166.666666667,186.403333333,135.087666667,252.193,110.087666667,182.456333333,154.824666667
196.27,149.462333333,116.487333333,202.509,144.086,138.709333333,156.630666667,115.053666667,214.336666667,90.4657333333,143.369333333,123.297666667
196.65,192.753666667,135.265666667,260.386333333,186.956666667,198.067666667,201.449333333,139.613333333,276.811666667,114.5892,179.227,159.420333333
197.03,206.250333333,138.021,267.187666667,186.979333333,203.646,210.417,132.292,284.375333333,115.208266667,181.771,155.729333333
197.40,141.365333333,97.992,211.245,142.168666667,157.831333333,164.257,99.197,216.465666667,86.506,136.144666667,117.269
197.78,163.184333333,136.816,271.144333333,173.134,188.557,204.477333333,125.870666667,250.746333333,105.472666667,152.736,150.249
198.16,231.783,184.496333333,374.418666667,248.061666667,265.116333333,264.341333333,160.465,342.635333333,126.511533333,204.651333333,202.325333333
198.54,233.333666667,158.119666667,341.025666667,242.735,276.068666667,246.154,151.282333333,328.205,111.111066667,171.794666667,200.000333333
198.92,243.703666667,162.222333333,299.259333333,213.333,271.111,237.037,159.999666667,285.185333333,127.111066667,165.185,189.629666667
199.30,198.437,135.416666667,222.395666667,150.0,202.083,176.041333333,126.562333333,206.770666667,110.624933333,120.312333333,158.854
199.68,205.952333333,153.571333333,236.309666667,177.976,229.761666667,196.428666667,152.976,231.547666667,128.928666667,138.690333333,192.261666667
200.06,173.148,148.611,195.833666667,159.722333333,199.536666667,169.444333333,129.166666667,199.537,123.8886,130.092333333,177.778
200.44,156.378666667,151.029,176.954666667,141.975333333,183.127333333,145.679,123.457,163.786,111.687266667,123.868666667,160.082333333
200.82,149.206,161.905,169.444333333,148.809333333,166.666666667,143.650666667,129.365,153.174666667,102.936466667,119.444666667,150.396666667
201.19,141.767333333,167.47,163.453666667,151.405333333,172.289333333,145.783333333,150.201,155.421666667,100.4818,119.277333333,156.224666667
201.57,162.222,185.333333333,169.333333333,164.0,180.0,150.222333333,168.444333333,160.444333333,105.6002,112.0,163.111333333
201.95,146.575666667,187.214666667,154.794666667,157.991,167.579666667,141.096,158.904,157.990666667,105.935866667,117.352,151.598333333
202.33,130.833333333,185.416666667,146.25,142.916666667,150.416666667,141.666666667,154.583333333,149.583333333,104.0,104.583333333,142.916666667
202.71,115.686,185.098,150.588333333,134.51,140.0,133.725666667,141.568666667,138.039,88.7842666667,101.176333333,130.980333333
203.09,104.386,190.351,153.947333333,146.491,140.789666667,135.526333333,142.982666667,140.350666667,76.0525333333,87.7193333333,139.473666667
203.47,96.61,230.508333333,178.531,187.005666667,170.056333333,145.197666667,177.966,163.842,76.9491333333,91.5253333333,159.887
203.85,92.4053333333,180.169,144.303666667,134.177333333,129.536,105.907333333,142.194,120.675333333,63.46,65.8226666667,124.894666667
204.22,82.5396666667,148.809666667,120.635,107.143,115.873,95.238,128.571333333,109.127,46.9046666667,50.3966666667,107.539666667
204.60,69.38,127.519333333,103.101,100.387666667,96.899,87.5966666667,114.728666667,103.101,35.5037333333,41.8606666667,98.0623333333
204.98,63.922,120.784666667,94.118,92.9413333333,103.921666667,76.4706666667,100.784333333,101.176333333,36.2350666667,32.9413333333,97.647
205.36,53.1643333333,110.970333333,94.093,87.7636666667,93.249,60.3376666667,80.1686666667,89.0296666667,31.73,15.1896666667,94.5146666667
