wavelength,Back_TanCypf,Belly_TanCypf,Breast_TanCypf,Crissum_TanCypf,Crown_TanCypf,DorTail_TanCypf,Patch10_TanCypf,Rump_TanCypf,Throat_TanCypf,WingTip_TanCypf
193.99,23.9836666666,40.4473333333,26.4228333333,3.76025,2.23583333334,39.2276666667,20.935,21.3415,17.6826666667,60.7721666667
194.37,11.9498333333,40.5661666667,19.1825,-14.308,-18.5533333334,33.3334999999,17.2956666667,0.6288333333,1.57233333335,77.0443333335
194.75,39.506,63.8888333334,37.0371666667,6.48166666665,9.25933333332,59.2591666665,42.284,19.7531666666,35.4938333333,106.4815
195.13,50.0,64.4608333332,41.6668333333,17.0343333333,20.3431666667,75.9801666668,42.1566666666,22.3038333333,50.7353333333,96.5688333335
195.51,50.6945,80.2083333332,43.0555,22.2223333334,15.9721666667,83.6806666667,40.6248333333,2.0831666667,54.8611666666,131.25
195.89,39.3163333333,96.5811666667,40.5983333333,19.4444166666,10.2563333334,80.3420000001,41.8801666666,-5.12816666665,56.4103333333,151.7095
196.27,37.745,100.490166667,47.5488333335,14.2156666667,10.7843333333,87.2550000001,51.4706666667,16.6666666667,53.4311666667,166.666666667
196.65,23.611,158.333333333,37.5,-65.9721666665,-43.0555,133.3335,48.6111666666,-54.1666666665,79.1666666669,373.611166667
197.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.40,50.0,-50.0,131.481333333,45.3703333335,51.8518333333,-122.2225,57.4075,124.074333333,44.4443333334,-327.777833333
197.78,240.476,88.0953333335,295.238166667,130.952083334,142.857166667,-38.095,228.5715,190.476166667,216.6665,-328.571333333
198.16,116.666666667,67.7083333335,131.25,77.34375,72.9166666667,42.1874999999,95.8333333331,88.5416666668,107.291666667,-11.9791666666
198.54,112.162,65.7658333335,123.4235,80.8558333334,78.8288333334,25.2251666669,99.5495000002,74.3243333332,104.5045,-0.901
198.92,265.740833334,150.000166667,269.4445,179.1665,197.222333333,85.185,232.407333333,156.481333334,250.925833334,18.5185
199.30,280.833333333,170.833333333,258.333333333,187.5,170.833333333,116.666666667,221.666666667,169.166666667,262.5,16.6666666667
199.68,281.818166667,212.121333333,265.909,232.197083334,192.424333333,115.151333333,226.515166667,163.636333333,286.3635,47.7271666666
200.06,342.5925,222.222333333,298.148,272.222166667,220.370333334,107.407333333,268.5185,190.7405,333.3335,29.6295
200.44,271.014333333,184.057833333,248.550666667,205.435,184.058166667,104.347833333,231.1595,160.869333334,263.043833333,30.4348333333
200.82,367.647333334,219.607666666,315.686166667,240.19625,210.784333334,148.039,284.313666667,163.725666667,340.196,15.6863333333
201.19,470.833333333,298.958333333,346.875,330.729166667,265.625,243.75,363.541666667,238.541666666,420.833333333,20.8333333333
201.57,308.333333333,200.595333333,208.333166667,233.3335,176.190666667,175.0,236.3095,177.380833333,282.737833334,39.2856666667
201.95,229.365166666,149.206333333,154.762,191.666416666,136.507833334,133.3335,180.952166667,149.603333334,193.254,48.8095
202.33,261.111166667,165.812,158.546833333,221.58125,152.136666666,153.418833334,212.393166667,171.794666667,209.829,59.8293333334
202.71,466.666666667,287.121166667,253.787833333,412.121,242.424333333,261.363666666,372.727333334,318.9395,364.394,117.424333333
203.09,350.617166666,204.320833333,180.864166667,327.469083334,170.3705,182.715833334,283.333333334,248.7655,256.790333333,81.4813333331
203.47,310.119,169.642833333,161.3095,283.03575,148.214333333,142.262,251.785666667,208.928666667,219.642666667,57.738
203.85,250.9805,126.960833333,124.51,203.43125,113.7255,90.6861666668,213.235333334,158.823666667,175.980333334,53.9215000002
204.22,285.057333333,158.046,139.655166667,222.413666667,111.494166667,118.9655,245.977,191.379333333,211.494166667,79.3105
204.60,478.947333334,241.227833333,244.736833333,372.36825,182.456,214.912166667,403.508833333,334.2105,354.386,144.736833333
204.98,347.023833333,175.595166667,198.8095,284.821333333,140.476333333,168.452333334,322.023666666,286.904833334,289.285666666,131.547833333
205.36,304.4445,123.333333333,180.5555,233.611166666,106.111166667,123.3335,285.555666667,260.555666666,245.5555,116.666666667
205.74,262.162333333,92.7928333334,158.558666667,193.69375,89.1891666669,102.702666666,230.630333334,200.4505,188.738666666,94.5946666669
206.12,311.333333334,70.0,160.0,194.666666667,59.3333333333,83.3333333333,254.666666666,211.333333333,194.666666666,70.0000000001
206.50,316.666833333,33.3331666667,142.063333333,157.936583333,56.3493333334,58.7303333334,255.555333333,211.904666667,186.508,54.7619999998
206.87,216.129,11.2905,80.1076666665,68.2794166667,30.1075,60.7528333333,158.602166667,133.871,104.838833333,15.5913333333
207.25,131.4815,24.6033333333,49.4708333332,50.6615833333,32.2753333333,53.4393333334,96.5608333335,89.9469999998,74.0740000001,23.2806666666
207.63,126.754333333,28.728,46.0528333332,50.1095833333,31.3596666666,48.9035,89.0351666669,83.772,70.8335,29.386
208.01,136.574166667,24.074,44.9073333334,61.92125,35.1853333334,47.4536666667,83.3333333331,84.2593333333,67.1293333334,25.2315
208.39,124.242333333,23.3766666666,45.4546666669,60.2813333333,42.6406666666,39.3938333333,83.9828333334,81.6018333334,59.5238333333,13.4198333334
208.77,111.434,25.3876666666,36.0463333333,53.6821666667,39.7286666666,34.3021666667,76.1628333333,74.225,47.4806666667,9.69016666665
209.14,122.666666667,16.2221666667,27.3333333333,55.1108333334,40.8886666666,26.222,76.6665,70.4445,40.2223333333,6.22233333335
209.52,122.972833334,21.6215,20.7205,59.6846666667,47.7478333334,28.1531666667,73.8738333334,66.6665,39.6396666667,8.108
209.90,135.507166667,32.1255,27.2946666667,63.28475,61.1111666666,35.9903333334,86.9566666667,77.0531666665,50.9661666667,18.8406666667
210.28,115.503833333,36.8216666667,36.2405,61.53125,64.5348333333,42.0543333334,81.5891666667,82.1705,53.4883333333,26.3565
210.66,107.3035,40.262,36.7043333334,62.92125,55.8051666666,44.7566666666,77.3406666667,77.1533333332,50.1873333333,17.4156666667
211.03,113.288166667,38.7386666667,41.4415,74.7746666666,57.883,36.0358333333,85.3603333335,80.8559999998,55.856,20.7206666667
211.41,114.0475,34.0476666667,38.8095,75.8334166666,55.4761666667,29.2856666667,76.6666666669,73.8096666665,54.2858333333,23.5715
211.79,113.095333334,37.143,42.143,78.8094166666,64.2856666667,32.1426666667,77.6191666665,69.0476666669,57.1428333333,35.0001666667
212.17,114.971833334,33.6158333333,29.3783333331,67.9379166666,49.9996666667,27.401,84.4631666665,69.2091666665,50.2825,27.6836666666
212.55,122.5925,15.185,14.8146666665,54.8146666667,35.1853333334,3.7036666667,73.3333333335,57.7778333335,31.4815,8.889
212.92,121.568666667,9.31366666665,-7.352833333,46.0785,28.4315,-30.3921666665,66.1763333334,43.6273333331,18.6273333333,-0.4901666665
213.30,105.284666667,26.423,-8.9431666665,27.6425,30.4878333333,-30.4876666667,54.4715,25.6096666667,16.26,-8.94316666665
213.68,81.8518333334,18.8888333334,-16.6666666669,11.4814166667,13.3333333333,-34.0741666667,43.3333333333,11.852,-2.963,-17.4071666666
214.06,73.3333333333,-28.3333333333,-74.4445000001,-25.2776666666,-46.1111666667,-117.222166667,5.55566666665,-16.6665,-55.5553333331,-89.4443333333
214.44,87.9999999998,-30.6666666667,-106.0,-44.0,-84.6666666667,-146.666666667,16.6666666667,-42.0000000002,-59.9999999999,-129.333333333
214.81,108.046,-16.0921666667,-82.1838333334,-39.36775,-66.0921666667,-118.391,34.4826666667,-30.4596666667,-45.9769999998,-79.885
215.19,71.0785,-29.4116666666,-90.1961666669,-57.5980833333,-72.059,-118.627666667,6.86283333335,-50.9805,-63.2351666667,-80.392
215.57,40.625,-31.7708333333,-106.770833333,-82.2916666665,-97.9166666669,-135.9375,-9.89583333335,-65.1041666667,-94.7916666667,-104.6875
215.95,-10.101,-58.0808333333,-146.969833334,-107.323083333,-138.383833333,-150.505166667,-47.98,-86.8686666665,-130.302833333,-159.090666666
216.32,-7.08333333332,-45.4166666667,-105.833333333,-74.7916666667,-90.8333333333,-110.0,-34.5833333333,-56.6666666667,-104.166666667,-118.333333333
216.70,-2.43883333335,-39.0243333333,-101.626166667,-68.69925,-95.122,-93.9024999999,-34.553,-50.4065,-97.1544999999,-107.317
217.08,22.2223333334,-17.5,-43.8889999999,-28.4723333334,-46.9445,-41.6665,-2.22233333332,-15.2778333333,-51.3888333334,-58.8888333334
217.46,20.5313333333,-18.1161666666,-28.744,-17.512,-31.6426666667,-26.8118333333,12.3186666666,-4.58950000001,-40.0966666667,-39.3721666667
217.83,28.7878333334,-13.2035,-12.554,-7.25116666665,-19.697,-8.87466666667,20.7791666666,6.92633333334,-29.2208333334,-19.697
218.21,34.804,5.39216666667,4.575,5.229,2.61433333333,11.9281666667,34.6408333334,20.0981666667,-7.353,4.085
218.59,37.7193333334,11.6958333333,10.0878333333,13.5234166667,9.79533333333,17.6901666667,34.795,22.5146666667,-4.38583333334,13.1581666667
218.97,35.627,6.26916666669,3.97583333335,12.6910833333,5.81033333335,7.95116666668,32.7216666666,23.8533333334,-8.563,11.9266666667
219.34,45.4955,16.967,11.7115,22.8981666667,14.2641666667,19.9701666667,40.8408333333,33.3335,3.75383333333,16.2163333333
219.72,48.788,17.121,13.788,19.46975,16.9696666666,17.1213333333,42.1213333333,28.788,4.697,14.6968333333
220.10,59.1193333333,25.1573333333,18.868,26.6509166667,27.3585,19.0253333333,51.1006666666,35.22,10.3773333334,22.0125
220.47,63.472,26.8055,24.722,33.1945,30.278,21.6665,54.4443333334,38.1945,19.8611666666,30.1388333334
220.85,66.6666666667,32.913,24.65,35.9243333333,32.633,22.4088333333,61.9046666667,44.2576666667,27.3108333333,38.7951666666
221.23,58.1761666667,22.7986666667,13.2075,23.19175,22.327,8.64783333333,57.5471666666,37.5785,21.8555,31.9181666666
221.61,55.0725,21.0145,10.6885,17.0290833333,15.5796666666,0.1811666667,47.4638333333,39.3116666667,20.6521666667,30.0725
221.98,61.3921666666,28.6918333334,11.6033333334,21.4138333333,22.9956666666,-9.28266666665,52.5316666666,39.8733333334,28.6918333333,35.4428333334
222.36,53.0518333334,26.0563333333,11.5025,19.3661666667,21.1268333333,-17.1363333333,42.0188333333,33.5685,22.535,29.5773333333
222.74,36.207,-1.1495,-6.8965,-0.57475,6.60916666667,-43.6783333333,25.0,10.0575,3.73566666665,4.31033333335
223.11,39.3083333333,0.94333333335,11.3206666667,8.96241666665,25.4715,-33.019,30.8176666667,8.4905,7.2328333333,3.1445
223.49,42.564,18.718,25.1283333334,16.6664166667,37.4358333334,-5.64100000002,43.5895,27.4358333334,14.6153333333,23.5898333334
223.87,51.5351666667,29.3861666667,31.1403333333,30.04375,43.4211666666,20.3946666667,55.263,45.8335,32.0176666667,39.2543333333
224.24,61.9921666667,39.0243333333,45.935,38.7195,50.813,40.4471666667,62.3985,57.3171666667,50.6096666667,55.0813333333
224.62,53.0515,40.141,33.0986666667,27.3475,42.958,37.7935,53.2863333333,46.2441666667,39.9061666667,48.1221666667
225.00,45.6863333333,40.7843333333,30.1961666667,27.7454166667,45.0981666667,41.961,42.745,35.2941666667,32.1568333333,40.0001666667
225.38,45.4955,47.2971666667,29.2793333333,37.6126666667,47.0718333333,43.6936666667,41.4415,34.0088333333,29.7296666667,41.2163333333
225.75,41.5421666667,45.2735,20.6466666666,37.0650833333,40.2986666666,44.03,35.0746666667,17.9103333333,20.398,33.831
226.13,38.4055,36.4733333333,16.6668333334,26.20775,24.8793333333,40.0963333334,28.744,16.1836666667,11.3526666667,27.5363333333
226.51,34.4085,37.9031666667,7.5268333333,16.53225,15.5915,34.6775,31.1828333334,12.0966666667,9.94616666667,33.871
226.88,51.0101666667,59.5961666667,20.707,36.3636666666,34.0908333333,46.2121666666,51.7675,32.8281666667,31.8181666667,63.8888333335
227.26,44.3138333333,59.2156666666,17.843,28.92175,27.059,44.9018333333,46.8628333333,34.3138333333,32.3528333334,55.294
227.64,37.5,42.5348333334,12.6736666666,20.74675,17.5346666667,30.2083333334,36.111,25.0001666667,27.4305,42.882
228.01,27.0175,34.035,5.61416666665,13.5085833333,11.4035,15.4386666667,22.456,17.7193333334,13.6841666667,26.491
228.39,14.4653333334,23.5848333333,-2.51583333335,8.01866666667,6.44666666666,6.60366666667,15.8805,7.2325,2.51566666667,14.9368333333
228.76,11.5278333333,20.1388333334,5.27766666665,12.4305833333,10.8333333333,9.58350000002,18.0555,14.861,6.24983333334,13.7501666666
229.14,3.38766666665,6.0975,4.065,8.60425,6.3685,-2.981,14.363,11.7885,2.981,9.6205
229.52,12.5538333333,16.0173333333,12.7708333333,11.6883333333,15.5843333333,8.44150000002,21.3203333333,20.2381666666,13.5281666667,16.4505
229.89,16.0816666667,19.5908333333,14.8148333333,15.83825,18.8108333334,10.4286666667,27.4853333333,23.2943333333,17.1541666666,16.082
230.27,16.1348333334,21.0105,15.2481666667,16.0906666667,19.5035,11.1703333333,29.4325,22.6063333334,16.9323333334,14.805
230.65,16.499,19.5143333334,14.4053333333,16.79225,18.1743333333,10.3013333333,29.3133333333,21.6918333333,16.4991666666,12.1441666667
231.02,14.379,16.0946666666,14.134,12.3366666667,15.7678333334,8.0065,25.0816666667,19.853,15.1961666667,6.69966666665
231.40,15.6198333333,15.0563333333,11.9968333333,12.8423333333,16.9081666667,5.71666666667,22.2221666667,17.6328333333,14.654,4.02566666666
231.78,14.75,17.4166666667,12.8333333333,13.3333333333,18.0,3.25,21.1666666667,14.9166666667,14.5,2.16666666666
232.15,14.9923333333,17.8843333333,13.8506666666,13.2421666667,18.1888333333,3.42483333333,21.9176666666,13.4703333334,16.8186666667,5.099
232.53,13.6501666667,16.8928333333,12.1416666667,8.258,16.5158333334,0.528,19.3065,11.1615,12.368,4.14783333333
232.90,15.3273333333,17.3361666667,12.2023333333,7.51483333333,16.0713333333,-1.26483333333,20.0148333333,9.07749999998,12.7231666667,4.83616666667
233.28,20.6665,24.2963333333,17.1111666666,12.5556666667,20.5926666667,5.92583333333,23.6295,13.4073333333,17.778,9.1855
233.66,21.644,22.2473333333,17.1946666667,14.02725,18.6275,5.279,19.8341666666,12.8206666667,17.4961666667,8.4465
234.03,18.7595,18.3855,15.0221666667,10.2391666667,16.4425,1.42016666666,14.275,10.3138333333,13.9015,5.38133333332
234.41,17.7468333333,21.7593333333,16.2808333333,11.61275,20.2931666667,0.694333333335,14.1201666667,11.1885,14.7376666667,3.24083333333
234.78,20.6665,25.3333333333,21.3333333334,17.963,25.6295,4.66666666665,18.6666666667,14.0,16.7406666667,5.85183333333
235.16,18.3406666667,25.6915,19.7963333333,18.77725,23.7993333333,3.78466666669,17.904,14.265,13.246,8.36966666665
235.54,15.985,23.1816666666,21.212,17.04525,22.4241666667,2.04550000001,18.4091666667,14.7728333334,11.5153333334,11.5908333333
235.91,14.4696666667,21.591,17.7271666667,14.5834166667,21.4395,2.19683333331,18.106,13.9395,8.63666666667,10.6818333333
236.29,16.6665,22.5398333333,18.254,16.4681666666,22.9363333333,2.77766666666,17.4603333334,15.6346666666,8.49199999998,13.4921666667
236.66,18.4833333334,22.275,21.4058333333,19.7866666666,23.5388333333,5.13433333334,20.458,19.4313333333,12.5593333334,15.245
237.04,15.4875,19.261,18.3176666667,17.1778333334,20.283,5.10999999998,16.588,18.239,9.51266666665,12.0283333333
237.41,10.8793333333,12.8086666667,9.25899999998,8.02475,12.3456666667,-2.392,8.41033333332,11.96,2.39216666667,5.47833333334
237.79,6.56833333333,7.55333333333,5.5828333333,4.39225,9.52366666667,-8.046,7.964,8.12799999999,-3.53033333333,1.3135
238.17,7.03866666666,8.89966666665,7.039,4.57125,10.437,-5.33966666665,10.3558333333,8.89966666666,-3.23616666666,1.53716666667
238.54,6.51866666667,5.25933333334,3.037,1.29641666667,6.2965,-3.4075,6.37066666665,6.29633333333,-3.4815,1.111
238.92,1.29316666666,-1.22133333333,-5.38816666665,-8.33316666665,-1.1495,-9.33916666667,-1.36500000002,2.227,-8.836,-3.95116666667
239.29,-0.859833333333,-4.62983333334,-8.26716666665,-11.3758333334,-2.24866666666,-10.6478333333,-4.762,-0.992,-9.06083333335,-8.13499999998
239.67,-2.381,-3.54083333333,-9.34049999998,-10.6838333333,-4.762,-11.6605,-6.044,-2.68633333334,-9.95116666665,-10.012
240.04,-0.157833333333,-2.57616666667,-6.677,-7.46575,-3.47016666666,-8.83283333332,-4.25866666667,0.736,-7.09783333334,-6.46699999999
240.42,-0.3575,-1.8765,-5.36200000002,-5.29475,-3.61933333333,-6.25566666667,-2.3235,2.23433333333,-5.45116666666,-4.33416666667
240.79,3.4325,2.02116666666,-1.75433333334,-1.10625,-1.25866666667,-2.09766666667,0.457666666665,5.07266666667,-1.907,-0.114333333335
241.17,4.4625,3.07633333333,-1.217,-1.45358333333,-0.101333333335,-1.28466666667,1.85933333333,4.902,-0.236666666665,0.608500000002
241.54,6.845,5.83333333334,1.66683333333,1.25016666667,2.97633333333,2.738,4.732,7.55933333333,2.23216666667,4.22616666666
241.92,6.90466666667,6.98416666667,2.51316666667,1.67991666667,3.33333333333,3.73016666667,4.92066666667,7.8305,3.75683333333,6.03166666667
242.29,7.8345,7.5425,2.79816666666,2.81025,4.30666666667,4.96333333333,5.377,8.95383333333,4.57416666667,8.07766666666
242.67,9.42133333333,8.4565,5.74233333333,5.87725,6.55016666667,6.28066666666,7.2005,11.1933333333,5.9445,10.184
243.05,9.81299999998,9.21666666667,6.79,6.93916666666,7.57766666666,7.0455,7.7055,11.7708333333,7.301,10.813
243.42,10.5021666666,10.1908333333,7.45116666667,7.47183333334,7.67966666667,7.451,8.34383333333,12.2871666667,8.01166666665,11.1663333333
243.80,10.9293333333,10.7275,8.30283333334,8.16175,8.92933333335,8.46483333334,8.82833333333,12.6666666667,9.35350000001,11.8386666667
244.17,11.4608333333,11.2628333333,8.98650000001,8.95666666667,8.88766666665,9.3825,8.90733333331,12.6483333333,10.016,12.3118333334
244.55,12.3353333334,11.577,9.54100000001,8.68283333334,9.86016666669,10.0201666667,9.64066666669,12.555,10.6188333333,12.6146666667
244.92,10.3896666667,10.1141666667,7.93,6.55283333334,8.73666666665,8.61866666666,8.00883333333,11.1571666667,9.032,10.606
245.30,11.5105,11.3835,9.96733333335,8.58733333333,9.87666666669,10.3666666667,9.07766666665,12.382,10.2035,12.491
245.67,11.011,10.7608333333,10.8106666667,9.56808333334,9.25916666668,10.2435,9.12583333334,12.4125,10.4106666667,12.4455
246.05,11.956,11.266,11.2511666667,10.516,10.186,11.2361666666,9.856,13.051,10.921,13.4561666666
246.42,11.845,11.5883333334,11.7098333333,10.9940833334,9.85933333333,11.8316666667,10.1975,13.128,11.21,13.9516666667
246.79,11.3025,11.3771666667,10.7911666667,10.2295,9.25666666667,11.8015,10.08,12.5248333333,11.1153333333,13.4978333334
247.17,11.1731666667,10.9983333334,10.2051666667,10.0363333333,8.84066666667,11.7565,10.2401666667,12.4213333333,10.5203333333,13.226
247.54,11.1036666666,11.1256666667,10.4701666667,10.5134166666,9.18033333333,11.7595,10.5901666667,12.601,10.8851666667,13.8251666666
247.92,11.275,11.0973333334,10.4376666666,10.8775,9.21283333333,11.8403333333,10.5318333334,12.8663333333,10.9611666667,14.0285
248.29,10.5638333334,10.7496666667,10.0681666667,10.3935833333,8.92183333333,11.4518333333,10.4398333334,12.5775,10.5016666666,13.4965
248.67,10.4306666667,10.7268333334,10.543,10.7111666666,8.8795,11.6758333333,10.4105,12.6251666666,10.849,13.3701666667
249.04,10.5805,10.7663333333,11.1488333333,10.9885,9.103,11.7686666666,10.1878333333,12.771,11.0558333333,13.4736666667
249.42,10.115,10.2673333333,10.4953333334,10.34875,8.3875,11.1798333333,9.43083333334,12.3208333334,10.3,12.5923333334
249.79,10.9065,11.3156666666,10.9975,10.6055833334,9.08866666667,11.8721666667,9.95233333333,12.6561666666,11.077,13.1221666667
250.17,10.2913333333,10.9521666667,10.8661666666,9.97908333335,8.321,11.515,9.48366666669,12.1511666666,10.4993333333,12.298
250.54,10.5395,11.0631666667,10.8011666667,9.77333333335,8.39216666667,10.9845,9.22999999999,12.1366666667,10.212,11.6785
250.92,10.2316666667,10.9158333334,10.874,9.11516666667,7.66333333333,10.6505,8.36133333334,11.5998333333,9.436,11.223
251.29,10.0408333333,10.8618333333,11.2281666667,8.74391666667,7.10933333333,10.5541666667,8.16466666667,10.8913333334,9.19066666666,11.3458333333
251.66,9.91399999999,10.451,11.418,7.55833333333,6.30733333333,10.7121666666,7.7195,10.1596666667,8.226,10.5431666666
252.04,9.22216666665,9.95233333333,11.1905,6.26991666666,5.03183333333,9.619,7.12683333334,9.33333333333,7.127,9.93666666665
252.41,10.1161666667,10.3421666667,11.7135,6.68766666666,5.11466666667,9.71283333334,7.4865,9.56783333333,7.793,10.81
252.79,9.89733333335,9.89733333332,10.7581666667,5.85091666667,4.27016666667,8.39133333333,6.85183333333,8.87133333333,6.60366666666,10.4598333333
253.16,10.0266666666,9.96016666665,9.97666666669,6.00083333334,3.88466666666,7.985,7.387,8.61566666667,6.83933333334,10.5413333333
253.54,10.0166666667,10.2513333333,10.4691666667,6.98483333333,4.45583333334,8.3415,7.52083333334,9.16266666665,7.62133333333,11.3903333333
253.91,9.51133333335,9.30333333335,9.97933333335,7.09458333334,3.55166666667,6.999,6.94733333333,8.55866666667,6.54883333334,10.7935
254.28,10.6966666666,10.1365,10.9591666666,7.7205,4.53416666667,7.5105,8.05316666666,9.36616666666,7.283,11.6598333334
254.66,11.429,10.691,11.465,7.97333333334,5.02183333333,8.207,8.72933333333,9.71916666667,8.51333333333,12.257
255.03,10.98,10.5853333334,10.5291666666,7.60141666667,4.97366666667,7.5825,8.371,9.64733333334,8.80233333333,11.8053333333
255.41,10.2326666667,10.8721666667,10.8333333333,7.43233333334,5.52316666667,7.28683333334,7.69366666669,9.57366666665,8.64333333334,11.6475
255.78,10.9456666667,11.5018333333,11.3823333334,8.75041666667,5.92,7.1715,8.44249999998,10.4291666667,9.51516666666,12.2566666667
256.15,11.3545,11.3546666667,11.2165,9.23175,5.9045,7.81983333333,8.53083333333,10.3276666666,9.91316666666,11.8285
256.53,9.95716666665,10.502,10.0351666666,9.09191666666,5.387,7.50683333333,7.19583333333,9.471,8.69300000002,10.91
