wavelength,Back_LoxAnof,Belly_LoxAnof,Breast_LoxAnof,Crissum_LoxAnof,Crown_LoxAnof,DorTail_LoxAnof,Patch10_LoxAnof,Rump_LoxAnof,Throat_LoxAnof,WingTip_LoxAnof
199.68,-73.5293333331,-124.509833333,-60.7841666665,-167.647,-252.941166667,-86.2746666665,-144.1175,-268.300611111,48.0391666669,130.392
200.06,-1208.33333333,-1241.66666666,-1075.0,-1741.66666667,-2608.33333334,-1000.0,-1558.33333333,-2661.11111111,8.3333333335,716.666666669
200.44,233.333166667,206.140333333,207.0175,277.193,364.912333333,183.3335,224.561333333,351.754166666,75.4385000002,-12.2806666667
200.82,182.828166667,162.626166667,155.5555,193.434333333,249.495,144.444166667,168.181833333,232.491722222,77.7778333335,37.3736666667
201.19,213.888666667,191.666666667,177.778,218.889,286.110833334,172.222166667,187.222166667,267.407555556,99.4446666665,73.8888333333
201.57,267.333333334,250.666666667,217.333333333,254.666666666,344.666666667,207.333333333,240.666666667,335.777777778,141.333333333,98.6666666667
201.95,296.8255,323.015833334,227.777833333,301.587166667,400.000166667,238.888833333,283.333333333,389.682555556,188.889,159.523833333
202.33,180.208333334,212.5,153.645833333,210.9375,268.75,167.1875,190.625,248.784722223,141.666666667,125.520833333
202.71,151.666666667,186.25,127.083333333,178.333333333,223.75,154.166666667,162.5,199.305555556,130.833333333,109.583333333
203.09,204.444333333,220.555833334,148.888833333,220.555666667,281.111166667,216.111166667,221.111166666,246.296333333,162.222333333,140.5555
203.47,605.555666666,694.4445,350.0,659.259333334,833.333333335,599.999833333,698.148166667,702.469055556,455.555666667,401.851666667
203.85,587.037,707.4075,283.333333333,601.851833333,742.5925,577.777833333,694.444500002,635.802388888,450.0,375.925833334
204.22,1661.11116667,2177.77783334,738.888999998,1800.00016667,2266.66683333,1933.3335,1988.88883333,1790.74061111,1400.0,1177.77783333
204.60,-334.8485,-493.939166667,-131.818166666,-377.2725,-500.0,-450.000166667,-416.6665,-366.161666666,-301.515166667,-277.272833333
204.98,-119.298166667,-211.403666667,-21.0525,-152.631333334,-215.7895,-205.263333333,-167.543833334,-151.169666667,-111.4035,-100.877166667
205.36,-96.9696666668,-164.394,6.8181666665,-108.333333333,-160.606,-174.2425,-141.666833333,-116.919333334,-87.1211666666,-84.0909999998
205.74,-290.740666667,-451.852,-14.8146666665,-325.925833334,-437.037,-503.703666666,-298.148333333,-332.098833334,-268.518666667,-251.851833333
206.12,-1525.0,-1708.33333334,-166.666666665,-1358.33333333,-1991.66666667,-2300.0,-1233.33333333,-1558.33333333,-925.0,-958.333333332
206.50,-519.444499999,-550.0,-72.2221666665,-508.333333333,-647.222333334,-797.222166668,-388.888833335,-552.777833333,-236.111166667,-236.111166667
206.87,275.926,275.926,120.370333333,258.333333334,289.814666666,362.037166667,208.333166666,273.7655,149.074,155.555333333
207.25,172.058833333,174.019666667,96.0785000002,167.157,185.294166666,217.647,132.843166667,174.509888889,112.745,108.3335
207.63,136.296166667,134.074166666,89.2591666665,142.592666667,160.3705,182.592666667,103.333166667,146.419722222,107.407333334,91.8518333335
208.01,129.069833333,125.5815,91.0851666668,155.038833334,177.907,189.534833333,95.7364999998,146.899277778,100.0,102.713166667
208.39,189.583333333,177.604166667,133.333333334,216.666666667,265.625,259.895833334,135.416666667,209.548611111,148.4375,156.770833333
208.77,275.0,255.303,178.030333334,318.939333333,375.757333333,366.666666666,193.181833333,287.878777777,223.484833333,220.4545
209.14,315.217333333,287.681166667,200.000166667,333.333333333,410.8695,397.826166667,215.942,323.429944444,283.3335,241.3045
209.52,525.0,511.904666667,386.905,579.761833334,727.381,683.333666667,384.523833333,563.888777778,488.095166666,405.952166667
209.90,-364.583333333,-359.375,-276.041666667,-408.333333334,-547.916666667,-534.375,-266.666666666,-379.166666666,-330.208333333,-301.041666666
210.28,-265.942,-254.347833333,-202.173833333,-270.29,-394.202833334,-395.652166666,-199.999833334,-253.14,-263.043333333,-212.318666667
210.66,-354.386166667,-299.122833333,-251.7545,-287.719333334,-469.298166667,-489.473833334,-246.491166666,-296.491333333,-343.8595,-261.403666666
211.03,-140.310166667,-103.876,-88.7596666668,-110.465,-184.108666666,-194.573666667,-87.9844999998,-114.341111111,-133.333333333,-108.139666667
211.41,-126.143833333,-93.464,-70.915,-87.5818333332,-150.653333334,-165.686333333,-67.9740000001,-94.0087222222,-122.549166667,-98.6928333335
211.79,-91.7946666668,-62.8206666666,-40.7691666667,-44.6155,-103.846166667,-111.282,-38.718,-64.7863333334,-81.5385,-73.8463333333
212.17,-124.853833333,-83.0409999998,-69.5908333333,-60.234,-134.795333333,-138.5965,-66.3741666669,-96.7836111111,-119.298333333,-110.234
212.55,-218.981166667,-153.240833334,-137.037,-117.1295,-226.852,-241.666666666,-141.203833333,-185.648277777,-214.814833333,-200.926
212.92,-671.428666667,-514.285666666,-463.095333333,-371.4285,-695.238166667,-719.0475,-492.857333333,-596.825388889,-648.809666666,-615.476333333
213.30,-2404.16666666,-1833.33333333,-1812.5,-1470.83333334,-2570.83333334,-2620.83333334,-1895.83333333,-2237.5,-2333.33333333,-2250.0
213.68,1311.90483333,954.762000001,980.952500001,804.762,1347.61883334,1485.71433333,1054.76166667,1221.42877778,1319.0475,1269.04766666
214.06,313.131166667,223.7375,210.606,189.393833333,312.121166667,337.878833333,254.0405,297.643166667,301.515166667,281.313
214.44,284.2855,216.666833333,184.285666667,179.999833334,283.8095,306.6665,230.952666667,281.428777778,279.523666667,265.714333334
214.81,298.958333334,246.354166667,184.895833334,199.479166667,318.75,330.729166667,248.4375,297.569444444,301.5625,289.583333334
215.19,221.544666667,204.878333333,150.813,142.682833334,263.414666667,268.699333333,189.024333333,224.932222222,239.024333334,213.4145
215.57,184.333333333,171.0,131.333333333,125.333333333,224.666666667,222.666666667,161.666666667,194.777777778,196.666666667,176.0
215.95,144.623833333,147.043166667,113.7095,111.0215,180.107333333,185.215,140.5915,160.304722223,156.989166667,141.6665
216.32,154.012333334,162.963,118.827333333,117.284,193.518333333,207.716,150.926,173.353888889,168.827333334,141.0495
216.70,163.405833333,159.782833333,125.724666667,121.376833334,206.883833333,231.1595,147.101333334,184.782611111,175.362333334,143.478333333
217.08,260.416666666,224.305666667,183.3335,193.0555,341.666666666,397.222166667,195.833166667,304.166611112,257.639,208.333166667
217.46,505.0,423.333333334,275.0,358.333333333,691.666666667,848.333333331,330.0,556.666666667,483.333333333,355.0
217.83,924.999833335,716.666833333,525.0,633.3335,1272.22216667,1391.66666667,519.4445,866.6665,883.333500001,516.666833333
218.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.59,-1060.0,-710.0,-679.999999999,-906.666666665,-1530.0,-1640.0,-646.666666669,-977.77777778,-989.999999999,-663.333333334
218.97,-1010.0,-600.0,-633.333333334,-933.333333335,-1390.0,-1583.33333334,-626.666666666,-945.555555553,-916.666666667,-646.666666667
219.34,-733.333166667,-258.3335,-325.000166667,-713.888833333,-955.5555,-1138.88916667,-397.222166667,-714.814888889,-638.889,-477.777833333
219.72,-142.028833333,-38.4058333333,-55.7971666665,-165.217333333,-206.521666666,-251.449333333,-67.3915,-145.169,-128.9855,-97.1014999999
220.10,-122.222333333,-14.9998333333,-30.0001666667,-125.0,-156.111,-192.222333333,-51.6666666668,-103.518444445,-105.0,-67.7778333334
220.47,-111.111166666,5.05066666667,-4.0405,-98.4846666666,-126.767666667,-159.091,-30.8081666667,-83.5015555555,-89.3938333333,-44.9495
220.85,-100.4065,-0.813,1.2195,-83.3331666667,-98.7805,-118.292833333,-28.8616666667,-60.0272777778,-69.9188333333,-43.9023333334
221.23,-118.6275,-4.4118333333,-2.45116666665,-103.9215,-118.627333334,-136.764833333,-45.5883333335,-78.268,-96.0781666666,-70.5881666667
221.61,-118.9815,-19.4445,-26.8518333334,-105.092666667,-130.092833334,-123.148,-49.074,-97.0679444446,-94.9073333332,-93.5186666667
221.98,-103.75,-20.0,-16.25,-85.8333333333,-106.666666667,-104.583333333,-40.4166666667,-98.4722222224,-65.8333333333,-91.25
222.36,-96.8253333334,-35.3176666666,-22.619,-85.3175,-113.095166667,-103.571666666,-42.4601666666,-93.783,-79.3651666667,-84.1269999998
222.74,-75.3623333335,-34.0578333333,-19.5653333334,-67.029,-89.1305000001,-78.9855,-27.8985,-63.0432222222,-60.5071666667,-64.4926666666
223.11,-59.6155,-19.2308333333,-15.7051666667,-50.9615,-70.8333333333,-64.7436666667,-14.423,-43.4828888888,-43.5898333334,-43.9101666667
223.49,-47.8835,-15.3441666667,-12.6981666666,-38.0951666667,-52.91,-43.3863333333,-5.02633333335,-26.6313333333,-30.1588333333,-29.3651666666
223.87,-78.5716666667,-33.6735,-33.3333333333,-51.3605,-77.2108333331,-76.1905,-13.2653333334,-40.136,-42.857,-43.5373333333
224.24,-99.6213333332,-50.379,-56.4393333333,-75.0,-101.136166667,-90.909,-18.9393333333,-57.5757222222,-51.8938333333,-62.1214999999
224.62,-107.9545,-60.9846666666,-81.0605000002,-85.6061666667,-101.893833333,-104.545666667,-29.1666666667,-71.0858888889,-48.8636666666,-86.7423333333
225.00,-116.6665,-71.0526666667,-87.7193333335,-89.035,-110.965,-112.2805,-34.649,-84.2105,-47.3683333332,-93.8596666665
225.38,-142.792833333,-90.0901666666,-103.6035,-113.513333333,-135.135,-133.783666666,-59.0091666666,-102.252166667,-71.6216666669,-107.657833333
225.75,-145.726666667,-93.5895,-83.7608333334,-121.367666667,-134.188,-135.8975,-67.5215,-97.7210000001,-82.9059999998,-106.837666667
226.13,-83.3333333333,-54.0126666666,-42.9011666666,-79.321,-87.0371666666,-79.9383333333,-33.3333333333,-53.2921666666,-43.2096666667,-67.9011666667
226.51,-53.9353333334,-29.6296666667,-23.1483333333,-47.9168333333,-53.2406666667,-50.6943333334,-15.9723333333,-31.0187222222,-13.889,-48.3795
226.88,-55.6861666667,-28.2355,-27.451,-43.1373333333,-57.2551666667,-51.7646666667,-21.3725,-39.8692777777,-19.6076666667,-48.6275
227.26,-45.1953333333,-31.3813333333,-25.976,-36.937,-52.8526666666,-42.1921666666,-22.5225,-38.0382222222,-22.9728333333,-39.9398333334
227.64,-46.1538333334,-37.9488333334,-31.1538333333,-37.5641666667,-52.6925,-43.8461666666,-31.4103333333,-42.3931666667,-30.7693333334,-43.077
228.01,-32.0806666667,-27.264,-23.2176666666,-28.1311666667,-38.7283333334,-32.081,-24.9516666666,-32.1450555556,-23.5068333333,-33.9113333334
228.39,-21.4715,-20.045,-18.3181666667,-18.6186666667,-29.0541666667,-23.6485,-17.4926666667,-21.6716666666,-16.5915,-23.4233333334
228.76,-15.6976666667,-16.8605,-13.8243333333,-16.0206666667,-24.0955,-16.6021666667,-12.6613333334,-16.0637777778,-14.0825,-16.5375
229.14,-10.9986666667,-13.4118333333,-11.2235,-13.6925,-20.034,-12.851,-8.69816666666,-12.2147222222,-13.3556666667,-12.7385
229.52,-9.83166666667,-11.5666666667,-11.0936666667,-12.8285,-17.8233333333,-11.672,-8.41216666668,-11.0411111111,-12.145,-10.4101666666
229.89,-7.26999999999,-8.85283333333,-10.5836666667,-11.0781666667,-15.7765,-10.287,-7.17133333332,-9.66022222223,-9.99016666667,-8.358
230.27,-9.82399999999,-11.4371666667,-15.1026666667,-13.9296666667,-18.8173333333,-14.174,-11.3391666666,-13.2781666667,-13.0988333333,-10.6548333334
230.65,-6.51983333334,-8.53983333334,-13.2231666667,-11.708,-15.6566666667,-10.6061666667,-7.80533333331,-10.1470555556,-10.3305,-7.25433333333
231.02,-3.57466666667,-5.7195,-12.109,-10.1878333333,-11.8856666667,-8.71316666666,-5.31716666666,-7.67066666666,-9.07066666666,-5.5855
231.40,-0.17583333333,-0.61566666667,-7.69566666665,-6.06850000001,-6.28833333334,-4.48566666667,-0.26383333333,-3.69372222223,-4.61733333333,-2.7265
231.78,4.522,4.65116666667,-4.8235,-1.89516666666,-2.3255,-1.37816666666,4.2205,0.717611111111,-1.11966666667,1.11966666667
232.15,6.58016666665,7.14283333334,-2.51066666667,1.039,0.173,2.7705,6.88316666667,4.73333333334,0.822499999999,4.28583333333
232.53,8.17433333331,10.0818333333,0.544833333335,2.63383333334,2.72483333333,5.94916666667,8.0835,7.50833333333,1.18083333333,5.76733333333
232.90,7.19499999999,9.15299999998,0.683166666665,2.73216666666,1.59383333333,4.9635,7.24033333332,7.19488888888,-0.318666666669,4.918
233.28,5.92566666669,7.77766666665,-0.787,1.48133333333,0.2315,3.24066666667,6.15750000002,7.06811111112,-1.25,4.074
233.66,8.642,8.06916666665,1.23483333333,3.9685,2.33683333333,5.51116666667,7.71616666665,9.56788888888,2.1605,5.82016666667
234.03,6.88766666665,7.48283333331,0.34033333333,5.56966666667,3.74166666667,4.8045,8.0785,9.33950000002,2.46583333333,6.37766666667
234.41,7.63716666665,8.63150000001,2.82416666667,7.12,5.37016666666,6.32466666666,10.4216666667,10.7927222222,3.26183333333,8.39316666666
234.78,5.60916666668,8.49366666666,2.64433333334,6.65033333333,4.80766666666,5.048,10.0963333333,10.0826666667,1.6025,7.532
235.16,4.29599999998,7.4385,2.9835,5.80766666667,3.77916666667,5.33016666666,8.71116666666,9.13566666666,2.02866666667,7.55766666667
235.54,1.087,4.42816666666,0.523333333335,3.66333333333,0.805333333335,2.81816666667,5.193,6.77666666667,0.0805,4.87133333334
235.91,-0.434333333335,4.42316666666,2.40916666667,3.278,0.1975,3.436,5.2135,6.306,1.2245,5.7265
236.29,-2.93866666669,2.4155,1.93233333334,0.764999999998,-2.65716666667,0.483166666665,2.93883333333,3.65005555556,-0.44266666667,4.5895
236.66,-3.0765,1.63533333333,1.908,0.389333333334,-2.37533333333,-0.545166666665,2.72583333333,1.33688888889,-0.778666666667,4.3225
237.04,-4.831,1.28816666667,0.76483333333,-1.04666666667,-3.301,-2.335,0.2415,-1.47616666667,-0.88566666667,3.14
237.41,-4.72266666668,2.14666666666,1.21,-0.780500000001,-3.591,-2.22483333333,0.234166666666,-2.51116666666,-0.077833333335,3.62983333333
237.79,-4.68999999998,2.63566666667,1.51166666667,-0.659,-3.72066666667,-2.28683333334,0.0,-3.90194444444,-1.93783333333,3.2945
238.17,-3.33316666666,3.065,2.56716666667,-2.682,-4.4445,-1.6475,-1.18766666666,-4.43188888889,-2.68216666667,2.95016666666
238.54,-3.45616666667,1.8435,2.34266666667,-2.88016666666,-4.37783333333,-1.88183333333,-2.11216666667,-5.1845,-3.149,2.4575
238.92,-2.73116666667,-0.630333333335,1.2605,-3.32633333333,-4.902,-2.66083333333,-3.6765,-6.396,-3.6415,1.99583333334
239.29,-1.71766666667,-0.095333333335,1.972,-2.54433333334,-4.1665,-1.90833333334,-2.131,-5.50244444445,-2.8625,2.99
239.67,1.1785,1.87983333333,3.367,-0.701666666665,-1.40283333333,0.673333333332,-0.39266666667,-3.18961111111,-1.6275,5.19066666666
240.04,1.80716666667,1.78216666667,2.61033333334,-0.65283333333,-0.978833333333,0.627333333335,-0.777999999999,-2.76955555555,-2.15866666667,4.8195
240.42,3.329,2.39933333333,2.59383333334,0.2595,0.432333333332,2.07533333334,0.129833333333,-1.53494444445,-0.713166666665,5.87983333334
240.79,3.48083333333,2.09983333333,1.89166666666,0.0755,0.1325,2.1,0.0756666666665,-0.964833333333,-0.227,5.90233333333
241.17,4.50966666666,2.53266666667,2.549,1.55233333333,1.20916666667,3.317,1.40533333333,0.517277777776,0.473833333335,6.71583333333
241.54,4.56666666667,2.69066666666,2.5305,2.28333333333,1.75966666667,3.883,1.338,0.964777777776,0.581499999998,6.80633333334
241.92,3.98116666667,2.36783333334,2.31583333334,2.21166666666,1.91266666667,3.747,1.35333333334,1.20566666667,0.676499999998,6.67433333333
242.29,4.19066666666,2.46416666667,2.57166666667,3.4525,2.58316666667,4.57166666667,2.0475,1.71027777778,1.15483333333,7.15466666666
242.67,3.86483333333,2.52466666667,2.46866666667,3.4965,2.43516666667,4.90383333333,1.84316666666,1.60838888889,1.10583333333,7.1045
243.05,3.93933333333,3.30083333333,2.7165,3.67966666666,2.7055,5.29216666667,2.06733333334,2.03461111111,1.27716666666,7.20783333333
243.42,3.49216666666,3.143,2.2435,3.50266666667,2.402,5.15316666666,1.6295,1.81666666667,0.8465,6.45516666667
243.80,3.1315,3.02633333333,2.00733333334,3.16316666667,1.881,5.18066666667,1.48166666667,1.59733333333,0.567333333335,6.1055
244.17,2.59016666667,2.74483333333,1.62033333334,2.9825,1.63033333333,5.1085,1.44483333333,1.46888888889,0.443833333335,5.84116666666
244.55,1.97333333333,2.439,1.093,2.5095,1.14333333333,4.7055,0.900666666666,1.05255555555,0.0201666666665,5.23183333334
244.92,1.66866666667,2.51733333334,1.1415,2.42,0.858666666669,4.713,0.517166666667,0.897722222223,0.0291666666665,5.1815
245.30,1.70916666666,2.7945,1.248,2.12516666667,0.804666666666,4.71116666667,0.343666666667,1.13938888889,0.397666666666,5.254
245.67,1.9105,2.75416666667,1.191,1.86933333333,0.794166666667,4.44166666667,0.529166666667,1.47488888889,0.579,5.11166666667
246.05,2.51516666667,3.29583333334,1.584,2.4325,1.03583333333,4.86483333333,0.923333333331,2.04938888888,1.17116666667,5.533
246.42,2.561,3.65466666667,1.69583333333,2.20783333333,0.982833333335,4.94883333334,0.927499999998,2.17327777778,1.329,5.62016666667
246.79,2.62266666667,3.89866666667,1.85666666667,2.13133333334,0.918833333331,4.86216666666,0.906166666668,2.23344444444,1.174,5.5385
247.17,2.90616666667,4.06983333333,2.36316666667,2.357,1.1755,5.1975,1.00233333333,2.45455555556,1.39033333333,5.98533333333
247.54,3.22966666667,4.03416666666,2.54483333333,2.3735,1.35216666667,5.10116666666,1.067,2.60366666667,1.472,6.48183333334
247.92,3.01933333333,3.79066666666,2.24216666666,2.159,1.099,4.6675,0.865833333332,2.36072222222,1.25983333334,6.27716666666
248.29,3.05633333334,3.7985,2.12733333333,1.96233333334,0.967333333332,4.66133333333,0.769499999999,2.21344444444,1.26983333333,6.28316666667
248.67,3.22166666667,4.06266666667,2.34133333333,2.14216666667,1.107,4.61633333333,0.935666666669,2.21961111111,1.323,6.4485
249.04,3.38016666667,4.15516666667,2.6335,2.34266666667,1.41366666666,4.714,1.23116666667,2.52683333333,1.61883333334,6.766
249.42,3.60183333333,4.2705,2.98766666667,2.51766666666,1.572,4.87283333333,1.52383333333,2.84305555555,1.825,7.07166666667
249.79,3.82133333333,4.512,3.6405,2.769,1.872,5.222,1.74266666666,3.0015,2.3045,7.41683333334
250.17,3.81183333333,4.56016666667,3.76983333333,2.7555,1.88833333333,5.27366666667,1.90233333334,2.90944444445,2.252,7.38566666667
250.54,3.5665,4.03,3.67133333333,2.6395,1.67483333333,4.8975,1.65233333334,2.66927777778,1.89916666667,7.26766666666
250.92,3.64666666667,3.83083333333,3.511,2.60716666666,1.7995,4.94233333334,1.6315,2.72977777778,1.99933333333,7.3095
251.29,3.3535,3.34533333333,2.90083333334,2.255,1.25766666667,4.4685,1.34966666667,2.247,1.73533333334,6.623
251.66,2.889,3.07916666667,2.71583333333,2.14516666667,0.847666666667,4.29,1.1155,1.75294444444,1.54816666667,6.18416666666
252.04,3.1085,3.2755,3.0735,2.59033333333,0.790166666668,4.3995,1.2995,1.99327777778,1.93183333334,6.55966666667
252.41,3.6545,3.55666666666,3.823,3.20216666666,1.17966666667,4.7365,1.82733333333,2.732,2.244,6.972
252.79,3.5965,3.50616666667,4.07433333333,3.40716666666,1.18083333333,5.156,2.19016666667,3.22394444445,2.49666666667,6.9135
253.16,3.41666666667,3.45283333333,3.70666666666,3.2355,0.679833333333,4.97566666667,1.81283333333,2.91527777778,1.858,6.344
253.54,3.0915,3.24866666666,3.14666666667,2.96233333333,0.12,4.5405,1.3935,2.37494444445,1.03366666667,5.8415
