wavelength,Back_TanGyrf,Belly_TanGyrf,Breast_TanGyrf,Crissum_TanGyrf,Crown_TanGyrf,DorTail_TanGyrf,Patch10_TanGyrf,Patch11_TanGyrf,Patch12_TanGyrf,Patch13_TanGyrf,Rump_TanGyrf,Throat_TanGyrf,WingTip_TanGyrf
604.23,25.74925,34.8459166667,27.9669166667,32.1633333333,22.6543333333,8.107,20.0884166667,61.6954166667,43.6453333333,26.7711666667,22.9034166666,27.2331666667,10.7925
604.56,25.61675,34.71925,27.8651666666,32.0570833333,22.67925,8.12241666666,20.0024166667,61.72725,43.7405,26.8294583333,22.81725,27.1633333333,10.7978333333
604.90,25.4246666667,34.5431666667,27.7085833333,31.8464166667,22.6703333334,8.14591666667,19.8880416667,61.6351666667,43.7815,26.8429166667,22.6651666667,27.0536666666,10.8211666667
605.23,25.22625,34.32175,27.5154166667,31.6559166667,22.6138333334,8.08629166667,19.7075,61.5800833333,43.7696666667,26.8393333333,22.4960833333,26.9135833333,10.7874166667
605.57,25.1196666666,34.2435833333,27.4464166667,31.5999166666,22.6445,8.09166666666,19.6104583333,61.677,43.9130833333,26.9178333333,22.4409166667,26.8504166666,10.82975
605.90,24.9491666667,34.0900833333,27.2749166667,31.4523333333,22.631,8.043,19.4650416667,61.60925,43.9765833333,26.9685833333,22.3034166667,26.7416666667,10.8169166667
606.24,24.7625833333,33.9065833333,27.1361666667,31.32075,22.6250833333,8.018375,19.35675,61.5725833333,44.01625,27.0147083333,22.1829166667,26.6506666667,10.8368333333
606.58,24.568,33.70175,26.94775,31.1679166667,22.6271666667,7.99375,19.248375,61.5434166667,44.0730833333,27.0206666667,22.0431666667,26.5334166667,10.8414166667
606.91,24.3986666667,33.5188333333,26.827,31.0698333333,22.6584166667,8.00575,19.1541666667,61.56,44.18525,27.1082083333,21.9970833333,26.4501666666,10.9055833333
607.25,24.1771666667,33.2856666667,26.5845,30.8593333333,22.62025,7.91229166667,19.011875,61.5275,44.244,27.1807083334,21.8558333333,26.3173333333,10.8853333333
607.58,23.94975,33.03325,26.37475,30.6434166667,22.59475,7.8775,18.8657916667,61.4205833333,44.2805833333,27.2339583333,21.7156666667,26.18925,10.9088333333
607.92,23.7069166667,32.84975,26.1595833333,30.44275,22.5424166666,7.79370833333,18.722875,61.41525,44.3489166667,27.2640833333,21.5454166667,26.04625,10.8295833333
608.25,23.55675,32.66575,25.9826666667,30.2525,22.5411666666,7.783625,18.6157083333,61.3609166667,44.3986666667,27.3246666667,21.4371666667,25.9298333333,10.8768333333
608.59,23.44125,32.5338333334,25.81475,30.1185,22.5255833333,7.76154166667,18.5274166667,61.35825,44.45225,27.4142916667,21.3866666667,25.83925,10.9094166667
608.92,23.3301666667,32.4138333333,25.6795,29.9914166667,22.54875,7.79145833333,18.4786666667,61.315,44.53075,27.5089583333,21.35225,25.7791666667,10.931
609.26,23.15775,32.21775,25.4846666667,29.7625833333,22.4964166667,7.72875,18.3587083334,61.2399166667,44.54275,27.520625,21.2216666667,25.655,10.8775
609.59,23.0600833333,32.0434166667,25.3505833334,29.6053333333,22.467,7.75833333333,18.2634166667,61.2131666667,44.597,27.55775,21.1639166667,25.5675,10.8825
609.93,22.9645833333,31.9114166667,25.2003333333,29.45075,22.4700833334,7.76333333333,18.1882083334,61.1730833334,44.69575,27.65475,21.11375,25.502,10.89275
610.26,22.86825,31.7935,25.0645,29.3109166667,22.4698333333,7.74645833333,18.090375,61.2221666667,44.801,27.7477916666,21.0698333334,25.3906666667,10.8779166667
610.60,22.76675,31.63675,24.89325,29.1323333334,22.4305833334,7.70729166667,17.990375,61.1489166667,44.8336666667,27.7893333334,20.94325,25.2998333333,10.8503333333
610.93,22.6573333333,31.51625,24.7815833333,29.0064166667,22.4318333333,7.76716666667,17.95525,61.0545833333,44.83825,27.8349166667,20.8608333333,25.2235833333,10.8684166667
611.27,22.57,31.3878333333,24.6366666667,28.89975,22.4241666666,7.74691666667,17.8625833333,61.0651666667,44.9065,27.8628333333,20.7738333333,25.1225,10.8461666667
611.60,22.4109166666,31.2129166667,24.5061666667,28.73625,22.3763333333,7.7415,17.76,60.9944166667,44.9623333334,27.9105416667,20.6665,24.9885833334,10.8620833333
