wavelength,Back_CisLevf,Belly_CisLevf,Breast_CisLevf,Crissum_CisLevf,Crown_CisLevf,DorTail_CisLevf,Patch10_CisLevf,Patch11_CisLevf,Rump_CisLevf,Throat_CisLevf,WingTip_CisLevf
761.94,55.5010666667,70.2130666667,5.93026666666,56.2614333333,6.28866666666,6.494,34.5592,36.2308666667,59.2741111111,6.51366666667,9.28006666666
762.26,55.3047,69.7443333333,6.1032,56.0073333333,6.45666666667,6.55446666667,34.2836666667,36.1864,59.0795,6.77053333334,9.32006666666
762.57,55.489,69.8507333333,6.25326666667,56.0805333333,6.60646666667,6.6346,34.4107333333,36.2885333333,59.0612555555,6.83933333333,9.44333333333
762.88,55.4450333333,69.7565333333,6.58333333333,56.0855333333,7.01206666667,7.06453333333,34.4958,36.3415333333,59.2852,7.18486666667,9.75046666666
763.20,55.2510666667,69.6042,6.88633333333,56.0169666667,7.22353333334,7.26126666667,34.5664,36.3504666667,59.1673,7.43753333333,9.89199999999
763.51,55.5120666667,69.8388666667,7.19666666667,56.4439666667,7.38219999999,7.46806666667,34.7302666667,36.6496666667,59.387,7.7398,10.2154666667
763.82,55.9341333333,70.2264,7.69733333333,56.7076333333,7.85579999999,7.87626666667,35.2043333333,37.0199333333,59.8740666667,8.1446,10.7279333333
764.14,55.4204,69.7797333333,7.52193333334,56.3855666667,7.64186666666,7.64173333333,34.8919333333,36.7780666667,59.6597444444,7.90053333333,10.511
764.45,55.6809333333,69.9542,7.89146666667,56.5818333333,7.99033333334,8.0152,35.261,37.0648,59.8215,8.1524,10.9506
764.76,55.496,69.478,8.10713333333,56.3988666667,8.33626666667,8.46633333334,35.298,37.1578,59.6000666667,8.51486666667,11.2696666666
765.07,55.3376333334,69.3128666667,8.1576,56.1956666667,8.42686666667,8.52733333333,35.2039333333,36.8917333333,59.3842222222,8.50913333333,11.3462
765.39,55.7406,69.5598,8.46386666666,56.5288,8.63893333333,8.89173333333,35.4088,37.244,59.6853222222,8.71046666667,11.69
765.70,56.1515,70.1567333333,8.5954,57.1694,8.667,9.0054,35.9633333333,37.5404,60.0984666667,8.74566666667,11.9085333333
766.01,56.1394,70.3076,8.55006666667,57.4872,8.51680000001,8.91106666666,35.9553333333,37.5442,60.1840333333,8.6236,11.8322666667
766.32,56.4535666667,70.9623333333,8.4878,57.9442,8.26586666667,8.6544,36.2694,37.7148,60.4241666667,8.54333333333,11.8148666667
766.64,57.1771333333,71.7776,8.67686666667,58.6767333333,8.37993333333,8.9014,36.827,38.2599333333,61.2478666667,8.80520000001,11.9808
766.95,57.0291666667,71.5505333333,8.25633333333,58.5500666667,8.01846666667,8.6314,36.6443333333,38.2058666667,61.1983444444,8.39360000001,11.6651333333
767.26,56.5478,70.8731333333,7.7316,58.2273666667,7.59226666667,8.24466666667,36.2258666667,37.7573333333,60.4952444444,7.95186666667,11.2678
767.57,56.7988333333,71.0302,7.9158,58.1815666667,7.63060000001,8.21033333333,36.4144,37.7386666667,60.4598888889,7.93686666667,11.3122666667
767.88,56.7223333333,70.916,7.956,58.0335,7.61493333334,8.11406666667,36.3118,37.6322,60.3337666667,7.9994,11.1483333333
768.20,56.7050333333,71.3216666667,7.897,58.0393333333,7.474,7.75893333333,36.2518,37.4564666667,60.4286444445,7.83586666667,10.9916
768.51,56.9626333333,71.6005333333,7.9466,58.3368333333,7.32466666667,7.7812,36.3457333333,37.781,60.6900666667,7.8108,10.8366
768.82,56.7540666667,71.7504666667,7.31426666666,58.3779666667,6.86193333333,7.1738,36.0876666667,37.6192,60.6373444444,7.22513333333,10.3289333333
769.13,56.3897,71.4534666667,6.95773333334,57.9783333333,6.45619999999,6.9718,35.6231333333,37.247,60.3559666667,6.8104,10.1350666667
769.44,56.3426666667,71.3471333333,7.3324,57.5671,6.75206666666,7.20406666667,35.6824666667,37.3873333333,60.6122777778,6.99406666666,10.4038666667
769.76,56.2097,71.158,7.47606666667,57.655,7.03886666667,7.45426666667,35.7506666667,37.29,60.4655333333,7.1472,10.6486
770.07,56.0095666667,71.0068,7.14533333333,57.3918666667,6.85433333333,7.15626666667,35.1923333333,36.9852,60.2239333333,6.75866666667,10.4104
770.38,56.0814666667,71.3966,7.4892,57.3079,6.90226666666,7.32853333333,35.3934666667,36.9488666667,60.4239,6.99953333333,10.4691333333
770.69,56.3598333333,71.5152,8.15913333333,57.5550666667,7.28786666666,7.76893333333,36.0568,37.2424666667,60.9033555556,7.57966666667,10.8295333333
771.00,56.3019,71.5897333333,8.17973333334,57.692,7.39246666667,7.88406666667,35.9447333333,37.2312,60.9645111111,7.68053333333,10.7719333333
771.32,55.9467333333,71.0178,7.9004,57.4762333333,7.09866666668,7.7214,35.4116666667,36.7775333333,60.9256888889,7.3828,10.8619333333
