wavelength,Back_HetRubm,Belly_HetRubm,Breast_HetRubm,Crissum_HetRubm,Crown_HetRubm,DorTail_HetRubm,Patch10_HetRubm,Rump_HetRubm,Throat_HetRubm,WingTip_HetRubm
770.69,8.866,28.5993333333,22.6616666667,12.7053333333,13.4213333333,9.61466666667,75.614,62.2416666667,23.0356666667,12.0873333333
771.00,8.63733333333,28.4073333333,22.5993333333,12.9136666667,13.3296666667,9.63566666667,76.086,62.1066666667,22.6826666667,11.7156666667
771.32,7.748,27.8926666667,22.217,12.2956666667,12.245,9.045,75.24,60.9733333333,22.4523333333,11.0156666667
771.63,8.266,28.222,22.706,12.5673333333,12.7023333333,9.48066666667,74.9663333333,60.8806666667,22.419,11.083
771.94,8.61466666667,28.932,22.825,13.357,13.323,9.99666666667,75.0596666667,61.3613333333,23.2516666667,11.1563333333
772.25,8.38533333333,28.744,22.4983333333,13.199,13.5093333333,9.90333333333,74.7413333333,60.8526666667,23.292,11.2663333333
772.56,8.273,28.8943333333,22.5043333333,13.4196666667,13.8516666667,9.77533333333,74.5766666667,60.0,23.178,11.4333333333
772.87,7.81833333333,28.8256666667,22.275,13.365,13.5236666667,9.139,74.89,60.0106666667,23.1553333333,11.4456666667
773.18,7.71833333333,28.412,21.7206666667,12.9406666667,12.834,8.46166666667,74.4733333333,59.3023333333,22.8886666667,11.1526666667
773.50,7.34966666667,28.4636666667,21.761,12.974,12.8303333333,8.122,74.5553333333,58.742,22.7313333333,11.249
773.81,7.86433333333,29.019,21.6273333333,12.707,13.053,7.84633333333,75.059,58.8203333333,22.5923333333,11.123
774.12,7.77166666667,28.3793333333,21.5283333333,12.744,13.4066666667,7.67966666667,75.212,58.895,22.7993333333,11.16
774.43,7.68366666667,28.0066666667,21.5293333333,12.5463333333,12.9363333333,7.60966666667,74.833,58.556,22.81,11.1173333333
774.74,8.277,27.7653333333,21.7833333333,12.7166666667,13.4686666667,7.844,75.7713333333,59.2173333333,22.8183333333,11.5126666667
775.05,8.105,27.4733333333,21.4803333333,12.69,13.166,7.81966666667,76.503,59.532,23.1736666667,11.644
775.36,7.33133333333,26.249,20.5696666667,11.605,12.289,7.17966666667,75.1946666667,58.3476666667,22.2413333333,11.282
775.67,7.365,26.6933333333,20.511,11.429,12.1923333333,7.25033333333,75.31,58.9393333333,22.1903333333,11.2193333333
775.98,7.81233333333,26.447,20.602,11.1883333333,12.056,7.581,75.9453333333,59.78,22.685,11.5353333333
776.30,7.60966666667,25.7423333333,20.299,11.0213333333,11.9036666667,7.47566666667,75.388,58.5396666667,22.35,11.271
776.61,7.713,25.8916666667,20.0583333333,11.182,12.0543333333,7.403,75.5426666667,58.7403333333,22.287,11.0463333333
776.92,7.57866666667,25.677,19.365,11.1633333333,11.397,7.30566666667,75.6283333333,58.718,21.995,10.5203333333
777.23,7.29033333333,25.1266666667,19.5126666667,11.3643333333,11.111,7.25133333333,75.2046666667,58.46,22.0076666667,10.624
777.54,7.056,25.0393333333,19.556,11.3993333333,10.8096666667,7.52766666667,75.4913333333,58.9033333333,21.5016666667,10.515
777.85,6.68666666667,24.9453333333,19.1493333333,10.702,10.3663333333,6.98333333333,75.2126666667,58.932,21.0683333333,10.2276666667
778.16,6.11866666667,24.455,18.4366666667,10.058,10.018,6.659,74.305,58.608,20.4556666667,9.258
778.47,5.79866666667,24.6553333333,18.0966666667,9.938,10.178,6.239,73.2053333333,58.048,19.816,8.89833333333
778.78,6.41933333333,25.1396666667,18.4606666667,10.2073333333,10.6456666667,6.37933333333,72.6876666667,58.2533333333,19.976,9.19033333333
779.09,7.17,25.3646666667,18.9533333333,11.344,11.5636666667,6.83066666667,72.898,58.0386666667,20.6313333333,9.84633333333
779.40,6.76766666667,25.398,18.7313333333,11.42,11.6816666667,5.90133333333,72.447,57.7643333333,20.2416666667,9.84866666667
779.71,6.351,25.1176666667,18.828,11.1656666667,11.4526666667,5.839,72.1776666667,58.267,19.8523333333,9.79266666667
780.02,5.97433333333,24.928,18.933,10.919,11.6193333333,6.22166666667,72.3113333333,58.2406666667,19.86,10.2803333333
780.33,5.81266666667,24.7296666667,19.9586666667,10.625,11.6666666667,6.08333333333,72.1666666667,58.3126666667,19.792,10.042
780.64,5.524,24.3306666667,19.671,10.3943333333,11.4063333333,5.861,71.5793333333,57.9803333333,19.7766666667,9.509
780.95,5.64433333333,24.345,19.127,10.1383333333,10.9693333333,5.133,71.0543333333,57.295,20.0213333333,9.116
781.26,5.74266666667,23.7266666667,19.1493333333,10.643,11.572,5.203,71.5026666667,57.7503333333,20.531,9.41266666667
781.57,6.06066666667,24.0243333333,19.359,10.726,11.5543333333,5.014,72.3566666667,57.816,20.7106666667,10.2463333333
781.88,5.85,23.6863333333,19.801,10.5076666667,11.6113333333,5.09933333333,72.5383333333,57.7703333333,20.4193333333,10.618
782.19,5.27833333333,23.4953333333,19.789,10.1303333333,11.5226666667,5.09866666667,73.046,57.4796666667,20.8446666667,10.2203333333
782.50,5.20966666667,22.9136666667,19.6433333333,9.22433333333,10.8706666667,5.683,72.26,56.9913333333,20.7263333333,9.99066666667
782.81,5.76266666667,22.915,19.5483333333,8.76833333333,11.0963333333,6.46333333333,72.384,56.678,20.904,10.1916666667
783.12,6.60766666667,23.7513333333,19.4823333333,8.65133333333,11.4443333333,6.903,72.82,57.1753333333,21.821,10.9673333333
783.43,6.708,23.4543333333,19.279,8.419,11.2936666667,6.57066666667,72.2793333333,56.856,22.2223333333,10.3126666667
783.74,6.436,23.345,18.408,7.91233333333,11.2343333333,6.32066666667,72.134,56.332,22.1453333333,10.3113333333
784.05,6.431,23.8493333333,18.5056666667,7.842,11.6816666667,6.40766666667,72.334,56.6506666667,22.0446666667,10.8953333333
784.36,7.01233333333,24.499,19.1483333333,8.58366666667,12.5453333333,7.10366666667,71.972,56.6483333333,22.427,12.2043333333
784.67,6.818,24.3573333333,19.054,8.12666666667,12.328,7.18566666667,71.809,56.8413333333,22.1303333333,12.374
784.98,7.34666666667,25.0113333333,20.2493333333,9.13833333333,13.1973333333,7.66433333333,70.8386666667,56.8026666667,22.789,12.4943333333
785.29,8.569,25.3476666667,20.7493333333,10.3183333333,14.1096666667,8.59133333333,71.108,57.0433333333,23.7553333333,12.898
785.60,8.772,24.9166666667,20.697,11.059,14.057,8.37233333333,70.886,56.873,23.1623333333,13.3023333333
785.91,8.34433333333,24.393,20.2866666667,10.596,13.355,7.064,70.552,56.799,22.4506666667,12.7593333333
786.22,8.339,24.2286666667,20.3983333333,11.4466666667,13.088,7.41966666667,70.869,57.365,22.193,12.6503333333
786.53,8.28966666667,23.9966666667,20.3536666667,11.693,13.5253333333,7.08966666667,71.1606666667,57.7443333333,22.1423333333,12.173
786.84,8.87433333333,24.1583333333,20.6003333333,11.94,13.8906666667,7.20266666667,70.9536666667,58.0706666667,21.7576666667,12.433
787.14,10.0563333333,25.1623333333,21.3493333333,13.1573333333,14.9383333333,8.611,71.4646666667,58.81,22.8576666667,13.4506666667
787.45,9.78433333333,24.6476666667,20.7506666667,13.3703333333,14.6143333333,8.354,71.2063333333,58.5823333333,23.072,13.122
787.76,9.25933333333,24.407,20.537,13.2753333333,14.3986666667,8.28133333333,71.3066666667,59.093,22.659,12.0473333333
788.07,9.30066666667,24.712,20.2676666667,13.6626666667,14.0536666667,8.00433333333,71.5226666667,58.745,22.6956666667,11.7693333333
788.38,9.19,24.4733333333,19.3926666667,13.2796666667,13.135,7.88933333333,71.9746666667,58.4473333333,22.0363333333,11.8753333333
788.69,9.04533333333,24.8953333333,19.3466666667,12.9186666667,12.7303333333,7.89366666667,72.718,59.1916666667,21.9426666667,12.123
789.00,8.89466666667,24.8413333333,19.0386666667,12.071,12.6853333333,7.94133333333,72.7023333333,59.2756666667,22.1093333333,11.817
789.31,9.28466666667,25.3386666667,19.5356666667,12.7663333333,13.561,8.575,73.6083333333,59.7466666667,22.867,12.1856666667
789.62,8.62833333333,25.0326666667,18.851,11.446,13.2373333333,7.645,72.5643333333,59.0433333333,22.4333333333,11.7516666667
789.92,7.61,24.566,18.18,10.525,12.0603333333,6.631,71.985,58.0996666667,21.562,11.0593333333
790.23,7.125,24.582,17.9153333333,10.676,11.7753333333,6.13966666667,72.44,57.9153333333,21.489,11.2713333333
790.54,6.73233333333,23.3873333333,17.429,9.96933333333,10.6966666667,4.73833333333,71.3346666667,57.26,20.3846666667,10.3446666667
790.85,7.05666666667,23.3863333333,17.895,9.70633333333,11.1273333333,4.64833333333,71.6523333333,57.972,20.3276666667,10.3563333333
791.16,6.284,22.6033333333,17.5606666667,8.81766666667,10.5813333333,3.378,70.9143333333,57.8736666667,20.0696666667,10.0096666667
791.47,5.832,23.1776666667,18.2,8.371,11.2623333333,3.82133333333,70.1356666667,57.5413333333,19.7083333333,9.678
791.78,5.743,23.3796666667,18.7343333333,8.57566666667,11.6386666667,4.41566666667,70.4186666667,58.3206666667,20.5716666667,10.0306666667
792.08,5.2,23.063,18.929,8.06,11.7523333333,3.874,70.229,58.554,20.853,9.62
792.39,4.823,23.501,19.2113333333,7.807,11.644,3.57066666667,71.1163333333,59.4723333333,21.0763333333,10.2583333333
792.70,3.931,23.3686666667,18.4546666667,6.57933333333,11.1386666667,2.75733333333,70.9256666667,59.869,20.3113333333,9.99166666667
793.01,3.97466666667,23.0536666667,18.3936666667,7.127,10.691,3.07033333333,70.8606666667,60.0876666667,20.4223333333,9.56666666667
793.32,5.04566666667,23.242,18.5276666667,8.07833333333,11.3866666667,3.805,71.5743333333,60.684,20.8986666667,10.6703333333
793.62,4.264,22.7703333333,17.8926666667,7.66433333333,10.6746666667,3.34433333333,71.823,61.176,20.708,9.922
793.93,3.44433333333,22.611,17.3053333333,7.30533333333,10.5833333333,3.0,71.861,61.5553333333,20.389,9.91666666667
794.24,3.142,21.94,16.8306666667,6.85766666667,10.3553333333,2.54133333333,71.093,60.6833333333,19.59,9.12566666667
794.55,4.02166666667,22.726,16.4373333333,7.15233333333,10.7423333333,2.807,71.606,60.4856666667,19.5953333333,9.55466666667
794.86,5.58666666667,22.855,16.5463333333,8.23333333333,11.3606666667,2.72633333333,72.3066666667,61.0266666667,20.6096666667,10.2643333333
795.16,6.386,23.132,16.4813333333,8.32,12.0296666667,2.43766666667,73.3173333333,61.1553333333,21.118,10.3073333333
795.47,5.56433333333,22.443,15.077,7.71066666667,10.7576666667,1.219,73.397,60.2013333333,20.4823333333,9.45933333333
795.78,5.52533333333,22.4383333333,15.253,8.09333333333,10.6873333333,1.11533333333,72.555,59.585,20.052,9.13133333333
796.09,5.29033333333,21.9826666667,14.6893333333,7.704,10.1183333333,0.821666666667,71.7,58.7056666667,19.389,8.65433333333
796.40,5.67066666667,22.963,15.683,7.893,10.8046666667,1.09833333333,72.567,59.1823333333,19.208,9.4
796.70,5.028,22.5113333333,15.7476666667,7.121,10.4133333333,0.995333333333,71.9496666667,59.5456666667,18.913,8.678
797.01,5.88666666667,22.742,16.5786666667,7.296,10.8426666667,1.434,71.1946666667,59.497,19.371,9.157
797.32,6.868,23.421,17.5093333333,8.327,11.4966666667,2.214,71.7736666667,59.2956666667,20.302,9.96233333333
797.63,6.805,24.4816666667,17.805,8.57,10.949,1.944,71.9623333333,59.3503333333,20.3633333333,10.77
797.93,6.77,24.5993333333,18.4236666667,8.88933333333,10.982,2.19633333333,73.075,59.5866666667,21.0076666667,11.447
798.24,5.395,23.925,17.8003333333,7.66233333333,9.85166666667,1.82433333333,72.0873333333,58.4313333333,20.3283333333,11.0243333333
798.55,4.021,23.598,17.0106666667,6.85166666667,9.44433333333,0.846333333333,70.7406666667,57.8833333333,19.1006666667,10.1853333333
798.85,4.44433333333,24.605,17.3226666667,7.17533333333,10.5223333333,1.419,70.683,58.5276666667,19.3306666667,10.8166666667
799.16,3.83033333333,24.83,16.5443333333,7.09,10.5133333333,1.08666666667,70.1983333333,58.2453333333,19.424,10.0786666667
799.47,4.369,25.9686666667,17.3673333333,8.574,11.6243333333,1.75866666667,71.778,59.302,20.1153333333,11.4043333333
799.78,3.74733333333,25.699,17.0583333333,8.61333333333,11.409,1.14666666667,71.113,58.669,20.274,11.186
800.08,4.27833333333,25.867,16.9743333333,9.34033333333,11.5213333333,1.28633333333,70.498,57.8303333333,19.8546666667,11.941
800.39,4.03266666667,26.7623333333,17.0333333333,9.78566666667,11.7596666667,1.88966666667,71.0096666667,57.2196666667,19.7406666667,12.521
800.70,3.25766666667,26.8176666667,16.2303333333,9.133,11.5763333333,1.425,72.3386666667,57.5626666667,19.1683333333,12.391
801.00,3.854,26.861,16.799,10.209,12.6213333333,2.942,73.7866666667,58.4583333333,20.2703333333,12.974
801.31,3.852,27.4666666667,17.8073333333,10.5483333333,12.415,3.25933333333,73.9853333333,58.311,20.2073333333,12.7703333333
801.62,4.49633333333,28.687,18.975,11.7506666667,12.6496666667,3.14733333333,75.5393333333,59.652,20.4136666667,13.819
801.92,5.268,28.792,19.7703333333,12.7763333333,12.867,4.178,76.3853333333,60.7326666667,20.89,14.8046666667
802.23,5.92133333333,27.9533333333,20.1383333333,13.9463333333,12.173,4.35833333333,75.744,60.2043333333,20.4386666667,15.0286666667
802.54,7.43433333333,28.0623333333,21.6023333333,14.1986666667,12.401,4.50933333333,77.27,60.7863333333,20.2623333333,15.9046666667
802.84,7.19333333333,26.2013333333,21.304,12.7946666667,10.989,3.45866666667,76.4006666667,59.9326666667,19.345,14.9373333333
803.15,7.92733333333,26.7216666667,21.5486666667,12.703,11.3866666667,4.34633333333,77.3493333333,61.3403333333,20.1713333333,15.9473333333
803.46,7.397,27.2783333333,21.723,12.141,11.6726666667,4.58833333333,78.9013333333,62.4216666667,20.9426666667,15.5433333333
803.76,7.01266666667,27.3136666667,22.094,12.0076666667,11.8793333333,4.48266666667,80.6276666667,64.457,21.0053333333,15.498
804.07,6.89,27.177,22.4243333333,11.7063333333,11.7386666667,4.051,79.2026666667,64.657,21.6586666667,15.2153333333
804.38,6.57766666667,27.1686666667,21.7983333333,10.7403333333,10.963,3.46366666667,78.646,64.4106666667,22.148,14.776
804.68,6.806,27.287,21.589,11.4276666667,11.1743333333,3.89366666667,77.7463333333,65.2106666667,22.855,15.258
804.99,6.63533333333,27.044,20.6916666667,11.321,10.849,4.68533333333,76.604,64.4026666667,22.8616666667,14.654
805.30,5.35966666667,26.9266666667,20.298,10.5616666667,10.1173333333,3.93266666667,76.4033333333,64.1293333333,22.8356666667,13.5426666667
805.60,4.68933333333,26.9536666667,19.9043333333,9.82466666667,9.984,3.66833333333,75.7573333333,64.115,22.8073333333,12.9823333333
805.91,4.68,26.934,19.484,10.6336666667,9.67833333333,4.171,74.8806666667,64.5973333333,23.6546666667,12.7663333333
806.21,4.09866666667,28.178,19.9166666667,11.047,9.86233333333,4.995,74.768,65.226,24.5596666667,13.1923333333
806.52,4.40133333333,27.961,20.097,11.5856666667,10.485,4.66033333333,75.0483333333,64.66,24.304,13.56
806.83,5.016,28.0906666667,20.8736666667,12.0066666667,10.647,4.59566666667,75.4043333333,64.3693333333,24.3043333333,14.1746666667
807.13,4.16266666667,26.8943333333,19.2846666667,11.122,9.431,3.187,73.7886666667,63.1543333333,22.9593333333,13.2683333333
807.44,2.43166666667,25.8696666667,18.0343333333,10.1993333333,8.37533333333,2.02633333333,74.3666666667,63.931,21.378,12.158
807.74,0.555,24.6273333333,16.9616666667,8.67166666667,6.937,0.208333333333,73.7423333333,63.1286666667,19.8056666667,11.2383333333
808.05,-0.922,23.085,15.3546666667,6.48933333333,6.09933333333,-0.851,72.943,62.0923333333,17.6593333333,9.71633333333
808.35,-2.22966666667,22.7053333333,14.1953333333,4.75666666667,5.23966666667,-2.007,74.2103333333,63.6936666667,17.4283333333,8.13833333333
808.66,-2.09733333333,22.4343333333,14.0446666667,4.23233333333,5.131,-1.723,73.633,63.3706666667,16.8163333333,8.16466666667
808.97,-2.79066666667,23.0883333333,14.488,3.708,5.581,-1.56733333333,75.153,64.373,17.584,8.257
809.27,-3.64333333333,21.8993333333,13.8373333333,1.473,5.77533333333,-2.248,75.0776666667,63.9533333333,16.783,8.101
809.58,-2.38666666667,21.6353333333,14.241,1.68233333333,6.33833333333,-2.30866666667,75.587,63.967,17.0973333333,8.41166666667
809.88,-3.767,20.575,12.5556666667,-0.729,3.807,-4.09033333333,74.8076666667,63.9126666667,15.8766666667,6.27766666667
810.19,-3.936,21.074,11.972,-0.984,2.542,-4.838,72.817,63.059,15.826,5.863
810.49,-3.13666666667,21.6226666667,13.091,0.042,3.179,-2.844,74.2783333333,62.8606666667,16.8966666667,6.19
810.80,-1.024,23.5873333333,14.66,1.47433333333,3.931,-0.696,74.1196666667,61.548,18.182,7.73966666667
811.10,0.743333333333,24.3286666667,16.605,2.974,4.874,0.578333333333,74.3906666667,62.536,18.4633333333,8.798
811.41,2.25266666667,24.6976666667,17.3133333333,3.171,4.714,1.085,75.8866666667,63.2873333333,19.3993333333,9.47033333333
811.71,2.868,24.2726666667,18.62,3.86566666667,5.15366666667,1.91166666667,75.4366666667,62.1776666667,19.119,10.6816666667
812.02,3.412,24.969,19.0596666667,4.12,5.16033333333,2.039,75.9883333333,61.9226666667,19.2673333333,11.7353333333
