wavelength,Back_ConBicm,Belly_ConBicm,Breast_ConBicm,Crissum_ConBicm,Crown_ConBicm,DorTail_ConBicm,Patch10_ConBicm,Rump_ConBicm,Throat_ConBicm,WingTip_ConBicm
738.33,10.6135555555,63.9027777778,45.7356666667,61.0715555556,10.6334444445,15.8375555556,30.5457777778,13.67,49.834,15.332
738.64,10.2057777778,63.5612222222,45.2903333333,60.7933333333,10.1263333333,15.4396666667,29.8466666667,13.1324444445,49.313,14.7845555555
738.96,10.1864444444,63.5001111111,45.25,61.0833333333,10.2856666667,15.73,29.9205555555,13.2182222222,49.3016666666,14.8572222222
739.28,10.2895555556,63.3923333333,45.278,61.3823333333,10.4091111111,15.7893333333,29.9593333333,13.4163333334,49.4895555556,15.1951111111
739.59,9.91133333333,63.2407777778,45.2093333333,61.3528888889,10.2615555556,15.6722222222,29.706,13.2165555555,49.4323333333,14.9556666667
739.91,9.95844444443,63.1963333333,45.3061111111,61.2951111111,10.5975555556,15.8922222222,29.7861111111,13.4003333333,49.5407777778,15.532
740.23,9.89477777778,63.1683333333,45.3913333333,61.2825555556,10.6498888889,15.8502222222,29.8882222222,13.4256666667,49.506,15.6952222222
740.54,10.113,63.2243333333,45.5411111111,61.2856666666,11.0493333333,16.1841111111,30.1131111111,13.6372222222,49.3818888889,15.7241111111
740.86,10.1803333333,62.8366666667,45.3546666667,60.9876666667,11.3212222222,16.3124444445,30.0757777778,13.6807777778,49.0611111111,15.9832222222
741.18,10.5315555555,63.102,45.6326666667,61.305,11.77,16.7854444444,30.5982222222,14.0755555556,49.6226666667,16.4935555555
741.49,10.5063333333,63.4608888889,45.6328888889,61.4262222222,11.7708888889,17.041,30.7616666666,14.0887777778,49.6636666667,16.6011111111
741.81,10.1698888889,63.4582222222,45.4593333334,61.4416666666,11.3745555556,16.7896666667,30.3623333334,13.9051111111,49.402,16.2671111111
742.12,10.1595555556,64.0454444444,45.7087777778,61.4987777778,11.2696666667,16.8605555556,30.527,13.913,49.7885555555,16.2525555555
742.44,9.75444444444,64.165,45.6344444444,61.2622222222,10.746,16.3084444444,30.1962222222,13.4145555556,49.7408888889,15.889
742.76,9.38699999999,64.1123333333,45.5802222222,61.1614444445,10.5591111111,16.1742222222,29.8897777778,13.1683333334,49.5257777778,15.7042222222
743.07,9.72922222223,64.2345555556,45.8497777778,61.2585555555,10.9545555556,16.3857777778,30.2561111111,13.5387777778,49.977,16.0678888889
743.39,9.32922222221,63.5092222222,45.0167777778,60.3887777778,10.4693333334,16.1151111111,29.6956666667,13.0453333333,49.3653333333,15.404
743.70,9.48322222221,63.4853333333,45.0288888889,60.3086666667,10.6382222222,16.152,29.8088888889,13.263,49.5178888889,15.6696666667
744.02,9.17411111112,63.3215555556,44.7112222222,60.1777777778,10.456,15.883,29.4455555556,12.9122222222,49.4174444445,15.5464444444
744.34,8.867,63.8378888889,44.8247777778,60.3005555556,10.0081111111,15.6991111111,29.4583333333,12.875,49.8883333334,15.4043333333
744.65,8.11344444444,63.5015555556,44.1146666667,59.7005555556,9.47100000001,15.0697777778,28.8105555555,12.407,49.3881111111,14.8784444445
744.97,8.01655555556,63.0444444444,43.96,59.3697777778,9.4271111111,14.9444444445,28.6748888889,12.4398888889,49.362,14.8145555555
745.28,7.92477777778,62.7855555556,43.8552222222,59.2113333333,9.46277777777,14.8052222222,28.7144444444,12.3091111111,49.2311111111,14.8724444445
745.60,7.86166666667,62.3546666667,43.7868888889,59.0766666667,9.79122222222,14.8992222222,28.5497777778,12.3118888889,48.9565555555,14.9943333333
745.91,7.81966666667,61.7745555556,43.4195555555,58.6155555555,9.91633333333,14.8748888889,28.3655555555,12.3717777778,48.685,15.0401111111
746.23,8.17966666666,61.8534444445,43.56,58.818,10.1844444444,15.0922222222,28.7234444444,12.5626666667,49.0496666667,15.2293333334
746.55,8.21411111111,62.0303333333,43.6552222222,59.0151111111,10.029,15.0998888889,28.7536666667,12.4107777778,49.0712222222,15.2181111111
746.86,8.656,62.7683333333,44.4683333333,59.9763333333,10.5176666667,15.4605555555,29.3826666667,12.8917777778,49.6771111111,15.7787777778
747.18,8.16211111111,62.5475555555,44.0782222222,59.8648888889,10.35,15.1541111111,28.9288888889,12.4333333333,49.4053333334,15.0163333333
747.49,7.64122222222,62.6192222222,44.1152222222,59.8317777778,10.0946666667,14.772,28.7227777778,12.2947777778,49.203,14.4617777778
747.81,8.12277777778,62.4595555556,44.1337777778,59.7675555556,10.7722222222,15.2432222222,28.6365555556,12.5841111111,49.207,14.6971111111
748.12,8.277,62.4483333333,44.4256666667,60.0365555556,10.8015555555,15.3201111111,28.8288888889,12.6032222222,49.3524444445,14.6021111111
748.44,8.75611111111,63.0175555556,45.0753333334,60.6625555556,11.4243333333,15.6715555556,29.4925555556,13.0081111111,50.07,14.98
748.75,8.91388888889,62.9878888889,45.0713333333,60.628,11.6545555555,15.8397777778,29.71,13.308,50.209,14.9663333333
749.07,8.78166666667,62.9675555556,45.1107777778,60.6567777778,11.4605555556,15.7745555556,29.709,13.4452222222,50.5566666667,14.7168888889
749.38,8.98044444445,63.382,45.5937777778,61.3866666666,11.6531111111,16.1807777778,30.0486666667,13.7744444445,51.0186666667,14.9005555556
749.70,8.97677777778,63.5683333333,45.6098888889,61.3638888889,11.6118888889,16.1237777778,29.8978888889,13.7226666667,50.7956666667,14.935
750.01,8.85333333333,63.753,45.4047777778,61.453,11.6308888889,16.2592222222,29.5672222222,13.8421111111,50.7402222222,14.9711111111
750.33,8.93911111111,64.3482222222,45.9272222222,62.0153333334,11.8383333333,16.5701111111,29.7774444444,14.0106666667,51.2867777778,15.1771111111
750.64,9.04311111111,64.6508888889,46.1716666667,62.2327777778,11.854,16.6714444445,30.1058888889,14.3526666666,51.4717777778,15.4362222222
750.96,9.72744444447,64.643,46.2422222222,62.1581111111,12.2452222222,17.1254444444,30.4063333333,14.6735555555,51.8942222222,16.283
751.27,9.34300000001,64.8322222222,46.3168888889,62.2706666667,11.9428888889,17.004,30.3156666667,14.6372222222,52.0674444445,15.9347777778
751.59,10.2015555556,65.3944444445,46.5554444444,62.6753333333,12.7884444445,17.9577777778,30.7275555556,15.5546666667,52.5396666667,16.695
751.90,10.2414444444,65.5654444444,46.4813333333,62.6591111111,12.6517777778,17.912,30.4408888889,15.5064444444,52.4741111111,16.6785555556
752.22,10.8702222222,65.8312222222,46.8233333333,62.8575555555,13.1171111111,18.3471111111,30.5768888889,16.0011111111,52.8651111111,17.1481111111
752.53,11.3562222222,66.266,46.9618888889,63.1783333333,13.4115555555,18.6725555555,31.0186666667,16.1835555555,52.8826666667,17.5692222222
752.85,11.6026666667,65.9504444444,46.6872222222,62.902,13.6912222222,18.7152222222,31.2028888889,16.2336666666,52.8723333333,17.6758888889
753.16,10.9837777778,65.9594444444,46.3817777778,62.7305555556,13.3173333333,18.1634444444,30.981,16.0985555556,52.9063333333,17.1876666666
753.47,10.5352222222,65.326,45.9926666667,62.3005555555,12.9471111111,17.5964444444,30.8364444444,15.7036666667,52.5065555556,16.7894444444
753.79,10.1466666667,64.662,45.2861111111,61.8062222222,12.4915555555,16.7988888889,30.2883333333,15.234,51.8062222222,16.3262222222
754.10,9.91233333333,64.4931111111,44.9485555555,61.4725555556,12.2718888889,16.6047777778,29.766,14.8641111111,51.6933333333,16.1337777778
754.42,9.68488888889,64.6404444444,44.8431111111,61.5577777778,12.225,16.5513333333,29.7703333333,14.8132222222,51.8487777778,15.6726666667
754.73,10.0253333333,64.0552222222,44.5544444444,61.4197777778,12.4598888889,16.6308888889,29.8798888889,14.9232222222,51.3943333333,15.8511111111
755.05,9.18933333334,63.0401111111,44.0581111111,60.4665555555,11.9465555556,15.4955555555,29.1658888889,14.2111111111,50.8666666667,15.2637777778
755.36,8.74366666667,62.6675555555,43.5091111111,60.2563333334,11.8124444444,15.1591111111,29.0662222222,13.9898888889,50.5285555556,14.9642222222
755.67,8.12077777778,62.5542222222,43.288,60.2462222222,11.21,14.5905555556,28.8306666667,13.3007777778,50.1678888889,14.492
755.99,7.81344444444,61.8983333333,42.8352222222,59.5168888889,11.0815555556,14.1858888889,28.2432222222,12.8887777778,49.6335555556,14.1761111111
756.30,7.70966666667,61.9255555556,42.9454444444,59.3406666667,10.9617777778,14.1142222222,27.9097777778,12.9038888889,49.4597777778,14.2836666667
756.62,7.96255555555,61.2595555555,42.5365555556,58.872,11.0518888889,14.2298888889,27.5998888889,12.7075555555,48.9865555556,14.0321111111
756.93,8.73222222222,61.9833333333,43.1262222222,59.3766666667,11.706,14.8378888889,28.095,13.1133333333,49.668,14.5702222222
757.24,9.2978888889,62.3995555555,43.6215555555,59.5564444445,12.3282222222,15.5506666667,28.6867777778,13.7126666667,50.0517777778,15.0482222222
757.56,9.59255555556,62.2095555555,43.8696666667,59.8064444445,12.5165555556,15.6418888889,28.935,13.8385555556,50.2284444444,15.3571111111
757.87,9.86288888889,62.6356666666,44.3752222222,60.3761111111,12.5222222222,15.6206666667,29.1986666667,14.1108888889,50.3848888889,15.606
758.18,10.2966666666,63.4283333333,44.7921111111,61.0637777778,12.7254444444,15.7205555556,29.7324444445,14.3994444445,51.0454444444,16.1725555555
758.50,10.6073333333,64.1232222222,45.1176666667,62.0584444444,12.8664444444,16.1881111111,30.0168888889,14.657,51.3566666667,16.3673333333
758.81,10.6712222222,64.4414444444,45.6096666667,62.2913333334,12.8013333333,16.2817777778,30.1431111111,14.7764444445,51.6051111111,16.2865555555
759.13,10.7645555555,65.0548888889,45.8102222222,62.7253333333,13.1797777778,16.2173333333,30.4714444445,15.1631111111,51.9204444444,16.3578888889
759.44,11.0356666666,65.6118888889,46.1574444445,63.4416666666,13.2761111111,16.526,31.0626666667,15.7324444444,52.3808888889,16.7773333333
759.75,11.7091111111,66.3148888889,46.8816666667,64.1588888889,13.8147777778,16.8853333333,31.69,16.2521111111,53.038,17.2773333333
760.07,11.9375555556,66.6767777778,47.2511111111,64.7063333333,13.7718888889,16.9211111111,32.2196666667,16.5935555556,53.6406666667,17.7174444444
760.38,11.4383333333,66.2187777778,47.0218888889,64.4314444444,13.2708888889,16.2865555556,31.8126666667,16.2261111111,53.3756666667,17.3337777778
760.69,10.9506666666,66.1193333333,46.9197777778,64.5327777778,12.8032222222,15.8406666667,31.782,15.7353333333,53.3061111111,17.0608888889
761.01,11.165,66.2372222222,47.0404444445,64.6612222222,12.9262222222,16.2348888889,32.0012222222,16.4204444444,53.6134444444,17.3814444444
761.32,10.7347777778,65.3547777778,46.3535555556,64.0994444445,12.5922222222,15.959,31.3255555556,15.9777777778,53.181,17.0734444445
761.63,10.3736666667,65.1782222222,46.3264444444,63.6716666667,12.4004444445,15.6306666667,30.9717777778,15.7617777778,53.031,16.8024444445
761.94,10.1931111111,64.7657777778,46.1417777778,63.0684444445,12.1502222222,15.3155555556,30.8175555556,15.3631111111,52.7584444444,16.6926666667
762.26,10.3048888889,63.7651111111,45.5903333333,62.2956666667,12.1221111111,15.1792222222,30.2844444445,15.0891111111,51.9746666667,16.816
762.57,10.5793333333,63.2378888889,45.3945555556,61.7913333333,12.0377777778,15.447,30.1783333333,15.0597777778,51.7123333333,16.9951111111
762.88,10.3066666667,63.1206666667,45.3176666667,61.6412222222,11.7287777778,15.1297777778,29.9017777778,14.7028888889,51.571,16.7087777778
763.20,9.80333333332,62.6355555555,44.6575555556,61.1485555556,11.1111111111,14.7237777778,29.5188888889,14.2493333333,51.1281111111,16.2557777778
763.51,9.83077777779,62.5424444445,44.7534444444,61.008,11.0742222222,14.7608888889,29.3892222222,14.1315555556,50.8314444444,16.2985555555
763.82,9.64288888888,62.1776666667,44.4735555556,60.7421111111,10.8918888889,14.7052222222,29.2425555555,13.9966666667,50.5004444444,16.2026666667
764.14,9.69833333333,62.0651111111,44.4628888889,60.6341111111,10.7257777778,14.6815555556,28.8785555555,13.9144444444,50.3925555555,16.0282222222
764.45,9.4238888889,61.6497777778,44.1602222222,60.3142222222,10.4974444444,14.4295555555,28.5408888889,13.236,49.8578888889,15.6228888889
764.76,9.27988888889,61.6393333333,44.136,60.1781111111,10.4556666667,14.2763333333,28.3831111111,12.9771111111,49.7108888889,15.4253333333
765.07,9.02155555554,61.0133333333,43.7372222222,59.8584444445,10.1962222222,14.0115555555,27.9515555555,12.5014444444,49.231,15.1145555555
765.39,8.86366666667,60.8202222222,43.5361111111,59.5144444444,9.88922222223,13.8481111111,27.8215555556,12.3624444444,48.8681111111,14.7646666667
765.70,8.48311111111,61.2095555555,43.3655555556,59.8442222222,9.39655555554,13.4523333333,27.7152222222,12.1764444444,49.2344444444,14.2804444444
766.01,7.83633333334,60.9562222222,42.8475555556,59.8075555556,8.79466666666,12.7032222222,27.3274444444,11.54,49.0203333333,13.7138888889
766.32,7.22111111111,60.482,42.1144444444,59.3296666667,8.22755555556,12.0873333333,26.7714444444,10.96,48.4853333333,13.2548888889
766.64,6.91333333333,60.2614444445,41.9457777778,59.0757777778,7.988,11.8734444444,26.5736666667,10.783,48.3404444444,12.7838888889
766.95,6.48933333334,60.2887777778,41.7738888889,58.8335555556,7.78277777778,11.4232222222,26.2976666667,10.364,48.3412222222,12.3097777778
767.26,6.68766666667,60.6932222222,42.0468888889,59.1605555555,7.93566666667,11.6334444445,26.6167777778,10.699,48.5545555556,12.4173333333
