wavelength,Back_PhrPatf,Belly_PhrPatf,Breast_PhrPatf,Crissum_PhrPatf,Crown_PhrPatf,DorTail_PhrPatf,Rump_PhrPatf,Throat_PhrPatf,WingTip_PhrPatf
189.81,-265.793227451,-237.954633333,-215.1516,-283.863633333,-256.9698,-240.909133333,-286.796552381,-180.151333333,-186.363666667
190.19,-204.404149019,-183.269266667,-157.563933333,-220.897266667,-200.256466667,-186.153933333,-231.520133333,-137.435866667,-152.692333334
190.57,-129.770270588,-118.666766667,-98.8571333333,-145.3334,-131.238,-115.2382,-154.054485714,-81.1427999999,-95.9046666667
190.95,-137.794329412,-127.396066667,-115.937733333,-158.646133333,-140.312666667,-125.8336,-163.035990476,-86.1461333333,-106.250133333
191.33,-130.601858824,-125.847933333,-106.900666667,-156.198966667,-133.684133334,-119.649166667,-153.617428571,-81.6374666667,-92.7484666667
191.71,-112.92802353,-121.8643,-96.6101999999,-138.531066667,-114.2372,-105.310866667,-135.399495238,-72.7684666667,-70.7344666668
192.09,-82.3061019608,-87.5124333334,-74.9253333334,-105.373166667,-88.1592,-76.7164666666,-107.5054,-53.0347333333,-46.1690666667
192.47,-77.6303058824,-86.9524333333,-69.9047333333,-97.9999999999,-82.4762666666,-70.0476000001,-100.571495238,-46.7618666667,-42.1905333333
192.85,-122.820176471,-133.9717,-113.191533333,-146.950266667,-131.063933334,-108.510633333,-159.939142857,-79.7164666667,-78.8652000001
193.23,-110.428176471,-122.380966667,-98.2313333333,-140.952466667,-118.095266667,-97.1427,-149.096247619,-74.2857333334,-74.5580000001
193.61,-103.129160784,-113.750066667,-93.4723333333,-138.263866667,-109.4444,-86.5278333334,-137.480104762,-61.5278,-73.3333333334
193.99,-118.761031372,-135.303066667,-121.212133333,-157.651533333,-125.606066667,-102.045433333,-157.81387619,-72.7274000001,-85.4544666667
194.37,-70.9739058823,-85.3226000001,-79.4622666666,-98.0644666667,-69.6774666667,-55.8065333333,-93.1490095239,-36.5590666667,-44.1935333333
194.75,-111.532607843,-129.387833333,-129.795866667,-137.482933333,-102.176933333,-91.9047666668,-137.065152381,-70.3401333333,-79.8640000001
195.13,-64.5627294118,-77.4776333333,-74.6845333333,-82.9729333334,-58.1982666667,-44.7296666667,-84.4402380954,-38.0181333333,-43.6936
195.51,-45.3424941176,-57.1685333333,-49.9642666667,-57.8854,-38.9962666667,-24.5521,-60.5222095238,-17.9211333333,-28.5305333333
195.89,-44.8172470588,-56.1742333333,-50.1514666667,-51.5531,-34.6969333333,-18.0303,-61.017352381,-12.4242,-29.0151333333
196.27,-40.8720117647,-56.3529333333,-42.4314,-47.2156333333,-29.3333333333,-9.29413333334,-54.6778571429,-5.64706666666,-29.2549333333
196.65,-39.8178862745,-54.6032,-47.3809333333,-42.4999,-23.4920666667,-4.9207,-52.3129333333,-1.66673333332,-30.6349333333
197.03,-27.0423098039,-45.3684333333,-35.579,-28.1054,-14.1754,2.38596666668,-37.7443904762,6.94733333334,-22.3858666667
197.40,-28.8191803922,-46.1483333333,-40.8148666667,-25.7037666667,-12.1480666667,2.62956666668,-37.6719809524,7.33319999998,-24.4443333333
197.78,-22.7968352941,-39.0111333333,-36.4835333333,-17.3993,-6.59346666668,8.6448,-34.2856380952,9.45046666666,-20.4394666667
198.16,-22.4923058823,-39.8517333333,-38.7407333333,-20.0372333333,-13.6297333333,10.1852,-38.6031809524,6.37033333333,-23.3334
198.54,-38.0536078431,-59.3087333334,-51.5447333333,-37.3171,-31.4634666667,-5.3658,-59.4193333334,-8.37393333333,-40.3252666667
198.92,-30.7442784314,-51.5052666667,-40.215,-33.1541666667,-27.1684666667,-3.65596666667,-49.3599809524,-7.16833333334,-32.8315333333
199.30,-36.0104352941,-64.9777666667,-48.1778,-36.7555,-32.1776,-3.689,-58.9080190476,-13.2443333333,-39.1112
199.68,-25.2939921569,-52.1952333333,-37.3170666666,-25.4066,-20.3252,2.0731,-46.8407904762,-11.3822,-27.317
200.06,-17.0402509804,-38.7018,-27.4386666667,-21.4034666667,-14.7368,6.45613333334,-34.9873809524,-8.56146666666,-22.1754666667
200.44,-12.794454902,-28.1159666667,-22.3768666667,-16.0578333333,-9.56513333333,7.21749999999,-26.5673047619,-6.55079999998,-14.6665333333
200.82,-9.8347254902,-23.3334,-17.3914666667,-13.8550666667,-5.91300000001,6.98553333333,-23.3622666667,-6.43473333333,-9.62326666667
201.19,-7.29358431374,-14.8031333333,-12.0210666666,-10.6562,-2.30966666667,6.98160000001,-17.5478190476,-3.46466666667,-2.72973333333
201.57,-2.86416078431,-14.0493,-8.14819999997,-4.54316666668,-1.62966666668,8.07393333333,-13.9824952381,-1.13586666666,0.049399999986
201.95,-3.64292549018,-17.0052333333,-12.3439333333,-6.19789999999,-0.88553333332,5.9634,-14.8810190476,-2.70840000001,-2.23973333334
202.33,-4.05647058823,-20.2933333333,-12.8,-4.45333333332,0.639999999986,3.54666666666,-15.3219047619,-1.33333333333,-5.06666666667
202.71,-4.49550588236,-20.3938666667,-16.7271333333,-3.27276666667,-1.87886666667,0.21216666668,-15.6449523809,-4.06066666666,-7.45439999999
203.09,1.49285882351,-11.6666666667,-6.66660000001,6.34503333333,9.2398,9.8245,-6.04847619045,3.15800000001,-1.0526
203.47,0.300615686272,-7.11096666667,-6.88906666667,8.1389,11.1110666667,5.58346666666,-5.84929523807,3.00013333335,-3.72213333332
203.85,-5.69365882352,-8.71049999998,-16.2264666666,2.10686666668,6.28939999999,-3.33349999999,-14.6629714286,-0.31453333332,-14.0880666667
204.22,-14.4157843137,-14.5833333333,-22.3610666667,-3.54176666666,2.70833333333,-13.7846,-18.9682,-8.12493333335,-20.8333333333
204.60,-9.51079607843,-12.2343666667,-18.5348,4.13913333334,9.89000000001,-12.0145,-14.8927142857,-3.29653333335,-20.1464
204.98,-17.8982392157,-18.6142333333,-23.97,-3.1836,0.074933333334,-20.4867333333,-17.7635142857,-14.8315333333,-32.1348
205.36,-18.8934705882,-24.4842,-32.6986666667,-8.76976666668,0.873000000014,-23.2935333333,-21.2698380952,-21.5872,-40.3174666667
205.74,-21.4127019608,-25.743,-36.2248,-14.6585333333,-0.0803333333134,-26.5862666667,-21.6523428571,-24.1767333333,-41.6867333333
206.12,-2.88591764708,-8.6594,-17.1014,0.6522,11.8115333333,-12.2465,-6.03525714286,-7.68120000001,-21.5217333333
206.50,13.7181372549,10.3394333333,0.308733333326,15.8024666667,23.5186,2.68503333333,11.975247619,8.58026666666,-4.19753333331
206.87,17.548145098,14.3243666667,2.6426,19.6095,28.7687333333,8.94889999998,13.9424761905,9.7898,-0.180333333326
207.25,17.6544039216,10.4673333333,-0.498666666668,17.6323666667,23.6137333333,1.58873333333,10.6097142857,6.9781333333,-2.18060000001
207.63,15.3049529412,1.8182,-0.72726666668,14.6969333333,19.3334666666,3.15163333334,7.40265714286,3.87866666666,-3.45466666667
208.01,10.5089568627,-6.46463333333,-7.07066666668,11.5488666667,12.4578666667,1.91916666666,3.02074285714,-4.84859999999,-13.1314
208.39,16.2078431373,-2.73333333333,-3.19999999999,16.7666666667,15.7333333333,3.5,3.46666666666,0.933333333346,-11.4666666667
208.77,18.4632862745,0.2721,-0.27213333334,17.6189,15.2382,5.88440000001,3.11948571428,-2.17679999999,-9.59193333334
209.14,21.5479294118,0.49126666668,1.96499999999,22.3509666667,16.772,7.64923333334,2.69679999998,2.3158,-9.193
209.52,26.3865764706,9.68256666667,13.1426666667,32.3493,25.6508,13.6508,12.9433714286,7.93653333333,-0.8254
209.90,28.5557882353,13.2616,11.8278666667,35.7346666667,29.7490666667,12.6524,13.2104761905,7.4554,-3.01073333334
210.28,-8.60094901967,-27.1751333333,-29.3784666667,5.93209999999,-0.33906666668,-28.2486666667,-25.682104762,-39.8870666667,-59.4351333333
210.66,-54.7884274511,-73.7719666667,-78.5965333333,-25.4386333333,-32.2807333333,-76.1401666667,-76.0150095238,-102.1054,-119.1228
211.03,-87.7759921567,-112.857233333,-103.619,-48.1904666667,-54.4760666666,-101.5237,-107.891028571,-127.238133334,-156.380933333
211.41,-126.4,-136.933333333,-149.066666667,-71.2,-67.2000000001,-136.266666667,-151.580952381,-178.4,-221.333333333
211.79,-198.011235294,-154.285666667,-256.666733333,-83.0950666666,-96.6666666667,-233.809566667,-215.034104762,-275.238133333,-352.857266667
212.17,-59.6539803922,-50.0979333334,-86.6666666666,-21.9606,-22.1569333333,-87.9413333333,-62.1009333331,-89.6079999999,-117.058733333
212.55,-108.337011765,-87.7777333333,-146.6668,-78.0247666666,-57.5309333333,-137.777766667,-102.328028571,-160.740666667,-180.987666667
212.92,-136.078431373,-106.0,-180.266666667,-89.0666666665,-73.8666666667,-173.2,-114.476190476,-181.6,-202.666666667
213.30,-122.290196078,-91.7333333333,-185.6,-78.4000000001,-59.7333333333,-159.866666667,-112.114285714,-173.066666667,-188.266666667
213.68,-254.147854902,-217.4358,-398.461666667,-158.461733333,-172.307733333,-333.3333,-254.5788,-335.8974,-392.307733333
214.06,-60.1351333333,-50.1148333333,-129.655266666,-16.6666,-24.8274666667,-86.5517666667,-65.648752381,-104.138,-134.482666667
214.44,-10.5882980392,0.0641,-39.7434666667,17.6922666667,9.23053333332,-20.3206333333,-10.1649333333,-35.8973999999,-51.6666
214.81,-6.07847843139,0.416733333354,-39.7618666666,17.5595666667,12.738,-18.3333,-2.2959809524,-35.8332666667,-49.6429333333
215.19,20.5317411765,30.2259666667,-15.3671999999,39.0396,39.2090666667,9.32190000001,36.0290571428,-8.3615333334,-14.0111333333
215.57,18.4376784314,27.4731333333,-17.7420666667,40.1613000001,34.0859333333,13.4407666667,33.0875809522,-9.89253333327,-10.7526666667
215.95,8.44135294117,5.08466666666,-27.5705333333,27.6837000001,25.3106666667,-2.65553333332,20.0807142857,-29.7174666667,-27.0056666667
216.32,3.10784313726,-0.91666666666,-47.3333333333,43.5,29.3333333333,-11.0833333334,15.4761904764,-60.9999999999,-50.5
216.70,9.83874509808,-1.33333333333,-35.5555999999,55.0371333333,22.9628666667,-4.66663333326,16.2327523809,-47.2592666667,-42.6666
217.08,-4.19312156847,-42.3077333334,-90.2563333333,64.3590333333,-5.1283333334,-43.0769000001,-3.47998095254,-116.153866667,-121.5384
217.46,6.07839607828,-46.1539,-57.9487333332,67.0512666666,-8.71800000001,-35.7692666666,9.96341904752,-109.999866667,-107.1796
217.83,-39.2401960783,-136.666666667,-136.666666667,56.0416666668,-59.1666666666,-110.625,-21.8452380953,-226.25,-217.916666667
218.21,638.725490196,1024.16666667,966.666666666,215.833333333,738.333333333,917.5,573.333333333,1411.66666667,1250.0
218.59,393.333333333,599.999999999,589.166666666,170.0,471.666666667,578.333333333,382.142857143,783.333333333,682.5
218.97,444.444384315,652.777833334,651.111066667,59.4444666666,547.7778,673.889,451.587457143,995.555600001,816.666599999
219.34,247.58934902,320.392133333,322.7452,113.5294,301.9608,356.4707,281.288514286,454.901933333,414.901866667
219.72,233.993776471,306.140333333,313.3332,136.315733333,289.824466667,354.912266667,280.902257143,430.526333333,413.333333333
220.10,176.095447059,232.173733333,240.8696,84.3477666666,231.3042,263.913233333,217.267009524,329.565133333,319.710133333
220.47,175.980529412,227.6389,245.8334,99.3054333333,218.888866667,263.7501,205.396809524,323.055733333,310.277866667
220.85,152.402027451,200.972233333,221.111133333,70.9721666667,181.9444,229.444566667,170.396847619,287.222266667,274.444333333
221.23,193.865690196,240.238,291.4286,78.3333666667,218.0954,298.095233333,233.33327619,394.2856,356.190533333
221.61,201.416258823,197.222133333,275.555666667,94.4445,199.629466667,283.5186,214.920647619,355.185266667,317.777866667
221.98,-644.705882353,-567.499999999,-1001.66666667,-201.666666667,-665.000000001,-1035.83333333,-734.761904763,-1390.0,-1195.0
222.36,-123.406862745,-87.5000000001,-198.75,-19.7916666666,-117.5,-235.625,-123.095238095,-292.916666667,-247.916666667
222.74,-89.0197176472,-58.7301333333,-139.047666667,-9.99999939998e-05,-72.3808666667,-161.9048,-96.5985714287,-198.412666667,-173.6508
223.11,-81.8722313725,-58.9246,-108.602133333,-22.1504999999,-72.043,-120.752733333,-80.2149428572,-140.430066667,-130.5376
223.49,-31.3792745098,-16.0921,-41.4942666667,0.114933333354,-26.6666666667,-45.747,-26.239752381,-64.3676666666,-54.9426666667
223.87,-13.3945921569,-3.29000000001,-22.251,15.0216333333,-8.48486666667,-26.7532666667,-4.00739047618,-34.7186,-23.4631333333
224.24,-15.4294235294,-3.76983333333,-24.127,10.7142333333,-6.82540000001,-26.8652,-7.1883047619,-35.1587333333,-21.4284666667
224.62,-14.8192431373,-2.62966666666,-18.5184666667,12.0741,-7.25926666666,-24.1853333333,-6.15872380953,-27.4075333333,-15.3334666667
225.00,-9.72016078433,2.75096666667,-8.60840000001,12.3301,-4.91919999999,-16.7314333333,-0.39759047618,-20.0,-9.06146666667
225.38,-13.4295529412,-2.99996666667,-10.4848666667,8.69693333334,-9.09093333333,-21.2425666667,-1.16888571429,-24.4849333333,-14.4847333333
225.75,-10.3053176471,-5.01443333334,-10.4348,5.56519999999,-8.23173333333,-16.5797,-1.78871428571,-21.3912666667,-13.1593333333
226.13,-17.8005333333,-13.3913,-16.9853333333,-3.10146666665,-13.3913333333,-23.4782333333,-8.84464761907,-26.3188666667,-16.4638666667
226.51,-13.0708588235,-16.058,-10.8406,-0.63753333332,-11.5941333333,-18.9564666667,-5.14265714286,-21.913,-13.3334
226.88,0.016537254894,-5.5181,2.745,9.74766666666,-0.896199999994,-5.68623333334,7.6909904762,-12.4370666667,-2.07266666666
227.26,2.06965882353,-9.07406666667,3.08639999999,8.0247,-0.987600000012,-5.21589999999,7.61898095238,-11.7284666667,-0.74066666668
227.64,-12.8670196078,-26.4912,-9.89479999999,-1.57886666666,-13.4034666667,-21.9649,-7.91984761905,-24.7718666667,-10.2455333333
228.01,-14.2878156863,-29.3940333333,-5.52193333333,-7.17173333333,-17.7105333333,-20.3366333333,-12.6406666667,-25.9933333333,-12.3232666667
228.39,-18.7146588235,-34.8148666667,-5.6172,-15.6482,-24.2592,-24.784,-20.4055904762,-27.8394666667,-19.2591333333
228.76,-16.3806901961,-33.7976333333,-2.56833333334,-18.8526333333,-20.0,-20.9287666667,-20.8274190476,-24.6993333333,-17.2678
229.14,-22.6982823529,-39.0475,-10.0528666667,-26.4814666667,-23.1745333333,-25.7669,-26.6288095238,-27.4074666667,-22.1163333333
229.52,-23.9308431373,-41.2861,-13.8057333333,-31.2860666667,-26.2466666667,-26.8241333333,-30.0037333333,-29.2914,-22.3620666667
229.89,-20.0255294118,-35.6113333333,-9.30446666667,-25.5394333333,-21.4868666667,-20.9832666667,-24.1863523809,-22.2542666667,-18.9927333333
230.27,-13.7990470588,-30.0000333333,-0.740733333332,-20.7176,-16.4815333333,-11.4814666667,-17.4604476191,-15.6482666667,-14.1204666667
230.65,-26.9036039216,-40.5756333333,-16.0671333333,-32.0143333333,-29.9279333333,-23.8367666667,-32.2644190476,-26.9065333333,-27.0982666666
231.02,-33.7537843137,-46.7101666667,-26.536,-40.7843666666,-36.9500666667,-33.8998,-38.5310190476,-32.3312,-32.7235333333
231.40,-35.8872980392,-47.8693333333,-29.4938666667,-43.4811,-39.2828,-36.4555666667,-41.4406666667,-34.81,-32.4894
231.78,-26.4718156863,-38.0761,-23.2762666666,-36.4381,-31.5046666667,-27.7144333333,-32.3156190476,-25.0286,-24.3048666667
232.15,-30.9634196078,-42.6175666667,-28.9980666667,-39.8363333333,-33.6196,-31.0632666667,-34.8465428571,-25.4395333333,-28.5071333333
232.53,-27.3812039216,-34.8848666667,-26.0535333333,-33.2184,-28.4292,-25.5555666667,-25.8949142857,-19.272,-20.9194
232.90,-27.2975960784,-30.838,-26.4059333333,-30.6516333333,-30.1676666666,-25.2326666667,-24.0010380952,-19.0688666667,-20.0
233.28,-29.7815843137,-33.6571666667,-29.7905333333,-33.5619333333,-33.5618,-28.1142333333,-28.8217714286,-21.4858,-22.5142666667
233.66,-25.2950392157,-27.9406333333,-24.4329333333,-27.5741333333,-26.0383333333,-23.7694333333,-23.4755619048,-14.7643333333,-17.9757333333
234.03,-30.6924117647,-32.9686666667,-30.7638666667,-33.1770333333,-30.2082666667,-29.3752,-29.0972761905,-21.1457333333,-23.6460666667
234.41,-36.9812823529,-39.3403333333,-38.2640666667,-41.9793,-38.0208666667,-38.0555666667,-36.8104857143,-26.5972,-30.3472666667
234.78,-26.5707882353,-28.9186333333,-26.3702666667,-32.4295333333,-26.6961333333,-26.0592,-26.1967619048,-17.6000666667,-20.8888
235.16,-22.6398784314,-23.8619666667,-21.2923333333,-28.0615333333,-21.3509333333,-19.5595333333,-21.5859714286,-12.0411333333,-16.0940666667
235.54,-24.9651137255,-25.7062666667,-22.2316666667,-29.6329333333,-24.3503333334,-21.0028333333,-23.3292380952,-13.3898,-19.1244
235.91,-30.3010980392,-30.0002,-24.5833333333,-33.4970333333,-28.75,-23.3333333333,-26.471047619,-15.4167333333,-23.6310666667
236.29,-28.9568745098,-27.4543333333,-23.4317333333,-31.6878666667,-27.3980666667,-20.8579333333,-24.8503619047,-15.9211333333,-22.3348
236.66,-28.1271411765,-29.1667,-25.6496666667,-33.7287,-27.7964,-21.5819333333,-25.7868190476,-17.3728666667,-24.3220666667
237.04,-30.8639176471,-35.1237666667,-29.1412,-37.6565,-30.2182,-23.508,-30.0062952381,-19.2431333333,-27.1615333333
237.41,-32.7307843137,-36.6522333333,-29.7854,-37.6536,-33.5908666667,-23.2331666667,-29.8588952381,-20.2002,-27.1816666667
237.79,-40.003372549,-45.6725333333,-37.9824666667,-45.0584666667,-43.5380666667,-28.4356333333,-38.4460666667,-28.538,-33.2162666667
238.17,-38.8508705882,-46.1280333333,-38.7774,-45.3420333333,-43.9883333333,-27.2052,-38.1368666667,-28.0931333333,-31.4702666667
238.54,-36.2655607843,-42.946,-36.9295333333,-41.0649333333,-40.5533333333,-24.7580666667,-34.6849904762,-25.3665333333,-27.6625333333
238.92,-33.7160156863,-39.7967333333,-35.2302666667,-38.5092666667,-39.3767333333,-21.7616666667,-32.9889333333,-23.794,-24.2548666667
239.29,-36.7466666667,-43.2,-38.5333333333,-43.3066666667,-42.7466666667,-23.1866666667,-37.4971428571,-29.0133333333,-28.08
239.67,-29.4405490196,-35.3995,-32.2015333333,-35.9283666667,-35.4734,-16.1376,-30.1245904762,-23.5668666667,-22.6320666667
240.04,-26.985372549,-34.4705666667,-30.2118,-34.5595333333,-33.3779333333,-14.8048333333,-29.8965428572,-23.9909333333,-22.3858
240.42,-22.808882353,-31.3314333333,-26.8440666667,-30.9665333333,-29.7434666667,-12.3965666667,-27.3316380952,-20.7693333334,-19.7238666667
240.79,-19.7362392157,-26.9072333333,-22.1304666667,-26.8384,-25.8420666667,-8.65116666666,-23.6402095238,-16.9930666667,-16.3401333334
241.17,-16.5502196078,-22.6861333333,-19.3831333333,-23.5214333333,-21.9866,-6.04203333333,-19.6302666667,-14.778,-13.3183333333
241.54,-15.2486784314,-21.0881666667,-18.9946666667,-22.9614666667,-19.8624666667,-5.47526666667,-18.6403619048,-14.1597333333,-12.2451333333
241.92,-13.1650745098,-18.5962,-16.6922666667,-19.9873333333,-16.6026666667,-3.7821,-17.0110190476,-11.9358666667,-10.2820666667
242.29,-12.1631411765,-16.6076,-14.8700666667,-17.6478333333,-14.9881333333,-2.81916666667,-15.9742952381,-10.1064,-8.51073333333
242.67,-12.240972549,-16.0868333333,-14.3467333333,-16.7568,-14.5944666666,-2.47193333333,-15.9942761905,-10.2703333333,-8.6374
243.05,-14.556627451,-18.8298666667,-16.7108666667,-19.1390333333,-15.8059333333,-4.5198,-17.7232952381,-11.777,-10.3753333333
243.42,-14.5394509804,-18.9657333333,-16.2166,-18.1512,-15.1660666667,-4.65143333333,-16.9699047619,-11.0719333333,-10.1607333333
243.80,-13.6535803921,-17.8746,-15.1893333333,-16.6200333333,-13.8931333333,-4.12643333333,-16.4451619048,-9.87046666666,-8.94766666667
244.17,-9.71085490195,-13.3383,-11.4737333333,-12.7152333333,-9.95046666668,-0.944666666666,-12.7201142857,-5.5984,-4.2432
244.55,-9.32682352942,-12.0899333333,-10.2369333333,-12.2494666667,-9.34686666668,0.019599999998,-11.9898761905,-5.2732,-2.8544
244.92,-9.05182352941,-11.5406,-9.6378,-11.2656,-8.53746666667,0.806900000002,-11.3132380952,-4.8968,-2.20073333333
245.30,-8.82363137255,-10.8786333333,-9.21620000001,-10.3358,-8.08793333332,1.06393333333,-10.566,-4.27226666667,-1.85186666667
245.67,-7.21309803922,-8.99523333333,-7.19626666667,-7.95563333333,-6.05153333333,2.18056666667,-8.95743809523,-2.88153333333,-0.591933333334
246.05,-6.5406745098,-7.93003333333,-6.30993333333,-7.28046666667,-5.3818,3.1407,-7.65482857143,-2.1556,0.057200000002
246.42,-5.02921960784,-5.9744,-4.9886,-5.4881,-3.45413333333,4.9102,-5.89066666667,-0.790133333334,1.47573333333
246.79,-3.78267058824,-5.0288,-4.07646666667,-4.27966666667,-2.20813333333,6.31479999999,-4.70118095238,0.327533333333,2.50546666666
247.17,-2.23981960784,-2.98693333333,-2.47173333333,-2.23253333333,-0.974,7.72226666666,-3.15315238095,1.8412,4.18919999999
247.54,-0.993705882352,-1.52383333334,-1.70266666667,-0.971466666667,-0.053266666666,8.7217,-1.96722857143,2.9142,5.31633333334
247.92,-0.606894117648,-1.16353333333,-1.2612,-0.507233333334,0.674533333333,9.13256666667,-1.3075047619,3.65506666667,6.03873333334
248.29,-1.89189019608,-2.70926666666,-2.7884,-1.71903333333,-0.317333333331,8.0071,-2.1716,2.47633333333,4.66113333333
248.67,-3.37974117647,-4.49386666667,-4.49126666667,-2.95526666667,-1.6902,6.4658,-3.51738095238,1.1582,3.17673333333
249.04,-5.18730980392,-6.3159,-6.57273333333,-4.65913333333,-3.40786666667,4.57063333333,-5.67000952381,-0.430866666667,1.59066666667
249.42,-5.71589019608,-6.86046666667,-7.32646666667,-5.3414,-4.1666,4.19846666667,-6.70222857143,-1.15746666667,1.00686666667
249.79,-5.96601568627,-7.59133333334,-8.04573333333,-6.1038,-5.02779999999,3.63316666667,-7.40085714286,-1.47813333333,0.847400000001
250.17,-6.61326274509,-8.52246666667,-9.19106666665,-7.11356666667,-6.05993333333,2.5472,-8.24428571429,-2.1656,0.267400000001
250.54,-9.06953333334,-11.0169666667,-11.1017333333,-9.91183333333,-8.82766666666,-0.0388000000006,-10.6286,-4.23726666667,-1.89246666667
250.92,-10.7644509804,-12.3723333333,-12.7702666667,-11.3812666667,-10.4880666667,-1.6818,-12.2404095238,-5.91586666667,-3.58106666667
251.29,-12.3951921569,-14.0822333333,-14.5286,-13.4845666667,-11.8355333333,-3.6904,-13.7790476191,-7.68326666667,-5.8672
251.66,-14.1106588235,-16.0454666667,-16.0015333333,-15.253,-13.4688666667,-5.32846666667,-15.9117238095,-9.41473333332,-7.4392
252.04,-15.8080196078,-18.1865333333,-17.8302666667,-17.2671,-15.2381333333,-7.17603333333,-17.9237047619,-11.4534666667,-9.6812
252.41,-16.460054902,-18.4860666667,-18.134,-17.7143,-15.776,-7.83283333333,-18.880447619,-12.1374,-10.4410666667
252.79,-14.4630078431,-16.5619666667,-16.2646666667,-15.9172666667,-13.861,-6.07206666667,-17.0735142857,-10.226,-8.61813333333
253.16,-12.5469490196,-14.8562333333,-14.8358,-14.1873,-12.3234,-4.35143333333,-15.1513523809,-8.4566,-7.40559999999
253.54,-12.8302078431,-14.7890666667,-14.5161333333,-14.0075333333,-12.1752,-4.9091,-14.8280571429,-8.2382,-7.70886666667
253.91,-14.6249647059,-15.7948333333,-15.9144666667,-14.9102333333,-12.9742666667,-5.795,-15.5666095238,-9.20519999999,-8.9828
254.28,-15.6191568627,-16.7600666667,-16.5555333333,-15.4293666667,-13.912,-6.53773333333,-16.8782857143,-10.3158666667,-10.5117333333
254.66,-15.7474666667,-17.4931,-17.6788,-15.608,-14.1689333333,-7.00546666667,-17.4731333333,-10.5013333333,-10.7241333333
