wavelength,Back_DacVigf,Belly_DacVigf,Breast_DacVigf,Crissum_DacVigf,Crown_DacVigf,DorTail_DacVigf,Patch10_DacVigf,Rump_DacVigf,Throat_DacVigf,WingTip_DacVigf
198.16,-62.9629999999,-326.851777778,-152.777777778,-316.666666667,-347.222444444,-41.6665555556,-47.2224444443,-81.4815555557,-109.722111111,-147.222222222
198.54,2.564,-217.948666667,15.3846666667,-203.418888889,-256.410333333,-0.854777777767,22.2222222221,4.73695157173e-15,-18.8033333333,-63.248
198.92,-32.0986666668,-153.086444444,-12.9627777777,-182.098666667,-237.037111111,-39.5058888889,-19.7532222221,-10.4938888888,-54.9382777779,-92.5924444447
199.30,1.30711111123,-121.568444444,35.9477777779,-173.856222222,-226.797333333,-12.418,-2.61455555543,27.4508888888,-46.4053333333,-64.7057777777
199.68,-175.925888889,-437.036777778,14.8146666668,-712.963000001,-805.555444443,-264.815,-200.0,-83.3334444446,-323.148,-403.703555555
200.06,972.222222223,1888.88888889,794.444444444,2811.11111111,3244.44444444,1483.33333333,1377.77777778,1027.77777778,1766.66666667,1961.11111111
200.44,-500.0,-926.666666666,-417.777777778,-1266.66666667,-1366.66666666,-680.0,-675.555555556,-488.88888889,-644.444444445,-851.111111111
200.82,-158.518333333,-285.185333333,-129.629777778,-394.814777778,-397.777888889,-182.962888889,-211.851777778,-147.407222222,-173.333388889,-311.111111111
201.19,-125.490111111,-233.987,-113.071777778,-362.745,-351.633888889,-150.980333333,-214.379,-138.562222222,-187.581611111,-298.692666667
201.57,-60.3173333334,-149.735333333,-51.8517777778,-273.544888889,-230.158666666,-74.074111111,-149.735333333,-86.7722222221,-115.872944445,-222.222111111
201.95,325.0,631.944444444,337.5,912.5,791.666666668,350.0,645.833333333,418.055555556,514.583333333,777.777777778
202.33,163.492,271.957666667,158.200888889,381.481555556,324.867777778,143.915555556,298.412888889,212.169333333,226.719722222,340.211666667
202.71,198.611,278.703777778,211.111,411.111111111,348.148111111,188.888777778,337.499888889,259.722222222,252.083333333,354.629666667
203.09,146.491333333,210.526111111,149.122777778,274.269,230.409444444,140.058444445,233.041222222,184.503,175.292333333,241.812888889
203.47,156.543111111,212.098888889,161.481555556,262.469222222,218.765444444,138.518444445,216.049333333,177.530777778,172.839333333,231.111111111
203.85,113.645222222,159.648888889,128.070111111,200.0,170.370333333,89.8635555556,165.887,128.265111111,130.409555555,178.362666667
204.22,107.539666667,157.737888889,110.317555556,191.269888889,161.507888889,77.5794444445,152.777555556,121.230111111,117.956333333,166.468333333
204.60,94.6361111112,155.363888889,88.1227777777,177.777666667,153.639777778,83.1416666667,140.804555556,114.559444445,120.593777778,160.728111111
204.98,69.6078888888,125.326777778,64.8693333333,149.509888889,131.699333333,75.6535555555,118.954444445,88.0719999999,104.166722222,129.248333333
205.36,65.9722222222,108.333333333,53.0555555556,137.222222222,117.638888889,74.4444444444,109.166666667,82.4999999999,95.0694444444,114.861111111
205.74,67.9668888889,98.109,50.3547777778,122.104111111,114.893666667,75.5318888889,100.236444444,74.940888889,93.0259444444,104.373666667
206.12,73.277,113.642555555,45.4288888889,130.379888889,133.192777778,76.2306666667,110.689111111,80.8719999999,101.969166667,118.284
206.50,95.5267777779,137.085222222,61.6161111111,153.391,156.277,95.5265555556,131.890222222,101.443,123.3045,139.682444444
206.87,95.4955555557,139.939888889,48.4985555557,149.999888889,156.456555556,98.7988888889,131.681666667,104.204222222,125.825888889,149.399222222
207.25,95.6455555557,136.035888889,42.0422222222,150.150111111,160.510444445,100.450444444,135.585444445,103.603666667,128.228166667,145.946111111
207.63,102.314777778,148.302444444,50.3085555556,160.030777778,174.074,117.746666667,157.407111111,119.135777778,143.904277778,159.722222222
208.01,133.879777778,181.967333333,65.3914444443,187.796111111,206.557333333,154.280222222,181.967111111,148.816111111,180.692222222,201.092777778
208.39,131.372444444,172.058666667,64.869,177.777777778,196.078555556,153.431333333,172.548888889,135.457555556,171.650388889,190.849666667
208.77,125.457,158.087222222,65.9636666667,161.462777778,184.669444445,136.287,164.275555556,121.378333333,156.469666667,170.605
209.14,144.725777778,170.604777778,79.184111111,175.949333333,197.749666667,152.461444444,174.261666667,139.803111111,172.995944444,181.716
209.52,167.661777778,203.151,87.894,201.160777778,228.689888889,182.089777778,194.029666667,158.208777778,202.155888889,205.638555555
209.90,197.777666667,245.252555555,102.02,237.373777778,272.323222222,222.828333333,240.202111111,195.555555556,234.747444444,253.737555556
210.28,226.262666667,280.303111111,107.070666667,282.575777778,305.555444444,258.586,276.010111111,221.464555556,265.025333333,294.697222222
210.66,226.780555555,288.603888889,96.2963333333,285.755,321.082777778,274.644111111,274.928777778,225.641,288.746444444,314.529888889
211.03,227.222222222,297.5,122.777777778,298.333333334,323.333333333,275.555555555,279.444444445,219.166666667,291.666666667,304.166666667
211.41,211.988111111,303.508888889,142.105333333,301.754333333,333.333444445,280.994111111,281.286666667,212.865444445,291.666722222,319.590555556
211.79,210.185222222,311.728444444,133.641888889,302.777777778,348.456777778,294.444555556,298.456666667,209.259111111,287.345555556,334.568111111
212.17,154.861333333,231.944555556,104.166777778,236.342666667,272.222,231.018666667,245.601777778,159.490777778,213.657222222,250.926111111
212.55,136.715,215.458888889,94.9276666667,230.917888889,264.976,219.323777778,263.285,147.343,198.671555556,250.000111111
212.92,177.037,271.481444444,118.148111111,317.037222222,358.888777778,301.851888889,376.296333333,207.407444445,265.555666667,343.333333333
213.30,135.872888889,203.809555556,95.2382222223,254.920666667,306.031777778,246.984111111,319.999888889,161.904666667,212.539777778,276.508
213.68,129.914333333,184.900111111,96.2961111113,229.06,289.173777778,221.082666667,300.854777778,160.398888889,190.171166667,259.829222222
214.06,134.188,184.615222222,90.8833333333,235.897444444,288.889,227.920111111,288.603888889,162.108111111,188.889,252.421666667
214.44,94.9653333333,130.729222222,73.6111111113,161.631666666,200.173333333,158.854,193.229,122.916555555,135.156277778,172.395555556
214.81,95.1179999998,128.788,71.2121111112,159.595888889,191.750777778,153.198555555,192.424222222,121.548777778,122.811333333,165.824888889
215.19,94.7271111113,131.826666667,62.7117777777,158.380333333,196.610111111,151.035777778,202.071444444,125.612,128.060222222,172.693
215.57,93.1773333334,123.001777778,48.732888889,154.385888889,187.134555556,141.715333333,196.880888889,125.146222222,130.2145,167.251555555
215.95,74.9585555554,93.8637777777,36.1526666667,126.699777778,148.921888889,110.613777778,155.057888889,102.321555555,108.457611111,128.192333333
216.32,85.0426666669,109.615222222,36.9657777778,148.718111111,178.205111111,124.572666667,176.922888889,118.589888889,122.7565,134.401777778
216.70,91.0332222222,118.323555556,42.3002222223,147.953222222,178.752333333,124.951,167.056222222,121.052555556,121.247666667,128.070111111
217.08,82.2222222221,101.333333333,41.9258888888,127.111222222,148.888666667,108.296222222,133.333333333,106.963,106.518333333,102.963
217.46,80.4502222223,107.876111111,43.0378888889,127.004222222,141.068666667,107.595111111,132.489444444,110.970333334,105.766666667,103.094333333
217.83,75.6613333333,105.291,46.6928888889,119.841111111,131.084444444,101.454888889,123.677111111,100.0,106.216944445,96.0318888889
218.21,69.3567777778,98.5966666666,51.345,110.175444445,118.713555555,91.8127777778,117.894888889,93.2163333332,104.035111111,89.3565555555
218.59,85.1854444444,109.656222222,63.0953333333,123.412666667,135.978888889,102.778,134.259111111,104.629555556,116.468166667,99.3386666667
218.97,76.7573333333,101.927444444,64.8524444444,110.997555555,120.068111111,95.2380000001,119.387666667,95.1246666667,103.5715,90.2493333333
219.34,76.7573333333,104.648444444,64.8526666667,114.172444445,123.242777778,102.154333333,117.460111111,97.1654444442,102.664388889,93.3104444444
219.72,75.2834444444,106.235888889,60.771,113.265222222,122.789111111,106.235888889,116.666666667,100.34,99.8298888889,95.0113333333
220.10,92.1752222221,133.959444444,72.4572222223,143.661888889,155.242555556,134.428888889,141.783888889,128.168777778,123.083,118.622888889
220.47,99.6234444446,158.945444444,71.9395555556,160.075444444,173.823111111,147.646111111,161.393666667,144.067777778,144.726944444,141.808111111
220.85,159.159111111,239.639666667,119.519555555,248.948888889,257.958,240.840888889,227.627666667,238.738666667,228.528555555,212.012111111
221.23,222.222222222,328.888888889,174.666666667,347.555555555,356.0,347.111111111,312.444444445,309.333333333,317.333333333,345.333333333
221.61,363.194444445,488.194444445,280.555555556,527.777777778,545.833333333,536.805555555,468.75,454.861111111,457.638888889,534.722222222
221.98,533.333333333,734.722222222,359.722222222,858.333333333,901.38888889,888.888888889,801.38888889,737.5,677.777777778,915.277777778
222.36,-370.833333333,-486.111111111,-222.222222222,-720.833333333,-727.777777778,-711.111111111,-662.5,-611.111111111,-482.638888889,-738.888888889
222.74,-440.740666667,-598.148,-318.518555556,-942.592555555,-946.296444447,-977.777777778,-924.07411111,-851.85188889,-603.703833333,-946.296333332
223.11,-93.0555555555,-150.0,-29.861111111,-306.25,-294.444444444,-328.472222222,-297.222222222,-257.638888889,-181.597222222,-318.75
223.49,-170.707222222,-190.909,-118.182,-450.505,-441.414111111,-526.262666667,-432.323222222,-395.959555556,-293.434388889,-484.848444444
223.87,-113.071888889,-113.725444444,-97.3857777778,-293.464111111,-260.784333333,-320.915111111,-247.059,-208.496666667,-174.509888889,-297.385444444
224.24,-75.1322222221,-78.835888889,-76.1906666668,-229.629666667,-205.82,-254.497444445,-214.814777778,-158.201111111,-135.978888889,-230.158555556
224.62,-284.722222222,-272.222222222,-304.166666667,-738.88888889,-595.833333333,-805.555555555,-651.388888889,-512.5,-458.333333333,-705.555555556
225.00,-2788.88888889,-2733.33333333,-2577.77777778,-6144.44444445,-5244.44444445,-6266.66666667,-6111.11111111,-4133.33333333,-4516.66666667,-5822.22222222
225.38,594.444444445,598.148333333,590.740555556,1174.07411111,1046.29633333,1200.0,1255.55577778,916.666555555,924.074222222,929.629666667
225.75,-387.5,-394.444444444,-355.555555556,-804.166666667,-658.333333333,-801.388888889,-883.333333333,-643.055555556,-646.527777778,-638.888888889
226.13,-171.717222222,-168.181777778,-129.293,-317.171777778,-253.535444444,-308.585777778,-335.353777778,-261.616333333,-256.818222222,-236.868666667
226.51,-194.708888889,-170.370444445,-147.619111111,-334.391555556,-276.190444445,-319.047666667,-330.687777778,-270.370444444,-288.095222222,-244.444666667
226.88,-71.0594444445,-54.7803333333,-41.8603333333,-133.333333333,-99.4833333331,-112.403222222,-123.772777778,-91.9896666666,-120.671777778,-85.7884444443
227.26,-31.9658888889,-20.8545555556,-16.4101111111,-68.376,-48.2051111111,-58.2908888889,-66.3247777778,-43.2477777778,-64.4445555555,-28.547
227.64,-19.6578888889,-15.812,-7.265,-50.8546666667,-31.4813333333,-36.6094444444,-55.413,-27.4928888889,-46.2963888889,-13.96
228.01,-19.7222222222,-16.1111111111,0.555555555557,-43.8888888889,-33.3333333334,-35.4166666667,-57.3611111111,-30.8333333333,-46.9444444444,-6.66666666667
228.39,-16.6011111111,-17.1242222222,2.61422222221,-35.6863333333,-25.8824444444,-21.8301111111,-42.3528888889,-23.66,-43.6601666667,-10.719
228.76,-6.30355555557,-6.73066666668,12.8204444444,-19.4445555555,-13.782,-8.22655555555,-26.6025555556,-10.7906666667,-26.9232222222,-0.107
229.14,-5.24100000001,-11.321,9.01488888889,-18.7632222222,-16.562,-15.6186666667,-25.3668888889,-13.8364444444,-25.2621666667,-2.72544444444
229.52,8.24911111112,-2.94588888889,18.771,-2.44111111111,0.252444444433,-1.68333333333,-2.77777777778,1.8517777778,-7.99655555556,9.17499999999
229.89,11.7695555556,-4.60911111111,19.9176666667,0.411555555577,-1.646,-0.9052222222,0.987666666677,4.11533333332,-10.4525555556,10.2057777778
230.27,14.8668888889,-2.42577777778,21.0487777778,3.36466666667,-1.33022222224,2.504,3.67755555554,5.71211111112,-9.42894444444,12.2066666667
230.65,16.4476666667,-4.23977777778,23.0263333333,5.33622222223,1.3157777778,-0.0733333333333,5.04388888889,7.52922222221,-5.59211111111,7.89455555557
231.02,8.24133333332,-16.1884444445,16.409,-4.93000000001,-8.24133333332,-12.509,-1.766,-2.72255555555,-11.7367222222,-1.91322222223
231.40,6.98211111111,-18.6187777778,11.8617777778,-8.25822222223,-13.0631111111,-12.2372222222,-0.1501111111,-5.48033333335,-13.0255,-7.50766666667
231.78,11.769,-16.5205555556,15.0584444444,-6.57888888889,-10.0144444445,-6.43266666667,4.89766666667,-5.2631111111,-10.1607777778,-5.62899999999
232.15,11.4456666667,-17.2691111111,11.044,-8.9691111111,-11.6464444444,-3.61455555555,4.08311111113,-3.88211111112,-7.02811111111,-6.225
232.53,15.5078888889,-9.5068888889,14.0821111111,-4.99111111113,-4.81288888889,-0.11888888889,8.02122222223,1.84188888889,-1.33705555556,2.49555555554
232.90,17.436,-6.95144444444,15.5556666667,-1.70944444443,-4.21655555556,-0.00011111111,7.40744444444,2.67811111111,0.569777777777,6.4388888889
233.28,23.3603333333,1.46322222222,20.4336666667,4.82377777777,3.63166666667,9.48522222223,13.3875555556,8.83477777779,9.07861111111,12.737
233.66,19.7531111111,1.55666666667,16.6397777778,2.63022222221,1.12733333333,8.48088888889,9.4471111111,6.60222222223,7.56844444443,8.58844444443
234.03,17.7668888889,2.53033333333,11.4411111111,-0.219777777767,0.220000000003,8.08588888888,6.98544444446,4.62044444444,5.80311111111,7.42577777779
234.41,19.5714444444,0.789777777777,8.34766666666,-1.35366666668,1.91777777778,7.16277777779,7.44488888889,4.56844444444,7.13494444444,7.83988888889
234.78,19.1294444444,1.71833333333,9.39288888889,-0.687222222233,2.51988888889,10.1372222222,6.93011111111,6.01377777778,8.44777777778,12.5427777778
235.16,19.6011111111,4.38744444444,8.9458888889,0.854666666644,3.70366666667,10.2565555556,6.38177777778,8.09122222222,10.0571666667,13.1053333333
235.54,17.3032222222,3.64588888889,7.34944444446,0.462888888889,1.389,8.33366666668,1.85211111111,6.94444444446,8.36222222222,13.0788888889
235.91,15.2075555556,5.33122222222,5.05066666667,0.897777777778,1.12233333333,4.32111111112,0.673333333333,7.6878888889,6.00444444445,13.5242222222
236.29,17.4762222222,8.20777777779,7.59344444443,5.19255555557,4.63422222222,5.41588888889,3.18244444444,10.7203333333,5.80688888889,16.0805555556
236.66,9.73022222222,0.753555555553,0.439444444444,0.251222222223,-5.14755555555,-1.06733333333,-5.90088888888,4.9591111111,0.125555555553,7.21888888889
237.04,-0.870111111113,-10.0401111111,-9.37066666667,-10.2408888889,-12.9852222222,-10.4417777778,-9.97311111111,-1.94111111112,-8.26655555554,-3.882
237.41,-1.452,-8.5861111111,-7.32322222223,-8.71222222222,-10.9217777778,-10.3532222222,-7.00766666667,0.06311111111,-9.87983333333,0.694444444447
237.79,-0.449666666666,-9.50555555557,-8.47800000001,-7.70733333333,-12.7168888889,-9.95488888889,-10.79,-1.60555555557,-9.1843888889,0.0642222222233
238.17,-0.383,-10.4086666667,-6.70522222222,-6.705,-13.4737777778,-10.7917777778,-8.62077777778,-0.957666666677,-6.80072222222,0.38288888889
238.54,-3.03044444444,-9.1472222222,-9.03455555556,-4.60155555555,-12.7947777778,-9.25933333333,-8.64211111111,-2.41299999999,-7.6598888889,-2.58133333333
238.92,-4.464,-10.4318888889,-10.7231111111,-4.12444444445,-12.4211111111,-10.9655555556,-6.79277777778,-3.1051111111,-8.97622222221,-4.22111111111
239.29,-0.176444444444,-6.52555555556,-6.21688888888,0.176333333333,-8.42155555555,-7.14288888889,-1.94,0.882,-7.738,-2.20444444444
239.67,1.73011111111,-5.26722222222,-0.769,3.11411111111,-3.92166666667,-1.538,2.34533333333,4.19077777778,-3.55633333333,1.53788888889
240.04,0.894222222223,-5.09111111111,-1.23844444444,3.06155555555,-4.36866666667,0.688,2.75211111111,3.40566666667,-1.68544444444,0.722666666667
240.42,0.882777777778,-4.38355555556,-2.89177777778,1.97877777778,-3.71377777778,-0.304222222223,2.00911111111,1.82666666667,-1.85688888889,0.608666666667
240.79,1.27788888889,-3.67766666667,-1.51255555556,0.86088888889,-3.41666666667,-0.599777777777,1.77355555556,1.33011111111,-1.85188888889,1.982
241.17,3.36433333333,-0.221444444443,0.81911111111,3.71844444444,-0.53111111111,2.98788888889,3.25344444444,3.05444444444,1.17294444445,4.89155555556
241.54,3.55966666667,-0.0196666666667,1.04233333333,2.83188888889,-0.413,3.46122222222,2.49766666667,2.26166666667,1.08166666667,2.43866666667
241.92,5.099,2.10188888889,3.06633333333,4.32377777778,2.05011111111,5.685,5.30588888889,4.324,2.81655555555,5.23688888889
242.29,6.19511111111,3.82177777778,4.59255555556,6.14866666667,4.28411111111,7.08877777778,6.99644444444,5.56322222222,4.13016666667,6.02555555557
242.67,6.31955555555,4.48022222222,5.08833333333,6.20088888889,4.59866666666,6.74955555556,7.892,6.18611111111,4.94738888889,6.02277777778
243.05,6.12433333333,4.75344444445,5.118,5.59911111111,4.564,7.17444444444,7.75711111111,5.78877777778,4.96494444444,5.51177777778
243.42,6.09411111111,4.74766666667,5.98088888889,5.754,5.00277777778,8.10666666667,8.07811111111,5.59811111111,5.60511111111,6.4201111111
243.80,6.09988888889,5.80677777778,5.89066666667,5.56944444444,4.96922222222,8.17988888889,7.46777777778,5.55566666667,5.35316666667,5.83466666666
244.17,5.73711111111,5.91866666667,5.89055555556,5.43,4.67611111111,7.92855555555,6.95122222222,5.47177777778,5.088,5.58322222222
244.55,5.58944444445,5.79311111111,6.71577777778,6.36288888889,5.00622222222,9.02211111111,7.33966666667,6.17277777778,5.3655,5.90155555556
244.92,5.71766666666,6.26233333333,6.08055555555,6.92344444445,5.12122222222,9.10133333333,7.59744444444,6.40466666667,5.54905555556,6.45644444444
245.30,6.11744444445,6.39811111111,6.05611111111,7.38711111111,5.20133333333,9.19422222222,7.94866666667,7.04522222222,5.77538888889,7.20377777779
245.67,5.22888888889,5.67588888889,5.309,7.45322222222,4.95366666667,8.76055555556,7.49922222222,7.13233333333,5.55555555555,7.68277777778
246.05,3.69666666666,4.05588888889,4.37277777778,5.714,4.024,7.37233333333,6.126,5.72444444445,3.797,5.94655555556
246.42,3.01,3.08744444444,3.45511111111,4.59733333333,2.96166666667,6.34922222222,4.75211111111,4.92644444444,3.03444444444,5.691
246.79,2.61911111111,2.53955555555,3.00711111111,4.21511111111,2.73377777778,6.102,4.34722222222,4.67366666667,2.49116666667,6.12888888889
247.17,2.43188888889,2.28444444444,2.64477777778,4.15955555555,2.71844444445,5.94444444445,4.03677777778,4.56055555556,2.54238888889,6.29666666667
247.54,2.38877777778,2.06166666667,1.85188888889,3.96811111111,2.55222222222,5.15855555556,3.52477777778,4.28722222222,2.42772222222,6.04577777778
247.92,1.794,1.34166666667,1.078,3.36944444444,1.99011111111,4.04777777778,3.15077777778,3.59588888889,1.67716666667,5.62355555555
248.29,1.52022222222,0.910444444444,0.866666666668,3.17255555556,1.81377777778,3.657,2.98888888889,3.28988888889,1.55683333333,5.49311111111
248.67,0.84,0.294777777778,-0.0293333333333,2.04844444444,1.04622222222,3.01355555555,2.23255555556,2.36511111111,0.769944444443,4.61988888889
249.04,0.578888888888,-9.99996381997e-13,-0.220555555556,1.95711111111,1.10433333333,2.79466666667,1.87355555555,2.079,0.434055555557,4.34822222222
249.42,-0.635444444443,-1.18288888889,-1.31166666667,0.796666666667,0.144777777778,1.56077777778,0.884777777777,0.804444444443,-0.639611111112,2.90466666667
249.79,-1.08466666667,-1.53755555556,-1.75066666667,0.179333333332,-0.316,0.896777777779,0.666222222223,0.264777777778,-1.12288888889,2.41711111111
250.17,-2.87166666666,-2.89988888889,-3.57544444445,-1.02288888889,-2.13022222222,-1.08844444445,-0.704111111112,-1.11677777778,-2.26633333333,1.37944444445
250.54,-3.21633333334,-2.87355555556,-3.55933333333,-0.98811111111,-2.37955555555,-1.35111111111,-0.605111111111,-1.06888888889,-2.25861111111,1.37155555556
250.92,-3.07055555555,-1.99644444445,-2.79955555556,-0.987222222223,-2.43044444444,-1.41066666667,-0.271333333333,-1.04166666667,-1.88811111111,1.682
251.29,-3.44511111111,-1.80255555556,-2.293,-1.18633333333,-3.08,-1.93933333333,-0.159888888888,-0.969777777778,-2.2645,1.48311111111
251.66,-3.266,-0.98788888889,-1.87144444444,-0.685777777778,-2.76611111111,-1.01111111111,0.674222222222,-0.302444444445,-1.61561111111,2.18511111111
252.04,-2.884,-0.803666666666,-1.40666666667,-0.602888888888,-2.19866666667,-0.626444444443,0.780111111111,-0.129999999999,-1.05205555556,2.67133333333
