wavelength,Back_GeoScam,Belly_GeoScam,Breast_GeoScam,Crissum_GeoScam,Crown_GeoScam,DorTail_GeoScam,Patch10_GeoScam,Rump_GeoScam,Throat_GeoScam,WingTip_GeoScam
194.75,51.6454666667,19.8312666667,62.9535333333,75.4431333334,86.3711666666,80.3376000001,73.3755666667,80.1688,43.6284666666,39.4093333334
195.13,54.8658666667,24.8275333333,63.0652,75.0957333333,90.2298666665,78.3140666666,74.5976666667,83.5249999999,48.1992,46.973
195.51,59.5455333333,32.2727333334,68.2574666667,78.409,93.9395,79.3180666667,72.1213,86.6666666667,51.0607333333,51.8182
195.89,64.1085333333,33.7984666667,71.8604000001,78.2946,97.6355666666,82.5580666667,72.1316333333,90.3100666667,56.5116666667,54.2636
196.27,67.2636666667,30.5472000001,77.4129333333,84.2785999999,111.094466667,100.497533333,84.3281999999,103.383066667,61.1939333333,54.8258666667
196.65,85.1852000001,23.9999333333,95.8516666666,111.111133333,138.592566667,141.6296,109.555433333,129.629666667,72.8889333333,56.5926
197.03,77.2413333334,29.6551333333,80.4598,98.1609333333,120.747166667,118.505533333,94.8850333333,107.1264,65.8620000001,53.5632
197.40,92.3975333334,39.4151333334,91.8127999999,105.380133333,130.7602,124.912333333,106.315733333,115.3216,68.3040666667,56.959
197.78,101.4036,40.4678000001,92.6316666668,100.350933333,136.842033333,130.409266666,106.666566667,117.193,76.2573333333,60.117
198.16,123.703733333,61.2346,114.568,113.8272,158.4567,139.1358,119.073966667,130.617333333,96.0494666667,86.6666666665
198.54,106.145733333,57.3957333333,97.2918000001,96.1457333334,137.656233333,119.2708,100.2603,111.4582,81.8749333333,86.7706666667
198.92,120.3846,57.4358000001,108.461666667,105.512866667,155.064066667,126.923066667,108.525533333,121.025666667,96.2821999999,89.4871333333
199.30,163.809533333,57.6189999999,150.9524,150.476266667,238.5715,184.762066667,158.571566667,179.523666667,130.7144,113.333266667
