wavelength,Back_TanParf,Belly_TanParf,Breast_TanParf,Crissum_TanParf,Crown_TanParf,DorTail_TanParf,Patch10_TanParf,Patch11_TanParf,Patch12_TanParf,Patch13_TanParf,Rump_TanParf,Throat_TanParf,WingTip_TanParf
531.42,8.30278333332,31.1609333333,76.5034666667,19.8887333333,19.4188,9.10926666667,52.4557333334,122.794266667,3.0676,69.536,132.716466667,11.4264666667,7.54826666667
531.77,8.31108333334,31.2338,76.4635333333,19.935,19.6078666667,9.12346666666,52.4419333333,122.874333333,3.0754,69.6709333333,133.043266667,11.4460666667,7.55593333333
532.11,8.32138333333,31.3346,76.4685333333,19.9904,19.7908,9.13486666667,52.4724666667,123.020533333,3.07106666667,69.8891333333,133.396266667,11.4696666667,7.558
532.46,8.32096666667,31.4359333333,76.5168666667,20.0410666667,19.9709333333,9.14213333333,52.5400666667,123.210533333,3.07033333333,70.0984666667,133.766133333,11.4873333333,7.5544
532.80,8.30591666667,31.4903333333,76.4642666667,20.0324,20.0963333333,9.12866666667,52.5098666667,123.2166,3.05133333333,70.2096,133.960533333,11.4828,7.5278
533.15,8.32388333333,31.5484,76.4222666667,20.057,20.2508666667,9.14226666666,52.5014666667,123.225466667,3.05986666667,70.3245333333,134.135266666,11.5019333333,7.53426666667
533.49,8.37233333333,31.6586,76.4796,20.1282666667,20.4454,9.1878,52.5654,123.359066667,3.09133333333,70.5372666667,134.468533333,11.5582666667,7.56673333333
533.84,8.40063333334,31.7541333333,76.4565333333,20.1881333333,20.6169333333,9.22519999999,52.5650666667,123.3998,3.12873333334,70.6907333333,134.693066667,11.5965333333,7.59306666667
534.18,8.42998333333,31.8512666667,76.3651333333,20.2342,20.7885333333,9.25753333333,52.5349333334,123.3376,3.15786666667,70.8105333333,134.8384,11.6244666667,7.6218
534.52,8.44075000001,31.9304666667,76.2833333333,20.2853333333,20.9465333333,9.25993333334,52.4662,123.302466667,3.16986666667,70.9021333333,134.990466667,11.6333333333,7.6286
534.87,8.44746666667,31.9895333333,76.1555333333,20.3242666667,21.1044666667,9.26986666667,52.3468666667,123.121466667,3.1844,70.9178666667,135.005733333,11.6428,7.62906666667
535.21,8.46475,32.0626,75.9954666667,20.3841333333,21.2663333333,9.28933333333,52.2232666667,122.982066667,3.21606666667,70.9756666667,135.060466666,11.6631333333,7.63906666667
535.56,8.48601666667,32.1471333333,75.8800666667,20.446,21.4503333333,9.3112,52.1147333333,122.849866666,3.23493333333,71.0501333333,135.167133333,11.6826666667,7.6574
535.90,8.50416666667,32.2127333333,75.7259333333,20.4939333333,21.6256,9.32526666667,51.9688,122.634866667,3.25986666667,71.0829333333,135.2148,11.6981333333,7.6666
536.25,8.51428333334,32.261,75.5842,20.5287333333,21.7846,9.33300000001,51.8282,122.433466667,3.2656,71.1117333333,135.2654,11.7092666667,7.67653333333
536.59,8.55788333333,32.3856666666,75.5342666667,20.6263333334,21.9843333334,9.38666666667,51.8025333333,122.3914,3.31326666666,71.2319333333,135.439733333,11.7484,7.7134
536.93,8.57613333333,32.4555333333,75.4569333333,20.6829333333,22.1496,9.41773333333,51.7475333333,122.2978,3.3364,71.3512666667,135.555733333,11.7762666667,7.71566666667
537.28,8.59333333333,32.5306,75.3326666667,20.7279333334,22.3074666667,9.43139999999,51.6728,122.147,3.35726666667,71.4188666667,135.611466667,11.7937333333,7.7304
537.62,8.60153333334,32.5886666667,75.2351333333,20.7666666667,22.4555333333,9.43019999999,51.5986,121.9708,3.35286666667,71.4819333333,135.642066667,11.8036,7.71473333333
537.97,8.59008333334,32.6406666667,75.1359333333,20.8024,22.617,9.4366,51.5214666667,121.838333334,3.34566666667,71.576,135.7514,11.8070666667,7.70646666667
538.31,8.60236666666,32.6862666666,75.0052666667,20.8418666667,22.795,9.46446666666,51.4498666667,121.653066667,3.34653333334,71.6680666667,135.806466667,11.8184666667,7.71086666667
538.65,8.62100000001,32.7338666667,74.9126666667,20.8696,22.9701333333,9.47306666666,51.4251333333,121.554,3.34133333333,71.8486666667,135.987933333,11.8302666667,7.7144
539.00,8.63161666667,32.8157333333,74.8912666667,20.9054,23.162,9.49433333334,51.4538666667,121.503933333,3.31926666667,72.0508,136.1852,11.8405333333,7.7174
