wavelength,Back_DigLaff,Belly_DigLaff,Breast_DigLaff,Crissum_DigLaff,Crown_DigLaff,DorTail_DigLaff,Patch10_DigLaff,Rump_DigLaff,Throat_DigLaff,WingTip_DigLaff
773.18,10.1362,11.9575333333,10.1832,10.5500666667,10.2602,14.0529333333,18.6603333333,11.3962666667,9.71713333335,15.1664
773.50,10.2845466667,12.1888,10.0274,10.7524,10.2508333333,14.2317333333,18.8691333333,11.4546666667,10.041,15.0799333333
773.81,10.28724,12.1654,10.1939333333,10.8678666667,10.3717333333,14.3306666667,18.9150666667,11.5421333333,9.88933333333,15.0554
774.12,10.4036666667,12.4689333333,10.1667333333,10.9654,10.3312,14.1649333333,19.1449333333,11.4447333333,10.1434,15.2501333333
774.43,10.6215733333,12.4706,10.1845333333,11.1240666667,10.1941,14.2103333333,19.2188,11.3684,10.2084666667,15.399
774.74,10.9722266667,12.7314,10.465,11.5076,10.1639666667,14.3220666667,19.5398666667,11.5663333333,10.3915333333,15.6534
775.05,10.67984,12.5259333333,9.89146666667,11.2944666667,9.79816666666,13.8987333334,19.0210666667,11.1330666667,9.91686666669,15.3622
775.36,10.00988,12.3197333333,9.36126666667,11.0524666667,9.36113333333,13.4161333333,18.7794,10.618,9.2992,14.9315333333
775.67,10.78456,12.9942666667,9.88526666667,11.7057333333,9.83056666667,13.9174666667,19.6766,11.1736,9.61919999999,15.4615333333
775.98,10.0959866667,12.3960666667,9.3008,10.9452666667,9.23806666669,13.0192,19.0259333333,10.4792,8.87146666665,14.7369333333
776.30,9.98165333333,12.519,9.21980000001,10.9166,9.18583333333,12.7082666667,18.7234,10.4859333333,8.79953333334,14.8726666667
776.61,10.18936,12.8254666666,9.69840000001,11.164,9.31746666665,12.4708666667,18.7725333333,10.6665333333,8.78306666665,15.1428666667
776.92,9.44994666665,12.1674666667,9.17146666667,10.6127333333,8.93663333331,11.6977333333,18.1700666667,9.98113333335,7.95680000001,14.618
777.23,9.15953333333,11.8132,8.59386666667,9.87506666666,8.43653333333,11.2703333333,17.7634,9.54399999999,7.31813333332,14.2886666667
777.54,8.89869333333,11.7398666667,8.41186666667,9.90779999999,8.45809999999,11.653,17.7995333333,9.47426666666,7.07313333333,14.0596666667
777.85,7.97597333333,10.9036666667,7.56766666667,8.73053333333,7.85696666667,11.0128,17.0079333333,8.59966666667,6.37726666667,13.0767333333
778.16,6.78749333334,9.61253333334,6.54580000001,7.41959999999,6.83716666667,10.0302,15.6967333333,7.67246666667,5.42453333334,11.778
778.47,6.47434666667,8.89620000001,6.30046666667,6.68853333334,6.18566666667,9.46439999999,15.2787333333,7.4208,5.08739999999,11.1638666667
778.78,6.49981333333,8.76166666667,6.06413333333,6.24113333333,5.95083333333,9.2372,15.0691333333,7.11433333334,5.05246666667,11.0116666667
779.09,6.60193333334,8.57060000001,5.67853333333,6.01893333334,5.9074,9.26853333333,14.9078666667,6.7674,5.053,10.9213333333
779.40,7.25109333333,8.661,5.92793333334,6.28893333333,5.94153333333,9.63346666667,15.3998666667,6.98886666667,5.3944,11.0778666667
779.71,7.37598666666,8.47593333332,5.62466666666,6.056,5.78713333333,9.50146666666,15.5126,6.86273333334,5.02513333333,11.07
780.02,7.68176000001,8.44786666667,5.57233333333,6.28126666666,5.9715,10.1952666667,15.6672666667,7.15240000001,5.09206666667,11.2786666667
780.33,7.62308000001,8.12946666667,4.827,5.87326666666,5.3614,9.90713333334,15.2742666667,6.7848,4.8326,10.9986666667
780.64,9.12731999999,9.28013333334,6.14613333334,7.11519999999,6.70543333333,11.0632,16.3564666667,8.0842,6.21266666666,11.8936666666
780.95,9.10690666668,8.94620000001,6.08986666667,6.62780000001,6.5584,10.4490666667,15.8236666666,7.92566666667,5.82359999999,11.6194
781.26,8.58073333333,8.00113333332,5.55640000001,5.96013333333,5.80613333333,9.86279999999,15.3575333333,7.261,5.0016,11.1354
781.57,8.92862666667,8.43899999999,5.70026666666,6.28933333333,6.36086666667,10.1486666667,15.8948,7.40420000001,5.24866666667,11.4464
781.88,9.00624000001,8.68073333332,5.68000000001,6.4272,6.4187,10.5896,16.1995333333,7.44886666666,4.96786666666,11.7514
782.19,9.19905333332,8.66146666667,6.27000000001,6.73666666666,6.93486666666,10.8894,16.7628666667,8.15393333333,5.46513333333,12.0618
782.50,8.20774666665,7.67006666665,5.72273333333,6.08500000001,6.38173333333,9.87833333333,16.1591333333,7.8184,4.76693333333,11.3030666667
782.81,6.84866666666,7.11859999999,4.67026666667,5.28086666667,5.57993333333,8.90106666667,15.3846,7.13073333333,3.956,10.873
783.12,5.74641333333,5.80473333334,3.83880000001,4.26046666667,4.49606666667,7.93813333333,14.6481333333,6.23893333333,3.10693333333,9.86046666665
783.43,5.85456,6.0526,3.9222,4.41113333333,4.7806,7.77560000001,14.9811333333,6.30953333334,3.43366666667,9.79319999999
783.74,6.41979999999,6.77366666666,4.99833333333,5.45173333334,5.908,8.20886666667,15.9772666667,7.23313333334,3.99126666667,10.3492666667
784.05,5.46161333333,6.04466666667,4.17233333333,5.46813333334,5.2154,7.58013333334,15.7174666667,6.50460000001,3.66706666667,9.73766666668
784.36,5.69302666667,6.20706666666,4.16246666666,6.0008,5.4946,7.63906666668,16.3370666667,6.90646666667,4.2356,9.7836
784.67,7.02029333333,7.70766666666,5.81913333335,7.56753333334,6.70340000001,8.78213333333,17.8311333333,8.56186666666,6.01266666667,10.9776
784.98,7.66180000001,8.01993333333,5.99659999999,8.06633333332,6.82269999999,8.93533333333,18.1625333333,9.068,6.54060000001,11.0912
785.29,8.26614666666,8.60646666666,6.46153333334,8.83166666668,7.50416666667,9.36773333334,18.6759333333,9.55966666667,7.44793333333,11.3472666667
785.60,7.95365333333,8.41446666666,5.98473333333,8.59986666666,6.96790000001,9.13599999999,18.2192666667,8.9176,6.86519999999,10.8772
785.91,7.84466666666,8.33659999999,5.5578,8.08213333334,6.46766666667,9.02819999999,17.7821333334,8.34953333334,6.35346666667,10.4502
786.22,8.60566666666,9.03433333332,6.34593333334,8.95733333334,7.50709999999,10.0223333333,18.4857333333,9.1048,6.90413333334,11.0170666667
786.53,8.97276000001,9.50659999999,6.9324,9.53819999999,7.96329999999,10.7148666667,18.8868,9.75326666667,7.31813333333,11.1068666667
786.84,8.52555999999,9.13866666667,6.59180000001,9.16986666668,7.16913333334,10.1311333333,18.0961333333,9.26973333334,6.7602,10.8302666667
787.14,7.68037333333,7.81093333334,5.48506666666,7.85439999999,5.83026666667,9.35313333333,17.1330666667,8.27113333334,5.77113333333,9.55226666667
787.45,7.57173333334,7.77366666667,5.3832,7.18986666667,5.41063333333,9.27006666667,16.7153333333,7.871,5.23713333333,9.37946666667
787.76,6.83408,7.05800000001,4.54666666667,6.1186,4.4323,8.69,15.7844666667,7.14846666666,4.25173333333,9.09960000001
788.07,6.99998666666,7.49706666667,4.4758,6.1012,4.75269999999,8.85153333333,15.8481333333,7.32039999999,4.29326666667,9.48753333333
788.38,6.54601333333,7.01779999999,4.12646666667,5.82973333334,4.66800000001,8.59799999999,15.4521333333,7.00033333333,3.92166666667,9.62826666667
788.69,6.16674666667,6.69006666667,3.91433333334,5.26406666667,4.60980000001,8.32746666667,15.2935333333,6.69606666666,3.9084,9.54226666665
789.00,6.19956000001,6.82553333333,4.007,5.2368,4.82206666667,8.26120000001,15.2868666667,6.64906666666,3.81293333333,9.67326666667
789.31,6.55822666667,7.43353333333,4.41293333333,6.02946666667,5.55163333334,8.92653333335,15.6756,7.17993333333,4.33626666667,10.3362
789.62,6.15521333334,7.05066666667,4.3084,5.59246666667,5.25966666666,8.59293333334,14.9894666666,6.78653333333,3.95433333333,10.303
789.92,6.80936,7.65279999999,4.73680000001,6.243,5.82269999999,9.15913333334,15.3780666667,7.01160000001,4.53113333333,10.9981333333
790.23,7.04290666667,7.458,4.74886666666,6.48406666667,6.18263333334,9.80200000001,15.927,7.19633333333,4.87673333333,11.1598
790.54,8.3006,9.12,6.26806666666,8.00386666668,7.89646666667,11.4565333333,17.3442666667,8.62933333333,6.34786666666,13.137
790.85,8.50640000001,8.95686666667,6.2596,8.16799999999,8.21556666667,11.794,17.7670666667,9.03926666667,6.5204,13.5369333333
791.16,9.48068,9.50913333335,7.50000000001,9.42519999999,9.38950000001,12.9199333333,18.7984666667,9.86440000001,7.71973333334,14.5026
791.47,10.1114666667,9.58006666666,8.01193333333,10.328,10.0229333333,13.6153333333,19.1927333333,10.374,8.18893333335,15.1706666667
791.78,10.5662266667,9.92406666667,8.92633333334,10.8224666667,10.4691666667,14.3708,19.8150666667,10.8026666667,8.29860000001,15.5070666667
792.08,10.1860133333,9.54639999999,8.77846666666,10.4667333333,9.85093333335,14.0881333333,19.3181333333,10.5726,8.04366666667,15.3920666667
792.39,10.9672266667,9.98646666667,9.17513333334,11.2206666667,9.92969999999,14.6343333333,20.2145333333,11.4756,9.06106666668,16.4453333333
792.70,10.9181466667,9.7884,9.2144,11.2499333333,9.84270000001,14.3442,20.3484,11.7418,9.071,16.8579333333
793.01,10.54184,9.05360000001,8.47733333335,10.6722,8.89566666667,13.7106666667,20.2057333333,10.974,8.80660000001,16.4129333333
793.32,9.55765333334,8.71379999999,7.97766666667,9.88439999999,8.18436666666,13.1651333333,20.2454666667,10.7185333333,8.54546666667,16.3616666667
793.62,9.32478666665,9.094,8.52133333333,9.97486666667,8.27053333333,13.1974,20.5728666667,11.2210666667,8.77200000001,16.8134666667
793.93,9.40625333334,9.18913333334,9.09613333333,10.4966,8.63516666668,13.6690666667,21.229,11.5614666667,9.17466666667,17.1418
794.24,9.33753333335,9.47893333333,9.56980000001,10.1504,9.05223333333,13.6272,21.4690666667,11.9272666667,9.15706666668,17.2438
794.55,8.68128000001,9.09786666667,8.882,9.45313333333,8.666,12.7828666667,21.0657333333,11.2504666667,8.38726666668,16.7677333333
794.86,7.54860000001,8.27399999999,7.93846666667,8.267,7.59609999999,11.3905333333,20.0559333333,10.1817333333,7.14886666667,15.5836
795.16,7.45217333333,8.81879999999,7.91046666666,8.21106666667,7.85119999999,11.5305333333,20.2236666667,10.2096666667,7.97346666667,16.0586666667
795.47,7.15041333333,8.74573333334,7.42906666667,8.44773333333,7.85860000001,11.4483333333,20.1178666667,10.0624,7.69233333333,16.0222
795.78,7.23361333333,9.07973333332,7.40273333333,8.58886666667,8.53429999999,12.1130666667,20.0,10.2385333333,7.63466666665,16.1826666667
796.09,7.18576000001,9.26179999999,7.42840000001,8.47320000001,8.46980000001,12.7062666667,20.2831333333,10.2933333333,7.79246666667,16.0768
796.40,8.41025333332,10.4791333333,8.3266,9.17693333334,9.67259999998,13.7719333333,21.2888666667,11.5723333333,8.79893333332,16.7206
796.70,8.29298666667,10.0807333333,7.84960000001,8.77693333333,9.44886666667,13.1720666667,20.4502,10.8871333333,8.19213333333,16.0753333333
