wavelength,Back_IncLaem,Belly_IncLaem,Breast_IncLaem,Crissum_IncLaem,Crown_IncLaem,DorTail_IncLaem,Patch10_IncLaem,Patch11_IncLaem,Rump_IncLaem,Throat_IncLaem,WingTip_IncLaem
810.80,29.1759166667,67.45525,31.4140833333,53.62975,12.26725,6.56591666668,49.44875,51.4068333334,18.7089166667,5.05241666668,16.352
811.10,29.0135,67.4274166667,31.2369166666,53.0994166667,11.6274166667,5.76216666667,49.3725833333,50.647,18.1436666667,4.60533333334,15.94175
811.41,28.23275,66.9980833333,30.47875,52.54375,10.7781666666,4.62425000001,48.7658333334,50.0795833333,17.243,3.78199999999,14.7979166667
811.71,28.9563333333,68.2974166666,31.4783333333,53.5430833333,11.3355,4.95350000001,49.6719166666,50.9153333333,17.8043333333,4.53716666666,14.7608333333
812.02,29.87825,68.8675,32.9415,54.2715,12.6648333334,6.70858333332,50.6989166666,51.6244166666,19.1929166666,6.56283333334,16.0475833333
812.32,30.98625,69.0545,33.33025,54.6001666667,13.3945833333,7.70650000001,51.2494166667,51.90425,20.188,7.71708333334,16.5135
812.63,31.5084166666,69.4505,33.2975833333,55.1104166667,14.1996666667,8.60325000001,51.7824166667,52.3789166666,20.7338333333,8.54008333334,17.1174166667
812.93,32.0055833333,69.3796666667,33.268,55.0003333333,14.351,8.66558333333,51.3133333333,52.4255833333,20.60325,8.50900000002,17.4678333334
813.24,31.47175,68.7010833333,32.9908333333,54.6473333333,13.8844166667,8.85208333334,50.7083333333,51.5754166667,20.4940833333,8.1945,17.78275
813.54,31.19425,68.60275,32.9685833333,54.6986666667,13.99075,9.10916666667,50.6030833333,51.7349166666,20.0724166667,8.11058333333,17.543
813.85,30.8794166667,68.7746666667,32.8079166667,54.4380833333,13.9871666667,9.19383333332,50.4258333333,51.9211666667,19.66,8.01499999999,17.62025
814.15,30.67075,68.6829166667,32.3743333333,53.9489166667,13.8385833333,8.74049999999,50.0005,51.9869166667,19.7651666666,8.03550000002,17.53025
814.46,30.45375,68.9524166667,31.959,53.7611666667,13.8195833333,8.81949999998,50.2168333333,52.5835,19.8601666666,7.69699999999,17.4634166667
814.76,31.2819166666,69.5938333333,32.70575,53.99775,15.2455,10.4931666667,51.0975,53.1869166667,21.1145,9.60225,19.396
815.07,30.4893333333,68.7018333333,31.6985833333,53.0278333334,15.2604166667,10.1948333333,50.4595,52.14,20.975,9.40583333334,19.8891666667
815.37,30.1284166667,68.1720833333,31.0901666667,52.7739166667,14.86875,9.46425000002,50.1283333333,51.6705,20.0265,8.84816666667,19.9324166667
815.68,29.1464166666,67.6103333333,30.2138333333,52.3168333333,14.2395833333,8.19658333334,49.4603333333,51.136,18.87775,7.59158333333,19.47525
815.98,29.7505,67.6885833333,31.0653333334,53.12875,14.662,8.81083333334,49.5145,51.1764166667,19.6596666667,8.04366666666,20.3909166667
816.29,29.4530833333,67.4395833333,30.7123333333,52.7263333333,14.1963333333,8.33249999999,49.3140833333,50.253,19.4263333334,7.72683333334,20.1944166666
816.59,28.8484166667,67.10725,30.0895833333,51.9683333334,13.7858333333,7.44541666667,49.0539166667,49.4158333334,18.7724166666,7.07366666666,19.3568333333
816.89,28.8310833333,67.46575,29.8426666667,51.9180833333,13.49925,7.1,49.0946666666,48.9290833333,18.91175,6.81858333333,19.6314166667
817.20,29.0114166666,67.57975,29.6825,52.0730833333,13.21,6.38491666667,49.23375,48.8385,18.9315,6.28600000001,19.77725
817.50,29.6794166667,68.6204166667,30.2536666667,53.0624166667,13.6671666667,6.89875,49.7635,49.7538333333,19.1331666667,6.21708333333,20.35775
817.81,29.9785,69.169,31.0920833333,53.96,13.84775,7.006,50.1248333333,50.0568333333,19.50575,6.19683333332,20.5168333333
818.11,30.0935,68.7176666667,31.1435,54.06975,13.6825833333,6.82858333332,49.9989166667,49.8609166666,19.53575,5.65616666667,20.2161666667
818.41,31.275,69.5964166667,32.0721666667,55.2250833333,14.40725,8.08125,50.7275833333,50.9736666667,20.2965833334,6.81624999999,21.0599166667
818.72,32.4604166667,70.8804166667,32.8483333333,56.00525,15.73225,9.10766666667,51.4423333333,52.0171666667,21.56075,8.02583333333,21.954
819.02,33.60075,72.6214166667,34.0490833333,57.438,16.65375,10.4453333333,52.7166666667,53.3791666667,22.9866666667,9.28091666667,22.8751666666
819.33,33.7010833333,73.5139166667,34.4556666666,57.634,17.0166666667,10.63325,53.535,54.25575,23.2355833334,9.68241666667,22.7625
819.63,34.1213333333,74.26125,35.212,58.5426666667,17.5576666667,11.2609166667,54.3070833334,55.5960833333,23.8334166666,10.3161666667,23.1749166667
819.93,34.0303333334,74.1198333333,35.3123333333,58.4344166667,17.5134166667,11.60325,54.29225,55.9071666666,23.9385833333,10.5810833333,23.38725
820.24,34.5598333333,75.08625,36.0579166667,59.1125,17.7873333333,12.0746666667,54.8995,56.85175,24.3655833333,11.1175,23.7123333333
820.54,34.9575,75.3289166667,36.45975,59.2105,18.407,12.97575,55.2665,57.2423333334,24.72025,11.86975,24.2260833334
820.85,35.1110833333,75.4430833334,36.6975,59.1836666667,18.7146666667,13.17075,55.4106666667,57.3803333334,24.9885,12.3154166667,24.4519166666
821.15,35.2011666667,75.6333333333,36.6828333334,59.2870833333,18.7680833333,13.1960833333,55.65925,57.4799166667,24.94775,12.3748333333,24.39475
821.45,35.49025,76.1991666667,37.1480833334,59.7310833333,19.0896666667,13.4679166667,56.1901666667,57.8821666667,25.2430833334,12.765,24.747
821.76,35.3225,76.17125,37.195,59.5761666667,18.8860833334,13.42675,56.108,57.8369166667,25.2595833334,12.7631666667,24.5190833334
822.06,35.34825,76.127,37.3085833334,59.6085,18.863,13.403,56.2209166667,57.8401666667,25.3004166667,12.88425,24.47225
822.36,35.35225,75.9984166667,37.3499166667,59.4726666667,18.8333333334,13.3951666667,56.2368333333,57.7695,25.2444166667,12.98675,24.5046666667
822.67,35.3271666667,75.959,37.3938333334,59.4928333333,18.7145833333,13.37875,56.19275,57.7193333333,25.1938333333,12.9545833333,24.5566666666
