wavelength,Back_HemSupm,Belly_HemSupm,Breast_HemSupm,Crissum_HemSupm,Crown_HemSupm,DorTail_HemSupm,Patch10_HemSupm,Patch11_HemSupm,Rump_HemSupm,Throat_HemSupm,WingTip_HemSupm
190.57,40.7406666667,42.7084444444,52.1991111112,38.5415555556,-8.68055555553,54.6297777777,35.9955555555,4.62966666667,26.0415555556,46.4121111111,39.352
190.95,45.9976666667,44.6833333333,52.3296666668,40.3823333334,-3.82311111113,51.8518888889,34.0501111111,3.22588888887,25.6871111111,48.1482222222,39.6653333332
191.33,46.77,39.6642222222,48.8372222223,40.8267777778,-12.4031111111,53.3593333333,30.4907777778,-1.2918888889,17.7003333334,43.2815555556,38.243
191.71,47.4867777778,36.6402222222,52.5131111112,36.5078888889,-17.9893333333,56.6136666666,25.9258888889,-0.793666666667,13.0951111111,43.2537777778,35.0527777777
192.09,39.625,30.2544444444,43.5072222221,35.4753333333,-25.0333333333,63.32,19.2771111111,-2.94522222223,8.29977777778,42.9717777778,25.7028888888
192.47,27.7015555555,14.3075555556,30.8978888888,23.8964444444,-37.8996666665,58.9042222222,5.02277777777,-8.2191111111,-4.71822222223,28.7671111111,12.6331111111
192.85,21.1293333333,6.19311111113,19.3077777779,22.4042222222,-57.9235555556,63.9344444446,-3.0966666669,-17.4862222222,-13.1147777778,27.3223333333,2.36822222233
193.23,28.9272222222,12.2605555556,19.5403333333,27.5862222222,-59.1953333332,76.2452222223,-6.321777778,-13.9845555556,-20.3064444444,32.9499999999,1.91566666667
193.61,39.7086666665,24.7721111112,32.7868888889,39.7086666667,-49.726888889,90.5284444446,-3.64311111123,-6.55744444443,-14.754,41.1658888889,15.482888889
193.99,41.2698888889,16.78,25.1702222222,31.7459999999,-88.2086666664,103.401111111,-26.9841111109,-31.2924444444,-32.1993333333,27.891111111,1.81411111123
194.37,34.603111111,-11.746,-3.492111111,-1.90466666667,-151.111222222,118.095111111,-57.4602222224,-76.1906666668,-76.8253333333,-0.317555555567,-34.6032222222
194.75,-8.6419999999,-82.3044444443,-61.7284444443,-66.255,-244.444444444,113.169,-105.761111111,-149.382777778,-135.802444444,-52.6747777779,-104.115111111
195.13,-7.93655555567,-131.216888889,-77.248777778,-97.8835555556,-318.518444444,160.317444444,-126.984111111,-195.767333333,-175.661333333,-75.6612222222,-154.497555555
195.51,-31.1111111111,-159.444444445,-118.333333333,-124.444444444,-360.0,145.0,-158.888888889,-233.333333333,-192.222222222,-104.444444444,-199.444444444
195.89,-304.166666667,-636.111111111,-584.722222221,-508.333333333,-1070.83333333,125.0,-600.0,-819.444444446,-684.722222223,-529.166666668,-729.166666668
196.27,4.165261019e+15,7.84718116892e+15,6.75255625946e+15,6.72412444363e+15,1.20835217274e+16,2.84318158277e+14,7.22168122067e+15,9.95113554026e+15,8.67170382797e+15,6.82363579903e+15,8.68591973588e+15
196.65,631.111111111,1273.33333333,1004.44444444,1073.33333334,1942.22222222,-44.4444444457,1188.88888889,1631.11111111,1402.22222222,1097.77777778,1313.33333333
197.03,261.805555556,477.777777778,372.916666667,403.472222222,656.944444444,63.8888888887,442.361111111,570.138888889,484.722222222,421.527777778,444.444444444
197.40,694.444444444,1294.44444444,1044.44433333,1090.74088889,1740.74066667,255.555222223,1166.66666667,1450.00011111,1238.88888889,1166.66655556,1229.62955555
197.78,1733.33322222,3044.44444444,2585.18533333,2629.62955555,3896.29622222,992.592666666,2629.62977778,3374.07411111,2770.37044444,2818.51855556,2974.07411111
198.16,-1911.11122222,-3307.40744444,-2922.22233333,-2929.62966667,-4014.81488889,-1196.29633333,-2677.77777778,-3659.25922222,-3007.40733333,-3025.92588889,-3188.88888889
198.54,-571.717,-917.171777778,-812.121000001,-767.676555555,-1070.707,-298.989888889,-760.606000001,-1039.39388889,-829.292999999,-802.020222221,-885.858666666
198.92,-775.0,-1191.66666667,-1041.66666667,-984.722222222,-1401.38888889,-388.888888889,-1045.83333333,-1406.94444445,-1127.77777778,-1088.88888889,-1158.33333333
199.30,-7733.33333333,-10777.7777778,-10155.5555556,-9411.11111112,-12944.4444445,-4588.88888889,-10222.2222222,-13022.2222222,-10466.6666666,-10611.1111111,-10811.1111111
199.68,650.427444445,892.307777779,841.025555556,782.051333333,1027.35044445,388.034333333,843.589888889,1060.68377778,857.265111111,896.581222221,877.777666666
200.06,941.666666667,1301.38888889,1233.33333333,1148.61111111,1536.11111111,501.388888889,1252.77777778,1601.38888889,1280.55555556,1348.61111111,1270.83333333
200.44,1160.31744444,1536.50811111,1547.619,1388.88888889,1809.52388889,630.158666666,1566.66666666,1877.77788889,1461.90477778,1615.87277778,1544.44444444
200.82,1673.33333333,2146.66666666,2273.33333333,1957.77777778,2515.55555555,1006.66666667,2277.77777778,2660.0,2062.22222222,2337.77777778,2306.66666667
201.19,4400.0,5422.22222222,5838.88888889,4933.33333333,6455.55555556,2794.44444445,5977.77777778,6694.44444444,5422.22222222,6122.22222222,6250.0
201.57,590.740777778,680.246777778,719.75311111,630.246888889,805.555444443,396.296222222,758.642000001,829.629555557,698.148111111,767.901222222,785.802444444
201.95,370.138888889,423.611111111,447.222222222,383.680555556,486.458333333,263.541666667,462.847222222,503.125,435.763888889,476.388888889,480.208333333
202.33,300.529222222,328.306666667,337.830777778,297.09,379.629555556,219.047555556,366.137555556,372.486777778,335.185111111,366.931222222,369.047444444
202.71,336.936777778,363.964,370.871,339.639666666,441.141,254.654777778,417.417444444,405.405333334,376.576444444,417.717777778,406.606444444
203.09,354.603,384.127111111,407.619,361.904666667,476.190444445,268.253666667,456.190444445,420.635,408.571333334,441.269888889,436.825555556
203.47,315.718222222,333.604222222,352.303777778,307.046111111,407.317,226.287333333,399.187111111,359.078666667,352.303555556,373.170888889,372.628888889
203.85,449.808444444,460.153444444,491.187888889,431.800666667,573.563444445,308.428777778,557.854222222,501.532777778,490.804666667,510.344888889,535.249
204.22,385.285444444,393.393333333,415.315222222,367.267222222,475.976111111,266.666555556,459.759777778,422.222222222,418.318333333,418.618666667,446.246444444
204.60,282.086222222,289.795888889,303.628111111,262.585222222,351.700555556,193.650888889,330.612333333,307.483,309.523666667,300.680222222,328.798444444
204.98,241.187666667,249.808333333,257.088333333,229.118888889,300.574555555,170.498,280.459777778,259.578444445,269.348666667,254.023,275.095666666
205.36,224.670333333,233.145,241.996222222,224.293666667,285.687333333,160.452,263.841888889,242.372888889,259.510333333,236.346333333,253.483888889
205.74,212.052777778,219.397444444,229.190111111,214.877555556,270.056333333,148.964222222,248.399222222,236.723333333,251.412555556,220.150777778,233.333444445
206.12,221.031888889,223.214222222,237.5,225.396777778,276.983888889,156.944777778,257.142666667,239.484111111,259.127,222.420666667,236.706222222
206.50,198.803555556,202.393444444,216.923,203.418777778,246.153777778,145.641111111,231.965888889,218.119666666,235.897444445,199.999888889,216.410333334
206.87,150.129222222,154.651222222,170.930111111,154.909555556,186.692444445,113.436666667,178.811444444,168.992333333,180.878555555,156.976777778,167.312888889
207.25,145.370444444,150.578555556,158.564777778,148.842666667,177.893333333,113.541888889,165.740777778,167.476777778,170.833333333,151.273,159.259222222
207.63,138.063888889,149.174777778,157.535666667,146.314777778,176.347555555,113.861555556,162.706333333,162.926333333,167.436666667,150.605111111,155.665555556
208.01,133.333333333,142.138333334,150.628888889,141.404444445,171.488666667,113.207666667,157.128,158.071333333,165.199222222,148.008333333,145.911888889
208.39,125.694555556,134.623,142.559555555,134.027777778,163.591444445,108.333444445,149.801666666,151.884888889,154.662777778,141.170666667,140.476222222
208.77,128.985444444,136.328555555,143.091666667,136.038777778,163.671444444,114.203111111,150.241666667,154.202888889,156.908,142.125666667,137.294444444
209.14,141.087777778,151.273222222,161.689888889,144.907444444,183.333444445,118.055555556,164.583444444,170.717666667,170.254666667,150.810222222,149.652777778
209.52,137.543777778,149.239666667,161.052777778,139.883,177.660777778,113.567111111,160.350777778,168.304,164.210444444,148.070111111,145.029222222
209.90,142.469111111,155.802444444,171.111,145.061555556,184.567777778,124.197666667,170.123555556,176.296555555,171.358,155.555555556,153.457
210.28,125.817,135.294,151.742777778,129.411888889,162.962888889,110.348222222,151.960777778,156.862555556,152.178666667,133.660111111,133.006555555
210.66,139.382777778,138.271555555,167.407555556,141.975111111,181.851777778,121.851888889,166.049333333,176.296222222,168.024777778,145.555666666,141.975444445
211.03,141.025666667,140.171111111,166.788666667,145.665444444,184.004777778,125.152555556,163.369888889,178.388222222,166.910888889,143.101444444,145.177
211.41,144.444444445,145.289888889,175.241666667,156.159555556,189.251222222,130.796888889,172.343,179.227111111,174.033888889,147.825888889,150.000111111
211.79,152.777777778,152.513333333,178.703666666,164.682555556,198.016,136.640222222,179.100666667,188.359777778,183.597888889,154.629666667,159.656
212.17,137.121222222,142.297777778,164.646444445,154.419222222,176.894,125.252444444,166.793,167.929222222,165.151555556,138.888888889,143.182
212.55,141.176555556,149.281111111,173.594888889,160.784222222,183.790777778,131.372333333,174.509888889,171.503333334,167.581777778,148.366,149.411888889
212.92,142.547333333,150.677333333,172.493222222,163.008111111,187.804888889,125.880666667,176.693777778,171.273444445,169.105555556,153.116444444,149.187111111
213.30,140.023888889,144.205444444,163.440777778,161.529333333,176.224777778,124.014222222,166.308222222,164.874666667,165.352444445,152.090777778,145.280666667
213.68,143.083777778,147.165444444,163.265222222,161.904888889,174.036333333,125.510333333,164.625777778,163.265333333,164.285777778,154.195,148.752666667
214.06,148.753,152.947666667,164.965888889,163.832333333,176.644,124.716444444,167.573555556,165.646222222,168.480666667,161.677888889,150.340111111
214.44,166.049333333,165.802333334,175.679,173.703666667,189.629666667,133.209888889,185.308666667,179.629666667,182.839555555,177.530888889,161.234555556
214.81,152.199111111,159.837888889,162.384222222,158.912,169.328666667,120.601555556,168.055666667,164.699,164.583222222,163.078777778,148.032333333
215.19,175.308666667,178.326444444,183.402,174.485666667,187.517111111,134.567666667,192.455222222,184.910666667,187.517111111,188.477444444,161.316888889
215.57,192.769222222,193.650777778,197.707222222,183.950555556,202.116444444,136.684333333,207.407444444,203.174666667,203.703777778,212.698555556,171.252222222
215.95,180.793666667,180.634888889,184.603222222,169.523666667,189.206333333,134.920555556,190.952333333,190.634888889,188.412777778,195.396777778,157.936555555
216.32,217.963,212.777777778,216.111111111,194.073888889,226.296222222,161.666777778,221.111,223.518333333,220.555444444,229.444444444,190.185333333
216.70,225.865222222,212.750444444,213.114777778,195.446444444,227.686888889,168.306111111,216.029111111,221.129333333,220.947222222,223.679444444,186.703111111
217.08,226.881666667,214.337,214.874555555,200.179444444,224.910444444,173.655888889,221.863777778,218.100333333,219.355,226.702444444,195.52
217.46,258.383888889,241.212222222,242.828444444,227.878888889,251.111111111,204.040222222,255.151555556,241.818222222,243.030222222,257.171666666,222.626111111
217.83,299.536888889,278.240777778,280.555555556,257.870333333,294.907333333,248.148111111,298.611,285.648111111,287.963,297.453777778,253.009222222
218.21,335.185333333,303.174555555,300.0,281.746111111,324.867777778,278.306777778,320.899333333,303.703666667,305.82,314.021222222,282.010666667
218.59,333.333444444,300.813111111,305.149,293.224888889,322.493222222,281.571888889,302.168111111,296.747888889,308.130111111,308.130111111,287.804888889
218.97,347.777777778,305.277777778,314.166666667,306.944444444,334.444444444,307.222222222,316.666666667,301.666666667,325.833333333,333.611111111,296.388888889
219.34,311.337888889,275.963777778,281.859444444,279.818666667,303.401333333,280.272111111,276.190444444,269.614555555,296.825555556,295.918333333,270.975
219.72,282.183888889,255.172444444,258.237666667,254.406111111,276.436666667,255.363888889,241.570888889,242.145666667,261.877333333,262.452111111,242.145777778
220.10,393.859555556,350.292444444,363.450333333,355.263333333,378.654888889,356.725111111,319.298111111,324.853777778,352.924,366.666777778,328.070222222
220.47,394.736888889,345.321666667,373.391888889,361.403333334,374.853777778,364.912333333,319.298222222,333.625666667,347.660666666,368.420888889,323.391888889
220.85,536.752111111,460.256333333,508.974333334,500.000111111,505.982888889,498.290333333,428.205222222,455.982888889,478.632444445,503.418888889,441.880333334
221.23,646.464888889,552.020111111,608.586,590.909,619.697111111,623.737222222,488.383777778,563.636333333,583.333444445,591.414111111,512.626222222
221.61,606.763333333,518.357444444,568.116,534.299333333,595.652222222,597.584666667,442.512111111,540.579666667,546.859888889,548.309222222,456.521888889
221.98,533.760555556,437.606777778,492.307666667,450.854666667,505.128222222,513.247666667,377.350555556,462.393111111,452.564222222,457.692222222,381.196555556
222.36,365.527,311.965777778,352.136777778,318.518333333,356.98,352.991555555,269.800777778,333.333333333,318.803444444,322.507111111,263.817555555
222.74,321.728444444,287.407444445,307.160555556,275.308555556,312.592555556,316.296222222,248.394888889,296.049555555,276.543333333,286.913555555,231.111111111
223.11,400.617333333,361.728444445,368.209888889,326.543222222,391.049111111,366.666777778,309.567777778,358.641888889,335.185111111,338.888888889,280.246666667
223.49,683.888888889,623.888888889,617.222222222,543.888888889,663.888888889,619.444444444,540.0,607.777777778,552.222222222,561.111111111,449.444444444
223.87,1882.53966667,1661.90466666,1652.38088889,1441.26977778,1755.55555556,1684.12688889,1514.28588889,1679.36511111,1511.11111111,1525.397,1185.71444445
224.24,4314.81466667,3800.0,3781.48144444,3181.48155556,4033.33333333,3644.44444445,3518.51833333,3888.88877778,3600.0,3433.33333334,2659.25933333
224.62,1826.98422222,1614.28577778,1571.42866667,1311.11111111,1749.20633333,1449.20644445,1471.42866667,1685.71422222,1626.984,1426.98411111,1109.524
225.00,6116.66666667,5427.77777778,5038.88888889,4133.33333333,5733.33333333,4722.22222222,4811.11111111,5466.66666667,5361.11111111,4655.55555556,3355.55555556
225.38,-1102.02022222,-950.50511111,-859.595888889,-715.151444445,-1002.02022222,-770.707111112,-869.696999999,-961.616222223,-949.494999999,-849.494888889,-594.949333334
225.75,-262.5,-222.5,-188.055555556,-155.833333333,-233.333333333,-161.666666667,-201.388888889,-221.111111111,-220.277777778,-189.722222222,-131.111111111
226.13,-233.333333333,-200.966111111,-169.082,-156.280222222,-223.188333333,-141.304444445,-178.260888889,-200.241555556,-213.043666667,-178.985666667,-137.681111111
226.51,-135.616555556,-114.307444444,-94.6727777778,-93.9116666666,-131.354666667,-72.4502222223,-99.239,-117.503777778,-125.875111111,-109.284666667,-78.9955555556
226.88,-98.5965555556,-84.2104444443,-72.6316666668,-72.3976666667,-100.0,-43.5087777778,-73.6842222223,-87.1345555557,-93.4502222223,-82.8068888889,-58.9472222221
227.26,-94.9298888889,-81.1220000001,-74.6494444445,-74.0022222222,-96.5482222223,-43.0417777778,-71.3053333333,-87.055111111,-93.5275555557,-78.9645555557,-58.8996666665
227.64,-91.0492222223,-83.436111111,-74.279888889,-75.6173333333,-94.4444444446,-43.4155555555,-67.7984444445,-81.3786666668,-91.8724444445,-74.7942222222,-60.0823333332
228.01,-81.0405555555,-78.4832222222,-71.2521111111,-68.6947777778,-90.9173333332,-44.0035555556,-64.1974444445,-71.4286666665,-84.0387777777,-69.4003333333,-62.7866666667
228.39,-64.5435555556,-62.4913333333,-55.6971111111,-55.6264444444,-73.8144444444,-35.9518888889,-51.5217777778,-54.9186666666,-67.1622222222,-55.6262222222,-49.9646666667
228.76,-51.1111111111,-50.8772222222,-43.1576666667,-43.5086666667,-58.5966666667,-29.0058888889,-41.228,-41.4035555556,-49.766,-44.9122222222,-41.345
229.14,-51.2102222222,-50.66,-46.2045555555,-45.8745555555,-58.9107777778,-29.5931111111,-42.4093333333,-43.7294444445,-49.5051111111,-46.3146666667,-43.8394444444
229.52,-45.8071111111,-47.6938888889,-45.4925555555,-44.0251111111,-54.822,-27.2535555556,-40.1467777778,-39.7798888889,-44.1822222222,-42.2433333333,-38.8362222222
229.89,-49.616,-51.357,-49.7694444444,-49.9231111111,-57.399,-32.5141111111,-44.8028888889,-43.1132222222,-45.7756666667,-47.7725555556,-43.5741111111
230.27,-44.6796666666,-49.1996666667,-44.4445555556,-45.2917777778,-50.8945555556,-29.5196666667,-41.5726666667,-39.1715555555,-39.0772222222,-44.4916666667,-37.2883333333
230.65,-42.877,-49.0087777778,-43.0613333333,-43.1074444445,-47.3028888889,-29.9677777778,-41.3093333333,-36.5605555555,-36.699,-40.8945555555,-33.4254444445
231.02,-42.5851111111,-48.8436666667,-42.5396666667,-42.9932222222,-46.5305555555,-34.1951111111,-40.5441111111,-35.2835555555,-36.0543333333,-39.9546666667,-32.3808888889
231.40,-37.3333333333,-41.8666666667,-35.8222222222,-36.7555555556,-40.4888888889,-29.9555555556,-34.4,-28.0444444444,-29.1555555555,-34.8888888889,-26.8888888889
231.78,-33.727,-36.0017777778,-32.4585555556,-31.846,-36.6578888889,-25.503,-30.6647777778,-25.5466666667,-24.9343333333,-32.1522222222,-24.0594444444
232.15,-28.9333333333,-30.4,-24.4,-27.8666666667,-30.0,-18.1333333333,-22.2222222222,-20.8,-19.7777777778,-25.1555555556,-15.9555555556
232.53,-32.3501111111,-34.1692222222,-26.7946666667,-32.6942222222,-33.1366666667,-21.3373333333,-24.0904444444,-24.9754444444,-20.649,-28.466,-17.3056666667
232.90,-33.8574444445,-34.7483333334,-28.3021111111,-34.8008888889,-33.9097777778,-22.0126666667,-22.4842222222,-26.3102222222,-23.4275555555,-28.5115555556,-17.4003333333
233.28,-26.8397777778,-26.9362222222,-21.645,-26.4551111111,-27.369,-17.0754444445,-16.9792222222,-19.3361111111,-17.845,-19.7691111111,-12.0731111111
233.66,-18.0888888889,-17.0666666667,-13.1555555556,-18.4444444444,-18.6222222222,-12.4444444444,-9.33333333332,-13.6888888889,-11.2888888889,-11.2888888889,-5.68888888889
234.03,-18.2507777778,-18.6287777778,-16.312,-19.5272222222,-20.662,-14.5153333333,-12.7184444444,-17.8723333333,-15.0354444445,-11.9148888889,-7.09199999999
234.41,-22.4724444444,-22.2222222222,-22.4223333333,-24.1241111111,-24.8247777778,-18.1678888889,-16.9668888889,-23.3734444444,-20.2701111111,-13.964,-12.6125555556
234.78,-26.2717777778,-22.6665555555,-24.0987777778,-25.3828888889,-26.2222222222,-21.0866666667,-19.3087777778,-25.7284444444,-22.4691111111,-17.3826666667,-17.4322222222
235.16,-23.0697777778,-17.7024444444,-20.2446666667,-20.9981111111,-23.6347777778,-15.4895555556,-15.7722222222,-23.4935555556,-19.5388888889,-14.7833333333,-14.9716666667
235.54,-21.6867777778,-16.332,-20.2141111111,-20.7943333333,-22.624,-14.681,-15.7072222222,-24.9888888889,-19.0986666667,-13.967,-14.324
235.91,-19.8535555555,-14.255,-17.9587777778,-18.2601111111,-19.0784444444,-12.7045555555,-13.8244444445,-23.1695555556,-17.7863333333,-11.8433333333,-11.3266666667
236.29,-23.0768888889,-17.0941111111,-22.3504444444,-20.0426666667,-21.8802222222,-15.128,-19.1024444444,-25.5557777778,-21.0683333333,-16.5384444444,-15.5555555555
236.66,-26.7004444444,-18.3775555556,-24.3346666667,-22.4758888889,-23.6586666666,-17.068,-22.8981111111,-28.0522222222,-25.3062222222,-19.0957777778,-19.7716666667
237.04,-29.1771111111,-21.3168888889,-25.1441111111,-25.1851111111,-25.0205555555,-19.6707777778,-27.2841111111,-30.9052222222,-27.2015555555,-20.9875555556,-21.2756666667
237.41,-32.2593333333,-24.2462222222,-26.8485555556,-27.3027777778,-26.8895555556,-21.4374444444,-30.1527777778,-33.0854444444,-28.3353333333,-24.3287777778,-23.1312222222
237.79,-38.3994444444,-28.31,-30.9493333333,-31.3322222222,-31.4176666667,-20.349,-33.2056666666,-35.2915555556,-32.0136666667,-28.8207777778,-27.9693333333
238.17,-35.2111111111,-23.4743333334,-25.2737777778,-27.1516666667,-27.6212222222,-15.1015555556,-26.5651111111,-27.6995555556,-26.9952222222,-24.2566666667,-23.3176666667
238.54,-26.6253333333,-13.9318888889,-15.3424444445,-18.335,-17.9911111111,-8.60000000001,-17.9566666666,-17.7847777778,-17.9566666667,-16.1678888889,-13.6911111111
238.92,-18.2735555556,-5.3566666667,-6.24411111112,-10.8967777778,-11.2028888889,-1.53066666668,-9.91744444444,-10.0396666667,-11.1416666666,-8.01977777777,-4.316
239.29,-17.0807777778,-4.51300000002,-5.427,-9.7971111111,-9.28288888889,-0.828555555557,-9.11166666667,-7.71211111112,-9.36888888888,-6.85522222221,-1.74233333333
239.67,-17.0072222222,-6.39399999998,-6.65622222221,-10.1414444444,-10.063,-2.33244444446,-9.4601111111,-7.59955555555,-9.46022222222,-7.75677777779,-3.43277777777
240.04,-15.3128888889,-5.90566666668,-6.06922222221,-9.68744444444,-9.64044444447,-1.79744444446,-8.9168888889,-6.79266666666,-8.00644444446,-6.72277777778,-2.84755555556
240.42,-13.321,-4.81199999999,-5.886,-8.7358888889,-8.77744444446,-1.94122222221,-8.32299999999,-6.21644444443,-7.14577777779,-5.67944444446,-1.21877777778
240.79,-9.86488888891,-3.00155555556,-3.84411111111,-5.79255555556,-6.60011111111,-0.1401111111,-5.82755555557,-4.24777777777,-4.45855555554,-3.63355555555,1.75533333333
241.17,-7.05688888891,-1.28033333333,-2.34722222222,-3.70366666667,-4.84666666667,1.85933333333,-3.61222222222,-2.27088888889,-2.24044444444,-2.19477777778,3.76455555555
241.54,-4.92311111111,0.190444444443,-0.897666666666,-2.48877777778,-3.50877777778,3.4,-1.93122222222,-1.25133333334,-1.38733333333,-0.652555555557,5.00488888889
241.92,-3.38644444444,1.08755555556,0.0245555555567,-1.21144444444,-2.80566666667,3.12677777778,-0.778555555553,-0.865222222221,-0.65511111111,0.358333333333,6.04388888889
242.29,-3.47588888889,0.614111111113,-0.613999999999,-1.26288888889,-3.34833333333,2.85011111111,-0.926888888888,-1.41366666667,-0.985000000003,-0.104333333333,5.909
242.67,-2.21122222222,1.22588888889,0.04377777778,-0.131222222223,-2.51766666666,4.01766666667,-0.0985555555567,-0.59111111111,-0.142222222223,0.897666666666,6.67766666667
243.05,-3.13755555555,-0.408333333332,-1.73011111111,-1.23588888889,-3.47088888889,3.01977777778,-1.11744444444,-2.23511111111,-1.06377777778,-0.21488888889,4.88933333333
243.42,-2.73811111111,-0.48622222222,-1.17344444444,-0.972555555557,-3.23511111111,3.32988888889,-1.03611111111,-2.36811111111,-0.845666666667,-0.03177777778,4.47177777778
243.80,-2.15277777778,0.357,-0.35688888889,-0.325444444443,-2.41555555555,3.98022222222,-0.25211111111,-1.53322222222,-0.462,0.661666666668,5.51366666667
244.17,-2.58188888889,-0.0835555555567,-0.700333333331,-0.710777777777,-2.65488888889,3.76288888889,-0.627222222222,-1.82911111111,-0.909222222223,-0.198666666664,5.06944444444
244.55,-1.93322222222,0.386555555556,0.366333333333,0.203555555557,-1.77055555555,4.93511111111,0.447777777777,-1.04811111111,0.12211111111,0.447777777779,5.78966666667
244.92,-2.05422222222,0.424666666667,0.326,0.38522222222,-1.63944444444,5.22466666667,0.720999999997,-0.602555555557,-0.0986666666633,0.315888888887,5.64955555556
