wavelength,Back_DacVenf,Belly_DacVenf,Breast_DacVenf,Crissum_DacVenf,Crown_DacVenf,DorTail_DacVenf,Patch10_DacVenf,Patch11_DacVenf,Rump_DacVenf,Throat_DacVenf,WingTip_DacVenf
768.82,14.8924166667,37.06225,28.7804916667,39.86025,16.078375,16.29125,16.35175,36.5665833333,19.7238333334,29.370625,16.7315
769.13,14.3548333334,37.129,28.6753121795,39.92925,15.8052916667,15.7478333333,16.1211666667,36.6026666667,19.5625,29.27425,16.3245833333
769.44,12.9230833334,36.146,27.6241705128,39.2424166667,14.3867083333,14.5111666667,14.8745,35.5884166667,18.13025,28.1437916666,14.7129166666
769.76,12.82825,35.8839166667,27.4098955128,38.8485,14.063125,14.7171666666,14.81325,35.02025,17.8384166666,27.8762916667,14.6592916667
770.07,12.06625,35.4450833333,26.7641352564,38.0731666666,13.2642083333,14.30725,13.85275,34.38675,17.0901666667,26.9774166667,13.8660416667
770.38,11.7404166667,35.0240833333,26.4482711539,37.61975,12.8979583333,14.076,13.4570833333,33.9940833333,16.73425,26.7529583334,13.4467083333
770.69,12.1060833333,35.3109166667,27.0278326923,37.92,13.5280416667,14.6731666667,14.1569166667,34.1525833333,17.0996666667,27.1759583333,13.781
771.00,12.6238333333,35.75475,27.3241384615,38.487,13.8554166667,15.1558333333,14.6715,34.53875,17.2614166667,27.2480416666,14.084625
771.32,12.8945,35.7009166667,27.528198718,38.11025,14.0886666667,15.1513333333,14.9989166667,34.50125,17.76625,27.3727083333,14.33075
771.63,12.9295,35.63675,27.5567217948,38.08,14.124375,14.9591666667,14.69075,34.4021666667,17.864,27.5237083333,14.3980416667
771.94,13.4545,35.94,27.6811096154,38.0055833333,14.441375,15.1308333334,14.7685,34.231,18.0185833334,27.7200833333,14.5982916667
772.25,13.5645,36.4965,27.7638474359,38.05575,14.6454583333,15.251,14.52675,34.42825,17.97725,28.135375,15.013375
772.56,13.5571666666,36.635,27.7210153846,37.9241666667,14.4589583333,15.3889166667,14.0830833334,34.3339166667,17.6390833333,28.103875,14.9535
772.87,14.2865,36.9458333333,28.1351057692,38.3536666667,15.2955833333,16.11825,14.5860833334,34.8540833333,18.5210833333,28.63525,15.9119166667
773.18,13.9839166667,36.6553333333,27.9995307693,38.2704166667,15.0171666667,16.0103333334,14.48625,34.8459166667,18.2419166667,28.5959166666,15.8504166667
773.50,14.7041666666,37.35025,28.6313371795,38.9618333333,15.809125,16.4881666667,14.9575833333,35.79075,18.7959166667,29.23575,16.4278333334
773.81,15.5089166667,38.0288333334,29.2320711539,40.0153333333,16.7401666667,17.4658333334,15.7615,36.9241666667,19.6286666667,29.842375,17.2601666667
774.12,14.6810833333,37.5630833334,28.2209044872,39.6630833334,15.8092083333,16.34775,14.5968333333,36.4499166666,18.6040833333,28.9740416667,16.2484166667
774.43,14.5065,37.8570833333,28.3263641025,39.64775,16.0572083333,16.11275,14.6356666667,36.9155,18.5868333333,29.388125,16.623625
774.74,14.9383333333,38.5055833334,28.6017205128,40.33425,16.2581666666,16.6226666667,15.0010833333,37.60675,18.4578333333,29.7510833333,16.9274166667
775.05,16.3268333333,39.4613333333,29.845749359,41.5185,17.7601666667,18.44575,16.6853333334,38.5900833334,20.3298333333,30.7017916667,18.180125
775.36,16.29575,39.1815,29.8807884615,41.34525,17.8320416666,18.5275833333,16.7223333334,38.3655833333,20.6788333333,30.6625833333,18.3327083333
