wavelength,Back_SalGrom,Belly_SalGrom,Breast_SalGrom,Crissum_SalGrom,Crown_SalGrom,DorTail_SalGrom,Rump_SalGrom,Throat_SalGrom,WingTip_SalGrom
228.76,-2.4306,7.67366666666,-4.58346666667,-1.07653333333,2.3958,8.15973333333,0.520733333334,12.118,-1.35413333333
229.14,-0.280333333334,8.25546666666,-1.028,1.21486666667,3.14640000001,10.9657333333,3.11526666667,15.078,1.7756
229.52,-1.734,6.0388,-1.22566666667,0.328866666667,1.55460000001,9.83560000001,-0.149400000001,12.4664666667,-0.657533333339
229.89,-5.05733333333,2.80166666667,-3.33339999999,-2.931,-1.49426666667,7.06893333332,-3.50566666666,8.41953333334,-4.62653333334
230.27,-3.36033333333,2.09673333334,-2.15066666667,-1.02153333333,-1.26333333333,8.81720000001,-3.17186666667,8.25273333334,-4.16673333333
230.65,-0.0987999999986,4.88890000001,1.28413333333,1.92606666666,1.40733333333,12.1975333333,-0.296266666666,10.4444,-0.024799999994
231.02,-3.4648,1.86373333333,-1.362,-0.0956,-2.2702,9.60580000001,-2.7718,7.00126666666,-2.53286666667
231.40,-0.920199999998,4.76986666667,1.7958,3.72619999999,1.36933333333,12.2334,0.448866666667,10.146,2.06506666667
231.78,3.11126666667,8.22219999999,6.11120000001,8.33326666666,5.1112,15.0444,4.31106666667,13.4443333333,7.57773333333
232.15,-1.35266666667,3.59893333333,1.3526,3.9856,-0.145000000001,10.3622666667,-0.120800000001,9.27546666667,4.49273333333
232.53,-7.58813333333,-2.42553333333,-5.09486666667,-1.2194,-7.15466666667,4.39019999999,-5.39286666667,3.52313333333,0.270933333333
232.90,-10.8264666667,-3.6364,-6.30846666666,-3.00286666667,-9.91739999999,1.7356,-7.32786666667,-0.247933333334,-1.84573333333
233.28,-14.4903333333,-5.89539999999,-9.3112,-5.34433333333,-12.6447333333,-2.12126666667,-9.77960000001,-4.07713333334,-3.74653333333
233.66,-13.4646666667,-4.31766666667,-8.32026666667,-4.22579999999,-10.63,-1.28613333333,-7.42786666666,-2.96593333333,-0.997333333333
234.03,-6.46679999999,1.46073333333,-2.04746666667,2.97133333333,-3.52073333333,5.41826666667,-0.0999333333334,2.77146666667,6.81653333334
234.41,-8.10606666667,1.23733333334,-2.19686666667,1.4898,-3.5858,4.72219999999,0.151533333333,2.67673333333,5.50500000001
234.78,-8.81313333335,-0.227433333334,-2.75253333333,0.479799999993,-4.41899999999,2.75259999999,-0.479866666666,2.44953333334,3.91413333333
235.16,-6.54286666667,1.0284,-0.892066666673,0.594799999999,-2.28013333333,2.65166666666,1.14006666667,3.44486666667,5.47706666666
235.54,-8.8636,-2.24743333333,-4.36873333334,-2.601,-5.83333333333,-1.61626666667,-2.7778,-0.404133333332,1.08593333332
235.91,-10.062,-3.08533333333,-5.79919999999,-4.60966666667,-7.06313333334,-2.80059999999,-4.51046666667,-1.4374,-1.1896
236.29,-6.93699999999,-1.6442,-2.928,-2.7478,-3.1308,-0.450333333326,-2.7704,0.698133333333,0.0673333333326
236.66,-4.35486666667,0.0309,-0.639866666665,-1.156,0.061866666666,1.73366666667,-1.65106666666,2.72446666667,1.21779999999
237.04,-5.49026666667,-2.33223333333,-2.3942,-2.7864,-0.825466666665,0.639866666673,-3.488,1.81626666667,-0.412733333334
237.41,-3.53666666667,-1.6463,-1.4432,-1.82933333333,0.040733333336,2.58126666667,-2.27633333333,2.35773333333,0.142333333335
237.79,-4.8,-2.25636666667,-3.95906666667,-3.323,-1.3744,0.676866666668,-4.1026,0.676933333333,-1.72300000001
238.17,-7.66046666666,-5.01033333333,-6.60453333333,-7.08086666667,-4.18213333333,-3.1056,-7.909,-1.80113333333,-5.75560000001
238.54,-7.21733333333,-5.14263333333,-6.62746666667,-7.15826666667,-4.4444,-3.20553333333,-7.94493333333,-2.24186666667,-5.13273333333
238.92,-10.4947333333,-8.15116666667,-9.24373333333,-11.0737333333,-6.66673333333,-6.64806666667,-10.7564,-6.47986666666,-8.03000000001
239.29,-8.62540000001,-5.78183333333,-7.57726666667,-8.72846666667,-4.51893333333,-4.53613333333,-8.35040000001,-4.51886666667,-6.031
239.67,-6.91766666667,-4.102,-6.69806666666,-7.74893333332,-3.05893333333,-2.96466666667,-6.77653333334,-2.949,-4.59606666667
240.04,-6.22326666667,-4.07486666667,-6.12606666667,-7.08260000001,-2.95226666667,-2.27306666667,-6.2926,-2.8274,-5.05893333333
240.42,-5.3162,-2.95623333333,-5.0974,-6.168,-2.90753333333,-1.2044,-5.40146666667,-2.129,-4.1728
240.79,-4.71593333333,-2.0043,-4.66246666667,-5.7342,-2.9152,-0.450133333332,-4.50153333333,-1.7256,-3.23666666667
241.17,-2.1062,0.421166666667,-2.5182,-3.37913333333,-1.20873333333,2.2346,-2.18866666667,0.393866666666,-0.494533333334
241.54,-1.26993333334,0.972833333333,-1.86406666667,-2.49086666667,-0.545333333333,3.21533333333,-1.88033333333,1.02553333333,0.382599999999
241.92,0.305399999999,1.90103333333,-0.036266666668,-0.8072,0.610733333333,4.72546666667,-0.392666666667,2.4718,2.1664
242.29,1.48506666667,2.8349,0.996599999999,0.316666666667,1.3596,5.88133333333,0.5478,3.35313333333,3.43886666666
242.67,2.4736,3.53113333333,1.83073333334,1.33586666667,2.0408,6.71,1.44726666667,3.89626666667,4.292
243.05,3.30073333333,4.22826666667,2.587,2.33726666667,2.49766666667,7.86786666667,2.32533333333,4.6268,5.10266666667
243.42,2.92793333333,3.60453333333,2.193,2.09393333334,1.91906666667,7.72813333333,1.8606,4.28693333333,4.5028
243.80,2.01786666667,2.732,1.41086666667,1.63053333333,1.11586666667,7.26219999999,1.3184,3.5502,3.8568
244.17,2.21073333333,2.78483333333,1.66233333333,2.07366666667,1.50813333333,7.75773333333,1.6168,3.83313333333,4.7244
244.55,2.08993333333,2.6097,1.50333333333,1.967,1.4362,7.71713333332,1.46413333333,3.6882,4.6214
244.92,3.2566,3.44986666667,2.5576,3.1348,2.76413333333,8.76353333332,2.547,4.68633333333,5.53886666666
245.30,2.79153333333,2.76663333333,2.18233333333,2.6666,2.4968,8.29973333334,2.28706666667,4.4544,5.0188
245.67,3.40533333333,3.40543333333,3.07666666667,3.3424,3.2118,8.73853333333,3.23426666667,5.18006666667,5.70266666667
246.05,3.47586666667,3.68133333333,3.21126666667,3.48,3.51653333333,8.90919999999,3.53273333333,5.33566666667,5.8852
246.42,3.73413333333,4.0517,3.53833333333,3.92626666667,4.0628,9.18560000001,3.88926666667,5.8098,6.1976
246.79,3.6186,4.04466666667,3.378,3.70793333333,3.96226666667,9.01033333333,3.6392,5.969,6.1854
247.17,3.6148,4.01183333333,3.24173333333,3.63726666667,4.0682,8.87286666668,3.56973333333,6.15193333333,6.2486
247.54,3.414,3.7727,2.9792,3.24966666667,3.83646666667,8.53933333333,3.35306666667,6.07086666667,6.0588
247.92,4.01693333333,4.3514,3.41506666666,3.70133333333,4.37333333333,8.93659999999,3.8592,6.63446666667,6.5146
248.29,4.05546666667,4.50303333333,3.2462,3.6294,4.44166666667,8.84893333333,3.93253333333,6.67826666667,6.25486666667
248.67,4.2958,4.83246666667,3.59373333333,3.97353333333,4.80206666667,9.09226666667,4.31586666667,6.9572,6.53146666667
249.04,3.74873333333,4.41726666667,3.26033333333,3.588,4.374,8.61993333333,3.88873333333,6.69053333333,6.18126666667
249.42,3.642,4.52443333333,3.19926666667,3.49233333333,4.44326666667,8.39093333333,3.7792,6.51706666667,6.10546666667
249.79,3.3384,4.3092,2.98086666667,3.1714,4.3008,8.13366666667,3.59573333333,6.289,5.82786666667
250.17,3.019,3.82206666667,2.52866666667,2.65566666667,3.90546666667,7.68386666667,3.179,6.0164,5.28606666666
250.54,2.59126666666,3.32543333333,1.84146666667,2.11226666667,3.404,6.90226666667,2.815,5.81853333333,4.76246666667
250.92,2.59506666667,3.49573333333,1.92486666667,2.3814,3.65206666667,6.9258,3.0558,5.9676,4.72953333334
251.29,2.8278,3.72516666667,1.94513333333,2.60926666667,3.80026666667,7.06933333333,3.2006,6.13953333333,4.69153333333
251.66,2.83553333333,3.85103333333,2.01773333333,2.8266,3.78666666666,7.15113333333,3.21346666667,6.27113333333,4.79106666667
252.04,2.824,3.76543333333,2.40113333333,2.974,3.83366666667,7.23966666667,3.21973333333,6.4984,4.97033333333
252.41,2.10293333333,2.931,1.91026666667,2.41833333333,3.00633333333,6.68553333333,2.67693333333,6.13033333333,4.61526666666
252.79,2.08453333333,2.8515,2.0134,2.621,3.0864,6.78533333333,2.9202,6.2774,4.82426666667
253.16,2.661,3.3453,2.8184,3.26186666667,3.5956,7.4344,3.7912,6.76206666667,5.1884
253.54,3.19973333333,3.74886666667,3.45266666667,3.95893333333,4.02566666667,8.24253333335,4.6228,7.43546666666,5.616
253.91,3.5386,4.0689,3.54846666667,4.1056,4.19846666667,8.52893333334,4.80926666667,7.89353333333,5.94806666667
254.28,4.1636,4.6024,4.11866666667,4.707,4.93133333333,9.00513333333,5.46006666667,8.6962,6.81126666667
254.66,4.49446666667,5.1161,4.46846666667,5.06193333333,5.2632,9.58733333333,6.0526,9.0816,7.36333333334
255.03,4.5528,4.9891,4.3198,5.1112,5.15973333333,9.496,6.1518,9.23033333335,7.45246666667
255.41,4.33086666667,4.87636666667,4.46713333333,4.95026666667,4.94466666666,9.33773333333,6.20613333333,9.29813333333,7.51913333333
255.78,4.2798,4.99126666667,4.56786666667,4.69153333333,4.89706666667,9.27113333335,6.30206666667,9.35346666667,7.61333333333
256.15,4.3776,4.99706666667,4.07073333333,4.4188,4.6312,9.07973333333,6.1416,9.10920000001,7.37466666667
256.53,4.8938,5.96713333333,4.88813333333,5.1374,5.228,9.46486666668,6.4798,9.55526666665,7.87313333333
256.90,4.98786666667,5.984,4.70113333333,4.81273333333,5.09433333333,9.09433333333,5.90713333333,9.24286666667,7.60686666667
257.28,5.054,5.9142,4.1078,4.52946666667,4.95593333333,8.91173333333,5.37266666667,9.16673333333,7.4216
257.65,4.46633333333,5.44836666667,3.644,3.95013333333,4.59326666667,8.22413333334,4.65866666667,8.4514,7.02106666666
258.02,4.1704,5.2708,3.52266666667,3.8978,4.47733333333,8.01139999999,4.51133333333,8.05306666667,6.735
258.40,4.15406666667,5.23823333333,3.7802,3.94933333333,4.34586666667,8.08393333334,4.42726666667,7.76853333333,6.63093333334
258.77,3.8284,4.6767,3.53366666667,3.5508,4.01426666667,7.81693333333,3.97126666667,7.2104,6.2004
259.15,3.48133333333,4.23986666667,3.33073333334,3.119,3.81026666666,7.60526666667,3.6776,6.75333333333,5.77906666667
259.52,3.71953333333,4.49756666667,3.52406666667,3.28926666667,4.0614,7.8298,3.9032,6.9644,5.95953333333
259.89,3.9182,4.64356666667,3.635,3.55933333333,4.29666666667,8.03766666666,4.14306666667,7.06653333333,6.11086666667
260.27,3.90866666667,4.66143333333,3.676,3.53893333333,4.39466666667,8.1164,4.23893333333,7.0508,6.12033333333
260.64,4.08773333333,4.7034,3.79406666667,3.55766666667,4.528,8.30786666667,4.3834,7.1376,6.15486666667
261.01,4.0792,4.6139,3.75473333333,3.55673333333,4.42593333333,8.39926666667,4.38526666667,7.1606,6.1628
261.39,4.0058,4.3867,3.703,3.49286666667,4.3086,8.34106666667,4.30846666667,7.05593333333,6.07966666667
261.76,4.16086666667,4.39863333334,3.78753333333,3.56886666667,4.3772,8.43413333333,4.32206666667,7.20573333333,6.17013333333
262.13,4.3512,4.35673333333,3.88646666667,3.66,4.47106666667,8.5024,4.34446666667,7.30893333333,6.24213333333
262.51,4.26626666667,4.28303333333,3.69093333333,3.59686666667,4.3964,8.39540000001,4.2928,7.31433333333,6.0814
262.88,4.49973333333,4.39816666667,3.88806666667,3.84866666667,4.59986666667,8.53033333334,4.5262,7.55246666667,6.30806666667
263.25,5.1748,4.9804,4.39113333333,4.4754,5.04413333333,9.10466666666,5.0936,8.26873333333,7.01506666667
263.63,5.07926666667,4.7941,4.18246666667,4.50573333333,4.88286666667,8.87519999999,5.00326666667,8.18119999999,6.94233333333
264.00,4.60853333333,4.2558,3.64126666667,4.0096,4.39513333333,8.25679999999,4.40206666667,7.66473333333,6.46013333333
