wavelength,Back_TanFlom,Belly_TanFlom,Breast_TanFlom,Crissum_TanFlom,Crown_TanFlom,DorTail_TanFlom,Patch10_TanFlom,Patch11_TanFlom,Patch12_TanFlom,Rump_TanFlom,Throat_TanFlom,WingTip_TanFlom
785.29,8.80662962965,35.3608888889,15.3536666667,36.8345555556,54.8322222222,12.1827342995,9.70877777779,11.8971111111,5.34111111111,34.8071111111,16.5326666666,11.8883888889
785.60,8.96411111111,35.1562222222,15.3037777778,36.7967777778,54.3924444444,12.3461111111,10.1736666667,12.0921111111,5.764,34.7307777778,16.2934444444,11.81
785.91,8.86077777779,35.1135555556,15.2906666667,36.8078888889,54.3086666667,12.5824589372,10.5951111111,12.143,5.70177777778,35.122,16.3483333333,12.1563333333
786.22,8.41507407408,34.2648888889,14.7611111111,36.1534444444,53.8447777778,12.0885748792,10.2217777778,11.4667777778,5.41155555556,34.4767777778,15.5403333333,11.3101111111
786.53,8.1167037037,34.0315555556,14.5932222222,36.1931111111,53.9573333333,11.8815797101,10.4634444445,11.0187777778,5.33277777778,34.0735555555,15.2915555556,11.0815
786.84,8.71285185187,34.4702222222,15.3596666667,36.719,54.3938888889,12.0349565217,11.0531111111,11.1608888889,5.38533333333,34.3373333333,15.6913333333,11.8705555556
787.14,8.82725925926,35.2384444444,15.796,37.1515555555,54.6397777778,12.1920676328,11.7814444444,11.3808888889,5.78033333333,34.4532222222,16.0412222222,12.4437777778
787.45,8.94955555557,35.1918888889,15.7855555556,37.3722222222,54.574,12.1174782609,11.6824444444,11.3364444445,5.52744444444,34.0653333333,16.2521111111,12.4225555555
787.76,8.7364074074,35.2711111111,15.6143333333,37.1456666667,54.261,11.7599613526,11.4288888889,11.2622222222,5.44855555555,33.7225555556,16.2337777778,11.9093333333
788.07,8.03733333334,34.8451111111,14.7885555556,36.6247777778,53.4293333333,11.2862801932,11.0085555556,10.8905555556,4.76411111111,32.9237777778,15.639,11.2568888889
788.38,7.62722222222,34.3305555555,14.2521111111,36.0582222222,53.0035555556,11.0332415459,10.6401111111,10.7106666667,4.51511111111,32.7837777778,15.4533333333,11.1424444445
788.69,7.64559259259,34.0631111111,14.0066666667,35.8208888889,52.7622222222,10.9032850242,10.5305555555,10.2873333333,4.22155555555,32.6506666667,15.474,11.0836666667
789.00,6.45737037037,33.3573333334,13.0458888889,35.1958888889,52.328,9.90778743961,9.16833333334,9.11211111111,2.94633333333,32.0567777778,14.6515555556,10.2319444445
789.31,6.18992592592,33.3008888889,12.8398888889,34.9485555556,51.83,9.75003864735,8.71688888889,8.72477777779,2.58911111111,31.71,14.0573333333,9.93433333332
789.62,6.775,33.8323333333,13.5228888889,35.2382222222,51.9991111111,10.2158019324,9.55777777778,9.32866666667,3.00066666667,32.205,14.8231111111,10.6327777778
789.92,7.06262962963,34.1358888889,13.8993333333,35.0625555556,52.0227777778,10.4276714976,9.67988888888,9.55566666669,3.33422222222,33.0436666667,15.2394444444,10.9871666667
790.23,7.7401851852,34.5745555556,14.2642222222,35.2788888889,51.9412222222,11.1627294686,10.0882222222,10.197,3.94966666667,33.6603333334,15.8742222222,11.8364444445
790.54,9.21100000001,35.3272222222,14.9282222222,36.0428888889,52.6668888889,12.3627439614,10.8213333333,11.1366666667,5.138,34.6283333334,16.8795555555,12.9644444444
790.85,10.2619259259,36.0458888889,15.4928888889,36.472,53.3993333333,13.3018695652,11.8761111111,11.7893333333,5.97288888889,35.1938888889,17.6316666667,13.8063333333
791.16,11.2226296296,36.9284444445,16.7681111111,37.1928888889,54.3571111111,14.4204444444,12.926,13.1376666667,7.48055555556,36.0824444444,18.6975555556,14.909
791.47,12.9261851852,38.2226666667,18.8686666667,38.5933333334,55.4321111111,16.0083429952,14.5705555556,14.809,9.68144444445,37.799,20.2364444444,16.415
791.78,14.1202962963,39.254,20.3347777778,39.7881111111,56.3657777778,17.2141256039,15.9008888889,15.6872222222,11.102,39.0936666667,21.4744444444,17.9264444444
792.08,13.8723333333,39.215,20.1468888889,39.7227777778,56.489,17.0721545894,15.8691111111,15.8057777778,11.1565555555,39.2151111111,21.2616666667,18.2208333333
792.39,14.3425925926,39.6288888889,20.486,39.967,56.6795555556,17.3256666667,16.4198888889,16.3285555556,11.5497777778,39.1903333333,21.7381111111,18.9557222222
792.70,13.8370740741,39.4436666667,19.8344444444,40.1015555555,57.0877777778,16.799410628,16.1967777778,15.8865555556,11.0078888889,38.6538888889,21.5924444445,18.3728888889
793.01,12.763,39.1818888889,18.8417777778,39.8253333333,56.6406666667,16.1042705314,14.7602222222,14.8468888889,10.2177777778,37.9621111111,20.705,17.8238888889
793.32,12.4196296296,38.5898888889,17.9878888889,39.5832222222,56.1826666667,15.7255700483,13.7443333333,14.0721111111,9.27822222222,37.0947777778,20.1195555555,16.9704444444
793.62,12.0474074074,38.4032222222,17.7105555556,39.3171111111,56.1712222222,15.3513140097,13.747,13.6891111111,9.12922222221,36.6042222222,19.6535555556,15.9644444445
793.93,10.9902962963,37.8757777778,16.975,39.354,56.5442222222,14.5450724638,13.1278888889,12.883,7.68488888889,36.1234444444,18.7567777778,15.0710555555
794.24,9.89292592593,37.3023333333,16.6125555556,38.9428888889,56.4987777778,13.8609227053,12.5356666667,12.3097777778,6.91622222222,35.976,17.9783333333,14.2695555556
794.55,9.14403703702,36.7805555556,15.7657777778,38.4455555555,55.6823333333,13.2893671498,12.1336666667,11.8025555556,5.62855555556,35.2223333333,17.0611111111,13.8375555556
794.86,6.88751851852,35.3732222222,13.9355555556,37.0502222222,54.516,11.2785507246,10.0617777778,9.84599999999,3.39322222222,33.2352222222,14.9555555555,12.0427222222
795.16,5.94807407408,34.2423333333,12.6844444444,36.0012222222,53.7476666667,10.1043333333,9.01988888889,8.97088888889,1.81766666667,32.0433333333,13.6324444444,10.4953888889
795.47,5.01648148148,33.1866666667,11.6192222222,35.4246666666,53.0636666667,8.84223188404,8.14055555557,7.52477777778,0.596,30.9488888889,12.8016666667,8.9075
795.78,4.47140740741,32.685,11.3433333333,35.1143333333,52.5551111111,8.5129227053,7.80088888889,6.99788888889,0.435444444446,30.9426666666,12.5145555556,8.12988888889
796.09,5.40759259259,33.1254444445,12.2353333334,35.3268888889,52.5321111111,9.3705120773,8.07833333334,7.73822222222,1.25655555556,31.6327777778,13.1048888889,8.89077777778
796.40,5.55085185185,33.2864444445,12.4123333333,35.1586666667,52.6725555556,9.74024637682,8.45266666667,8.18122222222,1.376,31.6764444445,13.1142222222,8.74283333333
796.70,5.78777777778,33.8286666667,13.1014444444,35.7815555556,53.1632222222,10.261352657,9.40088888889,8.98988888889,2.23366666666,32.3148888889,13.8492222222,9.74199999999
797.01,5.35925925926,33.8651111111,12.9722222222,35.9638888889,53.0864444444,9.67427053141,9.01244444445,8.93655555556,1.681,32.3552222222,13.6371111111,9.68172222222
797.32,5.34251851852,34.0532222222,13.574,35.5594444445,52.5718888889,9.44895169081,8.91355555554,9.12177777777,2.14077777778,32.3104444444,13.8676666667,9.78972222222
797.63,5.72440740741,34.3184444445,13.5454444444,35.5782222222,52.4772222222,9.76732367151,8.96077777779,9.17866666667,2.605,32.2344444445,14.0284444444,10.1685
797.93,6.85188888889,35.1043333333,14.4816666666,36.0754444444,53.4228888889,10.4856376812,9.90188888888,9.47333333333,3.68477777778,33.2762222222,15.1195555555,10.9062222222
798.24,7.6097037037,35.8847777778,14.8181111111,36.5685555556,54.015,11.124115942,10.5911111111,9.89788888889,3.967,33.757,15.9155555555,11.6838888889
798.55,7.759,36.5275555555,14.8674444444,37.1686666667,54.5992222222,10.9998164251,10.4802222222,10.0758888889,3.924,34.5561111111,16.1393333333,12.2498333333
798.85,9.13311111111,37.8732222222,16.0095555555,38.2716666667,55.6551111111,12.1521642512,11.4495555555,11.6191111111,4.94811111111,36.0413333333,17.2542222222,13.7693333333
799.16,10.338,39.3092222222,17.1478888889,39.2587777778,56.7506666667,12.8699903382,12.5696666667,12.5594444444,5.63155555556,37.1518888889,17.8465555556,15.2436111111
799.47,11.084037037,39.3663333333,17.8651111111,39.4983333333,56.8253333333,13.482352657,13.305,12.8885555556,6.08366666667,37.6395555556,18.19,15.7523888889
799.78,11.8104074074,39.6381111111,18.925,39.8758888889,57.6848888889,13.9306376812,13.8191111111,13.323,6.52188888889,38.5114444444,19.1627777778,16.4754444444
800.08,11.8169259259,39.5073333334,18.8995555556,39.5911111111,57.5891111111,13.6217874396,13.7632222222,12.9141111111,6.27877777778,38.6896666667,18.8993333333,15.8489444444
800.39,12.5849259259,39.7464444445,19.4097777778,40.0341111111,58.7303333333,14.4808115942,13.8703333333,12.9541111111,6.51966666667,39.5012222222,19.3886666667,16.4855
800.70,11.5712962963,38.1611111111,18.2616666667,38.7924444444,57.9427777778,13.5466328502,13.0164444444,11.8284444444,5.70544444445,38.5784444445,18.3686666667,15.7246111111
801.00,11.5591481482,38.4931111111,18.7643333333,38.8508888889,58.2657777778,13.8762657005,13.4526666666,11.8698888889,5.71266666667,39.0677777778,18.6558888889,15.7288888889
801.31,10.6758888889,38.1143333333,17.8397777778,38.435,58.0787777778,13.3574975846,12.7268888889,11.4872222222,4.969,38.3908888889,17.9504444445,15.1782777778
801.62,10.0177037037,36.9622222222,17.3237777778,38.108,57.8475555555,12.6248985507,12.1336666667,10.9425555556,4.28033333333,38.0183333333,17.2226666667,14.3073888889
801.92,10.3725185185,37.4442222222,18.0541111111,38.5291111111,58.3761111111,13.0642850242,12.5726666667,10.7801111111,4.99033333333,37.9582222222,17.8028888889,14.2401111111
802.23,10.4497777778,37.9315555555,18.5871111111,38.3326666667,58.858,13.5824830918,13.0602222222,10.7442222222,5.71055555556,37.725,18.0941111111,14.3675555556
802.54,9.63351851851,37.0293333334,17.8701111111,37.87,58.1,13.4488937198,12.5965555556,10.2591111111,5.43455555556,36.9946666667,17.4438888889,13.4485
802.84,8.33133333332,36.5062222222,16.8318888889,37.2964444444,58.068,12.0494927536,11.4766666667,9.74266666667,5.09533333334,36.1524444444,16.5842222222,12.6916666667
803.15,8.18337037037,35.8731111111,15.8024444445,37.1898888889,57.3544444445,11.7294782609,10.7701111111,9.53533333334,4.80866666667,35.7436666667,16.2023333333,12.5924444444
803.46,8.32440740743,36.0493333333,15.7554444445,37.0957777778,57.4721111111,11.7521014493,10.6407777778,9.865,4.72655555556,35.2027777778,16.2257777778,13.1216666667
