wavelength,Back_DigPluf,Belly_DigPluf,Breast_DigPluf,Crissum_DigPluf,Crown_DigPluf,DorTail_DigPluf,Rump_DigPluf,Throat_DigPluf,WingTip_DigPluf
563.99,11.7775833333,34.79875,19.565,24.3583333333,10.5055,10.4008333333,12.0301666667,20.129,12.0771666667
564.33,11.7570833333,34.7615833333,19.5125833333,24.3234166666,10.4795,10.37075,11.9930833333,20.0821666667,12.0503333334
564.67,11.7125833334,34.7593333333,19.53675,24.3059166666,10.461,10.3801666666,12.0025833333,20.1061666667,12.0525833334
565.01,11.7025833333,34.7458333333,19.5355,24.2918333333,10.4423333333,10.3579166667,11.981,20.074,12.0333333333
565.35,11.674,34.7071666667,19.4451666666,24.24575,10.3956666666,10.3208333333,11.9240833333,20.0074166667,11.9758333333
565.69,11.6966666667,34.7743333333,19.48,24.302,10.4326666667,10.3480833333,11.9664166667,20.02425,12.0208333333
566.03,11.7040833333,34.7585,19.4865,24.30425,10.4543333333,10.3483333333,11.9746666667,20.01875,12.0463333333
566.37,11.69075,34.7870833333,19.4660833333,24.2879166667,10.4691666667,10.3403333333,11.9455833333,20.0304166667,12.03775
566.71,11.72925,34.851,19.5175833334,24.3291666666,10.5084166666,10.37225,11.9705,20.0819166666,12.066
567.05,11.7536666667,34.88875,19.5559166666,24.3615833333,10.4979166666,10.3825833333,11.995,20.1081666666,12.0663333334
567.39,11.7540833333,34.8901666667,19.57525,24.3801666667,10.52875,10.377,12.02525,20.1066666667,12.0825
567.73,11.7695833333,34.9186666667,19.62325,24.4008333333,10.5403333333,10.4000833333,12.0224166666,20.1203333334,12.0619166667
568.07,11.7630833333,34.9435833333,19.6303333333,24.4041666667,10.5120833334,10.38825,12.0069166667,20.1170833333,12.0324166667
568.41,11.8391666667,34.9920833334,19.6526666666,24.4385833333,10.5421666666,10.3996666667,12.0265,20.1219166667,12.0586666666
568.75,11.84725,35.0044166667,19.6410833334,24.43,10.5528333333,10.417,12.05025,20.141,12.0670833333
569.09,11.8570833333,35.0849166667,19.7274166667,24.4559166666,10.5948333333,10.4645,12.1106666667,20.21725,12.11375
569.43,11.932,35.1256666667,19.8263333333,24.5268333333,10.635,10.5333333334,12.156,20.3024166667,12.1705833333
569.77,11.931,35.18875,19.849,24.5338333333,10.6305,10.5369166667,12.1620833334,20.3050833333,12.1588333333
570.11,11.9129166667,35.1171666667,19.7980833334,24.4816666667,10.5905833333,10.5115833333,12.1661666666,20.271,12.1559166667
570.45,11.9064166667,35.13325,19.7901666667,24.4853333333,10.5831666667,10.5156666667,12.163,20.25125,12.1566666667
570.79,11.9495,35.1888333333,19.8293333333,24.49275,10.63125,10.5525833333,12.1896666667,20.2874166667,12.1963333333
571.13,11.9741666666,35.2251666666,19.8283333333,24.5056666667,10.6616666667,10.5713333333,12.1903333333,20.2966666667,12.2325833334
571.47,12.0133333333,35.2503333333,19.8598333333,24.5485,10.6735833333,10.61925,12.23775,20.33425,12.29275
571.81,12.0765,35.36375,19.9303333333,24.65075,10.7484166667,10.7094166667,12.3114166667,20.4225,12.3941666666
572.15,12.0296666667,35.3681666667,19.9211666667,24.6399166667,10.7463333333,10.702,12.29325,20.4065833333,12.3629166667
572.49,12.0396666667,35.4055,19.9293333334,24.6711666667,10.737,10.7131666667,12.3013333333,20.4106666667,12.3770833334
572.83,12.0445,35.41675,19.91025,24.69525,10.7291666667,10.7135,12.2864166667,20.4023333333,12.3440833333
573.17,12.0551666666,35.46825,19.8718333333,24.6926666666,10.7366666667,10.70325,12.28175,20.4168333333,12.3715833333
573.51,12.0614166667,35.4683333334,19.8676666667,24.7024166666,10.7351666666,10.71575,12.29075,20.4520833334,12.38175
573.85,12.1044166667,35.552,19.9474166667,24.7935,10.7950833334,10.7868333333,12.3220833333,20.5109166667,12.43025
574.19,12.14575,35.592,19.9740833333,24.82775,10.835,10.8275833333,12.3816666667,20.5600833333,12.4786666666
574.53,12.1405,35.6158333333,19.9958333333,24.8895833334,10.8413333334,10.8596666667,12.40875,20.56775,12.5189166667
574.87,12.1466666667,35.6509166666,20.0255,24.8995833333,10.826,10.87575,12.4160833333,20.5873333333,12.54425
575.21,12.0866666667,35.6759166667,19.99475,24.8710833333,10.7935,10.8334166667,12.3570833333,20.579,12.52375
575.55,12.0239166666,35.5928333333,19.9223333333,24.793,10.7544166667,10.7685,12.289,20.5085833333,12.459
575.89,12.0443333334,35.6108333333,19.90825,24.808,10.74975,10.7903333334,12.2953333333,20.5518333333,12.502
576.22,12.03025,35.64575,19.9225833333,24.7811666667,10.7505833334,10.7813333334,12.2793333333,20.5674166667,12.5139166667
576.56,12.0546666667,35.674,19.966,24.8015833333,10.7750833334,10.8201666667,12.3043333333,20.5718333333,12.5673333333
576.90,12.026,35.6424166666,19.981,24.7771666667,10.7596666667,10.8245,12.29325,20.53325,12.5329166666
577.24,12.0038333333,35.64275,19.9953333333,24.7884166667,10.7485,10.8340833333,12.2835833333,20.4794166667,12.5175833334
577.58,12.0081666667,35.6750833333,19.9983333333,24.7820833333,10.7589166667,10.8420833333,12.2846666667,20.4864166667,12.5138333334
577.92,11.99225,35.71275,19.997,24.8164166667,10.74275,10.8566666667,12.2641666667,20.4786666667,12.4993333334
578.26,11.9608333333,35.7315833333,19.9754166667,24.7620833333,10.712,10.8291666666,12.1993333333,20.4306666667,12.45325
578.60,12.01175,35.7825833334,20.0069166667,24.8213333334,10.733,10.8929166666,12.2326666667,20.4724166667,12.4820833333
578.94,12.089,35.8468333333,20.0768333333,24.8976666667,10.7965833334,10.9814166666,12.3060833333,20.5275833334,12.5139166667
579.28,12.1483333333,35.9049166667,20.1803333333,24.94925,10.8461666667,11.0581666667,12.3793333333,20.5830833334,12.5734166667
579.61,12.1321666667,35.9410833333,20.21925,24.98375,10.8514166667,11.0698333334,12.3935833333,20.5861666667,12.5574166666
579.95,12.1468333333,35.8976666667,20.215,25.0189166667,10.8656666667,11.1056666667,12.413,20.59925,12.5645833333
580.29,12.0914166666,35.897,20.16375,24.9881666667,10.8215,11.0728333333,12.3436666667,20.5845833333,12.5118333333
580.63,12.0691666667,35.91925,20.12875,24.988,10.7898333333,11.0831666666,12.33725,20.5615833333,12.5071666667
580.97,12.0705,35.9435833333,20.1149166667,24.9949166667,10.78625,11.1084166666,12.3180833333,20.58975,12.5374166667
581.31,12.0925,35.95325,20.13625,25.001,10.78175,11.1253333333,12.3206666667,20.586,12.5603333333
581.65,12.0656666666,35.8568333333,20.1001666667,24.9328333333,10.73325,11.0995833333,12.2611666667,20.53575,12.5210833334
581.98,12.0889166667,35.80925,20.07575,24.9128333333,10.76,11.1115,12.2768333333,20.5539166667,12.5270833333
582.32,12.0191666667,35.7463333333,19.9919166666,24.8349166666,10.7144166666,11.0198333333,12.19425,20.49825,12.433
582.66,11.9945,35.713,19.9934166666,24.8314166667,10.7100833333,11.0191666667,12.1885,20.4741666667,12.41725
583.00,12.00575,35.7621666667,19.9836666667,24.8851666667,10.7241666667,11.0354166667,12.20625,20.5061666667,12.4245833333
583.34,12.0795833333,35.8084166667,20.02625,24.9194166667,10.7604166667,11.0915,12.2280833333,20.5331666667,12.4740833333
583.68,12.0823333333,35.8156666667,20.0233333333,24.9164166667,10.7618333333,11.1054166667,12.227,20.5030833333,12.4735
584.01,12.1075,35.8421666667,20.0485833334,24.951,10.7580833334,11.1364166667,12.25825,20.50925,12.4984166667
584.35,12.1226666667,35.9171666667,20.09,25.0391666667,10.81125,11.12425,12.2799166667,20.5525833333,12.5391666667
584.69,12.116,35.9745,20.0899166667,25.0629166667,10.8134166666,11.1036666667,12.2935833333,20.5891666667,12.5548333333
585.03,12.12675,36.0138333333,20.0969166667,25.0743333334,10.8201666667,11.1369166667,12.3039166667,20.61325,12.55025
585.37,12.17625,36.142,20.1971666667,25.141,10.8979166667,11.1925833333,12.3651666667,20.68725,12.6460833333
585.70,12.1659166667,36.2536666666,20.2135833333,25.2039166667,10.8813333333,11.18675,12.3745833333,20.72275,12.64275
586.04,12.1745,36.2614166667,20.2896666666,25.2515,10.93225,11.24925,12.4144166667,20.7733333333,12.68725
586.38,12.1510833333,36.2328333334,20.2238333334,25.2095833334,10.9190833333,11.1925833333,12.39575,20.71875,12.6663333333
586.72,12.13525,36.2240833334,20.2631666667,25.20475,10.9249166667,11.2138333333,12.40925,20.7661666667,12.6789166667
587.06,12.0491666667,36.214,20.2055,25.16975,10.8914166667,11.1820833333,12.3660833333,20.7349166667,12.6201666667
587.39,12.0615833333,36.232,20.2166666667,25.1888333334,10.91475,11.1718333333,12.3341666667,20.78875,12.61875
587.73,12.08325,36.2333333333,20.22425,25.1643333333,10.9315833333,11.1640833333,12.3621666666,20.8065833333,12.6283333333
588.07,12.1178333333,36.2415,20.2675833333,25.12925,10.9571666667,11.195,12.3860833334,20.8433333333,12.64225
588.41,12.1406666667,36.2836666666,20.3301666667,25.1558333333,10.99125,11.2315,12.4026666667,20.84325,12.6359166667
588.74,12.1345833333,36.31875,20.3228333333,25.1585833333,10.9635,11.1789166667,12.4096666667,20.8590833333,12.6294166667
589.08,12.1114166667,36.2968333334,20.3065,25.1406666667,10.9483333333,11.1589166667,12.38625,20.847,12.6005
589.42,12.1121666667,36.2290833333,20.3036666667,25.1190833333,10.9645833333,11.1874166666,12.3853333333,20.8358333333,12.6130833333
589.76,12.0884166667,36.2136666667,20.2790833334,25.09075,10.941,11.14725,12.36475,20.8043333334,12.59425
590.09,12.0776666667,36.2536666667,20.2995,25.1429166667,10.94675,11.16575,12.34225,20.8186666667,12.6065
590.43,12.036,36.2801666667,20.2735833333,25.1183333334,10.8945833333,11.1345,12.2870833333,20.74225,12.5836666667
590.77,12.0988333333,36.292,20.3543333333,25.1610833333,10.9189166667,11.169,12.3041666667,20.7965,12.6256666667
591.11,12.0168333333,36.2555833333,20.32975,25.1360833333,10.8581666667,11.1255833333,12.269,20.7095833333,12.5770833333
591.44,11.9933333333,36.24475,20.35425,25.1394166667,10.8334166667,11.11575,12.2190833333,20.6889166667,12.5526666667
591.78,11.94375,36.1435833334,20.2861666667,25.0814166667,10.7698333334,11.0585,12.1569166666,20.6075833334,12.4981666667
592.12,11.92575,36.107,20.2659166666,25.0730833333,10.784,11.066,12.1411666667,20.6000833333,12.4775833333
592.46,11.8965833333,36.1010833333,20.2678333334,25.094,10.8126666666,11.0900833333,12.123,20.58575,12.4939166666
592.79,11.82775,36.0160833333,20.1965,25.0753333333,10.742,11.01925,12.0835,20.5354166667,12.4423333333
593.13,11.82025,36.0995833333,20.2465,25.0919166667,10.7133333333,11.01475,12.0885,20.56575,12.4636666667
593.47,11.8738333333,36.2046666666,20.2894166666,25.1458333333,10.7368333333,11.0829166667,12.1206666666,20.5963333333,12.5031666666
593.80,11.9374166666,36.2628333333,20.3386666666,25.1545833333,10.8106666667,11.1396666667,12.178,20.7189166667,12.5543333333
594.14,11.9675833333,36.2655,20.3158333333,25.1690833334,10.8528333334,11.1474166667,12.1745833333,20.75175,12.598
594.48,11.9596666667,36.3150833333,20.3601666667,25.1918333333,10.8906666667,11.1515,12.18475,20.77675,12.6413333333
594.81,12.0609166667,36.4446666667,20.437,25.2606666667,10.9526666667,11.23325,12.2885833333,20.8926666667,12.7414166667
595.15,12.1153333333,36.5264166667,20.4665,25.3021666667,10.9784166667,11.2891666667,12.3330833333,20.958,12.781
595.49,12.13075,36.5970833333,20.5169166667,25.38425,11.0423333333,11.3538333333,12.3521666667,21.0223333333,12.8280833334
595.82,12.1345833334,36.6435833333,20.5206666667,25.3975,11.0235833333,11.3335,12.34575,21.0338333333,12.8461666667
596.16,12.1310833333,36.6574166667,20.545,25.3990833333,10.98475,11.33625,12.3398333333,21.0473333333,12.8551666666
596.50,12.1843333333,36.7625833334,20.60225,25.4273333333,11.0365833334,11.3826666666,12.3801666667,21.09425,12.9065833333
596.83,12.163,36.7069166667,20.5780833333,25.42475,11.02575,11.3636666667,12.3494166667,21.047,12.8660833333
597.17,12.1291666667,36.6766666667,20.5554166667,25.4058333333,11.0115833333,11.3351666667,12.3386666667,21.0721666667,12.8774166667
597.51,12.1448333334,36.6851666667,20.5808333333,25.41925,11.0035,11.34975,12.33625,21.0174166667,12.897
597.84,12.1166666667,36.66675,20.59325,25.3989166667,10.98625,11.3344166667,12.3301666667,21.0048333333,12.893
598.18,12.1341666667,36.6781666667,20.5644166667,25.39475,10.98075,11.3595833333,12.3568333333,21.0016666667,12.8853333334
598.52,12.1346666667,36.6248333333,20.5604166667,25.3716666667,11.0173333333,11.3681666666,12.3460833334,20.9950833333,12.876
598.85,12.1435833333,36.5900833333,20.5230833334,25.3608333333,11.0314166666,11.35125,12.3284166667,20.9558333333,12.87275
