wavelength,Back_ParGulf,Belly_ParGulf,Breast_ParGulf,Crissum_ParGulf,Crown_ParGulf,DorTail_ParGulf,Rump_ParGulf,Throat_ParGulf,WingTip_ParGulf
230.65,10.7302333333,5.80536666667,4.45706666667,21.7603,9.10106666668,10.9364666667,7.30326666669,4.6256,20.7115666667
231.02,9.02439999999,3.9024,1.9918,24.2277666667,10.0,6.9106,5.56913333332,1.82916666667,19.2681333333
231.40,8.14816666667,3.5511,0.457566666666,26.2308666667,11.5032666667,6.57933333335,6.1002,1.08923333333,18.148
231.78,1.08689999999,-2.65693333333,-6.6666,20.7730333333,7.72946666666,0.338133333334,2.36713333333,-9.10619999999,10.7002666667
232.15,6.4639,4.05413333333,-1.847,23.671,10.4054,5.81086666668,6.03606666667,-4.72976666667,14.1891333333
232.53,8.06393333332,4.65083333333,-1.29740000001,18.9620666667,10.7384,7.46500000001,5.94813333331,-3.67279999999,15.3094333333
232.90,15.6021,13.0019,9.82556666667,25.0437,18.9878,14.4850666667,14.8690666667,5.70673333333,20.9772333333
233.28,18.3503666667,18.4182666667,13.1122,28.6054,23.4694,19.0816,19.5576666667,9.23463333333,25.9182666667
233.66,15.6830666667,19.9089,12.0765666667,29.1074333333,23.3515333333,18.3606,19.7086666667,10.6559666667,24.1166333333
234.03,15.9404666667,18.0260666667,12.5325666667,30.9496666667,22.7931333333,16.8716,20.4841333333,9.23636666666,25.2140666667
234.41,21.7188666667,25.3993666667,20.1214333333,34.5833333333,26.8402666667,24.132,27.0834,15.9722666667,27.7604333333
234.78,20.5101333333,27.3980333333,20.1020333333,34.8470666667,25.9864666667,22.4148666667,26.8367333333,17.6019666667,28.5033333333
235.16,20.4347333333,28.5024666667,20.1609333334,31.8035666667,24.8954,22.2544,25.8292,18.6634666667,28.8729
235.54,22.9613,31.1009,20.6666666667,32.7750666667,24.093,23.6588,24.3100666667,19.7518,29.7055333333
235.91,24.7511333333,31.6138666667,21.5686666667,33.0617666667,22.8054,24.4643333333,24.3741333334,21.4931666667,31.3878333333
236.29,22.4256,28.0126333333,17.5898666667,30.6415666667,19.3739333333,20.407,20.9702666667,17.4648666667,29.9216
236.66,20.1692666667,29.2048666667,17.0728666667,30.8121,17.6648666667,19.763,19.8647333333,16.159,30.4738333333
237.04,11.8727,21.5543,7.62166666666,23.7828,7.79033333333,12.6591333333,10.2997333333,5.26230000001,24.3633666667
237.41,10.5621333333,16.8272333333,6.18473333333,23.4136333333,3.21286666667,10.1206,8.27300000001,4.19673333333,19.3372
237.79,16.1110666666,20.9896,12.5518333333,27.6389,9.30540000001,16.0764666667,13.2984666667,8.76736666667,23.5762
238.17,14.0684,19.8119,12.4785,23.1795666667,5.8804,15.2139333333,9.36746666666,7.14533333333,19.0427666667
238.54,8.88306666669,13.5738666667,9.96556666665,18.9519333333,0.618533333332,10.1374666667,2.50853333333,0.687133333334,14.6734666667
238.92,8.60589999999,10.7051666667,10.7052,17.4039,-0.448666666666,11.0257333333,1.79486666667,0.320366666666,13.2052
239.29,7.16053333331,8.53389999999,9.04323333333,14.2746,-2.03706666666,10.0616,-0.709933333326,-3.08636666667,13.071
239.67,8.62993333335,9.18076666665,9.71750000001,13.0086,0.508533333334,10.9322666667,1.41226666666,-1.51120000001,15.1411666667
240.04,7.28846666667,9.37803333333,9.14173333334,10.0497666667,0.12433333334,10.1244666667,0.845666666661,-1.24383333333,13.868
240.42,7.3586,10.0209666667,8.79439999999,8.65839999999,1.6562,9.89500000001,2.87213333333,1.8448,13.2391666667
240.79,8.30203333333,10.1876333333,9.81233333334,9.64266666666,3.253,11.9212666667,4.48619999999,4.7542,13.5747333333
241.17,9.78126666665,12.9261,11.7572666667,11.7649,6.0634,14.1628666667,7.97886666666,8.05426666667,15.0904333333
241.54,11.8468666667,15.6712,13.9685666667,13.5494333333,9.39106666666,16.4374666667,10.4125333333,10.6157,17.9503
241.92,12.5507666667,16.3441,13.9067666667,13.4706333333,10.2149333333,17.6942,11.7323333333,11.8339,18.9424666667
242.29,13.4049666667,17.1403333333,13.4875,13.7796,11.2616,17.9062666667,12.639,12.3140666667,20.4462333333
242.67,14.2508666667,17.7726333333,13.2416333333,14.7298,12.2426666667,18.42,13.8736,13.9092333333,20.8308666667
243.05,14.8811,18.2638666667,13.0407,14.9456,12.6984666667,19.3154666667,14.742,14.2162,21.2004666667
