wavelength,Back_ThrOrnf,Belly_ThrOrnf,Breast_ThrOrnf,Crissum_ThrOrnf,Crown_ThrOrnf,DorTail_ThrOrnf,Patch10_ThrOrnf,Patch11_ThrOrnf,Rump_ThrOrnf,Throat_ThrOrnf,WingTip_ThrOrnf
184.87,-4.93292004639e+15,-4.12972124921e+15,-4.52776667083e+15,-4.65570984206e+15,-5.95646541625e+15,-5.28831774426e+15,-4.70546551976e+15,-3.83118718301e+15,-4.9826757241e+15,-4.92581209243e+15,-4.49933485499e+15
185.25,309.259222222,255.555777778,268.518444444,314.351888889,388.888888889,343.518444445,301.852,263.888777778,334.259222222,304.629555555,299.074111111
185.63,570.0,436.666666667,505.555555555,538.888888889,785.555555554,572.222222222,535.555555556,525.555555556,641.111111111,532.222222222,557.777777777
186.01,235.416666667,168.055555556,213.194444444,213.194444445,280.208333333,219.791666667,202.430555556,192.708333333,233.680555556,224.652777778,223.611111111
186.39,188.164222222,142.753666666,173.43,172.463777778,218.840666667,170.772888889,168.357444444,152.173888889,171.255888889,183.333333333,185.024111111
186.77,294.444555556,224.747444444,302.525222222,297.979777778,354.040444444,264.141444444,262.626222222,240.404222222,270.202,305.050444444,296.969666667
187.15,233.333222222,164.197666667,242.386777778,234.979444444,266.666666667,192.181,199.999888889,182.716111111,195.473333333,227.571888889,222.222333333
187.53,193.162444444,156.410111111,234.187888889,215.811777778,247.863222222,152.564222222,170.940111111,153.418777778,164.529888889,208.119555556,216.666666667
187.91,250.427333333,167.521333333,337.606777778,264.957333333,330.769222222,171.794777778,191.452888889,158.119777778,177.777888889,262.393,293.162444445
188.29,124.242555556,65.6566666666,187.373666667,154.040333333,163.131333333,87.3737777779,103.030555555,96.4646666668,99.494888889,170.707222222,161.616111111
188.67,77.2487777777,-11.6401111112,155.555666667,117.989333333,113.227444445,51.8517777777,59.7884444445,75.1324444444,46.0316666668,103.703666667,140.740666666
189.05,13.5801111111,-170.370333333,212.345666667,159.259222222,44.4444444442,-60.4937777777,-55.5555555557,46.9136666663,-41.9754444443,53.0865555557,190.123333333
189.43,69.4444444446,287.5,-118.055555555,-109.722222222,11.1111111111,181.944444445,170.833333333,19.4444444444,162.5,-13.888888889,-150.0
189.81,-566.66666667,1522.22222222,-2066.66666667,-2377.77777778,-188.888888891,211.111111111,244.444444447,-622.222222223,211.111111111,-688.88888889,-2388.88888889
190.19,-7.40733333433,429.629777778,-633.333444444,-822.222111112,88.889,244.444555556,200.000111111,-188.888888889,177.777666667,-103.703777778,-614.81477778
190.57,-7.93644444433,-198.412555556,273.016,314.285555555,-122.222222222,-90.476111111,-52.380888889,66.6664444444,-68.254,52.3810000001,223.809333333
190.95,54.054,2.40255555554,100.900888889,108.708555555,35.1351111112,41.1411111112,39.3393333332,59.1591111111,46.8468888888,53.7537777778,107.507555556
191.33,71.2963333333,23.8426666666,97.9165555554,99.3054444447,51.6203333333,59.722111111,50.0,63.6574444446,60.8796666666,67.3611111112,116.203666667
191.71,70.5127777779,2.77766666667,80.3418888889,79.7006666667,38.2478888889,52.3503333335,40.3846666667,56.4102222221,45.512888889,50.8546666667,98.7179999999
192.09,72.548888889,7.67977777778,75.1633333333,67.3203333333,48.0393333333,57.843,44.771111111,51.634,50.6535555556,57.0262222222,91.83
192.47,65.3483333332,-11.4877777778,69.3033333333,52.1656666667,31.6384444444,47.0811111111,36.9115555556,39.1711111111,41.9962222222,41.6196666667,89.454
192.85,73.4298888888,-26.8114444445,71.9807777779,51.9323333333,16.425,38.6474444446,23.913,28.9854444445,40.5796666667,41.7874444444,97.5844444443
193.23,93.4027777778,-54.1666666667,103.819444444,60.4166666666,29.861111111,55.2083333335,40.625,36.8055555555,50.0000000001,52.0833333335,127.083333333
193.61,106.018666667,-93.0556666668,117.129666667,34.2593333333,-4.16655555557,60.6480000001,12.9628888889,12.037,52.7777777779,36.1112222221,135.185
193.99,83.888888889,-133.333333333,107.777777778,13.8888888889,-6.66666666667,63.8888888891,-5.0000000001,-7.2222222221,56.111111111,54.4444444445,140.0
194.37,90.4761111111,-149.735444444,83.5978888889,-0.000111111133335,-7.40744444457,48.6772222222,-1.05833333333,-28.0425555554,65.6086666667,33.3333333332,153.439222222
194.75,-944.444444444,3688.88888889,-777.777777779,466.666666667,755.555555554,100.0,833.333333337,644.444444447,-811.111111113,-111.111111112,-2488.88888889
195.13,76.984111111,423.015888889,92.0634444442,155.555555555,203.174666667,151.587333333,185.714444445,161.111111111,98.4127777779,88.8887777777,-48.4127777777
195.51,108.080888889,526.262444445,112.121333333,136.363666667,212.121111111,176.767777778,243.434333333,195.959666666,139.394111111,125.252444444,-65.6565555557
195.89,177.777777778,785.185111112,146.296333333,114.814777778,390.740666665,216.666666667,348.148111111,350.0,75.9258888889,198.148111111,-177.777777778
196.27,70.1755555556,149.122888889,63.4504444444,42.9825555555,100.292333333,84.7953333331,89.7660000001,85.3801111111,56.4327777778,72.5145555555,16.3742222222
196.65,45.9876666666,129.012333333,49.9999999999,3.70366666667,81.7902222222,63.2715555556,75.6173333333,69.1357777777,28.7034444444,53.3948888889,-14.1974444446
197.03,75.8622222222,162.452,45.977,-13.793111111,95.7854444443,65.5172222223,87.7393333332,69.3487777779,27.9694444445,62.8352222221,-29.8848888889
197.40,153.968333333,517.460222223,85.7142222223,-215.872888889,269.841333333,153.968111111,231.746111111,100.0,-96.8253333333,66.6667777779,-271.428555556
197.78,3.968222222,-196.825333334,44.4446666667,224.603111111,-69.8411111111,0.793555555333,-10.3174444444,30.9523333333,133.333222222,48.4126666667,237.301666667
198.16,1.48133333323,-208.889,0.740777777667,166.666666666,-124.444444444,-22.2223333333,-42.2222222222,0.740777777767,47.4072222223,4.44455555556,192.592444444
198.54,-637.036888888,-1444.44422222,-333.333333333,677.777777779,-818.518444443,-337.03711111,-729.629666666,-344.444333334,-140.74088889,-366.666666667,625.925777778
198.92,-104.321111111,-269.135777778,-47.5306666667,128.395,-144.444333333,-32.7158888887,-139.506111111,-58.642,-64.8148888889,-79.0124444446,118.518444444
199.30,-63.888888889,-172.222222222,-47.2222222223,156.666666667,-69.4444444443,21.6666666667,-81.6666666668,-13.3333333332,-31.6666666667,-43.8888888889,136.666666667
199.68,-527.777777778,-822.222333332,-451.851777778,222.222333333,-638.889,-262.962888889,-566.666777779,-375.925888889,-385.185222222,-494.444444444,157.407444444
200.06,210.053111111,316.931333333,218.518555556,35.4497777778,244.444444444,162.434,237.566,166.666666667,206.349111111,196.825444444,34.3916666667
200.44,-153.888888889,-266.666666666,-125.0,52.2222222222,-186.111111111,-70.5555555557,-184.444444445,-109.444444445,-124.444444444,-134.444444444,67.2222222223
200.82,-195.906444445,-287.719333333,-170.175444445,13.4504444445,-204.093444445,-81.8715555553,-250.877222222,-147.953222222,-161.988222222,-180.701555555,45.0292222223
201.19,-414.814777778,-592.592666667,-433.333333333,-56.7901111113,-493.827222222,-203.703666667,-590.123444444,-323.456666667,-362.962888889,-419.753111111,64.1975555554
201.57,-545.833333333,-704.166666667,-587.5,-112.5,-573.611111111,-236.111111111,-698.611111112,-468.055555556,-513.888888889,-544.444444445,41.6666666669
201.95,729.166666667,859.722222223,738.888888889,330.555555556,740.277777778,475.0,805.555555554,609.722222222,686.111111111,662.5,140.277777778
202.33,370.987777778,385.802444444,334.567777778,163.580333333,341.975333333,232.098888889,377.777777778,288.271555556,295.061777778,319.753,85.8024444443
202.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.09,270.138888889,293.75,297.916666667,159.027777778,293.055555556,200.694444445,281.944444444,246.527777778,237.5,235.416666667,39.5833333332
203.47,259.027777778,300.694444444,279.861111111,193.055555556,332.638888889,232.638888889,276.388888889,259.722222222,222.916666666,231.944444444,66.6666666668
203.85,160.683666667,176.068333333,178.632444445,116.239111111,181.196555556,126.495666667,151.709333333,143.162555555,137.179222222,131.196666667,52.9913333333
204.22,-3211.11111111,-3011.11111111,-2955.55555556,-1588.88888889,-3444.44444444,-1355.55555556,-2688.88888889,-2066.66666666,-1877.77777778,-1733.33333333,200.0
204.60,176.666666667,162.222222222,191.111111111,110.0,182.777777778,91.6666666668,139.444444444,100.0,105.555555555,117.222222222,51.6666666668
204.98,148.559666667,137.037,163.374444444,108.230555555,159.671,104.938222222,116.460888889,85.1853333334,105.761444445,101.234555556,71.1934444443
205.36,307.070555555,262.626111111,345.454444444,231.313222222,322.222333333,207.070666667,198.989888889,181.818444444,251.515111111,201.010222222,158.585666667
205.74,133.777777778,102.666666667,125.333333333,84.0,149.333333333,83.9999999999,91.111111111,70.6666666667,97.7777777778,75.111111111,64.4444444444
206.12,144.888888889,108.444444445,146.666666667,92.8888888887,160.888888889,79.1111111112,123.555555556,74.222222222,120.0,86.6666666668,76.4444444445
206.50,261.111111111,224.444444444,346.666666667,165.555555555,390.0,208.888888889,290.0,114.444444444,335.555555556,161.111111111,135.555555556
206.87,177.777777778,150.0,210.416666667,140.972222222,277.777777778,159.027777778,195.833333333,86.8055555557,259.027777778,136.805555555,103.472222222
207.25,342.424222222,210.101111111,417.171555555,225.252555555,448.485,254.545333333,355.555666667,147.474666667,411.111,286.868888889,172.727444444
207.63,525.555555555,311.111111111,525.555555555,342.222222222,627.777777778,330.0,531.111111112,243.333333333,553.333333333,426.666666667,325.555555556
208.01,4744.44444444,2344.44444444,4522.22222222,3022.22222222,6366.66666667,2877.77777778,5033.33333332,1666.66666667,5133.33333333,3744.44444444,2544.44444444
208.39,255.050444445,155.555666667,255.555555555,175.757555555,328.788,188.383666667,287.373777778,131.818111111,306.060666667,236.868666667,183.333444445
208.77,264.367666667,169.731777778,257.471333333,203.831444445,316.858222222,201.149444444,283.907888889,164.750777778,315.708777778,250.191555555,179.693444444
209.14,218.827,133.950555555,206.172777778,162.037,254.938111111,144.444444445,228.395222222,131.481444445,254.320888889,198.765333333,136.419888889
209.52,217.460222222,111.745888889,195.555555555,142.222222222,260.952444445,128.571555556,216.190555556,113.015777778,245.714333333,192.698333333,123.492222222
209.90,354.444444444,170.555555555,336.666666667,256.666666666,448.333333333,228.888888889,345.555555555,170.0,408.888888889,332.777777778,231.666666667
210.28,409.523777778,147.619111111,380.952444444,266.666666667,538.095222222,203.968222222,383.333333333,169.047444445,463.492111111,398.412777778,241.269888889
210.66,259.555555556,89.3333333334,220.444444444,163.555555555,292.0,106.222222222,208.444444445,108.888888889,235.555555556,234.222222222,142.666666667
211.03,198.888888889,92.5,180.555555556,131.388888889,224.444444444,105.0,169.166666667,105.277777778,191.666666667,178.055555556,127.777777778
211.41,170.864111111,94.8150000001,160.740555556,125.432111111,192.098888889,99.0123333333,153.333333334,87.9011111112,166.172888889,156.543222222,118.271666667
211.79,173.456777778,99.6914444444,178.395111111,141.358,205.864111111,101.234666667,153.086333333,90.7407777778,197.839444445,179.938333333,126.234555555
212.17,130.459888889,86.3983333335,139.463666667,116.091888889,143.103444445,89.6551111111,113.410111111,87.9310000001,145.402333333,135.632111111,105.938666667
212.55,142.181,95.0617777779,143.621444444,124.485555556,153.086444445,95.0617777778,103.292111111,89.3004444444,148.971222222,145.267555556,113.786111111
212.92,114.285777778,60.8466666667,109.876444444,95.2380000002,117.107666667,75.4851111112,72.486888889,67.0194444444,105.290888889,100.352555556,85.8906666668
213.30,184.444333333,56.2962222223,157.407555555,146.666555556,172.962777778,114.074222222,84.074111111,96.6665555555,169.629666667,154.074,126.666666667
213.68,137.268333333,61.5738888889,130.555555555,127.777777778,126.620333333,103.703666667,78.009222222,87.7314444445,120.833333333,116.666777778,110.648222222
214.06,130.128222222,51.0684444444,124.145333333,122.008666667,118.803555555,89.7435555557,77.9914444443,83.3333333332,118.376,103.205111111,107.051222222
214.44,148.412888889,46.2962222222,142.592666667,146.825444444,148.412777778,105.290888889,87.3015555557,92.3282222221,140.211777778,128.307,132.539777778
214.81,192.337222222,52.1073333332,193.869777778,211.494333333,200.383222222,142.528777778,121.838888889,118.390888889,195.785333334,172.796888889,191.187777778
215.19,277.124222222,35.2938888891,252.941111111,324.183,294.771,180.392222222,151.634222222,169.281222222,283.006444444,237.254888889,291.503333333
215.57,491.358222222,-70.3704444444,398.765444444,565.432111111,558.024777778,274.074222222,143.209777778,271.604777778,523.456777778,353.086555556,543.209888888
215.95,213.888888889,-88.8888888889,147.222222222,238.333333333,218.333333333,102.222222222,42.7777777777,88.8888888888,207.777777778,87.2222222222,198.333333334
216.32,237.908444445,-111.764555556,137.908666667,271.895333333,246.405333333,118.954333333,36.6013333333,65.3593333332,219.608,67.973888889,202.614333333
216.70,886.666666668,-437.777777777,557.777777778,973.333333333,935.555555555,502.222222221,246.666666664,324.444444444,831.11111111,197.777777778,708.888888889
217.08,-107.692333333,110.256666667,-74.3591111111,-144.444333333,-146.153555556,-59.4016666668,-23.0768888889,-33.3332222222,-132.051333333,4.27333333323,-120.085555555
217.46,-118.713333333,165.497111111,-105.263111111,-195.906555556,-217.543666667,-61.4033333333,-8.18711111123,-5.2631111111,-156.725222222,9.3567777779,-173.684
217.83,-58.3333333335,107.716,-31.1726666668,-92.284,-102.778,-23.1481111112,1.23444444467,0.6172222222,-75.6172222224,7.716,-84.2591111111
218.21,-89.2255555557,106.060666667,-49.4947777776,-110.437777778,-128.956111111,-45.7912222221,-24.9157777776,-14.4781111111,-104.713888889,-17.1715555556,-107.407555556
218.59,-96.825222222,100.0,-45.7142222221,-92.6984444443,-117.143,-42.5397777778,-20.634888889,-8.25388888887,-93.6505555554,-1.90466666667,-97.1427777779
218.97,-146.913333333,118.107111111,-79.0123333333,-136.625555556,-165.843666667,-64.6090000001,-50.6173333332,-38.6832222222,-153.498,-32.0986666665,-153.498
219.34,-243.274888889,152.046777778,-158.479555556,-202.339222222,-270.760333333,-125.731,-116.374444444,-68.4212222223,-214.035,-78.9474444444,-226.315666667
219.72,-207.870444445,106.944333333,-134.722333333,-171.759222222,-221.296444444,-100.925888889,-114.351888889,-68.5186666669,-143.981444444,-86.574,-177.777777778
220.10,-309.722222222,152.777777778,-200.694444445,-254.861111111,-352.777777778,-169.444444444,-201.388888889,-109.722222222,-190.972222222,-195.138888889,-295.833333333
220.47,-102.356888889,123.905777778,-51.1783333333,-69.6968888889,-127.272888889,-41.0774444446,-48.8213333333,-15.8248888889,-52.1884444444,-68.0134444444,-107.744111111
220.85,-10.1852222222,127.314666667,6.94444444457,0.0,-29.8611111111,25.6944444444,9.2591111111,37.2685555555,17.8239999999,-3.93522222223,-22.2224444445
221.23,-24.6031111113,201.984222222,16.6667777777,-15.873,-56.3491111112,42.0634444445,17.857111111,65.4762222223,38.0952222221,11.5078888889,-34.9206666668
221.61,-34.1563333334,192.181,21.3992222222,-9.05355555553,-39.5061111112,36.214,13.5802222223,58.8476666668,34.5677777779,18.9299999999,-33.3332222222
221.98,20.9876666668,172.839666667,42.5926666666,38.2715555555,6.1728888889,65.7407777778,58.0248888888,70.3703333333,67.2838888888,58.9507777777,11.4198888889
222.36,41.0773333332,172.390444444,51.1785555555,46.4645555556,28.2827777778,78.7876666665,69.0235555554,86.5318888889,91.5823333333,81.1446666667,34.3433333333
222.74,73.684111111,276.023333333,69.0057777777,35.0876666667,38.5966666667,114.619888889,85.9648888887,123.391888889,121.052777778,118.128777778,7.01755555567
223.11,77.7775555555,182.222222222,74.074,46.6665555556,52.9629999999,92.9627777779,101.111,103.333222222,104.444333333,118.518444445,44.4444444444
223.49,56.9024444444,130.976444444,55.8922222222,25.926,31.9866666667,73.4006666667,85.8587777777,79.1245555556,78.451111111,96.633,13.468
223.87,66.6666666667,136.015222222,73.9464444443,34.4828888889,47.1263333333,75.0957777778,97.7009999998,105.363888889,86.9732222223,136.398333333,12.2606666667
224.24,41.0773333334,85.8585555554,45.4543333331,23.569,34.6802222222,46.1278888888,88.5523333333,73.4006666668,57.9124444443,116.498222222,4.04055555557
224.62,49.8644444446,88.6180000001,53.1166666667,32.7914444444,39.2953333334,60.4335555556,77.7778888887,79.6747777778,69.9187777777,135.230222222,20.5961111111
225.00,68.5824444443,125.670444444,81.9924444447,47.1264444443,53.6398888891,70.114888889,120.689666667,108.429222222,100.766333333,180.459666667,18.3908888889
225.38,51.515111111,102.693555556,53.8719999998,28.6195555555,27.9461111111,36.0267777779,103.703666667,80.1347777777,47.474777778,128.956222222,3.03022222213
225.75,67.5927777777,110.493777778,59.2593333336,21.9135555555,27.1605555555,39.5063333333,103.086555555,88.5803333334,59.568,123.765333333,14.8147777779
226.13,53.0157777779,93.6507777779,52.0634444443,-4.76188888889,15.8731111111,38.4128888888,81.9048888887,92.0634444446,46.0318888889,118.412666667,7.6189999999
226.51,34.3916666667,83.8622222222,46.5609999999,1.3227777778,10.8465555555,25.1321111111,74.6032222221,71.1642222222,35.9787777777,97.8836666667,4.23266666667
226.88,35.8024444444,66.6666666667,38.8007777779,11.993,22.9278888889,24.3386666667,55.2027777778,57.6721111111,37.5661111112,82.8923333334,20.282111111
227.26,41.7623333333,78.7356666667,54.2145555557,20.498,27.9693333333,26.82,61.8773333332,66.0921111111,46.5515555557,96.9348888888,33.1416666666
227.64,48.7987777778,92.4924444446,64.5647777777,36.1862222222,51.051,41.2912222222,72.3723333332,74.1741111111,56.6065555557,99.0991111111,48.0482222223
228.01,50.0,87.1343333333,59.6491111112,30.8478888889,45.0292222222,34.2105555556,66.2281111112,59.7952222222,48.0995555554,90.4971111112,43.5673333335
228.39,54.1666666667,83.796111111,62.962888889,32.1758888889,50.2315555556,44.213,63.3102222222,61.5741111111,51.6203333334,84.0277777778,46.9905555554
228.76,48.0204444444,73.1802222222,59.6424444443,19.6677777778,40.9958888889,38.1864444444,61.3025555555,54.5338888889,42.5286666668,75.6064444444,45.594
229.14,38.8888888889,63.6111111111,52.6388888888,4.86111111113,31.5277777778,28.1944444444,55.9722222222,42.6388888889,34.4444444446,72.6388888889,35.138888889
229.52,44.7,61.4304444445,54.6615555557,9.834,40.1022222222,40.23,55.811,48.4036666667,43.9334444444,68.7098888889,35.759888889
229.89,27.7777777778,50.9524444444,42.8571111112,1.27,28.7301111111,30.0,44.127,40.6348888889,32.5396666668,64.6031111111,22.6984444443
230.27,31.209,44.9345555556,43.3005555557,2.45100000002,31.6993333333,23.5294444444,40.6863333333,33.8232222222,31.0457777778,60.6208888889,20.2611111111
230.65,55.8642222222,58.9507777778,64.1975555554,15.1234444444,45.3703333333,44.9074444444,56.4815555556,52.9321111111,48.4567777778,72.5308888889,39.1975555557
231.02,48.0287777778,53.2258888889,62.5446666668,10.215,27.7778888889,40.1433333333,49.2832222222,34.946,33.6916666668,56.9892222222,36.38
231.40,46.8013333333,50.6733333333,58.081,9.2592222222,26.0943333333,31.6498888889,43.4343333333,31.1447777778,35.0170000001,44.7812222222,31.8184444444
231.78,55.3872222222,41.9192222222,58.4174444446,12.2895555555,21.3803333333,31.4815555556,37.8787777778,28.4512222222,36.7003333332,36.3638888889,32.3233333333
232.15,68.5991111111,66.6666666667,73.7522222223,37.0372222222,41.5458888889,58.4541111111,59.0982222222,52.013,51.3686666667,57.488,55.2336666668
232.53,74.8792222222,71.9807777778,77.2945555557,47.665,44.2834444444,61.5137777778,61.0304444446,53.6233333333,53.1398888889,66.5056666667,61.5136666668
232.90,69.3236666667,71.8598888889,74.3962222222,52.053,54.1062222222,59.6618888889,67.1496666667,61.8355555556,57.7294444445,62.9226666667,54.1064444444
233.28,63.6462222222,61.273,71.0895555556,49.946,50.1617777778,55.9871111111,59.7624444444,61.3806666667,49.2988888889,63.2147777778,51.1327777778
233.66,58.3087777778,59.1937777778,68.535,48.0825555555,49.0657777778,50.8357777778,61.1603333333,57.3254444445,47.6893333333,63.5201111111,55.3588888889
234.03,55.635,51.3492222222,61.6665555555,40.6348888889,45.9524444444,47.0634444445,57.5396666667,47.2222222222,42.3808888889,58.6507777778,52.7777777778
234.41,56.0956666666,53.8581111111,63.966,43.3641111111,50.0772222222,49.3826666667,61.8826666667,51.6974444444,43.287,62.1142222222,56.5585555556
234.78,51.8268888889,46.3832222222,56.5995555556,38.8514444445,44.9664444444,40.1192222222,57.1961111111,47.2035555556,39.9701111111,57.047,51.4542222222
235.16,52.6772222222,46.3855555556,58.099,39.96,53.0791111111,43.7084444444,61.0441111111,53.6815555556,45.0468888889,62.1821111111,53.2127777778
235.54,52.6982222222,44.3174444445,56.5078888889,40.4444444444,52.6347777778,46.7936666667,62.1587777778,54.7935555556,44.8887777778,62.9842222222,52.9522222222
235.91,56.6598888889,47.8951111111,59.9033333333,41.4768888889,56.5906666666,50.8624444444,67.1495555556,58.4541111111,49.9654444445,70.3934444445,60.2484444444
236.29,54.0651111111,40.5828888889,57.6558888889,37.8726666667,54.8778888889,45.5962222222,64.6341111111,56.3685555556,47.4932222222,64.092,56.9106666667
236.66,52.4215555556,36.3248888889,60.6124444444,38.4616666667,54.3447777778,44.4445555556,62.6781111111,57.7635555555,47.9345555556,61.7522222222,59.6154444445
237.04,52.7047777778,35.0145555556,57.4561111111,37.9385555556,51.0234444444,41.9591111111,56.5057777778,54.3857777778,46.4912222222,62.4268888889,60.0875555556
237.41,55.0987777778,37.8233333333,57.9907777778,35.9207777778,51.7505555556,45.2053333334,55.5554444444,53.8051111111,47.6407777778,59.589,65.2207777778
237.79,54.9591111111,37.211,59.1348888889,37.5094444444,53.3184444444,46.0848888889,51.9761111111,53.915,44.2206666666,58.6875555555,64.0566666667
238.17,59.9501111111,40.0497777778,67.5786666667,43.6153333333,58.3747777778,48.5904444444,53.6484444445,62.3548888889,51.3267777778,66.7496666667,69.4857777778
238.54,53.4511111111,30.3027777778,60.3535555556,36.6162222222,50.8416666667,41.4142222222,48.3164444444,53.7037777778,44.697,58.5016666667,66.0773333333
238.92,46.9862222222,27.8141111111,55.9185555556,36.8193333333,48.3658888889,43.3551111111,44.8074444444,46.9863333333,42.1932222222,54.4663333333,63.3986666667
239.29,41.0202222222,19.7063333333,50.2445555555,32.6345555555,41.5794444444,36.6877777778,38.7141111111,39.9022222222,37.7358888889,42.4877777778,58.4207777778
239.67,37.9518888889,16.6665555556,47.6573333334,27.9786666667,38.2194444444,31.9947777778,33.3333333333,35.8097777778,31.6601111111,37.0816666667,54.5515555555
240.04,32.2933333333,13.1362222222,42.4193333334,23.919,31.8008888889,26.1083333333,30.8702222222,32.0196666667,24.8494444444,29.1187777778,45.6486666667
240.42,26.7436666666,8.56177777778,35.5461111111,20.4424444444,27.8016666667,21.9336666667,24.2905555556,25.0602222222,21.4525555556,23.6651111111,40.4522222222
240.79,21.2814444444,5.06277777778,27.5987777778,13.5304444445,22.5358888889,18.19,20.5645555555,18.9516666667,17.2491111111,18.5931111111,33.9605555556
241.17,17.8923333334,1.51155555556,23.8561111111,10.4167777778,18.7907777778,18.0555555555,18.1373333333,14.6648888889,13.603,16.871,30.5962222222
241.54,13.9784444444,-0.179222222222,19.5697777778,11.5771111111,17.6343333333,16.0215555556,15.8423333333,13.5842222222,12.1148888889,13.4408888889,26.1288888889
241.92,11.5852222222,-1.93077777778,16.565,10.603,13.7535555555,15.1423333334,14.2955555556,10.637,11.9918888889,10.2982222222,23.1028888889
242.29,12.4303333333,1.26066666667,15.6845555556,12.489,14.5704444444,16.8572222222,15.8312222222,12.02,12.87,10.173,23.6295555556
242.67,14.2777777778,4.52777777778,17.8055555556,14.7777777778,16.2777777778,19.5833333333,17.8055555555,14.2777777778,15.6666666666,12.7777777778,25.3055555556
243.05,14.5213333333,4.17733333333,17.4481111111,14.5778888889,15.1747777778,19.3521111111,18.4427777778,15.1177777778,15.1177777778,12.2763333333,24.581
243.42,16.8923333333,7.61411111112,19.3173333333,17.0052222222,17.6536666667,21.4044444445,21.4044444444,18.1893333333,16.9768888889,15.7358888889,25.8883333333
243.80,14.0837777778,5.42566666666,16.681,16.3636666667,14.6608888889,20.1155555555,20.0576666667,15.9883333333,14.7765555556,13.5065555555,23.8383333333
244.17,14.2547777778,5.20311111111,15.6367777778,16.5311111111,15.1491111111,20.4334444444,19.0245555555,16.2061111111,15.8535555556,14.4442222222,23.1978888889
244.55,12.9978888889,5.2151111111,15.0418888889,15.0944444444,12.8932222222,19.6802222222,18.8676666667,16.064,14.3081111111,13.8627777778,21.3573333333
244.92,12.5358888889,5.79288888889,14.4348888889,15.9068888889,11.776,19.2544444444,18.9458888889,16.4054444444,13.984,13.5802222222,20.1566666667
245.30,13.2255555556,7.09822222223,14.8867777778,17.2815555555,13.0961111111,19.3095555555,19.5467777778,17.864,14.5415555556,12.8155555556,20.4098888889
245.67,15.0613333333,9.00966666667,16.4232222222,18.1164444444,14.6721111111,21.1714444445,20.8407777778,19.6147777778,15.7228888889,14.711,21.6578888889
246.05,15.2218888889,8.22122222221,15.832,16.2986666667,13.7497777778,20.5348888889,20.6246666667,19.5657777778,15.0062222222,13.9831111111,20.9298888889
