wavelength,Back_SpoHycm,Belly_SpoHycm,Breast_SpoHycm,Crissum_SpoHycm,Crown_SpoHycm,DorTail_SpoHycm,Patch10_SpoHycm,Rump_SpoHycm,Throat_SpoHycm,WingTip_SpoHycm
472.22,17.7376666667,10.6583333333,5.62983333334,9.25608333334,25.6776666666,8.67716666666,34.9413333333,11.7248333333,7.3735,10.0261666667
472.57,17.6668333333,10.6295,5.60066666667,9.24391666667,25.6651666667,8.64966666667,34.9671666667,11.7083333333,7.388,9.99933333334
472.92,17.666,10.6213333333,5.60566666666,9.27483333333,25.7245,8.61533333334,35.0126666666,11.7218333333,7.387,10.006
473.27,17.6088333333,10.612,5.61883333334,9.266,25.7118333333,8.66666666666,35.0188333334,11.7193333333,7.42425,9.99316666665
473.62,17.5871666666,10.5858333333,5.63783333333,9.24775,25.7115,8.62766666667,35.04,11.7073333333,7.44875,9.96849999998
473.98,17.6071666667,10.5965,5.71316666666,9.307,25.7338333333,8.65616666667,35.0095,11.7488333333,7.50175,9.99066666666
474.33,17.518,10.5691666667,5.6335,9.23458333333,25.6578333333,8.56783333334,34.9285,11.6851666667,7.414,9.92916666666
474.68,17.5115,10.5265,5.55766666666,9.2215,25.5893333333,8.50166666666,34.903,11.6425,7.3625,9.88283333335
475.03,17.544,10.533,5.55983333333,9.229,25.6321666667,8.49166666667,34.9706666667,11.652,7.375,9.89083333332
475.38,17.5208333333,10.5233333333,5.53566666666,9.2215,25.6475,8.476,34.9748333333,11.6381666667,7.387,9.92283333331
475.73,17.5365,10.5493333334,5.5445,9.26591666666,25.6453333334,8.48483333334,34.942,11.6275,7.37475,9.91633333332
476.08,17.5315,10.5536666667,5.48716666666,9.27083333334,25.693,8.46333333334,34.9758333333,11.603,7.39875,9.911
476.44,17.5753333334,10.5781666667,5.48616666666,9.30933333334,25.6851666667,8.485,34.9476666667,11.6138333333,7.39975,9.92833333334
476.79,17.6465,10.6403333333,5.54,9.37258333334,25.7293333333,8.53816666666,35.0203333334,11.6891666667,7.469,10.0016666667
477.14,17.6281666666,10.6265,5.50716666667,9.3495,25.7055,8.46983333333,34.9715,11.6321666666,7.39975,9.9935
477.49,17.6043333333,10.6086666667,5.49583333333,9.28933333333,25.6376666667,8.44983333334,34.9345,11.5888333333,7.34,9.95016666666
477.84,17.603,10.6215,5.50783333334,9.28225,25.6355,8.44316666667,34.9541666666,11.577,7.35475,9.94133333332
478.19,17.6423333333,10.6756666667,5.5595,9.34275,25.6978333334,8.51266666666,35.06,11.6243333334,7.4345,10.0038333334
478.54,17.6228333333,10.706,5.62333333334,9.34516666666,25.7088333334,8.5055,35.0581666666,11.6328333333,7.463,10.0275
478.89,17.5735,10.6635,5.60516666666,9.28408333333,25.6621666667,8.47416666666,34.9985,11.5995,7.43275,9.98916666665
479.24,17.6408333334,10.7478333334,5.705,9.33025,25.7228333333,8.51916666667,35.073,11.6466666666,7.5165,10.0335
479.60,17.6271666667,10.7495,5.71433333334,9.34716666667,25.7165,8.51833333334,35.0941666666,11.6705,7.559,10.0505
479.95,17.6166666667,10.736,5.73966666667,9.33233333334,25.6871666667,8.515,35.0698333333,11.6561666667,7.5435,10.0198333333
480.30,17.5898333333,10.7396666667,5.75383333334,9.33925,25.7218333333,8.52183333333,35.1031666666,11.6945,7.5795,10.0335
480.65,17.5131666667,10.7021666666,5.6795,9.28283333334,25.6376666666,8.51083333334,35.0198333333,11.6206666666,7.5045,9.96333333334
481.00,17.453,10.6716666667,5.64983333333,9.26216666666,25.5836666667,8.47666666667,34.988,11.6098333333,7.47275,9.92199999998
481.35,17.4055,10.6416666667,5.62766666667,9.25533333333,25.5503333334,8.42633333334,34.9471666666,11.6028333333,7.46225,9.90799999998
481.70,17.3911666667,10.6545,5.62916666667,9.28125,25.5723333333,8.46,35.0063333333,11.6376666667,7.46125,9.93583333331
482.05,17.3875,10.632,5.6395,9.28566666666,25.6018333333,8.4655,35.025,11.638,7.43275,9.92833333334
482.40,17.3883333333,10.6303333334,5.64166666666,9.291,25.5931666666,8.46533333333,35.0165,11.6313333333,7.417,9.93016666667
482.75,17.3733333334,10.6328333333,5.64316666666,9.30425,25.6028333333,8.4605,35.0398333334,11.6365,7.42075,9.932
483.10,17.3316666667,10.6168333333,5.61533333334,9.28083333333,25.5775,8.433,35.0283333333,11.6268333333,7.37925,9.90783333333
483.45,17.312,10.6001666667,5.59933333334,9.27125,25.5813333334,8.41966666666,35.0113333333,11.6143333333,7.3495,9.89250000001
483.80,17.2991666667,10.6065,5.60733333334,9.27291666666,25.5578333334,8.41066666666,34.9985,11.6133333333,7.34975,9.89300000002
484.15,17.2803333334,10.588,5.59933333334,9.255,25.5253333333,8.39833333333,34.9668333333,11.5913333334,7.33125,9.87516666667
484.50,17.2775,10.5856666666,5.6085,9.26175,25.5333333334,8.39683333333,34.9741666666,11.6025,7.34975,9.88733333334
484.85,17.2783333333,10.5773333333,5.61583333334,9.264,25.528,8.393,34.9785,11.5975,7.356,9.89783333331
485.20,17.2795,10.5785,5.601,9.27433333334,25.5371666667,8.40333333334,34.9843333334,11.592,7.3505,9.90366666665
485.55,17.268,10.5605,5.59383333334,9.252,25.512,8.3775,34.9395,11.5625,7.327,9.88883333335
485.90,17.259,10.5618333333,5.592,9.25216666666,25.4778333333,8.36783333333,34.905,11.5603333334,7.33875,9.88999999998
486.25,17.2551666667,10.5668333333,5.59116666666,9.26091666667,25.4771666666,8.37016666666,34.9101666666,11.5661666667,7.3515,9.892
486.60,17.2553333333,10.5831666667,5.60883333334,9.27041666666,25.482,8.3845,34.8963333334,11.5635,7.3535,9.90249999999
486.95,17.2531666667,10.5586666667,5.59416666667,9.26741666666,25.4633333333,8.3875,34.88,11.5556666667,7.3515,9.90549999999
487.30,17.2725,10.5655,5.606,9.26425,25.4513333334,8.40866666666,34.894,11.5681666667,7.38825,9.91166666669
487.65,17.2813333333,10.5695,5.61066666667,9.28675,25.4636666667,8.42566666667,34.9136666667,11.5885,7.41125,9.94116666665
488.00,17.305,10.5926666667,5.63666666667,9.314,25.502,8.44433333333,34.9338333333,11.6091666667,7.427,9.97933333335
488.35,17.3125,10.6001666667,5.64366666667,9.3185,25.5013333333,8.43583333334,34.944,11.6138333333,7.41725,9.97533333334
