wavelength,Back_HemAtrm,Belly_HemAtrm,Breast_HemAtrm,Crissum_HemAtrm,Crown_HemAtrm,DorTail_HemAtrm,Patch10_HemAtrm,Rump_HemAtrm,Throat_HemAtrm,WingTip_HemAtrm
198.54,67.4243333335,13.6363333333,-130.303083333,-169.697,81.0606666668,-115.909083333,-93.1818333334,27.2726666666,-111.3635,182.575833333
198.92,87.87875,19.6970000003,-124.242416667,-125.000166667,86.3637499997,-124.621,-113.63625,46.2120833333,-143.939416667,189.394
199.30,37.9629166667,-64.81475,-163.888833333,-225.92575,15.7406666668,-224.999916667,-173.148166667,24.0740000001,-221.29625,143.5185
199.68,-138.888833333,-233.333416666,-333.333333333,-495.833333333,-79.1666666668,-481.25,-443.055583333,-173.611166667,-480.555583333,29.1665833332
200.06,-45.8333333334,-100.0,-208.333333333,-286.666666667,-49.1666666665,-284.166666667,-247.5,-111.666666667,-270.0,14.9999999998
200.44,217.857166667,317.857083333,447.618916667,559.52375,263.095166667,620.238166667,505.952333333,378.571333332,561.90475,170.237916667
200.82,583.333333334,820.833333334,985.416666666,1081.25,687.5,1295.83333333,1108.33333333,837.499999999,1183.33333333,556.25
201.19,-170.833333333,-228.333333333,-336.666666667,-340.833333333,-206.666666667,-462.5,-370.833333333,-238.333333333,-391.666666667,-150.833333333
201.57,-81.3725000001,-79.4116666667,-171.078333333,-130.392166667,-78.4314166667,-240.686541667,-160.784166667,-91.1764166668,-191.176416667,-50.9805833333
201.95,472.222166667,561.111000002,1174.99991667,880.555666667,475.000083333,1430.55554167,1025.00008333,669.444500001,1358.33325,400.000083334
202.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.71,-290.0,-268.333333333,-700.000000001,-376.666666667,-193.333333334,-791.666666667,-530.0,-380.000000001,-800.000000001,-215.000000001
203.09,-9.86228611582e+14,-9.48911853305e+14,-2.32430094405e+15,-1.16748143749e+15,-5.91737166948e+14,-2.40959639154e+15,-1.44469164183e+15,-1.28476267779e+15,-2.414927357e+15,-6.29053925225e+14
203.47,-202.083333333,-187.499999999,-806.250000002,-281.250000001,-47.9166666668,-716.666666667,-447.916666667,-316.666666667,-720.833333334,-114.583333334
203.85,9.64891666657,-0.438416666925,-114.91225,-13.5965833333,33.3334166667,-90.7895,-21.0527500003,-2.63166666651,-85.9648333335,31.1404166665
204.22,4.76191666657,-9.2858333335,-61.9048333333,-7.14283333333,13.3333333333,-45.2381666667,-7.61891666667,-11.9048333333,-52.8572500001,15.95225
204.60,15.0273333333,12.4316666667,-17.2130833333,10.9289166667,29.9180833334,-4.16670833333,13.798,11.3389166667,-9.2895,23.4972500001
204.98,10.3233333333,13.0596666667,-12.8109166666,7.33833333333,24.75125,-3.85566666666,14.8009166667,12.93525,-5.34816666665,22.6367500001
205.36,3.79749999998,6.43450000002,-10.865,3.58650000001,15.0843333333,-0.369041666657,9.07175000001,6.32908333334,-11.9198333333,14.1349166666
205.74,3.98150000001,5.64816666666,-10.5555833333,1.4815,12.1295,-0.462958333333,3.148,0.370416666668,-8.79633333335,11.2038333334
206.12,0.574749999982,5.747,-8.62058333332,2.58608333335,6.17808333333,0.107750000018,3.73558333335,-2.01158333333,-4.09491666668,8.83625
206.50,-7.17391666667,-1.73916666667,-14.2753333333,-7.24625,-6.01449999999,-10.6159166667,-5.72475,-9.2755,-9.63766666668,0.724666666675
206.87,-30.9765,-17.5083333334,-36.7845833333,-31.1446666667,-28.53525,-31.986625,-27.02025,-30.0505,-31.3973333333,-17.5926666667
207.25,-35.6435833333,-19.4718333333,-38.9439166667,-35.6435833333,-31.84825,-38.8201666666,-32.1781666667,-34.6533333333,-34.3233333333,-24.5873333333
