wavelength,Back_DacLinm,Belly_DacLinm,Breast_DacLinm,Crissum_DacLinm,Crown_DacLinm,DorTail_DacLinm,Rump_DacLinm,Throat_DacLinm,WingTip_DacLinm
196.27,20.3333333333,22.3333333333,3.16666666667,-26.1666666667,2.3333333334,127.833333333,51.6666666667,14.8333333335,24.6666666667
196.65,-4.22226666673,3.11120000001,-39.5555333333,-62.8887999999,-19.5554,137.555466667,38.8887333333,-10.8889333332,2.8888
197.03,-0.38106666674,8.00013333333,-23.6189333333,-48.381,-12.9524666666,123.047666667,44.1904666667,3.61900000014,-2.47626666659
197.40,-24.8716666667,-16.4102,-46.6665333333,-103.3332,-42.8204666666,162.564133333,18.718,-10.7690666668,-36.9232
197.78,2.14293333332,6.19053333335,-11.4284666667,-66.4285333333,-7.61893333339,188.809466667,30.7142666667,10.7143333333,-14.2856666666
198.16,-97.7777999998,-51.1110666667,-117.777666667,-281.481466667,-159.999933333,510.3702,-45.9259999999,-68.1482,-158.5184
198.54,13.0303333335,16.9698666666,-12.4242000001,-80.303,-34.2425333333,251.212066667,5.45459999986,17.2725999999,-28.4850000001
198.92,29.5651999999,42.0287999999,11.0145333333,-71.8840666666,-31.3044666667,253.913,5.79713333326,22.8984666666,-16.5217333333
199.30,44.9275333332,79.1302666667,32.1739333334,-57.1014666667,-13.9131333333,279.1304,11.3044,36.2320000001,6.08693333326
199.68,67.3872666665,85.4054000001,54.5944666667,0.180200000074,24.3242666667,201.441466666,41.2611999999,53.8739333335,39.4594
200.06,89.8245333335,102.573133333,83.2749333333,40.9355333333,61.1695999999,168.304133333,70.2924000001,78.4795999999,68.1871333333
200.44,108.1632,120.272266667,103.401466667,56.1906000001,75.5101333335,205.306066667,86.2586,97.9591999999,87.0748666668
200.82,117.2,136.666666667,120.533333333,71.3333333334,81.4666666667,218.133333333,95.4666666667,108.0,105.6
201.19,120.4256,147.234133333,126.950333333,75.6027333333,81.4184,225.390066667,93.0496000001,104.255266667,113.617
201.57,127.596866667,160.465133333,134.8836,81.3952666666,85.5814,235.969,102.170533333,103.721,120.9302
201.95,156.0,187.8096,156.5714,85.5237333334,86.4762,263.047533333,118.476066667,116.9524,140.190533333
202.33,124.880933333,139.5238,127.976133333,82.2619333334,80.3571333334,185.0,108.333333333,100.119066667,117.261933333
202.71,135.4074,155.555466667,140.444466667,83.8518666667,87.4074666667,210.963,126.814866667,100.1482,133.333266667
203.09,132.000066667,150.0952,131.2382,58.6665333333,77.7142666665,228.190466667,126.2856,78.6666000001,116.9524
203.47,153.763466667,169.677533333,143.870866667,69.0322,99.3547333334,259.785133333,144.7312,92.0430000001,117.6344
203.85,194.545466667,216.9696,175.4546,78.4848666667,121.515066667,360.303133333,180.909133333,91.8181333333,140.909133333
204.22,202.333333334,235.0,187.666666667,89.6666666665,115.666666667,413.333333333,181.666666667,88.6666666667,137.666666667
204.60,125.891533333,133.023266666,110.5426,67.5968000001,85.5814,213.178266667,111.783,67.9069333332,88.9922666667
204.98,105.432066667,106.7902,92.2221333333,51.8518,73.7037333334,172.2222,92.5925333333,59.2593333335,70.4937999999
205.36,116.855333333,114.339733333,100.2516,60.7548666667,84.5282666668,184.528333333,103.2704,72.3269333333,82.5158000001
205.74,102.358933333,98.4614666668,84.5129333333,60.0,72.5127999999,154.666666667,87.9999333333,62.7691333333,74.6665999999
206.12,77.3662000001,78.4360666665,67.4898000001,48.3127333333,60.7407333333,124.526733333,68.7243999999,50.0411333333,58.1893333333
206.50,68.8571333335,67.9999999999,55.3333333333,28.4762,49.1428666667,119.619,50.4762,32.0000666666,43.8094666667
206.87,61.3144,59.155,48.4506666667,20.3755333333,38.5914666667,110.704133333,35.7747333333,19.7183333333,33.3334666667
207.25,64.2797333334,56.0494,49.3827333333,32.8394666667,39.5061333334,100.082333333,37.2015333333,27.572,41.5638000001
207.63,55.9999333333,45.7778666667,44.3704,31.6296,30.7407333333,85.185,31.8519333333,21.4813333333,39.6295333333
208.01,57.6953999999,40.0000666667,45.1028666667,29.7942666667,26.8311333333,81.1522666666,27.4897333333,16.5432,37.1193333333
208.39,63.1429333333,40.0951333333,42.1904,31.9045333333,25.8094666667,81.5237999999,26.0952666667,10.9523333333,37.8094666667
208.77,63.7500666667,34.1665333334,42.2222,21.5278666667,8.7500666666,87.6389333333,10.9721333333,-13.75,22.7778666667
209.14,74.3478666666,39.2753333334,47.1014,28.9856666667,18.5508,93.0435999999,12.1740666667,-5.07246666668,32.4638666667
209.52,67.7333333334,33.7333333333,43.7333333334,24.9333333333,16.3999999999,83.1999999999,10.2666666667,-1.42108547152e-15,25.7333333333
209.90,88.7302,47.3016000001,64.6032666667,35.873,32.2221333333,108.5714,23.9681999999,14.1268666667,43.9684000001
210.28,135.0,67.9166666667,100.416666667,61.8750000001,53.3333333333,156.25,43.3333333333,28.1249999999,76.4583333333
210.66,252.592533333,132.962933333,180.740666667,140.000066667,119.6296,304.814866667,108.518533333,81.1111333335,166.296266667
211.03,334.583333333,200.0,255.0,208.333333333,195.833333333,374.166666667,186.666666667,170.416666667,241.666666667
211.41,387.555666667,275.111066666,334.666733333,242.666666667,259.999866667,447.999933333,227.555533333,216.444466667,292.888933333
211.79,738.333333333,526.666666666,626.666666667,431.666666667,473.333333333,844.166666666,420.0,411.666666667,599.999999999
212.17,282.424133333,241.515266667,239.393866667,171.818133333,204.242333333,331.212,177.272666667,175.454466667,244.848466667
212.55,149.394,126.666666667,130.151466667,90.4544666667,113.333333333,175.6062,96.6666666667,98.6364000001,133.7878
212.92,126.436866667,115.172466667,112.413666667,86.3217999999,103.1034,148.850533333,90.6896000001,95.2872666667,127.701333333
213.30,130.175466666,123.391866667,119.181333333,95.5556,105.848,152.982466667,96.7250666666,98.7134666667,133.099333333
213.68,131.8644,123.276733333,117.401133333,99.3220000001,103.6158,148.587733333,97.1752000001,94.0112666666,134.1242
214.06,115.555533333,110.531333333,103.381733333,88.5025333333,94.2995333333,132.560333333,88.5990666666,82.8019333332,117.391266667
214.44,111.081133333,103.873866667,91.8919333333,83.8739333333,88.1981333333,124.594533333,85.1350666668,77.4774,109.099066667
214.81,101.333333333,93.9166666667,83.0,74.8333333333,79.5833333333,115.333333333,76.0833333334,67.4166666667,96.6666666666
215.19,101.982066666,95.4053333332,79.9100000001,77.2071999999,80.4504666667,119.819666667,72.7927333333,67.6577999999,100.540466667
215.57,97.0774666668,94.1552666667,73.5159333334,76.0730666667,79.1780666667,118.721466667,72.6940666668,65.6621333333,98.9041333333
215.95,88.1666666667,91.0000000001,68.6666666668,71.0,77.9166666667,111.666666667,69.8333333333,61.9166666666,88.5833333335
216.32,95.4228000001,91.0448666667,69.4528666666,75.9202666667,80.0996000001,127.960133333,73.0348,63.8805999999,96.9154666667
216.70,118.0554,106.250066666,84.4445333333,90.6945333334,94.5832666668,164.861066667,83.7500000001,74.4444666667,122.639
217.08,120.0,101.088533333,80.8164000001,92.7891333332,97.9591333332,161.4966,81.6327333334,69.5239999999,120.6802
217.46,120.256333334,93.5898666667,76.5384666667,85.7692000001,99.7436,153.589733333,79.2308666666,68.3334666667,114.1026
217.83,147.927933333,109.009066667,80.0001333334,96.7567333334,126.8468,197.297133333,90.991,78.7387333333,137.837733333
218.21,194.047666667,140.952266667,89.2857333333,129.523866667,154.761866667,237.142933333,110.714133333,99.9999333335,176.190466667
218.59,175.8976,125.8974,64.6152666666,111.794866667,139.230666667,218.974466666,83.3333333332,76.9232666667,165.641066667
218.97,134.902,97.0587999999,46.2745333333,89.804,106.078333333,153.9216,62.549,55.2941333335,131.764866667
219.34,111.063666667,80.8510000001,47.3757999999,81.7020666665,87.8014000001,114.7518,63.1206,49.7871333334,105.815533333
219.72,149.791666667,97.2916666666,59.7916666666,107.5,107.5,148.541666667,79.5833333333,61.8750000001,141.875
220.10,149.032333333,90.9677333333,64.3010666666,115.698933333,104.731066667,154.1936,76.1290666666,71.8279333333,148.172066667
220.47,145.057533333,92.1839333334,62.0688000001,114.482733333,105.747066667,145.977,67.1263999999,66.4368666668,138.620666667
220.85,172.777866667,115.5556,57.2222,129.4444,131.9444,163.611133333,76.1112666667,70.2777999998,143.611133333
221.23,856.666666667,491.666666667,175.0,543.333333333,555.0,788.333333332,233.333333333,211.666666667,603.333333334
221.61,-373.333266667,-219.999933333,-40.0,-270.4762,-174.285666667,-358.095266667,-39.0476000001,-12.3809333334,-291.428533333
221.98,-264.166666667,-172.5,-20.8333333334,-202.5,-99.9999999998,-289.166666666,10.8333333336,51.6666666667,-200.833333333
222.36,-112.1212,-83.0303333333,8.4848000002,-97.5757333333,-20.6061333332,-167.272666667,92.7273333333,70.3030666666,-103.0304
222.74,-16.0494666667,-13.0864666667,20.0000666668,-16.2962666667,18.7654666667,-51.3580666667,62.4690000001,40.9875333333,-4.9382666668
223.11,5.76573333333,7.02706666666,28.108,5.2252,27.0270666666,-31.8918666667,59.6396000001,38.7388,16.7566666667
223.49,31.8056666667,32.0833333333,45.4166,38.8888666667,44.4443999999,-4.3056,70.5555333334,50.5554,38.6111333333
223.87,23.5,33.0,49.3333333333,41.1666666667,36.8333333334,-18.1666666667,70.4999999999,43.6666666667,30.1666666667
224.24,-3.0894,15.1219333333,35.2844,25.5284666667,13.1707333333,-34.3089333333,45.8536,25.691,17.5609333333
224.62,-9.25933333333,7.90113333334,21.6049333333,16.2962666667,5.30866666667,-31.8518666667,34.4444,9.87646666667,-0.98773333332
225.00,-5.24586666666,15.4098666667,22.7322,16.6122,8.96173333334,-28.9616666667,34.317,8.96166666668,-3.60633333333
225.38,-10.4616,12.8206666667,20.0000666667,12.2051333333,7.07686666666,-30.8718666667,27.6922666667,3.99999999999,-7.69226666666
225.75,-5.72759999999,17.4648,25.1643333333,15.7747333333,5.82160000001,-26.5727333333,29.2958666667,10.0467333333,-2.81706666666
226.13,-18.8889333333,8.8888,16.5658,3.03033333333,-6.66666666666,-37.4748666667,18.7878666667,-1.11113333333,-19.5959333333
226.51,-10.9703333333,17.384,24.3039333333,10.7172666667,-0.08433333332,-28.6076,18.3122,8.77633333335,-8.69199999999
226.88,-6.60379999998,16.7924666667,20.5660666667,10.9434,2.76726666665,-18.4277333333,14.3396,9.93706666667,-6.03766666665
227.26,-5.71440000001,11.178,18.0953333333,8.01999999999,4.56133333334,-15.4386666667,11.9798666667,6.66659999999,-6.26560000001
227.64,-5.89746666667,6.23933333334,14.7436,3.50433333333,1.41033333334,-16.7092666667,8.97440000001,3.29046666667,-8.07693333333
228.01,-1.65819999999,4.97453333333,14.044,4.67006666667,3.38419999999,-10.6260666667,11.1335333333,6.1592,-4.43313333333
228.39,6.79840000001,9.93400000001,18.0764666667,10.4611333333,10.8037333333,-1.79166666667,16.5481333333,11.9368,2.16066666666
228.76,10.1530666667,13.1213333333,21.3898666667,12.1318,14.5110666667,2.37906666667,18.61,14.7705333334,7.49119999999
229.14,12.7956,13.5914,21.8924666667,11.957,16.7098,5.09673333334,19.4624666667,15.5914666667,9.69886666667
229.52,15.6029333333,14.9747333333,23.3434666667,13.921,18.4195333333,8.308,21.6210666667,17.2239333333,11.6514666667
229.89,13.5271333333,13.2364,21.3565333333,12.8100666667,17.8100666667,7.09306666667,19.2248,14.4961333333,10.0774
230.27,11.6117333333,11.1538,19.7253333333,11.6851333333,16.4102666667,5.58613333334,17.5092,12.619,8.828
230.65,10.5572666667,9.54913333333,18.2848666667,10.9284666666,15.9858,5.48186666667,16.2510666666,10.5569333333,7.65700000001
231.02,10.3765333333,8.63160000001,18.1084666667,9.73366666667,16.1616,4.70160000001,16.6942,9.697,6.92373333335
231.40,8.76893333333,6.6666,15.2650666667,7.12119999999,13.428,3.12506666667,14.5264,7.784,5.20833333334
231.78,8.71653333333,7.08799999999,14.7700666667,7.54793333333,13.6781333333,3.92726666666,14.7509333333,8.46740000001,4.86593333334
232.15,10.7438,8.48306666667,16.348,8.6376,16.0579333333,6.31873333333,16.7922,10.6667333333,6.99513333334
232.53,10.3726666667,7.05999999999,15.2173333333,6.97713333333,15.6108666667,6.00413333333,16.6872666667,10.0206666667,5.69360000001
232.90,9.59906666666,4.49366666666,12.8904,5.61173333333,14.0294666667,4.68366666666,15.9493333334,9.32493333333,3.45979999999
233.28,6.97806666666,0.996866666667,10.4674,4.1536,10.5504666667,1.93153333333,14.3302666667,7.66346666666,-0.8516
233.66,5.63613333333,-0.441599999999,9.84233333333,2.81813333333,9.2744,0.5258,13.3965333333,6.83486666667,-2.64973333332
234.03,7.05293333333,1.32113333333,11.8496666667,4.65453333333,11.0162666667,2.68293333333,16.0568666667,9.51206666667,-0.30486666666
234.41,9.11119999999,3.47466666666,14.6060666667,7.33340000001,13.5151333333,5.35353333333,18.8686666667,11.3738,1.6364
234.78,6.92846666667,1.75226666667,13.1118,5.47826666667,11.9435333333,3.3636,17.5428,10.2518,0.161066666658
235.16,4.7676,6.66666674e-05,11.9573333333,3.95346666667,8.99220000001,2.67453333333,15.2518666667,8.66273333335,-1.10466666667
235.54,5.88346666667,2.42253333334,14.4990666667,6.33893333333,11.3842666667,4.53553333333,17.0492,10.7651333333,0.4918
235.91,5.67193333333,2.04193333333,15.0437333333,5.18326666667,11.1169333333,3.8918,16.8236666667,9.77306666667,0.8378
236.29,5.26586666667,1.89726666667,15.0354666667,5.19513333333,10.6916666667,3.38646666667,15.9574666667,9.07813333334,-0.195066666666
236.66,5.508,3.42233333334,16.7558666667,6.20326666666,11.7291333333,4.50973333333,16.7024,10.2674666667,0.926933333334
237.04,3.07553333333,1.69426666667,15.3038666667,4.604,10.2209333333,1.84153333333,14.9355333333,8.6188,-1.142
237.41,1.93733333333,2.03233333333,15.5935333333,3.6846,10.1426,0.987733333332,13.8461333333,8.16713333333,-0.9496
237.79,2.018,2.23413333333,15.3514,3.40546666667,9.98186666667,0.1622,13.3332666667,8.25220000001,-0.900999999999
238.17,2.2858,2.21633333333,14.7532666667,2.9264,9.87006666667,-0.658,12.9351333333,7.91346666667,-1.3852
238.54,4.8456,5.19406666667,15.1702,5.13073333333,11.3537333333,1.75766666667,15.2336666667,10.3404,1.156
238.92,8.2242,8.64633333334,17.7146666667,8.70433333333,13.901,5.342,18.2096666667,13.6682,4.5124
239.29,8.85233333333,8.89346666666,18.2132666667,9.07220000001,14.5566,5.33326666667,18.9690666667,14.2818666667,4.56366666667
239.67,9.49306666667,8.69460000001,18.4538,9.29026666667,14.6640666666,5.90633333333,19.9872666667,14.9176666667,5.34846666667
240.04,10.0999333333,8.95546666667,18.611,10.1110666667,15.489,7.17773333333,20.9778,16.2555333333,6.36653333333
240.42,9.28153333333,8.33353333333,17.912,9.23379999999,14.8945333333,6.53246666667,21.0346,15.3928,6.16860000001
240.79,8.67406666667,7.78466666667,16.7932,8.90253333334,14.0106,5.9976,20.2773333333,14.4348666667,5.63846666667
241.17,9.70219999999,9.39713333333,17.9077333333,9.9432,15.1277333333,7.82986666668,21.4609333333,15.3192,7.15593333333
241.54,9.645,9.50573333333,17.8074666667,10.0569333333,15.3422,7.88346666667,21.4448666667,15.5703333333,7.59186666667
241.92,9.707,9.50006666668,17.7874,10.0287333333,15.2989333333,8.06893333333,21.6493333333,15.6321333333,7.77586666667
242.29,9.603,9.33106666667,17.5753333333,9.63493333331,15.0919333333,8.17999999999,21.4762,15.3529333333,7.61533333333
242.67,9.44919999999,9.02253333333,17.8622666667,9.18000000001,14.9986666667,8.02733333334,21.4166,15.2271333333,7.34193333333
243.05,8.7054,8.4696,17.5828666667,8.48453333333,14.6056666667,7.55586666667,21.184,14.6108,6.74526666666
243.42,8.41153333333,8.45946666667,17.467,8.30093333334,14.4724666667,7.35886666667,21.1679333333,14.4051333333,6.58966666667
243.80,8.15146666667,8.4702,17.4923333333,8.23213333333,14.4325333333,7.47553333333,21.1086666666,14.3183333333,6.424
244.17,7.45493333333,8.19086666667,17.1464,7.64953333333,13.9078,6.7712,20.7312,13.7748666667,5.86413333333
244.55,7.44173333333,8.39873333333,17.1894,7.7964,13.8888666667,6.88626666667,20.7421333333,13.9683333333,5.84966666667
244.92,7.17786666667,8.1728,17.1551333333,7.3994,13.6726,6.63053333333,20.9226666667,13.7629333333,5.41833333333
245.30,6.41953333333,7.32293333333,16.6921333333,6.6326,13.0349333333,5.844,20.3154,13.2694666667,4.53093333334
245.67,6.5538,7.1028,16.8224,6.65886666667,13.0492,6.07853333333,20.8020666667,13.3604666666,4.47426666667
246.05,6.0172,6.62353333333,16.7851333333,6.3078,12.7809333333,5.66186666667,20.7929333333,13.1468,4.17653333333
246.42,5.95046666667,6.62046666666,17.0528666667,6.4224,12.8252666667,5.4422,21.2144666667,13.5049333333,4.22426666667
246.79,5.62013333333,6.18453333333,16.6865333333,6.04733333333,12.6346666667,4.84813333333,21.0281333333,13.4279333333,3.942
247.17,5.2506,5.70726666667,16.355,5.6096,12.3366,4.16486666667,20.7813333333,13.3274666667,3.3606
247.54,5.35306666667,5.76533333333,16.7105333333,5.7462,12.5913333333,4.33086666667,21.1019333333,13.6684666667,3.47626666667
247.92,5.30026666667,5.81706666666,16.7344666667,5.7078,12.6009333333,4.29093333333,21.1826666667,13.7088666667,3.56646666667
248.29,5.55173333333,6.09346666667,17.0345333333,5.9808,12.8754666667,4.60933333333,21.3977333333,14.0216,3.81093333333
248.67,5.772,6.23626666667,17.3474666667,6.09213333333,13.1208,4.657,21.611,14.2515333333,3.9668
249.04,6.23446666667,6.65586666667,17.912,6.5326,13.5988666667,5.11273333333,21.9430666667,14.7960666667,4.52493333333
249.42,6.6808,7.207,18.5760666667,7.08326666666,14.1409333333,5.5186,22.4934666667,15.3849333333,5.13593333333
249.79,6.58806666667,7.42266666667,18.8904,7.1716,14.2947333333,5.41806666667,22.5760666667,15.4859333333,5.21246666667
250.17,7.06606666667,8.17593333333,19.4612666667,7.7054,15.0568666667,5.97533333333,23.1223333333,16.1539333333,5.6054
250.54,7.177,8.41473333333,19.8636666667,7.77133333333,15.3434,6.2716,23.1638,16.3188,5.71226666666
250.92,7.84726666667,9.47493333332,20.9050666667,8.60333333333,16.3017333333,7.43386666667,23.9887333333,17.054,6.4394
251.29,8.6534,10.5199333333,21.8938,9.42560000001,17.0819333333,8.5836,24.7574,17.7841333333,7.41166666667
251.66,9.09446666667,11.1451333333,22.1370666667,10.0845333333,17.4858,9.13379999999,25.1345333333,18.1772666667,7.94733333333
252.04,9.61599999999,11.614,22.6228,10.5871333333,18.1374,9.50453333335,25.7154,18.6587333333,8.33433333333
252.41,9.80486666667,11.7964,22.8204,10.8870666667,18.4068666667,9.76473333333,25.9746,18.8090666667,8.57386666666
252.79,9.376,11.3712,22.6806666667,10.6813333333,18.0254,9.64693333333,26.0712666667,18.6206,8.19779999999
253.16,8.3122,10.3703333333,21.9654,9.75160000001,17.1801333333,8.65313333333,25.5008,17.8114,7.1718
253.54,7.4146,9.23713333333,21.1088,8.96626666667,16.4323333333,7.8142,25.2052666667,16.9438666667,5.923
253.91,7.29353333333,9.24399999999,21.0564,8.96333333332,16.4497333333,7.92466666667,25.3736666667,17.0896,5.54026666667
254.28,7.03133333333,8.96686666667,20.8236666667,8.79586666667,16.0026666667,7.63433333333,25.0730666667,16.8445333333,5.19913333333
254.66,7.36086666667,9.35006666667,21.1086666667,9.35006666667,16.3288666667,7.9712,25.6417333333,17.135,5.29226666667
255.03,7.02066666667,8.99893333334,20.6932666667,9.20246666666,15.777,7.52493333333,25.4689333333,16.7611333333,4.69813333333
255.41,6.04153333333,8.01953333333,19.9385333333,8.66013333334,15.0552,6.62053333333,25.0114666667,15.9262666667,3.57673333333
255.78,5.81753333333,7.87453333333,19.7258,8.58646666667,14.9367333333,6.51893333334,24.8840666667,15.8070666667,3.27
256.15,4.76193333333,6.8476,18.6273333333,7.60839999999,13.759,5.45893333333,23.8466666667,15.0040666667,2.2186
256.53,4.434,6.588,18.2338,7.15413333333,13.6373333333,4.759,23.653,14.7536666667,1.91313333333
256.90,4.286,6.65186666667,18.0350666667,6.95380000001,13.9272,4.48393333333,23.118,14.4666666667,1.9798
257.28,5.00013333333,7.31973333333,18.7489333333,7.89486666667,14.8358,5.13706666667,23.6576,15.137,2.77633333333
257.65,5.1466,7.4994,18.7791333333,7.87533333333,14.6876,5.1384,23.3474,15.1565333333,3.21413333333
258.02,4.99033333333,6.92573333333,18.1417333333,7.2966,14.2186,4.763,22.8452,14.7400666667,3.21266666667
258.40,4.8344,6.54013333333,17.9874666667,6.93146666666,14.1185333333,4.53966666667,22.8218666667,14.5276,3.28833333333
258.77,4.92766666667,6.47206666667,18.0057333333,6.75873333333,14.2672,4.59346666667,22.9256,14.5541333333,3.46226666667
259.15,4.93973333333,6.34386666667,17.8567333333,6.6574,14.246,4.51146666667,22.7260666666,14.5898666667,3.58966666667
259.52,5.18146666667,6.5706,18.0325333333,6.69226666667,14.4238666667,4.72893333333,22.7848666667,14.8229333334,3.89673333333
259.89,5.075,6.40713333333,17.9454666667,6.43933333333,14.3636,4.51146666667,22.7367333333,14.7116666667,3.767
260.27,5.26666666667,6.5678,18.1229333333,6.56966666667,14.5394666667,4.6208,22.9415333333,14.7740666667,3.93046666666
260.64,5.29793333333,6.53133333333,18.2805333333,6.598,14.6067333333,4.73166666667,23.1207333333,14.8394,3.99393333333
261.01,5.29186666667,6.47053333333,18.3110666667,6.55813333333,14.6548666667,4.7358,23.26,14.8604,4.00646666667
261.39,5.29486666667,6.482,18.1991333333,6.33193333333,14.6456,4.76573333333,23.3534666667,14.8514,4.02886666666
261.76,5.29953333333,6.49733333333,18.2162666667,6.32566666667,14.7682666667,4.71333333333,23.4997333333,14.9216666667,3.95606666667
262.13,5.23586666666,6.52513333333,18.2420666667,6.3818,14.7727333333,4.63433333333,23.6509333333,14.9773333334,3.9358
262.51,5.32046666667,6.66673333333,18.2842666667,6.3918,14.8666666667,4.72006666667,23.7894,15.0629333334,3.87013333333
