wavelength,Back_ChrSalm,Belly_ChrSalm,Breast_ChrSalm,Crissum_ChrSalm,Crown_ChrSalm,DorTail_ChrSalm,Patch10_ChrSalm,Patch11_ChrSalm,Rump_ChrSalm,Throat_ChrSalm,WingTip_ChrSalm
184.11,64.7130158731,206.837666667,103.703666667,74.3591111111,87.6067777778,81.1964444444,132.763444444,98.8603333336,92.5923611113,255.8405,131.623888889
184.49,61.1314920634,204.558333333,99.4303333333,84.0454444443,90.3133333333,86.6096666665,149.857444445,102.279222222,100.427361111,261.538666667,135.042666667
184.87,57.8530317462,194.151888889,82.31,90.0583333331,93.7133888889,78.3625555557,145.614,101.462,91.593527778,261.842055555,123.684444445
185.25,73.141111111,208.772,90.4972222222,97.0761111111,94.2982222221,81.8713333332,152.924111111,104.093666667,93.3478611112,258.187222222,128.070333333
185.63,51.4603174602,146.666666667,67.4444444444,66.6666666666,68.6666666667,57.5555555556,115.555555556,76.888888889,62.4999999999,185.888888889,86.2222222222
186.01,21.9436349206,100.974888889,41.5203888889,39.571,43.957,37.4268888889,86.7444444444,50.4872222221,39.1811111111,137.1345,51.8517777778
186.39,15.2251111111,104.988888889,37.0749444445,45.3515555555,53.2879444444,46.712,91.3831111111,66.4401111111,43.1974444445,149.206277778,57.1427777778
186.77,24.7475079365,84.0068888889,41.246,52.1886666667,50.8416666667,44.4444444445,78.6194444444,62.1213333333,50.6733611111,115.319944444,51.1783333333
187.15,27.8684920635,83.3333333333,32.2222777778,53.3332222222,47.6983888889,36.0317777778,78.5715555555,55.7142222222,49.6032777778,105.396944444,52.5395555556
187.53,14.5691904762,83.135,22.1229444444,48.016,38.7896666667,31.746,71.627,51.7858888889,38.8887500001,115.376888889,50.397
187.91,21.3741587302,82.3443333333,28.9955,50.0762222222,47.9451666667,34.0942222222,68.9496666667,58.2952222223,45.2433055556,95.5861111111,51.7503333333
188.29,24.4490952381,94.859,32.9187222222,50.2485555556,58.7893888889,39.967,78.4412222222,62.8523333333,45.6882222222,99.6685555556,50.2487777778
188.67,25.5706190476,100.520888889,32.0313333333,45.4863333333,58.8541666667,34.896,78.1253333333,60.4168888889,40.32125,94.097,46.007
189.05,33.4733809524,111.111111111,45.9967222222,45.4247777778,57.9247777778,44.9345555555,75.6536666667,66.6665555557,48.4069166667,89.7060555556,55.2288888889
189.43,44.3594285715,147.222111111,54.4642222222,59.3255555556,75.6945,68.6507777777,99.8016666667,87.3017777779,66.8651111111,108.730166667,56.3491111111
189.81,76.065984127,197.821222222,84.0958333333,93.681888889,114.379,112.418444444,142.483555555,115.250555555,101.307055556,149.128722222,79.0851111112
190.19,132.247301587,297.660888889,122.514722222,152.339,165.204666667,166.081888889,219.005777778,176.608222222,159.502861111,229.678611111,124.853777778
190.57,135.786222222,274.495111111,116.666611111,148.232333333,145.959611111,160.101,201.515222222,155.555333334,153.030333333,200.126444444,128.282777778
190.95,486.002825397,1048.48477778,395.454555555,558.585888889,530.808,597.979666668,725.252444444,579.797888889,553.535388889,751.010055555,451.515111111
191.33,-648.80952381,-1390.27777778,-589.583333333,-736.111111111,-712.5,-876.388888889,-980.555555556,-758.333333333,-696.180555556,-1041.66666667,-523.611111111
191.71,-236.432285714,-515.873,-230.687944444,-279.894222222,-278.5715,-322.751333333,-358.201111111,-270.899555556,-285.44975,-378.042277778,-168.783222222
192.09,-194.331095238,-363.492222222,-188.293666667,-220.238222222,-223.8095,-273.809555556,-280.158888889,-222.619111111,-227.381111111,-304.1665,-134.920555556
192.47,-213.553047619,-391.452888889,-206.837777778,-259.401666666,-248.931666666,-324.358777778,-310.683888889,-261.111111111,-261.43175,-333.333388889,-139.316111111
192.85,-259.722190476,-421.296333333,-243.9815,-327.314888889,-305.786833333,-405.555333333,-353.703777778,-305.555555555,-313.773166667,-396.527777778,-169.907555556
193.23,-226.436777778,-337.164777778,-197.318111111,-280.842888889,-261.302611111,-356.321888889,-299.999888889,-254.023,-272.413805556,-335.632111111,-135.632222222
193.61,-245.238111111,-364.102555555,-219.017166667,-314.529777778,-290.170944445,-394.871888889,-313.247777778,-268.376111111,-285.149611111,-367.948833333,-163.247888889
193.99,-149.886619048,-242.222333333,-139.523888889,-210.476111111,-181.904888889,-255.555555556,-192.698444444,-183.492111111,-188.96825,-237.301555556,-97.7776666666
194.37,-116.686,-192.683222222,-119.647555556,-179.674777778,-152.845555556,-209.214111111,-164.227666667,-150.948444444,-157.859194445,-190.243722222,-86.1788888888
194.75,-92.1269841269,-156.666666667,-100.888888889,-147.333333333,-136.222222222,-170.888888889,-138.0,-121.333333333,-128.388888889,-157.777777778,-71.7777777779
195.13,-124.867873016,-201.234333333,-125.6175,-180.247,-186.111055556,-235.493777778,-176.234555555,-148.148222222,-172.530833333,-202.469111111,-91.0496666667
195.51,-269.674126984,-356.725222222,-256.725277778,-366.082,-372.514722222,-448.537888889,-340.935666667,-317.543888889,-357.309888889,-386.842277778,-218.128777778
195.89,-896.145174603,-1058.73011111,-843.650722222,-1073.01577778,-1129.365,-1349.20655556,-1103.17466667,-993.650666667,-1088.49205556,-1152.38077778,-765.079222223
196.27,-489.15331746,-646.296444444,-468.981444444,-594.444444445,-612.037,-778.703777777,-608.333111111,-522.222111111,-622.453694443,-623.148,-466.666777778
196.65,-817.261904761,-1018.05555556,-749.305555556,-920.833333332,-970.833333334,-1237.5,-936.11111111,-844.444444445,-1011.11111111,-980.555555556,-838.88888889
197.03,-300.226746032,-382.539777778,-268.783,-320.105888889,-335.185277778,-459.788222222,-361.904888889,-300.0,-376.719527778,-341.5345,-306.878222222
197.40,-199.829920635,-254.365222222,-163.293666667,-213.095444445,-216.865,-304.761777778,-249.999888889,-186.904666667,-248.809361111,-218.254,-224.206222222
197.78,-216.788873016,-280.341777778,-167.9485,-229.06,-216.239444444,-317.521222222,-263.675222222,-199.145222222,-261.858861111,-214.316277778,-241.880222222
198.16,-306.424761905,-378.306888889,-218.783,-310.052888889,-299.999888889,-430.687888889,-333.862333333,-260.317444444,-349.867833333,-271.693277778,-339.153555555
198.54,-490.135968254,-603.174444445,-337.698277778,-476.190444444,-453.174611111,-672.222222222,-476.190444444,-391.269888889,-544.44425,-400.0,-530.158888889
198.92,-419.153285714,-537.777777778,-274.4445,-387.407444445,-328.518666666,-577.037,-400.000111111,-305.185111111,-462.407444444,-334.444444445,-440.740666667
199.30,-321.637460317,-426.900666667,-253.216444444,-304.678333333,-242.982444444,-432.748444445,-325.146111111,-251.462,-372.514583333,-255.263222222,-333.918111111
199.68,-280.714285714,-431.111111111,-229.166666667,-291.111111111,-239.166666667,-397.222222222,-267.777777778,-216.111111111,-330.555555555,-192.5,-286.111111111
200.06,-251.473968254,-371.428333333,-189.682555555,-258.730111111,-193.650888889,-353.968111111,-211.111111111,-179.894111111,-280.291138889,-139.153388889,-244.444333333
200.44,-268.838761905,-374.269,-198.830222222,-253.216333333,-199.707666667,-352.631555556,-180.117,-161.988333333,-266.520388889,-114.035,-256.140222222
200.82,-141.799031746,-213.168666667,-93.2099444446,-137.860111111,-91.9755555557,-197.530666667,-83.9503333333,-57.2017777778,-136.214055556,-30.246888889,-132.921888889
201.19,-81.2260634921,-152.107555555,-59.0037222222,-101.915777778,-34.866,-131.801,-8.0459999999,-14.9424444444,-72.5095277779,18.0074999999,-90.0381111112
201.57,-35.8566825398,-77.7778888889,-25.6411111112,-45.584,6.41033333333,-80.057,28.2052222222,20.7976666667,-21.5098888889,47.0085000001,-19.0882222221
201.95,-11.2044285715,-38.7801111111,-7.84322222223,-12.4181111111,17.6471666667,-46.1875555556,39.4335555556,28.3223333333,-3.9217222222,55.664388889,-2.83233333343
202.33,4.97831746034,-13.2997777778,4.71383333333,5.55555555557,28.7878888889,-23.9057777778,39.2255555555,37.3737777778,13.6364166667,54.5453888888,17.5082222223
202.71,7.01422222222,-9.60955555553,3.07794444444,10.6606666667,23.7237777778,-22.8227777778,33.1831111111,34.6846666667,15.8033888889,52.9277777778,18.7685555556
203.09,9.76392063493,2.32533333333,5.42644444446,17.4418888889,20.8655555556,-15.6331111111,33.7211111111,34.8837777778,15.213,63.3720555557,22.7391111111
203.47,6.25366666668,-1.071,4.41766666667,14.5916666667,17.4698888889,-24.2304444445,34.1366666667,33.0656666667,18.1058888889,67.1352777779,21.8206666667
203.85,6.83749206347,5.9828888889,2.442,15.6287777778,20.5127777778,-23.6872222222,27.3502222222,30.6471111111,15.2013611111,54.3347222222,12.9426666667
204.22,20.4585396826,12.5926666667,11.3579444444,21.8516666667,26.8516666667,-19.6295555555,34.3211111111,39.6295555555,19.1975,59.8148888889,20.4938888889
204.60,17.5999206349,8.547,10.1952777778,18.9254444444,23.7484444444,-21.4896666667,25.3966666667,38.2173333334,12.6069166667,59.3405555556,17.3382222222
204.98,-2.0562857143,-2.14666666667,-6.3762222222,7.82833333333,11.6161111111,-40.6565555556,10.4795555555,30.4294444444,-3.12516666668,50.8206111111,5.93444444443
205.36,-23.0352222222,-18.9703333333,-18.6313888889,-2.98100000001,-6.84277777777,-66.9376666667,-13.8211111111,20.4606666667,-23.2383611111,45.5963333333,-4.607
205.74,-52.3808888889,-51.3227777778,-47.1783333333,-32.0985555556,-45.7671666667,-110.582,-42.5043333332,-2.29266666667,-55.7758888889,42.4162222223,-44.9734444445
206.12,-39.3694920633,-27.856,-25.8999444444,-17.9968888889,-28.2471666666,-76.6822222221,-31.9248888889,10.0155555556,-37.4805555555,50.782388889,-19.5617777778
206.50,-45.4774285714,-17.1077777778,-23.5450555556,-16.5784444444,-28.2187777778,-82.3634444445,-29.1007777778,13.2275555556,-42.7690555555,62.257611111,-19.4003333333
206.87,-41.4224761906,8.974,-2.56416666667,-1.06844444447,-5.44861111113,-79.9144444445,-8.7607777779,40.8120000001,-25.3205277778,94.871611111,-5.12833333333
207.25,-42.0105238096,25.4320000001,14.0741111111,-5.18511111113,7.6542222222,-81.7284444445,0.7409999999,55.0616666666,-14.8766666667,117.777722222,2.9631111111
207.63,-28.1237142857,58.4044444444,43.4471666667,9.1167777778,22.6496666667,-76.3533333332,17.663888889,82.3362222222,-6.19655555558,153.703888889,31.6241111111
208.01,-3.8028730159,82.4072222221,69.0971111111,31.25,41.2036666667,-42.3612222221,44.4444444444,85.8795555556,12.6159444445,166.3195,68.9813333333
208.39,-2.20466666657,73.2511111111,65.6380555555,38.0658888889,42.0782222222,-33.539,43.6214444444,83.9506666669,26.2860277778,165.1235,73.4566666667
208.77,-4.29495238087,78.4313333333,70.3703333333,39.6514444445,46.6231111111,-33.7691111111,55.5556666667,78.6493333333,36.1110833333,174.509888889,81.6995555556
209.14,21.560825397,104.629555556,93.5185555556,49.0741111112,74.9999444443,-6.48155555557,80.0923333333,91.8981111112,57.0600833334,195.139,109.259444444
209.52,29.7808095239,136.243333333,115.873111111,71.4287777776,91.4021666665,15.3441111111,108.994666667,110.053,79.6956666667,219.179944444,130.423444444
209.90,44.0801111111,121.675777778,109.107388889,78.3241111109,101.093,39.3442222222,100.000222222,102.185666667,86.8396944444,170.947388889,123.315111111
210.28,52.5062380952,169.590555556,149.269,103.801222222,142.105166667,29.5321111111,139.766,138.011777778,118.274861111,257.017555556,177.777666667
210.66,88.2396825397,263.131555555,248.232166667,185.858555556,239.393888889,40.9092222222,221.717111111,225.252333333,204.293055555,431.0605,291.919222222
211.03,62.448904762,168.571444444,156.190444444,134.920555555,153.1745,36.508,164.444444444,150.476222222,123.730111111,283.968222222,202.222333333
211.41,89.3697777776,186.868777778,174.410833333,173.400777778,167.676833333,55.8922222221,198.989777778,173.737444445,155.134638889,298.653055556,234.343444444
211.79,69.4960793651,140.821444444,123.309111111,135.265888889,128.864777778,43.4781111111,147.342888889,134.299444444,118.599,207.004777778,163.768222222
212.17,87.1374761903,199.616888889,177.969388889,218.007888889,190.613,59.387,216.474888889,200.383222222,182.183805555,299.808611111,226.819777778
212.55,65.181857143,191.039444445,166.666722222,201.792,179.749111111,54.1219999999,207.885333333,179.211555555,158.602277778,268.996555556,198.207888889
212.92,62.5037936507,136.687333333,122.012555556,140.041888889,133.123833333,57.8614444446,133.123666667,135.220111111,118.134222222,175.891055555,143.815222222
213.30,55.1723809525,127.011777778,115.517055556,127.011666667,113.697277778,47.5093333333,123.179888889,119.923333333,104.693611111,165.708777778,135.440666667
213.68,62.2624285714,111.111111111,106.025222222,112.519444444,111.737111111,51.9564444444,114.554222222,106.416222222,91.2362222223,147.104888889,116.432
214.06,77.8499999999,124.747555555,122.7275,127.777777778,127.356888889,58.9226666667,127.272666667,122.559111111,99.1163055557,166.414166667,134.343666667
214.44,64.9776507937,108.404555556,103.489944445,107.977333333,108.333333333,47.0083333333,111.253666667,103.846111111,81.8375277776,136.609611111,110.541555556
214.81,70.3325555556,111.508,108.862333333,101.322777778,108.068722222,55.5555555555,113.095333333,105.423333333,86.4417777777,134.722166667,111.904888889
215.19,68.4548412699,112.388333333,108.876166667,96.6794444444,100.063888889,56.1942222222,98.9783333333,101.788,84.003888889,125.351333333,104.725666667
215.57,64.410952381,120.760222222,118.713555556,102.485333333,107.968,56.7254444444,94.7366666667,105.409444444,86.6958333332,137.280555555,112.426777778
215.95,54.387,120.987666667,120.833333333,93.8272222223,105.0155,51.6974444445,78.8578888889,98.3024444444,78.3178888889,137.422666667,103.240555556
216.32,50.3193809524,101.277222222,104.278555556,76.5007777777,90.8045555556,49.1701111111,72.5413333333,85.0575555557,68.5187777779,123.946333333,89.0166666668
216.70,64.1270952381,122.074222222,125.333277778,91.851888889,104.222166667,61.4815555556,78.3701111111,102.370333333,80.9999444443,151.111277778,104.592777778
217.08,75.0062698411,146.560888889,144.268111111,105.996555555,114.197444444,67.5483333333,91.7107777778,110.758444445,92.5485555554,176.102333333,119.047555555
217.46,69.7902857144,144.085888889,137.007222222,106.451444445,109.408555556,62.9033333333,79.3906666667,107.168555556,90.6361388889,171.684611111,105.018111111
217.83,61.7579365079,153.909333333,140.843722222,112.345777778,99.177,59.8763333333,82.9218888889,107.407555556,98.6111111111,185.082444444,113.168666667
218.21,60.4419047619,173.856333333,143.246055555,120.697,94.9889999999,68.8453333333,88.0176666667,111.329,105.9915,191.285388889,118.954444445
218.59,68.4807301588,185.033777778,155.102055555,139.909222222,100.907222222,84.3536666668,93.4242222222,122.675666667,118.367194444,200.453388889,129.478222222
218.97,46.1493968254,156.996,127.983555556,128.806555556,88.5803888888,73.251,63.9915555556,102.057777778,95.8848333334,178.395,108.024666667
219.34,62.9629365079,176.852,154.282388889,147.685333333,113.773166667,87.7314444443,73.3794444444,116.666777778,116.145861111,217.013888889,130.555555555
219.72,47.044952381,164.302666667,135.579222222,123.404444444,94.4444444443,71.6312222222,69.267,91.2528888889,89.2435555554,196.690166667,109.219777778
220.10,70.4761428571,235.555555555,211.851944444,201.111222222,149.259333333,116.666666667,147.036888889,140.740777778,151.203638889,304.629611111,172.222111111
220.47,118.603174603,297.777777778,270.0,281.333333333,201.555555556,165.333333333,171.111111111,185.777777778,209.666666667,371.111111111,243.555555556
220.85,90.1357936507,183.068555556,169.576611111,173.809555556,146.164111111,116.402111111,120.634888889,120.634888889,144.047583333,224.471,164.021
221.23,92.1628095238,158.102,160.0695,158.796222222,135.416666667,106.944333334,121.990555556,117.129666667,129.398055556,208.564833333,164.120555555
221.61,101.298603175,169.192111111,180.050388889,175.757666667,160.227277778,119.949333333,139.646222222,130.050444445,142.866388889,230.429222222,190.404111111
221.98,130.952333333,192.424222222,203.408944444,196.212,190.530222222,138.131222222,155.808,161.616111111,163.068138889,252.904055556,216.666666667
222.36,186.224412698,243.650888889,298.015833333,273.412777778,284.722111111,196.428444445,231.745777778,209.127,225.099194445,370.635,323.016
222.74,434.761904762,560.0,773.333333333,626.666666667,718.888888889,438.888888889,588.888888889,460.0,557.777777778,953.333333334,797.777777777
223.11,315.767111111,389.629555556,495.925777778,405.185111111,471.111055555,264.444333333,458.518444444,301.481333333,367.592611111,605.926055555,542.222333333
223.49,494.532587302,624.691111111,761.111277778,665.432000001,759.876666667,398.765333333,811.111111111,472.839444444,541.049305556,938.271611111,927.160333333
223.87,619.954714286,785.714222222,872.222222222,869.841333333,1021.42855555,506.349111111,1028.57144444,676.190555556,688.492083333,1219.04766667,1171.42855555
224.24,422.618888889,537.036888889,559.259277778,546.296333334,644.4445,370.370444445,639.814777778,464.814777778,437.500055556,764.815,760.184999999
224.62,-532.426444444,-731.745888889,-773.015888889,-655.555555556,-923.809555556,-449.206444444,-993.650666667,-650.793555555,-544.841305557,-1027.77777778,-1120.63488889
225.00,-74.4898730159,-142.063444444,-125.396777778,-124.206333333,-163.491944444,-68.6506666667,-214.285666667,-96.4284444443,-82.5395833332,-207.143,-236.111
225.38,-50.1587301588,-159.111111111,-133.777777778,-124.0,-167.777777778,-61.3333333333,-208.888888889,-96.0,-78.8888888889,-199.333333333,-240.444444445
225.75,-261.587301587,-528.888888889,-461.111111111,-416.666666667,-511.666666667,-315.555555556,-648.888888889,-372.222222222,-312.5,-573.888888889,-702.222222222
226.13,-159.74031746,-405.050444444,-383.333388889,-275.757666667,-412.121222222,-249.494666667,-516.161666667,-271.717222222,-206.313166667,-452.525277778,-580.808111111
226.51,-703.174603177,-2016.66666667,-1952.77777778,-1277.77777778,-1933.33333333,-1216.66666667,-2350.0,-1383.33333333,-831.944444446,-2386.11111111,-3005.55555556
226.88,221.163968254,442.592777778,372.685222222,304.629666667,362.962888889,304.629777778,436.111,357.407333333,187.268611111,457.870333333,627.777888889
227.26,-711.904761903,-1252.77777778,-1213.88888889,-813.888888889,-1026.38888889,-850.000000001,-1177.77777778,-1025.0,-600.0,-1387.5,-1800.0
227.64,-41.505015873,-123.456888889,-124.896944444,-41.5637777777,-85.5968333334,-66.6668888889,-104.527,-74.4854444444,-34.3620277778,-148.559777778,-197.119444445
228.01,-19.8235555556,-55.3084444446,-79.7528888889,-16.5433333333,-33.4567222222,-28.395,-51.1112222222,-27.9012222222,-11.7285833333,-85.679,-114.321333333
228.39,-14.8853492064,-41.4814444446,-71.3580555556,-20.7407777778,-28.0246111111,-19.2592222222,-40.4935555555,-18.7654444445,-6.54305555558,-83.3333333333,-97.0368888889
228.76,-23.114952381,-50.9258888888,-76.388888889,-39.3520000001,-39.1204444444,-37.2685555555,-36.3425555556,-24.3057777778,-13.5994444446,-106.018444444,-94.6761111111
229.14,-16.1501587301,-31.9224444445,-66.5786666666,-28.0423333333,-31.9222777778,-26.4551111111,-19.5767777778,-20.8112222222,-15.4760555556,-84.7440555556,-63.3155555556
229.52,-13.9390634921,-26.0536666667,-50.0,-26.8198888889,-29.9488333333,-21.2005555555,-18.7741111111,-12.899,-12.7394444445,-67.9437222222,-43.6785555555
229.89,6.42792063492,-0.0917777778,-21.7172222222,-7.16266666667,-7.89727777777,0.00011111109,-3.214,6.24422222223,4.61433333331,-37.9248888889,-17.8145555556
230.27,9.2556031746,1.8768888889,-12.9502222222,-4.955,-2.70277777778,5.33022222223,-2.62788888889,11.4864444444,7.92033333333,-29.8423888889,-11.862
230.65,13.0439047619,4.11766666668,-4.80394444444,0.19600000001,2.35283333333,9.47722222222,0.0653333333433,15.9476666667,11.3070833333,-19.5099444444,-3.52944444444
231.02,17.2347301587,6.92166666668,-0.6375,2.91444444444,3.06627777778,12.8108888889,3.58222222221,18.8828888889,13.6005555556,-14.1468333333,1.88211111112
231.40,20.5723968254,8.05244444446,-0.187166666667,3.49566666667,4.83772222221,13.608,5.30566666668,20.7863333333,16.9163611111,-11.8289444444,1.37322222223
231.78,15.7564761905,5.02211111111,-2.41688888889,-3.13866666667,0.156888888888,7.3448888889,3.38955555557,14.0616666667,11.3936388889,-14.4380555556,-2.07155555554
232.15,9.95749206348,-0.452,-6.58911111111,-9.10855555557,-6.65372222222,1.80866666668,0.129333333323,8.39777777779,4.9581111111,-17.1832777778,-5.42644444444
232.53,10.7696349207,-0.710666666667,-6.07238888889,-8.0748888889,-4.48966666667,2.97155555554,1.55044444446,9.94822222222,5.62019444447,-16.6991666667,-8.01044444446
232.90,12.0131269841,0.06311111111,-5.83972222222,-6.12377777777,0.347111111113,3.851,3.47200000001,11.6794444444,5.61869444443,-11.2690555556,-7.6388888889
233.28,8.46230158729,-6.15788888889,-11.0107777778,-12.182,-3.1125,-2.67733333332,-3.01222222221,5.28777777778,3.19613888887,-15.4953333333,-15.9304444445
233.66,12.733,3.886,-0.0607777777767,-1.09277777778,5.06972222222,2.85366666667,6.37522222223,10.7467777778,9.38074999999,-5.52527777777,-9.16833333333
234.03,8.15734920635,-1.01011111111,-1.69338888889,-1.54488888889,1.93105555556,1.66366666667,8.02155555553,7.72422222223,6.52094444443,-5.28805555557,-12.0022222222
234.41,2.97187301587,-4.93844444445,-3.79633333333,-4.25911111111,-1.41972222222,-2.71622222222,8.14833333332,3.8271111111,2.608,-6.79005555553,-14.1974444444
234.78,0.866666666664,-6.00244444446,-5.93872222222,-5.68322222222,-2.42655555555,-2.55444444443,7.66266666666,2.80977777777,0.846222222211,-8.97194444447,-13.9211111111
235.16,0.168460317461,-2.54511111111,-6.14522222222,-3.60022222222,-0.838,-2.04855555556,7.26266666667,5.0278888889,1.5053611111,-9.09394444443,-11.6075555556
235.54,0.904714285713,-2.82122222222,-2.70583333333,-2.07255555556,-0.4605,-1.38166666666,9.95988888888,5.41144444443,3.33905555556,-9.15383333333,-6.67833333332
235.91,0.86888888889,-7.63511111111,-4.99683333332,-3.28988888889,-0.4035,-0.806777777777,9.86966666667,6.89011111111,4.1588611111,-10.3042777778,-8.566
236.29,3.43911111111,-6.76866666667,-4.21466666666,-3.06522222222,2.49044444444,2.36288888889,12.7075555556,9.25922222222,5.6991388889,-6.80061111113,-6.1941111111
236.66,4.82093650792,-3.95955555556,-3.51666666668,-0.886555555553,3.69388888889,4.13711111111,15.4254444444,11.6431111111,7.50597222222,-3.45755555557,0.709111111111
237.04,8.04120634921,-0.281999999999,-0.282055555556,4.23000000001,5.80922222222,10.2653333333,17.8228888889,14.6078888889,10.4060555555,-1.49455555553,6.31688888889
237.41,10.4171269841,4.29922222222,3.79677777779,8.76611111112,7.42605555556,14.2381111111,21.4406666667,18.5932222222,12.7163333334,4.18755555557,10.4967777778
237.79,14.6114603175,5.73122222221,4.12277777778,11.813,11.2574444444,16.9006666667,23.7425555555,22.6901111111,16.97375,7.25144444444,15.4387777778
238.17,15.4139047619,9.36255555554,5.24522222222,10.8292222222,12.7466111111,16.7514444445,21.1504444444,22.8991111111,17.2165555555,7.69877777777,18.8378888889
238.54,19.3424920635,17.778,8.51849999999,15.2381111111,15.8464444444,20.8995555555,24.6557777778,26.4551111111,19.7750833333,12.0633333333,23.1745555556
238.92,18.8640793651,18.2276666667,9.87127777779,14.8302222222,14.3020555556,18.2735555556,21.5796666667,24.0128888889,18.0669166667,13.2921666667,22.5893333333
239.29,17.5106666667,15.5466666667,7.55377777777,11.682,12.0112777778,15.4588888889,18.4014444444,21.7391111111,15.0856666666,10.1890555556,19.719
239.67,18.1681269841,17.1894444444,9.56249999999,12.7371111111,13.1242222222,15.3698888889,18.6604444445,21.2155555555,15.3793333333,11.7306111111,17.4987777778
240.04,16.0908412698,16.8022222222,8.97694444443,11.7546666667,10.9926111111,14.3971111111,16.4294444445,19.9186666667,13.8803333333,9.70522222222,17.2424444445
240.42,13.8107301587,14.3188888889,7.7136111111,11.286,9.36122222221,12.1902222222,13.7065555556,18.0518888889,13.2691388889,7.80127777778,14.5812222222
240.79,10.9486666667,11.0858888889,5.5808888889,9.84833333332,6.52772222221,10.2525555556,10.505,14.3685555555,10.2715277778,6.49005555556,11.1617777778
241.17,9.07109523811,8.73488888889,4.7296111111,7.98822222222,4.60488888889,8.73522222222,8.80277777778,13.2608888889,8.94994444447,5.20483333333,9.73066666667
241.54,5.78433333333,5.25988888889,1.80438888889,5.09677777778,1.75327777778,6.789,6.58533333333,10.9887777778,6.57497222222,2.0285,7.76755555555
241.92,3.86123809524,2.96033333333,0.274166666667,2.33933333332,-1.01438888889,5.88466666667,4.44077777778,8.114,3.71883333333,0.25577777778,6.378
242.29,3.98615873016,1.877,-0.100611111111,2.11166666667,-0.678611111112,5.91611111111,4.10611111111,8.07766666668,3.24280555556,-0.0752777777767,6.28455555556
242.67,2.52034920635,-0.808333333333,-2.18744444444,-0.206111111113,-2.19527777778,4.327,1.75933333333,6.40344444445,2.06444444445,-1.79116666667,5.072
243.05,1.08457142857,-2.53088888889,-3.58794444444,-1.74377777778,-3.77322222222,3.21,0.54011111111,4.87655555555,0.401444444444,-3.21744444444,3.37966666667
243.42,0.46106349206,-3.63988888889,-3.58083333333,-1.94522222222,-4.13361111111,2.99122222222,0.280222222223,4.31777777778,0.011000000001,-2.925,3.22722222222
243.80,-1.62676190476,-6.13077777778,-5.77394444444,-3.80088888889,-6.00705555555,1.39788888889,-2.46122222222,2.88344444445,-1.84222222222,-5.03138888889,1.52922222222
244.17,-1.77690476191,-5.54833333333,-5.62683333333,-3.509,-5.86211111112,1.455,-2.824,2.72433333333,-2.06480555555,-4.10805555556,1.75444444444
244.55,-2.40965079365,-5.67322222222,-6.0895,-4.03677777778,-6.55422222221,1.193,-3.45433333333,2.28888888889,-2.91644444444,-4.82716666667,1.56744444444
244.92,-1.88957142857,-4.82833333333,-4.90077777778,-3.201,-5.09255555556,1.627,-3.28044444444,3.54488888889,-1.87833333333,-4.10044444445,2.10277777778
