wavelength,Back_SpoColm,Belly_SpoColm,Breast_SpoColm,Crissum_SpoColm,Crown_SpoColm,DorTail_SpoColm,Patch10_SpoColm,Patch11_SpoColm,Patch12_SpoColm,Rump_SpoColm,Throat_SpoColm,WingTip_SpoColm
190.19,31.9698,41.5655333333,46.4141333333,44.394,44.4444666667,41.1111333333,52.0708,58.7374666667,43.2828,51.9303703704,55.8585333333,54.2423333333
190.57,37.8240666667,44.2130666667,50.5556,47.7776,50.1389333333,44.2592666667,54.4444,58.9815333333,45.8334,54.0946148148,57.8705333333,58.1018666667
190.95,47.8866,49.9347333333,60.2614666667,56.0348,56.9064,49.8475333334,60.3920666667,62.8322,50.8931333333,59.7288222222,62.8322666667,63.6164666667
191.33,53.7037333333,56.0906666667,64.2386666667,62.2632666666,61.3580666667,55.1439333333,65.1852666667,67.0781333333,56.0904666666,65.2491703704,65.9259333333,68.2305333333
191.71,56.2916666667,57.5,65.25,64.5416666667,64.5833333333,59.5833333333,67.9583333333,69.8333333333,59.5,67.6203703704,70.375,69.9583333333
192.09,58.1981333333,59.3243333333,69.2794,67.5674666666,66.2161333333,60.2252,70.6306000001,71.6668,61.3514666667,70.5554888889,72.8377333333,72.5675333333
192.47,65.2632666667,65.4824666667,74.6930666667,72.8508666667,71.272,65.0,77.0176666667,75.9210666666,66.3596666666,76.8032,78.1579333333,77.0613333333
192.85,61.7808666667,62.5114,70.7762666667,69.8630666666,68.5387333333,62.7397333333,74.0637999999,72.4200666667,60.6391333333,72.7499037037,75.1597333333,72.8312
193.23,53.9436666667,57.9342666667,65.2582,63.8498,63.3802666667,55.4929333333,68.8263333334,68.4038666667,53.9907333333,67.9341777778,69.5304666667,65.6337333333
193.61,49.2308,56.5385333333,61.3247333333,58.9743333333,59.3162666667,52.6922666667,63.3334,61.4955999999,49.7008,64.1927333333,64.9571333333,59.4017333333
193.99,48.0312666667,55.0876666667,59.2592,57.3099333333,57.7388666667,50.8380666667,59.805,57.9727333333,47.7972666667,59.298237037,61.9884666667,53.2163333333
194.37,44.8965333333,51.6008,53.4839333333,53.3334,53.597,48.6628666667,56.0828,54.9904666667,45.3861333333,54.902437037,57.5518,48.437
194.75,40.9766666667,48.8746666667,50.3184666667,51.4226,49.0871333333,45.4777333333,53.7153333333,53.2483333334,42.3778,52.441637037,55.7113333333,45.9873333333
195.13,37.4712666667,47.3564,48.5516666667,49.0575333333,47.5402666667,43.4482666667,51.5861333334,52.4138666667,40.8735333333,50.8301703704,53.931,43.4022666667
195.51,34.8717333333,44.2052,45.6409333333,46.2565333333,45.0768,40.6154,49.5383333334,50.8718666666,37.7948,47.3674666667,53.9485333333,39.0770666667
195.89,34.6666,44.9230666667,48.3078,44.3589333334,44.1026666667,37.4358666667,48.7179333333,50.3589333333,37.5384666667,47.6182740741,49.2819333333,37.2819333333
196.27,33.8421333334,42.5444,43.3078666667,39.4402,40.051,36.0814666667,46.6666000001,47.4300666667,34.0458666667,43.6585111111,45.6998,33.1806
196.65,29.7778666667,35.8888666667,39.5,33.2778,34.6110666666,32.5554666667,41.3890000001,42.6112,28.6666666667,37.4753555556,41.7776666667,27.3888666667
197.03,36.6092,42.7587333333,48.0458666667,37.7586666667,40.5172666667,38.5057333333,47.1264,49.5402,36.7815333333,43.9974,50.1149333333,34.5977333333
197.40,33.3334,41.0691333333,48.9936666666,36.0378666667,36.1006,35.4716666667,43.9622000001,47.7986666667,34.8428666667,42.4668814815,50.6917333333,30.6289333333
197.78,36.2666666667,40.3333333333,52.2,37.3333333333,38.7333333333,35.0,45.1999999999,49.2,40.0666666666,42.4444444445,51.9333333333,32.7333333334
198.16,40.8935333333,45.8419333333,53.1958666667,39.5875999999,38.4191333333,33.6082,47.5601333334,52.7836,43.0240666666,46.7430888889,56.3573333333,38.0757333333
198.54,39.4697333333,46.5151333333,56.7424666667,39.1666000001,37.2728666667,29.7728000001,47.7272666667,51.2878666667,42.803,49.6632592593,59.7727333333,41.8939333333
198.92,34.0824666667,46.0674,52.9588666667,34.9813333334,35.4308,25.2433333333,48.0897333334,49.2135333333,38.4268666667,43.3124296296,61.573,39.2508666667
