wavelength,Back_HapUnim,Belly_HapUnim,Breast_HapUnim,Crissum_HapUnim,Crown_HapUnim,DorTail_HapUnim,Patch10_HapUnim,Rump_HapUnim,Throat_HapUnim,WingTip_HapUnim
199.30,380.446905724,624.242533333,535.1514,302.4244,588.788,455.151333333,503.0304,541.035438889,623.106208333,472.121333333
199.68,187.215647811,328.6954,262.898533333,149.855066667,287.536233333,203.7682,228.9854,255.398597222,295.289833333,237.3913
200.06,125.326599327,257.866666667,203.466666667,87.7333333333,221.733333333,154.933333333,155.466666667,184.844444445,232.0,174.133333334
200.44,129.586489899,222.5,180.0,90.8333333335,193.333333333,145.0,141.041666667,173.402777778,202.604166667,166.666666667
200.82,169.454545454,297.066666667,222.666666667,114.933333333,249.333333333,184.533333333,181.6,233.311111111,272.166666667,253.6
201.19,180.671296296,390.833333333,258.333333333,103.333333333,299.166666667,209.583333333,198.333333333,304.305555556,351.041666667,305.208333333
201.57,165.464859596,320.289666667,224.058,117.971,235.217533333,178.840733333,165.507266667,262.1497,276.811583333,249.130433333
201.95,166.995286195,306.4,232.266666667,119.2,215.866666667,184.8,159.733333333,252.966666667,266.833333333,233.733333333
202.33,189.38393064,318.271666667,239.2592,165.679066667,230.987566667,216.2962,195.061466667,274.969119444,273.611333333,244.814733333
202.71,207.404581482,346.3888,264.444333334,167.777733333,239.861233333,236.111333333,201.666733333,299.456052778,282.986,275.138933333
203.09,254.878948485,409.2064,330.793666667,202.2222,283.968133333,288.5714,242.5396,358.478772222,325.793875,320.317466667
203.47,487.461279461,838.000000001,627.999999999,356.666666667,510.333333333,559.333333333,457.333333333,708.472222223,634.166666666,644.333333334
203.85,447.806299663,703.589666667,560.0,331.281933333,453.589766667,524.615133333,420.5128,621.175266666,551.281958333,552.051366667
204.22,472.909239057,687.111066667,583.5556,401.333466667,462.222266667,531.555533333,446.6668,629.870455556,549.166541667,544.666666667
204.60,515.663342087,713.3332,636.888933333,442.6666,502.888933333,579.111133333,501.777733333,675.888825,569.166625,554.889
204.98,327.595959596,439.2,410.666666667,281.6,318.8,353.6,326.4,413.833333334,360.333333334,326.8
205.36,282.402449158,369.411733333,343.725533333,246.666533333,270.686333333,302.941066667,282.352933333,346.674777778,300.122625,284.6078
205.74,243.646226936,307.7272,289.8486,223.0304,230.303166667,255.7576,250.757666667,297.127541667,253.03,240.985
206.12,198.693408418,245.965,232.046866667,178.830533333,194.268866667,206.666666667,203.742666667,245.326427778,199.488333333,200.3509
206.50,143.133301684,169.756133333,171.544666667,126.991866667,135.040766667,146.504,140.4066,173.058866667,141.463416667,149.105733333
206.87,138.387973738,158.768,159.347733333,126.4492,129.384166667,138.115866667,133.116,163.073716666,136.639541667,139.927433333
207.25,123.36207138,139.829133333,140.9686,116.6952,118.034066667,122.393333333,118.0056,143.915025,122.50725,126.8376
207.63,123.046346128,137.777866667,142.000133333,119.111066667,120.388833333,123.277866667,120.0,143.083211111,120.694541667,127.749966667
208.01,114.96183468,130.573,133.802066667,112.291733333,113.2813,113.4374,112.1876,134.620311111,108.952208333,118.698
208.39,108.540376431,123.0984,124.037533333,105.305266667,104.7417,104.741666667,106.0564,125.659261111,98.767625,112.605766667
208.77,100.193752189,115.2742,115.949466667,98.2700666667,96.7299000001,95.7806666667,97.7213999999,117.311933333,90.3481666667,106.265866667
209.14,99.0207444445,112.738933333,114.5648,99.6177999999,94.7558666667,97.1974666666,94.7348000001,119.054980556,87.4733750002,106.135766667
209.52,91.5541781145,103.651,105.1984,93.2144000001,89.2262333333,92.2619333333,89.1270666666,110.048041667,81.8700416667,98.2539000001
209.90,92.3102659932,105.987266667,108.280266667,93.0784666667,91.3586999999,92.5268000001,91.3800666667,111.548083333,83.0413333333,99.9151333334
210.28,95.0402508417,110.1962,111.416066667,97.1678,93.9650666668,95.6426666666,95.7735999999,115.782488889,87.9084166666,101.4595
210.66,104.225439057,123.4298,120.5798,105.120866666,104.178833333,104.251066667,106.231866667,125.767025,96.6183333332,108.9372
211.03,105.167973401,126.518466667,124.197666667,108.938266667,104.9382,108.6914,109.580133333,129.995861111,100.27775,107.7283
211.41,107.295748485,130.081266667,126.991933333,111.1112,105.230233333,109.5936,114.688266667,137.127325,101.998541667,109.512233333
211.79,103.702545791,121.322733333,118.5186,106.402133333,97.4338333334,107.248733333,108.4656,129.548025,98.97475,100.582033333
212.17,101.047072727,113.333133333,110.381733333,103.409533333,93.5368333333,103.715133333,108.855,124.718027778,98.5370416666,98.4478
212.55,104.589056566,117.248666667,112.0634,105.608466667,97.7777666667,107.1428,113.068733333,129.775075,104.266041667,100.1852
212.92,124.101021212,139.809466667,125.587266667,123.492133333,115.1747,126.8572,132.063666667,152.846561111,118.611166666,115.587266667
213.30,132.121880808,147.443466667,135.2104,130.2264,127.1199,134.886666667,144.207133333,158.772730555,121.601958333,123.754033333
213.68,122.084453872,135.111066667,126.389,123.111266667,116.722266667,119.278,134.1112,147.798666667,113.090333333,113.972333333
214.06,122.38650404,131.3978,122.1504,125.000066667,118.7634,118.1184,132.849466667,145.378536111,107.929958333,113.2794
214.44,133.766026936,140.183533333,133.883866667,136.574933333,128.593233333,130.0916,143.180533333,156.577425,112.155875,122.721666667
214.81,128.16196835,134.3732,130.336466667,132.354866667,123.1192,124.281466667,137.247733333,153.065819445,103.899041667,114.4035
215.19,127.323451515,133.5898,135.000066667,130.833266667,123.205166667,121.730666667,137.1154,148.699336111,102.88475,114.487266667
215.57,128.827675084,134.2086,138.114533333,133.939333333,123.1987,125.5892,136.902333333,147.149113889,100.420875,114.882033333
215.95,136.086191582,148.889066667,148.4722,143.541666667,134.652733333,130.7638,144.166733333,159.470491667,102.99475,127.569433333
216.32,151.959910101,169.3828,168.2304,160.5762,151.604866667,145.0206,158.189133333,177.579047222,109.722125,140.0822
216.70,161.744680808,182.4762,184.5714,171.9048,164.333333333,152.095266667,166.476266667,189.904780556,106.369,150.952366667
217.08,135.381558249,150.6828,160.8836,142.249,138.273033333,129.236866667,139.8394,157.797738889,91.516125,124.8192
217.46,129.368930976,149.918533333,157.804866667,137.561,129.918633333,127.5612,129.024266667,151.432941667,90.8537500001,116.829266667
217.83,138.926879798,164.4444,172.5926,145.833333333,139.6296,138.9814,134.444333333,158.348733333,93.2871666667,122.8704
218.21,135.547912458,164.131666667,178.403733333,139.624333333,135.211266667,143.004666667,126.666466667,155.555516667,98.88475,116.9014
218.59,125.955786869,151.453066667,165.2138,129.401733333,124.4872,133.1622,121.7096,139.914527778,95.1924166666,108.162333333
218.97,145.541088889,168.240733333,183.426,143.333466667,145.555433333,153.333533333,142.7776,159.749161111,114.236291666,127.546366666
219.34,134.269018518,152.7572,162.963,129.629533333,134.362133333,143.127666667,132.675,147.527358333,101.080041667,118.1893
219.72,144.121059933,160.365333333,175.433866666,138.173533333,146.5296,156.164466667,144.5662,159.010597222,112.614125,126.255766667
220.10,130.847952189,141.4636,157.1546,120.813,131.6668,134.3902,129.918733333,140.464083333,105.894166667,114.024333333
220.47,124.707508418,126.588333333,148.8628,110.823466667,122.902033334,128.313933333,122.588333333,133.065297222,100.392041667,109.608
220.85,109.759517172,108.508,130.412866667,98.8571333333,108.984033333,112.825466667,112.063466667,117.299052778,92.8175416666,99.1745666667
221.23,102.073872054,102.642733333,122.162066667,93.4533333334,103.903966667,106.066066667,108.468533333,110.525561111,89.6771666667,94.9248666667
221.61,98.7837053874,100.126866667,119.428466667,88.5715333333,101.492,103.428466667,107.809466667,109.730125,82.619,90.6666000001
221.98,113.226327273,110.957866667,139.770133333,96.1685333334,113.5632,122.452,122.222133333,126.075977778,93.9176250001,100.498066667
222.36,108.455115152,104.784266667,132.784266667,90.1176000001,105.6862,114.039133333,118.274666667,119.013113889,90.2450833333,96.1567666665
222.74,92.2972501684,90.1387333332,116.180466667,79.1666000001,90.5555000001,99.6528666667,97.7081999999,106.799797222,78.68925,81.8748666666
223.11,71.4897208754,75.0140666667,94.5659333333,64.986,70.2800333333,78.1513333333,75.7422666667,86.2861222221,63.27025,65.5181666667
223.49,70.8092124579,77.1187333333,90.7345333334,63.9547333333,68.5877333333,79.8305333333,76.4973333333,88.639411111,62.7824583334,64.9998333333
223.87,69.6018855219,76.6933333333,87.52,60.0,66.6666666667,75.8933333333,72.5333333334,84.3911111112,59.5333333333,61.8666666666
224.24,70.9738868687,78.7936666667,95.1111333334,64.6349333333,71.3334333333,86.4126000001,76.6984666666,90.1587749999,58.9284166667,60.1271
224.62,65.1557673401,75.1634000001,91.634,63.3988,64.2484333333,84.7713333333,67.9740666667,84.6651555555,55.4739166667,54.3790333333
225.00,60.8583063973,69.9617333334,90.4214,59.3103333333,54.7892,91.4177333333,59.3868666667,83.5408083333,50.9098333334,44.1378333333
225.38,60.4795057239,68.8889333333,89.1555999999,55.2889333333,44.5333666667,93.4223333333,49.6891333333,79.5777583333,47.6111666667,34.8889
225.75,70.3881498317,71.6017333333,92.2945999999,62.7704666666,52.1643666667,94.3720666667,60.8658666667,85.6313805556,59.1992916666,40.4329
226.13,59.5157828283,60.5064666667,76.54,50.1266666667,42.0254,80.6749333333,51.9832666667,73.9662611112,51.5295,31.9409333333
226.51,68.4725609428,65.4852666667,81.4346666667,55.0211333333,48.1012,88.3544,52.0674666667,82.7707222222,51.9515,35.5697
226.88,76.9804518519,71.0184,82.6851999999,55.9259333334,52.824,99.4442666667,55.7408,89.0740361111,54.8031666667,41.0184666667
227.26,110.423571044,89.7674,107.907,70.3875999999,60.4651333334,147.131733333,62.7906666666,120.239183333,70.8334166667,44.2634
227.64,124.789947811,95.8025333332,130.617266667,67.1605999999,36.2962666667,160.247066667,24.6911999999,113.806561111,71.6050833333,12.9628666667
228.01,110.153619529,48.75,112.5,17.9166666669,-43.75,193.75,-64.5833333333,96.5104166665,28.3854166667,-75.2083333332
228.39,60.4076619529,29.0740666666,54.4445333333,4.81486666668,-23.0555666667,82.9629333333,-22.5925333333,45.987625,30.0925833333,-25.2779333333
228.76,79.9880649832,46.6665999998,72.6882666668,11.8279333333,-8.70973333334,102.580666667,-7.95706666668,70.1791555557,40.7257083333,-24.0862333333
229.14,111.503037711,76.6667333334,98.5715333333,-19.0476000002,-49.2856333333,143.333266667,-81.4285999999,75.0991750001,66.3690416668,-119.047766667
229.52,97.5016835017,106.666666667,122.666666667,-172.0,-218.666666667,209.333333333,-361.333333333,66.8888888887,-0.833333333325,-359.333333333
229.89,10.0294612796,36.6666666666,38.75,-60.8333333333,-68.9583333335,75.4166666667,-133.333333333,11.7534722223,-6.77083333325,-116.666666667
230.27,-31.7845164984,7.4074,65.9259333332,-85.1851333331,-139.629533333,123.7036,-257.036933333,-11.3579722222,-50.0000833333,-249.629633333
230.65,-102.702020202,20.8333333332,1.40001077398e-10,-126.666666667,-198.75,125.0,-264.166666667,-71.8402777778,-96.3541666668,-279.583333333
231.02,285.331088216,-297.777933334,-100.000066667,260.000066667,501.111033334,-242.222133333,615.5556,201.666638889,177.777791667,729.999933333
231.40,-21.8053299663,136.923066667,61.5384666667,-22.5640666667,-72.8206000001,84.6150000001,-87.1795333334,-12.4784833333,20.8334166667,-122.564133333
231.78,3.74130841756,101.960733333,76.0783333333,-9.01966666661,-25.0980666668,98.8236666667,-49.8040666666,20.8006333333,38.7256666667,-54.3137666667
232.15,-15.9006734007,100.0,66.2500000001,-23.75,-32.5,70.4166666667,-76.2500000001,-4.40972222216,27.34375,-58.9583333334
232.53,346.792929292,-178.333333333,-11.6666666665,263.333333333,357.5,-96.666666666,491.666666667,288.819444444,104.166666667,436.666666667
232.90,-101.40066835,87.9999333334,-4.4444666666,-81.3333999999,-101.333233333,13.3334666667,-152.8888,-98.8146861113,-38.6111666666,-138.666666667
233.28,-12.4002003366,72.3810666668,30.4763333334,-11.1904666667,-24.1666000001,34.0475333333,-40.4760666667,-16.5276666667,3.72025000002,-42.2619333333
233.66,6.04630101008,59.9999333333,44.4444666666,1.21213333333,-12.8282,48.6870000001,-17.3736666666,4.35185833332,19.823375,-42.5253333333
234.03,-19.5049222222,44.9381333333,27.6543999999,-35.0618666666,-57.2839666667,13.0863333333,-67.4074000001,-34.7736527778,4.01245833334,-79.2592666667
234.41,-34.8136538719,34.524,7.14286666666,-48.0951333334,-71.7856333334,-4.04753333333,-99.0474666666,-37.7877027778,-6.99408333334,-98.5713
234.78,-33.5783003366,18.7876666667,14.9494666667,-34.5456,-56.5656333334,-9.49493333333,-90.1012000001,-27.8618277778,8.712,-89.1920000001
235.16,-43.2714097643,-10.2704,-7.02700000006,-43.2432666667,-62.162,-19.2792,-98.7386666666,-40.1727083333,-6.08120833332,-96.7566999999
235.54,-202.992424242,-160.416666667,-115.833333333,-200.833333333,-233.125,-113.333333333,-330.833333333,-199.704861111,-127.083333333,-324.375
235.91,-341.937610438,-262.424333333,-223.636333333,-295.757666667,-362.121166666,-183.636333333,-463.030266667,-319.899052778,-231.439291667,-530.303033333
236.29,-438.237928956,-314.073933333,-295.555666667,-330.370333333,-419.629766667,-194.073933333,-552.592666667,-398.302447222,-290.277708333,-665.9259
236.66,-221.542508418,-121.666666667,-152.083333333,-161.666666667,-183.75,-70.4166666667,-278.75,-188.645833333,-148.697916667,-370.833333333
237.04,-377.663299663,-270.0,-285.333333333,-274.0,-324.333333333,-107.333333333,-454.666666667,-332.222222222,-228.333333333,-603.666666667
237.41,-1124.02356902,-721.666666667,-873.333333333,-885.000000001,-890.833333333,-308.333333333,-1281.66666667,-909.166666668,-699.999999999,-1609.16666667
237.79,-442.222286532,-248.888866667,-350.370266667,-345.926,-310.0002,-107.407533333,-498.518666667,-372.160427778,-255.092625,-619.6296
238.17,-653.933864646,-326.666666667,-562.222133333,-470.000066667,-359.444533333,-71.1110666668,-658.888866667,-563.703641667,-411.111,-895.555566666
238.54,-134.389745118,-30.2778000001,-113.611133333,-94.1666666666,-57.0833333333,7.77779999992,-127.222266667,-133.044016667,-100.173458333,-189.444466667
238.92,-77.2131962963,-14.4762666667,-83.8095333333,-65.9047999999,-38.4762666667,18.8573333333,-77.5238666667,-96.0476027778,-75.0001250001,-121.428633333
239.29,-30.5525195286,3.69066666665,-34.2857333333,-30.8333333333,-9.76193333333,23.2142,-32.1428666667,-50.8930194444,-35.490875,-58.8096666667
239.67,1.61898451178,26.4394,-4.01513333334,-0.075866666674,14.5832333333,30.0758666667,0.909,-12.7208416667,-2.17795833335,-19.2802333333
240.04,2.37074410774,21.0714,-1.25006666668,-0.238066666674,13.8690333333,22.7975333333,0.595200000014,-8.30115555555,0.6325,-11.6070666667
240.42,8.74251717173,20.8982666667,5.15373333332,4.25526666667,15.0589666666,25.1064,4.96453333333,0.202961111118,4.16670833333,-0.30733333332
240.79,9.2574976431,16.0808666667,5.69693333332,4.64640000001,12.7273,22.7473333333,2.26273333333,0.341736111112,2.24733333334,5.21206666668
241.17,10.116023569,14.1844,7.4468,5.60286666668,14.6631333333,24.2197333333,5.31906666667,2.0390111111,4.72070833332,8.7411
241.54,9.81962255892,10.3988,6.72359999999,5.89753333333,12.1938333333,21.51,4.78633333335,1.10168055556,2.795625,9.27353333333
241.92,9.56531986531,9.28053333333,7.05046666665,5.63553333334,10.9591666667,20.5516666667,4.14873333334,1.97635277778,2.86275,9.24453333332
242.29,11.7603518519,8.99086666667,9.78593333333,7.86960000001,11.2741666667,21.0194666667,5.72880000001,5.11804444445,5.82325000001,11.9365666667
242.67,12.1750895623,7.88766666666,9.88373333334,8.66273333332,12.5387,22.0154,7.40306666667,6.08929444445,8.06679166667,14.1376
243.05,8.09082222222,4.24773333333,7.18093333333,5.42853333333,10.3237333333,17.943,3.6952,2.73734722222,5.52358333332,11.5237
243.42,5.71170841751,3.99220000001,5.92173333333,4.71826666666,10.1241333333,17.5548666667,2.73166666667,2.75704166667,4.47729166667,10.9550666667
243.80,5.86062592591,4.48053333334,7.35313333334,5.07673333333,10.3070333333,19.1506666667,2.47513333333,3.39653333334,5.05866666668,12.1137
244.17,7.58105723905,7.17820000001,8.88333333334,6.88826666667,11.5003,21.6196666667,4.09180000001,4.22615833333,6.085,13.7680666667
244.55,9.57742760943,9.60126666667,11.292,8.62833333333,13.6760666667,22.3924,6.76246666667,6.11711666667,8.70225,15.9647666667
244.92,11.8074858586,11.9942666667,13.4226666667,9.91073333335,15.0595666666,24.0772,9.2262,8.72224999999,11.5791666667,18.0208666667
245.30,11.5349737374,11.6869333333,12.9419333333,9.43313333334,13.3466666667,22.2806666667,8.00253333332,8.59248888888,10.6695416667,17.699
245.67,10.532776431,10.1319333333,11.9424666667,7.58993333333,11.7685,20.5156,6.83433333333,8.20899722221,10.5440833333,16.6307
246.05,9.04271548821,8.50100000001,9.74193333334,6.39206666667,9.75836666667,18.8904666667,5.38166666666,7.2706861111,9.321625,15.1015333333
246.42,8.53236734007,8.63099999999,8.81420000001,5.944,9.16023333333,18.3306666667,5.19086666666,7.5721888889,8.68308333334,15.0076
246.79,8.22422727272,7.83546666667,7.61099999999,5.10513333333,7.79806666666,16.9985333333,4.03006666667,6.91680833334,7.63795833332,14.5206666667
247.17,9.25320808082,8.45206666667,8.66773333333,6.313,8.60710000001,17.7836666667,5.26073333333,8.21767499999,8.43575000001,15.4420333333
247.54,9.77893434343,8.1658,9.21846666668,6.54713333333,8.75586666667,17.9027333333,5.74166666667,8.20040833334,8.92654166666,15.6419
247.92,9.73772929294,7.89506666666,9.11546666667,6.60486666667,9.05756666665,17.3116666667,7.04506666666,8.00557777777,8.70991666668,15.4654333333
248.29,10.3973902357,8.15646666666,9.5636,6.77186666667,10.015,17.5094666667,7.53206666667,8.66694444445,8.98729166665,16.2039
248.67,8.64484175085,6.88753333334,8.0228,4.85326666667,8.28563333334,15.9999333333,5.78273333333,6.66969166667,7.21904166666,14.4151666666
249.04,8.14855454547,5.87279999999,7.64146666666,4.47326666667,8.00703333334,15.1337333333,5.41659999999,5.94793055556,5.97491666667,13.7814666667
249.42,9.34304074075,7.67033333333,8.84146666665,5.33673333333,9.83286666665,16.3866666667,6.92606666667,7.20415000001,6.681375,14.8390333333
249.79,10.8553787879,10.2472666667,10.2292666667,7.18846666667,11.6509333333,17.5797333333,8.51993333334,8.73246944443,7.30999999999,16.3607333333
250.17,11.9907592592,11.8551333333,11.6329333333,7.8454,13.4106,18.4443333333,9.40093333333,9.30311666665,7.5605,17.2415333333
250.54,12.1363336701,12.3578666667,11.7581333333,7.6828,14.0192,18.4758,10.061,8.93411388888,7.58374999999,16.8596666667
250.92,13.2491383839,13.5972,13.3966,8.15400000001,15.3584333333,19.5464666667,11.3606,9.84127222223,8.11595833333,17.3943666667
251.29,14.0628521885,14.9998666667,13.9248666666,8.50546666665,16.1613,20.4946,12.4622,10.4440111111,8.56870833333,17.8227333333
251.66,13.9630727273,15.1784666667,13.3993333333,7.47953333334,15.4804666667,19.8682666667,11.9604,10.1990916667,7.80475,17.3696333333
252.04,14.0569703704,15.2217333333,13.4813333333,6.55300000001,15.2047333333,19.8974,10.455,10.4830472222,7.0465,17.7360666667
252.41,13.0479279461,14.3368666667,12.5566666667,5.51966666667,13.883,19.0562,9.33106666665,10.0045305556,6.02591666667,16.6844333333
252.79,15.1626680135,15.7356666667,15.1590666667,8.31226666667,15.6996666667,21.0810666667,11.6396666667,12.5454694444,7.75504166667,18.3904333333
253.16,15.6356077441,16.5047333333,15.3472666667,8.78473333333,16.1226666667,21.2384,11.9674666667,13.1610055556,8.39112500002,18.5243
253.54,14.1910602693,13.8505333333,13.6255333333,7.30740000001,14.3395666667,19.0893333333,10.3654666667,11.9748305556,6.88595833333,16.7285
253.91,14.4204057239,13.1272666667,13.8594666667,7.65013333334,14.8314,18.9250666667,11.584,12.5162388889,7.18983333333,16.7410666667
254.28,13.4704252525,12.3411333333,12.934,6.44886666667,13.4483666667,18.4755333333,10.7562666667,11.9474722222,5.9965,15.7350666667
254.66,12.0595606061,10.9008666667,12.7542666667,4.54306666667,11.9499,17.2330666667,9.13773333335,10.5529527778,3.788625,14.4079666667
255.03,11.547376431,9.54333333334,11.8881333333,4.10346666666,11.2200333333,17.5593333333,8.03006666667,9.69428055554,2.33470833333,13.5582
