wavelength,Back_SpoPlum,Belly_SpoPlum,Breast_SpoPlum,Crissum_SpoPlum,Crown_SpoPlum,DorTail_SpoPlum,Patch10_SpoPlum,Rump_SpoPlum,Throat_SpoPlum,WingTip_SpoPlum
214.44,155.05793,94.2029999999,59.9999333333,104.6378,99.3476666665,68.8406666667,112.753566667,68.3091111113,65.3622666667,112.8984
214.81,130.45278,82.2641333333,51.1950666667,80.5030666666,90.3144333333,49.1824666668,103.018833333,66.8762444443,57.1068666667,97.7988333332
215.19,107.195293333,66.3218666666,42.1838666665,65.977,75.6321333333,38.5059333333,83.4482333334,50.5364444445,43.4482,87.0689999999
215.57,115.696036667,79.0196,57.9412666667,77.353,86.6176999999,51.4705333333,96.5194999999,65.1306888889,55.1962000001,94.4119000001
215.95,94.19033,59.1429333333,46.6667333334,54.0952,69.0001,31.1429333333,73.8570999999,44.6032222222,33.7142666667,78.1904333334
216.32,98.5673733334,53.6842,41.4035999999,47.0175999999,60.3508333333,19.7661333333,60.7600333333,33.1382444444,21.9883333333,71.8712666667
216.70,83.6481333333,50.9876666667,39.1358666666,36.4198000001,45.1235333333,17.9013333333,44.9999000001,24.6912444444,18.7653333333,62.0987333333
217.08,84.9345866667,52.0238,43.0952666666,40.1190666667,44.8808666667,25.0000666667,45.5357666667,29.2856,24.7617333333,62.2022333333
217.46,110.188443334,56.0868666667,47.5362666667,51.739,64.6377,46.3768,66.9564999999,46.0386888889,35.6521333334,77.8985
217.83,126.036116667,68.8287333335,53.8737999999,69.9099333334,82.7027333334,81.081,79.0990000001,56.4563777778,33.1530666667,94.7748666667
218.21,136.68622,67.0588666667,60.3921333334,81.7647333333,95.1959999999,105.098133333,96.8627000001,71.9607777777,21.1765333334,103.235333333
218.59,108.742173333,69.4339333333,76.2265333332,81.2579333334,91.1950333333,103.396266667,88.3648000001,76.6457111111,33.8365333333,90.4401666667
218.97,118.547113333,63.5898,78.1195999999,84.9572,85.9828333333,117.7778,92.2222333334,66.8377111111,12.4784666666,98.5470666668
219.34,95.0078,52.8683333334,62.0155333334,68.9924666666,64.2635333333,96.2790666667,77.9844,56.4340666667,-4.4961333334,73.7984333333
219.72,90.6444666667,38.0000666667,57.3332000001,62.2224000001,58.4445333333,116.444466667,74.3333666667,41.3333333333,-32.8887333333,75.1111333333
220.10,172.666596667,87.7777333331,92.963,155.185133333,117.777733333,241.111066667,147.962866667,99.0124444444,-7.77780000006,144.0741
220.47,165.863623333,108.181733333,90.0001333333,137.878733333,130.454533333,225.4544,159.848433333,104.0404,5.1515333334,161.8182
220.85,170.794843333,104.615466667,85.6409999999,128.461466667,144.615366666,189.7436,163.205066667,112.051311111,18.4615333334,151.282066667
221.23,167.202326667,122.618866667,103.0954,136.666733333,155.7144,178.809533333,162.142866667,117.142866667,31.6666,157.142833333
221.61,194.0,155.0,137.333333333,178.333333333,182.333333333,185.0,184.666666667,134.777777778,12.0,200.833333333
221.98,101.368083333,82.9165999999,78.8888666668,85.0001333332,94.5138333332,85.5556666667,98.0556000001,74.8149111111,30.4165333334,106.3194
222.36,104.888796667,77.4359333333,78.6325333333,81.8803333334,89.4873666667,72.4787333334,92.8205333333,62.621,27.3503999999,114.529933333
222.74,147.424153333,67.8787999999,57.2726666668,80.3030666667,98.1818000001,60.6059333335,114.393966667,49.4949111111,-6.66653333328,143.939333333
223.11,171.65088,90.1587333333,60.6349999999,98.7301333334,130.476033333,100.634866667,127.142766667,74.3914444445,17.7778000001,155.238033333
223.49,186.179443334,119.999933333,84.3589999999,139.4872,159.7435,134.358933334,140.512833333,98.1197333335,60.5126666667,176.923133333
223.87,203.153883333,137.1796,108.461466667,155.897333333,167.0513,145.641066667,159.3589,122.735088889,69.9998666666,204.615266667
224.24,145.8125,103.958333333,77.7083333335,104.166666667,123.125,100.833333333,114.375,84.3750000001,49.5833333333,153.333333333
224.62,96.2182333332,76.9696,64.7272666667,80.3636666667,85.8182333332,74.9091333334,86.4849333335,68.1212444445,48.7272666667,98.3030666667
225.00,87.3818433334,73.0107333333,66.7742,79.6774000001,73.6021666667,71.1828,76.0752333333,60.6449333333,39.9999333333,93.4407999999
225.38,68.6389833333,57.9629333333,56.0184666667,64.4444666667,53.7037333333,57.8703333333,61.8981666667,51.4197555556,33.3333333333,74.1204333333
225.75,65.9629433333,57.6954,54.8148,59.8354666667,52.0576333333,64.8561333333,59.0534666667,52.1811333333,35.4732666667,67.3661666667
226.13,70.1256166667,57.2948,52.6571333333,57.0047333333,50.8696,69.3718,59.0821,52.6248444444,30.6280666667,68.7440333333
226.51,61.4640033333,51.6218,44.5946,48.8288666667,44.4144666667,64.2342666667,49.6847,47.1170888889,30.18,57.4325
226.88,55.3485466667,53.5606,46.5150666667,49.4695333333,41.894,58.4091333333,43.2576666667,43.6615555556,34.3182,52.5379
227.26,52.0550666667,49.9082,44.7094666667,47.4618666667,37.7369666667,51.2538,40.6116666666,41.7329555556,36.3302666667,47.0642666667
227.64,53.75305,53.0246666667,45.9876666667,47.4690666667,39.9383333333,51.4197333333,44.6912,46.0493333333,39.3210666667,48.5493333333
228.01,37.6218933333,37.0647333333,29.9501333334,31.5922,27.8855666667,37.0148,27.5870666667,32.4876222222,28.0098666667,31.8159333333
228.39,29.4703666667,24.9094666667,20.8784666667,23.1008,17.0802333333,29.1472,18.1396333333,23.2214222222,17.933,21.1112333333
228.76,26.30776,15.7052,12.4358,18.9102666667,12.4680333334,20.5128666667,12.7244333333,16.1965111111,9.16673333334,11.7307666667
229.14,31.11532,18.2694,17.4999333333,21.6667333333,19.2307666667,28.8462666667,19.7436333333,22.2863777778,18.7179333333,15.8653333333
229.52,41.93073,25.7426666667,19.6039333333,27.5908666667,30.033,35.4455333333,26.6666,27.6348,27.7226666667,23.3005
229.89,45.82207,25.6311333333,19.8706,31.1326,34.8544,33.3332666667,32.7508666667,28.3927555556,30.6796666667,30.3882666667
230.27,48.8136733333,29.2472666667,23.1541333333,40.7885333333,40.1076333333,32.4014,34.1577,31.8996444445,34.5521333333,31.8278666667
230.65,40.67603,26.1681333333,19.9999333333,37.4456,36.1995333333,25.3582666667,31.4641,32.3987777778,30.5919333333,28.6604333333
231.02,37.8098666667,26.8420666667,23.6258666666,40.7602666667,36.3158333333,24.8538666667,32.6607666667,35.3801333333,31.2864666667,30.3508333333
231.40,34.5628733333,27.7049333333,25.5737333333,39.3442,33.9890666667,19.2895333333,29.8088333333,32.0765555555,26.2842,30.6283666667
231.78,17.8961233333,8.50146666668,7.64519999998,20.5505333333,15.6269666667,-2.26306666665,7.79816666666,10.9275333333,8.56273333334,12.2019333333
232.15,30.53089,23.5186,20.8024,36.5432666667,27.1604,7.09886666668,23.3642333333,20.2880666667,20.2469333333,21.5432666667
232.53,43.3633333334,39.0,30.5333333333,47.8666666667,38.2,16.8,34.8333333333,29.4666666667,32.0,33.7333333333
232.90,39.6856,37.4212666667,26.6667333333,40.8804666667,29.7170333333,17.5472666667,28.4591666667,26.499,29.1824,30.6602666667
233.28,32.3185033333,33.1836,16.1799333333,39.4757333334,22.4344333333,2.47200000002,16.5167333333,20.5741777778,22.6966,24.6442333333
233.66,25.6627566667,22.9884666667,7.27953333333,29.5019333333,12.9501666667,-3.29493333333,11.7625,14.6358666667,10.8046,20.7279666667
234.03,21.6869233333,26.3972,10.2356666667,31.4478666667,11.5151666667,0.807933333334,12.6599666667,15.3535555555,11.717,21.2121333333
