wavelength,Back_LanFulf,Belly_LanFulf,Breast_LanFulf,Crissum_LanFulf,Crown_LanFulf,DorTail_LanFulf,Patch10_LanFulf,Rump_LanFulf,Throat_LanFulf,WingTip_LanFulf
780.64,9.26555555557,36.6403333333,21.1892222222,31.7648888889,6.01533333333,21.2523333333,10.7961111111,19.35,29.2768888889,13.3472222222
780.95,9.09600000001,36.1253333333,20.8325555555,31.0087777778,5.761,20.9904444444,10.3974444444,19.0132222222,28.7916666667,12.9556666667
781.26,8.71022222223,35.9323333333,20.6513333333,30.9452222222,5.63888888889,20.8491111111,10.281,18.8952222222,28.295,12.7331111111
781.57,9.08033333333,36.3732222222,20.9788888889,31.452,5.73466666667,21.2263333333,10.4405555555,18.9221111111,28.484,12.6733333333
781.88,9.87877777777,37.1346666666,21.9551111111,32.0682222222,6.62477777778,21.7656666667,11.3785555556,19.8095555556,29.0232222222,13.4453333333
782.19,10.0975555555,37.5065555555,22.1103333333,32.234,6.71411111111,21.8403333333,11.6573333333,19.9644444444,29.4694444445,13.764
782.50,9.99133333334,37.5792222222,22.3421111111,32.36,6.752,21.7223333333,11.7111111111,19.9025555556,29.3007777778,13.6237777778
782.81,9.87877777777,37.6026666667,22.3503333333,32.1683333333,6.64655555556,21.5961111111,11.7844444444,19.8248888889,29.2322222222,13.5555555556
783.12,10.1563333333,37.6303333333,22.5153333333,32.1945555556,6.80033333333,21.5468888889,11.6226666667,19.7463333333,29.6704444444,13.246
783.43,10.619,37.7983333333,22.7896666667,32.5128888889,7.50766666667,21.8735555556,12.0067777778,20.0956666667,29.8462222222,13.4905555555
783.74,10.9468888889,37.9036666666,23.406,33.1073333334,8.32644444445,22.4275555556,12.5616666667,20.8471111111,30.0766666667,13.7795555556
784.05,10.5961111111,37.584,23.3965555556,32.633,8.03455555556,22.2015555556,12.3815555555,20.7456666667,29.7282222222,13.549
784.36,11.2224444444,38.2492222222,24.0022222222,33.3472222222,8.31577777778,22.6046666667,12.7727777778,20.9985555555,30.2183333333,14.0036666667
784.67,11.8741111111,38.7016666667,24.1988888889,33.7285555556,8.82922222222,23.0544444444,13.3513333333,21.7088888889,30.5938888889,14.4333333333
784.98,12.1331111111,39.0097777778,24.4596666667,33.934,9.24666666667,23.2372222222,13.542,22.2497777778,30.6954444444,14.8401111111
