wavelength,Back_TanMeym,Belly_TanMeym,Breast_TanMeym,Crissum_TanMeym,Crown_TanMeym,DorTail_TanMeym,Patch10_TanMeym,Patch11_TanMeym,Patch12_TanMeym,Rump_TanMeym,Throat_TanMeym,WingTip_TanMeym
187.53,115.476166667,183.3335,232.936666667,257.539666667,214.6825,171.8255,259.127,114.682333333,181.746166667,234.523833333,99.2063333332,187.103166666
187.91,208.641833334,336.419666667,385.185166666,408.641833333,343.21,258.642,427.160666667,195.678833333,295.061833333,379.012333333,175.3085,335.494083334
188.29,228.0,385.333333334,419.333333334,442.0,393.333333333,272.0,491.333333334,220.666666666,313.333333333,404.0,206.666666667,358.666666666
188.67,257.971,455.797166667,447.101333333,455.797166667,431.1595,317.391333333,534.7825,260.145,331.884,442.753666667,241.3045,398.913
189.05,694.444499998,1205.55566667,1124.074,1109.25933333,1100.0,816.6665,1414.81466667,655.555333333,874.074,1114.8145,681.481666667,1044.44441667
189.43,-3091.66666667,-5500.0,-5133.33333334,-4700.0,-5058.33333333,-3425.0,-6341.66666666,-2775.0,-4083.33333334,-4775.0,-3033.33333333,-4329.16666666
189.81,2400.0,4144.4445,3861.11116666,3538.88866667,3861.11116667,2561.11116667,4522.222,2266.66683333,3138.889,3372.22233334,2411.11133333,3227.77791666
190.19,7516.66666666,13233.3333333,11683.3333333,10433.3333334,11866.6666667,7333.33333334,13383.3333333,6866.66666667,9500.0,10100.0,7316.66666666,9175.0
190.57,815.0,1405.0,1218.33333333,1071.66666667,1231.66666666,736.666666667,1405.0,688.333333334,1000.0,1036.66666667,808.333333333,914.166666667
190.95,545.5555,913.333499998,812.222333334,706.6665,817.777666665,472.222333333,944.444666668,446.6665,681.111333333,644.444333334,526.666666667,568.333416666
191.33,428.030333333,627.272833333,575.757666666,499.242333333,609.091,340.909166667,662.879,334.8485,500.0,436.363833333,387.121333333,404.9245
191.71,345.402166667,494.827666667,441.954,374.138,495.977166667,270.115,505.747166667,264.942666667,399.999833334,347.1265,314.9425,315.517083333
192.09,468.254166666,642.857,592.0635,496.031833334,674.603166665,371.4285,695.238,349.2065,545.238166666,466.666833333,444.444333333,398.015833334
192.47,417.333333334,538.0,507.333333333,417.333333333,576.0,338.0,580.0,300.666666666,477.333333334,402.666666667,388.0,345.0
192.85,310.648,385.185333333,369.444666667,310.648,421.296333334,242.5925,418.9815,224.537166667,354.629666666,295.833333333,268.5185,249.768583334
193.23,268.293,329.6745,317.886333333,263.4145,367.886333334,205.691,361.788666667,197.9675,305.691166667,258.13,215.853833334,201.219583333
193.61,213.725333334,258.17,248.366,212.4185,289.5425,157.843333333,292.156833334,158.823333333,238.562166667,212.0915,171.5685,164.05225
193.99,205.442166666,255.782333333,243.537333333,201.700666667,279.251833334,137.755166667,297.279,154.0815,225.51,203.401333333,162.585,159.864166667
194.37,149.999833333,185.606166667,175.505,148.989833334,208.585833333,109.596,222.727166667,114.394166667,167.929333333,148.7375,128.535333333,117.045416667
194.75,133.582166667,163.681833333,150.248666667,138.557166667,194.776166667,99.5023333335,203.980166666,104.975,154.477666667,127.363166667,117.412666667,107.338333333
195.13,120.188,147.652833333,134.272333334,128.873333333,180.281666667,88.9671666667,188.967166667,101.173666666,146.948333333,124.648,111.033,99.64825
195.51,108.454,148.7925,142.7535,132.367166667,174.637833333,86.4735000001,197.101666667,105.313833333,152.8985,129.227166666,113.5265,105.555583333
195.89,111.021666667,155.376166667,152.419333333,151.075166667,184.139833333,96.5053333334,217.204166666,113.978666667,160.752666667,129.838666666,119.354833333,120.699083333
196.27,92.9826666667,134.8685,126.973666666,128.728166666,149.561333333,75.8771666669,178.728166666,96.491,132.0175,98.9031666668,96.7103333334,103.289333333
196.65,85.6885,122.645,111.413,119.202833333,129.891333333,59.6015,158.876666667,82.971,110.869666666,86.0508333333,85.8698333332,97.7355
197.03,90.9721666666,127.430333334,107.986,118.576333334,125.347166667,63.5416666667,159.375166667,81.5971666666,110.590333333,84.5486666665,92.0138333335,99.4791666667
197.40,101.32,135.643666667,112.046166666,124.587666667,124.917333333,65.0163333334,161.881166667,85.3135,114.521333333,83.9933333332,95.8746666667,103.96025
197.78,110.824833333,151.3745,120.274833333,136.9415,136.0825,72.6806666667,172.336666667,92.0961666666,124.398666667,86.9416666669,107.0445,116.151416667
198.16,130.149833333,173.221166667,133.707833333,159.176,157.678,90.6366666665,192.322166666,105.805166666,147.940166667,101.6855,124.906333334,134.269666667
198.54,150.401666667,191.566333333,153.212833333,180.522166666,174.698833333,96.9881666667,212.249,116.8675,166.465833333,114.056166667,133.534166666,155.1205
198.92,164.556833333,205.696333334,162.869166667,191.350166667,179.325,105.063333333,223.839666667,122.784833333,176.582333333,124.2615,144.937,164.451583333
199.30,165.909166666,200.946833333,163.068166667,188.446666667,175.757666667,105.871166667,220.265166667,126.325666667,172.916666666,126.894,141.477333333,163.825916667
199.68,195.662,234.9315,183.789833333,210.502333334,202.967833334,115.0685,255.022666667,140.639166666,196.5755,138.356166667,164.155333333,190.525166667
200.06,195.070166667,237.793333334,179.577666667,203.755833333,198.5915,104.460333333,250.234833333,131.925,194.835666667,137.323833333,157.277,186.502416666
200.44,208.5785,251.715666666,191.666666666,214.215833333,216.4215,111.274666667,262.745,141.666666667,201.2255,150.245333333,158.333333333,195.71075
200.82,226.436833334,268.678166667,207.758333333,229.310333334,235.632333334,107.7585,283.908,147.1265,214.942666667,153.735666667,160.632333333,206.609083333
201.19,256.9445,299.305833334,236.111333333,253.124833333,269.097,97.9165,318.0555,160.0695,233.333333333,164.236166667,167.7085,244.27075
201.57,262.301666667,304.365166666,235.714166666,250.396833333,274.603166666,80.5555,322.619,155.5555,225.396833333,151.587333333,165.476333333,244.0475
201.95,268.421166666,309.649166666,244.737,258.772,294.736833333,64.4738333335,337.719333333,161.4035,227.193,170.1755,168.421,250.438583333
202.33,192.628333333,223.397333333,187.5,187.179333333,214.743833333,53.5255,244.871666667,115.705333333,164.102666666,127.8845,119.230666667,186.538416666
202.71,185.8025,222.222166667,177.469,170.9875,204.938166666,54.6298333334,230.555666667,115.740666667,158.024833333,124.382833333,121.296166667,183.796333334
203.09,194.771333333,226.143666667,191.503166667,171.8955,223.856333334,55.5554999998,232.353,122.549,171.568666667,136.928166667,116.666666667,190.686083333
203.47,229.166833333,269.318166667,237.121166666,190.1515,257.575833333,79.5455,258.712166667,137.121333333,195.075833334,153.0305,140.530333333,221.780166667
203.85,200.0,225.151333333,201.515,169.696833333,218.484833333,90.6061666668,230.000166666,119.696833333,173.030333334,148.788,127.272666667,192.575666667
204.22,193.678333334,209.195166667,190.804666666,162.356333334,212.931166667,91.0921666667,226.1495,115.229833333,170.114833334,144.827666667,128.735666667,185.344833333
204.60,236.742333333,250.000166667,214.393833333,190.1515,255.681833333,97.7273333335,267.803166667,121.969666667,201.894,165.5305,156.439333334,225.568166667
204.98,290.277833333,314.352,250.000166666,242.5925,311.111166667,122.685,327.777666666,155.5555,250.463,206.944333334,199.074,295.370416666
205.36,234.074,256.666666666,211.111,215.185,255.555166666,107.777666667,274.444333334,138.518333333,223.703833334,177.777666667,168.5185,244.259416666
205.74,220.8335,241.3195,206.9445,212.847333333,249.3055,105.208166667,271.1805,141.666666666,219.097333333,179.514,158.333166667,238.888833334
206.12,198.333333334,211.111166667,184.722333333,185.5555,210.0,108.333166667,235.277833333,132.5,189.444166667,150.5555,143.333166667,208.194333333
206.50,211.111166666,214.035333333,187.134333334,192.69,207.309833333,102.923833333,243.274833333,142.397833333,190.058333334,150.2925,146.491,215.789583333
206.87,278.968333333,272.618833333,251.984,256.349333333,266.666833333,122.619,321.031666666,192.4605,241.6665,188.492,183.730166667,285.912833333
207.25,286.991666667,289.0245,252.8455,277.642333334,271.544666667,114.634333333,326.422833333,210.162333333,236.585166667,184.959333334,186.991833333,306.300833334
207.63,321.904833333,328.5715,260.952333333,318.571166667,298.095166667,100.9525,362.857,234.761833334,268.571333333,195.238166666,201.4285,348.333583333
208.01,337.5,371.875,275.0,335.9375,311.979166666,89.5833333332,359.375,254.6875,290.104166666,186.979166666,204.166666666,378.645833334
208.39,438.0,496.666666667,372.666666666,441.333333333,412.0,124.666666667,472.0,361.333333333,372.0,230.666666666,256.0,496.333333334
208.77,271.031833334,307.9365,245.635,278.571333333,255.555666666,83.73,304.762,244.841333333,250.7935,151.984166667,175.7935,320.635083334
209.14,335.3535,379.797666667,303.030333333,328.788,313.636333334,98.4846666666,371.717,309.090833333,313.636166667,181.313166666,207.575833334,380.302833333
209.52,715.555666667,821.111166665,632.222,677.777833333,687.777666667,221.111333333,821.111166667,674.4445,671.111166667,395.555666667,448.888833333,786.66675
209.90,2220.0,2576.66666666,2010.0,2123.33333333,2126.66666666,793.333333332,2520.0,2076.66666666,2103.33333334,1260.0,1486.66666667,2468.33333334
210.28,-3766.66683333,-4422.22216667,-3605.55566666,-3633.33316667,-3605.55583333,-1377.77783333,-4344.44466667,-3533.33316667,-3672.22233334,-2255.5555,-2627.778,-4322.22225
210.66,-702.083333333,-871.875000001,-691.666666667,-687.5,-757.291666665,-297.916666666,-863.541666667,-690.625,-721.875,-453.125,-540.625,-851.041666667
211.03,-846.154,-1088.46133333,-847.435999998,-839.7435,-955.127999998,-393.589833333,-1094.87183334,-837.179666666,-893.589833332,-565.384666667,-689.743666668,-1064.10233333
211.41,-676.6665,-898.888833332,-722.222166667,-674.444333334,-788.888666668,-347.778,-967.777666665,-681.111,-750.0,-444.4445,-570.0,-866.11125
211.79,-503.333333333,-625.833333333,-530.833333333,-480.833333333,-601.666666667,-265.833333333,-734.166666667,-521.666666667,-538.333333334,-316.666666667,-405.833333333,-630.416666667
212.17,-438.6365,-528.030333333,-479.545333334,-425.7575,-536.363666666,-215.151333333,-663.636333333,-468.181833333,-436.363666667,-283.333333333,-356.818166667,-535.2275
212.55,-548.148166667,-634.259166667,-594.4445,-529.629833333,-648.148333333,-256.481333334,-805.555666667,-557.4075,-558.333166667,-378.703833334,-444.4445,-647.22225
212.92,-735.714333333,-844.047666665,-805.952333333,-720.238333334,-873.809333335,-389.286,-1071.42866667,-715.476166667,-757.142666666,-548.8095,-592.857,-834.524083334
213.30,-2313.33333334,-2590.0,-2463.33333333,-2303.33333334,-2566.66666667,-1453.33333333,-3206.66666666,-2163.33333334,-2306.66666667,-1763.33333333,-1840.0,-2500.0
213.68,11266.6666666,12033.3333333,11666.6666666,11483.3333334,11833.3333333,7100.0,14700.0,9600.0,10250.0,7933.33333335,8383.33333335,12133.3333334
214.06,823.8095,870.238333331,829.762166667,864.285666665,861.904666668,561.905,1100.00016667,727.381,755.952333333,582.142833333,639.285666666,925.000083334
214.44,913.888833333,958.333333332,870.8335,970.833333331,961.111166665,626.388666667,1215.27783333,775.0,830.555333333,601.389,673.611000002,1052.77791667
214.81,584.259166667,597.222,557.4075,632.407333333,579.629666667,374.999833334,784.259333334,475.0,509.2595,372.222333333,403.703833334,656.0185
215.19,302.777833333,294.444166667,284.259333334,331.4815,287.962833334,190.740666667,406.4815,254.166666667,252.314833333,193.9815,210.648333333,333.333416666
215.57,339.814666666,316.203833334,307.8705,354.629666666,312.036833333,205.0925,421.759166667,268.9815,262.5,215.277666667,240.277833333,362.037166667
215.95,295.122,288.211333334,276.422666666,313.008166666,265.853666666,178.455166666,363.008333333,230.487833333,224.797,193.902666667,220.325333333,312.601583334
216.32,317.083333334,305.833333333,290.833333334,329.583333334,286.25,203.333333334,379.583333333,242.916666667,250.0,215.0,243.75,337.916666666
216.70,311.538333333,307.265166667,285.897333333,327.777666667,293.1625,205.128166667,383.760833333,248.717833333,245.299166667,213.247833333,244.017,339.529916667
217.08,457.639,458.333166667,412.5,478.472166667,411.111166667,293.0555,563.889,385.416333334,334.027833333,279.166666666,334.0275,522.9165
217.46,364.4445,367.222333334,348.888833333,382.222166667,333.888666667,227.777666667,468.888666667,318.333166667,268.3335,225.555666667,292.777833333,435.277833333
217.83,446.0,459.333333333,451.333333334,466.666666667,424.0,284.0,585.333333333,427.333333334,344.0,300.0,387.333333333,534.0
218.21,-4808.33333334,-4908.33333334,-5233.33333334,-4758.33333334,-4500.0,-2425.0,-6383.33333333,-4466.66666666,-3441.66666666,-3058.33333334,-4050.0,-5991.66666666
218.59,-513.541666666,-538.541666667,-571.875,-505.208333333,-486.458333333,-201.041666667,-733.333333333,-507.291666667,-345.833333334,-332.291666667,-432.291666667,-650.520833333
218.97,-300.0,-305.555833333,-311.7285,-282.716333334,-266.666666667,-109.8765,-419.135833334,-305.555666666,-206.172666666,-190.1235,-241.358,-381.79025
219.34,-160.869666667,-173.913166667,-154.347833333,-151.8115,-143.116,-52.8985000001,-221.0145,-162.319,-112.681166666,-97.8259999998,-127.898666667,-213.4055
219.72,-170.833333334,-202.916666667,-172.083333333,-172.083333334,-157.083333333,-61.6666666667,-254.166666667,-188.333333333,-135.416666667,-119.583333333,-132.916666666,-237.5
220.10,-107.098833333,-129.6295,-110.185,-117.5925,-105.5555,-31.4811666665,-181.790166667,-124.383,-85.8023333333,-74.3826666665,-81.1728333335,-165.74075
220.47,-86.3386666669,-108.1965,-91.5299999998,-98.907,-83.6065,-18.5791666667,-159.836,-106.010833333,-65.5738333333,-56.2841666668,-64.2074999999,-139.2075
220.85,-45.625,-67.0833333335,-53.3333333333,-58.75,-46.0416666667,0.83333333335,-106.041666667,-61.25,-28.3333333333,-28.3333333333,-34.375,-93.5416666667
221.23,-45.4166666667,-67.9166666665,-56.4583333333,-55.8333333333,-58.1250000001,-0.83333333335,-108.125,-63.125,-33.9583333333,-42.7083333333,-43.1250000002,-92.1875
221.61,-31.8518333333,-54.0741666667,-40.7408333333,-37.0373333333,-52.2223333335,6.66666666665,-86.1111666667,-52.5928333334,-23.7036666667,-32.7776666666,-29.2593333334,-71.75925
221.98,-26.2681666667,-51.6303333333,-39.855,-28.623,-54.7100000002,6.5218333333,-82.2465,-44.2031666666,-23.732,-29.8913333334,-24.2753333334,-67.029
222.36,-46.6666666667,-69.7916666669,-56.4583333333,-43.5416666667,-80.8333333335,-18.3333333334,-105.208333334,-63.5416666667,-41.875,-48.3333333333,-41.4583333333,-86.875
222.74,-81.5101666665,-107.291333333,-99.4791666665,-74.9996666669,-123.958166667,-58.0728333333,-149.479,-106.249666667,-83.333,-82.8125000001,-72.3954999999,-134.244666666
223.11,-77.2221666669,-102.2225,-112.5,-66.9443333334,-124.999833333,-55.2778333333,-150.277666667,-102.500166667,-79.1665,-80.0,-76.9445,-138.0555
223.49,-74.5763333335,-90.9605,-117.514166667,-70.9040000001,-127.966166667,-61.0168333335,-157.909666667,-98.3049999998,-82.2031666666,-79.3785000001,-74.2938333333,-129.943333333
223.87,-98.4568333334,-105.247,-141.049166667,-84.5678333334,-148.765333333,-87.9629999999,-175.926,-121.9135,-103.703833333,-89.8146666666,-97.8395000001,-149.69125
224.24,-206.0605,-222.727166667,-266.161333334,-178.787833333,-283.838166667,-194.444166666,-324.747666666,-244.444666667,-218.686833334,-187.3735,-209.595833333,-286.363583334
224.62,-231.111,-256.111,-305.0,-217.222333334,-327.777833333,-225.5555,-357.222333333,-278.889,-257.222333333,-215.555666667,-242.222333334,-317.222166667
225.00,-701.282,-715.3845,-839.743666667,-647.435833333,-887.179499999,-676.923,-925.641166667,-802.564166667,-748.717833334,-607.692333333,-726.923,-860.89725
225.38,-761.111166669,-765.277833333,-890.277666668,-708.3335,-916.666666667,-711.111333332,-969.444333333,-831.944333334,-790.277833333,-572.222166667,-780.555666665,-904.166666665
225.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.13,-1.31354989131e+16,-1.2154601267e+16,-1.33913852556e+16,-1.15362092727e+16,-1.29435841563e+16,-1.15362092728e+16,-1.4990674896e+16,-1.29649080182e+16,-1.26237262282e+16,-8.48689702508e+15,-1.23465160239e+16,-1.41270584902e+16
226.51,4975.0,4775.0,4933.33333334,4675.0,4958.33333334,4100.0,5991.66666666,5191.66666666,4808.33333334,3275.0,4925.0,5108.33333334
226.88,-848.611,-783.333166665,-794.444333331,-805.555666668,-844.4445,-623.611,-1013.88916667,-863.889,-770.8335,-529.166833333,-845.833333335,-804.861166667
227.26,-546.825666666,-492.063333333,-477.778,-530.158833333,-538.888833333,-402.381166667,-615.873166667,-553.174666667,-488.095166666,-345.237833334,-526.190333333,-462.698333333
227.64,-335.238333333,-309.999833333,-287.142666667,-308.095166667,-325.238333333,-220.000166667,-362.857166667,-337.619,-290.476333333,-209.047833333,-316.6665,-267.142916667
228.01,-146.479,-133.568166667,-118.544666667,-137.323833333,-139.6715,-75.1173333335,-160.563333333,-148.826166667,-121.126833334,-85.9155,-142.723,-110.093916667
228.39,-85.8631666667,-74.1070000002,-69.9403333331,-79.6131666667,-81.399,-36.6073333333,-90.625,-87.0535,-70.5358333333,-48.2143333333,-82.7381666667,-60.7145833333
228.76,-67.0291666666,-57.9711666666,-55.0725,-59.2995,-65.2173333335,-30.6761666667,-72.5845,-69.3236666666,-55.0725,-35.6278333333,-65.7005,-46.9805833333
229.14,-54.2681666666,-46.748,-44.0043333334,-49.6948333333,-53.7601666667,-22.7641666667,-60.9756666666,-54.37,-46.24,-29.5733333333,-51.8293333334,-34.6545
229.52,-52.7306666667,-43.7853333333,-43.1263333333,-47.5518333333,-49.0583333333,-23.7288333333,-59.2276666666,-53.578,-44.162,-29.7551666667,-47.74,-34.32225
229.89,-44.2736666667,-36.0685,-38.034,-42.8205,-42.4786666667,-18.889,-51.111,-47.8633333333,-37.9486666667,-25.8118333333,-39.4018333333,-31.0255833333
230.27,-44.1623333333,-35.11,-40.1013333333,-47.9693333333,-43.1471666667,-20.389,-52.9611666667,-51.5228333334,-38.6635,-28.1726666667,-42.1318333333,-33.88325
230.65,-46.2586666667,-38.1803333333,-43.4525,-50.5101666667,-45.7483333333,-25.0851666667,-53.3165,-53.7413333333,-41.4965,-32.483,-43.7073333334,-39.4983333334
231.02,-43.3333333333,-37.094,-42.735,-48.4616666667,-41.3676666667,-22.8203333333,-51.8803333333,-50.1706666667,-38.8033333334,-32.4785,-43.0766666667,-39.3160833334
231.40,-40.4041666666,-39.3098333333,-43.0135,-45.6228333334,-40.3198333333,-21.9696666666,-51.0941666666,-50.0001666667,-38.5521666667,-32.8281666666,-43.2661666667,-40.7829166666
231.78,-41.3848333334,-39.4523333333,-43.0756666667,-47.5845,-38.9695,-25.6036666667,-50.8856666667,-51.691,-40.5795,-35.1046666667,-45.491,-43.9209166667
232.15,-38.728,-39.8551666666,-42.9145,-47.343,-38.4056666666,-25.8456666667,-50.4025,-49.9193333333,-40.5796666667,-36.2316666666,-43.8005,-45.61175
232.53,-35.8461666667,-39.3636666666,-39.5308333333,-43.9696666666,-34.7571666667,-26.8006666666,-49.665,-47.8225,-37.2696666666,-34.0031666667,-40.7035,-45.1426666667
232.90,-39.4926666666,-43.2066666667,-43.3876666667,-48.098,-37.5001666667,-28.442,-53.4421666666,-53.2608333333,-39.4926666666,-36.8658333333,-44.1123333334,-50.99625
233.28,-39.4503333334,-43.4396666666,-44.8581666667,-45.8331666667,-38.6525,-27.2161666667,-50.975,-55.9395,-37.1455,-34.8403333333,-44.947,-53.1914166666
233.66,-37.8706666667,-44.4151666667,-45.4625,-46.946,-39.3543333333,-25.3055,-51.9198333333,-55.1485,-36.649,-34.1185,-44.6773333333,-54.0141666666
234.03,-30.5033333333,-39.5441666666,-37.8143333333,-37.9718333333,-33.7263333333,-20.4403333334,-43.7893333334,-47.0125,-29.8741666667,-28.2233333333,-37.1855,-44.2608333333
234.41,-22.847,-31.6666666667,-29.9305,-28.8195,-28.6111666666,-13.5415,-36.4583333333,-38.2638333333,-22.4998333333,-21.3193333333,-29.7915,-34.375
234.78,-15.2983333334,-22.7611666667,-22.0148333333,-21.6416666667,-20.7088333333,-6.52983333335,-27.9851666667,-28.1093333334,-15.4851666666,-12.1891666667,-21.393,-24.347
235.16,-10.252,-16.8958333333,-16.6095,-16.2656666666,-16.5523333333,-2.74933333335,-21.2486666667,-23.3676666667,-11.0538333333,-7.33083333333,-15.0056666667,-18.09875
235.54,-12.0496666667,-15.9906666667,-17.1168333334,-18.6371666667,-16.554,-3.6035,-21.2836666666,-23.3671666667,-12.7815,-8.2205,-16.2725,-19.0595833333
235.91,-7.00883333333,-12.031,-12.0861666667,-13.1346666667,-12.5828333333,-0.1655,-14.7348333334,-17.8256666667,-7.28466666669,-3.14583333335,-11.0375,-13.6591666667
236.29,-8.41733333335,-13.2435,-13.412,-13.1875,-14.6465,-3.367,-16.7228333333,-20.3143333333,-9.93283333335,-4.60150000001,-13.6923333334,-14.338
236.66,-12.1665,-16.2221666667,-16.9445,-16.4998333333,-19.0001666667,-5.38866666665,-19.5555,-23.7778333333,-12.3331666666,-7.72216666665,-16.611,-16.38875
237.04,-12.6473333333,-14.6836666667,-14.0943333333,-17.3096666666,-18.8101666666,-6.59166666665,-19.1851666666,-24.0086666667,-14.0941666667,-9.91416666667,-16.7736666667,-15.997
237.41,-9.935,-12.5406666667,-11.0748333333,-15.7438333333,-16.3408333333,-5.97166666666,-18.4038333334,-21.9328333333,-14.1151666667,-10.8576666667,-14.875,-13.8980833333
237.79,-5.36633333335,-9.02966666668,-5.67599999998,-10.6293333333,-13.261,-4.6955,-13.3641666667,-16.873,-10.8358333333,-8.46216666667,-10.9908333333,-8.84941666665
238.17,-5.53849999998,-8.58733333333,-6.09750000002,-10.3656666667,-12.7541666667,-4.06483333335,-12.703,-15.8535,-11.0773333333,-9.0955,-12.0935,-9.52758333335
238.54,-6.28183333334,-9.42266666667,-6.99100000002,-10.1318333333,-13.7285,-3.69799999998,-11.4996666667,-15.9573333333,-12.6648333333,-9.37200000001,-13.8805,-10.7903333333
238.92,-4.3315,-8.75683333335,-5.93216666665,-8.00366666667,-13.1358333333,-2.02433333335,-10.1223333333,-15.3485,-10.9698333333,-8.80416666666,-12.3351666667,-10.1694166667
239.29,-4.59750000001,-10.3448333333,-6.05683333333,-7.69216666668,-12.7321666667,-2.69683333335,-10.4333333333,-15.1191666667,-11.0078333333,-9.0185,-12.9531666667,-9.704
239.67,-0.44083333333,-8.173,-2.32366666666,-2.9648333333,-8.3335,-0.04016666667,-7.13149999999,-9.69550000001,-6.04983333333,-4.888,-8.3735,-4.86758333334
240.04,-0.1075,-6.55933333332,-2.72416666666,-2.079,-7.34766666665,0.036,-7.31183333332,-8.67383333335,-5.699,-4.26533333334,-7.27600000002,-3.65616666667
240.42,1.623,-4.02616666669,-1.0925,-0.6866666667,-5.02500000001,1.74783333333,-4.80666666667,-5.49316666667,-3.83883333333,-1.81016666667,-5.14983333332,-1.2015
240.79,4.4235,-0.316,1.68516666666,2.47500000001,-1.21116666667,4.42333333333,-1.34266666667,-2.18533333333,-1.05316666667,1.65866666667,-2.52766666666,2.22475
241.17,5.85966666665,0.866333333335,2.257,4.35483333333,0.7295,6.27,0.114,0.3875,0.273666666665,4.03583333333,-0.615666666665,4.651
241.54,5.716,1.80516666666,2.50716666666,4.99416666665,1.14316666666,6.91966666666,0.541500000002,1.103,1.70466666666,5.23483333334,0.641833333335,6.01675
241.92,5.25766666667,2.414,2.11033333333,4.84616666665,1.3415,7.00983333334,0.8585,1.6095,2.3605,5.38283333334,0.912,6.17858333334
242.29,5.11166666667,2.41433333333,2.31433333334,5.09499999998,1.68166666666,6.64333333333,0.699333333335,1.71483333334,2.11466666667,5.428,1.049,6.57716666667
242.67,5.69233333333,2.71966666667,3.24166666667,5.78750000002,2.84633333333,6.8785,1.01216666667,2.6565,2.973,6.02466666667,1.99233333333,7.22625
243.05,4.99383333333,2.80316666667,3.23233333333,5.56066666665,3.06366666667,6.204,0.735166666667,2.49683333333,2.742,5.7445,1.99133333333,6.61741666667
243.42,5.015,2.92416666667,3.106,5.5,2.7575,6.03033333333,0.712166666666,2.46983333333,2.15133333333,5.51516666667,2.22733333333,6.21966666667
