wavelength,Back_CyaCysm,Belly_CyaCysm,Breast_CyaCysm,Crissum_CyaCysm,Crown_CyaCysm,DorTail_CyaCysm,Patch10_CyaCysm,Rump_CyaCysm,Throat_CyaCysm,WingTip_CyaCysm
403.24,3.50533333333,63.4826666667,61.4884,6.18006666667,81.1987333333,4.62613333333,17.4374,67.4092,71.5893333333,3.72033333333
403.60,3.44233333333,63.4510666667,61.4261333333,6.12553333333,80.9442,4.58153333333,17.3565333333,67.4505666667,71.5295333333,3.6718
403.95,3.52453333333,63.4832666667,61.4329333333,6.18353333334,80.7225333333,4.6364,17.3968666667,67.5433333333,71.5276,3.7332
404.31,3.47186666667,63.4126666667,61.4062666667,6.119,80.437,4.57466666667,17.343,67.5937333333,71.4732666667,3.6792
404.67,3.4346,63.3895333333,61.3900666667,6.0902,80.1762666667,4.5322,17.2929333333,67.6588666667,71.4558,3.64353333333
405.03,3.40486666667,63.3415333333,61.3504666667,6.04626666667,79.9361333333,4.49186666667,17.2472666667,67.6988333333,71.4115333333,3.60773333334
405.39,3.41086666667,63.278,61.2472,6.05473333333,79.681,4.49946666667,17.2206666667,67.6800666666,71.2701333333,3.61033333333
405.75,3.39886666667,63.3017333333,61.2673333333,6.071,79.5568666667,4.5154,17.2142,67.8225,71.2884666667,3.61066666667
406.11,3.40786666667,63.2380666667,61.1972,6.07446666667,79.3108,4.51746666667,17.2152666667,67.8753,71.1775333333,3.62446666667
406.47,3.36906666667,63.1267333333,61.1057333334,6.02853333333,79.0568,4.48773333333,17.1298666667,67.8847333333,71.0414,3.58413333333
406.83,3.32933333333,63.1112,61.1017333333,5.98373333333,78.9325333333,4.41746666667,17.0688666667,68.0275,71.0408666667,3.52766666667
407.19,3.2832,63.0529333333,61.0578,5.94826666667,78.6895333333,4.35166666667,17.0097333333,68.0782333333,70.9754,3.4974
407.55,3.31073333333,62.9434,60.9542,5.964,78.4392,4.38333333333,17.0036666667,68.1039666667,70.8086,3.5242
407.90,3.28393333333,62.8908666667,60.9169333333,5.9668,78.2454,4.3874,16.9808666667,68.2123666666,70.7034666667,3.53333333333
408.26,3.2928,62.9478666667,60.9150666667,6.00413333333,78.1374,4.40833333333,16.9917333333,68.3797,70.6866,3.5328
408.62,3.3584,62.9507333333,60.9057333333,6.07693333333,78.0064666667,4.4618,17.0383333333,68.5019333333,70.6107333333,3.59853333333
408.98,3.38033333334,62.9491333333,60.8852,6.1266,77.8974666667,4.49786666667,17.0476,68.6404666667,70.5517333333,3.6088
409.34,3.41686666667,62.9960666667,60.9524,6.1462,77.8302,4.54113333333,17.088,68.8999666667,70.635,3.6452
409.70,3.44166666667,62.9670666667,60.9015333333,6.15866666666,77.6902666666,4.55213333333,17.1147333333,68.9627,70.5794,3.6588
410.06,3.37146666667,62.8286666666,60.7416,6.09293333333,77.455,4.50693333333,17.0094,68.9518333333,70.4337333333,3.59886666667
410.42,3.3392,62.7624666667,60.6688666667,6.04626666667,77.2654666667,4.46746666667,16.9616,68.9488333333,70.3045333333,3.60453333333
410.77,3.28753333333,62.6407333333,60.4832666667,6.02753333333,77.0146,4.43853333333,16.8800666667,68.9294,70.1348666667,3.58066666667
411.13,3.3198,62.5003333333,60.3253333333,6.0448,76.754,4.4642,16.8262,68.8879333333,69.9191333333,3.5928
411.49,3.33946666667,62.4482,60.2545333333,6.07433333333,76.5863333333,4.49306666667,16.7948,68.9040333334,69.8214666667,3.62666666667
411.85,3.37826666667,62.337,60.1211333334,6.09506666667,76.3740666667,4.50353333333,16.7672,68.9404666666,69.687,3.64866666667
412.21,3.3648,62.168,59.9246,6.0686,76.1189333333,4.45566666667,16.6790666667,68.8894333333,69.4908666667,3.6396
412.57,3.27373333333,62.0042666667,59.7306666667,5.97926666667,75.8720666667,4.37746666667,16.5464666667,68.8742333333,69.2988,3.56453333333
412.92,3.25486666667,61.8368666667,59.5566,5.94066666667,75.5858666667,4.3346,16.4660666667,68.8277333333,69.0745333333,3.546
413.28,3.21906666667,61.7076,59.4061333333,5.9044,75.4043333333,4.27633333333,16.344,68.8029,68.8691333333,3.50746666667
