wavelength,Back_CatAnam,Belly_CatAnam,Breast_CatAnam,Crissum_CatAnam,Crown_CatAnam,DorTail_CatAnam,Patch10_CatAnam,Patch11_CatAnam,Rump_CatAnam,Throat_CatAnam,WingTip_CatAnam
795.16,19.9513130952,28.6401333333,21.7188,24.7892666667,15.4707333333,12.4653666667,55.9485,22.5557333333,19.6505733333,19.9038666667,12.3041333333
795.47,19.3485190476,28.0947333333,21.4452,24.6174666667,14.9194666667,12.0632,55.8906,22.4443333333,19.2266,19.7629,11.7076666667
795.78,18.73105,26.9921333333,21.1728666667,23.9337333333,14.0936333333,11.0803,55.6089333333,21.9023333333,18.6386666667,19.4864333333,11.0382666667
796.09,17.6905595238,26.0152,19.9942,22.7574,12.7913333334,9.59559999999,54.7851333333,20.6572666667,17.5861333333,18.3122666667,9.99706666666
796.40,17.8072059524,26.128,19.7222666667,22.6020666667,12.7637,9.55783333334,55.4081666667,21.0772,17.7948933333,18.8492666667,9.92640000001
796.70,17.5821773809,26.1658,19.5970666667,22.5216666667,12.441,9.17966666667,55.9326,20.8808,17.51064,18.7421333333,9.38386666668
797.01,17.2905238095,25.7019333333,19.1904,22.4576,12.3370666667,9.1644,55.6446,20.7752,17.3953066667,18.7253,9.3368
797.32,16.6390809524,25.1538,18.769,21.9958,11.7629333334,8.88713333333,55.0273666667,20.1381333333,16.89956,17.6531,8.73746666667
797.63,16.3255083333,25.0000666667,18.8333333333,21.9596666666,11.5372666667,8.7385,54.9107666667,19.8275333333,16.9758266667,16.7670333333,8.81026666666
797.93,16.1439833333,24.6678666667,18.5656,21.7284,11.3081333333,8.58323333333,55.5527666667,19.4709333334,16.7630666667,16.4050666667,8.76539999999
798.24,16.2556404762,24.6362666667,18.5455333333,21.9114666667,11.4514666667,9.03816666667,55.3844,19.5488,17.1338933333,16.5599666667,8.869
798.55,16.3927142857,25.0764666667,18.4952666667,21.7369333333,11.6759,9.2018,55.7462,19.7677333333,17.3272266667,16.7064333333,8.92353333331
798.85,17.0265297619,25.9958,18.7948,22.4231333333,12.4541,9.64280000001,56.2721,20.3541333333,18.0018666667,17.4618666667,9.63646666667
799.16,16.9428047619,26.2532,18.5432666667,22.7162,12.5191,10.0858666667,56.6792333333,20.3943333333,18.0063733333,17.6969333333,9.68833333333
799.47,17.4470666667,26.6924666667,19.0043333333,23.4723333333,13.1328,10.7854666667,57.0611,21.0218,18.5296666667,18.1864,9.9836
799.78,16.3759416667,25.6472666667,17.941,22.7011333333,12.2211,9.77479999999,56.4648,19.8080666667,17.528,16.5242,8.73886666667
800.08,16.1836166667,25.3638666667,17.893,22.3329333333,12.1667333333,9.6544,55.4968,19.3553333333,17.5421066667,16.1882,8.58093333333
800.39,16.1450821429,25.2946,17.9852666667,22.1486666667,11.9411333333,9.4278,55.0302,19.545,17.63848,15.9738666667,8.53406666667
800.70,16.4286892857,25.2147333333,18.1388666667,22.5560666667,12.2154333333,9.12066666667,55.7021,19.8363333333,17.8117733333,16.2235333333,8.28886666667
801.00,15.9011392857,24.5568,17.5528,22.1941333333,11.3291333333,8.63216666667,55.9212666667,19.5992,16.9268133333,16.0583333333,7.1448
801.31,15.3247059524,24.345,17.3375333333,21.9524,10.7597666667,8.0831,55.0337,19.5172,16.7186133333,16.2123333333,6.4466
801.62,14.7853654762,24.2365333333,16.8530666667,21.8493333333,10.3083,7.41936666667,54.6667,19.2975333333,16.5734,16.1900333333,5.97146666667
801.92,14.5029726191,23.7319333333,16.8946666667,21.7949333333,9.7543,7.05493333333,53.8462666667,18.9671333333,16.46572,15.7159,5.7408
802.23,14.2013238095,23.1579333333,16.7275333334,21.597,9.50233333333,6.72026666667,53.5946666667,18.5034,16.00004,14.8872333333,5.17726666667
802.54,14.4770535714,23.0912,16.8446,21.4957333333,10.0677333333,6.95136666667,53.6217666667,18.6538666667,16.42744,14.8646666667,5.07126666667
802.84,13.0828404762,21.6807333333,15.9156666667,20.4865333333,8.74823333334,5.77973333333,52.7253,17.3747333333,15.2360533333,14.1058666667,3.7268
803.15,13.8355642857,22.0793333333,16.7334,20.7024666666,9.09733333333,6.5015,52.5852333333,17.9137333333,15.53784,14.7558,4.34126666666
803.46,14.2750595238,21.9944,17.0294,20.9902666666,9.41423333333,7.1514,52.8451333333,18.6681333333,15.86188,14.9477,4.76993333333
803.76,14.5010690476,22.0853333333,16.7503333333,20.7253333333,9.59546666667,7.50683333333,53.1067,18.4588,15.7685733333,15.1222333333,4.94413333334
804.07,14.2645154762,22.6736666667,16.4607333333,20.4956666667,9.43110000001,7.288,52.8447666667,18.3594,15.5826266667,15.5775333333,5.13086666667
804.38,14.4133595238,22.7298,15.7963333333,20.3719333333,9.22446666667,6.90523333333,53.0070666667,18.1333333333,15.39792,15.2420666667,5.01746666667
804.68,14.7889357143,22.5624666667,15.551,20.2463333333,9.36636666667,6.7864,52.9216666667,18.3456,15.2255866667,14.7836,4.92073333333
804.99,14.6520166667,22.3104666667,15.3863333333,19.4848666667,8.87693333333,6.26253333333,53.1581666667,18.1044,14.6423866667,14.0307,4.4778
805.30,13.9393035714,21.4321333333,14.2203333334,19.004,8.20786666666,5.2017,53.1733666667,17.2955333333,13.82624,13.1515,3.54066666667
805.60,14.2329059524,21.9337333333,14.5546666667,19.1349333333,8.31709999999,5.62333333333,53.5914,17.6444666667,14.55028,13.8822333333,3.80953333333
805.91,14.804097619,22.9065333333,15.0182666667,20.0,8.66823333333,5.91983333333,54.3709,18.4546666667,15.1405066666,14.1207,4.73873333333
806.21,16.3452714286,25.0295333333,16.1110666667,21.1555333333,9.91110000001,7.16656666667,55.7630666667,19.7852,16.57788,15.0851333333,6.16293333333
806.52,16.7884821429,25.7880666667,16.2612,22.0645333333,10.4954666667,7.54876666667,56.5427333333,20.2252666667,17.2597066667,15.9947,6.89933333333
806.83,17.1973809524,26.553,16.4510666667,22.2095333333,10.8892,7.90376666667,57.1432333333,20.2496666667,17.42108,16.7044,7.58233333333
807.13,17.8483297619,27.0210666667,17.4336,22.8131333333,11.503,8.19646666667,58.1194,21.1792,17.93444,17.4681666667,8.23893333333
807.44,18.4271190476,27.3538,18.0952,23.5598,12.2951666667,8.82516666667,58.4464333333,22.0297333333,18.3341466667,17.744,8.88366666666
807.74,19.9297023809,29.2271333333,20.4760666667,25.4254666667,14.192,10.6324,59.4341333333,23.6454666667,20.22012,19.5122333333,10.6870666667
808.05,19.8776464286,29.7042666667,21.2544666667,26.0039333333,14.3590333333,10.9269333333,59.7238333333,23.3135333333,20.4543866667,19.6923666667,10.4221333333
808.35,19.9690666667,29.8011333333,21.5907333333,26.4562666667,15.1579,11.3138666667,59.0838666667,23.2594666667,20.6347466667,20.0468,10.5884666667
808.66,20.1942809524,30.3642666667,22.7078,26.9991333333,15.2057666667,11.6785666667,59.2676,23.7530666667,20.78556,20.3524,10.8236
808.97,19.9549452381,29.4672,22.8878,27.0246,15.0238666666,11.8735333333,58.1424666667,23.2220666667,20.36592,19.9482666667,10.8512666667
809.27,19.8892261905,28.8084,22.7455333333,27.343,15.0886333333,12.0209,57.7657,22.7456,20.1642666667,20.3583333333,10.7569333333
809.58,19.374802381,28.0130666667,22.3973333333,27.3235333333,14.8481,11.5476666667,57.4261333333,22.3974666667,19.4712666667,19.4869333333,10.4024666667
809.88,19.4502059524,28.1415333333,22.8994,27.6273333333,14.7239,11.6056666667,57.5601333333,22.5452,19.4740533333,18.8075,10.2317333333
810.19,19.1049678571,28.3864,23.2268666667,28.0375333334,14.7851,11.5922,56.9434333333,22.6479333333,19.4278933333,18.0757333333,9.62966666665
810.49,18.1370559524,28.1014666667,22.5688,27.4828,14.0205666667,10.9751,55.8075,21.6752,18.3848666667,16.5292666667,8.35053333333
810.80,17.0674321429,27.1245333333,21.8479333333,26.0534666667,13.1519666667,9.8533,54.9999333333,20.3452666667,17.24176,15.1942,7.42660000001
811.10,16.0385178571,26.0994666667,20.576,24.7294,12.0724666667,8.90483333333,53.7086,19.1449333333,16.02968,14.1012666667,6.48346666667
811.41,15.8460416667,25.7459333333,20.1062,24.3381333333,11.9787666667,8.64090000001,53.8201666667,18.7782666667,15.8706533333,14.2363666667,6.64886666667
811.71,15.8403071429,26.1878,20.4972666667,24.9354666667,11.4548666667,8.58656666667,55.1933,19.1069333333,15.7091066667,14.5304,6.99826666667
812.02,16.2589011905,26.8811333333,20.9512,25.7435333333,12.3729666667,9.04900000001,56.3916333333,19.8416,16.5165066667,15.3706,7.739
812.32,16.1738321428,27.2934666667,21.2346,25.5174,11.8993666667,8.5184,57.1937333333,20.1994,16.37612,15.2089333333,7.4358
