wavelength,Back_ThrAbbm,Belly_ThrAbbm,Breast_ThrAbbm,Crissum_ThrAbbm,Crown_ThrAbbm,DorTail_ThrAbbm,Patch10_ThrAbbm,Patch11_ThrAbbm,Patch12_ThrAbbm,Rump_ThrAbbm,Throat_ThrAbbm,WingTip_ThrAbbm
601.88,11.3602666667,27.7682666667,24.4484666667,26.5715333333,14.8092666667,8.99506666666,50.0009333333,20.4289333333,4.61073333333,19.4113333334,22.0265666667,10.3864666667
602.21,11.4011333333,27.8194666667,24.5144666667,26.6098,14.8436666667,9.07139999999,50.0266,20.5245333333,4.63783333333,19.4578666667,22.1027666667,10.4316666667
602.55,11.3627333333,27.8514666667,24.5188,26.6339333333,14.8132666667,9.03773333333,50.0692666667,20.5504666667,4.55886666667,19.4326,22.1224666667,10.4021666667
602.88,11.3491333333,27.8736,24.5071333333,26.6568666667,14.8038666667,9.02959999999,50.0768666667,20.5700666667,4.52753333333,19.4255333333,22.12,10.4109
603.22,11.3805333334,27.9414666667,24.5620666667,26.7225333333,14.8289333334,9.04286666667,50.2253333333,20.6330666667,4.5193,19.4574666667,22.1962333333,10.4206666667
603.56,11.3522666667,27.902,24.5324,26.6841333333,14.8103333333,9.03733333334,50.2116666667,20.6158666667,4.47406666667,19.424,22.1578,10.3919333333
603.89,11.3557333333,27.8878666667,24.5218666667,26.6647333334,14.8118666667,9.05606666667,50.1776,20.5964,4.4656,19.4013333333,22.1252666667,10.4025
604.23,11.285,27.8792,24.4436666667,26.6284,14.7599333333,9.00913333333,50.1353333333,20.5353333333,4.42453333333,19.3420666667,22.0581,10.3676333333
604.56,11.2952,27.8683333333,24.4359333333,26.6004,14.7564,9.02413333333,50.1266666667,20.5459333333,4.42786666667,19.3316666667,22.0642,10.3894333333
604.90,11.3182,27.852,24.3745333334,26.5336666667,14.7385333333,9.04306666667,50.0336666667,20.4982,4.4642,19.2932666667,22.0342,10.3875666667
605.23,11.3434,27.8774,24.3736,26.5564666667,14.7674666667,9.08640000001,50.0511333333,20.5214,4.4911,19.2892,22.0394,10.4267
605.57,11.3596,27.829,24.3360666667,26.5612666667,14.748,9.11786666667,50.03,20.5017333333,4.50633333333,19.2716666667,22.0330666666,10.4635333333
605.90,11.3418666667,27.7466,24.2430666667,26.4952,14.7332,9.08513333334,49.9101333334,20.4419333333,4.506,19.2458666667,21.9976,10.4338333333
606.24,11.3689333333,27.7603333333,24.2497333333,26.5111333333,14.7492666667,9.13699999999,49.9015333333,20.4354666667,4.5555,19.2676,21.9935333333,10.4692666667
606.58,11.4176,27.7976666667,24.2986666667,26.5416,14.7687333333,9.17566666667,49.9389333333,20.4594666666,4.58976666667,19.2882666667,22.0694333333,10.4927333333
606.91,11.4119333333,27.8084,24.3052666667,26.5352,14.7636,9.17146666667,49.8378666667,20.4288666667,4.59346666667,19.286,22.0542,10.5100666667
607.25,11.4796,27.8926,24.3688,26.5450666667,14.7995333333,9.20073333333,49.8359333333,20.4619333333,4.66576666667,19.3264666667,22.1375666667,10.5793333333
607.58,11.4958666667,27.9312,24.4141333333,26.5633333333,14.8169333333,9.21519999999,49.8381333333,20.4907333333,4.70263333333,19.3472,22.1989,10.6053
607.92,11.5462,27.9471333333,24.4552666667,26.5872,14.8506666667,9.21326666666,49.8772,20.5358,4.7114,19.3937333333,22.2394666667,10.6349
608.25,11.5696666667,28.0002,24.4938,26.643,14.8604,9.24499999999,49.9449333333,20.5816,4.74606666667,19.4518666667,22.2728333333,10.6875
608.59,11.5347333333,27.9897333334,24.5006666667,26.6724,14.8386666667,9.24233333333,50.0210666667,20.6128666667,4.71736666666,19.4469333333,22.2733,10.7038666667
608.92,11.5706,28.0217333333,24.5210666667,26.6889333333,14.86,9.26306666666,50.052,20.6534,4.7505,19.4922,22.2947666667,10.7664666667
609.26,11.5308,28.0027333333,24.5041333333,26.6551333333,14.7881333333,9.18786666667,50.0427333333,20.6012666667,4.71496666667,19.4436666667,22.2474666667,10.7278666667
609.59,11.5618,28.0688666667,24.5657333333,26.6898,14.7618,9.22926666666,50.1446666667,20.6092666667,4.7128,19.464,22.2412333333,10.7601666667
609.93,11.5892,28.0342,24.5702,26.6712666667,14.743,9.24519999999,50.1389333333,20.5846666667,4.7329,19.4630666667,22.2322,10.7966
610.26,11.5422666667,27.9822666667,24.5002,26.5983333333,14.6645333333,9.21606666667,50.0488666667,20.519,4.7055,19.3910666666,22.131,10.8033
610.60,11.5024666667,27.8808,24.3939333333,26.5296666667,14.6166666667,9.20533333333,50.0284666667,20.4679333333,4.70883333334,19.3200666667,22.0539333333,10.8245333333
610.93,11.4584,27.7886666667,24.3178,26.5048666667,14.5437333333,9.17653333333,50.0116,20.3845333333,4.6805,19.2536,21.9465666667,10.8098666667
611.27,11.4462,27.7558666667,24.2707333333,26.4906,14.5054666667,9.15833333333,50.0101333333,20.3235333333,4.6502,19.2324666667,21.8940666667,10.8119333333
611.60,11.373,27.6406666667,24.1650666667,26.3934,14.4212666667,9.12273333332,49.8560666667,20.2240666667,4.6297,19.1238666667,21.7784,10.7938333333
611.93,11.3274666667,27.5486666667,24.1156666667,26.3269333333,14.3830666667,9.0976,49.8073333333,20.1769333333,4.58803333333,19.0674,21.7136333333,10.7464
612.27,11.3232,27.4997333333,24.0816666667,26.2513333333,14.3462,9.09166666667,49.7159333333,20.1394666667,4.60333333333,19.067,21.6650333333,10.7479666667
612.60,11.2384,27.4117333333,24.0168666667,26.1552,14.264,9.02473333335,49.5948666667,20.0243333333,4.5364,18.9731333333,21.6101333333,10.6711666667
612.94,11.2503333333,27.4132666667,24.0078,26.1503333334,14.2917333333,9.085,49.576,20.0625333333,4.5518,18.9720666666,21.6075666667,10.6952666667
613.27,11.3154666667,27.428,24.0301333333,26.1966666667,14.3478666666,9.13866666666,49.5726,20.1292666667,4.61623333333,19.0058,21.6731666667,10.7551666667
613.61,11.3432,27.4412,24.0240666667,26.2072666667,14.3647333333,9.1264,49.572,20.1558,4.64913333333,19.0311333333,21.6522333333,10.7505333333
613.94,11.3921333333,27.5146666667,24.0899333333,26.3089333333,14.4432666667,9.17859999999,49.6711333333,20.2306,4.7016,19.1326,21.7414666667,10.7966333333
614.28,11.4091333333,27.6075333333,24.13,26.3260666667,14.4665333333,9.21473333333,49.6937333333,20.232,4.69966666667,19.1608,21.8253666667,10.7875
614.61,11.3889333333,27.6085333333,24.1258666667,26.3471333333,14.5007333333,9.22133333334,49.6780666667,20.2533333333,4.64736666667,19.1833333333,21.8747,10.7655333333
614.94,11.3914666667,27.6055333333,24.1643333333,26.3593333333,14.5171333333,9.24173333335,49.6717333333,20.2786666667,4.67386666667,19.1802,21.8962666667,10.761
615.28,11.4939333333,27.7553333333,24.2986,26.5102666667,14.6313333333,9.35153333333,49.8793333333,20.3990666667,4.77093333333,19.2993333333,22.0318333333,10.8411
615.61,11.549,27.8751333333,24.3735333333,26.5800666667,14.6870666667,9.37913333333,49.8976666667,20.4418666667,4.8434,19.3573333333,22.1355333333,10.9113333333
615.95,11.6378666667,27.9768666667,24.4744,26.7051333334,14.8052666667,9.42713333333,49.9974,20.5578666667,4.8932,19.4405333333,22.2197333333,11.0056666667
616.28,11.7054,28.0292,24.5389333333,26.7434,14.8404666667,9.49326666667,50.0464,20.6264,4.9202,19.4873333333,22.2858666667,11.0622666667
616.61,11.6633333334,28.0395333333,24.5604,26.788,14.8109333333,9.44873333333,50.0469333333,20.6099333333,4.8725,19.526,22.2565333333,11.0317666667
616.95,11.6139333333,28.0748666667,24.6264,26.7962666667,14.7911333333,9.38273333333,50.0632666667,20.6176666667,4.81956666667,19.5277333333,22.2717333333,11.0290333333
617.28,11.5904,28.1403333333,24.6542666667,26.7986,14.7839333333,9.38733333333,50.0475333333,20.6508666667,4.79413333333,19.5162,22.2979,11.0033333333
617.62,11.5628666667,28.0976,24.635,26.7663333333,14.7341333333,9.30626666667,50.0617333333,20.6354666667,4.74866666667,19.4705333334,22.2407,10.9422666667
617.95,11.642,28.1333333333,24.7182666667,26.8788,14.8318666667,9.33333333334,50.1102666667,20.7305333333,4.81536666667,19.5640666667,22.2784,10.9915333333
618.28,11.7317333333,28.2366666667,24.8264666667,26.9934,14.8885333333,9.43273333334,50.2559333333,20.8201333333,4.91663333333,19.6653333333,22.3367666667,11.1161333333
618.62,11.7136666667,28.2888,24.8212666667,27.0426666667,14.8814,9.43653333333,50.3201333333,20.8684,4.90826666667,19.7220666667,22.3533666667,11.1295
618.95,11.6496,28.2060666667,24.7449333333,26.9494,14.7888666667,9.34513333333,50.2449333333,20.7734666667,4.81066666667,19.6435333333,22.2475,11.0373333333
619.28,11.6065333333,28.1829333333,24.7517333333,26.9710666667,14.7102,9.29193333333,50.2924,20.7384666667,4.68976666666,19.6182666667,22.2056666667,11.0053
619.62,11.5693333333,28.2288,24.7671333333,26.9978666667,14.6993333333,9.28646666667,50.3578666667,20.678,4.65253333333,19.5935333334,22.2239666667,10.9896666667
619.95,11.5777333334,28.2042666667,24.7754,27.0294,14.6854,9.31059999999,50.3847333333,20.6861333333,4.6688,19.6135333333,22.2282,10.9834333333
620.28,11.665,28.2852666667,24.8261333333,27.0518666667,14.7680666667,9.40346666665,50.3552666667,20.7433333333,4.78446666667,19.6583333333,22.3277333333,11.0883333333
620.62,11.7111333333,28.2938,24.8184,27.1212,14.8102,9.47213333333,50.3398,20.746,4.85873333333,19.6787333333,22.3250333333,11.1049
620.95,11.7534666667,28.2760666667,24.8529333333,27.1784,14.8391333334,9.49613333332,50.3828666667,20.7714,4.90046666667,19.7002,22.3623666667,11.1535666667
621.28,11.8388,28.3382666667,24.9090666667,27.1912,14.9398,9.62073333333,50.341,20.8042666667,4.98413333333,19.7597333333,22.4268,11.2829333333
621.62,11.8619333333,28.3578666667,24.9223333333,27.1308666667,14.9391333333,9.64033333333,50.3029333333,20.776,4.99016666667,19.7316666667,22.4336666667,11.3000666667
621.95,11.7342666667,28.2930666667,24.7699333333,26.9693333333,14.8292,9.50419999999,50.0909333333,20.6528666667,4.86246666667,19.6,22.3173666667,11.1577666667
622.28,11.8116,28.3330666667,24.8308666667,26.9848666667,14.8867333333,9.55506666667,50.091,20.6732,4.9063,19.6292666667,22.3661333333,11.2157
