wavelength,Back_SalAurm,Belly_SalAurm,Breast_SalAurm,Crissum_SalAurm,Crown_SalAurm,DorTail_SalAurm,Patch10_SalAurm,Patch11_SalAurm,Patch12_SalAurm,Rump_SalAurm,Throat_SalAurm,WingTip_SalAurm
196.27,82.5263333334,84.9123333333,90.1754666667,110.596466667,84.6315333333,70.3827030303,75.7194,91.2983333333,83.4037,90.1754666667,65.1228000001,82.6042296297
196.65,90.8130000001,96.4228000001,100.243866667,122.845533333,98.6992000001,75.3842151515,84.0650000001,101.869933333,96.2193999999,98.4553333333,74.9592,100.460770371
197.03,98.6068666668,105.5722,110.746266667,137.015,111.5422,84.9977181818,93.5322666667,108.159133333,102.935166667,108.955133333,80.7959999999,114.262022222
197.40,96.2711999999,105.423866667,114.802266667,137.514066667,115.706133333,84.4375999999,87.3445999999,105.536666667,99.9433666666,109.830533333,80.9038666666,118.141903704
197.78,94.9495333333,98.4848666667,112.121333333,131.616066667,114.848333333,91.0467060606,87.4748,101.818266667,97.2222999999,107.4748,86.8688,119.831503704
198.16,96.1904666667,100.8162,118.503466666,152.108866667,122.176866667,96.1781545455,84.7619333332,96.3265999999,95.2381000001,109.2518,90.0680000001,132.98557037
198.54,108.761866667,117.523733333,134.095266667,182.666533333,138.285733333,99.8529393939,82.0952000001,100.761933333,97.5238333332,127.428533333,97.7142666667,157.693111111
198.92,180.784266667,194.901933333,240.392266667,324.705933333,216.862533333,142.69159697,120.3922,153.333333333,148.039133333,210.9804,154.902,289.498881482
199.30,112.280666667,112.631666667,173.684133333,234.035,157.192933333,68.149790909,71.93,81.0526666668,91.4034666668,145.614066667,99.6490666667,208.966792593
199.68,144.666666667,112.333333333,201.333333333,243.666666667,171.666666667,99.2121212122,95.3333333333,79.3333333334,109.833333333,187.0,124.333333333,217.296296296
200.06,85.1282666668,53.3334666668,147.435933333,156.153866667,98.2051333333,70.6527121211,37.9487333334,31.7948666667,57.3077666667,126.923066667,70.0000000001,145.242274074
200.44,83.9583333333,38.5416666667,127.916666667,132.291666667,86.4583333334,62.0738636363,32.7083333333,18.125,52.5000000001,108.541666667,72.2916666667,128.773148148
200.82,61.1110666667,32.3333333334,83.5556,87.2221333333,63.6667333333,55.287769697,36.2223333333,21.4444,40.9999333333,74.7778000001,53.2222666667,81.7037111111
201.19,64.6155333333,44.0293999999,81.3919333334,81.2454,62.3444,61.7483212121,45.4213333333,40.8059333333,52.8205333333,77.0695333334,58.6813333333,79.7639185187
201.57,66.2137333334,44.2718666667,81.1002,82.2654000001,61.165,64.9456090909,51.1326,44.013,56.0517666667,77.6698666667,61.0355333333,79.5396666666
201.95,62.7490666666,41.0996,80.4812,80.6186666667,59.3126666667,65.0141424242,45.9793333333,40.2062,55.9449333333,75.1889333333,56.9758,77.495325926
202.33,64.1954666667,42.3562666667,77.4712,74.1954000001,60.2873333333,60.9717151515,48.9655333333,46.6667333333,58.8792666667,72.8733999999,57.8736666667,73.6526518519
202.71,58.6977999999,37.6040666667,70.9371333333,69.2706666667,55.1039333333,57.0761939394,45.5728666667,43.1248,54.9476666667,63.8019333333,54.6874,68.9292148148
203.09,57.3140666667,37.0264,67.9137333333,69.2086666667,58.1776,61.0857606061,46.9065333333,46.283,55.5875666667,61.9184,56.1630666667,67.2528666667
203.47,60.0442666667,42.7814,70.5517333333,71.6556666667,62.3399333333,67.9171242424,49.7130666667,50.2868666667,58.4988333333,63.1787333333,61.3244666666,70.0809111111
203.85,56.9002,42.8025333333,68.8746666666,69.0022,60.2548,66.3038787879,48.4076666667,49.4267333333,56.8365333333,58.2591333333,60.8492666667,68.3935777778
204.22,57.9521333333,45.3596,69.8474,68.9759333333,62.0043333333,63.854230303,49.0632,51.5468,57.3420666667,57.9085333333,63.4422666666,69.7313777778
204.60,60.1636666667,50.0613333333,70.4703333334,69.6114,62.8628666667,64.6440363636,51.7791333333,55.5828,59.7954333333,57.8730666667,64.2535333333,70.3067777778
204.98,60.2614,52.1133333333,73.2026,69.5424666667,65.4467333334,65.9972030303,53.5946666667,56.9501333333,60.0653,60.2614,66.0130666667,72.1520888889
205.36,58.322,48.9796666667,71.6552,67.0748,64.9433333333,65.1886272727,52.8798,55.3288,55.7142333333,57.0068666666,65.3968666667,71.171562963
205.74,61.022,53.5766666667,75.4744000001,67.9318666667,69.3918,66.8878575758,54.1606666667,57.421,55.7421333333,59.4648,68.3212,76.1609481481
206.12,60.0444000001,52.4000666667,72.3110666667,66.6220666667,67.2444,64.2060030303,54.2666,56.1776666667,52.4,60.1776666667,66.3112,74.0000592593
206.50,60.3069999999,52.9824666667,73.8158,71.4912,66.886,68.3811,54.1228,56.0526,53.3772333333,61.4034666667,68.5086,75.589762963
206.87,67.6510666666,57.1364666667,82.4161333333,77.0469333333,74.8992666667,75.3284151515,60.4474666667,62.3715333333,59.105,69.9327333333,76.7784,81.824562963
207.25,59.1326,50.4108,76.7579333333,67.8994666667,66.8493333333,65.9090636364,53.1506666667,54.6574,51.0503666667,64.3835333333,69.4977333333,76.2862148148
207.63,64.2336666667,55.0366,82.9683333333,71.8248000001,71.3868666667,70.4313181818,58.5888,58.5401333333,54.0147,70.2190666666,74.5498,83.5089555556
208.01,65.9752666667,55.9012,83.4073333333,74.7653333334,74.1728666667,72.3705090909,60.9384,60.5432666667,54.2963666667,74.5184666667,76.0988,87.615837037
208.39,68.4210666667,58.772,83.9912,77.1929999999,74.6929333333,76.1162363637,67.0174666667,63.9910666667,58.1579333333,76.3597333333,76.9737333333,88.1920148149
208.77,68.8157333333,56.9736,83.7719333333,77.7192,75.3509333334,76.0925454546,67.8947333333,65.3509333333,59.7149666667,78.9911999999,76.7980666666,88.9862814814
209.14,68.0609333333,52.6361333333,80.4791333333,74.9891333333,71.7646666667,73.4976666667,62.4836,61.8300666667,58.3006333333,75.3376666666,74.5099333333,85.3013481481
209.52,65.6808,48.7794,78.169,73.6150666667,68.9672,69.5369242424,58.216,56.1970666667,56.7137,72.5821333333,71.8310666667,82.1283481482
209.90,63.3103333333,41.9309333333,70.2068666667,68.7357333333,63.5402,63.8914424242,54.1609333334,52.092,54.2989666667,66.4826666667,66.0689333333,76.8379185185
210.28,73.5385999999,48.6153333333,79.2308,75.7948666666,70.8718000001,71.0979939394,63.1282,62.1024666667,65.1539666667,72.2564666667,75.9487333333,86.9174666667
210.66,79.0476,49.4118,82.1849333333,74.2296666666,74.2297333333,72.3733515152,65.3220666667,64.5938,66.1343666667,75.8542,77.9272,88.6274962963
211.03,78.0106666667,51.4516,81.2365333333,73.0107999999,73.8708666666,72.6296030303,67.1505333333,67.4193333333,66.0752333333,75.0536666667,75.8602,87.7957333334
211.41,85.4501333333,62.3844666667,88.8078000001,82.5791333333,83.3089999999,82.4175030303,75.9122666667,75.134,75.1338666667,84.1362000001,84.1362,94.6255555555
211.79,82.2387333333,58.01,85.1742000001,82.0896666665,81.4427333334,78.9800848485,70.3980666666,74.8756666666,74.3781666667,81.7412666667,81.7412666667,90.5748074073
212.17,79.7511333333,58.0596,81.8408666667,78.1594000001,78.6069333333,75.8140484848,67.7113333333,71.7908666667,73.6317333333,80.1493333333,78.1591333333,84.8314444445
212.55,76.5839333333,51.3498666667,80.7162,73.9943999999,74.1597333333,72.093639394,62.7548,66.8869333333,68.2645333333,77.4104,71.7905333333,79.247037037
212.92,75.9365333333,51.9364666667,86.2856666667,76.9524,74.5397333334,75.1803484848,62.0317333334,64.0634666667,68.6349,78.2222666668,73.3333333333,81.2275629629
213.30,80.0725333333,60.9420666667,98.261,85.0724666668,79.0579999999,80.5237757576,67.4637333333,71.6666666667,73.5145333334,85.0000000001,77.9710666666,89.8631851852
213.68,92.2222666668,74.2063333333,114.3652,96.1903333333,91.7461333333,93.1963000001,74.0476666666,83.8096000001,85.4367,98.2539999999,91.1110666666,105.749525926
214.06,89.6704000001,76.5569333333,114.358866667,97.2892666667,91.2820000001,94.718609091,71.5018000001,82.1977999999,84.945,95.9705999999,94.066,102.555896296
214.44,73.5674,66.4328,94.7953333334,84.4443999999,77.3683999999,80.2153787879,58.3626,67.4854666667,69.6199666666,82.1638000001,79.3567999999,84.4510074075
214.81,67.7687333333,65.0137333333,91.5701333333,81.4325333333,77.1899333333,78.9833121212,58.5674666667,63.5262,65.6748333333,78.0164000001,76.6942,82.3386000001
215.19,64.8855333334,63.4097333333,86.7684666666,78.0153333333,73.7913333333,72.2622727273,55.0127333334,58.7278,60.7124333333,73.9949333333,72.5700666668,75.6234962963
215.57,62.6229333333,60.7103333333,86.7214666666,73.6611333333,70.7105333333,69.773930303,51.1475333333,54.2077333334,56.6941333333,69.8908666667,69.7813999999,70.6922222222
215.95,59.4958,56.4705333333,82.409,68.1792666667,64.8739333333,66.2517212121,46.8348,46.4426,52.4929333333,64.7059333333,63.6414000001,66.3679185185
216.32,60.5128,56.6952,83.7037333335,69.5726666667,69.5727333333,68.5883666667,48.775,48.4901333333,52.6496333333,64.5014,65.9829333333,71.1173703704
216.70,63.0993333333,61.813,84.6198000001,72.7484666667,74.7952666667,73.4768515151,48.8889333333,51.2280666667,57.7777333333,65.7310666667,72.1053333333,77.2580592593
217.08,69.5165333334,64.8347333333,83.5116666666,74.2494666667,78.6260666668,74.6611424243,54.4529333333,57.5573333333,64.0713666667,68.9058,74.3002000001,79.4232814815
217.46,74.3010666667,64.301,85.1613333333,79.3009333334,85.0537333333,78.7586787879,57.8494666667,61.1290666667,69.1935333333,70.2689333333,79.2474666666,83.7275925926
217.83,61.8906,54.0299333333,72.388,70.1991333334,75.1742,68.3580333333,52.3881333333,53.4824666667,61.1194,59.5522,70.8456666667,72.5648
218.21,63.2814,57.1873333333,75.6769999999,73.9061333333,81.1458666666,72.3556181818,57.1354,59.375,64.9479,63.5937333333,75.6770666667,77.4883333333
218.59,69.9083333333,59.2048,79.1437999999,78.104,89.0520666667,79.0130424243,61.3454666667,62.9968,69.6330333333,68.8685333333,81.4066,83.853274074
