wavelength,Back_HemVerm,Belly_HemVerm,Breast_HemVerm,Crissum_HemVerm,Crown_HemVerm,DorTail_HemVerm,Rump_HemVerm,Throat_HemVerm,WingTip_HemVerm
187.91,274.537,359.25925,330.5555,180.092666667,404.166666666,233.79625,361.574,296.75925,291.203666667
188.29,286.111166667,386.111166667,371.11125,174.999833333,448.888916667,266.666666667,422.777666667,320.0,303.888833333
188.67,195.833416667,273.86375,246.211916667,118.5605,298.48475,184.848583333,315.909083334,207.196833333,198.10625
189.05,231.81825,394.697,337.87875,90.1513333333,471.969666667,234.091,512.121166667,245.454416667,271.212
189.43,108.712083333,183.33325,151.51525,27.27275,226.136333333,128.03025,252.272666667,106.43925,138.63625
189.81,71.2300833334,107.539666667,82.1427500001,31.5476666667,124.404583333,81.7459999998,146.825416666,71.2300000001,89.881
190.19,34.0773333333,63.3929166666,41.2201666666,5.65483333332,77.3809166666,43.3035000001,89.1368333332,36.0117500001,50.14875
190.57,35.9589166667,55.36525,40.411,15.1825833333,64.7261666667,39.2694166666,71.5754166667,38.242,45.0913333333
190.95,21.60475,44.4443333334,21.4504999999,-9.41358333334,52.9320833333,26.8519166668,67.2839166667,30.2469166667,33.79625
191.33,8.98683333331,38.7253333334,8.49666666666,-14.3790833333,45.9149999999,26.14375,66.8300833333,26.7975000001,33.0066666667
191.71,-3.40916666665,40.341,-1.32575,-22.5378333333,46.78025,22.538,74.2424166667,28.9774166667,42.9924166667
192.09,-38.3334166667,13.0555833333,-35.5555000001,-84.4444999999,19.4445000001,-14.9999166667,63.0556666666,-1.66666666682,21.38875
192.47,-35.15625,24.4791666668,-29.1666666667,-69.7916666667,21.6145833332,-21.0937500001,51.8229166668,16.4062499999,30.2083333333
192.85,-8.51074999999,28.5460833333,3.90066666667,-28.7233333333,29.25525,-0.531833333325,40.78025,36.8794166667,40.071
193.23,10.4884166667,37.5,14.3678333333,-8.90808333332,36.7815833333,14.224,47.8448333333,46.5516666667,43.247
193.61,8.87683333335,50.9057500001,15.5795833333,-18.6594166667,41.1233333333,6.52183333334,53.80425,51.9927500001,49.4564166668
193.99,-2.84558333333,54.26825,17.0730833334,-32.11375,40.8535833332,-0.609750000007,53.6585,49.7968333333,42.4797499999
194.37,19.5238333333,84.2856666667,40.9525000001,-13.09525,55.2380833333,4.76191666675,84.2856666665,82.1429166667,54.2858333333
194.75,11.9370000001,68.6937500001,32.6575833332,-15.5406666667,32.4324166667,1.126,79.0539166667,61.7118333334,40.0900833334
195.13,20.3030833333,58.03025,34.5454166668,2.12116666666,30.3029166668,16.0605,57.2728333333,48.1818333333,38.4849166666
195.51,30.1073333333,58.0645,37.4998333334,6.98925,27.4194166667,20.699,50.6720833333,47.31175,38.5753333334
195.89,28.5898333333,53.2053333333,29.9999166668,-2.05116666668,21.4103333333,12.5640833333,33.4615833333,41.7949166667,26.6665833333
196.27,35.0648333333,57.684,31.7101666667,13.6364166667,26.6234166666,15.909,36.6884166667,44.2641666666,33.33325
196.65,40.2778333333,56.9445833333,31.0895833333,16.23925,31.7308333333,19.2308333333,36.4316666667,43.6965833333,34.40175
197.03,43.65075,59.52375,17.9893333333,7.27516666668,29.1004166667,7.80425,34.7883333333,35.9788333333,27.2485
197.40,43.75,60.8333333333,18.3334166667,9.16666666667,29.1665833333,3.05549999999,33.1943333334,38.1945,30.97225
197.78,50.53775,63.7096666667,24.1936666667,25.9408333333,33.8710000001,12.3655833333,37.5000833333,52.0161666666,39.6505
198.16,49.6031666667,56.0845000001,21.56075,30.8200833334,33.2010833332,9.12700000001,29.2325833333,49.3386666667,43.9153333333
198.54,46.7215,52.3224166667,14.2075833333,32.377,37.9781666666,12.9781666667,30.7375833333,46.7213333333,49.317
198.92,37.3455833333,50.4629166666,6.32716666666,30.0924166667,40.5863333334,-0.308749999975,26.2345,45.3703333333,44.59875
199.30,37.7604166667,43.6197499999,12.7604166667,35.6771666667,44.2709999999,2.86449999999,29.0364166666,43.48975,40.1041666666
199.68,26.00575,29.59775,4.02308333341,32.9024166667,39.5114166667,-7.7585,21.2644166666,40.0861666667,28.8794166667
200.06,34.4748333333,40.0685833333,23.5160833333,51.8264166667,44.7487500001,13.35625,42.694,50.4566666667,41.0959166666
200.44,40.8088333334,48.03925,31.2500000001,62.9901666666,55.2695833333,18.8725833333,51.3480833333,60.0490833333,48.16175
200.82,44.2386666666,49.8970833333,33.33325,66.5639166666,57.2016666666,25.4115,56.0700000001,60.9054166667,53.4978333333
201.19,37.8690833333,43.8818333334,33.96625,63.7131666666,57.8059166668,24.8946666667,53.3755,61.8143333333,50.1055833333
201.57,34.7776666667,43.5555,32.1111666667,62.8889166666,58.2221666667,21.7776666667,47.2222500001,65.3332500001,48.7778333333
201.95,29.9196666667,41.06425,28.7148333334,51.5060833333,55.3212500001,20.3815833334,35.743,56.72675,43.5743333333
202.33,26.37125,37.2363333333,21.5189166666,47.2573333333,50.1055833333,14.9788333333,32.5949166666,51.4769166667,35.5485
202.71,23.3133333333,30.3571666667,16.9640833334,41.1705833334,45.4365,13.1945833333,20.83325,45.4365,27.6786666667
203.09,31.13025,35.6321666667,19.4444999999,44.6359166667,50.6705000001,22.6053333333,22.0306666667,53.44825,33.0459166667
203.47,33.3334166667,34.0116666667,12.11225,44.3798333333,44.8644166667,21.7054166667,18.8954166667,54.9419166667,27.9070833333
203.85,41.39775,43.45875,15.1433333334,51.7025833333,48.7455000001,26.7920833333,22.6703333333,57.3476666667,35.39425
204.22,41.9609166667,36.4705833333,6.07833333333,50.2940833333,48.03925,17.6469166667,11.3725,53.7255833333,32.1569166666
204.60,49.5671666667,41.9913333333,6.38525000009,61.25525,56.1689166667,23.3765,11.2554166667,62.7706666667,37.3375833333
204.98,65.1191666666,51.0713333333,16.4286666667,73.8095833333,67.2620000001,36.90475,15.0000833334,72.14275,40.2381666667
205.36,72.1861666667,55.9523333333,22.1863333333,81.60175,66.2337499999,40.5843333334,16.2338333333,71.75325,44.4806666667
205.74,73.2511666666,56.0699166667,26.6461666668,86.9340833334,67.3868333334,44.3415,21.2963333333,67.9013333333,46.502
206.12,76.8889166667,54.1110833333,23.9998333333,94.4445,65.1111666667,44.111,24.9999166667,68.7779166667,46.66675
206.50,60.28825,44.8559166667,11.6255833334,75.8229999999,50.72,34.4650833333,15.0205833333,58.0246666667,34.4651666667
206.87,59.6078333333,47.0588333333,14.9019166667,75.1961666666,50.2939166667,31.1765833333,17.2548333333,58.03925,35.39225
207.25,63.1525833334,48.4940833333,18.2730000001,82.5300833334,49.6988333333,30.4216666667,16.8675833333,54.4176666667,35.9438333333
207.63,64.8268333333,52.05625,22.0778333332,85.28125,55.5193333334,32.57575,20.5626666666,56.8180833333,38.85275
208.01,62.2429166667,50.1029166666,24.4854166666,74.7939999999,54.6297499999,31.58425,21.605,55.45275,38.3745833333
208.39,67.8404166667,54.108,28.0516666668,83.5680833333,59.155,36.9716666667,18.89675,56.8075833333,36.7369166667
208.77,61.0044166667,45.9401666667,30.2350000001,76.282,56.5170833333,38.03425,16.8803333333,53.09825,32.0513333333
209.14,37.87875,29.0405,9.59600000009,63.2577499999,33.7120833334,14.7728333334,-6.81825,41.1616666667,10.4799166667
209.52,32.3233333333,27.5253333333,11.2371666666,55.68175,30.0504999999,10.9848333333,-4.54541666667,43.0556666667,10.1010833333
209.90,26.5151666666,20.0216666667,3.24666666677,41.7749166667,20.02175,2.922,-3.67966666666,33.00875,3.89608333333
210.28,26.1179166667,19.9185833333,2.43891666657,43.2925,21.1381666666,-0.203249999983,-3.25208333332,28.8618333333,3.35358333333
210.66,43.1371666667,33.8233333333,21.5685833333,63.2354166667,39.7058333333,16.9606666667,13.1371666667,44.8040833333,21.07825
211.03,53.5539166667,43.995,31.0048333334,79.9019166665,54.0441666666,21.9363333333,17.7695833333,55.8823333333,30.1470833333
211.41,60.7759166667,48.4194166667,37.6436666666,81.7528333333,70.2585000001,26.5804166667,21.4079166667,68.2471666666,36.0630833333
