wavelength,Back_NemPilf,Belly_NemPilf,Breast_NemPilf,Crissum_NemPilf,Crown_NemPilf,DorTail_NemPilf,Patch10_NemPilf,Rump_NemPilf,Throat_NemPilf,WingTip_NemPilf
543.12,20.7600666667,55.2106666667,42.9366,42.5413333333,19.1378666667,17.4279333334,23.0793333333,21.891,43.6414,10.4752666667
543.46,20.7374,55.291,42.9866,42.5978666666,19.1242,17.411,23.0447333333,21.8730666667,43.686,10.45
543.81,20.7568,55.4178666667,43.0852666667,42.6889333333,19.1472,17.4256,23.0458666667,21.9081333333,43.7830666667,10.4695333333
544.15,20.7446,55.4718,43.1505333333,42.7384666667,19.1342666666,17.3915333333,23.0193333333,21.8993333333,43.8252,10.4512666667
544.49,20.7376,55.5931333333,43.2378,42.8116,19.1262,17.3946,23.0168666667,21.9002,43.9227333333,10.4357333333
544.84,20.7322666667,55.6348,43.284,42.8353333333,19.1228,17.3945333333,22.9875333333,21.8836666667,43.9528,10.4410666667
545.18,20.7594,55.7354666667,43.3842,42.9186666667,19.1565333333,17.4367333333,23.0206666666,21.9142,44.0443333333,10.485
545.52,20.8002666667,55.884,43.4991333333,43.0460666667,19.2097333333,17.4855333333,23.0328,21.9527333333,44.1884,10.5196666667
545.87,20.8409333333,55.9943333333,43.5980666667,43.1002,19.2359333333,17.5102666667,23.037,21.9704,44.286,10.5335333333
546.21,20.8456,56.0359333333,43.6568,43.1612,19.2482,17.5062,23.0192666667,21.9975333333,44.3342666667,10.5551333333
546.55,20.879,56.1353333333,43.7586666667,43.2278666666,19.29,17.5622,23.0638666667,22.0422,44.4426666666,10.5856
546.90,20.8508,56.1678,43.7636,43.2102,19.2654,17.5262,23.0172666667,22.0218,44.4467333333,10.5454666667
547.24,20.8986,56.2706,43.8583333333,43.2776,19.3162,17.5733333333,23.0583333333,22.0622,44.5460666667,10.5949333333
547.58,20.9370666667,56.347,43.9326,43.3303333333,19.3597333333,17.6291333333,23.077,22.1166666667,44.6068,10.6463333333
547.92,20.9886666667,56.4782,44.0228666666,43.4075333333,19.4086,17.6838666667,23.1110666667,22.1823333333,44.7102,10.6982666667
548.27,21.0134666667,56.5346,44.1048666667,43.4461333333,19.4521333333,17.7294666667,23.1415333333,22.2328,44.764,10.7630666667
548.61,21.0441333334,56.6690666666,44.1804666667,43.4924666666,19.4582666667,17.7247333333,23.1491333333,22.2856,44.8644666666,10.7758
548.95,21.0078666667,56.7118666667,44.2256,43.5089333334,19.4456,17.6962,23.0951333333,22.2530666667,44.8952666667,10.7640666667
549.29,20.9666666667,56.7295333333,44.2179333333,43.4878,19.4107333333,17.6568666666,23.0633333333,22.2339333334,44.8784666667,10.7611333333
549.64,20.8831333333,56.7217333333,44.1930666667,43.4151333334,19.3436,17.5789333333,22.9878,22.1674,44.8452666667,10.6871333333
549.98,20.8856,56.8403333333,44.2740666667,43.5148666667,19.3162,17.5962,22.9800666667,22.1794,44.9316666667,10.71
550.32,20.8376666667,56.8728666666,44.2858,43.5175333333,19.2427333333,17.5589333333,22.908,22.1337333333,44.9066666667,10.6799333333
550.66,20.8364666667,56.9711333334,44.3904,43.6084,19.2634,17.5866666667,22.9179333333,22.1640666667,45.0004666667,10.7286666667
551.01,20.8865333333,57.0928666667,44.5142,43.6945333333,19.2817333333,17.6122666667,22.9240666667,22.2176666667,45.0922666667,10.7852666667
551.35,20.8262666667,57.1160666667,44.5307333333,43.7338,19.2136,17.5382,22.8596666667,22.1523333333,45.1296,10.7238
551.69,20.7991333333,57.1108,44.5754666667,43.7424,19.1908,17.518,22.8216,22.1274666667,45.1648666667,10.7332666667
552.03,20.7904666667,57.1052,44.5710666667,43.7404666667,19.1571333333,17.4937333334,22.7916,22.1378,45.168,10.7260666667
552.38,20.7718666666,57.1157333333,44.6012,43.7914666667,19.1269333333,17.5046,22.7807333333,22.1274,45.2038666667,10.7395333333
552.72,20.7171333334,57.0858,44.5668,43.7409333333,19.0203333333,17.4302666667,22.6808,22.0734,45.1631333333,10.6560666667
553.06,20.703,57.0870666667,44.5797333333,43.7154666667,18.9672,17.4008,22.6236666667,22.0448666667,45.1630666667,10.6396666667
553.40,20.725,57.1297333333,44.6632,43.8002666667,18.9857333333,17.4428,22.6124666666,22.0997333334,45.2389333333,10.7038666667
553.74,20.6883333333,57.0902,44.6205333333,43.7145333333,18.9588,17.4284,22.5575333333,22.0812,45.208,10.6789333333
554.09,20.7848666667,57.1922666667,44.7317333333,43.8351333333,19.0552,17.5182,22.6214,22.196,45.3325333333,10.8002666667
554.43,20.7559333333,57.2226,44.7541333333,43.8548,19.0279333333,17.4841333333,22.5699333333,22.1872666666,45.3178666667,10.7742666667
554.77,20.6872,57.2586,44.7954666667,43.8778,18.9847333333,17.4509333333,22.5056,22.1510666667,45.3072,10.7551333334
555.11,20.6848666667,57.3036666667,44.8024666667,43.8328666667,18.9567333334,17.4518,22.4551333333,22.1327333333,45.3108,10.7481333333
555.45,20.6678,57.3470666667,44.8344,43.8217333333,18.9392666667,17.4450666667,22.3991333333,22.1145333334,45.2881333333,10.7026
555.80,20.6975333333,57.4508,44.9440666667,43.9213333333,18.9857333333,17.4805333333,22.3964666667,22.1328,45.3582666667,10.7215333333
556.14,20.7626666667,57.5161333333,45.0268,43.9929333333,19.0550666667,17.5264,22.425,22.1774,45.449,10.797
556.48,20.7938666667,57.6232,45.1114,44.0631333333,19.1102,17.5636,22.4480666667,22.212,45.5148666666,10.8527333333
556.82,20.8421333333,57.7012,45.2216666667,44.1606666667,19.1984666667,17.6440666667,22.5135333333,22.2722,45.5856666667,10.9338666667
557.16,20.7751333333,57.6750666667,45.1555333333,44.1515333333,19.0977333333,17.5733333333,22.4033333333,22.1634666667,45.5307333333,10.8351333333
557.50,20.7563333333,57.7856,45.2604666667,44.2412666667,19.1035333333,17.5502666667,22.373,22.1569333334,45.5876666667,10.8025333333
557.85,20.6436666666,57.7992666667,45.2691333333,44.2023333333,19.0204,17.441,22.2639333333,22.0436,45.5294,10.6886666667
558.19,20.6705333333,57.8304666667,45.3478666667,44.2267333333,19.0094666667,17.4919333334,22.2998,22.0588666666,45.5965333333,10.7422
558.53,20.7073333333,57.898,45.3812,44.2791333333,18.9975333333,17.457,22.2954,22.0378,45.6174666667,10.7112
558.87,20.6110666667,57.9516666667,45.4196,44.2822,18.932,17.3642666667,22.2395333333,21.9849333333,45.6213333333,10.6448
559.21,20.6033333333,57.9524,45.4258,44.2816,18.8911333333,17.3512666666,22.2162,21.949,45.6404666667,10.6580666667
