wavelength,Back_CyaCaef,Belly_CyaCaef,Breast_CyaCaef,Crissum_CyaCaef,Crown_CyaCaef,DorTail_CyaCaef,Patch10_CyaCaef,Rump_CyaCaef,Throat_CyaCaef,WingTip_CyaCaef
194.37,38.8732666667,22.5352666667,9.85920000001,55.0233999999,48.3567,46.0094666667,50.7042000001,30.4226,23.662,39.1550666667
194.75,38.0248,28.3127333333,17.3662,58.5184666666,49.9177666666,49.6294666667,54.7324666666,36.1317333333,29.2182,47.6542666667
195.13,42.1176666667,32.4705333333,21.4117333333,63.7647333333,53.9215666667,54.0394000001,57.0979333334,40.7059333334,34.0392666667,51.843
195.51,45.5172,35.7088,29.1954,68.8122666667,56.82,57.6245333334,62.9884,46.59,39.3868,50.5748
195.89,37.5685333333,29.8038,23.6078,62.1960666666,53.7255333333,54.6667333334,59.3726666667,41.4902,32.7842666667,44.5489333334
196.27,28.046,25.8238,17.7778666667,52.1072,47.1648333333,44.9042000001,52.3371333333,34.9425333333,23.6781333333,38.6972666667
196.65,36.2962666667,39.2592666667,26.4198666666,56.2139333333,53.9094333333,55.0617333334,60.6584666667,40.3292666667,32.5924,44.7736666667
197.03,23.3332666667,31.6049333333,7.7778,57.9010666667,45.3087333333,47.1604666666,61.2344666667,28.7654666667,14.321,38.8890666666
197.40,16.9841333333,22.8571333333,-5.55553333328,58.5713999999,38.1746333333,37.4602000001,58.0952666667,22.3810666667,-0.793666666652,31.2699333333
197.78,-57.971,-49.8551999999,-127.246333333,1.15933333333,-25.3622333333,-30.4347333332,12.1740000001,-51.0145333333,-110.724466667,-53.3332666667
198.16,231.333333333,196.0,377.333333333,149.333333333,189.666666667,191.333333333,108.0,236.666666667,336.666666667,236.0
198.54,328.333333333,290.833333333,488.333333333,229.166666667,252.083333333,259.166666667,203.333333333,311.666666667,439.166666667,337.5
198.92,197.7778,178.333466667,330.0,163.888866667,145.000133333,138.888866667,146.666733333,221.1112,302.222133333,211.1112
199.30,-239.999866667,-202.222133333,-516.6666,-170.000066667,-91.1111333333,-165.555733333,-185.555666667,-254.444533333,-476.666733334,-263.333266667
199.68,1053.33333333,766.666666666,3013.33333333,1126.66666667,-30.0000000006,806.666666668,773.333333333,1180.0,2506.66666667,1040.0
200.06,259.999999999,195.0,803.333333333,361.666666667,59.1666666665,276.666666667,266.666666667,365.000000001,641.666666668,253.333333333
200.44,5.64093333326,24.6153999999,-148.718,-28.7179999999,42.8204333333,32.3075333333,-15.3846666666,-11.2821333333,-100.512666667,10.2563333335
