wavelength,Back_TacRuvm,Belly_TacRuvm,Breast_TacRuvm,Crissum_TacRuvm,Crown_TacRuvm,DorTail_TacRuvm,Patch10_TacRuvm,Patch11_TacRuvm,Rump_TacRuvm,Throat_TacRuvm,WingTip_TacRuvm
201.95,119.031466667,136.4102,137.8348,151.794866667,120.7976,140.1708,157.549933333,166.8376,130.427466667,121.7094,143.304933333
202.33,117.5534,134.862466667,136.2691,151.376133333,116.758333333,136.391333333,156.574933333,164.8318,129.5414,121.345533333,139.633133333
202.71,113.5152,130.181866667,129.939366667,144.1818,109.090866667,132.545466667,151.8182,156.787933333,125.3334,117.454533333,128.969733333
203.09,108.102533333,120.307733333,120.410233333,132.461466667,102.0,120.769333333,139.692333333,141.230666667,117.3332,109.846066667,119.6408
203.47,98.867,110.6318,111.22,118.823533333,93.9867999999,111.721066667,128.409533333,128.104666667,107.233066667,103.4858,110.719
203.85,92.7311333333,105.290333334,106.6667,114.3654,89.0752666667,106.236733333,124.214933333,122.193533333,102.021533333,101.1182,106.537733333
204.22,88.3636,100.929333333,100.242533333,106.1818,82.8686666667,101.656533333,117.090933333,115.596066667,95.3940000001,94.6666,100.323266667
204.60,86.6292,97.7903999999,97.9026333333,101.984933333,80.5617333333,97.6779333334,112.359533334,112.2846,91.6854666667,91.4233333333,98.5393333333
204.98,89.8265333333,102.427733333,101.753533333,107.052066667,84.6628,102.543466667,118.265933333,116.454733333,95.4913333332,95.9923333333,103.391266667
205.36,83.2223333334,95.0371333333,93.0556333333,99.2963333332,78.8147333333,96.1480666667,111.518533333,108.2962,89.037,90.0740666665,96.4073333333
205.74,86.9663333333,98.1273333333,94.2508666667,102.5094,81.7227333333,97.4908666667,114.681733333,110.9738,90.7865999999,91.5730666667,98.8016000001
206.12,88.8764666666,99.7054000001,95.9115666667,104.6408,83.6831333333,99.8158,115.837866667,111.970533333,92.2650666667,93.6648000001,101.1418
206.50,85.5207333333,96.4236000001,93.7325666666,101.3542,82.2568666667,98.9235333334,111.8748,108.472133333,89.4792000001,90.3470000001,96.6664666667
206.87,85.6702,96.4260666668,93.0412000001,100.8248,82.3023333333,98.8314666668,112.474266667,108.5222,89.1064000001,90.7558666666,97.6632
207.25,85.1197333333,96.8693999999,93.2595999999,99.4476,80.9944666667,98.3792666666,113.149266667,109.907933333,88.4714666668,89.7238,95.4329333333
207.63,90.9055999999,103.314133333,99.2098666667,106.319866667,85.8188666667,106.242733333,118.843866667,114.9904,93.4104666665,94.1424666665,101.156133333
208.01,93.6820666667,106.4342,100.038766667,109.573666667,86.7441333333,109.147133333,118.488266667,115.503866667,95.8139333333,95.2713333334,103.0232
208.39,96.2963333333,109.4348,100.818866667,112.670533333,91.5010666667,109.7076,119.961,115.945533333,98.9472666667,97.4269999999,104.951333333
208.77,99.2228666665,114.3558,102.044966667,117.3006,94.8466666667,112.842533333,123.9672,117.4642,101.267933333,99.0594000002,108.139066667
209.14,104.786266667,119.829066667,105.320466667,124.059866667,100.299133333,118.8462,130.4274,121.538533333,105.512933333,104.6154,112.863266667
209.52,122.277666667,144.833333333,124.999966667,148.1112,115.111133333,138.5,153.999933333,144.499933333,124.611066667,120.499933333,133.444466667
209.90,129.629533333,155.555533333,131.728466667,155.000066666,121.8518,146.2964,163.2098,152.5926,131.7902,127.9012,139.753066667
210.28,135.8574,161.4886,133.689333333,158.187533333,125.825466667,150.2266,167.637533334,156.116466667,136.828466667,133.980533333,141.359266667
210.66,153.0718,177.581733333,147.810433334,171.045733333,138.1046,162.1568,178.562066667,168.300666667,148.627466667,147.712466667,156.732133333
211.03,146.177333333,168.868266667,141.773633333,163.608533333,135.474,155.3516,166.422,157.125466667,141.712466667,139.8776,150.825733333
211.41,145.757466667,168.5454,140.757666667,166.1212,136.7272,155.696933333,166.363666667,155.757533333,140.7274,140.302866667,153.636266667
211.79,154.059333333,178.1518,147.887666667,175.445533333,144.1584,161.320133333,175.049533333,165.016533333,147.920733333,147.458666667,164.1584
212.17,155.9864,183.401333333,152.652966666,177.074733333,147.755066666,161.5646,177.891133333,165.170133333,150.000066667,151.0884,163.9456
212.55,168.3334,195.7246,168.297233333,192.608666667,156.739066667,173.695666667,190.941933333,174.420266667,165.145,161.521666667,173.478466667
212.92,165.238133333,185.850466667,167.823033333,185.5102,151.904733333,168.571266667,184.693866667,168.435266667,160.000066667,160.068,170.476066667
213.30,152.848533333,166.848466667,154.909233333,166.606066667,139.090733333,153.636533333,164.909133333,152.969666667,144.7878,144.1818,155.757533333
213.68,146.1068,156.1832,147.379133333,156.386733333,134.351066667,145.801533333,155.6234,143.5624,137.964333333,138.931266667,147.582666667
214.06,139.310333333,147.034533333,140.873566667,150.252866667,128.689666667,139.816,147.448266667,136.689733333,133.0116,133.655133333,142.023066667
214.44,141.095333333,149.523866667,143.595233333,152.047533333,129.142933333,142.285866667,151.523733333,138.7142,134.5238,135.4762,146.0
214.81,127.114133333,136.420733333,131.8345,137.6734,120.313133333,128.859133333,139.463066667,126.3088,125.2796,122.237266667,133.243866667
215.19,116.929266667,125.696933333,122.727333333,125.535333333,111.070733333,118.626133333,127.555533334,117.2526,115.838466667,111.636333333,120.8486
215.57,117.1084,126.425733333,124.638666667,125.823333333,112.2088,120.923666666,129.437733333,120.843333334,117.550133333,112.530066667,120.361466667
215.95,110.057133334,121.066533333,118.133333333,119.0476,104.609666667,113.790466667,122.057066667,114.095266667,110.819,107.314333333,113.0286
216.32,112.5194,121.899133333,120.581333333,120.620066667,105.658933333,115.465133333,125.814,118.178333333,111.0464,107.5582,116.8216
216.70,109.679933333,120.2638,118.361466667,116.120466667,104.105466667,114.274933333,123.728866667,118.644,105.988666667,105.725133333,115.291866667
217.08,114.805133333,128.961066667,124.588766667,123.593,110.086666667,121.342133333,132.5974,127.142733333,113.246666667,111.904866667,120.9524
217.46,113.596466667,130.8772,125.5263,124.780666667,112.324666667,122.631666667,135.350933333,128.8158,114.561533333,111.4472,124.780733333
217.83,111.824933333,129.5864,124.6715,124.4282,113.236,125.255466667,136.593666667,131.484133333,111.9708,109.635,127.201866667
218.21,117.7192,137.427,134.2691,131.754333333,120.175466667,135.731,150.117,144.7366,116.9006,115.672533333,138.479733333
218.59,120.917333333,138.287466667,142.0489,136.330333333,125.749266667,142.140666667,153.639133333,151.681933333,120.9174,119.8776,142.752333333
218.97,141.611733333,162.417666667,167.289566667,163.5164,146.666733333,169.304133334,179.120866667,182.784,136.337066667,145.641,168.937666666
219.34,162.362933333,185.6542,194.008366667,187.595,167.173,191.730133333,202.278533333,213.080133333,156.8776,169.451466667,195.1898
219.72,154.794533333,176.712333333,188.767133333,178.630266667,157.6256,183.561533333,190.410933333,201.9178,150.410866667,162.374266667,194.429333333
220.10,161.1282,174.8718,194.615333333,183.384733333,164.102533333,192.820533333,193.025666667,208.000066667,156.3076,163.4872,202.769266667
220.47,153.333333333,161.979266666,184.999933333,175.4166,154.999933333,190.104133333,179.375,196.874733333,153.75,155.2082,192.083333333
220.85,161.091,161.0908,201.393866667,190.787933334,163.515133333,200.606066667,185.090866667,207.515066667,163.878866667,167.151666667,205.5758
221.23,153.218333333,150.804533333,191.092033333,180.804666667,151.954133333,184.597533333,170.229866667,194.137866667,149.885,152.413866667,195.861933333
221.61,251.397866667,247.741933333,321.9354,303.225866667,241.075066667,303.225866667,267.3118,318.064533333,244.731133333,249.247266667,320.215
221.98,305.000066667,300.9524,390.952466667,360.7144,288.5714,362.857133333,323.333266666,372.142866667,304.285733333,310.238066666,366.1904
222.36,399.697066667,396.9696,519.999833333,469.697,375.454466667,467.575933333,409.696933333,474.545466667,408.1818,408.787933333,460.000066667
222.74,293.3334,292.888933334,368.333266667,339.999866667,266.666666667,338.2222,298.8888,345.3334,295.111,298.888933333,323.999933333
223.11,294.762066667,279.762,372.142833333,335.238066667,261.904733333,335.476133333,297.619,325.4762,301.1906,293.333333333,313.5714
223.49,337.8788,319.090866667,430.454466667,396.9696,297.272733333,400.0,362.1212,370.909066666,350.909133333,341.818133334,353.0302
223.87,308.046,296.321933333,371.034433333,363.678266667,276.551733333,353.563266667,326.436733333,331.034466667,311.2644,307.126466666,303.6782
224.24,317.3332,315.777733333,392.5556,386.222333334,294.222266667,365.999866667,342.888866667,345.7778,329.111066667,322.888866667,318.8888
224.62,235.606066667,240.151466667,282.6516,286.969666667,223.030333333,265.454666667,259.697066666,255.909066667,243.181733333,242.4242,238.333333333
225.00,256.444466667,267.851733333,291.037033333,303.999866667,240.592466667,282.3704,283.111066667,269.777866666,260.1482,255.4074,250.963
225.38,420.740733333,454.814733333,479.629633333,497.5308,396.2964,466.666666667,467.654333333,447.160533333,431.358066667,424.6914,394.5678
225.75,371.111133333,401.999866667,424.333266667,441.111133333,348.4444,413.111066667,419.111133333,408.444533333,370.222133333,381.333466667,337.333333333
226.13,445.128333333,470.000133333,477.435933333,522.5642,407.692333333,472.5642,488.205266667,478.717866667,423.5898,436.666666667,397.6924
226.51,1001.21213333,1103.63646666,1046.36363333,1170.30306667,921.818266667,1087.8788,1098.7878,1062.42426667,939.393933333,973.939466667,932.727333333
226.88,-10713.3333333,-12346.6666667,-11240.0,-12820.0,-10253.3333333,-11486.6666667,-11700.0,-11406.6666667,-10346.6666667,-10540.0,-10440.0
227.26,-569.629733333,-660.740666667,-570.5556,-681.111133333,-541.851866667,-587.7778,-604.444333333,-624.073933333,-540.7406,-552.962866667,-573.703866667
227.64,-223.333266667,-262.5396,-221.349233333,-272.063533333,-215.873133333,-226.6666,-234.603133333,-246.9842,-208.254066667,-215.396866667,-234.603133333
228.01,-104.5334,-125.600133333,-106.888966667,-132.7112,-105.600066667,-107.377666667,-109.777866667,-123.022266667,-98.1334,-100.533266667,-111.911066667
228.39,-59.1227333333,-72.5731333333,-57.0176333334,-74.4444666667,-58.5964666667,-57.8361333333,-59.9415333333,-73.2748666667,-53.3917333333,-53.8011333333,-59.9415333334
228.76,-32.7949333333,-41.4492,-33.2504333333,-41.6977333333,-31.2214,-30.6830666667,-30.1450666667,-40.9108666667,-29.441,-28.1160666667,-31.6355333333
229.14,-14.4972,-21.4814,-16.2610333333,-21.4461333333,-13.8272,-14.2151333333,-9.55906666667,-21.6930666667,-12.5220666667,-11.8872,-14.1799333333
229.52,-8.5186,-13.3332666667,-10.4040333333,-14.3435333333,-8.65320000001,-9.3602,-4.57906666667,-16.4310666667,-7.17173333333,-7.23906666667,-9.62973333335
229.89,-7.9808,-11.8590666667,-9.39109999999,-12.4039333333,-8.33326666667,-8.46166666667,-3.9102,-14.4550666667,-7.14753333334,-6.92313333333,-9.77560000001
230.27,-2.70433333333,-7.04393333333,-6.30483333333,-7.04393333333,-3.99353333333,-4.46533333334,0.125933333332,-9.93720000001,-2.29553333333,-3.11306666667,-5.53453333335
230.65,-3.74593333335,-3.93653333333,-6.46033333334,-8.34933333333,-3.84119999999,-3.61893333334,0.158733333333,-11.492,-2.8254,-3.23813333333,-4.19046666665
231.02,-2.21166666667,-0.473866666666,-5.03946666667,-6.0032,-0.537200000001,-2.14866666665,1.95899999999,-9.16273333333,-0.821533333334,-0.821466666662,-2.08533333331
231.40,-2.32406666666,-0.153000000001,-5.65753333333,-6.88066666667,0.214066666667,-3.05806666667,1.6514,-8.74606666666,-1.2232,0.030533333328,-0.58113333334
231.78,-2.01206666666,1.83173333333,-5.15016666667,-5.94593333333,1.2614,-0.991000000014,3.69359999999,-7.2072,-0.5404,0.450533333332,1.26126666667
232.15,-4.47533333334,0.617266666665,-6.74376666667,-7.06786666667,-0.925933333334,-3.58013333334,1.79,-8.8272,-1.20373333333,-2.34566666667,-0.895066666668
232.53,-9.93273333333,-4.54553333333,-12.7945333333,-12.9292666667,-6.46459999999,-10.3366666667,-3.80473333333,-12.7609333333,-6.83499999999,-9.22533333334,-8.08079999999
232.90,-11.8246,-6.35086666667,-14.1578333333,-14.0,-9.01760000001,-11.7194,-4.63159999999,-15.1928666667,-6.84206666666,-11.2631333333,-10.9124
233.28,-13.6156,-9.41793333333,-14.8148333333,-17.1781333333,-10.053,-10.7232,-6.77246666667,-19.0474666667,-8.67726666665,-11.9576666667,-14.2152666667
233.66,-21.8519333333,-16.5554666667,-22.3702666667,-26.7036,-17.4075333333,-16.9998,-12.889,-25.1482666667,-16.5554666667,-19.4814666667,-22.2222
234.03,-18.7588666667,-13.6524666667,-19.8227,-23.5815333333,-14.6099333333,-13.8653333333,-9.25526666667,-21.6312,-14.539,-16.3475333333,-17.8724
234.41,-18.6462666667,-13.2992666667,-17.8511666667,-21.8951333334,-12.8934666667,-12.3858666667,-6.29446666667,-20.4400666667,-15.5330666667,-15.1269333333,-15.5332
234.78,-16.1474666667,-12.9984666667,-16.9514,-19.598,-11.4238,-10.4522,-3.68513333333,-19.129,-14.1708,-13.2329333333,-13.6014
235.16,-15.8824,-11.9935333333,-15.9641,-19.3791333333,-11.7646666666,-9.18286666665,-2.4836,-18.8235333333,-14.3463333333,-11.1438,-12.8758
235.54,-12.6101333334,-8.39633333333,-11.9968333333,-13.0816666666,-8.805,-3.86786666667,2.6102,-14.3082,-9.90559999999,-5.72340000001,-8.77360000001
235.91,-12.9358,-10.7950666667,-12.8287,-13.3945333333,-9.29653333333,-5.16833333333,1.86546666667,-15.6269333333,-10.5811333333,-6.11613333333,-8.8074
236.29,-12.4200666667,-12.7854,-13.4399,-14.3684666667,-8.6758,-5.17506666666,2.31346666666,-16.134,-12.2070666667,-6.05786666667,-8.76713333333
236.66,-11.3003333333,-9.6264,-12.2721,-12.0778,-6.75633333335,-1.40513333333,4.78333333334,-15.3363333333,-9.80566666667,-4.06573333333,-6.00900000001
237.04,-14.7158,-12.934,-14.8848,-16.4670666667,-10.7832666667,-4.85413333333,1.16746666667,-19.877,-13.6098,-8.2642,-9.58526666667
237.41,-15.3210666667,-12.5382,-16.2691,-16.1468,-13.8532,-7.6146,0.366999999999,-18.5016,-14.3118,-9.32726666667,-10.4892666667
237.79,-10.8832666667,-9.85753333334,-13.6894666667,-11.2535333333,-11.1682,-4.64386666667,4.07406666667,-14.0455333333,-9.5442,-5.81193333333,-6.83766666666
238.17,-12.4864,-11.2295333333,-14.4261666667,-13.0874666667,-12.1312666667,-4.317,2.67746666667,-15.1913333333,-11.4481333333,-6.74866666667,-9.5628
238.54,-12.4661333333,-12.6018,-16.4498,-15.2574666667,-13.9024666667,-5.20320000001,1.38220000001,-15.881,-12.2223333333,-8.34693333333,-10.542
238.92,-12.3882666667,-11.9539333333,-16.7049666667,-15.581,-14.5594,-4.08666666667,1.43039999999,-15.3257333333,-12.5416,-9.04206666667,-9.32306666669
239.29,-12.0861333333,-11.8140666667,-17.0408666667,-14.6486,-13.0611333333,-4.58053333333,1.04319999999,-14.3309333333,-11.1565333333,-9.70526666667,-8.79820000001
239.67,-12.9836666667,-13.4568,-18.8374333333,-16.7695333333,-14.4238666667,-7.55133333333,-1.8518,-15.3497333333,-12.7778,-12.9628666667,-10.679
240.04,-12.1537333333,-12.3502666667,-16.9438,-14.924,-13.1545333333,-6.89906666667,-1.28673333333,-13.1366,-11.1885333333,-11.689,-10.2769333333
240.42,-10.1816666667,-9.92433333333,-14.0832333333,-11.6363333333,-10.3182,-4.00006666667,-0.318200000002,-10.5302666667,-8.87873333335,-9.49986666666,-8.03033333334
240.79,-6.09626666667,-6.76806666667,-9.8417,-7.84546666668,-7.07226666667,-1.12793333333,2.8138,-6.6286,-5.51326666667,-6.3244,-4.51186666667
241.17,-3.23413333334,-3.84113333333,-7.26276666667,-4.82326666667,-4.02873333333,1.0926,5.29793333334,-3.97346666667,-2.7594,-3.47673333333,-1.2582
241.54,-1.93753333333,-2.1006,-5.4293,-2.55153333333,-1.82253333333,2.77226666667,6.52266666667,-2.38846666667,-1.17986666667,-2.00473333333,0.824866666668
241.92,-1.2916,-0.979600000001,-4.0399,-1.4824,-0.754266666667,3.64106666667,7.09133333333,-1.6126,-0.398800000001,-1.36113333333,1.58633333333
242.29,-0.239,0.286666666668,-2.8874,-0.254799999999,0.0239333333326,4.06213333333,8.2118,-0.780600000001,0.971733333333,-0.5576,2.89126666667
242.67,0.207866666667,1.30646666667,-2.02673333333,0.712666666667,0.638466666666,4.7588,9.12400000001,-0.0816666666668,1.58866666667,0.415800000001,3.30366666666
243.05,-0.647133333334,0.136466666667,-2.65013333333,-0.165466666667,-0.0934000000008,3.63893333333,8.11926666667,-0.596933333333,0.977933333334,-0.222933333331,2.2508
243.42,-0.091133333332,0.224266666666,-1.94526666667,0.0138666666646,-0.1262,3.85566666666,8.53833333333,-0.280466666667,1.28993333333,0.175199999998,2.3834
243.80,0.1392,0.0765333333332,-1.78496666667,-0.180866666666,-0.104333333333,4.2032,8.76126666667,-0.243666666666,1.371,0.403666666665,2.4078
244.17,-0.747599999999,-0.901466666668,-2.8617,-1.38366666667,-1.3138,3.2076,7.88959999999,-1.46746666667,0.181733333334,-0.691666666665,1.5932
244.55,-0.144199999999,-0.0480666666673,-2.11806666667,-0.521933333333,-0.761999999999,3.50146666667,8.79493333334,-0.919999999999,1.20853333333,0.144199999999,2.07346666667
244.92,-0.703466666667,-0.361866666666,-2.5362,-0.602933333332,-1.09886666667,3.0688,8.59633333333,-1.38033333333,0.924599999999,0.1274,2.02353333333
245.30,-0.330266666666,0.299666666668,-1.66666666667,-0.085600000002,-0.63,3.91433333333,9.14979999999,-0.587133333334,1.3822,0.886733333333,2.6852
245.67,-0.0554000000007,0.5712,-1.19796666667,-0.116333333334,-0.488133333333,4.25406666667,9.36213333333,-0.5104,1.503,1.00946666667,2.90066666667
246.05,-0.263266666668,0.278133333334,-1.47186666667,-0.495666666664,-0.950933333333,4.05673333333,9.04913333333,-0.6778,1.08246666667,0.515933333333,2.8528
246.42,-0.380066666667,0.0869333333334,-1.51103333333,-0.581399999999,-0.961533333333,3.94686666667,8.76373333334,-0.549399999999,0.824066666665,0.402933333334,2.76573333333
246.79,0.122133333333,0.353333333334,-0.910666666666,-0.0041999999994,-0.479533333334,4.265,8.99679999999,-0.138866666667,1.11466666667,0.8202,3.35653333333
247.17,0.624066666667,0.903066666667,-0.4748,0.588933333331,0.0194666666674,4.89526666667,9.44573333333,0.2558,1.3914,1.34493333333,3.8178
247.54,0.759000000001,1.21366666667,-0.306166666666,0.916666666667,0.282333333332,5.08626666667,9.71406666667,0.333666666666,1.41166666667,1.46673333333,4.13646666667
247.92,0.448533333333,1.171,-0.6424,0.743866666667,0.1138,4.7838,9.63166666666,-0.0569999999992,1.1852,1.28146666667,4.02566666667
