wavelength,Back_CamPalf,Belly_CamPalf,Breast_CamPalf,Crissum_CamPalf,Crown_CamPalf,DorTail_CamPalf,Rump_CamPalf,Throat_CamPalf,WingTip_CamPalf
186.01,219.487266667,325.897533333,279.743466667,277.1795,288.718066667,136.666666667,185.3846,291.282066667,283.717966667
186.39,164.324333333,240.360333333,224.144133333,212.702633333,225.405533333,117.297333333,150.450333333,210.270133333,207.387466667
186.77,181.290333333,290.107466667,250.752733333,244.3012,254.623666666,127.097,165.161333333,228.172066667,225.053666667
187.15,135.964866667,220.350866667,190.526266667,190.0001,182.456066667,90.3507333333,128.2456,161.228133333,166.315866667
187.53,122.176933333,189.251466667,164.081666667,158.707466667,147.618933333,95.1020000001,125.4422,141.224466667,140.952433333
187.91,111.4754,171.475266667,151.1476,140.710333333,139.3442,91.0382666666,116.502733333,136.174866667,124.8088
188.29,113.0392,170.1962,150.196066667,138.480533333,136.960866667,99.1177333331,121.862666667,132.450933333,125.490233333
188.67,90.9026666667,129.8612,111.458266667,105.3125,106.25,81.8055333333,95.5555999999,106.736,100.243066667
189.05,80.6214666667,111.4124,97.2317333333,90.0281999999,92.2598666667,74.7458,85.5932666667,89.3784666666,87.853
189.43,83.908,111.206866667,95.1148666667,94.3966333333,92.4712666667,74.5401333333,89.8276666666,90.7471999999,86.5229666667
189.81,83.8018666667,108.650066667,91.6804666667,93.6914999999,88.9807333333,74.2149333333,89.1459999999,93.0027333333,83.5812666667
190.19,86.4734666666,107.874533333,93.5748666667,98.9613666667,91.2559333333,78.0194,90.5313999999,93.3816666667,85.7246666666
190.57,80.3627333333,99.6825333333,83.4014,92.7891666667,85.3514,71.8367333333,83.4921333334,88.2539999999,83.1064666666
190.95,71.2995333333,87.1563333333,75.1789333333,81.3747333333,75.5556,65.1223333333,74.2373333333,79.4351999999,76.8926333334
191.33,68.3778666667,84.8128,74.8664,79.3048666667,75.0445333333,64.4206,70.5525333333,79.7148,77.3974
191.71,66.5562,83.2045333333,74.6961333333,78.361,74.4014,61.1418666667,66.1142,78.5636,77.1269666667
192.09,64.2780666667,78.8948666667,71.2656,75.1516333333,70.8377333333,58.8948,64.8484666667,75.7574666667,75.5081333333
192.47,67.6297333333,82.7778,74.3334,78.4447,73.2592666667,59.2963333333,66.8148666667,80.1482,80.1481666667
192.85,67.3602666667,82.3506,76.2235333333,78.4779333333,73.6030666667,57.9191333333,65.9730666666,79.1906,79.5567666667
193.23,64.4864666667,77.9872666666,73.1656666667,75.8489333333,73.2494666667,55.6394,63.3960666667,79.0775333333,80.9643
193.61,64.7367333333,81.1842,75.3947333333,77.3245333333,75.8332666667,59.5614,64.2105333333,79.0349333333,84.8903333334
193.99,60.0451333333,77.4776666667,70.7658,72.0495333333,70.3154,56.2612666666,60.0900666667,72.8828666667,81.4414666667
194.37,54.1487333333,72.0863333333,65.9950666667,64.0048666667,62.3980666667,51.8945333333,52.9496,66.1390666667,75.0600333333
194.75,56.4886,75.1652666667,72.112,66.7429333333,61.2214,53.7913333333,56.0814,67.8880666667,78.9566
195.13,56.8476,72.3514666667,70.8009333333,66.1756666667,57.1059333333,52.093,54.9354,62.1187333333,76.8734333334
195.51,59.3628666667,70.2940666667,67.0588,68.5294333333,59.6567333333,57.1567333333,58.1372,62.4019333333,77.8431
195.89,51.7274666666,63.7956666667,59.6107333333,60.9245333333,53.3333333333,52.2627333333,52.8467333333,52.8954666667,67.9804
196.27,47.8922,56.5686666667,49.2156666667,54.9264666666,41.9608,43.5294666666,42.9901333333,41.1274666666,59.0198
196.65,46.3333333333,51.6667333333,45.0001333333,51.8334333333,40.619,43.3334666667,39.9049333333,36.0000666667,54.4522333334
197.03,42.5678666667,47.9504666667,38.4691333333,48.247,36.2962666667,40.0492666666,35.8518666667,31.2098,52.1728333333
197.40,39.0071333333,45.0591333333,35.5082666667,45.5081,30.7801333334,35.3664,31.2528666667,27.0922,45.8629
197.78,35.1317333333,42.9386,31.0528,42.0614333333,27.9385333333,31.7545333333,29.2104666667,28.2456,41.9517333333
198.16,40.0,43.6952666667,37.1808666667,43.0859666666,34.0952,38.0190666667,35.1620666667,34.438,45.8667666667
198.54,37.9401333333,38.5769333334,33.4831333333,39.6817,32.5468666667,34.6818,33.4832,30.5992,41.2547333333
198.92,35.4190666667,34.6742,27.7094666667,34.6928,29.8696666666,31.5828,29.944,26.3686666667,37.5045666667
199.30,36.8362666667,35.0658,27.9096,36.5537,34.0112666667,34.1997333333,31.9398,28.0979333333,38.1356
199.68,34.07,34.954,28.2874,31.4733333333,30.0184,29.8711333333,28.4714,25.1932,35.1565666667
200.06,41.2522666667,39.2264666667,36.3536666667,40.4788333333,35.7643333333,36.9059333333,35.9484666667,34.9171333334,43.1860666667
200.44,45.7028,40.9236666667,43.1325333333,45.9438333333,40.5222,43.2932666667,42.8113333333,42.49,48.7549333333
200.82,46.1146,39.4054666667,43.1847333333,46.3694666667,40.5096,44.3736666667,45.3078,43.8640666667,49.0657666667
201.19,42.0,31.9556666667,40.1776666667,43.2888333333,33.1555333333,39.5554666666,42.5332,40.2223333333,44.1111666667
201.57,46.3514,35.9910666667,41.6666,47.3647333333,35.6306,46.5315333334,48.6036666667,44.7748,48.4684
201.95,48.2323333333,30.4546666667,43.1816666667,46.4898666666,34.5454,48.9898,50.3537333333,45.2020666667,49.5959333333
202.33,42.5988666667,22.7684666667,36.045,45.7345,28.2484666667,45.3672666667,47.4576666667,34.8587333333,44.1525
202.71,46.7902,24.8148666667,35.9876,50.9259000001,30.9258666667,51.7282666667,53.5184666667,38.7037333333,48.9506333333
203.09,36.8976666667,12.1451333333,28.0527333333,43.0033666666,20.858,42.7062666667,42.5742666667,28.581,37.6898333333
203.47,36.3509333333,12.6316666667,23.7894,43.0525999999,16.4912666667,38.8771333333,40.3508666667,28.2808,35.7895333333
203.85,27.3171333333,-1.86993333334,12.1951333333,32.3170999999,0.16259999998,25.5285333334,32.7642,16.5856,21.9106666667
204.22,12.675,-14.8148666666,-10.6996,11.1110333333,-19.0124666667,12.1810666667,14.6501333333,-2.14,3.95066666666
204.60,8.20513333331,-12.0879333333,-16.2637333334,6.84986666666,-17.8022,12.0146666667,7.17960000001,-8.79126666666,-1.20880000001
204.98,-18.2050666667,-45.0428,-50.0855333333,-24.6153333333,-48.4615333333,-16.8376,-26.1538666667,-40.7692666667,-30.7264666667
205.36,-19.2405333333,-48.6919333333,-57.2152666667,-27.5527333333,-46.076,-16.4557333333,-26.5822666666,-43.713,-34.7257666667
205.74,-45.6666,-92.1111333334,-94.3333333333,-55.8334000001,-82.5554,-49.1111999999,-62.7778666667,-79.8889333333,-68.8333
206.12,-28.9451333333,-61.4346,-67.173,-37.5105,-50.0424,-24.5569333333,-38.6496666667,-56.3713333333,-46.4979
206.50,-25.3174,-53.8888,-57.8571333333,-33.7698666667,-40.4761333333,-17.5398,-35.5555333333,-38.4127333334,-41.4682666667
206.87,-20.7051333333,-42.1154666667,-44.6154,-30.8975333333,-33.7821333333,-15.9615333333,-29.6796,-30.9614666667,-34.9678
207.25,-17.2666666667,-38.1333333333,-41.2666666667,-24.1666666667,-30.0666666667,-6.26666666666,-21.0,-27.6666666667,-34.2
207.63,-20.8081333334,-44.4444666667,-45.7913333333,-30.5386666667,-33.2660666667,-7.27260000002,-24.3098,-30.4378,-41.3468666667
208.01,-15.5782666667,-42.8570666667,-49.1156666666,-31.3266333333,-26.3264666666,3.06106666665,-21.9728,-30.3402,-40.9524333333
208.39,-29.0244,-63.7398,-70.8942666667,-45.3252333333,-43.9836666667,-11.1382,-36.4227333333,-50.6503999999,-61.6667000001
208.77,-62.3960666667,-108.854333333,-113.437733333,-89.0628333334,-81.7710666667,-41.9794,-71.3542666667,-88.3336,-103.9585
209.14,-49.7778,-91.5554000001,-94.6665999998,-73.8221666667,-74.3111333333,-34.1333333333,-55.4666666667,-72.0890000001,-88.9334
209.52,-46.087,-93.0435333333,-96.3284666665,-75.1690999999,-77.8743999999,-34.0097999999,-54.4928,-74.6859999999,-89.8551333333
209.90,-53.0434666667,-101.835933333,-109.661866667,-95.0725333334,-86.4733333333,-43.9614000001,-61.6424666667,-91.8840666666,-103.236566667
210.28,-71.9791999999,-123.5418,-136.562466667,-117.395933333,-114.166733333,-71.9791999999,-83.1251333333,-111.041666667,-130.677133333
210.66,-115.072466667,-187.971,-215.362333333,-183.043466667,-186.956466667,-127.391266667,-135.362266667,-180.434933333,-196.376866667
211.03,-1010.47606667,-1521.90486667,-1726.66686667,-1474.2858,-1531.42853333,-1069.52386667,-1166.66666667,-1500.95246667,-1524.2856
211.41,652.121266667,984.242399999,1117.57573333,1046.0607,1015.15146667,749.090999999,787.878666666,998.181799999,997.5757
211.79,399.166666667,659.583333333,742.083333333,692.5,665.833333333,500.833333333,524.583333333,669.166666667,630.416666667
212.17,205.128266667,300.342,322.2222,310.5128,311.453066667,242.906,244.102533334,300.6838,288.376033333
212.55,335.0,527.0,562.666666667,573.666666667,520.0,390.333333333,406.0,523.0,502.166666667
212.92,370.0,619.166666667,665.833333333,677.916666667,626.666666667,446.666666667,462.916666667,604.166666667,585.0
213.30,190.101,292.121266667,314.3434,323.939166667,294.5454,208.2828,217.171733334,287.8788,278.2828
213.68,234.022933333,339.770133333,367.586266667,389.1954,340.229933333,242.528666667,269.655133333,343.218466667,345.1725
214.06,151.249933333,201.666733333,213.889,221.874933333,211.805733333,143.749933333,166.388866667,200.138866667,208.9583
214.44,134.7518,196.1702,198.723466667,210.992933333,206.2412,123.4044,159.574466667,194.042466667,197.234066667
214.81,147.0588,202.091533333,197.2548,216.274666667,208.496866667,138.431466667,168.366133333,201.438,210.1961
215.19,132.982466667,185.731066667,174.8538,197.543833333,187.2514,136.023333333,155.5556,171.812866667,190.526333333
215.57,154.933333333,217.733333333,195.733333333,221.133333333,206.533333333,152.4,181.333333333,191.866666667,213.0
215.95,152.043066667,197.5268,177.5268,200.268933333,190.645266667,142.258066667,164.5162,177.634266667,194.892666667
216.32,180.000066667,253.7878,225.151466667,252.575666667,233.030333333,173.788,205.606,216.9696,239.545366667
216.70,153.930266667,194.626866667,171.9404,194.0797,183.283533333,147.263733333,165.273533333,176.6168,190.597
217.08,127.209333333,156.046533333,136.666666667,154.147166667,144.031,116.821533333,136.666666667,144.186066667,150.116266667
217.46,115.374133333,143.2652,126.9388,141.394466667,127.619133333,108.707466667,125.918333333,133.333466667,137.244966667
217.83,108.304066667,129.5906,114.035133333,127.690166667,115.497133333,102.280733333,115.614066667,117.660866667,123.421166667
218.21,133.857733333,162.771666667,147.8652,165.056133333,142.1724,126.516933333,149.662866667,146.067466666,156.7041
218.59,130.572466667,157.643066667,145.252533333,160.4716,136.5656,126.868733333,141.144733333,142.626333333,151.1448
218.97,132.936533333,164.285733333,152.777866667,168.928466667,141.825333333,127.301733333,146.904733333,151.8254,156.666766666
219.34,129.242333333,156.136333333,148.257533333,159.090966667,137.500066667,118.106133333,139.242466667,148.030333333,152.310666667
219.72,134.2386,165.9258,158.6008,164.321,151.028866667,120.329266667,145.432066667,154.403333333,159.794166667
220.10,132.030666667,157.7014,150.957933333,158.9655,147.203066667,116.8582,144.597666666,146.5902,159.4252
220.47,114.3858,133.625866667,128.713466667,132.4269,128.830333333,99.9998666666,125.9064,126.432666667,139.181233333
220.85,99.5194666666,122.522666667,116.3964,119.4594,112.7328,86.7866666667,116.8768,111.891866667,125.045133333
221.23,103.884066667,121.6232,119.4204,119.507233333,116.057866667,91.8260666666,117.565133333,115.3624,128.405733333
221.61,108.746266666,120.611466667,122.8746,122.110266667,121.529133333,93.8226666667,123.9142,116.513666667,133.3027
221.98,99.2261333333,107.0236,112.380933333,110.654633333,113.154666667,82.3214666668,112.202333333,110.535666667,122.291766667
222.36,91.5625333333,98.0728666667,101.197933333,99.2708333334,104.843733333,80.7813333333,97.8646000001,104.166733333,107.578133333
222.74,88.4649333333,87.8508,92.7632666667,92.171,97.6316000001,78.3773333333,92.4123333334,95.0877333334,100.000033333
223.11,89.8353333333,88.9710666667,92.5101999999,94.4032,95.5144000002,78.1892666667,91.6461333333,93.4979333333,100.308633334
223.49,92.4122666667,89.9561333334,94.5614,98.9034666666,94.1228000001,78.2455333333,94.2542,94.8246666667,103.4868
223.87,92.7536,88.3230666667,93.7888000001,99.0268333333,92.2151999999,80.6211333333,94.3685999999,96.6044666667,102.9607
224.24,94.7110666666,93.2887333334,99.9556,102.6889,96.0000666667,82.8443333333,97.7777333332,101.022266667,106.044466667
224.62,114.210466667,110.350733333,121.988133333,124.327433333,113.274866667,99.1228000001,117.0176,120.760266667,125.8479
225.00,123.144666667,115.849133333,136.792466667,132.735866667,123.647866667,108.8678,124.842733333,130.943333333,137.484233333
225.38,145.853666667,145.121866667,166.9104,161.422866667,149.105733333,130.4878,152.520266667,159.999933333,169.105733333
225.75,157.6068,159.914533333,179.829133333,174.786366667,161.1966,143.5042,163.675266667,178.803533334,178.717966667
226.13,183.749933333,197.187666667,216.6668,208.750066667,192.187533333,170.625133333,194.791866667,205.625133333,215.260566667
226.51,235.4546,264.090866667,292.1212,285.302966667,242.424133333,209.848533333,258.484866667,271.666733333,293.4091
226.88,385.555533333,451.666666667,491.389,475.694466667,398.6112,333.055466667,438.0556,462.7778,481.527766667
227.26,972.592600001,1148.88886667,1282.2222,1205.55546667,1029.62973333,842.962933333,1126.66666667,1167.40746667,1215.18516667
227.64,-1593.33333333,-1948.0,-2156.0,-1944.66666667,-1748.0,-1348.0,-1876.0,-2012.0,-1966.66666667
228.01,-598.095133333,-695.238066667,-790.952466667,-690.238166667,-627.142866667,-517.142866667,-675.237933333,-724.285666667,-718.809533333
228.39,-359.710133333,-395.072666667,-463.7682,-406.811633333,-360.0,-302.028933333,-388.405866667,-429.275266667,-404.9275
228.76,-612.8572,-649.999933333,-769.047666667,-677.8571,-618.5714,-519.523866667,-653.333333333,-729.0476,-675.9526
229.14,-231.851866667,-238.889,-278.3332,-256.481666667,-228.333333333,-188.518533333,-229.259133333,-259.444533333,-246.2963
229.52,-125.747133333,-126.896533333,-157.1264,-144.5976,-120.114933333,-95.6320666667,-121.839,-141.034466667,-133.103433333
229.89,-66.5263333333,-65.9650666667,-84.421,-76.6667666667,-61.6140666667,-46.4562666667,-64.7018666667,-72.2104666667,-69.5438333333
230.27,-59.2666666666,-53.8666666667,-74.4,-69.8666666667,-55.5333333333,-41.8666666667,-57.8,-65.5333333333,-57.2
230.65,-58.0,-47.0,-67.6666666667,-64.3666666667,-51.9333333333,-41.5333333333,-54.0666666666,-62.0,-49.3666666667
231.02,-44.9697333333,-36.1818,-52.606,-51.4849,-39.9394,-35.3940666667,-41.4545333333,-52.3636666667,-41.8181666667
231.40,-49.4666666667,-39.7333333333,-57.9333333333,-52.2666666667,-44.8,-40.4,-43.3333333333,-56.9333333333,-43.2
231.78,-40.6853333333,-30.0936,-46.1058,-43.0529333333,-35.6386,-35.0156666667,-32.7102666667,-45.3584,-34.8286666667
232.15,-20.8602,-11.6129333333,-25.2688666667,-23.9248,-16.7204,-13.8708666667,-15.0536666667,-22.4730666667,-15.4301666667
232.53,-15.1904666667,-6.14286666668,-18.6190666667,-20.119,-10.9046,-8.90473333333,-9.80966666667,-18.3811333333,-10.0477
232.90,-9.58913333333,-1.73513333333,-11.6438666667,-13.2191666667,-2.87666666668,-3.01360000001,-3.78986666667,-14.6575333333,-3.05943333333
233.28,-8.69966666667,-6.57226666667,-15.0355333333,-15.863,-4.16079999999,-1.60753333333,-7.75406666667,-20.9457333333,-2.45863333333
233.66,-11.6048666667,-8.54320000001,-16.2469333334,-16.6419,-5.33346666665,-5.18526666665,-9.67893333335,-22.4692,-2.14806666665
234.03,-11.0734,-5.81926666667,-15.5366,-17.5424666667,-1.92100000001,-4.40673333333,-7.00566666666,-23.277,-2.40109999999
234.41,-5.44133333333,-0.441200000014,-10.7353333333,-9.58336666667,5.83339999999,2.84306666667,-0.784266666674,-15.4901333333,3.03910000001
234.78,-4.69293333333,-0.526333333328,-10.1755333333,-8.61846666666,5.5702,2.49993333333,-1.35966666668,-13.0262666667,2.67543333334
235.16,4.07186666666,6.14760000001,-2.35526666667,-1.03786666666,13.0538,11.9759333333,6.50706666666,-1.87626666667,12.4749666667
235.54,2.94219999999,4.58086666668,0.446800000008,-0.651700000006,13.1099333333,14.1527333333,7.26253333333,-1.60146666666,11.9552666667
235.91,5.79713333333,7.43966666667,3.92913333334,2.88236666667,14.5572666667,15.8777333333,9.88726666668,1.86799999999,15.2334333333
236.29,5.72326666667,7.51573333335,1.94980000001,0.974866666668,13.8049333334,14.6854666667,9.33966666665,-0.062800000006,15.3458333333
236.66,5.39846666667,6.14646666668,3.6422,3.00813333333,12.9756,15.2846,10.374,0.552999999994,14.1789
237.04,3.05300000001,6.47986666667,1.52639999999,1.09046666667,11.4954,14.0187333333,9.75066666665,2.30540000001,13.2086666667
237.41,2.70933333334,5.54020000001,2.06999999999,2.11566666667,10.6240666667,10.2588,7.9756,3.89659999999,14.0183
237.79,5.28366666667,8.02193333333,4.34306666667,3.47159999999,12.2822,11.6182666667,11.6735333333,7.38593333332,15.4634
238.17,4.40886666666,4.96679999999,3.05446666668,2.65596666668,8.79153333333,9.61486666668,10.0132666667,5.94953333333,14.4888
238.54,-1.3766,-0.674866666666,-2.40213333334,-3.5358,3.02286666667,3.77873333333,5.39813333333,1.56553333333,9.63563333335
238.92,2.58553333333,2.81373333334,1.34346666667,1.1533,5.95693333333,7.55393333333,9.58173333333,5.24713333333,11.9518666667
239.29,1.72580000001,3.94806666665,1.20573333334,2.95506666666,6.07566666666,8.10860000001,9.90559999999,4.98826666667,11.8086333333
239.67,8.80806666667,10.9292,6.58586666667,8.4243,10.8081333333,13.6364,13.6364,9.95946666668,16.8586333333
240.04,6.83753333333,8.43306666667,3.76059999999,5.16606666667,7.54046666667,11.5479333333,10.9592666667,7.17960000001,14.1881666667
240.42,5.51946666666,7.49786666666,3.35826666667,4.64673333334,6.0016,10.7564666667,9.12726666665,6.15126666667,12.5852333333
240.79,4.49199999999,6.95260000001,1.7598,2.78976666667,5.19313333333,9.3276,6.43786666665,5.10720000001,12.0600666667
241.17,4.63826666667,5.45446666667,1.83053333333,2.64686666667,4.47753333334,8.57146666665,6.45646666667,4.0818,10.7423
241.54,4.46306666667,6.08213333333,1.76513333333,2.49016666667,3.75493333333,9.53333333333,6.82400000001,3.766,10.6859
241.92,4.29526666667,5.73053333333,1.16493333334,2.366,2.61053333334,9.50593333333,5.61613333334,2.9744,10.5355
242.29,5.85346666667,7.64053333334,3.20573333333,4.3971,4.73760000001,11.4419333333,7.877,5.01186666667,12.3216333333
242.67,6.79166666667,8.04986666666,4.20359999999,5.5288,5.48853333333,12.6997333333,8.83546666666,5.80113333333,12.8157333333
243.05,6.52733333333,7.77346666667,3.72993333333,4.88883333333,5.05446666666,12.4357333333,8.39206666667,5.4554,13.0196666667
243.42,6.5818,7.40473333333,3.63026666668,4.1815,4.74126666667,12.2732,7.76939999999,5.40266666667,12.8244
243.80,5.48613333333,6.74319999999,2.26753333333,2.67083333333,3.54986666666,11.2272,6.65820000001,4.15300000001,11.6263333333
244.17,6.07273333333,7.52826666667,3.32073333334,3.81423333333,4.37473333333,12.7897333333,7.28566666667,5.19459999999,12.5304333333
244.55,6.64213333333,6.71573333333,3.31286666666,3.79433333333,4.46353333333,12.7948,7.60513333333,5.42640000001,12.5172333333
244.92,7.65473333333,7.81020000001,4.71400000001,5.12646666667,5.34419999999,13.8702,9.34266666667,6.42553333333,13.6718
245.30,7.61900000001,8.12373333334,5.04613333334,4.8757,5.37306666667,13.8451333333,9.09739999999,6.39653333333,13.7953
245.67,7.1914,7.90800000001,5.27840000001,5.1886,5.82226666666,13.7812,8.98259999999,6.5196,13.3460666667
246.05,6.70126666667,6.90973333334,5.24880000001,4.72496666667,5.65386666666,13.1944,8.59373333334,5.92599999999,12.7777
246.42,6.59813333334,6.59319999999,4.676,4.40236666667,5.09206666666,12.8910666667,8.12000000001,5.35026666667,12.3987333333
246.79,5.92653333333,5.7024,4.19293333333,3.74726666667,4.4948,11.8918666667,7.37273333333,4.71866666667,12.2351
247.17,5.51086666667,5.0986,3.8704,3.45346666667,4.27386666667,11.5251333333,6.84346666666,4.5864,11.8106333333
247.54,5.10913333333,5.04866666666,3.5866,3.2057,4.0796,11.2741333333,6.74033333333,4.1922,11.5185
247.92,5.08813333333,4.63146666667,3.539,3.47673333333,4.27413333333,11.0778666667,6.84126666666,4.27426666667,11.6034333333
248.29,5.4192,4.7308,3.6006,3.68966666667,4.45933333334,10.9276,7.11633333333,4.431,11.4640666667
248.67,5.78886666666,5.38826666667,4.29606666667,4.44786666667,4.97566666667,11.5372666667,7.51620000001,4.94326666667,12.1179
249.04,6.1936,5.21066666667,4.1734,4.52393333333,5.02386666666,11.6034,7.4216,5.16073333334,11.9415
249.42,6.00766666667,4.8096,3.78093333333,4.4845,4.98766666667,11.4138,7.42366666667,5.16586666667,11.8502
249.79,6.47086666667,5.15373333333,3.937,4.54066666667,4.98686666667,11.4482,7.91220000001,5.48806666667,12.3979666667
250.17,7.25433333334,6.38800000001,4.67586666666,5.6966,6.04373333333,12.3911333333,8.96659999999,6.27646666667,13.3359666667
250.54,6.98993333333,5.81753333333,4.16879999999,5.3547,5.6204,11.7174666667,8.29360000001,6.097,13.1470666667
250.92,7.79319999999,6.74759999999,4.98566666667,6.32583333333,6.6436,12.9752,9.32399999999,6.62626666667,13.6742
251.29,7.4488,6.40206666667,4.42240000001,5.61363333333,5.8966,12.503,9.00726666665,5.8306,12.9482333333
251.66,7.64666666666,6.02373333334,4.40079999999,5.63343333333,5.40566666666,12.5156,9.16979999999,6.0736,13.0180333333
252.04,7.6958,6.26393333333,4.75546666666,5.96356666667,5.60566666667,12.6239333334,9.31926666667,6.51966666667,13.0616333333
252.41,6.10166666667,5.23773333333,3.57593333334,4.47653333333,4.54640000001,11.3261333333,7.99613333334,5.4902,12.0539333333
252.79,5.70073333333,5.174,2.99906666666,3.76573333333,4.11346666667,11.0099333333,7.87580000001,5.16706666667,11.1719
253.16,4.2748,4.43293333333,2.12373333333,2.85216666667,3.11333333333,10.0619333333,7.21646666668,4.055,10.2131
253.54,4.20533333333,4.1916,2.1164,2.63353333333,2.26133333333,10.231,6.8942,3.58506666667,9.79656666667
253.91,2.94153333333,2.85626666667,1.07553333333,1.73073333333,0.890200000001,9.28773333334,5.1922,2.46426666667,8.51843333333
254.28,2.72586666667,2.02953333333,0.414866666668,0.759300000001,0.066666666666,9.02233333334,4.86666666667,2.25926666667,7.80003333333
254.66,4.0412,3.29533333333,1.98626666667,1.89873333333,1.9712,10.3958666667,6.309,3.89653333333,8.80146666666
255.03,4.49206666667,4.12706666667,1.74606666667,1.59123333333,1.46826666667,10.0634,6.23013333333,4.68246666667,8.61913333333
255.41,3.95026666667,4.05793333333,1.5734,1.8509,0.993866666666,9.94619999999,6.2442,4.7038,8.54663333334
255.78,3.79393333334,4.01173333333,1.47393333333,2.0143,1.40706666667,9.65680000001,6.21433333333,4.4556,8.45899999999
256.15,3.68013333333,3.2654,0.862866666666,1.35786666667,0.626066666664,9.40786666667,5.7868,4.1032,7.96536666667
256.53,4.65526666667,3.5278,1.90593333333,2.51826666667,1.49226666667,10.511,6.537,4.0714,8.91740000001
256.90,5.27793333333,3.44606666667,2.41733333333,2.82653333334,2.28226666666,10.608,6.76426666667,4.51953333333,9.70726666667
257.28,5.5874,3.38113333333,2.28153333334,2.43863333333,2.74586666667,10.2664,6.16813333333,4.6652,9.97593333333
257.65,5.55046666666,2.8208,2.15946666667,2.21403333333,3.09973333333,9.79066666667,5.90846666667,4.7134,10.0455
258.02,5.4112,2.6666,2.10113333333,2.24123333333,3.25293333334,9.67586666667,5.7484,4.441,9.55903333332
258.40,4.92453333333,2.38226666667,1.93326666666,1.99773333333,2.95993333333,8.8844,5.03553333333,4.09313333333,9.21786666667
258.77,4.2516,2.28386666667,1.64353333333,1.58953333333,2.43446666667,8.43373333333,4.47153333333,3.56493333333,8.69033333332
259.15,4.79413333333,3.06926666667,2.49313333333,2.5447,3.38473333333,9.29026666668,5.25706666667,4.105,9.40153333333
259.52,5.28893333333,3.38506666667,3.1282,2.9592,4.01746666667,9.55066666666,5.71466666667,4.57493333333,9.94056666667
259.89,5.51313333333,3.626,3.3826,3.2145,4.3158,9.52460000001,5.60306666667,4.7652,10.0015
260.27,5.65,3.975,3.63893333333,3.35146666667,4.61653333333,9.50013333333,5.725,4.91373333333,10.1528333333
260.64,5.90386666667,4.21186666667,3.77346666667,3.63156666667,4.88493333333,9.40739999999,6.01826666667,5.29893333333,10.3052333333
261.01,5.3362,3.74213333333,3.37446666667,3.25923333333,4.37866666667,8.9164,5.55553333333,4.8614,9.91503333333
261.39,5.55433333334,4.14626666667,3.87026666667,3.61223333333,4.577,9.11246666667,5.9986,5.17873333333,10.2029
261.76,6.06093333333,4.84646666667,4.5832,4.11603333333,5.19166666667,9.56533333334,6.38913333334,5.91913333333,10.6934333333
