wavelength,Back_PhrErym,Belly_PhrErym,Breast_PhrErym,Crissum_PhrErym,Crown_PhrErym,DorTail_PhrErym,Rump_PhrErym,Throat_PhrErym,WingTip_PhrErym
213.30,11.2878666666,-0.07579999998,-39.3937666667,-9.57568666666,0.15146666666,12.1969333333,9.65906666668,-7.80303333333,29.8484666667
213.68,10.5881666666,14.3791333333,-40.1307,-6.35302666666,1.9608,9.67326666666,7.36928333334,2.41840000001,27.8433333333
214.06,15.7575666667,25.5152,-27.0909333333,5.32133333334,19.0303333333,26.2423333333,22.0303,7.57596666668,39.2727333333
214.44,20.7810333333,33.3851333333,-12.8126666667,18.6976866667,27.1874,34.7394333333,27.2783916667,16.7705,39.7916
214.81,33.1373666667,42.451,7.2058,29.52938,36.3726,50.6863333333,35.4901333333,31.6176333333,51.3726666667
215.19,29.0103666667,44.6352666667,5.8332,27.1250266667,32.1875333333,49.3748333333,37.2784,30.5206666667,56.4582
215.57,7.65616666666,31.6145,-15.4166,13.0207733333,15.625,32.5001333333,22.0441583333,15.3123333333,38.8542
215.95,-16.9333333333,13.2666666667,-46.4,-13.32,-4.39999999998,18.0,-3.15000000002,-11.1333333333,33.0666666667
216.32,-66.1538999999,-1.1539,-118.974466667,-43.3589666667,-35.1282666667,-3.58963333326,-50.2244166667,-44.6155,35.8976666667
216.70,-85.9091,10.6059666666,-122.272866667,-47.0,-30.0000666666,13.9394333333,-49.3938416667,-29.6969333333,57.8786666667
217.08,-133.333433333,-14.3137666666,-183.9215,-89.5686866667,-67.8431333333,-15.6861333333,-112.254891667,-47.8431333334,40.7842666668
217.46,-271.8181,-93.6365,-287.575933333,-180.121326667,-153.939266667,-71.8183000001,-211.363716667,-126.060533333,18.1819333334
217.83,-340.952366667,-71.9047333334,-285.7144,-177.142946667,-77.1428666668,-10.9523333336,-180.833266667,-117.619066667,134.285933333
218.21,729.9999,-21.1111000001,424.4445,256.222153333,64.4443333334,22.2221999999,310.277825,-46.6665,-248.889066667
218.59,403.888799999,-28.3333333326,203.333466667,198.777786667,72.2222666666,66.6668000001,188.333333333,-35.0000333333,-152.222133333
218.97,1310.0,25.0000000006,920.0,750.666666667,336.666666667,543.333333334,667.500000001,186.666666667,-586.666666667
219.34,206.190333333,33.3334333333,146.1904,110.381033333,67.1428666667,75.4762333333,128.690583333,20.9525666667,-46.1905333333
219.72,91.4814000001,-27.0369666667,52.9629333333,14.3703333333,-1.48153333326,2.2221666668,27.5925583333,-48.3332000001,-115.926
220.10,64.8,-24.1333333334,34.7999999999,0.106666666654,0.53333333334,9.86666666667,4.3333333334,-58.6666666666,-88.0
220.47,75.7693000001,3.46170000006,40.5127666667,28.7435733333,26.9231333333,29.6154333333,13.3653916667,-36.5384666667,-67.9488
220.85,45.4901666667,-6.0783666666,28.4313333333,19.25482,21.5685999999,25.9805,0.343174999986,-22.3529333333,-42.3531333333
221.23,16.1111666667,-67.3610999999,-12.6388666667,-14.1388466667,-10.5555999999,-5.55549999993,-46.0415749999,-56.5277,-108.889
221.61,-61.5685666667,-200.000033333,-101.1766,-91.6079733333,-78.4313333332,-83.1374333332,-125.882283333,-129.2156,-227.843133333
