wavelength,Back_SpoColf,Belly_SpoColf,Breast_SpoColf,Crissum_SpoColf,Crown_SpoColf,DorTail_SpoColf,Patch10_SpoColf,Patch11_SpoColf,Patch12_SpoColf,Rump_SpoColf,Throat_SpoColf,WingTip_SpoColf
358.02,6.2544,11.8825333333,9.09279999999,7.00886666666,4.51026666667,6.5258,14.6808666667,5.03926666667,5.40266666667,3.99046666667,21.5463333333,5.38233333333
358.38,6.23806666667,11.8973333333,9.11946666667,7.03546666667,4.48706666667,6.49786666667,14.7165333333,5.04673333333,5.41206666667,4.045,21.6486,5.40966666667
358.75,6.23453333333,11.9482666667,9.12893333333,7.05926666667,4.51546666667,6.54626666667,14.7537333333,5.04013333333,5.39726666667,4.04926666667,21.7264,5.4086
359.11,6.24286666667,11.9552,9.12333333334,7.01866666667,4.5338,6.564,14.7978,5.03113333333,5.4,4.02206666667,21.8300666667,5.42746666667
359.48,6.38126666667,12.1272,9.28673333334,7.12886666667,4.67953333333,6.71226666667,14.9382,5.17726666667,5.5516,4.0984,22.0704666666,5.61466666667
359.84,6.5222,12.2486666667,9.46033333334,7.23046666666,4.79333333333,6.86413333333,15.0637333334,5.3348,5.68893333333,4.18053333333,22.2306666667,5.72266666667
360.20,6.53493333333,12.2960666667,9.48333333333,7.30173333333,4.81626666667,6.86986666667,15.0980666667,5.37473333333,5.709,4.23773333333,22.4020666666,5.78273333333
360.57,6.62833333333,12.4401333333,9.60726666667,7.4564,4.973,6.99233333333,15.2100666667,5.48486666667,5.82046666667,4.3556,22.5549333333,5.9416
360.93,6.77,12.5978,9.767,7.58033333333,5.08746666667,7.09453333333,15.3452666667,5.6348,5.96433333333,4.46526666667,22.8260666667,6.03313333333
361.29,6.78973333333,12.6273333333,9.80233333334,7.607,5.11093333333,7.09873333333,15.409,5.67513333333,5.99386666667,4.5024,22.9067333333,6.08713333333
361.66,6.78966666667,12.6294,9.80013333333,7.56373333333,5.08326666667,7.0666,15.4077333333,5.6526,5.977,4.4698,22.8899333333,6.06346666667
362.02,6.83613333333,12.7418666666,9.855,7.64293333333,5.16566666667,7.17793333333,15.4592666667,5.71953333333,6.07793333333,4.52053333333,22.9965333333,6.15533333333
362.39,6.84253333333,12.7677333333,9.856,7.6338,5.1592,7.1634,15.4696666667,5.7136,6.06706666667,4.51346666666,22.9725333333,6.14653333333
362.75,6.87006666667,12.8215333333,9.92433333333,7.65686666667,5.16066666667,7.188,15.5560666667,5.73453333334,6.0926,4.57646666667,23.0737333333,6.2076
363.11,6.7968,12.7819333333,9.8766,7.61553333333,5.0526,7.11086666667,15.5304666667,5.66926666667,6.00066666667,4.5518,23.1035333333,6.112
363.48,6.73026666667,12.7207333333,9.81113333333,7.53206666667,4.981,7.03473333333,15.4710666667,5.60193333333,5.9338,4.4988,23.0427333334,6.02266666667
363.84,6.65633333333,12.7144,9.75760000001,7.4612,4.9156,6.96173333333,15.4498666667,5.52826666667,5.86993333333,4.42946666667,23.0826,5.98733333333
364.20,6.69066666667,12.768,9.75513333333,7.50286666667,4.9466,7.00553333333,15.5219333333,5.52946666667,5.91166666667,4.4476,23.1358666667,5.9938
364.57,6.67826666667,12.7287333333,9.73926666667,7.43533333333,4.8832,6.94446666667,15.4874,5.50206666667,5.88146666667,4.41906666667,23.1028,5.8922
364.93,6.71413333333,12.7477333333,9.75680000001,7.4694,4.92166666667,6.93713333333,15.5405333333,5.5322,5.89386666667,4.46533333333,23.0901333333,5.92733333334
365.29,6.73166666667,12.8101333333,9.7974,7.46633333333,4.9298,6.92326666667,15.5455333333,5.5166,5.9016,4.4566,23.1218666667,5.9342
365.66,6.74646666666,12.8114,9.83006666666,7.53226666667,4.91093333333,6.92006666667,15.6199333333,5.51853333333,5.8874,4.474,23.2104,5.96806666667
366.02,6.7708,12.8458666667,9.86166666665,7.5096,4.9122,6.8774,15.714,5.51266666667,5.87486666667,4.472,23.2557333333,5.95653333333
366.38,6.84846666667,12.8949333333,9.90573333333,7.57786666667,5.00126666667,6.94486666667,15.8272,5.5982,5.96073333333,4.52073333333,23.4208,6.02613333333
366.75,6.88666666667,12.9611333333,9.88133333332,7.6202,4.9998,6.88053333334,15.8459333333,5.62493333334,5.99026666667,4.52833333333,23.4407333333,6.02046666667
367.11,6.85626666667,12.9558,9.87093333333,7.60653333333,4.97706666667,6.81553333333,15.8279333333,5.6074,5.98106666667,4.47706666667,23.3696666667,6.00153333333
367.47,6.9176,13.0052,9.95686666667,7.68953333333,5.00553333333,6.85486666667,15.9508,5.67613333333,6.05046666667,4.55586666667,23.5109333333,6.03686666667
367.84,6.95186666667,13.0057333333,9.98139999999,7.72813333333,5.03053333333,6.84586666666,15.9597333333,5.6546,6.03806666667,4.60773333333,23.4933333333,6.038
368.20,6.8578,12.9132,9.94353333334,7.6336,4.95266666667,6.74093333333,15.9200666667,5.56473333333,5.93493333333,4.53406666667,23.4496,5.97886666667
368.56,6.86173333333,12.9322666667,9.99013333335,7.65033333333,4.97553333333,6.7282,15.9715333333,5.52046666667,5.936,4.55113333334,23.5400666667,5.96166666666
368.93,6.86846666667,12.9708666667,10.0448,7.69286666667,4.9754,6.75386666667,16.0092,5.501,5.9324,4.55586666667,23.6154666667,5.92346666667
369.29,6.9328,13.0560666666,10.1156,7.7772,5.0498,6.8172,16.1439333333,5.54473333333,5.96246666667,4.61466666667,23.8152666667,5.95413333333
369.65,6.9524,13.143,10.1822666667,7.77713333333,5.1224,6.89746666667,16.2325333333,5.57793333333,5.99986666667,4.65606666667,23.9780666667,5.95633333333
370.01,6.83906666667,13.0123333333,10.0865333333,7.71,5.01193333333,6.8212,16.1351333333,5.4838,5.85913333333,4.5208,23.8959333333,5.85013333333
