wavelength,Back_CatHomf,Belly_CatHomf,Breast_CatHomf,Crissum_CatHomf,Crown_CatHomf,DorTail_CatHomf,Rump_CatHomf,Throat_CatHomf,WingTip_CatHomf
190.19,65.5757333333,63.0302666667,67.2726666667,43.394,72.8486,69.8182666667,76.0000000001,61.091,65.5757333333
190.57,77.2728,75.9090000001,81.6667333334,53.4849333333,84.2425333334,81.9696666667,87.4242666667,71.6666,72.8788
190.95,79.4737333333,76.8421333333,85.2631333332,50.3508,87.3684000001,78.9473333333,86.6666,71.4034666667,73.1578666667
191.33,117.2728,104.8484,129.090933333,66.0606,127.2728,111.8182,130.303,95.4545999999,106.666666667
191.71,184.4444,161.111133333,189.4444,74.9999999999,179.444533333,159.444466667,188.333466667,132.777733333,161.666666667
192.09,390.666666666,305.333333333,392.0,122.666666667,341.333333333,321.333333333,352.0,245.333333333,336.0
192.47,1673.33333333,1173.33333333,1773.33333333,433.333333333,1306.66666667,1266.66666667,1426.66666667,860.000000001,1413.33333333
192.85,-1380.0,-999.999999999,-1586.66666667,-320.0,-1006.66666667,-1073.33333333,-1366.66666667,-540.0,-1366.66666667
193.23,-290.666666667,-218.666666667,-384.0,-138.666666667,-238.666666667,-233.333333333,-284.0,-133.333333333,-313.333333333
193.61,-127.333333333,-65.3333333334,-167.333333333,-55.3333333333,-80.0,-102.0,-116.0,-34.6666666667,-125.333333333
193.99,-62.8572000001,-24.2856666666,-90.0,-13.8094666666,-27.1429333333,-55.7142666665,-51.9046666666,-3.33346666667,-50.4760666665
194.37,-29.5238,-3.33333333334,-65.2381333335,7.1428666666,-2.85713333334,-31.4284666667,-14.7619333333,24.762,-25.2381333335
194.75,-89.1666666668,-47.5000000001,-141.666666667,-6.6666666668,-45.8333333332,-94.1666666667,-67.5000000001,-7.50000000008,-79.1666666666
195.13,-154.4444,-101.111066667,-204.444466667,-18.8888666667,-103.3334,-184.444533334,-116.666533333,-28.8889333333,-134.4444
195.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.89,242.8572,225.714333333,330.4762,170.476133333,241.904866667,320.000066667,249.523933334,172.380866667,239.047533333
196.27,133.3334,128.444333333,188.4444,112.000066667,144.888933333,171.5554,145.333333333,93.3333999999,123.999866667
196.65,98.2455333334,91.2279999999,142.105266666,80.3508666666,111.228,122.105333333,105.964866667,61.4034666667,94.7368000001
197.03,122.083333333,113.333333333,184.583333333,98.7500000001,137.5,142.5,131.666666667,79.9999999999,115.833333333
197.40,127.083333333,118.333333333,180.416666667,92.9166666667,134.166666667,145.416666667,132.083333333,77.5000000001,122.916666667
197.78,122.666666667,124.0,168.333333333,94.3333333334,131.0,146.666666667,126.333333333,84.9999999999,120.666666667
198.16,134.902,151.372533333,191.3726,109.0196,144.313933333,171.372733333,136.4706,87.8432666667,145.098066667
198.54,150.333333333,160.333333333,193.333333333,125.0,149.333333334,179.666666667,142.333333333,103.333333333,149.0
198.92,173.3334,184.888866667,231.555533333,144.000066667,165.777733333,211.111066667,163.555533333,100.0,169.777733333
199.30,185.1282,204.102666667,267.692333333,158.974466667,177.4358,228.717866667,189.743533333,122.051333333,190.256333333
199.68,208.0,223.333333333,298.666666667,160.0,172.0,242.0,204.666666667,115.333333333,212.0
200.06,428.333333333,485.0,648.333333333,276.666666667,324.999999999,493.333333334,431.666666667,193.333333333,456.666666667
200.44,-676.666666667,-900.000000001,-1160.0,-446.666666665,-510.0,-873.333333333,-753.333333333,-316.666666666,-813.333333334
200.82,-560.000066667,-757.7778,-917.777799999,-417.7776,-415.5556,-708.888866666,-631.111066667,-357.777866666,-573.333266667
201.19,564.444266667,857.777933333,920.000000001,444.444466667,473.3332,768.888999999,646.666666667,411.111199999,588.888933333
201.57,-451.111133333,-744.444333333,-846.666733334,-366.666666666,-362.222266667,-662.2222,-571.111133333,-328.888800001,-495.555533333
201.95,-543.333333333,-940.000000001,-1163.33333333,-500.000000001,-400.000000001,-826.666666667,-763.333333333,-380.000000001,-763.333333335
202.33,670.0,946.666666665,1266.66666667,696.666666665,520.000000001,836.666666667,856.666666667,486.666666666,876.666666667
202.71,-536.666666666,-813.333333333,-1153.33333333,-676.666666666,-463.333333333,-733.333333333,-830.000000001,-436.666666667,-826.666666667
203.09,-116.6666,-218.8888,-335.555533333,-196.666666667,-93.3333999999,-218.888866667,-230.000133333,-72.2222666666,-208.888866667
203.47,-109.333333333,-252.0,-346.666666667,-245.333333333,-52.0,-224.0,-228.0,-29.3333333333,-202.666666667
203.85,-131.111133333,-246.666533333,-335.5556,-272.222333333,-93.3334666667,-232.222333333,-234.4444,-94.4444000001,-215.555533333
204.22,-960.000000001,-1613.33333333,-2066.66666667,-1946.66666667,-833.333333333,-1560.0,-1486.66666667,-760.0,-1460.0
204.60,1100.0,1686.66666666,2086.66666667,1973.33333333,833.333333333,1593.33333333,1446.66666667,806.666666667,1626.66666667
204.98,-36.6666666666,-117.5,-150.0,-175.833333334,-17.5000000001,-100.0,-94.1666666666,-3.33333333326,-138.333333333
205.36,-7.14280000008,-38.5714,-79.5238666666,-99.0475333333,2.38099999993,-46.6666666666,-40.4761333333,2.85713333338,-71.4285333334
205.74,17.0833333334,-10.0,-40.4166666666,-63.3333333333,29.5833333333,-17.5,5.83333333334,28.3333333333,-42.5
206.12,31.5941333333,8.98560000001,-6.08693333334,-27.2463333334,40.2898666667,13.3332666667,24.0579999999,35.9419333333,0.869533333334
206.50,29.3827999999,1.72833333333,-4.69133333334,-29.3826666667,33.0864666667,5.67906666664,15.5556000001,29.8765333333,-4.9382
206.87,47.8162,16.7815333333,9.88513333326,-10.1149333333,52.4139333333,25.7472,36.7816666667,44.138,9.65520000001
207.25,52.7776666666,14.7222,4.44433333332,-17.5,55.8332666667,23.3334,43.6112666667,44.4444666667,-1.94446666666
207.63,41.7542666667,3.85973333334,-19.2982666666,-41.4036,43.1578666667,7.71926666665,36.4912000001,37.8947333333,-23.8599333333
208.01,54.5098000001,7.0586,-9.80386666674,-38.0392,65.4902000001,21.1763333333,50.5881999999,59.2156666667,-17.255
208.39,66.6666666666,40.0,24.3678666667,13.793,79.5403333333,46.8965333333,64.1378666667,69.6551999999,26.4367333333
208.77,75.3535999999,52.9292666667,39.7981333334,30.101,87.6768666666,57.9796666667,76.5656666667,73.5353333334,42.2222666667
209.14,62.6087333332,30.1449333333,12.1739999999,0.57973333332,84.3476666667,38.5507333333,74.4928,68.4056666667,25.5072
209.52,61.8666666667,32.2666666667,26.9333333333,7.99999999999,92.2666666667,40.2666666667,78.1333333335,72.2666666667,30.1333333333
209.90,84.4444666667,31.4814666667,32.5926666668,2.96293333327,117.777866667,40.7408,91.4814666667,90.3703333334,40.3704
210.28,85.2630666667,24.9122666667,28.7719999999,5.61413333326,115.087733333,32.9825333333,96.1403333333,89.1227333333,38.2455333333
210.66,88.5714666666,11.4284,9.04753333334,-3.80953333328,134.761933333,19.0475999999,103.8094,83.8095333334,27.1429333334
211.03,66.6666666667,-1.1764666667,-1.9608,-10.5883999999,103.1372,1.17646666674,73.7255333333,61.1764000001,16.0783333333
211.41,65.0,-5.33333333333,-4.33333333334,-7.66666666666,92.6666666667,10.6666666667,58.6666666665,47.0000000001,18.9999999999
211.79,62.5640666667,-2.30760000002,2.0512666666,0.512733333334,77.1793999999,9.48706666666,50.0000666666,36.6666,15.8974
212.17,64.1904,17.7144,15.9999333333,15.4286666667,74.0952,14.2856666667,53.1428000001,44.0001333333,25.9047333333
212.55,50.4166666667,-3.75000000003,-0.83333333326,-9.79166666666,58.9583333334,-4.79166666668,33.125,25.8333333333,10.0
212.92,44.1176,-2.94099999999,-2.35286666666,-14.9018666667,51.7647333334,-8.03919999998,24.3139333333,24.3137333333,8.62739999999
213.30,52.6087333334,20.1449333333,15.9420666667,6.66653333331,57.2465333334,10.2898,34.3478,32.7536,23.3332666667
213.68,54.8147333333,24.5926,14.0739333333,6.3704,56.8888,13.7777333333,35.1112,33.4814,24.5926
214.06,50.6174,26.4197333333,14.4444,8.88886666667,51.6049333333,19.3827333333,34.8148666667,30.8642666667,24.8148666667
214.44,45.4087333333,24.4025333333,11.195,4.27666666667,48.0502666667,16.8552666667,27.5470666667,26.0376666667,22.3899333333
214.81,49.6175333333,35.1912,22.6228666667,14.5354666667,52.2403333333,26.011,36.7212666667,36.7212666667,32.8962
215.19,47.2042,35.4838,23.2258,13.9784,50.1075333333,25.8064666667,34.4085333333,36.2366,31.3978
215.57,46.2432666667,37.7778,30.0530666667,15.9788666667,49.9471333333,27.0899333333,36.1905333333,37.9894,32.4868
215.95,44.4084,39.7849333333,32.0431333333,14.6236666667,51.0752666667,26.7742666667,37.3118666666,39.0324,33.1183333333
216.32,42.7877333333,37.3332666666,32.7273333333,11.2728,48.9697333333,28.9697333333,35.0302666667,36.2424666667,30.3029333333
216.70,44.1974,41.8519333333,35.1852666667,16.1728,51.7284666667,29.0122666667,40.1235333333,38.0246666667,30.9874666667
217.08,47.6389333333,40.8333333333,35.4166666667,16.5278666667,54.5834,29.5832666667,41.2500666667,38.0556,28.75
217.46,46.1666666667,33.3333333333,36.3333333333,12.1666666667,54.6666666667,30.8333333333,41.5,36.6666666667,23.8333333333
217.83,46.4763333333,29.5238666667,35.238,8.76166666666,53.5238666667,29.5238,39.0476,34.8571333333,18.0952666667
218.21,51.1828,34.6237333333,47.3117333333,13.3333333333,59.1398666667,36.7740666667,43.2258666667,38.9247333333,21.9356
218.59,43.4666666667,23.2,44.8000000001,-4.53333333335,45.0666666667,25.3333333333,33.8666666667,26.9333333333,3.73333333335
218.97,40.0,11.3333333333,44.3333333333,-15.0,40.6666666667,18.6666666665,22.6666666666,8.99999999999,-8.66666666667
219.34,62.5000000001,32.0833333333,73.3333333334,-4.58333333327,52.0833333333,33.7500000001,49.5833333333,25.4166666667,0.416666666614
219.72,54.5098000001,32.549,54.5096000001,-9.804,39.9998666667,30.5883333333,45.8823333333,23.9216,-3.92153333335
220.10,58.0951333333,28.5714666667,40.4762,-13.3334000001,40.0000666666,36.1904666668,45.7143333332,15.2380666666,-18.0952000001
220.47,61.3334666667,43.1111333334,43.1111333331,-2.66660000014,40.0000000001,41.3334,48.8889333334,17.7778666666,-0.88893333332
220.85,78.7877999999,46.6666,55.1514666668,-18.7878666667,55.7576666667,55.1515333333,66.6666,17.5756666667,1.21213333333
221.23,57.3333333334,38.6666666667,55.3333333333,-39.3333333332,55.3333333334,39.3333333333,70.0000000001,-0.6666666666,0.66666666666
221.61,76.2962,95.5555333333,74.0740666668,-4.4444,75.5556,53.3332666665,110.3704,17.7777333333,25.1851333333
221.98,60.0,84.8486,70.9089999999,-1.81819999994,60.6061333334,38.1818,90.3030666665,10.9091333333,25.4546
222.36,58.5185333333,75.5556000001,61.4815333333,-22.9630000001,57.0370666667,11.8520000001,93.3333333333,6.66653333326,8.14819999986
222.74,101.428533333,115.238066667,99.0476000001,51.9046666667,103.809533333,64.2857333334,111.4286,62.8570666666,65.2381333333
223.11,112.222333333,129.444533333,106.111066667,51.1111333333,112.777733333,67.2222,128.888933333,81.1111333334,68.8888666667
223.49,120.000066667,146.666533333,117.7778,51.8516666667,149.6296,77.7777999999,148.888733333,86.6665333333,90.3704666667
223.87,165.0,187.5,155.0,101.666666667,205.0,105.833333333,196.666666667,116.666666667,135.833333333
224.24,131.428666667,138.5714,138.0952,91.9046666665,150.952333333,95.2380666667,142.857066667,99.0475999999,116.6668
224.62,207.5,202.5,219.166666667,145.833333333,250.833333333,138.333333333,248.333333333,152.5,181.666666666
225.00,227.5,215.833333333,235.0,180.0,245.0,155.833333333,252.5,148.333333333,195.833333334
225.38,183.636333334,181.2122,176.969666666,152.1212,178.181866667,120.000066667,183.636466667,115.7576,156.3636
225.75,158.461466667,135.897533333,143.076866667,111.7948,138.974333333,90.7693333333,138.9742,76.4101999997,127.692333333
226.13,332.0,260.0,302.666666667,189.333333333,296.0,148.0,262.666666667,138.666666667,260.0
226.51,-633.333333332,-513.333333333,-573.333333333,-230.000000001,-530.0,-103.333333334,-476.666666666,-183.333333333,-466.666666667
226.88,-92.6666666665,-69.3333333334,-75.3333333335,-12.0,-80.0,-1.33333333326,-72.0000000001,-19.3333333333,-73.3333333335
227.26,-59.608,-52.9412666666,-44.7059333333,-18.8234666667,-54.1176,-3.13726666667,-47.451,-14.902,-46.2745333334
227.64,-45.6666666667,-40.0,-34.0,-10.6666666667,-38.0,5.33333333334,-36.6666666667,-6.99999999999,-26.6666666667
228.01,-12.6667333333,-8.66673333332,-4.88879999999,16.2222666667,-1.55553333335,21.1111333333,-1.33320000002,16.6666666667,2.22220000001
228.39,-3.03019999999,-0.303000000012,2.72719999999,17.5759333333,7.42419999999,20.3029333333,7.12126666667,17.7272666667,7.87866666666
228.76,-5.2484,-4.11333333333,3.12053333333,17.8722666667,5.38999999999,17.0213333333,6.95033333333,15.1772666667,8.08506666668
229.14,4.51973333333,4.29393333332,10.7344666667,22.3728,11.4124,23.3898,13.7852666667,15.4802,16.836
229.52,11.3725333333,12.9411333333,17.0588,26.2744666667,16.9608666667,27.0588666667,19.9999333334,21.3725333333,23.2352
229.89,15.021,14.5992,18.3965333333,25.0632666667,18.903,27.0886,21.6877333333,21.8565333333,26.2447333333
230.27,12.75,14.5833333333,17.9166666667,21.4166666667,18.0833333333,25.6666666667,18.0,22.8333333334,26.1666666667
230.65,13.0895333333,13.5772,16.0162666667,17.2358,14.3090666666,22.0325333333,17.7235333333,24.0650666667,25.4471333333
231.02,14.2856666667,13.5066,17.0562666667,17.0563333333,15.8440666667,23.2034,16.5368666667,26.8397333333,27.7056
231.40,13.14,14.4927333333,15.9420666667,17.1014666667,15.1690666667,21.1594666667,14.3961333333,28.9854,29.6619333333
231.78,9.64106666667,11.6924,13.5384666667,13.0257333333,10.8717333333,17.3332666667,13.2308666667,28.5128666667,27.6922666667
232.15,12.0634666667,10.4762666667,13.4391333333,11.2168666667,8.67733333333,15.9788,9.52373333335,28.8889333333,27.9366666667
232.53,14.0622,9.79153333335,14.9999333333,10.3122,8.85406666665,16.4581333333,8.33320000001,29.3747333333,30.4165333333
232.90,17.1282666667,14.1538,22.1538,10.6666,13.0257333333,21.8462666667,12.9232,32.7178,33.9487333333
233.28,13.1148,12.3496,22.8414,5.68313333333,11.1476666667,18.7978666667,9.6174,32.5683333333,31.3662666667
233.66,5.35520000001,4.48086666666,14.6448,-3.27886666666,5.46433333333,12.1311333333,-6.66666660001e-05,23.2787333333,25.2459333333
234.03,-6.11106666669,-4.88886666665,7.22226666667,-12.0,-6.44446666667,2.55553333332,-10.1111333333,12.1111333333,15.0
234.41,-10.9604,-13.5593333334,2.03393333333,-16.949,-13.8983333333,-3.84173333335,-15.8192666667,3.84186666669,8.47466666667
234.78,0.50500000002,-3.63640000001,13.9392666667,-2.3232,-0.303,9.19193333333,-3.83833333333,12.9293333333,15.9595333333
235.16,0.294200000007,-2.45100000001,13.5294666667,-2.84326666665,0.784266666666,7.64699999999,-1.47053333333,12.9411333333,15.6863333333
235.54,3.72553333332,0.98046666668,15.5882666667,-0.098000000002,4.50993333334,9.80393333333,1.9608,14.2156666667,16.7646
235.91,12.6222,11.1110666667,23.0222,7.82219999999,13.9554666667,18.4889333333,11.111,20.0888666667,21.6000666667
236.29,11.382,11.9512666667,23.0894666667,8.04886666667,14.9594,20.813,14.0650666667,19.5121333333,21.0569333333
236.66,6.30633333333,10.1800666667,21.982,4.68466666665,13.4235333333,21.8018,12.2522,16.937,18.9189333333
237.04,6.75326666667,10.736,20.6061333333,7.0994,13.9394,21.9048,11.9480666667,17.4891333333,19.0475333334
237.41,11.3674666667,11.8803333333,22.9059333333,13.1624666667,16.2393333333,25.0426666667,15.0427333333,21.8802666667,24.7008
237.79,15.9036666667,16.2248666667,27.5501333333,20.6424666667,19.2772,27.3091333333,20.482,25.3012,27.6305333333
238.17,22.0636,22.9365333333,32.6984666667,26.5080666666,26.1905333333,33.254,26.1110666667,31.984,34.6825333333
238.54,20.7143333333,23.7302,31.9048666666,24.9206,25.5556,31.8252666667,25.2380666667,31.9842,32.9363333333
238.92,11.7887333333,17.8861333333,26.9106,17.2357333333,18.9431333334,25.4472,18.8618,25.7724666667,26.9919333333
239.29,11.0146,17.9709333333,25.7970666667,16.4494,18.6956,27.2463333333,16.8842,24.1303333333,26.3042
239.67,10.0312666667,16.7601333333,24.6729333333,14.6416666667,17.0092666667,26.5420666667,17.1338666667,22.6168,25.5453333333
240.04,1.50726666667,8.11586666667,17.7391333333,7.71006666667,10.0869333333,19.1884666667,9.15933333332,15.4782,18.6666666667
240.42,-1.43999999999,5.60000000001,13.1733333333,3.52,6.24,14.0266666667,5.92000000001,10.6133333333,14.5066666667
240.79,1.88593333333,7.2806,12.6754,5.0438,6.886,12.4999333333,6.49120000001,11.4473333333,14.1228666667
241.17,-2.02886666667,3.06433333333,7.45333333334,-0.041400000002,2.60873333333,7.78473333333,2.443,6.70800000001,8.81986666668
241.54,-4.76206666667,-0.073333333334,3.40673333333,-3.62639999999,-0.0366000000006,4.68873333333,-0.219800000006,2.60066666667,3.73626666666
241.92,-6.45953333332,-2.00346666666,1.209,-5.94133333334,-2.3834,2.55606666667,-2.00346666667,1.41633333333,2.1762
242.29,-7.49999999999,-3.782,-1.05773333333,-7.94880000001,-4.87173333333,0.640933333334,-4.10253333333,-0.801333333335,-0.160266666667
242.67,-5.33933333333,-1.90026666667,1.2972,-5.67106666667,-3.13726666667,2.17200000001,-2.17193333333,1.17653333333,1.991
243.05,-7.14073333333,-4.68146666666,-1.57033333333,-8.41466666667,-5.12593333333,-0.147999999992,-4.94806666666,-1.80746666667,-0.266600000001
243.42,-5.85513333333,-3.88406666667,-0.434800000001,-7.65206666667,-5.1594,0.20286666666,-3.94193333333,-1.39133333333,0.260866666667
243.80,-6.95653333334,-4.63766666667,-1.39126666667,-8.17386666667,-6.72473333333,-0.985533333326,-5.85506666666,-2.52166666666,-1.18846666666
244.17,-6.523,-4.7126,-1.20693333333,-8.33340000001,-7.32766666667,-0.689733333342,-5.97700000001,-2.78733333333,-0.948266666667
244.55,-7.02779999999,-5.389,-1.5,-7.77773333333,-7.94446666666,-0.944400000007,-6.97213333334,-3.22226666667,-1.25006666667
244.92,-7.09673333334,-5.7258,-1.80106666667,-7.58053333333,-8.30646666667,-0.349533333334,-7.31186666667,-4.59686666667,-1.801
245.30,-3.8948,-2.9152,0.549533333334,-4.49226666667,-5.1852,2.36553333333,-4.5878,-1.79213333333,1.19473333333
245.67,-2.69266666667,-1.3246,1.56346666667,-2.95326666667,-3.99566666667,3.43099999999,-3.30086666667,-0.760000000001,2.84466666667
246.05,-2.19633333333,-0.738533333333,1.78806666667,-2.54606666667,-3.28466666667,3.92613333334,-3.10993333333,-1.12733333333,2.7794
246.42,-1.5822,0.0888666666652,3.00446666666,-1.35106666667,-1.9022,4.99546666666,-1.83113333333,0.0710666666654,3.69773333333
246.79,-2.72946666667,-0.744466666667,1.73693333333,-2.23326666667,-2.49793333333,4.36713333333,-2.63033333333,-0.8106,2.63033333333
247.17,-1.814,0.496133333334,2.51166666666,-0.883666666668,-1.79846666667,4.88366666668,-1.95353333333,0.2636,3.6434
247.54,-2.34073333333,0.103800000001,1.86666666667,-1.274,-2.0592,4.17773333333,-2.6814,-0.237066666665,3.17033333333
247.92,-1.9826,0.244266666666,2.05453333333,-0.876333333333,-1.55166666667,4.49700000001,-2.06893333333,-0.100666666668,3.63506666667
248.29,-2.4166,-0.0283333333334,1.3646,-0.909733333334,-1.86206666667,3.90906666667,-2.33126666667,-0.454866666667,3.36893333333
248.67,-1.86146666667,0.533866666665,1.77493333333,-0.432933333333,-1.44313333333,4.44459999999,-1.5006,0.187666666667,4.0406
249.04,-3.04126666667,-0.404533333333,0.943866666666,-1.2284,-2.11233333333,3.0112,-2.15726666667,-0.0598,3.28086666667
249.42,-5.04033333333,-2.07726666667,-0.853466666668,-2.72153333333,-4.12233333333,1.4976,-3.929,-1.59413333333,1.85186666667
249.79,-5.93753333333,-2.84726666667,-1.44093333333,-3.38546666667,-4.5488,1.02433333333,-4.6702,-1.85753333334,1.18046666667
250.17,-7.52373333334,-4.1904,-2.5334,-4.51433333333,-6.0,-0.038,-5.94293333333,-2.64753333333,0.019066666666
250.54,-7.02593333333,-3.6526,-2.31526666667,-4.13173333333,-5.7484,-0.0199333333326,-5.40913333334,-2.25533333333,0.039933333334
250.92,-5.48893333333,-2.90213333334,-1.68246666667,-3.57533333333,-5.0894,0.189400000001,-3.84853333334,-1.57733333333,1.05153333333
251.29,-5.59573333333,-2.46993333333,-1.77033333333,-3.95633333333,-5.22406666667,0.262266666665,-2.92886666667,-1.683,1.00546666667
251.66,-5.46673333333,-2.28893333333,-1.79986666667,-3.91113333333,-5.3112,0.844400000001,-2.17773333333,-1.2444,0.844599999999
252.04,-6.08706666667,-2.87626666667,-2.0738,-4.9498,-5.9756,0.133733333333,-2.07353333333,-1.76133333333,-0.0669333333334
252.41,-6.71233333333,-3.08213333333,-2.169,-5.959,-6.39266666667,-0.342533333333,-2.44293333333,-2.2146,-0.639266666666
252.79,-7.2916,-3.10173333333,-1.99073333333,-6.2498,-6.3426,-0.486133333332,-2.66213333333,-2.5926,-0.856533333334
253.16,-5.767,-1.54566666667,0.161666666666,-4.56746666667,-5.21333333333,1.7532,-1.01493333333,-1.43013333333,0.645933333333
253.54,-5.22146666667,-0.302933333332,1.888,-3.72953333334,-4.31233333333,2.35426666666,0.116399999998,-0.652666666667,1.049
253.91,-6.7632,-1.20773333333,0.6764,-5.45906666667,-6.71493333333,0.265666666666,-1.49753333333,-2.5122,-0.603800000001
254.28,-6.44453333333,-0.4198,1.4074,-5.53086666667,-6.2716,0.691333333333,-1.08646666667,-2.22226666667,-0.222133333334
254.66,-9.75799999999,-2.58066666667,-0.725866666666,-8.27966666667,-8.79033333333,-1.02146666667,-2.79573333333,-4.22033333333,-1.9086
255.03,-13.3617333333,-4.245,-2.42173333333,-10.2850666667,-11.7379333333,-2.84913333333,-5.64093333333,-7.49293333334,-4.64393333333
255.41,-14.1404666667,-5.4708,-2.9296,-11.3302666667,-13.0044666667,-3.7668,-7.05519999999,-8.61006666667,-6.15840000001
255.78,-15.7008666667,-6.85373333333,-3.83180000001,-12.1184,-14.1432666667,-4.98459999999,-7.91273333334,-9.87526666667,-6.88473333332
256.15,-15.6386666667,-6.66666666667,-4.36146666667,-11.4954666667,-14.6419333333,-4.89086666666,-8.41120000001,-10.187,-6.6668
256.53,-13.2452666666,-4.9338,-2.79,-8.42880000001,-11.6594,-1.99713333333,-6.40239999999,-7.43033333333,-4.99273333333
256.90,-12.2494,-5.50153333333,-3.36053333334,-8.69939999998,-11.0027333333,-2.65586666666,-7.10033333333,-7.56099999999,-5.74540000001
257.28,-11.8602666667,-6.14239999999,-4.69426666666,-9.76273333335,-10.6617333333,-3.24599999999,-7.91513333333,-7.79026666666,-6.41700000001
257.65,-9.32020000001,-4.6272,-4.12279999999,-7.96046666667,-8.20166666667,-1.8422,-6.4692,-6.38153333333,-4.1448
258.02,-7.09733333333,-3.23966666667,-2.7716,-5.6556,-5.5992,-0.187333333333,-4.94373333333,-4.15733333333,-2.20953333334
258.40,-5.05153333333,-1.88446666666,-1.37766666667,-3.54706666667,-3.5946,1.2668,-3.1512,-2.12193333333,-0.063266666668
258.77,-4.3154,-1.85326666667,-1.28633333333,-2.9184,-3.40246666667,0.912866666668,-3.18106666667,-2.08846666667,-0.055333333334
259.15,-3.42586666667,-1.86073333333,-0.653066666666,-2.48926666667,-2.60006666667,1.42953333333,-2.73566666667,-1.24453333333,0.751733333333
259.52,-2.9754,-1.51006666667,-0.503266666666,-2.04686666667,-1.9798,1.8456,-2.22593333333,-0.805466666667,1.26393333333
