wavelength,Back_DubTaef,Belly_DubTaef,Breast_DubTaef,Crissum_DubTaef,Crown_DubTaef,DorTail_DubTaef,Patch10_DubTaef,Patch11_DubTaef,Rump_DubTaef,Throat_DubTaef,WingTip_DubTaef
379.07,10.729,17.0927333333,14.2502666667,11.7131333333,19.9992666667,6.34233333333,30.1007333333,9.34726666667,11.9292666666,3.85816666667,6.49593333333
379.44,10.5506666667,16.8199333333,14.014,11.5745333333,19.8898,6.1206,30.0433333333,9.19446666666,11.7665333333,3.6999,6.32026666667
379.80,10.6192,16.7843666667,13.9544,11.6400666667,19.9504666667,6.1722,30.0776666667,9.29346666667,11.8251333333,3.73296666667,6.34613333333
380.16,10.5740666667,16.6261333333,13.8211333334,11.6018666667,19.8945333333,6.1096,30.0643333333,9.25700000001,11.7631333333,3.60213333333,6.2564
380.52,10.4822,16.4971666667,13.6745333333,11.5074,19.8152,6.02333333333,30.0341333333,9.18679999999,11.7366666667,3.48843333333,6.18706666667
380.88,10.4726666667,16.3823333333,13.5624666667,11.5162666667,19.834,5.96293333333,30.0501333333,9.21553333334,11.7729333333,3.50043333334,6.16666666667
381.24,10.4769333333,16.2674666666,13.5154666667,11.5176666667,19.8732666667,5.95373333333,30.0968666667,9.22313333333,11.8152666667,3.50536666667,6.1656
381.61,10.4956,16.1799666667,13.4261333333,11.5507333333,19.8884,5.94006666667,30.1928666667,9.29746666666,11.8742,3.52946666667,6.19266666667
381.97,10.5466,16.1047666667,13.4327333334,11.6255333333,19.9378666667,5.99973333333,30.2787333333,9.37266666667,11.9130666667,3.59876666667,6.26653333333
382.33,10.487,15.9714333333,13.3424666667,11.6127333333,19.9394,5.93386666667,30.3292666667,9.35446666667,11.8152,3.55966666667,6.1422
382.69,10.5674666667,15.9688666667,13.4357333333,11.7462666667,20.019,6.05906666666,30.4318,9.49886666667,11.8826,3.69476666667,6.2072
383.05,10.6190666667,15.9663,13.4459333333,11.8254,20.0587333333,6.106,30.4610666667,9.539,11.9268666667,3.73903333333,6.21346666667
383.41,10.6968,15.939,13.4392,11.8674,20.1436666667,6.1342,30.5004666667,9.61113333334,11.9973333333,3.77326666667,6.25533333333
383.77,10.7408,15.8826333333,13.3996,11.8571333333,20.1419333334,6.13566666667,30.5806,9.64773333333,11.9824,3.8009,6.24093333333
384.14,10.7649333333,15.8472333333,13.4043333334,11.9229333333,20.2132,6.1456,30.6101333334,9.68093333333,12.0224,3.887,6.30253333333
384.50,10.8437333333,15.8430666667,13.3875333333,12.0068,20.281,6.17633333333,30.7082666667,9.75073333333,12.0682,3.983,6.367
384.86,10.863,15.7690666667,13.3522666667,11.9744666667,20.3056666667,6.13973333333,30.7421333333,9.72853333333,12.0318666667,3.92913333333,6.367
385.22,10.9822666667,15.8632,13.4239333333,12.1054,20.476,6.23806666667,30.9133333333,9.86966666665,12.1422,4.02843333333,6.47086666667
385.58,11.0032,15.8315333333,13.4276666667,12.1610666667,20.597,6.26346666667,31.0334,9.91399999999,12.1986666667,4.04503333333,6.46286666667
385.94,11.0475333333,15.8194333333,13.3846,12.1902,20.6696666666,6.25906666667,31.0868,9.96173333335,12.2560666667,4.04733333333,6.44513333333
386.30,11.1269333333,15.8335333333,13.3649333333,12.2538666667,20.7612,6.3226,31.1494666667,10.0586666667,12.3702666667,4.11183333333,6.53733333333
386.66,11.1147333333,15.7397333333,13.2757333333,12.2254666667,20.7578,6.27926666667,31.1733333333,10.0597333333,12.3609333334,4.04646666667,6.509
387.03,11.0910666667,15.6338333333,13.2101333333,12.2227333333,20.7851333333,6.281,31.2604,10.0742666667,12.3774,4.0124,6.47713333333
387.39,11.1082666667,15.6176333333,13.1943333333,12.2905333333,20.8438,6.35106666667,31.3174,10.1454,12.4184,4.03713333333,6.51746666667
387.75,11.1164,15.6012333333,13.155,12.3596666667,20.9478,6.34673333333,31.3302,10.1630666667,12.4653333333,4.0285,6.5224
388.11,11.1154,15.5249,13.049,12.3512,20.9418666667,6.30226666667,31.3694666667,10.1840666667,12.4317333333,3.98166666667,6.44706666667
388.47,11.1138,15.4191,12.9711333333,12.3438,20.9474666667,6.28073333333,31.3346,10.1668,12.4176666667,3.90716666667,6.38926666667
388.83,11.1533333334,15.3864333333,12.9258,12.3896,21.0103333333,6.33073333333,31.4371333333,10.2296666667,12.4856,3.92056666667,6.40366666667
389.19,11.1334666667,15.2615666667,12.8158,12.3808,21.0036666667,6.31013333333,31.4488,10.1957333333,12.4918,3.88243333333,6.37326666667
389.55,11.1766666667,15.1716333333,12.7474,12.3884,20.9944666667,6.3182,31.4414666667,10.2160666667,12.4965333333,3.8858,6.3884
389.91,11.1141333333,15.0279666667,12.5988,12.3463333333,20.9540666667,6.23786666667,31.4644666667,10.1392,12.4173333333,3.7954,6.31953333333
390.27,11.1054,14.9319,12.5093333333,12.3708666667,20.9726,6.23553333333,31.505,10.1543333333,12.4377333333,3.77163333333,6.30993333333
390.63,11.1650666667,14.8927666667,12.4753333333,12.4571333334,21.0692666667,6.2802,31.6168,10.2462666667,12.5346,3.8242,6.3562
391.00,11.2573333333,14.8654333333,12.4448666667,12.5107333333,21.1633333333,6.3358,31.6314666667,10.3249333333,12.6195333333,3.90546666667,6.43186666667
391.36,11.3122,14.7925,12.3636666667,12.5092,21.1722,6.3288,31.6624666667,10.3365333333,12.6314,3.93036666667,6.45266666667
391.72,11.3108,14.6352333333,12.2832666667,12.4908,21.1558,6.31373333333,31.6912,10.3553333333,12.636,3.92246666667,6.42546666667
392.08,11.3141333333,14.5249666666,12.2235333333,12.5035333333,21.2076666667,6.3346,31.7189333333,10.3845333333,12.7154,3.9095,6.438
392.44,11.3549333333,14.4833333333,12.1718666667,12.5740666667,21.2796666667,6.39326666666,31.8024,10.4585333333,12.7767333333,3.961,6.48246666667
392.80,11.4209333333,14.4219333333,12.1327333333,12.6724,21.3413333333,6.42646666667,31.8502666667,10.5356,12.8226666667,4.0152,6.5264
393.16,11.4522666667,14.3289666667,12.0738,12.7264666666,21.3878,6.4532,31.8746,10.5964,12.8509333333,4.04323333333,6.53726666666
393.52,11.4528,14.2461333333,11.9656,12.7624666667,21.4342666667,6.44093333333,31.8838,10.6414,12.8698,4.0562,6.55566666667
393.88,11.5355333333,14.2185333333,11.9572,12.8703333333,21.5479333333,6.52746666667,31.9588666667,10.7735333333,12.9833333333,4.13196666667,6.63433333333
394.24,11.5494,14.1101666667,11.8636666667,12.8903333333,21.5652666667,6.5478,31.9844666667,10.7903333333,13.0064666667,4.1427,6.6294
394.60,11.4979333333,13.9476666667,11.7153333333,12.8310666667,21.5088,6.48093333334,31.9052666667,10.7388,12.9200666667,4.06846666667,6.5608
394.96,11.5014666667,13.8106333333,11.6014,12.8472,21.5247333333,6.43793333333,31.9469333333,10.7531333333,12.917,4.03873333333,6.53506666667
395.32,11.4950666667,13.7004666667,11.5136666667,12.8947333334,21.5703333333,6.45606666667,31.9518666667,10.7808,12.9354,4.00733333333,6.5092
395.68,11.5535333333,13.6513,11.4434666667,12.9691333333,21.6448,6.53246666667,32.0159333333,10.8524666667,12.9848666666,4.03386666667,6.5734
396.04,11.6236,13.5783666667,11.3872666667,13.0306,21.7178666667,6.56433333333,32.0697333333,10.9047333333,12.9987333333,4.0713,6.63773333334
396.40,11.6550666667,13.4555666667,11.3292666667,13.0513333333,21.7281333333,6.566,32.0742666667,10.9582666667,13.0075333333,4.0757,6.6672
396.76,11.6038666667,13.3204,11.1868,13.0376,21.7103333333,6.56413333333,32.0679333333,10.954,12.9970666667,4.0368,6.63966666667
397.12,11.5972,13.1857666667,11.0845333333,13.0396,21.695,6.54593333333,32.0472666667,10.9876,12.9946,4.02613333334,6.63453333333
397.48,11.6602,13.0982666667,11.0346666667,13.0919333333,21.7496666667,6.59726666667,32.1472,11.0432,13.0407333333,4.05053333333,6.65093333333
397.84,11.65,12.9955,10.9533333333,13.0990666667,21.7439333333,6.61626666667,32.1301333333,11.0782666667,13.0408,4.05336666667,6.64606666667
398.20,11.6938666667,12.9142333333,10.8846,13.1132,21.7776666667,6.62593333333,32.1642,11.1458666667,13.0868,4.07703333333,6.65793333333
398.56,11.8518666667,12.9495333333,10.8822,13.2464,21.9256,6.741,32.3002666667,11.2879333333,13.2390666666,4.1943,6.7778
398.92,11.8706,12.8696666667,10.8138666666,13.2855333333,21.9416666667,6.7638,32.3204,11.3226666667,13.2512,4.1825,6.76526666667
399.28,11.9300666667,12.7896666667,10.7388,13.3212666667,21.9412,6.79626666667,32.3942,11.3761333333,13.2978666667,4.2098,6.7916
399.64,11.9639333333,12.7183,10.6754666667,13.3702666667,21.9405333333,6.7918,32.4132666667,11.4216,13.3221333333,4.24736666667,6.82006666667
400.00,12.0018,12.6644333333,10.6217333333,13.4286,21.9578,6.8292,32.4543333333,11.4828,13.3688,4.2717,6.8158
400.36,11.9879333333,12.5572666667,10.5075333333,13.4410666667,21.9654666667,6.82526666667,32.4742666667,11.5112666667,13.3602666667,4.23443333333,6.78126666667
400.72,12.0648,12.5179,10.4894,13.5187333333,22.0071333333,6.8664,32.5026,11.6091333333,13.4216,4.3049,6.83726666667
401.08,12.0682,12.4096666667,10.3703333333,13.5037333333,22.0138,6.82646666667,32.5226,11.6091333333,13.418,4.25756666667,6.79306666667
401.44,12.0248666667,12.3161,10.2446,13.5046,21.9740666666,6.737,32.5264666667,11.6170666667,13.3999333333,4.1906,6.7362
401.80,12.0580666667,12.2453,10.1595333333,13.5506,21.9781333333,6.74013333333,32.5574,11.6388666667,13.4070666667,4.17453333333,6.74173333333
402.16,12.0397333333,12.1614333333,10.0797333334,13.5494666667,21.9404,6.7196,32.4954666667,11.6369333333,13.3821333333,4.1157,6.71926666667
402.52,11.9304,12.0179333333,9.9588,13.4863333333,21.8907333333,6.63986666667,32.4651333333,11.6008,13.3326,4.02986666667,6.62446666667
402.88,11.9219333333,11.9824666667,9.90146666667,13.5016,21.8775333333,6.65606666667,32.4821333333,11.6295333333,13.3484,4.03346666667,6.64846666667
403.24,11.9072666667,11.9444,9.86033333334,13.5410666667,21.9154,6.64786666667,32.4749333333,11.6512666667,13.3774666667,4.04966666667,6.65613333333
403.60,11.9079333333,11.9158333333,9.85080000001,13.5728,21.9336666667,6.64153333333,32.5092666666,11.675,13.4197333333,4.0267,6.64593333333
403.95,11.9273333333,11.8783,9.82259999999,13.6106666667,21.9458666667,6.62313333333,32.5284,11.7133333333,13.4453333333,4.04463333333,6.66346666667
404.31,11.9339333333,11.8539666667,9.78460000001,13.6156,21.9735333334,6.59733333333,32.5336666667,11.7052,13.4450666667,4.05296666667,6.65253333333
