wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
761.63,16.8383333333,41.5486666667,41.9635,42.8345952381,19.255,21.6609166667,18.6471666667,37.8808333333,22.3365
761.94,16.6251666667,41.67,41.9766666667,42.7815,18.9021666667,21.2841666667,18.5471666666,38.1113333334,21.9248333334
762.26,16.6066666666,41.7305,42.2928333334,42.6055238095,18.7423333334,21.1633333333,18.5883333334,37.9805,21.642
762.57,16.6345,41.8761666667,42.6053333334,42.7296666667,18.441,20.9671666667,18.5378333333,37.747,21.454
762.88,16.7045,42.145,42.8895,43.1369047619,18.6178333333,21.1946666667,18.8055,38.0113333334,21.5506666666
763.20,16.2731666667,41.7251666666,42.4138333333,43.0511666667,18.1051666667,20.83475,18.265,38.3621666666,20.884
763.51,16.3056666667,41.4618333334,42.4548333334,43.0850714286,18.1828333333,21.0801666667,18.3575,38.4598333334,20.758
763.82,16.6665,41.6486666667,42.7778333334,43.5175,18.3631666667,21.4605833334,18.835,38.8945,20.8303333333
764.14,16.6608333333,41.6458333333,42.7485,43.2845476191,18.3805,21.2365,18.8001666667,38.9426666666,20.9516666666
764.45,16.2233333333,41.5663333334,42.623,42.9119047619,18.318,21.05925,18.561,38.6521666667,20.8558333333
764.76,15.961,41.5326666667,42.8998333334,42.9125952381,18.3963333334,20.9598333333,18.4901666667,38.6976666667,20.8131666666
765.07,16.0406666667,41.5281666667,43.2185,42.9797857143,18.3635,20.9640833333,18.441,38.9406666667,20.6218333334
765.39,16.0738333334,41.579,43.0743333333,42.8726428571,18.3373333333,20.9678333334,18.3238333334,38.4666666666,20.6881666666
765.70,16.2651666667,41.6525,42.794,43.0845,18.5261666666,20.9638333333,18.5335,38.5533333333,20.9
766.01,16.199,41.7666666666,42.6206666666,43.0905714285,18.6486666667,21.3919166666,18.7303333333,38.7526666667,21.0168333334
766.32,16.1741666667,41.9128333334,42.5076666666,42.5843809524,18.4656666667,21.2536666666,18.2935,38.6046666667,21.3123333333
766.64,16.5931666666,42.0301666667,42.7405,42.6425714285,18.659,21.5171666666,18.5691666666,38.1186666667,21.7458333333
766.95,16.4791666667,42.0455,42.3266666667,42.6090714285,18.3273333333,21.244,18.3446666667,37.8216666667,21.6233333334
767.26,16.6488333333,42.0106666666,42.2396666667,42.7940714285,18.7653333334,21.2656666666,18.2893333333,37.6106666667,21.9136666667
767.57,16.363,41.708,41.9105,42.4415952381,18.5348333334,21.4151666667,17.8261666666,37.3735,21.3141666666
767.88,16.9888333333,41.7045,42.1683333333,42.7855714286,18.9678333333,22.0455,18.3238333334,37.8123333333,21.7423333334
768.20,16.4203333334,41.4203333334,41.5878333333,42.1802142857,18.3805,21.34525,17.8586666667,37.4213333333,21.1286666666
768.51,15.4916666667,41.2016666667,40.4966666667,41.5725238095,17.668,20.4629166666,17.249,36.828,20.6723333334
768.82,15.2535,41.033,40.2118333334,41.295547619,17.1445,20.1839166666,16.9886666667,37.3128333333,20.3655
769.13,15.5261666667,41.2956666666,40.5851666666,41.7766428571,17.2261666667,20.4811666666,17.5166666667,38.1323333334,20.7985
769.44,15.399,41.1155,40.6856666667,41.8460238095,17.1956666666,19.9680833333,17.5705,38.1613333334,20.8331666667
769.76,15.7765,41.1313333333,41.1876666667,42.5061666667,17.5906666667,20.46425,18.357,38.5171666666,20.7233333333
770.07,15.0678333334,40.6831666666,41.0053333334,42.1933809524,17.2878333334,20.1634166667,18.4035,38.406,19.991
770.38,14.9586666667,40.5183333334,41.2605,41.7801428571,17.338,19.6701666667,18.151,38.245,19.9175
770.69,14.3781666667,40.2946666667,40.7498333333,41.2378095238,16.7263333333,19.045,17.757,37.8023333333,19.2783333333
771.00,15.0048333333,40.8358333334,41.1005,41.8266190476,17.2328333334,19.0268333333,18.3046666667,37.9695,19.798
771.32,14.7475,40.6388333333,41.196,41.8207142857,17.0751666666,18.3630833333,17.88,37.7536666667,19.7126666667
771.63,15.162,40.9205,41.4346666667,42.4310714285,17.2058333334,19.1495833334,18.2843333333,37.9861666666,19.8771666666
771.94,16.2865,41.5588333333,42.4206666667,43.5069047619,18.3395,20.5513333334,19.341,38.2126666666,20.8488333334
772.25,16.6411666667,41.8458333333,42.9338333333,43.9725476191,18.9196666666,21.3901666666,19.867,38.6071666667,21.3901666666
772.56,16.6925,41.5443333333,43.0008333333,43.7962142857,19.3221666667,21.1715833334,19.5281666667,38.5021666666,21.1398333333
772.87,16.1336666667,40.914,43.1655,43.3461666667,19.1181666667,20.963,18.5585,37.943,20.3173333333
773.18,15.7558333333,40.1391666666,42.4436666667,42.7346428571,18.3681666666,20.0565,17.5375,37.0713333333,19.4
773.50,16.7753333333,41.0966666667,42.8611666666,43.3304523809,19.1501666667,21.16575,17.7795,37.6766666667,20.2631666667
773.81,17.0923333333,41.9823333333,43.218,44.379,20.0438333334,21.8905,18.5475,37.891,20.8951666666
