wavelength,Back_HemFlaf,Belly_HemFlaf,Breast_HemFlaf,Crissum_HemFlaf,Crown_HemFlaf,DorTail_HemFlaf,Patch10_HemFlaf,Rump_HemFlaf,Throat_HemFlaf,WingTip_HemFlaf
192.09,80.0000000001,51.1111111113,-4.44444444333,22.222222222,206.666666667,-95.5555555554,268.888888889,242.222222222,142.222222222,-37.777777778
192.47,55.5555555556,5.55566666667,59.2592222223,-33.3333333333,227.777555556,-42.5925555557,246.296333333,170.370444444,85.185222222,-49.999888889
192.85,82.5396666669,59.523777778,76.1905555558,32.5396666663,175.396777778,44.4444444444,180.952111111,129.365111111,87.3015555553,30.1587777777
193.23,-833.333333334,-188.88888889,-777.77777778,388.88888889,-1811.11111111,-188.888888889,-1788.88888889,-844.444444447,-699.999999997,-188.88888889
193.61,92.5927777779,72.7272222221,105.387111111,47.4747777778,109.764222222,80.8080000001,128.282666667,91.5825555555,97.643111111,70.3703333333
193.99,84.4443333332,63.7036666667,131.481444444,42.5925555556,102.222333333,87.0369999999,149.629555555,92.2222222222,108.888888889,77.0370000001
194.37,77.5362222222,67.1496666665,118.840666667,63.5264444444,96.8597777778,95.6522222222,129.951555556,92.2706666668,93.4782222221,82.1256666667
194.75,73.585,44.8638888889,118.448777778,65.6184444444,93.2914444444,83.6479999999,128.092222222,78.6164444444,87.631,74.4234444444
195.13,71.7171111111,36.7676666667,109.696777778,58.1817777778,87.4747777778,74.1413333335,125.454666667,69.898888889,79.3937777778,76.3635555555
195.51,67.2727777778,34.7473333333,110.909111111,49.0908888889,84.2424444447,71.7171111111,126.666666666,64.8483333332,73.7375555555,88.484888889
195.89,61.552,42.5044444444,105.643888889,58.0246666667,84.3033333332,72.1342222222,120.282,64.5504444444,70.5467777778,88.5361111111
196.27,64.3192222222,52.2692222222,107.355222222,68.0751111111,88.5758888888,77.7776666665,117.840444444,72.4567777779,74.6476666665,95.6182222221
196.65,61.8654444444,50.2056666667,98.4911111111,68.1755555556,84.087888889,71.4677777778,104.252444444,67.3526666666,72.565111111,90.9463333333
197.03,75.8946666667,49.9057777778,134.274888889,81.5443333333,101.506555556,92.0903333332,128.625333333,82.2974444446,88.7004444444,112.241111111
197.40,74.7747777778,57.9577777778,126.126,83.0332222222,101.802,93.9940000001,118.468444444,87.0870000001,91.4413333332,103.153111111
197.78,65.4087777778,40.4613333333,145.282888889,84.696111111,109.433888889,91.1950000001,125.995888889,90.1466666667,92.0335555555,105.660444444
198.16,63.1577777779,30.7992222222,130.799222222,74.8537777778,95.9064444443,77.193111111,106.432777778,67.4462222222,76.2184444443,92.3976666668
198.54,54.3861111112,11.8906666667,114.619888889,55.5555555556,71.9297777777,60.429,91.228,46.004,63.9376666665,71.1502222222
198.92,49.9025555556,2.9242222222,101.754333333,44.0545555556,57.8948888889,51.4621111111,73.2943333333,39.7662222222,59.8441111111,60.0390000001
199.30,59.3333333333,4.22222222223,127.777777778,51.5555555556,60.2222222223,62.0000000001,72.8888888889,41.5555555556,67.5555555555,65.5555555555
199.68,78.4314444444,-9.47722222224,173.202555556,50.6535555555,74.5097777778,80.3923333333,73.5294444444,44.1175555556,78.1045555555,65.0326666668
200.06,71.3578888889,-3.20988888887,143.950666667,34.8151111111,62.2221111111,76.5431111111,63.2098888889,45.678888889,65.9260000001,58.7655555556
