wavelength,Back_DigGlaf,Belly_DigGlaf,Breast_DigGlaf,Crissum_DigGlaf,Crown_DigGlaf,DorTail_DigGlaf,Patch10_DigGlaf,Rump_DigGlaf,Throat_DigGlaf,WingTip_DigGlaf
332.81,11.6015555555,10.6977777778,10.9924444445,6.86988888889,16.0608888889,4.78933333334,-0.413666666666,13.6276666667,10.3546666667,5.81833333334
333.18,11.9418888889,10.991,11.2691111111,7.23588888889,16.4013333333,5.05344444445,-0.262,13.8683333333,10.6596666667,6.06722222222
333.54,12.3181111111,11.3701111111,11.6317777778,7.66211111111,16.79,5.46655555556,-0.0124444444443,14.1546666667,10.9676666666,6.474
333.91,12.7105555556,11.7491111111,11.9565555556,8.11655555556,17.1672222222,5.81488888889,0.344666666667,14.6367777778,11.1934444444,6.95666666666
334.28,13.0183333334,12.0016666667,12.1816666667,8.36133333332,17.379,6.03677777778,0.542666666666,14.9076666667,11.426,7.23344444443
334.64,13.0422222222,12.0233333333,12.1297777778,8.21433333334,17.1908888889,5.98511111111,0.522777777778,14.7104444444,11.3414444445,7.22511111112
335.01,13.2404444444,12.1057777778,12.348,8.33111111112,17.3622222222,5.93044444444,0.70588888889,14.9382222222,11.4465555556,7.25766666668
335.38,13.2233333333,12.0263333333,12.432,8.35988888889,17.3732222222,5.90811111111,0.73688888889,14.9357777778,11.2608888889,7.28077777778
335.74,13.4881111111,12.3068888889,12.6544444445,8.67177777778,17.615,6.13911111111,0.983444444443,15.2265555556,11.4021111111,7.5721111111
336.11,13.4217777778,12.2076666667,12.4792222222,8.62700000001,17.5028888889,5.96966666667,0.847555555557,15.0834444445,11.2706666667,7.39900000001
336.47,13.0674444444,11.9538888889,12.2025555555,8.41133333332,17.3147777778,5.543,0.784777777777,14.9494444444,11.0115555556,7.14577777778
336.84,12.8818888889,11.8797777778,12.0748888889,8.30788888889,17.239,5.42233333334,0.549333333332,14.8286666667,10.9544444444,6.95711111111
337.21,12.9964444444,12.0361111111,12.1798888889,8.43911111111,17.2987777778,5.63155555556,0.911444444444,15.0227777778,11.2223333333,7.14244444444
337.57,12.8432222222,11.9154444445,12.079,8.33055555557,17.1761111111,5.593,0.930111111111,15.0846666667,11.205,6.958
337.94,12.9051111111,12.0936666667,12.1363333334,8.3828888889,17.2298888889,5.68366666667,1.11855555555,15.1983333334,11.3861111111,7.04255555555
338.31,12.7853333333,11.9801111111,12.105,8.26222222222,17.1464444444,5.573,1.06022222222,15.2064444444,11.2467777778,6.95722222222
338.67,12.819,12.0625555556,12.1811111111,8.47033333333,17.2965555555,5.67422222222,1.265,15.4016666667,11.372,7.04211111111
339.04,13.0832222222,12.3064444444,12.3796666666,8.79888888889,17.5141111111,5.92688888889,1.538,15.6048888889,11.6082222222,7.29755555556
339.40,13.2991111111,12.4155555556,12.4908888889,9.08433333333,17.6931111111,6.11677777778,1.72,15.7416666667,11.8387777778,7.42655555556
339.77,13.2062222222,12.2868888889,12.4346666667,8.97444444443,17.5574444444,5.921,1.62122222222,15.6383333333,11.7533333333,7.26744444445
340.14,13.0724444444,12.3145555555,12.476,8.93444444443,17.6385555556,5.87688888889,1.65166666667,15.682,11.7435555555,7.25966666667
340.50,13.2367777778,12.4942222222,12.6234444444,9.05922222223,17.8572222222,6.02933333333,1.71755555556,15.6937777778,11.8963333333,7.41733333333
340.87,13.4368888889,12.5366666667,12.7681111111,9.19766666666,17.9704444444,6.12766666667,1.86066666667,15.8658888889,11.9884444444,7.65866666666
341.23,13.3297777778,12.3796666667,12.82,9.00188888889,17.8518888889,5.91,1.674,15.7675555556,11.8646666667,7.54177777777
341.60,13.5401111111,12.5807777778,13.0516666667,9.13833333334,18.1598888889,5.89633333333,1.76488888889,15.9044444444,12.0653333334,7.72300000001
341.96,13.4997777778,12.5824444444,13.0531111111,9.15677777779,18.1404444444,5.94111111111,1.742,15.8542222222,12.0212222222,7.59766666668
342.33,13.3944444444,12.6593333333,12.9218888889,9.04222222222,18.1281111111,5.86644444444,1.647,15.7598888889,11.9767777778,7.48944444446
342.70,13.2144444445,12.5552222222,12.7718888889,8.93166666668,18.018,5.67677777778,1.46322222222,15.5865555555,11.8818888889,7.37566666668
343.06,13.1831111111,12.5497777778,12.7498888889,8.82011111111,18.0642222222,5.61077777778,1.20788888889,15.4905555556,11.8952222222,7.34622222222
343.43,13.241,12.7214444445,12.8517777778,8.77144444445,18.123,5.623,1.16988888889,15.6461111111,11.9546666667,7.48722222223
343.79,13.3424444444,12.7674444444,12.8843333334,8.76066666665,18.3205555555,5.77544444444,1.228,15.7273333333,12.0205555556,7.59466666668
344.16,13.481,12.788,12.9401111111,8.82311111112,18.3184444444,5.72833333333,1.12477777778,15.8646666667,12.1313333333,7.69822222221
344.52,13.2951111111,12.7125555556,12.8046666667,8.65511111111,18.1151111111,5.55788888889,0.886111111113,15.7581111111,11.9794444445,7.54177777777
344.89,13.289,12.7455555556,12.819,8.61277777779,18.1117777778,5.58888888889,0.886444444444,15.7025555556,11.9396666667,7.41055555555
345.25,13.3371111111,12.9102222222,12.9036666667,8.74766666668,18.2345555555,5.70944444445,0.993555555556,15.8113333333,11.9806666667,7.45988888888
345.62,13.3334444444,12.9783333333,12.871,8.7531111111,18.1085555556,5.76577777778,0.951111111109,15.7833333333,11.8343333333,7.49066666666
345.99,13.3188888889,12.9748888889,12.9093333333,8.69966666668,18.2031111111,5.71877777778,0.806111111112,15.7937777778,11.801,7.54099999999
346.35,13.4778888889,13.0895555556,13.1633333333,8.96488888889,18.4494444444,5.89933333333,1.01077777778,15.9123333333,11.9188888889,7.70277777777
346.72,13.7133333333,13.2723333333,13.3754444444,9.13866666667,18.7072222222,6.06466666667,1.09711111111,16.1554444445,12.0435555556,7.86822222223
347.08,13.7002222222,13.3196666667,13.3503333333,9.14011111112,18.7244444444,6.12844444444,1.31766666667,16.3046666667,12.0591111111,7.89055555555
347.45,13.5683333333,13.2046666667,13.3038888889,9.0328888889,18.6456666667,6.08022222222,1.32877777778,16.2788888889,11.9638888889,7.74177777779
347.81,13.668,13.4111111111,13.4286666667,9.28755555556,18.735,6.17255555556,1.45777777778,16.3575555556,12.0771111111,7.75255555557
348.18,13.7248888889,13.4737777778,13.5341111111,9.32855555557,18.9125555555,6.28766666667,1.547,16.4543333334,12.1314444444,7.72355555555
