wavelength,Back_TanPalf,Belly_TanPalf,Breast_TanPalf,Crissum_TanPalf,Crown_TanPalf,DorTail_TanPalf,Patch10_TanPalf,Patch11_TanPalf,Patch12_TanPalf,Rump_TanPalf,Throat_TanPalf,WingTip_TanPalf
350.73,9.15577777778,35.6706296296,17.4764444445,23.3424444444,17.2756666667,5.977,23.5177777778,4.12711111111,27.5484444444,22.4251111111,31.7721111111,6.05911111111
351.10,9.23799999999,35.7608395062,17.4635555555,23.3041111111,17.291,5.93555555555,23.4885555555,4.17088888889,27.4597777778,22.4237777778,31.9371111111,6.08877777778
351.46,9.48977777777,36.0601666667,17.7653333333,23.4403333334,17.439,6.16655555556,23.6173333333,4.38233333333,27.6743333333,22.6232222222,32.1437777778,6.27977777778
351.83,9.54388888889,36.1889691358,17.7538888889,23.3722222222,17.4862222222,6.27844444444,23.6206666667,4.48166666667,27.6848333333,22.6206666667,32.176,6.37522222222
352.19,9.61755555555,36.5251790123,17.8708888889,23.4357777778,17.5191111111,6.453,23.6895555555,4.57722222222,27.7927222222,22.7658888889,32.3153333334,6.51688888889
352.55,9.61466666666,36.6152839506,17.983,23.2915555556,17.5594444444,6.44088888889,23.7503333333,4.54522222222,27.79,22.8228888889,32.2922222222,6.47444444444
352.92,9.61666666668,36.5926111111,17.93,23.2028888889,17.5426666667,6.31466666666,23.6701111111,4.43866666667,27.6777222222,22.7802222222,32.3895555556,6.40377777778
353.28,9.60111111112,36.6250987654,17.9103333333,23.2271111111,17.396,6.19344444444,23.5894444444,4.37411111111,27.6322777778,22.6652222222,32.3448888889,6.12577777778
353.65,9.438,36.6322160494,17.869,23.1476666667,17.3204444444,6.00822222222,23.4482222222,4.15755555556,27.4872222222,22.4957777778,32.2233333334,5.94677777778
354.01,9.36333333332,36.6369259259,17.9026666667,23.1353333333,17.2941111111,6.02288888889,23.4771111111,4.12188888889,27.5402222222,22.4998888889,32.1532222222,5.86622222222
354.38,9.22788888888,36.5285,17.9274444445,23.0702222222,17.1772222222,5.921,23.3606666667,4.07433333333,27.5338333333,22.3341111111,32.0007777778,5.81422222222
354.74,9.212,36.5535432099,17.9996666667,23.0953333333,17.2157777778,5.981,23.4167777778,4.05933333333,27.6058888889,22.3047777778,32.0856666667,5.80577777778
355.11,8.95222222222,36.4896666667,17.9162222222,23.0423333334,17.0168888889,5.79477777778,23.2745555556,3.81244444445,27.4738333333,22.1212222222,31.8648888889,5.53211111111
355.47,8.80744444445,36.5115740741,17.8488888889,23.0722222222,16.9261111111,5.70955555556,23.2948888889,3.69922222222,27.356,22.0573333334,31.7777777778,5.497
355.83,8.906,36.7413333333,18.0601111111,23.2538888889,17.0478888889,5.84011111111,23.4521111111,3.75733333333,27.5253333333,22.1077777778,31.973,5.63866666667
356.20,8.94344444444,36.7722777778,18.1816666667,23.3555555555,17.0923333333,5.833,23.4614444445,3.76944444444,27.5209444444,22.1907777778,32.0405555555,5.66922222222
356.56,9.02122222222,37.0384197531,18.2884444444,23.4868888889,17.1194444444,5.92944444445,23.5597777778,3.81166666667,27.6608888889,22.2793333333,32.1954444445,5.74677777778
356.93,8.90122222222,37.0606234568,18.2424444445,23.4246666667,17.0632222222,5.90033333333,23.5006666667,3.78055555556,27.6086111111,22.2282222222,32.1127777778,5.69944444444
357.29,9.06833333333,37.3108703704,18.4648888889,23.5451111111,17.2742222222,6.16588888889,23.7685555555,3.99122222222,27.8639444444,22.5206666667,32.321,5.977
357.66,9.24088888888,37.4813518518,18.6561111111,23.7968888889,17.4096666667,6.36355555556,23.9491111111,4.202,28.0097777778,22.691,32.5214444444,6.18788888889
358.02,9.21655555557,37.5711481481,18.6407777778,23.7661111111,17.3525555556,6.26766666667,23.8873333333,4.107,27.9633333333,22.6195555555,32.5781111111,6.09522222222
358.38,9.33244444446,37.7966358025,18.7764444444,23.891,17.4743333333,6.33,23.9646666667,4.18488888889,28.1388333333,22.8372222222,32.8453333333,6.17122222222
358.75,9.43066666668,38.0235925926,18.9613333333,24.0232222222,17.484,6.30888888889,24.0971111111,4.26388888889,28.245,22.9651111111,32.994,6.21377777778
359.11,9.54299999999,38.127037037,19.0737777778,24.0112222222,17.6098888889,6.36255555556,24.2141111111,4.37322222222,28.3427777778,23.0408888889,33.1427777778,6.31511111111
359.48,9.63244444445,38.3484938272,19.1796666667,24.0018888889,17.72,6.34577777778,24.2271111111,4.41688888889,28.5236666667,23.0944444444,33.2981111111,6.32422222222
359.84,9.55988888889,38.347654321,19.1421111111,23.9528888889,17.6925555555,6.267,24.1222222222,4.28288888889,28.4503888889,23.112,33.3215555556,6.26844444444
360.20,9.64133333333,38.6211358025,19.2621111111,24.1427777778,17.7615555556,6.27811111111,24.3077777778,4.256,28.6551111111,23.1791111111,33.4712222222,6.28466666667
360.57,9.71955555557,38.7136604938,19.34,24.1453333333,17.7932222222,6.33966666666,24.3676666667,4.30266666667,28.6549444444,23.2164444445,33.5695555556,6.32088888889
360.93,9.799,38.8714876543,19.4936666667,24.1921111111,17.8635555556,6.38566666667,24.4844444444,4.35977777778,28.7436666667,23.2357777778,33.7097777778,6.37955555555
361.29,9.88455555556,39.0642407408,19.5863333333,24.3683333333,17.9416666666,6.32877777778,24.5152222222,4.36911111111,28.7775555555,23.3472222222,33.8684444444,6.33611111111
361.66,9.9318888889,39.1547901234,19.5794444444,24.4305555555,18.0115555556,6.29188888889,24.4996666667,4.348,28.8228333333,23.3452222222,33.9382222222,6.299
362.02,10.0375555555,39.2770308642,19.6884444444,24.4818888889,18.22,6.40022222222,24.6246666667,4.46255555555,28.9300555556,23.427,34.0873333333,6.384
362.39,9.99466666666,39.274308642,19.7068888889,24.3892222222,18.1314444444,6.378,24.5682222222,4.38366666667,28.8205,23.244,34.0391111111,6.33155555556
362.75,10.0275555556,39.3263148148,19.739,24.3373333333,18.2182222222,6.42266666667,24.5318888889,4.40866666667,28.8186666667,23.2366666667,34.104,6.39633333333
363.11,10.0526666667,39.3797037037,19.7911111111,24.3543333333,18.2288888889,6.41177777778,24.5043333333,4.34588888889,28.8859444444,23.2356666666,34.0948888889,6.39788888889
363.48,10.0447777778,39.2517037037,19.8283333333,24.3047777778,18.1927777778,6.42922222222,24.5134444444,4.31777777778,28.7915,23.1917777778,34.0495555556,6.34411111111
363.84,10.1645555555,39.2759753087,19.9281111111,24.3353333333,18.2804444444,6.53711111111,24.599,4.47011111111,28.8405,23.2032222222,34.1014444445,6.44866666667
364.20,10.2021111111,39.188537037,19.9483333333,24.1758888889,18.281,6.58344444445,24.5478888889,4.608,28.7492777778,23.1673333333,34.1104444444,6.46833333333
364.57,10.2623333333,39.3146172839,19.9484444444,24.3615555556,18.3312222222,6.57555555555,24.6221111111,4.65277777778,28.8553888889,23.224,34.2225555556,6.50588888889
364.93,10.3111111111,39.3466728395,20.0078888889,24.5197777778,18.4043333333,6.57055555555,24.6566666667,4.68511111111,28.8835,23.2274444444,34.3382222222,6.52966666667
365.29,10.4146666667,39.3826049383,20.166,24.5652222222,18.5267777778,6.761,24.7121111111,4.86055555556,28.9603888889,23.2665555556,34.4494444445,6.72066666667
365.66,10.477,39.5616728395,20.3065555556,24.5588888889,18.6025555555,6.81077777778,24.7731111111,4.90911111111,29.0470555556,23.3518888889,34.5807777778,6.80822222222
366.02,10.4654444445,39.7095925926,20.4028888889,24.6544444444,18.5554444444,6.83666666667,24.7398888889,4.90511111111,29.0843888889,23.4655555555,34.6594444445,6.82777777778
