wavelength,Back_EmbYpim,Belly_EmbYpim,Breast_EmbYpim,Crissum_EmbYpim,Crown_EmbYpim,DorTail_EmbYpim,Patch10_EmbYpim,Patch11_EmbYpim,Rump_EmbYpim,Throat_EmbYpim,WingTip_EmbYpim
742.76,18.4362444445,41.1867333333,35.3970666667,29.0511333333,13.1259333333,13.6854511111,26.7024666667,10.5796333333,18.5311333333,43.6363666667,21.4194583333
743.07,18.3634444444,41.1674666667,35.3330333333,28.8019,13.0429333333,13.5951511111,26.421,10.3659666667,18.3102666667,43.2748,21.4914166667
743.39,18.6262444445,41.3464666667,35.6094,28.9301,13.2994,13.7204977778,26.5448666667,10.7101,18.6678666667,43.5375666667,21.812875
743.70,18.9522,41.5918,35.7972666667,29.1786333333,13.4778,14.0536755556,26.6694,10.9955666667,18.9238666667,43.5274,22.061875
744.02,19.2108222222,42.1033333333,36.1969,29.6077333333,13.5891333334,14.39792,26.9424,11.2197333334,19.1264666667,43.8879666667,22.4855416667
744.34,19.1174,42.2096,36.4473666667,29.6215333333,13.3977333333,14.1642933333,26.7834,11.1019333333,18.8572,44.0494666667,22.6673333334
744.65,19.4306666667,42.6172666667,36.7150333333,29.9413666667,13.6795333333,14.5344888889,27.1947333333,11.3821333333,19.1549333333,44.3106,23.24675
744.97,19.0987111111,42.4696666667,36.5659,30.0001333333,13.5292,14.4295244444,27.2484,11.1961666667,19.1184,44.1465666667,22.81075
745.28,18.8556444444,42.1105333333,36.3397,29.8283333333,13.4318666667,14.3219311111,26.9413333333,11.1539333333,18.8714,43.9186333333,22.8616666667
745.60,18.8684,42.0762,36.6396333333,30.0785666667,13.6381333333,14.2928844445,27.1525333333,11.1030666667,18.9919333333,44.3398,23.2269583333
745.91,18.9799777778,42.1372666667,37.0826333333,30.3597333333,13.9254,14.4240555556,27.3953333333,11.1443,19.1681333333,44.6858333333,23.3682916667
746.23,18.8607555556,42.2681333333,37.169,30.3381333333,13.8682,14.4404822222,27.1953333333,10.9066666667,19.1024666667,44.7763,23.4055833334
746.55,18.4627111111,42.1324666666,36.7178333333,30.0357666667,13.3890666667,13.97754,26.893,10.4290666667,18.844,44.8937333333,22.848
746.86,18.446,42.1508,36.6806333333,30.3838333333,13.355,14.03322,27.0801333333,10.1941666667,18.9308666667,45.0224666667,22.733125
747.18,18.4204444444,42.1994,36.8599666667,30.5522333333,13.4144666667,14.1992333333,27.3374,10.1623,18.9706,45.2567,22.6972916667
