wavelength,Back_CalCocf,Belly_CalCocf,Breast_CalCocf,Crissum_CalCocf,Crown_CalCocf,DorTail_CalCocf,Rump_CalCocf,Throat_CalCocf,WingTip_CalCocf
351.46,4.388,9.17958333332,7.46091666666,9.32941666666,4.64833333333,4.27075,7.70825,4.85025,2.99491666667
351.83,4.28325,8.93491666665,7.31766666666,9.20025,4.45783333334,4.36725,7.50525,4.68408333333,2.87908333334
352.19,3.83875,8.37891666666,6.67708333333,8.60616666666,4.08558333334,3.95558333333,7.02125,4.30616666667,2.2995
352.55,4.09925,8.53908333333,6.92625,8.82808333334,4.23408333334,4.09925,7.13825,4.51666666667,2.51866666667
352.92,4.135,8.71458333331,7.04391666668,8.96216666667,4.36358333333,4.262,7.25366666667,4.70025,2.70566666667
353.28,4.14775,8.66225,6.95483333334,9.04791666666,4.19816666667,4.19833333334,7.17641666667,4.85583333334,2.72516666666
353.65,4.23783333333,8.82291666665,7.10649999999,9.20083333333,4.37416666667,4.34941666667,7.29233333333,4.90083333333,2.93058333333
354.01,4.24583333333,8.95991666668,7.02558333333,9.46466666667,4.483,4.37966666667,7.24425,5.0,3.12683333334
354.38,4.16375,8.90574999999,6.85691666667,9.40000000001,4.38666666667,4.15758333334,6.97775,5.00725,3.06708333333
354.74,3.9095,8.5995,6.64775000001,9.07258333333,4.08683333333,3.945,6.61225,4.67225,2.80333333333
355.11,3.71783333334,8.18875000001,6.31241666667,8.82558333332,3.73516666667,3.5905,6.26008333334,4.3375,2.44958333334
355.47,3.72333333333,8.123,6.36074999999,8.82233333334,3.77441666667,3.513,5.95166666666,4.27458333333,2.23975
355.83,3.66375,8.18166666667,6.32183333333,8.85608333334,3.7705,3.37708333333,6.08008333334,4.28766666667,2.16358333333
356.20,3.9115,8.40466666666,6.60533333333,9.05758333334,4.04866666667,3.60425,6.44616666667,4.47116666667,2.37541666667
356.56,3.54591666666,8.07433333334,6.16358333333,8.60866666666,3.66475,3.24383333333,5.99641666667,4.08566666667,2.03483333333
356.93,3.51041666666,8.01316666666,6.07666666666,8.54141666667,3.5745,3.15841666666,5.79916666667,3.92666666667,1.96341666666
357.29,3.48883333333,8.06533333333,6.04783333333,8.43833333332,3.62533333333,3.15258333333,5.76391666666,3.85666666667,2.14891666667
357.66,3.498,8.10941666667,6.02233333334,8.32816666667,3.58641666666,3.1335,5.73591666667,3.83091666667,2.05608333333
358.02,3.32516666667,7.87891666667,5.89633333334,8.04933333332,3.38691666666,2.876,5.57091666667,3.51091666667,1.71933333333
358.38,3.18041666667,7.57383333334,5.68283333333,7.96125000001,3.11925,2.7625,5.4385,3.3335,1.54441666667
358.75,3.35041666667,7.71733333333,5.684,8.22816666667,3.27025,2.84466666667,5.45875,3.54566666667,1.54225
359.11,3.2225,7.67608333332,5.63083333332,8.11758333332,3.25191666666,2.81541666667,5.43958333333,3.51191666666,1.51558333333
359.48,3.4235,7.92966666668,5.84050000001,8.28099999999,3.34291666667,3.07683333334,5.68366666667,3.66575,1.87558333333
359.84,3.74791666667,8.15941666667,6.15958333334,8.64,3.66533333333,3.3865,5.77533333333,3.83958333333,2.183
360.20,3.67516666667,8.06183333334,6.12649999999,8.57366666667,3.37258333333,3.288,5.57058333333,3.74166666667,2.11341666667
360.57,3.941,8.30724999999,6.38016666667,8.84116666667,3.67625,3.51575,5.85491666667,3.94533333333,2.35241666667
360.93,4.01416666667,8.40525,6.43633333332,8.80775000001,3.69658333333,3.60341666667,5.99591666667,4.04383333333,2.41366666667
361.29,4.13541666667,8.46216666667,6.57758333333,8.89916666668,3.81516666667,3.78175,6.20733333333,4.12308333333,2.36716666667
361.66,3.95125,8.36225000001,6.46233333332,8.84208333333,3.63108333333,3.64358333333,6.0725,3.95941666667,2.19508333333
