wavelength,Back_DigCarf,Belly_DigCarf,Breast_DigCarf,Crissum_DigCarf,Crown_DigCarf,DorTail_DigCarf,Patch10_DigCarf,Rump_DigCarf,Throat_DigCarf,WingTip_DigCarf
192.85,60.6547666667,63.5014102564,60.2778666667,69.4048,75.1389999999,67.4205333333,54.4642,66.1904666667,57.8173333333,46.5079333333
193.23,57.8323,60.4813487179,60.5316666667,68.5480666667,75.6237333333,65.0717333333,51.6155333333,63.8855333333,55.4192666667,43.6400666667
193.61,59.7279333333,63.3595128205,62.0409333333,71.4738666666,76.8254999999,65.0339333333,50.4307666667,62.2222,55.1927333333,41.9047333333
193.99,60.6191,63.271,60.4286,76.2380666667,78.3094333334,63.9524,50.4999,61.9048,55.0000666667,41.9523333333
194.37,58.9462666667,64.4872102564,58.3823999999,76.8628,76.3725666666,62.5980666667,49.3138333333,61.5686666666,54.2156666667,39.1666
194.75,54.2156666667,59.0799897436,52.2547333333,73.4313333333,72.0341999999,54.3138666667,45.1226,53.1862666666,48.7255333333,34.6077333333
195.13,53.3333333333,57.8695589743,49.5300666667,68.7248000001,67.5167666666,51.3198,45.8613666667,50.9172666667,46.1744,31.6331333333
195.51,57.9428,61.3247384616,53.3333333333,71.3142666667,66.5524333333,55.9618666667,52.9525,56.1143333333,50.3238,37.4475333333
195.89,68.6330333333,67.2400410256,60.8988,79.7752666667,74.0825,61.7976,61.7229,64.1198,55.9925333333,46.3296666667
196.27,78.1148666667,73.5455282051,67.6779999999,92.4138000001,82.1609000001,64.9196,66.8505,71.2643333333,61.6093333333,49.7012666666
196.65,91.0512000001,84.2641948718,75.0257333334,105.641066667,91.2050666667,74.5127333333,75.8206,79.4358,72.4615333333,58.5640666666
197.03,98.1890000001,87.9830102564,79.1601333333,111.811,94.3831,78.2152000001,80.8923666666,80.3675333334,77.5852,63.5696
197.40,98.1932666668,90.9219743589,79.7453999999,114.3512,94.8346000001,79.0330666667,86.1323999999,83.3587333333,77.2518666666,66.2593999999
197.78,96.2406,90.2564256411,79.9498000001,116.491333333,95.6390666666,79.9999999999,89.4235999999,83.4084666667,80.5513333333,66.8670666667
198.16,92.2391333333,83.7698358974,78.0152666666,108.9058,86.6156666667,76.8956,85.4959999999,75.1144666667,73.7914,60.9668000001
198.54,93.8718333333,88.433897436,80.6666000001,111.846133333,87.8205333334,79.9486666666,87.3588666667,73.1282,76.5129333333,63.0768666667
198.92,103.743666667,99.4319999999,91.2820000001,123.435933333,97.6923,94.1538666667,96.7693666666,86.3589333335,87.8463333333,74.9744000001
199.30,115.652133333,106.639953846,98.4347333333,135.594333333,105.623233333,104.115866667,102.318966667,92.8696666667,94.8405333333,84.6957333334
199.68,125.8681,115.309902564,106.8056,152.2916,114.027733333,113.402733334,108.5416,94.9304666666,104.7916,91.5276666666
200.06,125.5556,116.062041026,101.9754,157.037066667,110.3703,107.654266667,104.3621,84.7736666667,102.4692,86.1728666667
200.44,116.8841,109.230692308,97.2462666667,142.318933333,101.775433333,101.086933333,101.195633333,80.5797999999,94.5651333334,81.9566000001
200.82,110.386066667,106.040548718,97.4035333333,132.701866667,94.8420666667,93.5439333333,96.8069999999,76.9824,89.9649333333,77.4034666666
201.19,117.662933333,115.632215385,109.961733333,137.930933333,101.839166667,100.229933333,105.823833333,82.2221333334,97.1647999999,84.6741999999
201.57,109.4841,109.548348718,105.872933333,130.9524,92.5000666667,93.5715333333,92.5793333333,70.5556666667,91.5079999999,74.6033333333
201.95,104.316233333,106.147338462,104.700933333,126.410333333,88.6751999999,86.2392666667,82.3504666666,65.983,83.8462,72.9914666666
202.33,98.5034666667,105.923589744,97.9590666667,115.238133333,92.2789666666,86.9389333335,82.2107666666,74.4898666667,85.9183333332,76.8706666666
202.71,97.0270666667,100.674615385,94.2942666667,108.648666667,92.9729666668,84.805,84.3243666667,76.2162,83.6035333333,79.1591333333
203.09,91.4505333333,93.7464820512,86.8517333334,101.1112,85.5864,75.1234666666,78.6729333333,64.3210666666,75.2468666666,72.7776666667
203.47,87.7970666667,91.6298717949,87.7680000001,99.7680666667,87.6811333333,74.4927999999,84.0870666667,65.9130666667,74.4925333333,73.0434666667
203.85,84.6245666667,90.1684871795,84.4445333334,97.6578,87.4473666666,71.9520000001,83.7837666666,68.1681999999,70.5705333333,70.3902666667
204.22,81.4034666667,89.1729846153,84.7117333334,93.8345999999,87.5688666665,75.0373999999,84.6116666666,72.4311333333,74.0351333333,71.4285333333
204.60,88.8095666666,95.2910051281,89.3122000001,101.111133333,93.8095333335,79.1534,90.8466000001,76.6138666667,81.3757333333,79.6826
204.98,82.5125000001,87.3670256411,81.7909333334,94.8258000001,89.6767,73.7811333333,85.4476999999,67.8109333333,73.9799999999,73.8309333333
205.36,81.7049,86.310502564,76.6412000001,97.8626666667,88.8804000001,71.6031333333,85.7252666667,66.9211333333,72.5191333334,72.7736
205.74,89.6773333333,92.3366410256,82.4193333334,105.5376,94.2204666667,76.3441333334,94.9730666667,73.4408666666,78.7633999999,82.742
206.12,92.5067333335,94.7404512821,84.6280666666,107.162533333,95.4270666667,82.4793333333,101.8732,75.6474000001,80.1653333333,87.0523333333
206.50,93.9604666667,97.3749435897,85.0826000001,112.541266667,96.2704666667,80.5940666667,107.0296,73.9274,78.3498666666,88.7788666667
206.87,109.212966667,113.817630769,97.5925333333,132.314733333,111.712966667,91.0184666667,129.861233333,80.9260666667,87.9630666667,104.351866667
207.25,114.4103,118.690333333,102.4616,137.846066667,116.0001,97.9487999999,141.846233333,88.5127333334,92.8205333335,110.359
207.63,132.4838,137.657071795,115.817133333,163.529533333,125.686166667,114.6406,167.124233333,95.6862666667,108.1046,127.712333333
208.01,140.5883,140.432271795,122.352866667,161.699266667,127.320233333,119.738733333,164.5751,98.9540666665,109.673333333,139.607866667
208.39,192.7451,193.996933333,161.7648,226.2746,166.1764,160.784333333,227.9412,129.607933333,144.706,199.4118
208.77,194.375,206.426282051,175.0,234.791666667,176.041666667,178.541666667,231.666666667,140.208333333,152.708333333,210.833333333
209.14,477.4359,489.309733333,431.794933333,576.923133333,426.410166667,455.384533333,559.230766667,368.205133333,384.102466667,531.281933333
209.52,5960.0,6251.28205127,5726.66666667,7119.99999999,5670.0,6140.0,6983.33333333,4993.33333333,5046.66666667,6880.0
209.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.28,3435.0,3392.05128205,3303.33333333,3976.66666667,3256.66666667,3420.0,3740.0,3110.0,2906.66666667,3896.66666667
210.66,3903.33333333,3901.53846154,3826.66666667,4326.66666667,3783.33333334,3920.0,4116.66666667,3763.33333333,3350.0,4553.33333333
211.03,8093.33333333,8570.25641026,8246.66666667,9253.33333335,7750.0,8333.33333334,8550.0,8346.66666666,7213.33333333,9853.33333333
211.41,1986.66666667,2143.71794872,1980.0,2261.66666666,1840.83333333,1983.33333333,2037.5,2035.0,1720.0,2381.66666667
211.79,1579.33333333,1796.1025641,1582.66666667,1740.0,1460.66666667,1561.33333333,1612.66666667,1704.0,1381.33333333,1942.66666667
212.17,1746.66666667,2134.35897436,1813.33333333,1978.33333333,1673.33333333,1743.33333333,2010.0,1970.0,1635.0,2200.0
212.55,3.4160826719e+15,4.2231088289e+15,3.53123152601e+15,3.85961899884e+15,3.21990314268e+15,3.45873039564e+15,3.9321201292e+15,3.9150610397e+15,3.2326974598e+15,4.49080531025e+15
212.92,-646.25,-782.692307692,-641.666666666,-697.5,-584.583333333,-673.333333333,-732.916666667,-751.666666667,-596.666666667,-866.666666667
213.30,-229.375,-330.192307692,-262.916666667,-272.5,-203.541666667,-242.916666667,-302.291666667,-313.333333333,-229.583333333,-367.5
213.68,-100.317366667,-185.738620513,-140.9524,-132.063333333,-78.4128666667,-102.539666667,-172.063466667,-171.746066667,-97.4603333334,-219.999933333
214.06,-4.81486666667,-73.5184820513,-37.2221333333,-23.7038,8.51849999998,-17.0369333334,-58.3333666667,-52.5926,-4.44453333332,-86.2962666667
214.44,34.0678,-8.00525641032,14.0114,24.7458666667,42.4293666667,22.8248,-3.78536666665,5.08473333335,36.8362,-8.24846666675
214.81,48.3104333333,18.9674564102,35.4338,38.6301333333,55.3882,39.4521333334,15.0227333333,28.4017333334,49.1322666667,16.6208666667
215.19,50.9583333333,26.7692307692,38.5,44.5,58.5833333333,39.8333333333,23.6666666667,36.3333333333,54.5833333334,23.0
215.57,47.7908,25.5515897436,34.7286,43.7984,54.8837,34.9612666667,21.7053666667,33.1009333334,49.3023333333,15.1935333333
215.95,51.3580333333,28.059451282,37.4487333333,44.1152,54.6092,33.0041333333,21.7696,40.1646,50.9464666667,17.4486
216.32,37.3644666667,21.3773435897,29.3024666667,35.5814666667,41.8216,22.7131333333,17.403,30.8524666667,45.5814666667,8.60466666667
216.70,25.2381,10.4875076923,19.0475333333,28.9378,32.564,13.6264666667,6.33673333332,21.4650666667,38.7546,1.90473333332
217.08,36.8848,21.5911589743,30.2182,39.5639333333,43.3022,28.5358666667,21.3085333333,34.3302666667,49.7819333333,20.0
217.46,35.1375666667,23.2462871795,32.9050666667,41.896,43.5779666667,27.5228666667,24.8623666667,35.2904666666,52.2323333333,22.691
217.83,26.2706666667,19.8832358974,26.6006,37.3596666666,38.4817666667,19.0759333333,16.4356333333,28.1188666667,46.1387333333,17.6898666667
218.21,19.0477,14.6626205128,23.5374,34.0818,35.3402333333,13.9455333333,13.2313666667,20.9524,43.7414,16.1904666667
218.59,14.4322,10.7297897436,19.7070666667,29.3040666667,32.8937333333,9.45053333333,13.2600666667,19.4139333333,40.2197333333,13.9927333333
218.97,16.0203666667,13.9664,19.9999333333,32.993,34.6598,14.5579333333,20.2380666667,20.8844666667,41.6327333333,14.2176666667
219.34,18.1560333333,20.4910358974,23.9715333333,39.3618,37.6241,23.1206,21.0993666667,20.0710666667,44.3261333333,21.9858
219.72,19.9645666667,24.4516923077,25.7445333333,41.0638,39.2199,24.8936,25.6029,20.2837333333,47.305,27.0920666667
220.10,6.95046666669,13.4043128205,14.3972666667,31.1347333333,33.7233333333,18.0851333333,17.6243333333,4.39713333333,38.0851333333,18.3689333333
220.47,8.51446666665,11.5998358974,11.9564,28.116,36.7754333333,18.1884,16.1956333333,3.47813333334,34.7102,14.7101333333
220.85,18.7911333333,22.0963333333,22.5641333333,36.4836666667,42.7107,31.5752,25.9340333333,11.6482666667,44.1026666667,20.293
221.23,16.1176666667,23.6802102564,19.6862666667,37.0196666667,44.745,34.1176,23.0980666667,7.05879999998,42.5097333333,17.6470666667
221.61,23.4457,27.801851282,25.0186666667,43.4457333333,50.8988,35.9549333333,28.8764,10.3371333333,44.6442666667,22.5468666667
221.98,32.3263333333,35.2725025641,35.2778,53.0556666667,58.7499333333,42.9860666667,40.5555333333,20.5555333333,50.9722,30.6248666667
222.36,42.0072666667,50.0744615385,48.3871333333,67.0968000001,69.0680666667,53.8350666667,53.7275333333,32.4730666667,58.7814,41.5053333333
222.74,33.2930333333,43.4043897436,42.4899333333,65.1404666667,62.6907,46.0241333333,43.7349666667,17.7510666667,47.6306,26.9878666667
223.11,25.7435666667,40.9466974359,41.5384666667,66.1538,65.6923333333,45.4359333333,38.5128,10.8717333333,49.1282666667,24.0
223.49,22.5269,35.3514410256,40.4302666667,60.7526666666,62.9031666667,41.5054,38.7095666667,7.63446666667,46.9891333333,18.2796666667
223.87,7.25486666667,24.9270923077,28.8889333333,56.0784000001,54.7713666666,26.9281333334,23.3987666667,-10.4575333333,35.0326666667,8.62739999998
224.24,28.9090666667,49.5197589744,48.4847999999,74.7878666667,65.6362666667,45.4545333333,44.5456,8.36366666667,56.6061333333,24.9697333333
224.62,40.5,78.3717948717,81.8333333334,114.166666667,90.0,63.3333333334,75.8333333333,14.6666666667,85.5000000001,39.3333333333
225.00,-3.47213333332,64.8505179487,68.0555333333,121.111133333,72.7778666667,27.4998666667,64.9999333334,-55.0000666666,70.0000000001,1.1111333334
225.38,230.5556,-42.6496256409,-108.889,-251.111066667,-25.0,128.888933333,-11.6666666667,493.333266666,-21.1111333334,228.8888
225.75,69.7223333334,-4.05998461552,-20.0,-48.3333333335,20.1388333333,43.3334,17.0832999999,140.833266667,6.3888666666,69.1666666666
226.13,51.2698,15.3601948718,1.58726666674,-10.7936,29.3650333333,41.2697333333,17.1428333334,97.1429333334,18.0952666667,52.6985333333
226.51,31.1764333333,8.20514871795,-1.96073333332,-12.8105333333,18.2353,20.3923333333,8.43129999999,72.9411333333,5.88226666666,36.8626666667
226.88,6.86556666665,-7.6081948718,-15.5223333333,-21.194,-1.99003333334,3.98013333332,-20.3979666666,37.6118666667,-15.3235333333,15.3234
227.26,3.13729999999,-4.65567692308,-9.34653333335,-12.6143333333,-1.92809999999,7.64706666667,-14.2157,24.4444,-6.99339999999,11.8301333333
227.64,6.41036666669,-1.17267692308,-3.54300000001,-4.05593333333,0.955799999998,12.3076666667,-6.22366666665,20.0932,-2.05113333334,12.4474666667
228.01,7.65033333333,1.02285128205,-1.23873333332,0.692333333333,1.93083333333,11.5482,-4.04383333333,18.9435333333,-0.218600000001,14.3898666667
228.39,11.5518666667,4.03407179487,3.96759999999,5.77586666665,5.91103333333,14.6288666667,1.3225,18.2186666667,3.69760000001,15.9782666667
228.76,14.2984666667,8.04284102565,9.18073333334,10.2807333333,9.1022,16.2065333333,5.33126666667,19.4838666667,6.64420000001,17.5084
229.14,12.1442333333,5.78167692308,7.92673333333,8.39433333333,6.34159999999,13.5164,3.69913333334,16.0365333333,4.59353333334,14.8170666667
229.52,14.0355666667,8.29010769231,10.2995333333,10.8426666667,8.35206666667,15.9364,5.11239999999,15.9925333333,6.23580000001,16.1798
229.89,16.1023,10.8668717949,11.3051333333,13.0334666667,9.80606666666,17.7778666667,8.07773333334,17.3368666667,8.8536,17.7953333333
230.27,16.5124,10.3671384616,10.4370666667,13.8131333333,9.89713333334,17.395,7.84073333334,16.8637333334,8.62053333334,17.2064666667
230.65,19.6896666667,12.9576666667,13.4925333333,17.136,12.7129,20.5888,10.0716333333,19.6976666667,11.5354,20.2067333333
231.02,21.5690666667,14.9259846154,14.957,19.0164666667,14.9960666667,21.7956,13.4036666667,21.4206666667,13.1771333333,21.2646
231.40,24.4733666667,18.0938410256,17.9402666667,22.1542666667,18.2233666667,24.1666,16.3995,24.8584666667,15.2673333334,23.7422
231.78,26.5105333333,21.3571897436,19.9998666667,23.3566666667,20.6324,25.2303333333,18.1498,27.338,17.2051333333,26.1982666667
232.15,27.1348,21.9047025641,20.5165333333,23.9224666667,21.8967333333,25.1816,18.4744666667,27.5545333333,17.6432666667,26.2308666667
232.53,26.8621666667,22.3208410256,20.2720666667,24.4556666667,22.0748666667,25.4762,18.1122,27.8402,19.1836666667,26.3096
232.90,26.0338666667,21.4479384615,18.9128,23.8504,21.9785666667,25.0981333333,18.3779,27.9323333333,19.7506,26.114
233.28,27.6757333333,23.5565076923,20.1440666667,25.4413333333,23.0361333333,27.928,20.4235333333,29.1530666667,21.6036,27.0270666667
233.66,26.2227333333,22.6324,19.6694,24.4733333333,22.1845666667,26.6841333333,19.4867,28.5814,20.4874,25.4133333333
234.03,25.7167,22.3297641026,21.1136666667,24.1442666667,22.4651666667,26.2571333333,18.7961,28.4356666667,19.5740666667,24.7338666667
234.41,24.9229666667,22.5927897436,22.1574,23.3738666667,21.9220666667,27.0884666667,19.0998,28.4185333333,19.4485333333,25.1258
234.78,26.7232,24.7394769231,24.1969333333,25.7627333333,24.2612666666,29.6043333334,21.8724,30.1856666667,21.9532,26.4408
235.16,28.8392666667,27.1141538461,27.1726,27.9018,26.2425,31.0118,23.4003,32.0833333333,25.0445333333,28.3928
235.54,26.4351333333,25.5353846154,25.2629333333,25.3052,24.0701,29.1929333333,21.3893666667,29.1368,23.6070666667,26.7227333333
235.91,24.4536666667,22.743,23.6604666667,23.6046666667,22.5888,28.1975333333,19.0536,26.8614666667,22.6166,24.6207333333
236.29,22.7933333333,21.6953846154,22.5866666666,22.5733333333,21.56,27.64,17.96,25.1866666667,22.04,23.1866666667
236.66,22.4396666667,21.0818358974,21.8395333333,21.8395333334,21.5003333333,27.2929333333,17.6516666667,23.6659333333,21.0306,22.6744666667
237.04,22.1933333333,21.3476717949,21.9936666667,21.6075333333,20.9221333333,27.1027333333,17.3457333333,22.8536666667,20.5482,22.2180666667
237.41,22.5479666667,22.0190102564,23.0054666667,22.3995333333,22.2201,27.6684666667,17.7675666667,23.8960666667,21.4841333333,23.2775333333
237.79,23.3209,21.7141487179,22.9011333333,22.6544,22.6851333333,28.3704,18.1666,23.5432666667,21.8888666667,23.4444
238.17,23.2788,21.3510307692,22.1939333333,22.9453333333,22.7393333333,28.4,18.0848,22.3877333333,21.7696666667,23.3696
238.54,23.4367666667,21.1555794872,21.8047333333,23.2987333333,23.3161666667,28.1034,18.0518333333,21.5516666667,21.4254,23.3562666667
238.92,21.9487666667,19.469974359,20.9827333334,21.8872666667,22.4345333333,26.7336,17.1747333333,19.9888666667,20.7034666667,22.4455333333
239.29,20.1135,17.5921282051,18.8547333333,20.3457333334,20.6700333333,26.0723333333,15.4081,17.7093333333,18.8223333333,21.0480666667
239.67,19.2794666667,16.1893128205,17.8849333333,19.7199333333,19.8446,24.7796666667,14.536,17.2006,18.0922666667,19.9482
240.04,18.0725,15.4873948718,16.8311333333,19.0408666667,18.3263666667,23.0372,14.2925,16.0319333333,16.8312,19.2383333334
240.42,17.0265,14.6092461538,16.0102,17.7721333333,16.9249666667,21.2960666667,12.8589,14.7733333333,15.4596,18.365
240.79,15.8305333333,14.4601435897,15.6868666667,17.0184666667,15.9326666667,19.9546666667,12.8754666667,14.1582,14.7711333333,17.798
241.17,14.4385666667,13.0951282051,14.3752666667,15.6494666667,14.6639333334,18.6624,12.207,13.1010666667,13.7979333333,16.9235333333
241.54,12.0715333333,10.8543179487,11.8455333333,13.2015333333,11.9648,16.1958,10.251,10.8849333333,11.425,14.7896666667
241.92,10.8804666667,9.82162051282,10.889,11.8910666667,10.5762666667,14.8276666666,9.39473333333,9.92193333333,10.5647333333,13.9414
242.29,10.4444333333,9.33803076923,10.7154666667,11.1328,10.0677333333,14.3524,9.13553333334,9.5392,10.2439333333,13.7234666667
242.67,10.9644333333,10.0432,11.5328666667,11.4249333333,10.5145,14.7427333333,9.82510000001,10.2159333333,11.0133333334,14.2542
243.05,11.3377,10.552051282,11.5677333333,11.2711333333,10.539,14.7428,9.88133333334,10.351,10.7912,14.3472
243.42,11.7052333334,10.8400102564,12.0163333333,11.4954,10.9117666667,14.8962666667,10.6029666667,10.7621333333,10.989,14.7082
243.80,11.947,11.2187076923,12.2829333334,11.6394666667,11.1426666667,15.3063333333,11.1142,11.0432666667,11.1711333333,14.9276666667
244.17,12.0945666667,11.2866461538,12.4918,11.8233333333,11.4540333334,15.5960666667,11.4352333333,11.0940666667,11.2248666667,14.9743333333
244.55,12.4283333333,11.7169897436,12.6276666667,12.2382,11.9427333333,16.1328666667,12.3047333333,11.5464,11.6883333333,15.551
244.92,12.5210333333,11.9296923077,12.7256666667,12.369,12.1378,16.2923333333,12.6882666667,11.6599333333,11.7746,15.6098666667
245.30,12.2864333333,11.7898205128,12.4384666667,12.1222666667,11.9459,16.0796,12.6929666667,11.203,11.5764,15.3572
245.67,12.1752,11.8440666667,12.4246666667,12.1655333333,12.0862666667,15.8389333333,12.6933333333,11.1872,11.4888666667,15.4600666667
246.05,11.1635333333,11.0969230769,11.4760666667,11.2015333333,11.328,14.9665333333,12.1590666667,10.3559333333,10.3994,14.7787333333
246.42,10.885,11.0438461538,11.36,11.1733333333,11.0983333333,14.7066666667,11.9983333333,10.2966666667,10.4233333333,14.59
246.79,9.74726666666,10.13,10.3118666667,10.2343333333,9.97363333333,13.5443333333,11.2984333333,9.31293333333,9.50513333333,13.653
247.17,8.84113333333,9.28655384615,9.48493333334,9.5172,9.01366666667,12.7685333333,10.6936,8.3786,8.87319999999,12.8182
247.54,7.97249999999,8.45586666666,8.41533333333,8.68993333333,8.0575,11.7148,9.82330000001,7.43626666666,8.06160000001,12.0628666667
247.92,7.51413333334,7.98815384616,7.89633333333,8.23153333333,7.6653,11.1730666667,9.36016666667,6.844,7.58333333333,11.7048
248.29,7.57543333333,8.19747692308,8.06606666667,8.2164,7.7531,11.152,9.53523333334,6.96726666667,7.76813333333,11.9009333333
248.67,6.99563333333,7.68934871796,7.72966666667,7.6408,7.17173333333,10.5577333333,9.08400000001,6.47786666667,7.22453333333,11.3323333334
249.04,6.5745,7.11815384616,7.30486666667,7.09506666667,6.66806666667,9.89786666666,8.70626666667,6.0544,6.9254,10.9014
249.42,6.82733333333,7.39577948717,7.60313333333,7.53633333333,6.87423333333,10.1455333333,8.95003333333,6.3576,7.04253333333,11.1394
249.79,6.7086,7.35767179486,7.638,7.325,6.57786666667,10.0128666667,9.04960000001,6.15366666667,6.98606666667,10.939
250.17,6.5168,7.3411897436,7.7008,7.24933333333,6.38226666667,9.88639999999,8.83300000001,5.84286666667,6.75293333333,10.886
250.54,6.05166666667,7.0617025641,7.0742,6.73406666667,5.93393333333,9.411,8.73066666667,5.30173333334,6.32273333333,10.5850666667
250.92,5.8313,6.87777435898,6.84693333333,6.55053333333,5.74516666667,9.1668,8.6459,5.0962,6.166,10.5047333333
251.29,6.1238,7.33415384616,7.25586666667,6.74253333333,6.04586666667,9.34326666667,9.01306666667,5.4924,6.4604,11.0396
251.66,6.09536666667,7.68960512821,7.91713333333,6.90806666667,6.31746666667,9.56453333334,9.25406666666,5.74813333333,6.61493333333,10.8667333333
252.04,5.66533333333,7.40105641025,7.75246666667,6.6044,5.70533333333,9.28793333333,9.01633333333,5.54533333333,6.20826666667,10.3247333333
252.41,5.00806666667,6.61796923077,7.21419999999,5.8706,4.98496666667,8.7462,8.3713,4.78033333333,5.53953333333,9.6434
252.79,4.80996666667,6.32789230769,7.13140000001,5.72766666667,4.74173333333,8.42266666667,8.27693333333,4.43193333333,5.3756,9.60560000001
253.16,4.40673333333,6.09091282051,6.78226666666,5.2708,4.23586666667,8.25993333333,7.90873333334,4.09146666667,4.84233333333,9.3766
253.54,3.9847,5.59055384615,6.27700000001,4.3524,3.64666666667,7.7424,7.48573333334,3.62206666667,4.3818,8.80820000001
253.91,3.82156666667,5.26028717949,5.82366666667,3.968,3.42833333333,7.86433333334,7.24233333333,3.2844,3.9732,8.77393333333
254.28,4.49363333333,5.67126666667,6.44086666666,4.4104,4.11223333333,8.3642,7.86189999999,3.77113333333,4.63073333333,9.16460000001
