wavelength,Back_SalAtof,Belly_SalAtof,Breast_SalAtof,Crissum_SalAtof,Crown_SalAtof,DorTail_SalAtof,Rump_SalAtof,Throat_SalAtof,WingTip_SalAtof
185.63,48.3333333335,95.0,-176.666666667,118.333333333,8.33333333335,66.6666666668,-56.6666666665,11.6666666666,93.3333333332
186.01,38.3333333335,93.3333333332,-256.666666667,140.0,-88.3333333331,66.6666666665,-83.3333333335,-28.3333333333,41.6666666665
186.39,36.6668333335,7.77783333335,-230.0,93.3333333335,-86.6666666667,25.5555,-71.1109999999,-3.33316666665,-57.7776666668
186.77,77.4999999999,52.5,-115.0,107.5,-26.6666666667,73.3333333331,-26.6666666667,61.6666666665,-24.1666666667
187.15,57.6923333332,50.0,-192.307833333,137.1795,-75.6410000002,89.7436666665,-112.820666667,67.9486666668,-91.0255000002
187.53,56.7901666667,83.9505,-54.9381666665,88.8890000002,9.25933333335,70.9876666665,-22.8395,58.6421666666,-24.074
187.91,60.3446666667,98.2758333332,-44.252833333,95.4023333335,18.391,72.9885000001,-10.9193333333,71.2641666666,-16.6665
188.29,63.1311666667,70.707,-48.989666667,75.2523333335,6.0605,37.3736666667,-4.0405,58.5858333333,-15.6565
188.67,64.4655000002,67.9245,0.9435,62.8931666667,28.302,42.1383333333,19.4966666667,65.4088333334,9.11933333335
189.05,63.846,67.6921666667,2.05116666665,61.5383333335,29.4871666667,37.1796666667,23.846,71.282,9.48733333335
189.43,64.3191666667,64.3193333333,1.643,56.1031666667,25.3521666667,31.6905,29.8121666667,66.4318333333,10.3288333333
189.81,56.2223333334,61.7776666667,-1.77783333335,46.2221666667,23.3333333333,22.0001666667,24.8888333334,60.2223333333,0.44466666665
190.19,54.2253333333,59.6245,-2.81683333335,29.3428333333,22.3003333333,7.7465,26.2911666667,58.9203333334,-13.615
190.57,65.5916666666,77.4193333333,6.1826666665,31.7205,22.8493333333,4.03233333334,30.3765,66.9353333333,-13.4408333333
190.95,72.4638333333,79.7101666667,-14.855166667,7.971,-0.000166666665,-24.6376666667,3.9855,57.971,-45.6518333331
191.33,79.4116666667,77.4508333333,-0.6533333335,4.902,8.49700000001,-22.876,5.8821666667,56.2091666667,-37.5818333333
191.71,73.5508333333,68.8406666666,-3.9853333335,-5.4348333333,4.348,-32.6086666666,-11.9563333333,52.5363333334,-56.5218333332
192.09,68.6441666666,72.3165,12.4293333334,8.19216666665,15.2545,-11.8645,6.7795,48.305,-33.8983333333
192.47,68.7828333333,77.2485,23.0160000001,13.2275,18.783,3.1745,17.7248333333,50.7938333333,-29.8943333334
192.85,56.7205,70.9676666667,15.3225,7.79566666667,8.33349999999,-4.301,22.5806666667,40.0538333333,-38.172
193.23,57.7775,66.3891666666,17.2221666667,5.83333333335,13.6111666667,3.88883333334,29.4445,33.889,-34.7221666667
193.61,63.9343333333,78.962,23.7704999998,13.9345,22.9508333334,14.754,39.8905,40.7101666666,-31.421
193.99,61.6666666667,73.889,16.389,11.6666666667,9.72216666667,17.2223333333,33.3333333335,41.389,-36.1111666667
194.37,63.9303333334,79.602,31.8406666667,30.8458333334,16.1691666666,42.5373333333,34.826,50.995,-10.6965
194.75,60.513,82.3076666666,34.1025,25.8976666667,12.308,54.359,34.1025,53.0766666666,-6.15366666666
195.13,54.1666666667,85.2938333333,32.8433333333,33.3333333333,11.5196666667,58.5785,37.9903333334,54.1666666667,-3.18633333333
195.51,46.6665,81.6666666667,24.5236666667,36.4285,6.66683333335,52.8571666667,32.619,45.4763333333,-10.238
195.89,43.018,81.7568333333,15.7656666667,31.9818333333,1.57683333333,49.099,28.3781666666,40.3151666667,-9.009
196.27,53.0556666667,90.2776666668,21.111,37.5001666667,-4.7225,53.3333333333,19.7225,48.889,-17.2223333334
196.65,64.4446666668,122.963,23.3333333334,42.963,-10.7406666667,56.2963333333,17.037,65.5555,-34.074
197.03,77.0833333333,136.25,25.8333333333,47.5,-0.416666666665,64.9999999999,4.58333333335,74.1666666667,-40.8333333333
197.40,74.5613333332,144.298166666,35.9651666665,40.7893333334,-7.456,56.1405,-7.01733333335,88.5965000002,-53.07
197.78,69.2308333335,131.1965,29.9143333333,39.3161666667,-6.83766666665,59.4016666667,-13.248,83.3335,-50.0
198.16,110.965,170.614,67.1051666665,63.1578333333,22.3683333333,87.2806666666,11.4035,116.666666667,-14.035
198.54,110.0875,164.473666667,69.7368333335,50.4386666667,17.9823333333,66.2279999998,11.4035,117.105166666,-17.1053333333
198.92,92.9825000001,146.929833333,54.386,28.9476666667,11.842,43.8596666667,-5.26316666665,98.6843333335,-37.7191666666
199.30,86.4866666666,132.882833334,41.4415,21.6216666667,11.2613333333,35.1353333333,0.901,99.9998333335,-31.5316666667
199.68,98.0389999998,141.176333333,45.5881666666,9.31366666665,9.31366666665,49.5098333334,-2.45083333335,113.235333333,-28.9216666665
200.06,131.4815,167.283833333,65.4323333334,14.815,17.284,64.1975,1.2345,156.79,-38.2716666669
200.44,102.777833333,131.666666667,21.111,-11.6666666667,-1.111,53.8889999998,-23.8888333333,123.888666667,-39.9998333333
200.82,81.1826666666,105.913833333,-1.613,-32.2581666667,-12.3655,48.9248333333,-40.3225,97.3120000001,-42.473
201.19,59.8291666666,75.641,-11.9656666667,-31.1966666667,-13.2478333334,41.453,-37.1793333333,72.2221666666,-22.2223333333
201.57,44.4445,60.7845,-13.0716666667,-21.5686666667,-9.15033333335,41.1766666667,-24.183,51.3073333333,-12.0915
201.95,40.5406666666,77.4775,-22.5225,-49.5495,-30.18,37.838,-54.054,52.2523333334,-31.081
202.33,-1.75433333335,47.3685,-38.1581666667,-67.1050000001,-42.5436666666,23.2455,-65.7895,15.351,-42.9823333333
202.71,-3.15316666665,41.4415,-41.4415,-78.829,-29.2793333333,33.7838333334,-76.5766666666,5.40566666666,-50.0001666666
203.09,3.7878333333,28.409,-23.1063333333,-49.6211666667,-15.5301666666,40.1513333333,-66.288,14.0151666667,-34.4698333333
203.47,8.33333333333,24.359,-12.8203333333,-54.4873333334,-21.1538333333,26.6025,-63.1411666667,4.8075,-41.346
203.85,-21.1538333333,11.8591666667,-28.5258333333,-75.3206666669,-45.8333333334,-5.12816666665,-82.6923333335,-20.5126666667,-63.7821666667
204.22,-48.6393333333,-14.9658333333,-48.9796666666,-108.503333333,-71.7688333335,-33.3333333333,-103.7415,-48.9795,-96.2584999999
204.60,-53.4721666666,-20.1388333333,-50.0001666667,-115.277666667,-63.5415,-35.4166666665,-92.0138333335,-51.0416666667,-98.9583333333
204.98,-57.3716666667,-40.7051666667,-54.808,-114.743666667,-66.6666666667,-49.6795000002,-93.5896666669,-58.9743333334,-107.692166667
205.36,-121.568666666,-91.6666666667,-100.49,-206.862666667,-129.901833333,-124.999833333,-161.764666667,-121.568666667,-212.254833334
205.74,-282.4075,-232.407333333,-261.111333333,-463.888833333,-311.111166667,-334.2595,-369.444166667,-303.703666666,-444.4445
206.12,-137.606833333,-121.794833333,-136.324666667,-219.230666666,-154.2735,-164.957166667,-178.205,-143.1625,-209.829
206.50,-108.148166667,-96.2961666665,-116.296166666,-182.222166667,-135.185166666,-141.4815,-141.852,-113.333333333,-183.3335
206.87,-190.909166666,-153.535166667,-190.908833333,-262.626333334,-231.818,-233.333333333,-223.232166667,-182.828166667,-284.8485
207.25,-656.944333334,-515.277833333,-650.000166667,-876.388999999,-750.000166667,-794.444333334,-681.944500002,-598.611166667,-883.333333333
207.63,-2672.22216667,-1961.11116666,-2461.11116666,-3333.33333334,-2772.22216667,-3033.33333333,-2611.11116666,-2272.222,-3283.33316667
208.01,-1007.143,-802.380833334,-907.142833335,-1285.7145,-980.952499998,-1138.09533334,-997.618999998,-830.952333334,-1238.0955
208.39,2338.889,2000.00016667,2322.22233333,3044.44433334,2422.222,2788.88883333,2422.22233333,1933.3335,2966.6665
208.77,503.125,404.166666667,459.375,594.791666667,494.791666667,557.291666666,508.333333333,401.041666666,596.875
209.14,427.777833333,308.333333333,356.4815,488.889,402.777833333,440.740833333,436.111166667,313.888666667,471.296333334
209.52,2277.77783333,1433.33333333,1955.5555,2577.77783333,2133.33333334,2211.11116666,2438.889,1427.77783333,2450.00016667
209.90,-1150.0,-722.222166667,-908.333333332,-1233.333,-1038.88883333,-1041.66683333,-1180.5555,-686.111333333,-1238.889
210.28,3366.66666666,2141.66666666,2475.0,3891.66666667,3141.66666666,3166.66666666,3550.0,2200.0,3483.33333334
210.66,7083.33333334,4766.66666666,5500.0,8299.99999999,6033.33333333,6966.66666667,8016.66666666,4400.0,7350.0
211.03,1979.16666667,1491.66666667,1829.16666667,2429.16666666,1654.16666667,2054.16666666,2216.66666667,1291.66666667,2191.66666666
211.41,-716.666666667,-490.0,-631.666666666,-850.0,-545.0,-746.666666667,-828.333333331,-481.666666667,-818.333333333
211.79,-353.9685,-239.6825,-318.254166667,-415.873,-269.841333334,-362.698333334,-419.047666666,-246.031833333,-405.555666666
212.17,-348.550833333,-252.174,-315.2175,-419.565333334,-279.710166667,-365.942166667,-431.159333334,-267.391333333,-406.521666666
212.55,-324.358666667,-213.461666667,-239.7435,-348.717666667,-242.3075,-306.410333334,-377.564333334,-244.230833333,-321.153833333
212.92,-243.939166667,-169.697,-182.8285,-273.737333334,-210.606,-253.535333333,-291.919166667,-190.403833333,-245.4545
213.30,-436.666666666,-335.0,-352.5,-516.666666667,-398.333333334,-506.666666666,-526.666666666,-377.5,-472.5
213.68,-1658.33333333,-1419.4445,-1319.4445,-1986.11116667,-1549.99983333,-1966.66683333,-2019.4445,-1633.33333334,-1808.33316667
214.06,1652.77783333,1413.889,1300.00016667,2036.111,1558.3335,1955.55566666,2063.88866667,1672.22216667,1722.2225
214.44,1883.33333334,1590.0,1523.33333333,2296.66666666,1770.0,2256.66666667,2353.33333333,1916.66666667,2046.66666667
214.81,514.814833334,440.740833334,393.5185,637.963,522.222333333,615.740666667,644.4445,553.703833334,571.296166666
215.19,706.9445,656.944333333,509.722166667,890.277666665,787.5,855.5555,895.833166667,800.000166667,711.111333333
215.57,669.4445,712.500166667,515.277833333,865.277833333,809.722,877.777666666,865.277833332,795.8335,700.0
215.95,343.589666667,382.692333333,266.666833333,426.923,402.564,457.692166667,428.846,398.717833334,362.8205
216.32,196.014666667,219.9275,151.811833333,236.231833333,231.884,256.159333333,230.797166667,218.8405,203.9855
216.70,183.666666667,212.333333333,152.666666667,231.0,213.666666667,242.333333334,214.666666667,216.333333333,204.666666667
217.08,158.333333333,174.722333333,121.666833333,194.444333333,175.5555,204.999833334,179.166833333,180.0,173.611
217.46,178.930833334,185.5345,139.308166667,207.232833334,200.628833333,204.717,202.201333333,195.597666667,179.245166666
217.83,161.581833334,164.971666666,121.1865,183.050833333,179.661,166.101833333,174.576333334,168.361666667,159.321833333
218.21,175.4385,182.456166666,132.456333333,192.105166666,196.491166667,175.731166667,176.608166667,178.655,171.637666667
218.59,155.022833333,154.566,113.4705,165.0685,160.273833333,148.402,147.716833334,149.543333334,140.411
218.97,197.3685,186.842,144.152,203.509,195.321666666,180.701666666,182.1635,190.350833333,169.883
219.34,215.248333333,204.255333334,152.836666667,222.695166667,202.836833334,207.801333333,211.347666667,220.921833333,204.964166666
219.72,188.983166666,179.661,139.547833333,198.587666667,183.333166667,182.203333334,196.327666667,195.762666667,180.226
220.10,174.359166667,161.795,129.487,189.487166667,170.0,164.871833333,183.076833333,186.410166667,161.025833334
220.47,194.262333334,175.683,149.453666667,215.3005,192.076333333,182.513833333,202.732333333,210.3825,169.672166667
220.85,211.635166666,184.591166666,162.893333333,231.761166667,214.779833333,198.427666666,229.245333334,222.327,181.446666667
221.23,231.045666666,208.17,192.810333334,253.9215,237.908333333,211.764833334,255.555666667,249.346333333,200.9805
221.61,237.9085,224.183166667,190.523,261.764666666,231.0455,224.509833334,254.901833333,260.130833333,208.496666667
221.98,247.916666666,227.4305,194.791666667,270.833333334,234.722166667,241.3195,261.111,271.1805,211.458333333
222.36,253.985333333,231.5215,199.275166667,275.7245,229.347666667,256.1595,270.289666667,280.434833334,222.4635
222.74,410.119166666,383.333166667,320.238166666,437.499833333,372.619,429.166666666,455.952166667,477.381,377.381
223.11,289.629666666,280.740833334,231.481666667,308.5185,254.444333333,307.037166667,319.629666667,326.296166666,281.111166667
223.49,278.8195,256.25,207.291833333,291.3195,237.500166667,281.597166667,292.361166667,309.374833333,259.375
223.87,367.1875,326.5625,261.458333333,402.604166666,315.104166667,364.583333333,381.25,420.3125,351.5625
224.24,1081.66666666,966.666666665,748.333333335,1181.66666666,981.666666665,1041.66666667,1058.33333334,1215.0,1035.0
224.62,-906.9445,-801.388833333,-570.833333333,-920.833500001,-768.0555,-838.888833333,-843.0555,-965.277833332,-844.4445
225.00,-740.000166667,-672.222333334,-463.333333333,-738.888833334,-623.333333333,-718.888666667,-674.444333334,-795.555666667,-683.333333333
225.38,-477.778,-446.0315,-266.666666667,-473.016,-389.682833334,-500.793833333,-427.777833333,-515.0795,-453.174666667
225.75,-313.440833333,-293.010833333,-170.430166667,-304.301166667,-280.1075,-348.924666667,-288.172,-341.397833333,-312.365666667
226.13,-190.277833333,-185.416666667,-118.055666667,-186.458166667,-196.527666667,-228.472166667,-193.75,-219.791666667,-190.972333333
226.51,-138.9785,-138.7095,-93.8173333332,-142.742,-161.0215,-175.000166667,-152.957,-171.5055,-144.355
226.88,-115.509333333,-120.833333334,-82.639,-120.139166666,-143.287,-139.583333333,-121.990666667,-141.6665,-114.1205
227.26,-72.3903333333,-78.1145,-50.1685,-74.2425,-99.4948333331,-86.7001666667,-75.0840000001,-92.2558333333,-64.8146666667
227.64,-43.8848333334,-53.9571666666,-32.374,-47.3621666666,-68.705,-57.7936666667,-47.8416666666,-57.1943333334,-41.4866666666
228.01,-44.614,-51.931,-32.927,-42.3783333333,-60.1626666667,-54.7763333333,-45.6301666666,-52.8456666666,-38.0081666666
228.39,-40.2331666666,-43.9068333333,-31.541,-38.5305,-51.792,-52.509,-42.2041666666,-49.2831666667,-36.2006666667
228.76,-32.7126666667,-39.2733333333,-27.3936666667,-36.1701666666,-47.961,-50.0886666666,-40.2481666667,-45.9218333334,-37.1453333333
229.14,-23.8208333333,-31.3678333333,-20.283,-30.6601666666,-39.151,-39.7011666666,-32.6256666667,-36.7138333333,-31.7611666666
229.52,-19.0971666666,-25.3471666667,-16.5971666667,-24.7221666667,-30.5556666666,-30.6251666667,-27.4305,-30.4861666667,-25.4166666667
229.89,-15.4853333333,-19.0946666667,-12.9265,-21.6536666667,-24.6063333334,-24.0813333333,-22.5065,-24.7375,-20.735
230.27,-18.8296666666,-21.883,-14.4403333333,-24.8091666667,-24.1728333333,-25.6363333334,-24.7456666667,-27.7353333333,-24.491
230.65,-17.5858333333,-19.2403333334,-10.4168333333,-22.2426666667,-18.3823333333,-21.3848333333,-22.3038333333,-23.9585,-22.304
231.02,-15.8023333333,-17.6543333333,-6.0495,-21.7903333333,-16.5431666667,-20.3086666666,-22.7161666667,-22.284,-22.4691666667
231.40,-15.6863333333,-17.1568333333,-5.4535,-22.488,-15.5635,-20.1593333333,-23.1003333334,-23.4068333334,-22.3038333333
231.78,-21.1876666667,-19.2308333333,-7.76000000001,-28.3398333334,-17.9488333333,-25.1011666667,-29.0823333333,-28.2726666667,-26.1135
232.15,-24.0496666667,-20.3948333333,-9.06433333331,-33.187,-21.5643333333,-29.0938333333,-32.5291666667,-29.2398333333,-29.1666666667
232.53,-25.352,-21.518,-5.16416666665,-33.4896666667,-20.8921666666,-27.6995,-33.7245,-29.5775,-28.7168333333
232.90,-29.2438333334,-22.9166666666,-7.71599999999,-35.2623333333,-23.3023333333,-30.4011666666,-34.1048333334,-30.7098333334,-30.0926666667
233.28,-30.734,-22.4771666666,-8.18033333335,-35.168,-24.6176666667,-31.116,-33.6391666666,-32.3395,-29.2811666667
233.66,-39.2801666667,-28.8731666667,-15.1016666667,-44.1315,-34.2721666667,-39.8278333334,-40.767,-40.2973333333,-37.0891666667
234.03,-34.722,-26.3888333334,-12.0615,-38.7426666666,-31.3596666666,-35.965,-36.769,-34.5758333334,-32.2368333333
234.41,-25.551,-18.5261666667,-7.50666666669,-30.6475,-25.0,-29.6143333334,-28.306,-24.3798333333,-26.515
234.78,-16.3545,-11.4858333333,-4.55683333331,-22.5966666667,-20.4118333334,-23.7205,-21.1611666667,-16.3546666667,-20.7241666666
235.16,-11.7448333333,-7.15900000002,-4.80966666667,-17.226,-14.821,-19.6866666666,-14.9888333333,-10.7941666667,-15.8276666666
235.54,-8.75516666666,-4.7995,-2.74233333331,-12.9748333333,-11.4451666666,-17.0358333333,-10.7066666667,-5.85433333333,-12.3418333333
235.91,-5.71983333335,-3.20533333333,-2.26816666665,-9.12233333333,-10.7988333333,-13.9053333334,-7.64299999999,-3.94466666666,-9.6645
236.29,-0.730666666665,0.41083333333,1.91766666665,-3.97266666666,-6.57533333332,-8.21933333334,-3.15066666667,-0.411,-5.1595
236.66,1.75883333334,1.92633333333,2.76366666667,-0.586166666665,-4.69016666667,-4.94133333333,-0.125833333335,1.717,-1.67516666667
237.04,6.00783333333,5.5815,6.12383333335,4.10866666667,-0.8915,0.659166666665,4.14716666667,4.8835,3.6045
237.41,6.65183333333,6.0605,7.61266666669,5.83883333333,1.10866666667,3.14116666666,5.17366666666,7.46483333334,4.69333333333
237.79,7.579,6.28583333333,8.47716666668,7.18383333333,2.33483333333,5.388,7.00433333334,8.33333333333,6.24983333334
238.17,7.51916666667,5.95983333334,7.20716666666,6.6875,2.495,4.851,7.96949999999,6.7915,6.09866666667
238.54,5.64533333333,4.93966666666,6.48533333333,5.679,1.6465,4.36816666667,7.359,5.54433333333,5.57783333333
238.92,1.79266666666,1.62683333333,3.61883333334,1.99216666667,-1.0625,0.995999999998,4.0505,2.4235,3.35333333334
239.29,0.828666666669,1.94383333333,4.0155,1.84833333333,-1.30666666667,0.828666666669,3.09116666667,2.2625,3.02716666666
239.67,1.26816666667,2.2945,3.77433333334,2.17383333333,-1.99283333334,0.875500000002,2.53616666667,1.872,1.9625
240.04,1.51016666667,2.3465,3.8025,1.88766666667,-0.647333333333,1.834,2.85883333333,1.672,2.21133333333
240.42,0.215333333335,1.36483333333,2.29883333334,1.46083333333,-0.0718333333335,1.1495,2.61016666667,0.2635,1.70016666666
240.79,-0.604333333333,0.302,0.108166666665,-0.582666666665,-0.820333333334,-0.539666666668,1.10116666666,-0.733999999998,-0.734
241.17,-1.44833333333,-0.502166666667,-1.21683333334,-1.35183333333,-1.46766666667,-1.33233333333,-0.0195,-1.71866666667,-1.50633333334
241.54,-1.0295,-0.506,-1.4135,-1.3615,-1.34366666667,-1.23916666667,0.1745,-2.14683333333,-1.04716666667
241.92,0.249666666667,1.1705,0.218333333334,0.0936666666667,-0.3745,-0.0311666666665,1.20166666667,-0.748999999998,0.328000000001
242.29,0.932166666669,2.38066666666,1.19033333333,0.961000000001,0.401500000002,1.23333333333,1.85033333334,-0.0286666666665,1.37666666667
242.67,1.96716666667,3.46283333333,2.38483333334,2.1965,1.75166666667,2.80266666666,2.74866666666,1.07783333333,2.8565
243.05,2.08983333333,3.96033333333,2.9025,2.87666666666,2.2445,3.483,3.32833333333,1.5865,3.37966666667
243.42,1.866,3.79483333333,3.0635,2.86183333333,1.929,3.4795,3.47966666667,1.22283333333,3.36616666667
243.80,0.905833333334,3.0655,2.3455,1.66283333334,1.45183333333,2.569,3.02816666667,0.4095,2.5565
244.17,0.00016666667,2.56966666667,1.79166666667,1.285,0.877166666668,1.81616666667,2.57,-0.148333333333,2.08816666667
244.55,0.809166666666,3.2005,2.82616666667,1.79933333333,1.20783333333,2.5725,3.273,0.3985,2.5845
244.92,1.167,3.7635,3.79783333333,2.56233333333,1.86466666667,3.443,3.62633333334,0.629166666667,3.59166666667
245.30,1.16233333334,3.615,4.02,2.06866666666,1.81266666666,3.26316666666,3.48683333333,0.448,3.63616666667
245.67,1.28733333333,3.84233333334,3.9885,2.3405,2.1355,3.29633333333,3.72533333333,0.780333333333,3.93016666666
246.05,1.15,3.39616666666,3.45016666666,2.25516666667,2.03066666667,3.40533333334,3.576,0.503333333333,3.98933333333
246.42,0.479666666667,2.283,2.82866666667,1.67916666667,1.3565,2.65516666667,2.86183333334,0.0995,3.38316666667
246.79,0.314,1.80666666667,2.54933333333,1.25566666667,1.018,2.38866666667,2.71783333334,-0.0843333333335,3.13133333334
247.17,0.7965,1.96583333333,2.8125,1.63583333333,1.27716666667,2.84116666667,2.9845,0.236666666666,3.32183333334
247.54,1.17383333333,1.87016666667,2.70283333333,1.6175,1.40616666666,2.812,3.126,0.593833333333,3.42616666666
247.92,1.565,1.99433333333,3.03083333333,1.84216666667,1.62433333333,3.18283333333,3.25533333333,0.950833333335,3.90916666666
248.29,1.83733333333,2.1805,3.3255,1.78566666667,1.66283333333,3.46783333333,3.35783333333,1.09966666667,3.9335
248.67,1.3295,1.69933333333,2.64566666666,1.3295,1.13483333334,3.048,2.78216666666,0.700333333333,3.515
249.04,1.401,1.69483333333,2.75566666666,1.46116666667,1.1475,3.1425,2.9155,0.840666666666,3.64966666667
249.42,1.287,1.41366666667,2.51766666666,1.505,0.836999999998,2.869,2.80583333334,0.949166666666,3.51633333333
249.79,1.095,0.966333333335,2.107,1.05,0.128166666667,2.6205,2.24283333333,0.574,3.02066666666
250.17,1.2895,0.918666666668,2.11966666667,0.798,0.193333333333,2.47433333334,2.26483333333,0.797666666666,2.94966666667
250.54,1.91216666667,1.41266666667,2.26516666666,0.878666666666,0.861333333331,2.963,2.56683333333,1.3265,3.26416666667
250.92,2.10283333333,1.46283333333,1.94716666666,0.841000000002,0.813499999998,2.77016666667,2.569,1.38066666667,3.23633333333
251.29,1.95683333333,1.12783333333,1.73516666667,0.299,0.597666666665,2.1495,2.60266666667,1.23416666666,3.16166666667
251.66,1.81316666666,1.06016666667,1.52583333333,0.178333333333,0.584666666668,1.98166666667,2.42766666666,0.782833333334,3.06166666666
252.04,2.16733333333,1.445,1.806,1.05366666666,1.16383333333,2.15716666667,2.87983333333,1.154,3.4315
252.41,2.397,1.54033333333,1.54,1.336,1.51983333333,2.20333333333,2.83566666667,1.5505,3.5495
252.79,2.60266666667,2.0715,2.03,1.64466666667,1.9465,2.43616666666,3.0085,1.91533333333,3.68516666667
253.16,2.12066666667,1.48133333333,1.5665,1.087,1.43866666667,1.73683333333,2.46166666667,1.67316666667,3.069
253.54,2.77783333333,2.29833333333,2.06966666666,1.61233333333,2.14583333334,2.58166666667,3.0285,2.05883333333,3.758
253.91,3.13816666666,2.88533333334,2.5235,2.1065,2.743,3.08316666666,3.53283333334,2.39183333334,4.53133333333
254.28,3.1055,2.95866666667,2.94733333334,2.4505,2.63116666666,3.10516666667,3.47783333333,2.3715,4.59583333333
254.66,3.12716666666,3.26616666666,3.20816666667,2.81433333334,2.409,3.0345,3.55566666667,2.20066666667,4.2855
255.03,2.87466666667,3.26083333334,3.41783333334,3.0315,2.367,2.8865,3.42983333333,1.7995,3.9735
255.41,2.90466666667,3.59016666666,3.877,3.665,2.79233333333,3.49033333333,3.42816666667,1.77016666666,4.21333333334
255.78,2.13783333334,3.17466666666,3.62283333334,3.2385,1.98416666667,3.40516666667,2.82866666666,1.31833333333,3.93
256.15,1.94816666666,3.60316666666,3.55233333333,2.814,1.84616666666,3.6925,2.87766666667,1.10783333333,3.62883333333
256.53,1.74133333334,3.29633333333,3.28366666667,2.52483333333,1.28116666666,3.18416666666,2.78616666667,0.485,3.27133333333
256.90,2.108,2.99983333333,3.3125,2.44366666666,1.36666666667,2.94183333333,2.826,0.834,3.34716666667
257.28,2.29933333333,3.14666666667,3.03016666667,2.56416666667,1.49383333334,2.97716666667,2.8185,0.603666666667,3.4965
257.65,2.35816666666,3.004,3.19116666666,2.71383333333,1.68416666667,3.163,3.08816666666,1.01066666667,3.60266666666
258.02,2.29816666666,2.88666666667,3.46733333334,2.60866666667,1.66816666666,2.92766666667,3.214,1.25133333334,3.173
258.40,2.75766666667,3.24316666667,3.59516666666,3.0815,2.399,3.49666666666,3.61616666666,1.55483333333,3.58816666666
258.77,2.52,2.62616666667,3.48683333333,2.65083333334,2.03966666667,3.181,3.393,1.40983333333,3.61766666666
259.15,2.4655,2.5545,3.49733333333,2.53233333333,2.19783333333,3.2185,3.4025,1.56183333334,3.68716666667
259.52,2.57983333333,2.63633333333,3.6395,2.49266666666,2.12933333333,3.11733333333,3.54733333333,1.64316666666,3.77783333333
259.89,2.9785,2.92083333334,3.9665,2.70983333334,2.58983333334,3.3285,3.79883333334,1.91833333334,3.9855
260.27,3.2545,2.8935,4.06966666667,2.82866666666,2.7175,3.49083333333,3.91216666666,2.09716666667,4.273
260.64,3.33983333333,2.84316666667,4.2055,2.92966666667,2.76116666667,3.57683333334,3.88183333333,2.25533333333,4.447
261.01,3.26116666666,2.91816666666,4.075,2.909,2.607,3.5675,3.85116666667,2.16333333333,4.473
261.39,3.37133333333,3.12983333334,4.30966666667,2.98616666667,2.74883333333,3.78916666667,4.17033333333,2.43816666666,4.67633333333
261.76,3.31483333333,3.05733333333,4.328,2.92366666666,2.69416666666,3.70216666667,4.06516666667,2.336,4.52383333333
262.13,3.391,3.28516666666,4.29116666667,3.069,2.8575,4.0045,4.20566666667,2.49,4.91
