wavelength,Back_CreVerf,Belly_CreVerf,Breast_CreVerf,Crissum_CreVerf,Crown_CreVerf,DorTail_CreVerf,Rump_CreVerf,Throat_CreVerf,WingTip_CreVerf
185.63,126.063037037,121.810666667,39.5061111111,120.164555556,10.288,84.3623333333,127.571888889,205.761333333,-17.6954444445
186.01,110.956925926,103.472111111,51.389,96.0647777778,52.5462222222,73.6111111111,97.569388889,136.574,15.0462222222
186.39,134.013555555,125.623444445,70.975111111,108.389888889,87.3015555555,83.900111111,119.501,148.526111111,37.6416666667
186.77,149.584185185,136.054333333,84.5806666666,125.17,103.174555555,97.5056666666,122.902444444,159.863888889,52.6077777778
187.15,123.717925926,106.196555556,73.9316666667,107.906,90.8117777779,86.111111111,97.4358333333,141.239333333,33.7606666667
187.53,118.849222222,98.2144444444,73.6108888889,104.761888889,98.8096666668,78.3732222222,90.4762222221,137.103222222,29.9601111111
187.91,115.517111111,87.1648888889,74.5210000001,100.574666667,100.191666667,76.819888889,87.8353333334,125.862111111,30.0767777778
188.29,119.382851852,88.8889999999,78.7037777778,101.296222222,111.666555556,79.2592222222,81.7591666667,118.703777778,31.2961111111
188.67,134.187962963,111.794888889,94.0172222224,118.119777778,129.572777778,92.6493333333,98.6324444443,135.384888889,55.0426666667
189.05,123.741777778,111.680777778,88.4615555554,113.960222222,119.658111111,88.603888889,89.1737777779,113.675222222,54.2734444444
189.43,128.627592593,110.980333333,92.1569999998,111.372444445,128.496666667,93.9870000001,95.8171111112,110.326888889,62.2222222223
189.81,137.805037037,121.951111111,95.3927777776,118.970111111,138.347,105.826666667,108.2655,111.788444445,69.5123333333
190.19,166.289962963,145.197777778,106.403111111,141.243,162.900222222,131.073222222,127.966055556,129.755222222,71.7513333333
190.57,160.936333333,142.138666666,98.3228888889,140.042,155.345888889,138.784222222,122.117444445,119.496777778,60.3772222222
190.95,149.965,139.622444445,95.807111111,129.979111111,144.234777778,131.656222222,118.343833333,109.853222222,59.9580000001
191.33,150.960296296,145.267333333,92.386777778,123.868222222,137.860111111,125.720111111,115.637888889,104.526666666,54.7325555556
191.71,131.623962963,126.153888889,76.9231111112,103.589666667,110.085555556,110.256444445,98.3761111112,84.9572222223,49.4016666667
192.09,129.287703704,130.256555555,73.8462222221,99.3164444444,108.888888889,102.906,95.2990555557,78.4615555554,46.3247777779
192.47,124.331185185,122.993888889,74.6912222222,100.925888889,95.6788888891,103.086444445,103.163611111,72.993888889,59.7223333335
192.85,96.7123703704,95.131222222,60.5494444445,78.5268888889,75.0311111111,81.8975555557,84.8938888888,51.3107777778,49.3134444444
193.23,91.3105925927,89.0312222221,62.9628888889,71.6522222222,70.3703333333,79.2024444443,86.6807222221,45.4415555556,41.0256666666
193.61,84.0796296296,92.0397777778,57.3796666667,64.5106666667,61.0284444444,69.1544444446,79.2703888889,34.4942222222,26.0364444444
193.99,99.7979259258,105.252666667,67.0705555556,77.1718888888,76.3636666667,72.5252222222,84.5454444442,41.2122222222,26.4646666667
194.37,76.017037037,87.6139999998,53.3698888889,59.3807777778,60.1095555556,48.4518888889,68.6703888889,29.1438888889,22.5863333333
194.75,78.2764444446,83.9743333332,52.1368888888,60.8975555555,57.0513333333,35.0426666667,64.9572777778,21.3675555556,5.341888889
195.13,62.9629629629,74.0000000001,35.3333333333,50.2222222222,48.2222222222,28.0,55.4444444444,4.66666666667,-13.1111111112
195.51,56.1365185185,72.5492222223,42.2655555555,56.2091111112,56.4268888889,33.987,56.4270555556,1.52500000003,-10.4574444444
195.89,63.3333333332,101.111111111,58.3333333333,72.4999999999,82.5000000001,41.9444444445,82.7777777778,1.66666666667,-7.5000000001
196.27,52.3626666668,101.149444445,61.3025555557,80.4597777777,67.4327777779,16.8582222222,86.7814444446,-22.6053333333,-30.2682222223
196.65,44.989111111,93.4641111113,61.7646666668,68.6272222223,68.6273333335,-10.7843333333,68.4639444443,-11.4378888889,-41.5034444443
197.03,38.7465925925,122.222222222,68.376,68.8035555555,92.7351111112,-42.7349999999,73.5042222222,-25.2138888889,-64.1023333333
197.40,46.1728148149,205.926,86.6667777777,126.666666667,147.407444444,-102.962888889,102.963,-46.6665555557,-114.074222222
197.78,76.6382962963,224.786444444,146.153888889,205.128222222,194.017,-111.965888889,157.265,-29.0596666667,-84.6152222223
198.16,-7.87037037033,126.388888889,93.75,126.388888889,90.2777777779,-147.222222222,96.875,-72.2222222222,-93.0555555553
198.54,-137.962962963,358.333333333,436.111111111,586.11111111,372.222222222,-583.333333335,276.388888889,-333.333333334,-427.777777778
198.92,-24.3385185183,331.746111112,346.031666667,431.746,307.936555555,-295.238111111,294.444333333,-82.5397777779,-39.6826666657
199.30,-80.2468148157,-929.629666667,-937.037,-1170.37044445,-937.037333332,862.963111112,-848.148166668,3.703888889,-218.518555553
199.68,-7.05470370367,-133.333222222,-113.227666667,-145.502555556,-112.169222222,150.264444444,-110.582055556,19.5767777777,-34.3914444443
200.06,-1.851888889,-108.080888889,-99.9998888888,-122.222333334,-106.565666667,160.101,-83.3331666667,22.7272222222,-28.7876666667
200.44,-2.9629629629,-262.222222222,-204.444444445,-284.444444444,-282.222222222,310.0,-176.111111111,33.3333333333,-40.0000000003
200.82,91.1522962962,-89.5061111113,-55.5556666667,-103.086555556,-124.691333333,220.987777778,-35.4936666666,64.1975555557,20.987777778
201.19,68.3420740742,-4.2327777779,-5.02655555553,-18.783,-23.5447777778,120.634888889,5.29088888887,58.7301111111,31.7461111112
201.57,81.181037037,3.9037777779,1.50155555557,-6.90688888887,-22.5222222222,134.835,4.80472222223,80.1803333334,38.7386666664
201.95,120.555555555,43.3333333333,41.9444444446,40.8333333333,16.3888888889,170.277777778,52.9166666667,129.444444444,75.8333333333
202.33,111.934222222,32.4075555556,30.8642222222,32.716,-4.62977777777,174.074,44.29,131.790222222,59.8764444446
202.71,117.97662963,49.0515555557,44.4446666665,55.5556666666,6.504,177.506666667,43.496,142.547222222,67.7507777777
203.09,123.796296296,56.1111111112,47.7777777779,59.4444444444,6.66666666666,174.722222222,50.0,165.555555555,76.9444444443
203.47,105.311037037,60.7967777779,50.524,64.3606666667,19.497,133.123777778,52.5158333333,146.121666667,68.3436666665
203.85,124.032925926,80.9876666666,53.5801111111,72.0987777779,11.8517777778,156.049333333,54.1975555555,169.382777778,71.1109999999
204.22,151.169555556,90.9355555557,54.9707777779,74.8536666667,18.421,176.315777778,68.2750000001,205.555444445,70.1755555557
204.60,155.855814815,90.6906666667,56.1561111111,81.3815555557,19.8197777778,178.678666667,59.0089444446,222.222222222,59.7596666668
204.98,126.749074074,80.493888889,52.3456666667,72.5926666667,30.6172222222,144.444555556,52.0987777778,190.864333333,44.4444444446
205.36,174.400851852,111.438,83.9869999998,99.6732222222,39.2157777778,193.790777778,71.7321111112,267.647,70.9150000001
205.74,146.851851852,84.1666666667,53.6111111111,81.3888888889,10.5555555556,150.555555556,48.611111111,220.0,53.3333333332
206.12,183.407407407,71.1111111111,28.0,69.3333333332,-44.4444444445,163.111111111,3.1111111111,295.111111111,9.7777777779
206.50,265.020518519,120.987777778,41.358,81.4815555556,-38.8888888889,238.889,35.8024444446,433.950555556,53.7034444443
206.87,-1251.85192593,-85.1854444467,185.185111112,3.70377777667,577.777666667,-959.259333333,131.481555556,-2181.48133333,107.40766667
207.25,-158.847777778,57.4075555558,106.790222222,59.8764444443,168.518555555,-92.5926666666,70.6789444445,-289.506111111,76.5432222223
207.63,-62.2892962963,69.3603333333,101.010111111,74.0742222221,127.609444444,-27.6094444443,70.3703888888,-129.292888889,61.953
208.01,-101.234481481,69.1357777777,96.2963333334,70.7817777777,130.452777778,-70.3703333332,61.3168333334,-180.246888889,65.0206666667
208.39,-102.645592593,63.8888888888,85.7143333332,62.6983333333,140.476111111,-70.238,58.5317777777,-180.555555556,54.761777778
208.77,-82.0301111112,74.8972222221,125.102777778,77.3662222222,190.946666667,-35.3907777777,59.4649444445,-176.131777778,72.0163333333
209.14,-100.712148148,60.2563333332,135.47,73.5041111112,212.820555556,-39.7434444444,36.9657777777,-189.316222222,44.0172222223
209.52,-45.6789629631,95.5556666667,167.407555556,107.777888889,230.740666667,23.7035555555,64.8147777777,-113.333333333,84.8147777778
209.90,-51.8518518518,71.2418888889,145.751777778,101.307222222,189.542555556,15.6862222222,46.5685555556,-109.150333333,61.111111111
210.28,-22.5147037037,71.929888889,146.491222222,110.818666667,180.409666667,31.579,45.6142222222,-79.5323333333,59.0642222222
210.66,-17.4464814816,86.5497777778,151.754333334,117.543666667,196.198888889,62.2805555556,66.2281111112,-54.6782222222,78.0703333333
211.03,-37.8917407406,105.128333333,194.871888889,158.547,270.512888889,86.3245555557,77.350388889,-90.5983333332,90.1707777778
211.41,-355.026444444,157.142777778,415.872777778,358.730222222,758.730111111,114.285666667,91.269722222,-557.143000001,133.333333333
211.79,-260.942666667,40.4041111112,203.030333333,176.767666667,458.585666667,6.060777778,4.54544444433,-392.929222222,60.6063333333
212.17,-208.333296296,55.5555555557,239.814888889,172.222333333,442.592666667,69.4444444446,7.40750000022,-342.592666666,29.6296666668
212.55,-77.1043333334,73.7372222221,165.656444445,128.787777778,276.767555555,76.7677777777,50.7575555555,-130.808222222,38.8888888889
212.92,-29.8411481481,62.2222222221,112.380777778,100.952444444,179.365,46.9841111111,65.3967777778,-54.6032222222,49.8412222221
213.30,7.33333333336,65.3333333332,97.3333333334,94.8888888888,143.333333334,61.1111111111,78.111111111,-16.6666666668,59.7777777779
213.68,-3.56399999998,58.2807777779,67.7146666668,79.455,125.157222222,48.4275555556,63.2077222222,-25.7861111109,48.6374444446
214.06,7.5867037037,66.6666666666,63.0824444443,77.2401111112,118.458666667,51.4337777778,63.0823888889,-6.45188888887,60.0357777778
214.44,-22.4585555556,71.8674444443,56.7374444445,69.5035555554,137.588555556,34.0424444445,58.1558888889,-30.9693333331,63.8296666668
214.81,-24.9323703703,74.7968888888,68.8346666667,81.0297777778,163.143555556,33.3331111111,66.9376111112,-36.8564444443,63.1435555555
215.19,4.54559259257,74.2424444444,83.3334444446,79.5455555554,164.899111111,39.3938888889,75.3787222223,-19.4445555554,80.8081111112
215.57,32.2632962964,102.222444444,110.370444444,85.9258888888,186.913444445,49.8765555556,96.7900555557,0.246777777667,93.8272222221
215.95,31.7694074074,88.889,107.160444444,71.1112222223,177.284,52.5924444445,90.7407222221,-7.16033333343,70.6173333332
216.32,20.7977777778,70.7262222222,85.6837777777,62.6067777778,151.923222222,42.3077777778,77.1368333333,-8.76077777767,47.8633333333
216.70,-38.314,37.1646666668,83.907888889,33.3332222222,195.402222222,-6.51344444444,69.5401666668,-91.5708888887,6.13022222223
217.08,-156.481333333,12.0372222221,114.814666667,5.55555555557,376.851888889,-101.851777778,50.4629444443,-314.814777778,-77.7777777778
217.46,-320.105814815,1.5873333331,103.174444446,-66.6666666667,630.158666667,-301.587444444,-8.73033333343,-588.889000001,-200.0
217.83,-416.666666667,-94.4444444457,344.444444445,-75.0,1213.88888889,-558.333333332,-76.3888888887,-936.11111111,-386.111111111
218.21,1088.88888889,727.777777778,-266.666666666,733.333333333,-2161.11111111,1611.11111111,611.11111111,2205.55555555,1400.0
218.59,-612.962962965,-638.888888891,461.111111111,-411.11111111,2505.55555556,-1177.77777778,-163.888888889,-1900.0,-1483.33333333
218.97,508.888888889,459.999999999,162.222222222,446.666666667,-668.888888889,808.888888889,316.666666667,1028.88888889,833.333333333
219.34,488.477703704,362.962888889,282.716,377.777555555,-213.580222222,570.370444444,353.703444444,718.518666664,635.802666667
219.72,-2261.11111111,-1866.66666667,-1155.55555556,-1377.77777778,844.444444445,-2472.22222222,-1763.88888889,-3177.77777778,-3033.33333333
220.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.47,-196.491074074,-136.257333333,-36.842,-92.3974444443,163.742888889,-156.140111111,-138.596277778,-254.970666667,-233.918111111
220.85,-52.2752222223,-20.3174444446,38.4127777779,0.952222222333,142.857,-23.492,-34.4444444444,-89.523888889,-76.8253333332
221.23,-28.5185185185,2.7777777779,54.4444444446,15.2777777777,156.944444444,9.44444444443,-3.19444444447,-52.4999999998,-52.2222222221
221.61,-3.25925925927,18.4444444445,64.0,25.5555555555,137.777777778,31.5555555556,26.7777777778,-25.777777778,-21.1111111112
221.98,-3.0865185185,14.8147777778,50.5555555554,21.4815555555,116.851888889,37.7777777778,32.5926666667,-16.1110000002,-17.2222222222
222.36,-0.884555555567,13.1012222222,45.9368888888,20.8955555556,102.653333333,38.6401111111,26.0363888889,-22.388111111,-13.7646666667
222.74,-5.99629629631,18.5184444445,52.380888889,19.2241111111,100.881888889,35.8025555556,17.1075555555,-28.5714444444,-18.8711111111
223.11,7.31822222223,29.1833333334,64.2569999999,27.0413333333,93.4403333334,44.98,23.7616666667,-8.43377777778,-4.55155555557
223.49,21.7113703704,37.9311111111,76.5006666667,44.8276666667,102.937333333,57.3435555556,38.0588333333,3.44833333333,9.19544444443
223.87,24.9613703704,38.7732222222,66.6667777778,41.4352222222,93.9814444447,54.8613333333,40.7986111111,6.713,17.3611111111
224.24,37.0371851852,49.2062222222,69.5434444444,48.7103333333,92.9563333334,50.6943333333,50.4463888889,18.3532222222,29.0674444445
224.62,37.1481481481,48.5555555556,67.7777777779,44.3333333333,96.8888888888,46.3333333333,49.4444444444,9.88888888889,28.3333333333
225.00,31.9242962963,45.1692222222,58.8163333333,38.1642222222,90.3379999999,37.802,43.1765,-0.241444444423,22.1014444444
225.38,29.8765185185,44.762,54.7091111112,37.7776666667,79.0474444444,35.1322222222,40.4762777778,4.33866666668,22.5396666667
225.75,22.3567777778,36.8687777778,44.8484444444,28.0807777778,63.5353333333,26.7676666667,29.697,-5.45444444443,8.98977777778
226.13,26.4133333333,42.5925555556,49.5126666667,32.2611111111,64.3275555556,26.7056666667,31.8225,-5.55555555553,12.378
226.51,27.3,37.1863333333,45.1614444445,32.8853333333,58.423,21.3262222222,31.8101111111,-3.04666666667,11.8278888889
226.88,29.0123703704,32.0302222222,40.7408888889,31.2071111111,52.812,26.8862222222,34.3965555555,4.66388888889,18.7243333333
227.26,29.906,29.0217777778,33.4438888889,27.1974444445,46.3792222222,25.9257777778,33.3886111111,7.57322222223,18.795
227.64,25.4441481482,23.8032222222,25.0226666667,18.3378888889,35.8624444445,18.6992222222,25.2482222222,3.88433333333,12.3757777778
228.01,22.6351481481,21.5428888889,22.502,15.6275555555,33.6531111111,16.6267777778,20.7033333333,3.15766666664,10.6714444444
228.39,16.3898148148,15.1716666667,15.2824444445,9.08066666667,26.7995555555,11.1848888889,13.7135,-0.775222222233,6.23833333333
228.76,17.9738888889,15.621,15.523,11.4706666666,25.6863333333,13.4638888889,14.2483888889,1.96077777778,9.50977777779
229.14,17.5439259259,14.8538888889,15.0877777778,11.5497777778,24.6783333334,13.7134444444,15.19,3.36244444445,10.3507777778
229.52,15.6814074074,12.7531111111,13.8752222222,9.96166666668,23.1801111111,12.808,13.5194444445,2.68222222222,9.3048888889
229.89,12.8177777778,10.7945555556,12.0612222222,7.65377777777,22.4332222222,11.5068888889,11.2696111111,1.95311111112,8.60377777779
230.27,11.1778148148,9.40933333332,9.53455555555,6.28111111111,19.92,9.53466666667,9.80972222221,0.825666666667,8.08288888888
230.65,11.0619259259,10.446,10.2241111111,7.2678888889,20.6947777778,11.2097777778,10.2365,2.24200000001,8.94299999998
231.02,10.0912222222,9.88211111112,8.07644444444,6.72177777777,18.9615555555,9.48055555556,8.85394444444,1.63033333332,7.29877777778
231.40,10.3772222222,10.4453333333,8.49977777777,7.783,19.9182222222,11.316,9.332,2.76488888888,8.6278888889
231.78,12.172037037,12.6482222222,11.8124444444,10.7066666666,24.164,14.9945555556,12.5538333333,6.74222222223,11.6504444444
232.15,12.2921111111,13.4921111111,12.075,11.9331111111,25.3116666667,16.7516666666,14.7391666667,7.59655555557,11.593
232.53,14.3222592592,15.8568888889,13.5834444444,14.578,27.6497777778,20.8865555556,18.1301666667,9.77555555556,13.6971111111
232.90,13.4492222222,15.7087777778,12.8793333334,14.3236666667,27.881,21.6032222222,18.4349444444,8.87122222221,13.7932222222
233.28,14.4852222222,17.3706666667,13.0277777778,15.5734444444,28.9605555556,22.8811111111,18.9876111111,9.43399999999,14.9146666667
233.66,15.9084814815,18.1677777778,12.6275555556,16.3727777778,29.2478888889,24.2031111111,20.3343888889,10.0277777778,15.7846666667
234.03,18.5799259259,19.337,13.536,19.0302222222,29.65,24.8312222222,22.0381111111,11.326,17.1576666666
234.41,20.2514444444,20.5818888889,16.4035555556,19.9627777778,30.9192222222,27.4525555555,23.1971111111,15.1655555556,17.8888888889
234.78,21.6532592593,22.4825555556,18.3736666667,20.544,31.713,28.8483333333,25.4484444445,17.5925555556,19.4154444444
235.16,22.1942592593,23.5376666666,19.2276666667,20.2072222222,32.0457777778,29.6948888889,25.7066666666,17.6322222222,21.2984444444
235.54,21.1561481481,22.0016666666,17.7556666667,18.114,30.1074444444,27.2125555556,24.6345,15.8534444444,21.533
235.91,20.247962963,20.8333333333,16.6927777778,16.4834444445,27.8301111111,25.5504444445,23.5849444445,14.413,21.0168888889
236.29,20.0066666667,19.2301111111,16.1394444444,15.3056666667,26.1221111111,24.8713333333,22.3816666667,13.7603333333,20.3827777778
236.66,22.7381481481,22.0816666667,18.9638888889,18.6592222222,27.8478888889,26.5822222222,24.9763888889,16.8542222222,23.0193333333
237.04,23.8996296296,23.7931111111,21.3798888889,20.0818888889,28.734,27.3906666667,26.6851111111,19.0573333333,23.9754444445
237.41,24.1254814815,23.9198888889,22.3104444444,20.3042222222,29.0565555555,28.2187777778,27.2154444445,19.5987777778,24.3606666667
237.79,24.4201851852,24.6841111111,22.9501111111,21.1946666667,29.2014444444,27.553,27.5957222222,19.76,24.9411111111
238.17,24.6565925926,25.9051111111,23.8335555556,22.327,30.362,29.1064444444,28.3636111111,20.5063333333,26.5955555555
238.54,23.0095185185,24.851,21.4211111111,21.1954444444,28.5888888889,27.2541111111,27.2027222222,18.4433333333,25.7343333333
238.92,22.3752592593,24.5363333334,20.1184444444,20.7687777778,27.0987777778,26.2382222222,25.9707777778,17.556,25.8368888889
239.29,19.001037037,21.2811111111,17.5353333333,18.0601111111,24.6471111111,23.1271111111,22.4574444444,15.1103333333,22.8012222222
239.67,18.8640740741,21.004,18.0904444444,18.9136666667,24.8393333333,22.9301111111,22.4115,15.605,22.5842222222
240.04,17.0136666666,19.1671111111,15.8684444444,17.1606666667,22.6932222222,21.0063333333,20.4818888889,14.1055555556,21.3407777778
240.42,14.3652962963,16.9125555556,13.752,14.5946666667,20.1151111111,18.598,18.0012222222,11.9678888889,19.2444444445
240.79,11.5052592592,13.886,11.2605555556,11.5216666667,17.2824444444,16.1504444444,14.6758888889,9.50611111112,16.6477777778
241.17,9.84044444446,12.0612222222,8.62955555557,9.56844444446,15.0682222222,14.2633333333,12.475,8.21588888889,14.6993333333
241.54,8.47396296296,10.6377777778,6.96522222222,8.37466666667,13.4155555556,12.7263333333,10.7251666666,6.72855555556,13.6315555556
241.92,8.07722222221,9.89955555554,6.42433333333,8.04922222222,12.5481111111,12.1723333333,9.89005555554,6.43366666667,13.4685555555
242.29,7.77566666668,9.14000000001,6.09922222222,7.08033333333,11.8184444445,11.1817777778,9.30799999999,6.04611111111,13.2148888889
242.67,9.02448148148,10.3942222222,7.15188888889,8.23533333333,12.7948888889,12.3447777778,10.0901111111,6.73511111111,14.4704444444
243.05,8.39003703703,9.80555555557,6.49588888889,7.34155555555,12.3182222222,11.6532222222,9.14422222222,6.16733333333,13.895
243.42,9.39437037038,10.7577777778,7.41544444445,8.47588888889,13.2158888889,12.4528888889,10.0868333333,7.19066666667,14.6462222222
243.80,8.67288888889,10.1858888889,6.54866666667,7.70533333333,12.2835555555,12.0683333333,9.01333333334,6.40511111111,13.8311111111
244.17,9.05574074075,10.5957777778,7.27522222222,7.87766666667,12.5137777778,12.6248888889,9.54188888887,6.82355555556,13.9878888889
244.55,9.52122222222,10.5793333333,7.428,8.33733333333,12.5365555555,12.8064444444,9.61616666667,7.08122222222,14.3318888889
244.92,8.33581481482,8.93877777778,5.85077777778,6.84233333333,10.5811111111,11.1868888889,8.16677777777,5.81288888889,13.1244444444
245.30,8.08870370371,8.39955555558,5.846,6.40566666667,10.0423333333,10.8528888889,7.88322222222,5.30088888889,12.9403333333
245.67,7.85037037036,7.90544444443,5.63822222222,5.55233333333,9.1148888889,10.2056666667,7.65088888888,5.01711111111,12.2017777778
246.05,7.25607407408,7.47177777779,5.09855555555,4.77133333333,8.38644444445,9.888,7.14188888889,4.54744444445,11.6501111111
246.42,6.91862962963,7.07411111111,4.77277777778,4.56955555556,7.81011111111,9.54033333334,6.904,4.306,11.0838888889
246.79,6.43881481481,6.24255555555,4.44266666667,4.18888888889,7.22144444444,9.09777777778,6.61788888889,4.28511111111,10.6037777778
247.17,6.37644444444,5.80533333333,4.29711111111,4.09711111111,6.657,8.85077777778,6.69761111111,4.13511111111,10.54
247.54,5.99781481481,5.391,3.77088888889,3.46888888889,5.92633333333,8.37455555555,6.36566666667,3.59233333333,10.0494444444
247.92,6.32192592592,5.53333333333,4.03466666666,3.46655555556,5.86877777778,8.34222222222,6.7075,3.69022222222,10.2656666667
248.29,6.54566666667,5.59922222222,4.02455555556,3.74011111111,6.05866666667,8.35066666667,6.835,3.84944444444,10.5424444444
248.67,6.63937037037,5.88733333334,4.22988888889,3.86044444445,6.26122222222,8.50377777778,7.07255555555,4.133,10.733
249.04,7.40737037036,6.81188888889,5.188,4.78177777778,7.11422222222,9.33355555557,7.98483333332,4.93077777778,11.4991111111
249.42,7.82844444444,7.3918888889,5.59344444444,5.09666666667,7.54777777778,9.84755555558,8.31205555555,5.27133333333,11.8681111111
249.79,8.98307407408,8.44055555557,6.88833333333,6.31433333333,8.93466666667,11.0064444444,9.35650000001,6.464,13.1326666667
250.17,9.64470370369,8.62633333331,7.45944444445,6.798,9.43833333332,11.4014444444,10.0245,6.93777777778,13.6603333333
250.54,10.0910740741,9.35066666666,7.66577777778,7.06544444444,10.0153333333,11.968,10.397,7.21688888889,14.294
250.92,10.2144814815,9.79099999998,7.80188888889,7.09555555556,10.4296666667,12.214,10.5471666667,7.139,14.3272222222
251.29,10.6810370371,10.466,8.45922222222,7.59466666667,11.2982222222,12.75,10.8144444445,7.51055555556,14.6601111111
251.66,10.8737037037,10.465,8.84933333333,7.80755555556,11.6584444445,13.2081111111,11.0714444444,8.09755555556,14.9948888889
252.04,10.1448148148,9.86022222223,7.94988888889,7.27055555555,11.3197777778,12.6916666667,10.0114444445,7.67422222222,14.2923333333
252.41,9.98485185184,9.63922222222,7.96011111111,7.20711111111,11.4497777778,12.5344444444,9.70138888888,7.70444444444,14.262
252.79,9.81781481482,9.41411111111,7.73844444444,6.80911111111,11.3575555555,12.2446666667,9.45294444443,7.51311111111,14.4063333333
253.16,10.1448888889,9.47588888888,7.83333333333,6.60511111111,11.5966666667,12.2681111111,9.52938888889,7.41922222222,14.4745555556
253.54,10.2007777778,9.24722222221,7.824,6.39344444444,11.5662222222,12.3753333333,9.61205555556,7.36166666667,14.42
253.91,9.44329629632,8.63933333332,6.67422222222,5.63111111111,11.2773333333,12.1995555556,9.01366666666,6.68922222222,13.87
254.28,8.96266666668,8.5468888889,6.077,5.06544444444,11.3228888889,12.0441111111,8.39011111112,6.14744444444,13.4478888889
254.66,8.95148148147,8.09633333333,6.27455555556,5.147,11.1681111111,12.1732222222,8.22322222224,6.16822222222,13.4721111111
255.03,8.95929629631,8.09088888888,6.646,5.05377777778,11.2063333333,12.5905555556,8.3202777778,6.08344444444,13.863
255.41,8.61881481482,7.81222222223,6.21711111111,4.622,10.8212222222,12.2532222222,8.05694444444,5.79111111111,13.7845555555
255.78,8.87077777777,7.72255555557,6.18744444445,4.93311111111,11.0174444445,12.0284444444,7.83011111111,5.65366666667,13.9753333333
256.15,9.63214814813,8.8741111111,7.02688888889,5.65311111111,11.9653333333,12.8191111111,9.0038888889,6.22855555556,14.7497777778
256.53,9.96966666666,9.21866666666,7.22722222222,5.53288888889,11.9042222222,13.4722222222,9.52061111111,6.26288888889,14.6347777778
256.90,10.4456296296,9.24077777779,7.80888888889,6.13244444444,12.1135555556,13.773,9.69155555554,6.43588888889,14.8936666667
257.28,9.51955555556,8.58466666666,6.94622222222,5.231,11.1033333333,12.8881111111,9.00544444442,5.84133333333,14.0937777778
257.65,8.49337037036,7.45055555556,5.917,4.88055555556,10.2113333333,11.5746666667,8.20722222223,5.23533333333,12.9855555556
258.02,8.26148148148,7.05811111111,6.05055555555,5.08955555556,9.5618888889,10.8315555556,8.28688888889,5.311,12.5262222222
258.40,8.36766666668,7.15933333333,6.495,5.47866666667,9.29655555557,10.7094444444,8.61961111112,5.70177777778,12.5537777778
258.77,8.09148148148,6.87766666667,6.264,5.14955555556,8.8691111111,10.2643333333,8.40044444445,5.65066666666,12.1305555555
259.15,7.91744444444,6.41077777778,5.82144444444,4.82344444444,8.314,9.69322222222,8.07888888889,5.46311111111,11.6774444444
259.52,7.79903703703,6.31611111111,5.74833333333,4.73433333333,8.01911111111,9.6578888889,8.09783333333,5.36622222222,11.3755555556
259.89,7.47655555555,6.27,5.56911111111,4.44711111111,7.60555555556,9.50511111112,7.92105555555,5.03811111111,11.2013333333
