wavelength,Back_TanPref,Belly_TanPref,Breast_TanPref,Crissum_TanPref,Crown_TanPref,DorTail_TanPref,Patch10_TanPref,Patch11_TanPref,Rump_TanPref,Throat_TanPref,WingTip_TanPref
410.77,6.78553333333,29.3096,17.7487333333,9.36673333333,4.7626,6.8624,7.90699999999,4.71413333333,8.39466666666,19.8640666667,8.10800000001
411.13,6.75373333333,29.3058666667,17.7406,9.33380000001,4.72406666666,6.82646666667,7.8546,4.65866666667,8.35213333333,19.8550666667,8.07593333333
411.49,6.7632,29.3046666667,17.7696,9.30773333334,4.72146666667,6.79946666667,7.85513333334,4.64213333333,8.32453333333,19.8373333333,8.04800000001
411.85,6.79653333333,29.3099333333,17.8204666667,9.33673333333,4.7156,6.8468,7.91366666667,4.69253333334,8.3438,19.8794666667,8.07019999999
412.21,6.85633333333,29.3538,17.9213333333,9.41366666667,4.7568,6.94233333333,7.95986666667,4.74733333333,8.40106666667,19.9777333333,8.10860000001
412.57,6.92206666667,29.3802,18.0339333333,9.45373333333,4.81053333333,7.0018,8.01646666666,4.78766666667,8.45866666667,20.0474666667,8.17553333333
412.92,6.9142,29.3684,18.0488666667,9.46746666667,4.78726666667,6.96273333334,8.0318,4.7692,8.44726666667,20.0633333333,8.15426666667
413.28,6.91773333333,29.368,18.0772666667,9.48280000001,4.74566666667,6.971,8.06433333334,4.75733333333,8.42066666667,20.0896666667,8.13966666666
413.64,6.89513333333,29.3236666667,18.0887333333,9.46526666667,4.71893333333,6.9324,8.08333333333,4.7398,8.37826666667,20.0998666667,8.13646666666
414.00,6.91826666667,29.2821333333,18.1119333333,9.46020000001,4.70553333333,6.944,8.09593333333,4.7398,8.36186666667,20.116,8.13073333333
414.36,6.941,29.2938,18.1748666667,9.49406666667,4.75673333333,6.96493333333,8.20186666667,4.837,8.43253333333,20.158,8.16120000001
414.72,6.8964,29.2426666667,18.1552666667,9.44226666667,4.714,6.92146666667,8.18026666666,4.75413333334,8.38533333334,20.1742666667,8.12653333333
415.07,6.83433333333,29.1612,18.1083333333,9.38973333334,4.64673333333,6.82706666666,8.17939999999,4.6868,8.31119999999,20.1328,8.02706666667
415.43,6.8768,29.1953333333,18.1582666667,9.45413333333,4.70813333333,6.8676,8.27573333333,4.7342,8.36579999999,20.2198,8.09646666667
415.79,6.78833333333,29.0720666667,18.0634666667,9.3718,4.64613333333,6.74526666667,8.2052,4.6312,8.32333333333,20.1429333333,8.01080000001
416.15,6.72926666667,28.9877333333,17.974,9.3178,4.6108,6.645,8.19306666667,4.5724,8.2594,20.0900666667,7.93546666666
416.51,6.6954,28.9758,17.9115333333,9.29033333334,4.56993333333,6.5838,8.15680000001,4.52746666667,8.21553333333,20.0671333333,7.87019999999
416.86,6.68573333333,28.9515333333,17.8746666667,9.2934,4.56326666667,6.551,8.13193333333,4.50973333333,8.20466666667,20.0549333333,7.85626666666
417.22,6.68153333333,28.8982,17.8469333333,9.29813333333,4.59726666667,6.51313333333,8.12786666667,4.50126666667,8.18086666667,20.0588666667,7.85659999999
417.58,6.6422,28.7720666667,17.7544,9.25473333333,4.56846666667,6.44726666667,8.11059999999,4.47206666667,8.13853333333,20.0016,7.81120000001
417.94,6.70266666667,28.7961333333,17.7688,9.33800000001,4.63806666667,6.4846,8.19793333333,4.54066666667,8.18313333333,20.0712666667,7.86946666667
418.29,6.6804,28.7021333333,17.6954666667,9.30666666667,4.6072,6.4174,8.15460000001,4.47746666666,8.124,20.0379333334,7.82553333333
418.65,6.6622,28.6095333333,17.6455333334,9.28719999999,4.59966666667,6.35846666667,8.15046666666,4.469,8.09793333333,19.9968666667,7.77933333333
419.01,6.66006666667,28.5936,17.6196666667,9.30266666667,4.6176,6.3546,8.16066666667,4.4772,8.09733333333,20.0022,7.78166666667
419.37,6.6298,28.5100666667,17.5621333333,9.2806,4.58706666667,6.2966,8.10666666667,4.43146666667,8.04613333333,19.9704666667,7.71679999999
419.73,6.63466666667,28.4891333333,17.5624,9.30320000001,4.60366666667,6.3026,8.13333333334,4.44246666667,8.02666666667,19.9832666667,7.7306
420.08,6.6932,28.4606,17.5756666666,9.33666666667,4.643,6.31413333333,8.17326666666,4.48013333333,8.04826666667,19.9940666667,7.75753333333
420.44,6.7098,28.4428666667,17.6010666667,9.37766666667,4.67486666667,6.32026666667,8.19793333334,4.49666666667,8.05593333333,20.037,7.78673333333
420.80,6.67726666667,28.3878,17.5788,9.35313333334,4.66126666667,6.2812,8.19506666666,4.4742,8.00386666667,20.0066,7.76153333334
421.16,6.63866666667,28.3363333333,17.5452,9.33633333333,4.6506,6.2496,8.1998,4.45786666667,7.97,19.9902,7.73413333333
421.51,6.6708,28.3629333333,17.5800666667,9.38033333333,4.6968,6.26893333333,8.22740000001,4.49026666667,8.0064,20.0420666667,7.75146666666
421.87,6.625,28.3191333333,17.5670666667,9.35366666667,4.67273333333,6.21133333333,8.19693333334,4.4488,7.96113333333,20.0206,7.70379999999
422.23,6.62133333333,28.2904,17.572,9.36346666666,4.67726666667,6.221,8.21106666667,4.4498,7.94366666667,20.0234,7.71006666667
422.58,6.61306666667,28.2493333333,17.5637333333,9.38033333333,4.67346666667,6.20886666667,8.20753333333,4.44166666667,7.92126666667,20.0306666667,7.71473333333
422.94,6.59726666667,28.202,17.5600666666,9.37146666666,4.64826666667,6.18433333333,8.19779999999,4.4188,7.8902,20.0328666667,7.69919999999
423.30,6.6092,28.156,17.5886666666,9.3978,4.68166666667,6.20166666667,8.22953333333,4.44306666666,7.9084,20.0336666667,7.73213333333
423.66,6.60106666667,28.1178666667,17.5974,9.40173333333,4.68373333333,6.17706666667,8.23206666666,4.425,7.88746666667,20.0421333333,7.71553333333
424.01,6.59686666667,28.1062,17.6211333333,9.4358,4.70073333333,6.19113333333,8.25420000001,4.4304,7.88566666667,20.0834666667,7.73553333333
424.37,6.5958,28.0487333333,17.6119333333,9.43893333333,4.70193333333,6.18326666666,8.27573333333,4.42853333333,7.8834,20.0589333333,7.73486666667
424.73,6.63213333333,28.0396666667,17.6597333333,9.47473333333,4.731,6.20866666667,8.31366666667,4.4506,7.90793333333,20.1012,7.75086666667
425.08,6.69266666667,28.0472,17.7338,9.52120000001,4.76986666667,6.25273333333,8.36540000001,4.4914,7.96226666667,20.1629333333,7.79033333333
425.44,6.68873333333,27.9934666667,17.7462666667,9.52426666667,4.76146666667,6.2608,8.36506666666,4.47806666667,7.9498,20.1546,7.79326666666
425.80,6.73253333334,27.9922,17.8026666666,9.56326666667,4.80746666667,6.31593333333,8.40586666667,4.5204,7.98586666667,20.1939333333,7.84866666667
426.16,6.7648,27.9940666667,17.8584666667,9.60240000001,4.82773333333,6.3384,8.42220000001,4.54933333333,8.01906666667,20.2272,7.86786666667
426.51,6.76353333333,27.9766,17.8927333333,9.61466666666,4.85333333333,6.36053333333,8.43653333333,4.5572,8.01466666667,20.2252666666,7.86739999999
426.87,6.8094,27.9611333333,17.9547333333,9.6542,4.9042,6.39793333333,8.47820000001,4.6014,8.056,20.2513333333,7.90966666667
