wavelength,Back_ThlPecm,Belly_ThlPecm,Breast_ThlPecm,Crissum_ThlPecm,Crown_ThlPecm,DorTail_ThlPecm,Patch10_ThlPecm,Rump_ThlPecm,Throat_ThlPecm,WingTip_ThlPecm
311.12,5.16388888889,12.1137777778,4.429,5.96522222222,4.36288888889,8.44244444444,4.78133333333,5.74811111111,7.43222222222,9.24611111111
311.49,5.21955555556,12.3918888889,4.75355555555,6.12844444445,4.59066666666,8.56766666667,5.11488888889,5.95022222222,7.69433333333,9.39255555556
311.85,5.34466666667,12.4913333333,4.98433333333,6.23411111111,4.71855555555,8.62177777778,5.13,5.999,7.82911111111,9.55966666665
312.22,5.42955555555,12.6588888889,5.24722222222,6.45166666667,4.87288888889,8.77477777778,5.24211111111,6.05644444444,8.06211111111,9.63844444445
312.59,5.37955555556,12.9157777778,5.22355555556,6.49888888889,4.824,8.78244444444,5.15722222222,5.96177777778,8.09455555554,9.50755555554
312.96,5.26444444444,13.0308888889,5.14777777778,6.40122222222,4.59833333333,8.64477777778,5.09611111111,5.784,8.09277777779,9.398
313.33,4.96766666667,12.8831111111,5.02055555555,6.17433333333,4.33233333333,8.27488888889,4.93166666667,5.45533333333,7.86255555556,9.16911111111
313.70,5.10677777778,13.2012222222,5.23244444445,6.36188888889,4.44333333334,8.56066666667,5.16677777778,5.56411111111,8.04333333333,9.24977777778
314.07,5.21744444444,13.3714444444,5.247,6.36377777778,4.39444444444,8.63611111111,5.18511111111,5.59366666667,8.08933333335,9.30333333333
314.43,5.38711111111,13.6437777778,5.42633333333,6.46377777778,4.37655555556,8.87333333333,5.33277777778,5.76611111111,8.20255555557,9.63144444446
314.80,5.66311111111,14.0824444445,5.73066666666,6.70466666667,4.54766666666,9.23055555555,5.54633333333,6.05955555556,8.61600000001,9.94655555556
315.17,5.39744444444,14.0011111111,5.45744444445,6.50722222222,4.12633333333,9.02744444445,5.29933333333,5.87166666667,8.32866666666,9.682
315.54,5.10544444445,13.9382222222,5.10855555556,6.31233333333,3.83066666667,8.90044444444,5.00866666667,5.696,8.06455555556,9.37822222222
315.91,5.08022222222,14.1463333333,5.05088888889,6.41955555556,3.77,8.919,4.91033333333,5.56033333333,7.98122222222,9.32722222222
316.28,5.30922222222,14.3638888889,5.06177777778,6.43722222222,3.74166666667,9.05788888889,4.967,5.69388888889,8.02466666667,9.41644444445
316.64,5.39244444444,14.385,5.128,6.42066666666,3.69177777778,8.95022222222,5.01377777778,5.89188888889,8.00044444444,9.35155555556
317.01,5.39766666667,14.3768888889,5.24011111111,6.59055555556,3.70922222222,9.10677777778,4.96077777778,6.07133333333,7.95388888888,9.4288888889
317.38,5.41655555555,14.4816666666,5.188,6.68777777778,3.69166666666,9.24055555555,4.89,6.01266666667,7.9558888889,9.28355555556
317.75,5.32422222222,14.5757777778,5.11655555556,6.58411111111,3.71933333333,9.14088888889,4.93222222222,6.06822222222,8.0051111111,9.29833333334
318.12,5.49333333333,14.9393333333,5.31177777778,6.802,3.93255555556,9.45588888889,5.23111111111,6.14944444444,8.31566666668,9.419
318.49,5.24166666667,15.0162222222,5.00755555556,6.61255555555,3.73522222222,9.28588888889,4.93977777778,5.97777777778,8.13566666665,9.09922222222
318.85,5.276,15.1884444445,5.10344444444,6.66788888889,3.81311111111,9.296,4.96111111111,6.06522222222,8.13788888889,9.05888888889
319.22,5.15988888889,15.0821111111,5.06477777778,6.36566666667,3.77733333334,9.13077777778,4.85088888889,5.83244444444,8.14222222223,8.80144444444
319.59,5.21422222222,15.0856666667,5.02966666667,6.457,3.74933333334,9.00433333333,4.78366666667,5.52466666667,8.12322222221,8.84377777778
319.96,5.00966666667,15.1285555556,4.92777777778,6.24155555556,3.47344444444,8.77744444444,4.65055555556,5.36222222222,8.05866666667,8.72955555556
320.32,4.57922222222,14.9298888889,4.69666666667,5.91333333333,3.30388888889,8.398,4.32344444444,5.06655555556,7.75533333332,8.44988888889
320.69,4.52044444445,15.2864444445,4.72611111111,6.005,3.35277777778,8.52133333333,4.35311111111,4.95955555556,7.84533333333,8.65411111111
321.06,4.42366666667,15.3401111111,4.52433333333,5.82966666667,3.34355555556,8.28788888889,4.29144444444,4.81944444444,7.90955555557,8.63166666666
321.43,4.85622222222,15.8951111111,4.949,6.12788888889,3.77355555556,8.55766666667,4.76344444445,5.23066666667,8.37200000001,9.09711111112
321.80,5.14066666667,16.1126666667,5.23877777778,6.46188888889,3.99188888889,8.64766666666,4.88966666666,5.41155555556,8.57977777777,9.33566666667
322.16,5.10988888889,16.2242222222,5.41822222222,6.50733333333,3.92711111111,8.57466666666,4.78822222222,5.58577777778,8.60488888888,9.34511111112
322.53,5.17122222222,16.2657777778,5.72977777778,6.70544444445,4.13955555555,8.75222222222,5.00033333334,5.71988888889,8.87055555554,9.58
322.90,5.19966666667,16.2817777778,5.66888888889,6.81744444444,4.21277777778,8.775,5.164,5.64611111111,8.84944444444,9.52244444445
323.27,5.22155555556,16.4863333333,5.64811111111,7.02177777778,4.43444444444,8.78411111111,5.319,5.72033333333,8.89699999999,9.6778888889
323.63,4.99411111111,16.3958888889,5.50188888889,6.74766666667,4.15844444444,8.65088888889,5.18055555555,5.69788888889,8.73966666665,9.56255555557
324.00,4.73488888889,16.1461111111,5.116,6.47811111111,3.949,8.43177777778,5.032,5.56322222222,8.59955555556,9.30477777778
324.37,4.82433333333,16.518,5.31077777778,6.70355555555,3.99111111111,8.59122222222,5.20011111111,5.78877777778,8.77755555557,9.49733333334
324.74,4.844,16.6512222222,5.41277777778,6.76522222222,3.98677777778,8.66355555556,5.22877777778,5.854,8.78244444444,9.30866666667
325.10,4.90855555555,16.7355555555,5.57222222222,6.94566666667,4.08544444445,8.75733333333,5.35455555555,5.91611111111,8.85355555554,9.24444444444
325.47,4.86644444444,16.8326666667,5.54611111111,7.05666666667,4.03011111111,8.75366666666,5.37866666667,5.96155555555,8.95311111112,9.26077777778
325.84,4.50344444445,16.6838888889,5.171,6.73522222222,3.65222222222,8.44311111111,5.11266666667,5.55966666667,8.65844444444,8.81533333334
326.21,4.25355555555,16.4341111111,4.83655555556,6.52033333333,3.40922222222,8.191,4.87322222222,5.23411111111,8.36600000001,8.45233333333
326.57,4.194,16.3678888889,4.62277777778,6.30388888889,3.16222222222,7.88377777778,4.69288888889,4.98655555555,8.02933333332,8.17733333333
326.94,3.80322222222,16.2114444444,4.30633333333,5.93822222222,2.80944444444,7.48966666667,4.40233333333,4.66944444445,7.67377777779,7.90222222222
327.31,3.965,16.3918888889,4.36888888889,6.07266666666,2.71466666667,7.542,4.51211111111,4.77522222222,7.73488888889,8.07611111111
327.67,4.29244444444,16.8021111111,4.59466666667,6.28744444445,3.175,7.72266666667,4.85488888889,5.131,8.03244444446,8.33722222222
328.04,4.51211111111,17.1813333333,4.86655555556,6.57544444445,3.405,7.94333333333,5.12177777778,5.44477777778,8.21155555557,8.579
328.41,4.631,17.3162222222,4.86666666667,6.758,3.55966666667,8.07,5.28833333333,5.50844444445,8.35833333333,8.57044444444
328.78,4.65522222222,17.3504444444,4.922,6.85222222222,3.70977777778,8.17222222222,5.45522222222,5.63211111111,8.57888888888,8.68455555556
329.14,4.594,17.3404444444,4.72211111111,6.738,3.598,8.027,5.43311111111,5.61666666666,8.53844444445,8.54366666667
329.51,4.70233333333,17.4014444444,4.73188888889,6.72644444444,3.67666666667,7.94577777778,5.42633333333,5.666,8.44099999999,8.56744444444
329.88,4.99133333333,17.748,4.95877777778,7.00522222222,4.01144444444,8.21488888889,5.72466666666,6.09288888889,8.7318888889,8.92411111111
330.24,4.76422222222,17.8312222222,4.745,6.83233333333,3.87277777778,8.03088888889,5.57877777778,5.93555555556,8.52188888888,8.79888888889
