wavelength,Back_OreFram,Belly_OreFram,Breast_OreFram,Crissum_OreFram,Crown_OreFram,DorTail_OreFram,Patch10_OreFram,Rump_OreFram,Throat_OreFram,WingTip_OreFram
569.77,10.0073333333,8.29833333333,8.20533333333,7.86874999999,8.80841666667,10.1048472222,39.3338333333,14.0514166667,8.32791666667,9.78283333332
570.11,10.05225,8.351,8.274625,7.94391666667,8.85841666667,10.1451851852,39.4060833333,14.1021666667,8.38883333332,9.81816666668
570.45,10.0525833333,8.39691666667,8.32183333333,7.99816666667,8.85800000001,10.1722638889,39.4655,14.12225,8.42308333334,9.84425000001
570.79,10.0340833333,8.43308333334,8.352,8.01850000001,8.84608333334,10.1801712963,39.4225833333,14.1043333333,8.44716666666,9.86158333333
571.13,10.03225,8.46458333333,8.38295833333,8.03791666667,8.85758333334,10.1881342593,39.4189166667,14.1088333333,8.47216666666,9.88383333333
571.47,10.0284166667,8.50091666667,8.40591666667,8.06524999999,8.85808333333,10.1878796296,39.4348333333,14.1279166667,8.498,9.89475000001
571.81,10.05,8.53241666667,8.44025,8.09883333333,8.87416666667,10.2046851852,39.4454166667,14.147,8.54483333333,9.90816666667
572.15,10.0698333334,8.59758333333,8.49175,8.15666666667,8.90908333334,10.241125,39.5046666667,14.18925,8.60416666667,9.95466666667
572.49,10.0623333333,8.62008333333,8.51508333333,8.18741666666,8.89633333333,10.2423333333,39.5486666667,14.20675,8.63008333334,9.96524999999
572.83,10.0485833333,8.639,8.55108333333,8.21891666667,8.89766666666,10.2509861111,39.5648333333,14.2075,8.67674999999,9.98566666666
573.17,10.0851666667,8.68625,8.59770833333,8.26858333334,8.93216666666,10.2668888889,39.6223333333,14.2328333333,8.70416666666,10.02475
573.51,10.0905833333,8.71208333333,8.62108333334,8.29316666666,8.92033333334,10.2768888889,39.6571666667,14.2470833333,8.73983333333,10.03225
573.85,10.0755833333,8.72866666667,8.63095833333,8.30299999999,8.89975,10.267162037,39.6385833333,14.22325,8.75033333332,10.0325833333
574.19,10.04675,8.71433333334,8.607125,8.28675,8.87991666666,10.2243842593,39.58275,14.17575,8.73166666668,10.0101666667
574.53,10.08,8.77383333333,8.65441666666,8.34191666667,8.91450000001,10.2558842593,39.6425833333,14.1988333333,8.78741666667,10.042
574.87,10.087,8.792,8.67816666667,8.36450000001,8.92208333333,10.2555740741,39.6500833333,14.18525,8.79774999999,10.0395
575.21,10.09075,8.808,8.70266666666,8.38374999999,8.92408333334,10.2610925926,39.66425,14.1723333333,8.81008333333,10.0486666667
575.55,10.08825,8.85191666667,8.738375,8.41974999999,8.92708333333,10.2920555556,39.71275,14.1885,8.82508333332,10.05975
575.89,10.0589166667,8.84533333333,8.73870833333,8.40641666666,8.89016666666,10.2657962963,39.6805,14.1458333333,8.80116666667,10.0301666667
576.22,10.0788333333,8.89975,8.78741666667,8.44066666667,8.91341666667,10.264962963,39.6520833333,14.139,8.8305,10.0530833333
576.56,10.0895833333,8.92366666666,8.78670833333,8.45650000001,8.92725,10.2736342593,39.6698333333,14.1305,8.83849999999,10.0556666667
576.90,10.0444166667,8.9165,8.754125,8.43833333334,8.88,10.2317638889,39.6609166667,14.0835833333,8.83133333334,10.0103333333
577.24,10.0389166666,8.95524999999,8.77108333333,8.47483333334,8.89491666666,10.2367592593,39.6719166667,14.0799166667,8.84158333334,10.0164166667
577.58,9.99833333333,8.9655,8.75916666667,8.46733333333,8.85600000001,10.2166157408,39.6655833333,14.0455833333,8.83525000001,9.98666666667
577.92,9.99333333332,8.99141666667,8.7975,8.50041666668,8.85333333333,10.2117453704,39.6903333333,14.0550833333,8.87041666667,9.97033333332
578.26,9.99791666667,9.02341666668,8.82933333333,8.54058333333,8.882,10.2229398148,39.72875,14.0955,8.88758333334,9.97066666669
578.60,10.0135833333,9.07008333332,8.88558333333,8.586,8.90775,10.2538425926,39.7774166666,14.12475,8.94133333333,10.0060833333
578.94,10.00275,9.10150000001,8.902375,8.60791666666,8.91625000001,10.2450138889,39.7651666667,14.1135833333,8.96375,10.0013333333
579.28,9.9695,9.11691666667,8.892,8.60666666666,8.88483333334,10.2054814815,39.7228333334,14.0919166667,8.96750000001,9.98475000001
579.61,9.94433333332,9.12058333332,8.87754166667,8.61725,8.86850000001,10.1825694444,39.7225833333,14.0898333333,8.96058333334,9.97416666667
579.95,9.90583333333,9.13483333332,8.89479166667,8.63675,8.85083333333,10.1982777778,39.7405,14.088,8.98533333333,9.96383333333
580.29,9.90933333333,9.16891666668,8.9575,8.65316666668,8.82599999999,10.1877777778,39.76,14.0984166667,9.01174999999,9.96183333335
580.63,9.92308333334,9.19891666667,9.02275000001,8.68591666666,8.84058333333,10.1969537037,39.7285833334,14.10775,9.02216666668,9.96225000002
580.97,9.90699999998,9.20875000001,9.05629166666,8.6895,8.83458333334,10.1998148148,39.7328333334,14.105,9.06375,9.97791666666
581.31,9.93933333335,9.26891666667,9.14020833332,8.77399999999,8.89758333333,10.2439768519,39.77125,14.1626666667,9.12125000001,10.0404166667
581.65,9.98141666666,9.34725,9.20358333332,8.85825000001,8.93399999999,10.3256435185,39.8096666667,14.211,9.20974999999,10.0994166667
581.98,9.98274999999,9.37166666667,9.21366666666,8.87624999999,8.92325000001,10.3298009259,39.7969166667,14.1821666667,9.23308333333,10.1026666667
582.32,9.99499999998,9.42408333333,9.26516666665,8.92983333332,8.91966666666,10.3453935185,39.82,14.1959166667,9.26783333333,10.1245833333
582.66,10.0354166667,9.48458333333,9.32354166667,8.99233333333,8.95549999999,10.3866111111,39.9000833333,14.23475,9.32908333334,10.1626666667
583.00,10.03525,9.47975000001,9.32525,9.01416666665,8.96508333333,10.3849907407,39.9264166667,14.2229166667,9.34124999999,10.1479166667
583.34,10.0575833333,9.55541666666,9.39420833335,9.08983333334,8.98916666668,10.409212963,39.9451666667,14.23525,9.40116666666,10.18075
583.68,10.0641666667,9.53983333334,9.38479166668,9.12058333334,8.97983333333,10.3953425926,39.9318333333,14.2200833333,9.40608333333,10.17275
584.01,10.04125,9.58016666667,9.37650000001,9.16208333335,8.98733333334,10.3869907407,39.9503333333,14.2075,9.41183333333,10.1631666667
584.35,10.0690833333,9.65674999999,9.44779166667,9.24566666667,9.04083333333,10.4317361111,39.9861666667,14.25625,9.49199999999,10.259
584.69,10.11875,9.72991666666,9.49924999999,9.30583333334,9.07483333334,10.452412037,39.9889166666,14.2844166667,9.54974999999,10.29275
585.03,10.1416666667,9.77025,9.54383333333,9.35700000001,9.07641666667,10.4604490741,39.9726666667,14.2784166667,9.59825000001,10.3015
585.37,10.1290833333,9.79891666667,9.57591666667,9.39058333333,9.09983333332,10.4487268518,39.9648333333,14.2814166667,9.60800000001,10.2950833334
585.70,10.1250833333,9.83016666667,9.61075,9.41375,9.06975,10.4319907407,39.93875,14.2699166667,9.62583333332,10.3055
586.04,10.0845833333,9.83716666667,9.58020833333,9.38774999999,9.03883333332,10.3895601852,39.92625,14.2239166667,9.63075,10.2705
586.38,10.1023333333,9.90416666667,9.63645833334,9.42141666667,9.04708333333,10.4078611111,39.9655,14.2495833333,9.68116666668,10.3003333333
586.72,10.2334166667,10.0566666667,9.82479166668,9.58658333333,9.15633333334,10.5357314815,40.0814166667,14.3776666667,9.83775,10.443
587.06,10.2243333333,10.0844166667,9.84616666667,9.58691666668,9.16141666666,10.5309907407,40.1121666666,14.38225,9.86608333334,10.4270833333
587.39,10.3024166667,10.1969166667,9.94620833333,9.67291666667,9.22524999999,10.6159166667,40.2288333333,14.4779166666,9.97608333334,10.5058333334
587.73,10.3178333333,10.22575,9.981625,9.67724999999,9.24766666668,10.6507175926,40.2429166667,14.4955,10.0209166667,10.5184166666
588.07,10.2778333333,10.20425,9.94233333333,9.64258333332,9.17858333332,10.617625,40.23075,14.4284166667,9.99908333333,10.4331666667
588.41,10.2218333333,10.175,9.94558333332,9.63,9.14216666666,10.593462963,40.2398333333,14.39125,9.99225,10.3748333333
588.74,10.2315833334,10.2008333333,9.94637500001,9.62974999999,9.13341666668,10.5843101852,40.2898333333,14.39625,10.021,10.3684166667
589.08,10.2263333333,10.2079166667,9.95837500001,9.62499999999,9.11175,10.560662037,40.2738333333,14.3556666667,10.0236666667,10.3709166667
589.42,10.2110833333,10.2170833333,9.97879166667,9.64633333335,9.12466666667,10.5782916667,40.2776666666,14.3720833333,10.0450833333,10.3525833333
589.76,10.2609166667,10.2791666667,10.029375,9.722,9.18558333333,10.6219259259,40.3256666667,14.4174166667,10.0941666667,10.3985833333
590.09,10.2570833333,10.2673333333,10.0530833333,9.74441666666,9.18374999999,10.6218611111,40.3024166667,14.4355,10.118,10.3975
590.43,10.1585833333,10.2053333333,9.96504166666,9.68258333334,9.09133333334,10.5273472222,40.2469166667,14.3410833333,10.05925,10.3236666667
590.77,10.1718333333,10.2221666667,10.005625,9.71808333332,9.09524999999,10.5413148148,40.23475,14.3384166667,10.0883333333,10.3481666667
591.11,10.1424166667,10.2389166667,10.0085,9.73066666666,9.109,10.522037037,40.18,14.3048333333,10.08325,10.3258333333
591.44,10.1896666667,10.3118333333,10.077875,9.83083333332,9.13341666666,10.5522453704,40.2261666667,14.3440833333,10.1579166667,10.375
591.78,10.2260833333,10.3798333333,10.1612083333,9.89825000002,9.19533333334,10.6039212963,40.273,14.3998333333,10.2309166666,10.4190833333
592.12,10.2745,10.4681666666,10.2014166667,9.97750000001,9.21583333334,10.6431666667,40.3078333333,14.4356666667,10.2685833333,10.4790833333
592.46,10.2635,10.491,10.23975,10.0110833333,9.21891666667,10.6587037037,40.3393333333,14.4323333333,10.2790833333,10.4925833333
592.79,10.3220833333,10.5908333333,10.312375,10.0806666666,9.25758333334,10.7135648148,40.3985833333,14.4986666667,10.3688333333,10.5466666667
593.13,10.3390833334,10.64075,10.3295,10.1125,9.26966666668,10.7095185185,40.39975,14.478,10.398,10.5711666667
593.47,10.3503333333,10.667,10.3907083333,10.1440833333,9.26416666666,10.7137638889,40.379,14.48,10.44175,10.5928333333
593.80,10.3455833333,10.72175,10.3954583333,10.1874166667,9.28591666666,10.7366111111,40.3594166666,14.4668333333,10.4625,10.61375
594.14,10.3585,10.7645833333,10.4395,10.2034166666,9.31066666668,10.7577592593,40.3655833333,14.4814166667,10.4870833333,10.61375
594.48,10.3994166667,10.8369166667,10.490875,10.2695833333,9.32808333333,10.7920601852,40.4078333333,14.5109166667,10.5481666667,10.643
594.81,10.3750833333,10.831,10.5030416667,10.25175,9.30375,10.75975,40.36,14.48625,10.5666666667,10.623
595.15,10.3785,10.8740833333,10.5519583333,10.29375,9.32241666668,10.7948935185,40.399,14.5275,10.5925,10.65975
595.49,10.3475833333,10.8729166667,10.5317083333,10.2976666667,9.26175000001,10.7678657407,40.3645833333,14.4848333333,10.5786666667,10.62025
595.82,10.3258333333,10.8823333333,10.5365833333,10.29775,9.24491666667,10.7581481481,40.3466666667,14.4570833333,10.5861666667,10.611
596.16,10.2995,10.8748333333,10.5065416667,10.2925,9.20924999999,10.7389675926,40.2725,14.4224166667,10.5785833333,10.5825833333
596.50,10.2489166667,10.8446666667,10.4968333333,10.2666666667,9.17800000001,10.7142268519,40.2544166667,14.3633333333,10.54025,10.5493333333
