wavelength,Back_DelCasf,Belly_DelCasf,Breast_DelCasf,Crissum_DelCasf,Crown_DelCasf,DorTail_DelCasf,Patch10_DelCasf,Patch11_DelCasf,Rump_DelCasf,Throat_DelCasf,WingTip_DelCasf
737.38,11.1799333334,46.7762666667,41.2821333333,42.2554666666,16.8417333333,12.1898,5.76153333333,11.4477333333,10.5789333333,40.9026,15.8808
737.69,11.1976,46.7562666667,41.2544,42.2982,16.881,12.2362666667,5.91593333333,11.4856,10.6380666667,40.9033333333,15.9342
738.01,11.3692666667,46.8934,41.4934,42.5600666667,17.1576666667,12.5828,6.19853333333,11.9098666667,10.9422666667,41.1317333334,16.2503333334
738.33,11.4284,46.9192,41.4958,42.5973333333,17.2416,12.7729333333,6.45986666667,12.2126666667,11.0293333334,41.2434,16.3926
738.64,11.1352666667,46.5461333333,41.1424,42.3258666667,16.8764666667,12.2630666667,6.05933333333,11.8414,10.482,40.7760666667,15.8736
738.96,11.2216,46.7391333333,41.1732666667,42.5254,16.9690666667,12.3512,6.103,12.0342666667,10.4427333333,40.9216,15.8804
739.28,11.3710666667,46.7541333333,41.2944,42.6788666667,17.0226,12.4469333333,6.2318,12.0874666667,10.4895333333,40.9692,15.8883333333
739.59,11.6838,47.0253333333,41.5763333333,42.7306666667,17.2254666667,12.7037333334,6.5446,12.2328,10.7344666667,41.1468666667,16.0761333333
739.91,11.7674666667,47.2540666667,41.6936,42.8269333333,17.2147333333,12.768,6.6518,12.2984,10.7472666667,41.2659333333,16.158
740.23,11.6641333333,47.3346666667,41.7312666667,42.7992,17.1684666667,12.6776666667,6.61446666667,12.2628,10.6234,41.3188666667,16.1002
740.54,12.0491333334,47.6774666667,41.9212,43.1177333333,17.2937333333,12.9144666667,6.95,12.6411333333,10.8929333333,41.5600666667,16.2903333333
740.86,12.1214,47.4604,41.751,42.9024666667,17.3570666667,13.0512666667,7.13786666667,12.9025333333,10.9145333334,41.3278666667,16.3292
741.18,12.5032,47.5728666667,41.9041333333,42.9473333333,17.606,13.44,7.34453333333,13.2418666667,11.1601333333,41.4902666667,16.5220666667
741.49,12.4149333333,47.7402666667,41.9325333333,42.9932,17.4002,13.2065333333,7.20226666667,13.059,10.9454,41.4383333333,16.1840666666
741.81,12.3813333333,47.8718,42.1175333333,43.2806666667,17.4287333333,13.0802666667,7.12026666667,13.1909333333,10.8834666667,41.6008,16.0047333333
742.12,12.8274,48.1318666667,42.3291333333,43.6142,17.9994666667,13.6751333333,7.68686666667,13.6778,11.4706666667,42.088,16.5024
742.44,12.9596666667,48.3172,42.5996,43.7688666667,18.0484,13.8253333333,7.8118,13.8038,11.7150666667,42.2231333333,16.5108
742.76,12.9956,48.7045333333,42.7218666667,44.0594,18.0573333333,13.821,7.89273333333,13.8892,11.9357333333,42.3185333333,16.6299333333
743.07,12.7806666667,48.5936666667,42.5760666667,44.1566666667,17.8832,13.5892,7.69486666667,13.8639333333,11.7992666667,42.07,16.5552666667
743.39,12.6880666667,48.5801333333,42.4836,44.1634666667,17.6803333333,13.3222,7.554,13.87,11.7202,42.1138,16.479
743.70,12.7174666667,48.6103333333,42.5486666667,44.1743333333,17.6117333333,13.2264,7.53873333333,13.8903333333,11.8116,42.0956,16.6075333333
744.02,12.576,48.7732,42.7412666667,44.3354,17.7796,13.3020666667,7.57773333333,13.9881333333,11.8246666666,42.3256,16.7292666667
744.34,12.6926,49.0344666667,42.8994666667,44.6811333333,17.9712666667,13.4854666667,7.74146666667,13.9942,12.023,42.4368,16.8794
744.65,12.6178,49.3921333333,42.8418,44.8226,17.9142666667,13.2314666667,7.65273333333,13.8540666666,12.0651333333,42.417,16.8498666667
744.97,12.3104,49.0223333334,42.4463333334,44.4864,17.5653333333,12.9592,7.37393333333,13.5059333333,11.8836666666,42.1219333334,16.6914666667
745.28,12.0169333333,48.6034666667,42.0124666667,43.9260666667,17.2418666667,12.6692,7.10066666667,12.9810666667,11.749,41.5086666667,16.5196666667
745.60,11.8424,48.4959333333,41.9053333333,43.7169333333,17.0767333333,12.6826666667,6.9934,12.8432666667,11.7898666667,41.2282666667,16.6332
745.91,11.9191333333,48.5406,41.9612666667,43.6666,17.1452666667,12.9318,7.18746666667,12.993,11.9104666667,41.3502666667,16.7058666667
746.23,11.9994,48.5756666667,42.0081333333,43.7798666667,17.3467333333,13.0268666667,7.31753333333,13.0502,11.7892666667,41.5558,16.6988666667
746.55,11.9203333334,48.7232,41.9863333333,43.6360666667,17.2940666667,12.9005333333,7.24893333333,12.8096666667,11.5664666667,41.5416,16.6038
746.86,11.4999333333,48.5206666667,41.8744666667,43.4993333333,17.1146666667,12.7986,6.94573333333,12.3549333333,11.0826,41.1429333333,16.1922
747.18,11.4852666667,48.4622666667,41.7754,43.364,17.0558,12.9456666667,6.97853333333,12.3976,10.9896666667,41.029,16.1024666667
747.49,11.3564666667,48.0490666666,41.4576,43.0274666667,16.7214,12.7590666667,6.7272,12.1153333333,10.8889333333,40.5510666667,15.9308666667
747.81,11.4672,48.0604666667,41.6500666667,42.8970666667,16.6075333333,12.8207333333,6.58313333333,12.1096,10.8653333333,40.7286666667,15.8877333333
748.12,11.4612666667,47.7084,41.6695333334,42.7084,16.5267333333,12.9965333333,6.68386666667,12.2119333333,10.8791333333,40.6622,15.8846
748.44,11.6771333333,47.4681333333,41.7291333333,42.6345333333,16.7328,13.3024,7.0154,12.5236,11.1935333333,40.6496,16.0382
748.75,11.6702666667,47.4572666667,41.8494,42.7814666667,16.6228666667,13.2626666667,6.9772,12.5426666667,11.1082666667,40.7708666667,15.9112666667
749.07,11.4166666667,47.427,41.9422,42.9104666667,16.3606,13.0116,6.68666666667,12.2938666667,10.8158666667,40.7802,15.5945333333
749.38,10.8877333333,47.4198,41.7612,42.8293333333,15.9908,12.5544,6.10253333333,11.7728,10.3809333333,40.5640666666,15.2519333333
749.70,10.5363333333,47.0184,41.3185333333,42.2508666667,15.6586,12.3868,5.846,11.4229333333,10.0786666667,40.0857333333,15.0292666667
750.01,10.2823333333,46.584,41.0807333333,42.0073333333,15.4775333333,12.4294666667,5.74853333333,11.3771333333,9.97440000001,39.8602,14.9159333333
750.33,10.5167333333,46.5873333333,41.0927333333,41.9136,15.5725333333,12.5463333333,6.01266666667,11.5866,10.1429333333,39.932,15.1280666667
750.64,10.3062,46.4086,40.9409333333,41.8849333333,15.4054,12.2704,6.05153333333,11.5278,10.0935333334,39.8667333333,14.9830666667
750.96,10.1358,46.3608,41.0258666667,42.0089333333,15.3592666667,12.0358,5.82646666666,11.413,9.78706666667,39.7600666667,14.7191333333
751.27,9.65199999999,46.0684666667,40.8282666667,42.0333333333,14.9755333333,11.4753333333,5.42133333333,10.9894,9.35306666667,39.3758,14.3716
751.59,9.51926666667,45.9362,40.7246,42.0182,14.8173333333,11.2111333333,5.2548,10.6972,9.14406666667,39.1972666667,14.2860666667
751.90,9.30653333333,45.8456666667,40.5281333333,41.7522,14.4793333333,10.792,4.95206666667,10.3480666667,8.6366,38.9032666667,14.0441333333
752.22,9.72040000001,46.4754,40.9908666667,42.1962,14.9964,11.3631333333,5.51073333333,10.746,9.1236,39.3828,14.6922
752.53,10.1024666667,46.964,41.2184,42.4887333333,15.4093333334,11.7252666667,5.98226666667,11.0493333333,9.4644,39.7344666667,15.0396
752.85,10.5360666667,47.1752,41.4679333333,42.6788,15.6046666667,12.0416666667,6.395,11.3915333333,9.77906666666,39.9075333333,15.4977333334
753.16,10.969,47.3376666666,41.8602,43.0006666667,15.7782666667,12.1095333333,6.59466666667,11.7091333333,10.2547333333,40.1038,15.8013333333
753.47,11.3804,47.7274,42.2638666667,43.3128666666,15.9459333333,12.1478,6.78873333333,11.9296666667,10.5929333333,40.4912,15.9516666667
753.79,11.2486,47.7959333333,42.5121333333,43.5942666667,15.931,11.9710666667,6.5694,11.6498,10.6884666667,40.5188666667,15.9014
754.10,11.5703333333,48.1278666667,42.8747333333,43.9862666667,16.0766,12.1858666667,6.4994,11.4837333333,10.7276,40.7112,16.0226666667
754.42,11.8078,48.2821333333,43.021,44.1199333333,16.3842666666,12.4444,6.80186666667,11.5346,10.9879333333,41.0300666667,16.3634666667
754.73,12.5448666667,48.5573333333,43.3274666667,44.2294,17.0340666667,13.2438,7.49406666667,12.2521333333,11.6786666667,41.4516,16.9893333333
755.05,12.8858666667,48.8469333333,43.5856,44.5556666667,17.3574,13.6876666667,7.72986666667,12.5946666667,11.8617333333,41.7267333333,17.3034666667
755.36,13.0962,49.4208666667,43.9367333333,45.0585333333,17.8172666667,14.1358666667,7.86746666667,12.9047333333,12.2207333333,42.1037333333,17.7534
755.67,12.7008666667,48.9825333333,43.3454666667,44.5249333333,17.5008666667,13.6694666667,7.3816,12.4808666667,11.8058,41.6986,17.3878
755.99,12.3818,48.2850666667,43.0257333333,44.1427333333,17.0996,13.3088666667,7.0338,12.1891333333,11.4394666667,41.1809333333,17.1179333333
756.30,12.1065333333,48.0097333333,42.8209333334,43.9346,17.222,13.2049333333,7.03086666667,12.0758666667,11.2802666667,40.9606,17.0015333333
756.62,11.7730666667,48.4817333333,43.0303333333,44.1678666667,17.1096666667,13.1344,6.75993333333,11.9626666667,11.0677333333,41.2183333333,16.9230666666
756.93,11.4496666667,48.6004,42.9054,44.3456666667,16.9885333333,12.9334666667,6.51986666667,11.787,10.731,41.1058666667,16.7759333333
757.24,11.3009333333,48.3496,42.6511333333,43.9536666667,16.829,12.7857333333,6.5306,11.9506,10.5027333333,40.8691333333,16.6805333333
757.56,10.9244666667,48.2961333333,42.5418,43.7878666667,16.7378,12.5851333333,6.33893333333,11.9418666667,10.1947333333,40.7636666667,16.4780666667
757.87,10.897,48.5816666667,42.6784666667,43.9820666667,16.586,12.5263333333,6.2538,12.0889333333,10.2544666667,40.9776,16.4774
758.18,10.4846666667,48.6272,42.4672,44.037,16.2726,12.1512666667,5.87233333333,11.7229333333,9.80620000001,40.8755333333,16.1538666667
758.50,10.3581333333,48.8126666667,42.5871333333,44.0231333333,16.2678666667,11.9068666667,5.72813333333,11.6658,9.76386666666,40.8477333333,15.9424
758.81,10.7838,49.0599333333,42.9845333333,44.4235333333,16.3554666667,12.1007333333,5.81893333333,11.9443333333,10.0859333333,41.3422,16.0926666667
759.13,10.9972,49.2003333333,43.3301333333,44.8824666667,16.3656,12.2703333333,5.97053333334,12.2108,10.1474666667,41.5113333333,16.0488666667
759.44,11.1194,49.5255333333,43.241,44.9758,16.5648666667,12.2717333333,5.98093333333,12.4346666667,10.3771333334,41.6502,16.0857333333
759.75,11.2642666667,49.6484666667,43.3098,45.2883333333,16.4494,12.202,5.9292,12.3738,10.4454,41.7814666667,16.0430666666
760.07,11.4589333333,49.1802,42.9736,45.0487333333,16.5106666667,12.4441333333,6.03973333333,12.4594,10.542,41.4482666667,15.9858
