wavelength,Back_CamPauf,Belly_CamPauf,Breast_CamPauf,Crissum_CamPauf,Crown_CamPauf,DorTail_CamPauf,Rump_CamPauf,Throat_CamPauf,WingTip_CamPauf
186.01,141.904733333,111.0714,180.833366667,81.3095666667,50.9522666667,170.238066667,158.214233333,53.5715333333,186.666666667
186.39,137.681266667,87.8261333332,192.6087,78.1159666667,52.4638666665,178.8404,175.942,46.3768666666,205.507266667
186.77,124.3136,98.9215,159.7059,96.3724000001,67.6470666667,151.960733333,150.196066667,66.2745333332,169.803866667
187.15,134.285666667,107.261733333,190.357066667,88.8094666667,74.9999999999,160.000133333,170.595233334,47.8571333333,181.9046
187.53,139.649066667,67.0176,205.262966667,57.5438999999,71.9298666666,154.035,198.070266667,4.56146666666,184.912333333
187.91,97.5237333334,45.1427666667,118.762,34.0953,60.381,105.142933333,121.904733333,15.2380666666,108.761933333
188.29,70.6666666667,-21.8333333333,108.666666667,-39.3333333333,23.9999999998,108.0,135.666666667,-57.0,105.0
188.67,106.666733333,-39.8245333333,123.158033333,-51.5789,49.1228000001,100.000066667,163.859766667,-37.8947333333,129.824666667
189.05,177.7778,-156.1111,318.889,-271.1111,91.1110666666,248.888866667,488.888933333,-201.111066667,327.777733334
189.43,-49.3333333333,68.6666666667,-94.6666666667,66.0,-31.9999999999,-85.3333333334,-160.666666667,52.6666666666,-116.333333333
189.81,-28.5185333333,109.9999,-96.8519000001,106.296033333,-15.9258666667,-60.3704,-146.296266667,73.3332666668,-91.4815333335
190.19,-7.17939999994,93.5897333333,-74.3590333333,70.2563333333,-11.2821333335,-38.9742666667,-86.4102333333,63.5898000002,-48.4615333333
190.57,26.5040666667,83.1708,-17.6424,73.8211333333,22.9270000001,0.1628,-24.8779666667,63.5771999999,-7.80480000006
190.95,27.742,66.8816,1.6667,55.8062333333,22.3656,9.3548,-7.74203333333,48.0643999999,-0.537600000014
191.33,31.1494666667,75.8045666667,13.5057333333,59.4252666667,27.816,13.3336,-1.6667,56.4368,2.87353333334
191.71,30.3846,68.6541,10.6410666667,52.4360666667,25.2565333334,13.7179333333,-10.3846666667,55.8973333334,-7.30766666668
192.09,30.4763333333,55.7619666667,13.4286333333,39.1427666667,22.857,18.2856,-3.76190000001,48.6664666667,-1.8094
192.47,36.1482666667,49.1112,23.2592333333,40.0742666667,26.2224,21.7038,4.2592,47.3332666667,5.18526666668
192.85,43.8094,48.8644333333,27.2528666667,41.7217,34.7252,24.5422,10.9890333333,54.5054,15.8241333333
193.23,50.2836666667,59.8227333333,40.2128666667,46.4538333333,46.5248,36.525,23.5460666667,62.0566666667,24.61
193.61,61.4345333333,70.1687666667,46.2025333333,54.7258666667,57.6371333333,46.6666666667,29.7888,70.633,34.6834666667
193.99,48.5304666667,59.6773333333,44.0861666667,43.1899666667,49.2472666667,38.6379333333,23.2975,58.3513333333,25.6631333333
194.37,58.6812666667,70.7692333333,60.916,56.9231333333,65.3478666666,53.4066,36.0440333333,68.4981333333,37.2162666667
194.75,48.6956,59.9276666667,53.1883666667,45.2899666667,55.2173333333,41.8841333334,30.5072,56.0868666667,33.1160666667
195.13,52.0145333333,67.1429333333,58.3516666667,55.8608999999,59.3406666667,48.3516666667,37.8754333333,60.2198666667,42.7104
195.51,47.6730666667,61.8238333333,56.0690666667,51.8554666667,52.4528666667,42.8930666667,39.2767,49.9370666667,40.8177333333
195.89,53.6054,73.3675,64.6598666667,55.034,59.9319333333,47.6191333333,46.7348333333,57.3468666667,49.1156666667
196.27,64.0277333333,85.0693666667,76.4582333333,64.6179666667,72.2222,58.1249333333,59.6180999999,65.5556,63.1945333333
196.65,66.7423333333,95.1515,82.1211333334,66.5152666666,81.5909333333,67.8787999999,70.8333666666,67.9545333333,71.7423999999
197.03,68.2539333333,97.7778333334,80.3174666667,64.4046666667,80.3968,69.2063999999,70.2380999999,65.3172,67.3810666667
197.40,65.3608666667,88.4536,74.1581666667,60.5153333333,76.6322666667,63.4365333333,67.7319333333,57.4569333333,71.9588
197.78,57.9012,78.2409,69.0430333333,55.3085333333,71.79,60.7404666667,64.6605666667,54.3209333333,68.3333999999
198.16,62.939,84.4087333333,71.1828000001,63.0824333333,80.6451333333,66.0932000001,70.0717000001,62.1504,74.9819333333
198.54,55.9707333333,77.0328,61.5751333333,53.8827666667,73.8460666667,57.2160666667,62.6740000001,54.6520666667,68.4248666667
198.92,73.9474666667,103.070233333,82.5876666667,69.3420666666,94.2982000001,79.9999999999,81.5788666668,75.965,92.8946666667
199.30,81.5740666666,105.879666667,85.6480666667,67.4999666666,98.8888000001,82.4073999999,80.9260333334,84.5370666666,93.9815333334
199.68,92.4293333335,120.226033333,99.8304666666,78.9266333333,117.8532,96.1580666666,80.0564666668,97.966,105.6498
200.06,71.4010000001,87.2463,71.8839666667,58.3574666667,91.5941333333,73.4299999999,54.5892333333,72.4638000001,79.5168666667
200.44,68.0320666667,78.3134000001,75.0202333333,68.2329666667,89.6386000001,71.7269333333,60.3614999999,76.3855333334,80.4013333335
200.82,68.9497333334,76.0731666667,74.8401333334,72.8310666667,87.9451333333,68.0363999999,59.8630666667,80.1828000001,89.0409999999
201.19,73.2353333333,86.8138666667,93.1861333333,83.7254333334,95.5881999999,76.9607999999,71.5686000001,86.1764666665,101.960733333
201.57,66.7556000001,82.1776333333,85.3779333334,78.8444,86.4888666667,77.8667333333,71.4222666667,85.4222000001,89.5110666667
201.95,95.1244666667,110.995033333,116.5174,102.188966667,112.6368,99.1044666665,97.0646333333,106.766333333,115.0248
202.33,114.0098,119.323633333,135.8455,112.173966667,122.318866667,113.140266667,110.4347,117.004933333,129.951666667
202.71,93.7036000001,99.0371,116.148133333,91.1112666667,98.6666000001,98.7407333331,94.1850333333,94.7407333333,109.703666667
203.09,79.6225333333,82.8928999999,97.9558333333,78.9623,86.7924666666,82.956,78.9307999999,81.5096,93.6478
203.47,73.5167999999,80.1222000001,97.5230666667,76.7278999999,84.0978000001,80.795,75.9632333333,77.4310666668,93.1498000001
203.85,77.4040666667,84.6608999999,98.0235,76.1650333334,86.9616,83.5988666667,79.3510666667,75.9291333335,97.5221333335
204.22,77.8320666666,85.5826666667,100.948533333,73.4146,82.1137999999,85.7994666667,80.7045333333,73.0623333333,99.9999999999
204.60,75.3516666666,87.0643,95.3821,65.5046333333,77.0032000001,87.3392,76.4830666666,70.1528,98.2873333333
204.98,73.6609999999,85.6558666667,91.6940666667,65.7649333333,77.2678000001,85.1912,77.5135999999,65.4097333333,92.6776000001
205.36,66.326,76.7642333333,81.7762333333,60.073,70.2189333334,75.3285333333,70.1947,58.7348,85.1095333333
205.74,68.0514,78.5129666667,86.0512666667,62.2820666667,69.7435333333,74.9230666667,71.6666333333,58.6154,89.3845333333
206.12,55.3489333333,66.4857333333,77.3385,54.6768333333,59.0698,63.3076666667,60.4135,53.3851333333,80.8787333334
206.50,44.021,56.693,68.4126,45.5291333333,51.3757333333,55.238,52.7512333333,43.6507333333,72.6983333333
206.87,37.2108666667,54.1837,68.9115333333,43.2652666667,51.8368,51.9048666667,48.6054,43.4011333333,74.2176666667
207.25,33.2539333334,54.0873,70.4365666667,38.9681333333,46.8254666667,52.5396,47.3014,42.6984666667,77.9364666668
207.63,45.3030666667,61.8939,78.0301,53.8635333334,59.9242666666,62.2727333333,61.1362999999,51.2123333333,86.2878
208.01,46.2446666667,64.2193666667,82.8269,58.7342666667,55.1054666667,63.7975333333,68.6919,56.1180666667,92.6582
208.39,48.6338666666,75.7923333333,95.6283000001,72.8414999999,64.5901333333,67.1038,79.4535999999,69.3987333335,105.5738
208.77,55.3006000001,76.0109333333,113.5518,75.3005333333,72.2403333333,69.1802666666,81.6940666667,68.1968666668,108.196666667
209.14,43.6363333333,70.3637333334,108.242266667,59.9394000001,60.2423333333,54.5454666667,70.4848666667,68.2424000001,103.515133333
209.52,34.8148000001,82.6851666667,131.666466667,60.7408000001,61.8517333334,51.4815999999,70.8333666669,84.9999333333,130.5556
209.90,9.6,73.1999999999,151.2,42.8000000001,36.7999999999,21.3333333333,45.7333333333,84.0000000001,140.8
210.28,-10.1450666666,57.9710666667,138.405766667,22.1739999998,6.37686666672,6.37679999998,23.9130333334,51.3043333333,127.826133333
210.66,26.5276666667,55.7638000001,94.7222,39.3752,28.7500666666,27.3611333333,44.9305666667,54.0278666666,91.2498
211.03,47.9069333333,80.9302333333,117.519466667,61.7831,37.2093999999,45.7364666666,63.5658333333,68.0620666666,114.1084
211.41,27.2866666666,61.8604,100.1552,46.3567,16.279,26.9767333333,47.9070999999,32.2480000001,90.2327333333
211.79,20.5,50.0833333333,96.9166666667,22.9166666667,-11.0000000001,24.1666666667,33.75,24.5,90.9999999999
212.17,-11.4814666668,20.2778,78.9815333333,-8.79649999994,-34.4445333335,-2.22213333326,1.75913333335,0.5555333334,64.2591999999
212.55,1.41853333341,18.5816333333,69.9291,-1.20586666666,-13.9006666666,11.3477333333,19.6454666667,4.96453333327,63.9717999999
212.92,-10.7483333334,16.5305999999,58.8436,-5.238,-25.4421333333,13.4695333333,15.7143666667,1.76873333333,53.0612666667
213.30,6.54326666666,29.3211333333,77.5926666667,18.0247666667,-4.56786666668,33.3332666667,35.0616333333,14.6913333333,71.3579333334
213.68,22.4166666667,35.75,71.1666666667,30.7916666667,10.6666666667,40.1666666667,43.1666666667,23.9166666667,66.7499999999
214.06,35.8234000001,52.5302333334,81.2850666667,45.2611333333,31.245,56.5460666667,59.5181333333,39.3574000001,84.2569999999
214.44,34.3859333333,54.7369333333,86.8422,45.3947666667,31.2280666666,59.2103333333,67.2370333333,42.4560000001,87.1931999999
214.81,23.5415999999,45.6249333334,92.3436666667,44.5311666666,19.1665333334,55.4166666667,64.9999333333,40.2082,88.7500000001
215.19,12.7682666666,34.5763666667,89.2655333333,29.7174000001,11.9774666667,53.4462666666,57.3446666667,29.2656666667,92.8813333334
215.57,19.5627999999,42.0216666667,97.0492666667,40.3277999999,21.9671333333,60.8743999999,63.9346,51.0382666667,101.748666667
215.95,-4.15106666672,22.3899666667,92.5157,28.1132666667,7.54713333334,31.6981333334,52.3270666667,39.3710666667,93.2075333334
216.32,3.3332,24.9999333333,84.4792333333,30.6248333333,16.7708,26.5623333333,52.4478,40.7288666667,84.4791333333
216.70,-26.0993333333,11.2767333333,81.6311333333,21.6310333333,-1.56026666666,4.39726666666,38.6526,35.8865999999,79.4326666667
217.08,-7.87866666666,22.4242333333,71.5149666667,35.0303333333,8.00006666666,10.0606,43.2121,36.8485333333,78.9090000001
217.46,-24.7952666666,6.54970000002,55.6141,19.7074333333,-8.65506666666,-0.23393333332,17.4267666667,27.3684,54.152
217.83,-35.9748666667,-3.45903333334,57.5471333333,2.26406666666,-15.5975333333,-12.0754,6.60386666666,25.5347333333,46.9180666667
218.21,-58.3649333333,-23.5849333333,36.3522333333,-21.2578333333,-37.1069333333,-26.5409333332,-10.8805,3.52186666666,15.4716666666
218.59,-9.30046666667,14.5681333333,50.4115666667,19.4237666667,6.33726666668,11.4403333333,19.5885333333,34.3208666667,35.3908666667
218.97,1.88413333333,25.7244666667,50.3985,20.7248,14.0580666667,22.2464666667,25.9421,36.3041333333,40.2899333333
219.34,19.3893333333,37.4809,53.7914,33.3077666667,28.8548666667,30.9412666667,38.8550333333,44.6818666667,43.5114666667
219.72,16.9946,30.9561333333,50.2186333333,31.9398333333,25.6829333333,25.0273333333,34.2896,41.0383333333,35.7376
220.10,23.2835333333,37.9603666667,47.4376666667,34.8506,28.806,35.8706,37.7613666667,46.1194666667,40.3482666667
220.47,20.9196666666,36.6953,47.7012666667,30.2299333333,23.2759333333,41.7816666667,35.4885333333,48.5058,40.8046
220.85,27.2223333333,35.7407,47.8241333333,34.9072,28.2870666667,45.648,37.1761333334,50.1389333333,43.1945333333
221.23,22.0551333333,26.0902,45.0125666667,31.5789,24.8621333334,41.0026,32.7569666667,49.0728,41.0026666666
221.61,28.661,31.1680666667,48.0627,37.8347333333,28.8889333333,45.0143333334,42.5071333333,56.923,46.211
221.98,32.6072,35.6766,50.4291333333,48.5148,31.7491333333,52.3432666667,51.5511666667,65.6766,50.9569333333
222.36,33.9716,33.2624,51.6312333333,50.1062666667,28.3687333333,51.9148,49.6099,71.2764666666,52.2694666667
222.74,28.5824,23.7929666667,44.9043333333,42.8737,25.0573333333,46.7431333333,42.9119,63.9846666667,48.2759333333
223.11,28.7719333333,12.8071,45.0877333333,47.1930666667,27.5438666667,42.7193333333,36.1841333334,69.4735333333,42.2807333333
223.49,26.9945333333,0.655666666666,43.6611333333,49.0709666667,23.2786666667,40.2186666667,26.1201666667,81.2023333334,37.9235333333
223.87,36.0784,22.7451333333,47.4901,51.5684666667,35.2156666667,49.9606666667,39.4902666667,74.1176,48.2352
224.24,27.6079333333,11.1371,40.8627666667,48.8626333333,33.4118666667,36.0784,29.2941,61.098,31.9215333333
224.62,32.353,16.3398,41.8303,56.6665666667,40.3920666667,35.3594666667,34.1830333333,57.0588666667,33.3987333334
225.00,23.9847333333,6.0154,34.2913,49.7318666667,30.1916,21.4559333333,23.6398666667,53.1035333333,19.6936666667
225.38,35.4692666667,20.2264,42.7506666667,51.9094333333,41.7476666667,30.0970666667,31.974,60.5824,27.0551333333
225.75,27.6266666667,12.96,33.3066666667,40.0,34.88,22.0266666667,23.9733333333,50.2933333333,20.9066666667
226.13,30.2451333333,14.3138666667,36.5194333333,41.6177666667,37.353,26.5196666667,26.2744333333,48.4803333333,21.3726
226.51,33.7281333333,19.2106,39.2982666667,45.5044666667,40.4824,28.3772,27.1271,48.4649333333,24.386
226.88,31.285,18.622,37.0204333333,38.7894,35.6424666667,25.4004,23.7802333334,46.3314,21.6014
227.26,25.5732,17.1958,31.6931333333,35.344,30.97,18.5184666667,19.9118,40.5996666667,17.566
227.64,19.1089333333,11.4355666667,26.6665333333,27.4422666667,24.2904666667,11.3200666667,13.9603666667,31.6503333333,12.211
228.01,10.6016,2.65046666667,19.6096333333,18.7479666667,16.2926666667,2.4716,5.23586666667,25.1382,4.52039999999
228.39,12.3448,6.44063333333,22.6836666667,19.6609666667,17.9944666667,7.00566666668,11.2007333333,28.8418,10.3106666667
228.76,8.96000000001,2.78666666666,16.7866666667,14.6266666667,13.9733333333,2.98666666667,6.93333333334,25.1466666667,6.74666666667
229.14,11.6058666667,5.98536666666,18.0291666667,16.0827666667,16.6423333333,6.54506666666,10.7420333333,25.1338666667,10.7785333333
229.52,8.37959999999,2.67363333333,13.5531666667,12.6851666667,13.2871333333,3.6806,8.25220000001,20.8796,7.73146666667
229.89,4.6044,-1.23513333333,11.0193666667,10.5154,10.1918666666,0.71953333334,4.28046666667,18.2735333333,4.67639999999
230.27,3.81886666667,-2.18976666667,8.66236666667,8.60830000001,9.2772,-0.862733333334,2.17896666667,16.9147333333,4.16386666667
230.65,3.56399999999,-3.0609,6.50963333333,8.98329999999,9.49673333333,-0.649799999993,2.33746666667,16.1006666667,3.8994
231.02,2.823,-5.55926666667,3.53943333333,8.24103333333,7.7526,-0.933733333327,0.673333333333,15.7654,2.73626666667
231.40,3.44086666666,-4.37623333333,3.49456666667,7.50556666667,6.7526,1.11833333334,1.5914,16.7095333333,3.44073333333
231.78,4.63666666668,-2.71383333333,4.66893333333,11.3248,9.44453333333,4.5298,3.9744,19.9358,6.38893333333
232.15,10.7202,2.27373333333,9.46513333333,16.6771333333,14.6709333333,10.4320666667,8.96096666666,24.3004666666,11.9753333333
232.53,6.33986666667,-2.6034,5.65343333333,11.5250666667,10.1525333334,5.57746666666,2.86493333333,18.9109333334,5.64279999999
232.90,8.87486666667,1.2198,8.52800000001,14.7947666667,12.2816666667,8.32820000001,5.76246666667,21.9348,8.18113333333
233.28,9.50893333334,1.35843333333,9.27893333333,16.2799666667,11.9122,8.02513333332,5.2141,21.1495333333,7.16806666667
233.66,6.17053333333,-2.6106,4.97286666667,13.603,7.65906666668,4.48753333333,0.356066666666,16.1597333333,2.0928
234.03,9.87486666665,0.968533333334,8.49986666666,15.7288666667,11.6872666667,9.20793333335,3.7184,17.6874,5.31226666667
234.41,9.08500000001,-0.087099999998,7.62526666666,13.3332,10.4574666667,7.49453333333,2.98473333333,16.2962666667,3.94333333334
234.78,7.48639999999,-1.0679,5.97633333333,11.1973,9.21246666666,6.3862,2.1575,14.8434666667,2.99900000001
235.16,1.7284,-6.76773333333,0.4826,5.91456666667,5.14033333333,-0.695933333328,-3.07516666667,7.63186666667,-2.42426666667
235.54,2.302,-6.31916666666,0.434233333332,6.85130000001,6.29746666667,-0.6732,-3.00766666667,8.05633333333,-1.45493333334
235.91,4.12193333333,-5.11026666666,0.862366666665,7.27646666667,7.19233333333,0.378600000001,-1.7455,7.2764,-1.36693333335
236.29,-0.992466666661,-10.1077333333,-4.64933333333,2.23303333333,2.3084,-6.58033333333,-6.10586666667,1.05726666667,-7.07653333333
236.66,1.60166666667,-8.75546666666,-4.22083333333,5.0325,3.3116,-4.67546666667,-4.88106666667,4.28593333333,-4.80546666667
237.04,2.5214,-8.24786666667,-4.23063333333,3.74993333333,3.46166666666,-5.66233333333,-4.22003333333,3.05573333333,-3.20506666667
237.41,2.11933333334,-8.16873333334,-4.71193333333,0.853799999993,3.39513333334,-4.97940000001,-4.2798,2.1812,-3.33319999999
237.79,4.45766666666,-4.74623333333,-1.98996666667,1.8508,5.79106666667,-2.34813333333,-1.92026666666,5.1342,-0.0397999999866
238.17,3.53273333333,-3.39036666667,-3.4378,1.8233,4.14053333333,-3.93166666667,-2.06086666667,5.16606666666,-0.987666666665
238.54,7.3884,0.0689,-0.146066666667,5.79023333334,7.76633333333,0.326599999992,1.95863333333,7.74906666667,3.45366666667
238.92,6.95446666665,-0.991166666673,-0.103866666666,4.76413333333,6.92246666667,-1.08699999999,1.28696666667,6.68260000001,3.00553333333
239.29,10.0508666667,3.04263333333,3.2681,7.70513333334,9.005,2.58526666666,4.72773333334,9.20833333334,6.92806666667
239.67,10.2954,2.55673333333,3.62206666667,6.49496666666,9.00333333332,2.68046666666,5.00326666667,7.76633333333,7.79386666666
240.04,10.5875333333,3.1296,4.17266666667,6.54080000001,8.03360000001,3.08153333333,5.25786666667,7.52999999999,8.20146666667
240.42,12.1698,4.79553333333,5.99063333333,8.06616666666,9.62260000001,5.76526666667,6.5566,8.8784,9.72733333335
240.79,12.822,6.37513333333,6.94486666667,9.09826666668,10.9556,7.483,7.7703,8.96366666668,11.0992
241.17,12.0157333333,5.4635,6.98616666667,8.70989999999,10.2801333333,8.17353333333,7.077,8.23680000001,10.6823333333
241.54,12.1276666667,6.02843333333,7.31923333333,9.13113333333,10.3546,8.5532,7.53903333333,8.75866666666,11.5602
241.92,12.4244,6.9815,8.38686666667,9.76623333332,10.9314,9.17886666667,8.4842,9.06219999999,12.6648
242.29,12.707,7.09416666667,8.38296666667,9.94576666667,11.1532666667,9.48500000001,8.77736666667,9.41873333333,13.0501333333
242.67,11.6488,6.28113333333,7.4821,9.16940000001,10.1779333333,8.87313333333,7.79056666667,8.82573333333,12.1352
243.05,12.1407333333,6.87706666667,7.91693333333,9.07213333334,10.5214666667,9.44406666667,8.17333333333,9.17899999999,12.4690666667
243.42,13.0617333333,7.8175,9.02406666667,10.1691666667,11.5973333333,10.6269333333,9.2263,10.4380666667,13.4722
243.80,12.7627333333,7.97326666665,8.85346666667,10.4969333333,11.2304,10.4589333333,8.85056666666,10.2688666667,12.7735333334
244.17,13.5106,8.7322,9.25343333334,10.8916,12.0278666667,11.2704,9.38756666667,10.8891333333,13.4782666667
244.55,13.5068666666,8.98533333333,9.20080000001,10.4969,11.7296666667,11.4405333333,9.33236666666,10.7781333333,13.4700666667
244.92,12.7491333333,8.46273333333,8.9573,9.67706666667,10.9762,10.5866666667,9.19033333333,9.85386666667,13.0208
245.30,12.2598,8.58366666666,8.62213333333,9.10143333334,10.4482,10.2565333333,8.99343333333,9.40786666667,12.6479333333
245.67,12.2294666667,8.84100000001,8.7853,9.17776666667,10.1508,10.0752,8.80753333333,9.09580000001,12.4822
246.05,12.1546,8.44286666667,8.5624,8.94063333333,9.73713333334,10.0718666667,8.71953333334,9.01646666668,12.2261333333
246.42,11.9766666667,8.15103333334,8.66346666667,8.42276666667,9.32160000001,10.0146666667,8.58850000001,8.39906666668,12.1771333333
246.79,11.4786,7.7706,8.36136666667,7.94383333333,8.7788,9.61713333334,8.29706666667,7.80873333334,11.6898
247.17,10.9294666667,7.28316666667,8.01806666667,7.5667,8.13326666667,9.28533333333,7.87333333333,7.1088,11.2970666667
247.54,9.92453333332,6.3197,6.85676666667,6.28216666667,7.07713333333,8.38906666666,6.82653333333,5.7196,10.2562666667
247.92,9.981,6.39813333333,7.06986666667,6.10196666667,7.1652,8.51153333333,7.10653333333,5.83066666667,10.4415333333
248.29,9.81193333334,6.36046666667,7.06423333333,5.95396666667,7.1668,8.352,7.08603333333,5.5882,10.3266666667
248.67,10.1675333333,6.9597,7.77343333333,6.5802,7.78646666666,8.8398,7.75753333333,6.0664,10.9985333333
249.04,10.7086,7.35026666667,8.07353333333,6.83213333333,7.99533333333,9.33573333333,7.9244,6.32126666667,11.2814
249.42,11.1672,7.87923333333,8.3552,7.14416666667,8.4208,9.61313333333,8.41610000001,7.02246666666,11.6042
249.79,11.1243333333,7.73626666667,8.30593333333,7.08516666667,8.34746666667,9.73279999999,8.65303333333,6.99213333334,11.8020666667
250.17,11.4274666667,8.28286666666,8.68926666667,7.3824,8.37813333333,9.72673333334,8.9051,7.2564,12.0351333333
250.54,11.0518,8.18970000001,8.24346666667,7.12993333333,7.93286666667,9.52706666667,8.39986666666,7.07193333333,11.4844
250.92,10.9294,8.35800000001,8.06886666667,6.95573333333,7.67033333334,9.5374,8.13303333333,6.9476,11.1483333333
251.29,11.5417333333,9.13183333333,8.5747,7.56036666667,8.28466666667,10.2034,8.82666666667,7.64106666667,11.7280666667
251.66,12.0448,9.87506666667,9.35793333333,8.25256666667,8.5068,10.5666,9.32130000001,8.39473333333,12.1571333333
252.04,12.2141333333,10.1753333333,9.45806666667,8.54949999999,8.6022,10.7001333333,9.31326666666,8.25546666666,12.7145333333
252.41,11.1201333333,9.144,8.76363333333,7.70493333333,7.43153333334,9.92719999999,8.62486666666,7.49093333333,11.9764666666
252.79,10.0961333333,8.23636666667,7.4571,6.60353333333,6.11926666666,8.74386666667,7.38239999999,6.44666666667,10.7510666667
253.16,9.39699999999,7.78953333333,6.8305,6.27256666667,5.4368,7.58766666667,6.92293333333,6.1112,10.3418666667
253.54,9.50326666667,7.68166666667,7.24923333333,6.4707,5.4966,7.6456,6.8983,5.726,10.764
253.91,9.06566666667,7.16223333333,6.7732,5.73476666667,4.93186666667,7.0334,6.06933333333,5.09526666667,10.0916
254.28,8.1222,6.3222,6.07626666667,4.65416666667,4.1388,6.4388,5.28883333333,3.79693333333,9.45360000001
254.66,8.91746666667,7.29516666667,7.4026,4.95306666667,4.81333333333,7.06946666667,6.01953333334,4.48573333333,10.2551333333
255.03,9.20606666668,7.91643333333,7.98503333333,5.31683333333,5.04433333333,7.30286666667,6.57783333334,4.73506666667,11.3385333333
255.41,8.94686666667,7.816,8.1067,4.99246666667,4.64453333333,6.8646,6.29756666667,4.5546,11.6350666667
255.78,9.12973333334,7.91360000001,8.55566666667,5.36416666667,4.87653333333,7.03706666667,6.73456666667,4.70993333333,12.0864666666
256.15,10.2893333333,8.71896666666,9.50873333333,6.18753333333,5.77453333333,8.50506666667,7.84203333333,5.9192,12.4171333333
256.53,10.9299333333,9.65946666667,9.87963333333,6.88693333333,6.16313333334,9.44200000001,8.44929999999,6.53493333333,13.013
256.90,12.0190666667,10.5913666667,11.3302666667,7.7725,7.13639999999,10.7364,9.51963333334,7.89146666666,13.9509333333
257.28,12.2044,10.895,11.7439,8.10886666667,7.80526666667,11.7994,10.1640333333,8.38406666666,14.3078
257.65,11.0066666667,9.62866666666,10.5559,7.25043333333,6.54646666666,10.8350666667,8.98486666666,7.16880000001,12.9384
258.02,10.6410666667,9.577,10.5311333333,7.2564,6.751,10.9084666667,9.07703333333,6.93766666667,12.8058
258.40,10.627,9.28509999999,10.3716,7.37376666667,7.01473333333,11.0098666667,9.10156666667,7.16846666667,12.8503333333
258.77,9.84933333333,8.32786666667,9.26333333333,6.77756666667,6.36806666667,10.1314666667,8.5552,6.2804,11.983
259.15,9.57586666667,7.80486666667,8.94186666667,6.35756666667,6.03386666667,9.75753333333,8.25213333334,5.9804,11.5637333334
259.52,9.50533333333,7.5703,8.61626666667,6.14416666667,5.8512,9.52986666667,8.02593333334,5.75313333333,11.3615333333
259.89,9.305,7.5284,8.41816666667,6.03823333333,5.79353333334,9.4176,7.89410000001,5.65186666667,11.3014666667
260.27,8.96986666666,7.2475,8.15796666667,5.8851,5.4764,9.01466666667,7.71483333333,5.48866666667,11.2205333333
260.64,9.16086666666,7.25506666667,8.24723333333,6.0327,5.60566666667,9.12926666667,7.83720000001,5.75886666667,11.3824666667
261.01,8.8268,6.90396666667,7.87086666667,5.97306666667,5.29326666667,8.76893333333,7.58143333333,5.4134,11.1171333333
261.39,8.85713333333,6.76183333333,7.91666666667,5.96873333333,5.1516,8.72553333333,7.5071,5.26506666667,11.06
