wavelength,Back_SalSimm,Belly_SalSimm,Breast_SalSimm,Crissum_SalSimm,Crown_SalSimm,DorTail_SalSimm,Patch10_SalSimm,Patch11_SalSimm,Patch12_SalSimm,Patch13_SalSimm,Rump_SalSimm,Throat_SalSimm,WingTip_SalSimm
203.85,-165.066666667,-161.6,43.3333333334,-115.2,-164.266666667,-216.0,-225.866666667,-114.933333333,-111.2,-97.3333333333,-191.733333333,-95.2,-66.3999999999
204.22,-146.666733333,-156.543133333,24.6911999999,-102.716,-168.888866667,-224.938266667,-218.024733333,-111.852,-109.876533333,-102.716,-182.222266666,-100.2468,-70.1233333333
204.60,-100.714333333,-109.285866667,47.9762666667,-52.1428000001,-128.333333333,-179.285733333,-172.619,-72.8571333333,-73.3332666667,-65.2380000001,-138.809533333,-68.0951999999,-23.9286666667
204.98,-129.066666667,-124.266666667,35.4666666667,-65.3333333333,-154.666666667,-208.533333333,-206.133333333,-104.266666667,-77.3333333333,-97.6000000001,-165.066666667,-70.3999999999,-24.8
205.36,-237.0,-222.333333333,-13.3333333333,-154.0,-271.0,-325.333333333,-325.0,-208.0,-148.666666667,-202.0,-276.333333333,-162.0,-84.1666666666
205.74,-447.7778,-432.777733333,-104.166633333,-342.7778,-527.777666667,-627.777800001,-600.555533333,-438.888866667,-304.444333333,-420.555533334,-540.000066667,-346.1112,-232.222233333
206.12,-3493.33333333,-3180.0,-1426.66666667,-2890.0,-3896.66666667,-4563.33333333,-4393.33333333,-3486.66666666,-2450.0,-3363.33333333,-4040.0,-2766.66666667,-2343.33333333
206.50,1091.42853333,950.476333333,493.809533333,964.761933333,1180.0,1401.90473333,1347.61913333,1111.4286,778.095333333,1094.28573333,1273.33326667,838.095333333,781.428633334
206.87,428.888866667,389.523866667,248.253966667,388.888866667,457.1428,534.603333333,522.222333333,440.9524,342.2224,443.809533333,490.7936,358.412533333,340.476266667
207.25,501.333333333,445.0,316.666666667,468.333333333,524.666666667,602.333333334,584.0,505.666666667,410.666666667,521.333333333,569.666666667,431.0,406.5
207.63,600.0,545.416666667,414.583333333,594.166666667,627.083333333,735.833333333,702.083333334,631.25,510.0,650.0,720.833333333,517.083333333,493.75
208.01,1120.0,1018.33333333,792.916666668,1142.5,1206.66666667,1394.16666667,1318.33333333,1220.0,941.666666666,1270.83333333,1384.16666667,961.666666666,901.250000001
208.39,506.666666666,436.140266666,355.614133333,507.017533333,518.947266667,599.298,569.1228,527.0176,422.4562,572.631533333,602.1052,429.8246,386.6666
208.77,402.133333333,345.066666667,286.8,413.066666667,403.733333333,465.066666667,453.333333333,416.266666667,324.8,451.733333333,471.466666667,341.6,323.866666667
209.14,277.368533333,247.368466667,208.2457,286.6666,283.859733333,327.3684,321.929933333,287.017533333,234.034933333,311.579066667,330.175466667,261.578933333,247.631533333
209.52,264.865,234.774733333,206.0361,274.414466667,272.071866666,323.423533333,318.3784,278.919,235.3152,300.720733333,332.612666667,255.495466667,243.7838
209.90,213.888866667,189.444533333,163.611166667,221.944533333,219.166666666,257.638933333,260.416733333,224.0278,195.138866667,235.0,265.694466667,203.4722,195.138866667
210.28,248.888933333,220.555533333,177.314833333,262.963066667,257.037,306.851866667,311.4816,258.148066667,232.2222,272.963,310.925866667,237.036933333,216.296366667
210.66,371.304266667,337.391333333,260.434833333,392.4638,389.5652,452.4638,466.376733333,386.956466667,349.855,390.434866667,471.014533334,359.709933333,311.739
211.03,403.0302,353.636266667,270.000133333,410.605933333,415.1516,479.393866667,506.0606,428.181666667,372.121266667,409.696866667,506.969666667,369.394,315.303
211.41,359.365133333,311.1112,226.666633333,355.5556,380.0,437.4602,479.047666667,391.4286,328.571666667,354.6032,461.587266666,315.238066667,274.444433333
211.79,648.0,550.0,354.333333333,618.0,714.666666667,824.666666668,902.666666666,716.0,561.333333333,623.333333333,837.333333333,565.333333333,465.333333333
212.17,467.555533333,402.222133333,260.222133333,444.444466667,504.4444,569.3334,635.555466667,499.555533333,398.666666667,445.777666667,592.444466667,410.666533333,351.5556
212.55,1369.33333333,1294.66666667,803.333333333,1397.33333333,1593.33333333,1722.66666667,1916.0,1545.33333333,1221.33333333,1337.33333333,1832.0,1220.0,1066.0
