wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
381.97,13.7111333333,11.4820416667,8.6308,10.9324666667,13.5544,9.14973333334,11.0692666667,11.178,27.3179333333,14.1045666667,27.4746666667,8.95760000001,10.2714
382.33,13.5971333333,11.319,8.5024,10.7777333333,13.4306,9.04086666666,10.9302,11.0616666667,27.1571333333,13.9397333333,27.3680666667,8.84086666667,10.1652
382.69,13.5449333334,11.2483333333,8.424,10.692,13.3813333333,8.9928,10.8686,11.0029333333,27.1383333333,13.8671666667,27.3933333333,8.76373333334,10.1139333333
383.05,13.4390666667,11.081625,8.27520000001,10.5391333333,13.2812666667,8.89506666666,10.7544,10.9049333333,27.0133333333,13.7461666667,27.2913333333,8.6458,10.0204666667
383.41,13.4324666667,11.027125,8.27466666667,10.4807333333,13.3059333333,8.91733333333,10.7439333333,10.8698,27.0398666667,13.7235333333,27.3555333333,8.61306666666,9.99599999999
383.77,13.411,10.9905833333,8.24233333333,10.3926666667,13.2608,8.8872,10.7350666667,10.8436,26.9993333333,13.6719666667,27.3424666667,8.55966666666,9.95866666666
384.14,13.3678,10.9410833333,8.19539999999,10.3092,13.2285333333,8.83253333334,10.6975333333,10.7904,26.9963333333,13.6169666667,27.3308,8.51566666667,9.93066666667
384.50,13.3318,10.8584166667,8.11160000001,10.2044666667,13.1476,8.78893333333,10.6658666666,10.7182,26.9385333333,13.5369666667,27.2996666667,8.44499999999,9.86133333333
384.86,13.2791333333,10.7800416667,8.02646666666,10.0852666667,13.0833333333,8.73720000001,10.6083333333,10.6616666667,26.8805333333,13.4830333333,27.2476,8.37579999999,9.8304
385.22,13.33,10.7646666667,8.05486666667,10.0826666667,13.103,8.75886666666,10.6340666667,10.6742,26.9327333333,13.4624666667,27.3517333333,8.38706666666,9.88626666666
385.58,13.3064,10.7085416667,8.00886666667,10.0566,13.0906666666,8.74613333333,10.5930666667,10.6833333333,26.8838,13.4188333334,27.3321333333,8.34286666667,9.89920000001
385.94,13.3216666667,10.6844166667,8.00146666667,10.0269333333,13.1207333334,8.76366666667,10.6138,10.7117333333,26.8811333333,13.3946666667,27.3730666667,8.35853333333,9.93646666667
386.30,13.3299333333,10.6697916667,7.97880000001,10.0142,13.1600666667,8.76046666666,10.6365333333,10.7379333334,26.974,13.4125333333,27.4752,8.35333333333,9.96206666667
386.66,13.3499333333,10.6835,8.00720000001,10.0132,13.1977333333,8.78806666666,10.6592,10.7836,26.9422666667,13.4152,27.4616666667,8.39633333333,9.99933333332
387.03,13.4452,10.7177083333,8.10006666666,10.0812,13.3006666667,8.87806666667,10.7316,10.8755333333,27.0468666667,13.4620666667,27.5517333333,8.49646666666,10.1006
387.39,13.5025333333,10.6895416667,8.0886,10.0696666667,13.3123333333,8.88219999999,10.7376,10.919,27.0860666667,13.4369666667,27.5628666667,8.51073333333,10.137
387.75,13.631,10.72175,8.1536,10.1269333333,13.4139333333,8.97693333334,10.812,11.0295333333,27.2086666667,13.486,27.6519333333,8.57406666667,10.2343333333
388.11,13.6173333333,10.6629583333,8.1436,10.0962666667,13.3816666667,8.9976,10.7871333334,11.0371333333,27.1896,13.4237,27.623,8.55093333334,10.2248666667
388.47,13.5808,10.5959166667,8.10846666668,10.0246666667,13.3712,8.96026666667,10.7382666667,10.9969333333,27.1517333333,13.38,27.6172666667,8.50766666667,10.1992666667
388.83,13.6034666667,10.6000833333,8.11393333333,10.0408,13.391,8.97706666667,10.7322666667,11.0406666667,27.2031333333,13.3664333333,27.6912,8.53066666667,10.2039333333
389.19,13.6044,10.59775,8.09879999999,10.0174666667,13.39,8.99006666666,10.7402,11.0551333333,27.2199333333,13.3532333333,27.701,8.529,10.1728
389.55,13.6032666667,10.5589583333,8.05933333333,9.9574,13.3946666667,8.97779999999,10.7525333333,11.0227333333,27.2718666667,13.3329333333,27.7312,8.54013333334,10.1162666667
389.91,13.6033333333,10.54625,8.03946666667,9.92039999999,13.3955333333,8.97526666666,10.7387333333,11.002,27.303,13.2898333334,27.7519333333,8.53306666667,10.0994666667
390.27,13.6233333333,10.5188333333,8.0392,9.86240000001,13.4059333333,8.98086666667,10.7116666667,10.9829333333,27.3128,13.2391333333,27.7218,8.51293333333,10.0645333333
390.63,13.5962666667,10.4285416667,7.99439999999,9.75493333333,13.3860666667,8.95679999999,10.6750666667,10.9565333333,27.3604,13.1656,27.7584666667,8.42806666666,10.0144666667
391.00,13.5506,10.3748333334,7.92506666667,9.64719999999,13.3400666667,8.92086666666,10.6160666667,10.9119333333,27.3448,13.0860333333,27.7524,8.34893333334,9.95133333333
391.36,13.4991333333,10.3141666667,7.86373333334,9.58453333333,13.3234,8.89586666667,10.5862,10.8586,27.314,13.0249,27.7534,8.30206666667,9.90346666667
391.72,13.3341333334,10.1812083333,7.71733333334,9.42640000001,13.1994666667,8.75526666667,10.4349333333,10.7141333333,27.1715333333,12.8480333333,27.6701333333,8.16753333334,9.75906666667
