wavelength,Back_TanCyom,Belly_TanCyom,Breast_TanCyom,Crissum_TanCyom,Crown_TanCyom,DorTail_TanCyom,Patch10_TanCyom,Patch11_TanCyom,Patch12_TanCyom,Patch13_TanCyom,Rump_TanCyom,Throat_TanCyom,WingTip_TanCyom
215.57,162.6895,148.106083333,151.799208333,167.9925,152.056380953,157.102375,194.128666667,206.818166667,157.196916666,193.181833333,138.06825,214.58325,160.890083334
215.95,169.444416667,163.67525,153.952958333,178.846083333,153.113416667,173.931708333,212.8205,222.435833333,169.4445,195.51275,147.0085,235.68375,168.055416667
216.32,243.827416667,249.999833333,237.345625,265.123583333,234.744178571,248.765416667,315.123416667,314.50625,250.308666667,287.037,219.135916667,350.925833333,244.444375
216.70,212.393,221.581083333,207.265083333,215.598166666,201.2515,216.132541667,265.812083334,258.76075,220.512916667,230.128166667,197.435833333,283.333333333,217.841875
217.08,196.808666667,198.758833333,188.74125,187.056916667,189.20975,195.656041667,236.170333333,235.992916667,203.546083333,206.737583333,177.304916667,249.290833333,192.376041667
217.46,218.217,221.511583334,203.876,201.35675,214.424214286,210.46525,251.162833333,260.465166667,220.348833333,233.33325,186.240333333,261.627916667,215.40675
217.83,243.8035,246.58125,228.418791667,201.923083333,235.073214286,228.73925,272.649583334,278.41875,232.906,257.051416667,187.393083333,279.9145,231.624041667
218.21,191.515166666,192.272666666,177.196958333,154.393916667,181.125547619,178.560583334,204.8485,211.363416667,180.909166667,199.545333333,147.121166667,216.212,179.848541667
218.59,173.924583333,170.430166667,157.258,138.57525,159.408654762,160.215083333,184.005333333,181.182833333,161.155916667,176.344,134.274166666,194.48925,156.317083333
218.97,202.00625,193.672833333,188.503083333,157.561666667,183.553726191,180.941416667,206.79,202.006083333,180.71,199.537083333,155.246916666,216.358,181.9445
219.34,239.81475,224.074083333,234.814916667,187.037083333,214.312369048,217.407416667,246.296333333,237.407416667,205.740666667,240.740833334,186.29625,252.592666667,225.463083333
219.72,348.148,319.444333334,349.074041667,264.506166667,300.52925,310.339291667,363.271583333,349.691333333,292.592583333,362.963,263.888916667,362.654333334,319.753208333
220.10,494.583333334,447.083333334,508.333333333,370.833333334,415.773809524,424.583333333,512.083333333,475.0,424.583333334,521.25,365.833333334,497.916666667,464.375
220.47,291.666666667,258.072916667,310.807291667,211.197916666,244.791666667,247.395833333,310.9375,283.072916667,253.90625,321.875,213.28125,295.572916667,288.802083334
220.85,313.141,266.666666667,345.352583333,222.756416667,259.798464286,266.506416667,330.769166667,292.307916666,271.794916667,376.923,231.089583333,306.089666667,309.134583334
221.23,364.682583333,318.254166667,419.444583333,276.984166667,292.970630953,316.468375,401.5875,350.396833333,312.301583333,466.269833334,283.333166667,352.777833333,398.214458333
221.61,1195.83333334,1022.22233334,1474.30558333,923.611000002,913.29367857,1046.52791667,1356.94433334,1158.33333333,1019.44433333,1576.38883333,927.777750001,1240.27791667,1251.38895833
221.98,-1712.5,-1452.08333334,-2215.625,-1331.25,-1252.97619048,-1538.54166667,-1995.83333333,-1729.16666667,-1643.75,-2279.16666667,-1454.16666667,-1839.58333333,-1877.08333333
222.36,-1313.33333333,-1166.66666667,-1727.5,-1076.66666667,-1048.80952381,-1198.33333333,-1491.66666667,-1410.0,-1330.0,-1773.33333333,-1165.0,-1478.33333333,-1493.33333333
222.74,-233.642,-204.629666667,-312.500125,-182.407416667,-184.87647619,-197.067916667,-255.5555,-257.716,-231.172833333,-315.740833334,-194.135833333,-261.111,-269.135666667
223.11,-231.609333333,-193.1035,-296.264458333,-178.735583333,-177.750416667,-195.545916667,-259.770083333,-268.678166667,-235.9195,-301.149416667,-194.827583333,-268.390833333,-252.729875
223.49,-176.344,-141.129083333,-235.886916666,-129.301,-128.917095238,-139.784958333,-210.752666667,-216.397916667,-202.150416667,-238.172083334,-136.021583333,-227.419333333,-179.301041666
223.87,-305.701583333,-230.701833333,-358.114166667,-221.92975,-234.273071428,-219.517583333,-344.29825,-359.649083333,-347.807,-386.403333333,-214.035083333,-369.736916667,-309.429666667
224.24,-218.840583333,-162.681166667,-242.028916667,-167.753833333,-175.20702381,-156.703041667,-241.304333334,-281.521666667,-257.60875,-277.536166666,-140.941833333,-273.913166667,-222.644916667
224.62,-198.718,-147.435833333,-200.320458333,-156.089833333,-156.547571428,-152.724375,-201.282,-238.461666667,-227.8845,-219.871583333,-117.94875,-230.128333333,-182.532
225.00,-113.81575,-73.6841666667,-115.241125,-89.2543333333,-92.7318690477,-83.443,-119.5175,-148.026166667,-122.807083333,-110.526333333,-51.0965833333,-137.499833333,-98.4650416665
225.38,-80.2536666666,-53.0796666666,-85.5977083333,-63.2246666667,-66.9255238095,-63.4056666667,-82.9710000001,-102.717333333,-88.0435000001,-71.1955833334,-23.5506666667,-100.000083333,-60.0542916667
225.75,-57.2326666667,-36.6351666667,-57.0755833333,-43.2390833333,-44.4968095238,-41.9812916667,-58.6478333333,-76.2578333334,-63.8363333333,-43.08175,-7.54708333334,-69.3395833333,-38.5220000001
